‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN
Many of the cars being repaired have been converted to accept unleaded according to manufacturers guidelines which suggest a quick correction of engine timing will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ ADP DET NOUN VERB VERB VERB VERB VERB PART VERB ADJ VERB ADP NOUN NOUN ADJ VERB DET ADJ NOUN ADP NOUN NOUN VERB VERB DET NOUN
‘ On a normal car some panel - beating and touching up would do the trick, but this is no normal car.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT ADP DET ADJ NOUN DET NOUN PUNCT VERB CCONJ VERB PART VERB VERB DET NOUN CCONJ DET VERB DET ADJ NOUN
Points, of course, will do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	NOUN ADP NOUN VERB VERB DET NOUN
I think we competed today but erm maybe one or two areas where I thought we might have got stuck in a little bit more you know, and we 're going to have to do that against Oldham I tell you because they 'll pass and have players that can do tricks erm good side aren't they?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	do the trick	literal	deletion-determiner	PRON VERB PRON VERB NOUN CCONJ ADV ADV NUM CCONJ NUM NOUN ADV PRON VERB PRON VERB VERB VERB VERB ADP DET ADJ NOUN ADV PRON VERB CCONJ PRON VERB VERB PART VERB PART VERB DET ADP PROPN PRON VERB PRON ADP PRON VERB VERB CCONJ VERB NOUN ADJ VERB VERB NOUN DET ADJ NOUN VERB PRON
' Carl says you can do tricks with ladders, ' laughs Theodore Bixman.	0 0 0 0 0 1 1 0 0 0 0 0 0	do the trick	literal	deletion-determiner	PUNCT PROPN VERB PRON VERB VERB NOUN ADP NOUN PUNCT VERB PROPN PROPN
To do the egg trick you need a pint glass, a square biscuit tin lid, a matchbox, a stout shoe, an egg, and a large Scotch.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	insertion-other	PART VERB DET NOUN VERB PRON VERB DET ADJ NOUN DET ADJ NOUN ADJ NOUN DET NOUN DET ADJ NOUN DET NOUN CCONJ DET ADJ PROPN
She didn't somehow think a stitch cutter would do the trick quite so well!	0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	PRON VERB ADV VERB DET NOUN NOUN VERB VERB DET NOUN ADV ADV ADV
Alternatively, a year's au - pairing in France, a beauty therapy course or half - a - dozen driving lessons did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV DET NOUN NOUN PUNCT NOUN ADP PROPN DET NOUN NOUN NOUN CCONJ NOUN PUNCT DET PUNCT NOUN NOUN NOUN VERB DET NOUN
But actually any three anchor points on the plane would have done the trick just as well, and would have given identical results.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	CCONJ ADV DET NUM NOUN NOUN ADP DET NOUN VERB VERB VERB DET NOUN ADV ADV ADV CCONJ VERB VERB VERB ADJ NOUN
This classy poetry appeared to do the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ NOUN VERB PART VERB DET NOUN
Can a younger lover beat the ageing blues — or would a change of style do the trick for you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	identical	VERB DET ADJ NOUN VERB DET VERB NOUN PUNCT CCONJ VERB DET NOUN ADP NOUN VERB DET NOUN ADP PRON
What did do the trick was getting its staff to ring the creditor every 30 seconds for an entire day, then beginning again at eight the following morning.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	NOUN VERB VERB DET NOUN VERB VERB ADJ NOUN PART VERB DET NOUN DET NUM NOUN ADP DET ADJ NOUN ADV VERB ADV ADP NUM DET ADJ NOUN
He tied his son's shoe with a double knot and said, " There, that should do the trick. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	do the trick	figurative	identical	PRON VERB ADJ NOUN NOUN ADP DET ADJ NOUN CCONJ VERB PUNCT ADV DET VERB VERB DET NOUN PUNCT
That did the trick, and in January Susan was offered a four figure sum which she accepted.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET VERB DET NOUN CCONJ ADP PROPN PROPN VERB VERB DET NUM NOUN NOUN ADJ PRON VERB
A simple DIR command, applied three or four times, will normally do the trick.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ PROPN NOUN VERB NUM CCONJ NUM NOUN VERB ADV VERB DET NOUN
He had a shaving kit like that, and he had his old, the old after shave lotion and that, and he will, well, picked us, we just fucking said I, I know what will do the trick a bit of fucking gone	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	do the trick	figurative	identical	PRON VERB DET NOUN NOUN ADP DET CCONJ PRON VERB ADJ ADJ DET ADJ ADP ADJ NOUN CCONJ DET CCONJ PRON VERB INTJ VERB PRON PRON ADV INTJ VERB PRON PRON VERB NOUN VERB VERB DET VERB DET NOUN ADP VERB VERB
That, that letter I 'd written must of done the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN PRON VERB VERB VERB VERB VERB DET NOUN
As Bon Jovi jetted out, the faithful made their way home, unanimous that a dose of Bad Medicine had done the trick for them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	ADP PROPN PROPN VERB PART DET NOUN VERB ADJ NOUN ADV ADJ ADP DET NOUN ADP PROPN PROPN VERB VERB DET NOUN ADP PRON
Now you rea fo w with a story like this you really need a erm a, a decent does of antibiotics and given the of the unpleasant taste and the pus you can see, ordinary penicillin probably won't do the trick, so we need to use something with a bit more oomph	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADV PRON VERB ADP X ADP DET NOUN ADP DET PRON ADV VERB DET NOUN DET DET ADJ VERB ADP NOUN CCONJ VERB DET ADP DET ADJ NOUN CCONJ DET NOUN PRON VERB VERB ADJ NOUN ADV VERB VERB DET NOUN ADP PRON VERB PART VERB NOUN ADP DET NOUN ADV NOUN
When the Assembly felt itself pulled in too many directions at once, an ostracism did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV DET PROPN VERB PRON VERB PART ADV ADJ NOUN ADP ADV DET NOUN VERB DET NOUN
And that 'll hopefully do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ DET VERB ADV VERB DET NOUN
This time the vet cut a V out of Biggles's crippled leg bone and thought that might do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET NOUN DET NOUN VERB DET NOUN ADP ADP NOUN ADJ NOUN NOUN CCONJ VERB ADJ VERB VERB DET NOUN
In Canada the British not only deluded themselves that they had defeated the axiom ; they also imagined it was the federal ingredient that had enabled them to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP PROPN DET PROPN ADV ADV VERB PRON ADP PRON VERB VERB DET NOUN PUNCT PRON ADV VERB PRON VERB DET ADJ NOUN ADJ VERB VERB PRON PART VERB DET NOUN
A period of stress, a new job, moving house or a family row are all trusty pretexts for returning to the tobacconist's ; even minor crises, such as missing a bus, can do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET NOUN ADP NOUN DET ADJ NOUN VERB NOUN CCONJ DET NOUN NOUN VERB DET NOUN NOUN ADP VERB ADP DET NOUN PUNCT ADV ADJ NOUN ADJ ADP VERB DET NOUN VERB VERB DET NOUN
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN
Nicandra smiled and acknowledged the obeisance as if it was from a dog doing its trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	literal	combined-inflection	PROPN VERB CCONJ VERB DET NOUN ADP ADP PRON VERB ADP DET NOUN VERB ADJ NOUN
Did her trick to catch the saint who avoided becoming a martyr.	1 0 1 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	VERB ADJ NOUN PART VERB DET NOUN NOUN VERB VERB DET NOUN
While you are doing this trick it's a good idea to invent a little patter.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP PRON VERB VERB DET NOUN PRON DET ADJ NOUN PART VERB DET ADJ NOUN
The 13-goal marksman's chances of being fit have improved since he started the treatment and his manager Ron Atkinson said : ‘ If he does make it and this machine has done the trick I 'll gladly pay out Pounds 25,000 myself to buy one.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET NUM NOUN NOUN ADP VERB ADJ VERB VERB ADP PRON VERB DET NOUN CCONJ ADJ NOUN PROPN PROPN VERB PUNCT PUNCT ADP PRON VERB VERB PRON CCONJ DET NOUN VERB VERB DET NOUN PRON VERB ADV VERB PART SYM NUM PRON PART VERB NOUN
A camera can do the trick, letting you catch your breath before your lungs explode through your chest like The Alien, as you pretend to take a photo of an interesting stone.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN VERB VERB DET NOUN VERB PRON VERB ADJ NOUN ADP ADJ NOUN VERB ADP ADJ NOUN ADP DET PROPN ADP PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN
At the time of the December 1971 Smithsonian Agreement, 308 yen to the dollar was supposed to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP DET NOUN ADP DET PROPN NUM PROPN PROPN NUM NOUN ADP DET NOUN VERB VERB PART VERB DET NOUN
