But, at end of the day, no currency can defy the laws of economic gravity.	0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	CCONJ ADP NOUN ADP DET NOUN DET NOUN VERB VERB DET NOUN ADP ADJ NOUN
So in everything that we do and staying spiritually awake, we have to do something, it all comes back to you and I at the end of the day, no one else can do it for us we sometimes think well, well, so and so can help, I mean this is true to a degree, but at the end of the day it all comes back to us doesn't it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP NOUN ADJ PRON VERB CCONJ VERB ADV ADJ PRON VERB PART VERB NOUN PRON DET VERB ADV ADP PRON CCONJ PRON ADP DET NOUN ADP DET NOUN DET NOUN ADV VERB VERB PRON ADP PRON PRON ADV VERB ADV INTJ ADV CCONJ ADV VERB VERB PRON VERB DET VERB ADJ ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON DET VERB ADV ADP PRON VERB PRON
At the end of the day, the efficacy of Charles's control over his local agents must be gauged from the political action with which the rest of this book is mainly concerned.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN DET NOUN ADP PROPN NOUN ADP ADJ ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN ADP ADJ DET NOUN ADP DET NOUN VERB ADV VERB
‘ I 'm a great disciplinarian, I 'm tough on politeness and all that, but at the end of the day he's done a good job on himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PUNCT PRON VERB DET ADJ NOUN PRON VERB ADJ ADP NOUN CCONJ ADJ DET CCONJ ADP DET NOUN ADP DET NOUN PRON VERB DET ADJ NOUN ADP PRON
Of course, at the end of the day they pay the same for them whether directly or through taxation, but if they pay for them directly, in return for service or as private insurance, then their incentives to work for them are greater and the economy benefits.	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV ADV ADP DET NOUN ADP DET NOUN PRON VERB DET ADJ ADP PRON ADP ADV CCONJ ADP NOUN CCONJ ADP PRON VERB ADP PRON ADV ADP NOUN ADP NOUN CCONJ ADP ADJ NOUN ADV ADJ NOUN PART VERB ADP PRON VERB ADJ CCONJ DET NOUN NOUN
I mean I 've got my own thoughts, I have to be careful here that you know I 've got to try and pull together what you think because at the end of the day it's it's very important that it reflects the way we work in school, not the way I perceive I we work in in school because you 're the people at the chalk first.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB PRON VERB VERB ADJ ADJ NOUN PRON VERB PART VERB ADJ ADV ADP PRON VERB PRON VERB VERB PART VERB CCONJ VERB ADV NOUN PRON VERB ADP ADP DET NOUN ADP DET NOUN PRON PRON ADV ADJ ADP PRON VERB DET NOUN PRON VERB ADP NOUN ADV DET NOUN PRON VERB PRON PRON VERB PART ADP NOUN ADP PRON VERB DET NOUN ADP DET NOUN ADV
I think he's going to be very sleepy at the end of the day.	0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	identical	PRON VERB PRON VERB PART VERB ADV ADJ ADP DET NOUN ADP DET NOUN
Leading Tory Euro - rebel Michael Spicer said : ' At the end of the day it became an issue of confidence.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	case	VERB PROPN PROPN PUNCT NOUN PROPN PROPN VERB PUNCT PUNCT ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP NOUN
Well that's something that a as a teacher we 're erm in my school we 're constantly saying t to the pupils I mean if they ha they have a they have a certain responsibility t to tidy up after them and t to try and keep their work area tidy that's not the same as er as cleaning at the end of the day as sweeping up all all the dust and and so on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	INTJ DET NOUN ADJ DET ADP DET NOUN PRON VERB ADV ADP ADJ NOUN PRON VERB ADV VERB NOUN ADP DET NOUN PRON VERB ADP PRON INTJ PRON VERB DET PRON VERB DET ADJ NOUN NOUN PART VERB PART ADP PRON CCONJ NOUN PART VERB CCONJ VERB ADJ NOUN NOUN NOUN ADJ ADV DET ADJ ADP INTJ ADP VERB ADP DET NOUN ADP DET NOUN ADP VERB PART ADJ ADJ DET NOUN CCONJ CCONJ ADV ADV
So at the end of the day you 'll get a total amount of er years and days times the average salary and that divided by eighty.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN VERB DET ADJ NOUN CCONJ DET VERB ADP NUM
I mean at the end of the day it becomes subjective, like choosing wallpaper.	0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB ADJ ADP VERB NOUN
At the end of the day, the lads requested that we do something for them.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN DET NOUN VERB ADP PRON VERB NOUN ADP PRON
At the end of the day, she was still in charge of the club.	1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB ADV ADP NOUN ADP DET NOUN
Like it's different if you 're working for yourself because at the end of the day it all goes in your own pocket.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP PRON ADJ ADP PRON VERB VERB ADP PRON ADP ADP DET NOUN ADP DET NOUN PRON DET VERB ADP ADJ ADJ NOUN
Yes because at the end of the day	0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	INTJ ADP ADP DET NOUN ADP DET NOUN
I think, Chairman, that's still subject to approval by the E A B, erm, which is at the end of the day, the important party that has to be satisfied, so, these are very successful negotiations, but we, we 're still awaiting erm, confirmation they 've been accepted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB PROPN DET ADV ADJ ADP NOUN ADP DET NOUN DET NOUN NOUN ADJ VERB ADP DET NOUN ADP DET NOUN DET ADJ NOUN ADJ VERB PART VERB ADJ CCONJ DET VERB ADV ADJ NOUN CCONJ PRON PRON VERB ADV VERB NOUN NOUN PRON VERB VERB VERB
But at the end of the day, I mean, he's sure gon na turn round and do it to us.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB PRON ADJ VERB PART VERB ADV CCONJ VERB PRON ADP PRON
Israeli hardliners can not be sure that, at the end of the day, Obama will not find it necessary to change policies toward Israel in order to achieve this objective, for he considers it to be a strategic concern.	0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADJ NOUN VERB ADV VERB ADJ ADP ADP DET NOUN ADP DET NOUN PROPN VERB ADV VERB PRON ADJ PART VERB NOUN ADP PROPN ADP NOUN PART VERB DET NOUN ADP PRON VERB PRON PART VERB DET ADJ NOUN
However, at the end of the day, they are subject to the wishes of Parliament.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV ADP DET NOUN ADP DET NOUN PRON VERB ADJ ADP DET NOUN ADP PROPN
For this reason, amongst others, it may be anticipated that many parents of children who truant will, at the end of the day, continue to be dealt with in punitive fashion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP DET NOUN ADP NOUN PRON VERB VERB VERB ADP ADJ NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN ADP DET NOUN VERB PART VERB VERB ADP ADP ADJ NOUN
But erm I think really at the end of the day staff have only really had just that one day workshop,	0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ INTJ PRON VERB ADV ADP DET NOUN ADP DET NOUN NOUN VERB ADV ADV VERB ADV DET NUM NOUN NOUN
Because at the end of the day I think that a although it's quite significant in terms of workload we might be able to address it elsewhere I mean I think the	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP ADP DET NOUN ADP DET NOUN PRON VERB ADP DET ADP PRON ADV ADJ ADP NOUN ADP NOUN PRON VERB VERB ADJ PART VERB PRON ADV PRON VERB PRON VERB DET
' You may take whatever is left over at the end of each day.	0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	determiner-broad	PUNCT PRON VERB VERB ADJ VERB VERB PART ADP DET NOUN ADP DET NOUN
Yeah, if at the end of the day it's a quick fix then	0 0 1 0 1 1 0 1 0 0 0 0 0	at the end of the day	figurative	identical	INTJ ADP ADP DET NOUN ADP DET NOUN PRON DET ADJ NOUN ADV
Because at the end of the day, it is essential that a balance is struck between meeting housing needs and conserving environment.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP ADP DET NOUN ADP DET NOUN PRON VERB ADJ ADP DET NOUN VERB VERB ADP NOUN NOUN NOUN CCONJ VERB NOUN
But taking your point about er, you know you 've got, you 've incurred these expenses anyway, therefore at the end of the day, you 're not that much better off than er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ VERB ADJ NOUN ADP INTJ PRON VERB PRON VERB VERB PRON VERB VERB DET NOUN ADV ADV ADP DET NOUN ADP DET NOUN PRON VERB ADV ADV ADV ADJ PART ADP INTJ
Because at the end of the day, if something does happen you 've got all this filling in to do and you might well turn around and say It wasn't my fault, you could turn around and say it was their fault for coming by.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB PRON VERB VERB ADJ DET VERB PART PART VERB CCONJ PRON VERB ADV VERB PART CCONJ VERB PRON VERB ADJ NOUN PRON VERB VERB PART CCONJ VERB PRON VERB ADJ NOUN ADP VERB ADV
Any particular sequence of actual exchanges of Kula valuables serves to manifest this state of indebtedness but at the end of the day the position is as it began.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	identical	DET ADJ NOUN ADP ADJ NOUN ADP PROPN NOUN VERB PART VERB DET NOUN ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN DET NOUN VERB ADP PRON VERB
No one wants a head's rambling, spur of the minute monologue at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	DET NOUN VERB DET NOUN NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN
it's a bit Shylockish, we want our pound of flesh at the end of this day, now that, the fact that the cost of that pound of flesh will cost you more than this two hundred pound a week	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	determiner-narrow	PRON DET NOUN PROPN PRON VERB ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB PRON ADJ ADP DET NUM NUM NOUN DET NOUN
He completely forgot about young Mabel and at the end of the day went home to bed.	0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0	at the end of the day	literal	identical	PRON ADV VERB ADP ADJ PROPN CCONJ ADP DET NOUN ADP DET NOUN VERB ADV ADP NOUN
' Hepzibah said it was just like putting a light out at the end of a day. '	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0	at the end of the day	figurative	determiner-narrow	PUNCT PROPN VERB PRON VERB ADV ADP VERB DET NOUN PART ADP DET NOUN ADP DET NOUN PUNCT
I was his assistant and when he wanted flowers he would send me to the Old Covent Garden at 4.30am to buy hundreds of pots of chrysanthemums which would then be sold off at the end of the day, thus serving a dual purpose as decoration and a means of recouping some of our costs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	PRON VERB ADJ NOUN CCONJ ADV PRON VERB NOUN PRON VERB VERB PRON ADP DET PROPN PROPN PROPN ADP NUM PART VERB NOUN ADP NOUN ADP NOUN ADJ VERB ADV VERB VERB PART ADP DET NOUN ADP DET NOUN ADV VERB DET ADJ NOUN ADP NOUN CCONJ DET NOUN ADP VERB DET ADP ADJ NOUN
With disasters and all it's come out reasonably well at the end of the day.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	ADP NOUN CCONJ DET PRON VERB PART ADV ADV ADP DET NOUN ADP DET NOUN
And if we put a little bit more effort into specifying requirements more tightly, then there 'd be less argument at the end of the day as to whether we 've done a good job or a bad job.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP PRON VERB DET ADJ NOUN ADJ NOUN ADP VERB NOUN ADV ADV ADV ADV VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADP ADP PRON VERB VERB DET ADJ NOUN CCONJ DET ADJ NOUN
At the end of the day I still have strong reservations about the software, eighteen months ago it would have been fine but exposure to everything from 1–2–3 to Open Access has left me expecting rather more from an integrated package.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON ADV VERB ADJ NOUN ADP DET NOUN NUM NOUN ADV PRON VERB VERB VERB ADJ CCONJ NOUN ADP NOUN ADP NUM ADP PROPN PROPN VERB VERB PRON VERB ADV ADV ADP DET VERB NOUN
And it come, at the end of the day it comes out with all the ones it's matched, the duration it's been there and er makes it a damned sight easier basically.	0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB PART ADP ADJ DET NOUN PRON VERB DET NOUN PRON VERB ADV CCONJ INTJ VERB PRON DET ADJ NOUN ADV ADV
So I 've looked at it at the end of day and thought well my God!	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	ADV PRON VERB VERB ADP PRON ADP DET NOUN ADP NOUN CCONJ VERB INTJ ADJ PROPN
Offices can be refreshing, stimulating places to work, or they can add greatly to the tiredness you will feel at the end of a working day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1	at the end of the day	literal	combined-other	NOUN VERB VERB ADJ VERB NOUN PART VERB CCONJ PRON VERB VERB ADV ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP DET VERB NOUN
But that has not made a real difference ; at the end of the day, America is also losing interest in NATO, which turned in a not - fully - convincing performance in Libya and a downright poor one in Afghanistan.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ DET VERB ADV VERB DET ADJ NOUN PUNCT ADP DET NOUN ADP DET NOUN PROPN VERB ADV VERB NOUN ADP PROPN ADJ VERB PART DET ADV PUNCT ADV PUNCT VERB NOUN ADP PROPN CCONJ DET ADV ADJ NUM ADP PROPN
Er, generally and for the most part and for the most part at the end of the day they 'll come up with completely irrelevant er things.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ ADV CCONJ ADP DET ADJ NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN PRON VERB VERB PART ADP ADV ADJ INTJ NOUN
But if you 've got any more questions, I mean don't hesitate to come back, because at the end of the day I 'd rather you know too much than not enough	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP PRON VERB VERB DET ADJ NOUN PRON VERB VERB VERB PART VERB ADV ADP ADP DET NOUN ADP DET NOUN PRON VERB ADV PRON VERB ADV ADV ADP ADV ADJ
At the end of the day, they 're all going to attack me, ' Stone sighs.	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON VERB DET VERB PART VERB PRON PUNCT NOUN VERB
Foundationalism, viewed quite generally ( though here we must exclude Wittgenstein ), can be seen as the expression of the empiricist thought that verification and justification, telling whether something is true and backing up one's claims about what is true, must rely eventually upon the evidence of one's senses ; not in the first instance, maybe, but at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	PROPN VERB ADV ADV PUNCT ADV ADV PRON VERB VERB PROPN PUNCT VERB VERB VERB ADP DET NOUN ADP DET ADJ NOUN DET NOUN CCONJ NOUN VERB ADP NOUN VERB ADJ CCONJ VERB PART PRON NOUN ADP NOUN VERB ADJ VERB VERB ADV ADP DET NOUN ADP NOUN NOUN PUNCT ADV ADP DET ADJ NOUN ADV CCONJ ADP DET NOUN ADP DET NOUN
I 'm a manufacturer, I like to make things, I like to hold something at the end of day and say that's something that's been created.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	PRON VERB DET NOUN PRON VERB PART VERB NOUN PRON VERB PART VERB NOUN ADP DET NOUN ADP NOUN CCONJ VERB DET NOUN ADJ VERB VERB
But at least the fusion community needs such volumes to remind it that at the end of the day the scientific juggling will come to nothing if it does not lead to a convenient and not too expensive source of electricity.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADP ADJ DET NOUN NOUN VERB ADJ NOUN PART VERB PRON ADP ADP DET NOUN ADP DET NOUN DET ADJ NOUN VERB VERB ADP NOUN ADP PRON VERB ADV VERB ADP DET NOUN CCONJ ADV ADV ADJ NOUN ADP NOUN
Er ye yes, if it gives a better service at the end of the day	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	INTJ INTJ INTJ ADP PRON VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
I mean, in essence it's the small committees at the end of the day which actually find the target and the larger committees at the beginning of the list which don't find them.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB ADP NOUN PRON DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADJ ADV VERB DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADJ VERB VERB PRON
That's what all boils down to doesn't it at the end of the day and you haven't succeeded as far as I can see in convincing people, those three thousand signatories, that erm it's not going to affect their lives and the quality of their lives and their their environment adversely.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	DET NOUN DET VERB PART ADP VERB PRON ADP DET NOUN ADP DET NOUN CCONJ PRON VERB VERB ADV ADV ADP PRON VERB VERB ADP ADJ NOUN DET NUM NUM NOUN ADP ADV PRON ADV VERB PART VERB ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN CCONJ ADJ ADJ NOUN ADV
… but at the end of the day, it really lacks depth	0 0 1 0 1 1 0 1 0 0 0 0	at the end of the day	figurative	identical	PUNCT CCONJ ADP DET NOUN ADP DET NOUN PRON ADV VERB NOUN
I mean you have the idea, you want to expand advertising, which means you 've got to spend more money and you said it was never given the go ahead, who at the end of the day would decide about whether it had the go ahead or not?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB PRON VERB DET NOUN PRON VERB PART VERB NOUN ADJ VERB PRON VERB VERB PART VERB ADJ NOUN CCONJ PRON VERB PRON VERB ADV VERB DET NOUN ADV NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP ADP PRON VERB DET NOUN ADV CCONJ ADV
Because at the end of the day nobody would take the job.	0 1 0 1 1 0 1 0 0 0 0 0	at the end of the day	figurative	identical	ADP ADP DET NOUN ADP DET NOUN NOUN VERB VERB DET NOUN
he's erm he's a lot more intelligent than he lets on, and he's one of these that lets all the others push him down, where at the end of the day he can turn round	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0	at the end of the day	figurative	identical	PRON ADV PRON DET NOUN ADV ADJ ADP PRON VERB PART CCONJ PRON NUM ADP DET ADJ VERB ADJ DET NOUN VERB PRON PART ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB ADV
Also, at the end of the day it is arguable that all that the register needs to show are the principal charges over the company's property since anyone dealing with the company can seek to find out the full extent to which the company's property has been charged once put on notice that some charges have been created.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV ADP DET NOUN ADP DET NOUN PRON VERB ADJ ADP DET ADJ DET NOUN VERB PART VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADP NOUN VERB ADP DET NOUN VERB VERB PART VERB PART DET ADJ NOUN PART ADJ DET NOUN NOUN VERB VERB VERB ADV VERB ADP NOUN ADP DET NOUN VERB VERB VERB
So I mean a as a team it wasn't really a problem at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	ADV PRON VERB DET ADP DET NOUN PRON VERB ADV DET NOUN ADP DET NOUN ADP DET NOUN
My feet were still bone dry at the end of the second day.	0 0 0 0 0 0 1 0 1 1 0 0 1	at the end of the day	literal	insertion-other	ADJ NOUN VERB ADV NOUN ADJ ADP DET NOUN ADP DET ADJ NOUN
The head of the joint UN and International Atomic Energy Agency ( IAEA ) special commission on Iraq, Rolf Ekeus, left Iraq on July 19 at the end of three days of fruitless negotiations with Iraqi officials.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	literal	determiner-broad	DET NOUN ADP DET ADJ PROPN CCONJ PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT ADJ NOUN ADP PROPN PROPN PROPN VERB PROPN ADP PROPN NUM ADP DET NOUN ADP NUM NOUN ADP ADJ NOUN ADP ADJ NOUN
On the whole, they appear as keen at the end of a very long day as at the beginning.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0	at the end of the day	literal	combined-other	ADP DET NOUN PRON VERB ADV ADJ ADP DET NOUN ADP DET ADV ADJ NOUN ADP ADP DET NOUN
‘ If things are as you say, then a man can never be sure of his wife ; never be sure that he 'll find her there when he comes home at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	identical	PUNCT ADP NOUN VERB ADP PRON VERB ADV DET NOUN VERB ADV VERB ADJ ADP ADJ NOUN PUNCT ADV VERB ADJ ADP PRON VERB VERB PRON ADV ADV PRON VERB ADV ADP DET NOUN ADP DET NOUN
The Tirajana apartments are ideal for those wishing to enjoy the nightlife and then get away from it at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	literal	identical	DET PROPN NOUN VERB ADJ ADP DET VERB PART VERB DET NOUN CCONJ ADV VERB ADV ADP PRON ADP DET NOUN ADP DET NOUN
‘ We have a link with some 250 farmers and we are working with them to produce what our customers — the consumers — want at the end of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	at the end of the day	figurative	identical	PUNCT PRON VERB DET NOUN ADP DET NUM NOUN CCONJ PRON VERB VERB ADP PRON PART VERB NOUN ADJ NOUN PUNCT DET NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN
Yeah but but at the end of the day how's that person gon na learn.	0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	identical	INTJ CCONJ CCONJ ADP DET NOUN ADP DET NOUN ADV DET NOUN VERB PART VERB
He called in his full executive to meet us and I 'm sure at the end of the day that this meeting went a long way to the tour going ahead instead of being cancelled’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB ADP ADJ ADJ NOUN PART VERB PRON CCONJ PRON VERB ADJ ADP DET NOUN ADP DET NOUN ADP DET NOUN VERB DET ADJ NOUN ADP DET NOUN VERB ADV ADV ADP VERB X
