‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV
I experienced a moment of complete terror in which my mind raced — I had been discovered after all ; it was obvious that I had a limp ; everyone could see it ; they 'd seen it all along and had chosen this moment to hit me with it, my weakest moment …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN VERB PUNCT PRON VERB VERB VERB ADV ADV PUNCT PRON VERB ADJ ADP PRON VERB DET ADJ PUNCT NOUN VERB VERB PRON PUNCT PRON VERB VERB PRON DET ADV CCONJ VERB VERB DET NOUN PART VERB PRON ADP PRON ADJ ADJ NOUN PUNCT
Interest - rate spreads for Italy and Spain are widening again, while borrowing costs for Portugal and Greece remained high all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	NOUN PUNCT NOUN NOUN ADP PROPN CCONJ PROPN VERB VERB ADV ADP VERB NOUN ADP PROPN CCONJ PROPN VERB ADJ ADV ADV
Delaney had a split second to realise that all along it had been setting up a trap for them.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB DET NOUN ADV PART VERB ADP DET ADP PRON VERB VERB VERB PART DET NOUN ADP PRON
Of course, Jim had instantly seen what I 'd missed all along with my stupid envy.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	ADV ADV PROPN VERB ADV VERB NOUN PRON VERB VERB DET ADV ADP ADJ ADJ NOUN
Thomas found himself ill - equipped to answer this bidding call effectively : This doubt of myself is the more powerful, because I see how all along my senses are so powerful.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	PROPN VERB PRON ADV PUNCT VERB PART VERB DET NOUN NOUN ADV PUNCT DET NOUN ADP PRON VERB DET ADV ADJ ADP PRON VERB ADV ADV ADP ADJ NOUN VERB ADV ADJ
German defences were sited in depth all along the ridge, giving them an uninterrupted view of British movements.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADJ NOUN VERB VERB ADP NOUN DET ADP DET NOUN VERB PRON DET ADJ NOUN ADP ADJ NOUN
Of course, deep inside me, I knew all along that they knew.	0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	ADV ADV ADV ADP PRON PRON VERB ADV ADP ADP PRON VERB
What is surprising about the electoral result is not that Mr. Lagos won ( after all he was the favorite all along ), but that Mr. Lavin was able to mount such an effective challenge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN VERB ADJ ADP DET ADJ NOUN VERB ADV ADP PROPN PROPN VERB PUNCT ADV ADV PRON VERB DET ADJ DET ADV PUNCT CCONJ ADP PROPN PROPN VERB ADJ PART VERB ADJ DET ADJ NOUN
He had known all along that it must be his fault.	0 0 0 1 1 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET ADP ADP PRON VERB VERB ADJ NOUN
‘ I was right all along.	0 0 0 0 1 1	all along	figurative	identical	PUNCT PRON VERB ADV ADV ADV
All along here?this There's a sign on this, this shelf I think.	1 1 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP PRON ADV DET NOUN ADP DET DET NOUN PRON VERB
Enoch Powell had been right all along.	0 0 0 0 0 1 1	all along	figurative	identical	PROPN PROPN VERB VERB ADV ADV ADV
But to the bulk of the party, Law s presence in government was a guarantee of the party's independence ; with Law in charge the party would extract from coalition whatever there was to be gained, but at no risk, and when stripped of all complications this was more or less what Bonar Law intended all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PROPN PART NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT ADP PROPN ADP NOUN DET NOUN VERB VERB ADP NOUN ADJ ADV VERB PART VERB VERB CCONJ ADP DET NOUN CCONJ ADV VERB ADP DET NOUN DET VERB ADV CCONJ ADJ NOUN PROPN PROPN VERB DET ADV
She had known this all along, but she knew it with a different knowledge now.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET DET ADV CCONJ PRON VERB PRON ADP DET ADJ NOUN ADV
I know Jack was no good, knew it all along, but I didn't care.	0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON VERB PROPN VERB DET ADJ VERB PRON DET ADV CCONJ PRON VERB VERB
So did he know all along, then, that you are — were,—’ she corrected swiftly, ‘ Mark's sister?	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV VERB PRON VERB ADV ADV ADV ADP PRON VERB PUNCT ADV PRON VERB ADV PUNCT PROPN NOUN
Under the relentless pressure all along the front, French commanders of every sector were desperately appealing for reserves ; which often were simply not there.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADP DET ADJ NOUN DET ADP DET ADJ ADJ NOUN ADP DET NOUN VERB ADV VERB ADP NOUN PUNCT ADJ ADV VERB ADV ADV ADV
Max says that's what he had in mind all along.’	0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	PROPN VERB DET NOUN PRON VERB ADP NOUN DET PUNCT
She never seemed to completely shake the dumb blonde image, perhaps because her squeaky little girl voice operated to remind us all along that she was a Working Girl rather than Woman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON ADV VERB PART ADV VERB DET ADJ ADJ NOUN ADV ADP ADJ ADJ ADJ NOUN NOUN VERB PART VERB PRON DET ADP ADP PRON VERB DET PROPN PROPN ADV ADP PROPN
No, Maidstone had been right all along : Sandison knew nothing about what went on in the city.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	INTJ PROPN VERB VERB ADV ADV ADV PUNCT PROPN VERB NOUN ADP NOUN VERB PART ADP DET NOUN
Amir now announced that he had all along been a Communist!	0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	PROPN ADV VERB ADP PRON VERB ADV ADV VERB DET PROPN
Leo was probably fun to be with, a great companion, a good friend, she thought, then gave a wry chagrined smile as he turned towards her as though he 'd been aware of her presence all along — and she might have known he wouldn't do anything so obliging as to walk off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB ADV ADJ PART VERB ADP DET ADJ NOUN DET ADJ NOUN PRON VERB ADV VERB DET NOUN VERB NOUN ADP PRON VERB ADP PRON ADP ADP PRON VERB VERB ADJ ADP ADJ NOUN DET ADV PUNCT CCONJ PRON VERB VERB VERB PRON VERB VERB NOUN ADV VERB ADP PART VERB ADV
He then mobilised, with the co - operation of the other companies concerned, an army of platelayers and other company servants who were deployed within sight of one another, all along the 600 miles of railway between Windsor and Ballater ; every yard of the route was narrowly inspected, and every bridge, viaduct, tunnel, and level crossing was closely watched and guarded until the train had passed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PRON ADV VERB ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN CCONJ ADJ NOUN NOUN NOUN VERB VERB ADP NOUN ADP NOUN DET ADV ADP DET NUM NOUN ADP NOUN ADP PROPN CCONJ PROPN PUNCT DET NOUN ADP DET NOUN VERB ADV VERB CCONJ DET NOUN NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB CCONJ VERB ADP DET NOUN VERB VERB
But if just once I feel I 've run as hard as I possible could, in good shape, and I 've still only done 27:50, maybe I 'll be happy to say, ‘ Oh well, Solly, you 've been kidding yourself all along’.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	CCONJ ADP ADV ADV PRON VERB PRON VERB VERB ADV ADV ADP PRON ADJ VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADV VERB NUM ADV PRON VERB VERB ADJ PART VERB PUNCT INTJ INTJ ADV PRON VERB VERB VERB PRON DET X
This was the kind of diversification Daimler should have pursued all along, rather than chasing grandiose ‘ synergies’ which probably do not exist.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET VERB DET NOUN ADP NOUN PROPN VERB VERB VERB ADV ADV ADV ADP VERB ADJ PUNCT NOUN ADJ ADV VERB ADV VERB
He is not quite as good as Mike Gatting, who works the ball all along the ground on both sides of the wicket, but Graham now has no fear of stepping down the track to any spinner and planting the ball firmly over long - on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PRON VERB ADV ADV ADV ADJ ADP PROPN PROPN NOUN VERB DET NOUN DET ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ PROPN ADV VERB DET NOUN ADP VERB ADP DET NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV ADP ADV PUNCT ADV
All along the valley, stream that flashest white, Deepening thy voice with the deepening of the night, All along the valley, where thy waters flow, I walked with one I loved two and thirty years ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET NOUN NOUN ADP ADJ ADJ VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADV ADP DET NOUN ADV ADJ NOUN VERB PRON VERB ADP NUM PRON VERB NUM CCONJ NUM NOUN ADV
It was only now that appreciate what nature has known all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADV ADV ADJ VERB NOUN NOUN VERB VERB DET ADV
B : Oh he got a fine If it later transpires that Harry got a life sentence too, then B ( if he knew this all along ) would certainly be guilty of misleading A, for he has failed to provide all the information that might reasonably be required in the situation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN PUNCT INTJ PRON VERB DET NOUN ADP PRON ADV NOUN ADJ PROPN VERB DET NOUN NOUN ADV ADV NOUN PUNCT ADP PRON VERB DET DET ADP PUNCT VERB ADV VERB ADJ ADP VERB PROPN ADP PRON VERB VERB PART VERB ADJ DET NOUN ADJ VERB ADV VERB VERB ADP DET NOUN
He said all along he wanted to go to Manchester City, but if he couldn't go there he would sign for Palace,’ said Coppell.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADV ADP PRON VERB PART VERB ADP PROPN PROPN CCONJ ADP PRON VERB VERB ADV PRON VERB VERB ADP PROPN VERB PROPN
It was tempting to consider asking Bill himself to share the stage, but the consensus of opinion was that people might find the combination a little ghostly, a little too reminiscent, when all along my instinct was to convey the spirit and feeling of Grenfell, without resorting to mimicry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADJ PART VERB VERB PROPN PRON PART VERB DET NOUN CCONJ DET NOUN ADP NOUN VERB ADP NOUN VERB VERB DET NOUN DET ADJ ADV DET ADJ ADV ADJ ADV ADV ADP ADJ NOUN VERB PART VERB DET NOUN CCONJ NOUN ADP PROPN ADP VERB ADP VERB
It now transpires that mothers have been right all along.	0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB ADJ NOUN VERB VERB ADV ADV ADV
‘ Someone been here all along.’	0 0 0 0 1 1	all along	figurative	dashes	PUNCT NOUN VERB ADV ADV PUNCT
The return journey was on a very old bus which picked up people, with baskets of vegetables ready for Funchal market, all along its route.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	DET NOUN NOUN VERB ADP DET ADV ADJ NOUN ADJ VERB PART NOUN ADP NOUN ADP NOUN ADJ ADP PROPN NOUN ADV ADP ADJ NOUN
That's been the trouble all along, hasn't it?	0 0 0 0 1 1 0 0	all along	figurative	identical	DET VERB DET NOUN DET ADV VERB PRON
We owe it to our supporters who have been magnificent all along the line,’ says McGilligan.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON VERB PRON ADP ADJ NOUN NOUN VERB VERB ADJ ADV ADP DET NOUN VERB PROPN
I just said it as if I 'd known it all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB PRON ADP ADP PRON VERB VERB PRON DET ADV
It was at the back of my mind all along, you and him.	0 0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	PRON VERB ADP DET NOUN ADP ADJ NOUN ADV ADV PRON CCONJ PRON
Well, wasn't that what she had wanted — to let him see that she had known all along what lay behind his invitation this evening?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	all along	figurative	identical	INTJ VERB DET NOUN PRON VERB VERB PUNCT PART VERB PRON VERB ADP PRON VERB VERB DET ADP NOUN VERB ADP ADJ NOUN DET NOUN
Fairclough as I think I 've maintained all along is probably better in midfield/ the Batts role where his f**k ups are slightly better hidden.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	VERB ADP PRON VERB PRON VERB VERB ADV ADV VERB ADV ADJ ADP NOUN DET ADJ NOUN ADV ADJ NOUN NOUN VERB ADV ADV VERB
She 'd wondered all along why someone like Dane should be attracted to her.	0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	literal	identical	PRON VERB VERB ADV ADV ADV NOUN ADP PROPN VERB VERB VERB ADP PRON
The prison, where some of the dissidents who opposed the Shahs rule were held by SAVAK, was painted up, the street were cleaned, pots of flowers were placed all along the main roads, birds in cages were hung from lamp posts, shopkeepers were given blue coats to wear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	DET NOUN ADV DET ADP DET NOUN NOUN VERB DET PROPN NOUN VERB VERB ADP PROPN VERB VERB PART DET NOUN VERB VERB NOUN ADP NOUN VERB VERB ADV ADP DET ADJ NOUN NOUN ADP NOUN VERB VERB ADP NOUN NOUN NOUN VERB VERB ADJ NOUN PART VERB
And Julius had known all along that it was Eleanor!	0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	CCONJ PROPN VERB VERB DET ADP ADP PRON VERB PROPN
