Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET
The nuns were some of the best doctors in a Europe and saved may a person from death but old Henry put paid to them, flattening the convent and pillaging its treasures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB DET ADP DET ADJ NOUN ADP DET PROPN CCONJ VERB VERB DET NOUN ADP NOUN CCONJ ADJ PROPN VERB VERB ADP PRON VERB DET NOUN CCONJ VERB ADJ NOUN
THREE second half tries in eight minutes from Wigan put paid to any hopes the ambitious Eagles had of grabbing a shock win at Central Park last night.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NUM ADJ NOUN VERB ADP NUM NOUN ADP PROPN VERB VERB ADP DET NOUN DET ADJ PROPN VERB ADP VERB DET NOUN NOUN ADP PROPN PROPN ADJ NOUN
The Russian winter, famous for defeating the country's enemies, this time put paid to a tsar.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	DET ADJ NOUN ADJ ADP VERB DET NOUN NOUN DET NOUN VERB VERB ADP DET NOUN
The growth of competition put paid to repeated attempts by the railways and the political authorities to establish a financially viable railway.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP VERB NOUN ADP DET NOUN CCONJ DET ADJ NOUN PART VERB DET ADV ADJ NOUN
It was not a good year for them to start with, and this year's explosion in grey squirrel numbers seems to have put paid to the few that did form.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PRON VERB ADV DET ADJ NOUN ADP PRON PART VERB ADP CCONJ DET NOUN NOUN ADP ADJ ADJ NOUN VERB PART VERB VERB VERB ADP DET ADJ ADJ VERB NOUN
Up to the time of her deafness, she had ambitions to be a music composer but her deafness put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	ADP ADP DET NOUN ADP ADJ NOUN PRON VERB NOUN PART VERB DET NOUN NOUN CCONJ ADJ NOUN VERB VERB ADP DET
But the steely ‘ So fuck you, smarty - pants, ‘ cos he's mine’ look in Karen's eye soon put paid to that idea.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET ADV PROPN ADV ADJ PRON NOUN PUNCT NOUN PUNCT ADP PRON NOUN VERB ADP PROPN NOUN ADV VERB VERB ADP DET NOUN
On top of that the 1987 stock market crash and a steep domestic increase in interest rates nearly nearly put paid to some of them — including DnC.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	ADP NOUN ADP DET DET NUM NOUN NOUN NOUN CCONJ DET ADJ ADJ NOUN ADP NOUN NOUN ADV ADV VERB VERB ADP DET ADP PRON PUNCT VERB NOUN
And, if she 'd had any illusions about being able to deceive him, his behaviour over the past two days had put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	CCONJ ADP PRON VERB VERB DET NOUN ADP VERB ADJ PART VERB PRON ADJ NOUN ADP DET ADJ NUM NOUN VERB VERB VERB ADP DET
The Romanian trip had put paid to that.	0 0 0 0 1 1 1 0	put paid to	figurative	identical	DET ADJ NOUN VERB VERB VERB ADP DET
On Tuesday night they easily put paid to Newtownards ' slight remaining hopes, by beating them 3.5–1.5.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP PROPN NOUN PRON ADV VERB VERB ADP PROPN PART ADJ VERB NOUN ADP VERB PRON NOUN
Bath have already put pay to two Central South sides ; they demolished Oxford 82:9 and then hit Hereford for 48 points.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	NOUN VERB ADV VERB NOUN ADP NUM PROPN PROPN NOUN PUNCT PRON VERB PROPN NUM CCONJ ADV VERB PROPN ADP NUM NOUN
