And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN
But when the 28-year - old Luton osteopath becomes Britain's only competitor in this month's Pentjak Silat World Championships in Indonesia, harming an opponent will be the last thing on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	CCONJ ADV DET NUM PUNCT ADJ PROPN NOUN VERB PROPN ADJ NOUN ADP DET NOUN PROPN PROPN PROPN PROPN ADP PROPN VERB DET NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN
Death was very much on my mind, yet I could not tear my attention away from the cavortings of those two inhuman beings.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	NOUN VERB ADV ADJ ADP ADJ NOUN CCONJ PRON VERB ADV VERB ADJ NOUN ADV ADP DET NOUN ADP DET NUM ADJ NOUN
MOSCOW – My great - grandfather, Nikita ~ Khrushchev, has been on my mind recently.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on someone's mind	figurative	possessive	PROPN PUNCT ADJ ADJ PUNCT NOUN PROPN PUNCT PROPN VERB VERB ADP ADJ NOUN ADV
Harold Wilson obviously had something on his mind and he told us that if we watched the television news we would hear something that he was sure would be of interest to us.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN ADV VERB NOUN ADP ADJ NOUN CCONJ PRON VERB PRON ADP ADP PRON VERB DET NOUN NOUN PRON VERB VERB NOUN ADJ PRON VERB ADJ VERB VERB ADP NOUN ADP PRON
Only a drift of her stayed on the solemn air of the dining room — a drift of Parma violet and a heavy load on Nicandra's mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	ADV DET NOUN ADP ADJ VERB ADP DET ADJ NOUN ADP DET NOUN NOUN PUNCT DET NOUN ADP PROPN NOUN CCONJ DET ADJ NOUN ADP PROPN NOUN
Open season for debs with books on their mind Susannah Herbert joins the girls at a grooming session for the Berkeley Dress Show	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN
It was as if Creed had something more important on his mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADP ADP PROPN VERB NOUN ADV ADJ ADP ADJ NOUN
She looked at him thoughtfully, wondering if he had something on his mind.	0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADP PRON ADV VERB ADP PRON VERB NOUN ADP ADJ NOUN
EXPECTANT parents have many worries on their mind aside from the naming of the child.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN NOUN VERB ADJ NOUN ADP ADJ NOUN ADV ADP DET NOUN ADP DET NOUN
The man had escape on his mind, not dalliance.	0 0 0 0 1 1 1 0 0	on someone's mind	figurative	possessive	DET NOUN VERB NOUN ADP ADJ NOUN ADV NOUN
The whole episode left its mark on William's mind.	0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	DET ADJ NOUN VERB ADJ NOUN ADP PROPN NOUN
He had his back to us and other things on his mind by the look of him.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	literal	possessive	PRON VERB ADJ NOUN ADP PRON CCONJ ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP PRON
