Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN
Neither was able to brake and in seconds both vanished over the top of an ice cliff, falling on to the seracs below.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET VERB ADJ PART VERB CCONJ ADP NOUN DET VERB ADP DET NOUN ADP DET NOUN NOUN VERB ADP ADP DET NOUN ADV
They 're not way over the top.	0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB ADV NOUN ADP DET NOUN
But this time Hardy went straight on to the attack, putting Holmes on the canvas with a right over the top for an initial count of seven.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	CCONJ DET NOUN PROPN VERB ADV ADV ADP DET NOUN VERB PROPN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADP NUM
In a rough - house, there were some constables who, even their colleagues recognized, could go over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	ADP DET ADJ PUNCT NOUN ADV VERB DET NOUN NOUN ADV ADJ NOUN VERB VERB VERB ADP DET NOUN
Both men hurtled on over the top of Barbara in a tangle of limbs, crashing to the office floor.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN VERB PART ADP DET NOUN ADP PROPN ADP DET NOUN ADP NOUN VERB ADP DET NOUN NOUN
Over the tops of the heads Jess stared at her, hunting for help that she knew would never come.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	combined-inflection	ADP DET NOUN ADP DET NOUN PROPN VERB ADP PRON VERB ADP NOUN ADP PRON VERB VERB ADV VERB
Alternatively you could take a right turn from the lane leading to Ings ( 2 miles from the Garburn road ), and cross over a small hill top called Orrest Head ( 1.25 miles ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	over the top	literal	combined-other	ADV PRON VERB VERB DET ADJ NOUN ADP DET NOUN VERB ADP PROPN PUNCT NUM NOUN ADP DET PROPN NOUN PUNCT CCONJ VERB ADP DET ADJ NOUN NOUN VERB PROPN PROPN PUNCT NUM NOUN PUNCT
Very popular is a dark brick red, with a thin coat of green over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADV ADJ VERB DET ADJ NOUN NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN
There's no space over the top of it to ‘ fly’ anything.	0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	ADV DET NOUN ADP DET NOUN ADP PRON ADP ADJ ADJ NOUN
Still dressed in the chestnut - coloured cotton suit with its pleated skirt and casual blouse - type jacket over a short - sleeved white silk top in which she had travelled, she dragged a comb through her wavy dark hair, tucking the long side strands behind her ears, before renewing the soft bronze lipstick which emphasised the gentle curves of her soft - lipped mouth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	combined-other	ADV VERB ADP DET NOUN PUNCT VERB NOUN NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN PUNCT NOUN NOUN ADP DET ADJ PUNCT ADJ ADJ NOUN NOUN ADP ADJ PRON VERB VERB PRON VERB DET NOUN ADP ADJ ADJ ADJ NOUN VERB DET ADJ NOUN VERB ADP ADJ NOUN ADP VERB DET ADJ NOUN NOUN ADJ VERB DET ADJ NOUN ADP ADJ ADJ PUNCT ADJ NOUN
John's wife Clare has to stand outside the stable on a crate with Milton's tail over the top of the stable door and pull it from there, while John has him twitched at the front end.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PROPN NOUN PROPN VERB PART VERB ADP DET NOUN ADP DET NOUN ADP PROPN NOUN ADP DET NOUN ADP DET ADJ NOUN CCONJ VERB PRON ADP ADV ADP PROPN VERB PRON VERB ADP DET ADJ NOUN
Going over the top e.g. screaming at the kids over something minor	0 1 0 1 0 0 0 0 0 0 0 0	over the top	figurative	identical	VERB ADP DET ADJ ADV VERB ADP DET NOUN ADP NOUN ADJ
There was one girl there today, she was about fifteen or seventeen and she had to put her coat on over the top of the gown because it was	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	ADV VERB NUM NOUN ADV NOUN PRON VERB ADV NUM CCONJ NUM CCONJ PRON VERB PART VERB ADJ NOUN ADP ADP DET NOUN ADP DET NOUN ADP PRON VERB
More than half of those questioned admitted to ‘ going over the top’ when disciplining their children.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	over the top	figurative	dashes	ADJ ADP NOUN ADP DET VERB VERB ADP PRON VERB ADP DET NOUN ADV VERB ADJ NOUN
AF boss Dr Bruno Broughton said : ‘ There is nothing wrong with the bulk of the IFM proposals but forcing people to qualify before being allowed to go fishing is over the top.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	dashes	NOUN NOUN PROPN PROPN PROPN VERB PUNCT PUNCT ADV VERB NOUN ADJ ADP DET NOUN ADP DET PROPN NOUN CCONJ VERB NOUN PART VERB ADP VERB VERB PART VERB NOUN VERB ADP DET NOUN
Arrange in a buttered dish and sprinkle the sultanas evenly over the top.	0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADV ADP DET NOUN
She eyed him over the top.	0 0 0 1 0 1	over the top	literal	identical	PRON VERB PRON ADP DET NOUN
There's times when he can go over the top.	0 0 0 0 0 0 1 0 1	over the top	figurative	identical	ADV NOUN ADV PRON VERB VERB ADP DET NOUN
I suppose it can be the same I think it's just a bit more extreme like the characteristic he shows when he's in female company like erm just like going over the top the way he acts	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	over the top	figurative	identical	PRON VERB PRON VERB VERB DET ADJ PRON VERB PRON ADV DET NOUN ADV ADJ ADP DET NOUN PRON VERB ADV PRON ADP ADJ NOUN ADP ADV ADV ADP VERB ADP DET NOUN DET NOUN PRON VERB
It takes you across lonely beaches and over wild cliff - tops.	0 0 0 0 0 0 0 1 0 0 0 1	over the top	literal	combined-inflection	PRON VERB PRON ADP ADJ NOUN CCONJ ADP ADJ NOUN PUNCT NOUN
" Yes, they 're only just over the top.	0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PUNCT INTJ PRON VERB ADV ADV ADP DET NOUN
Here the waters are mainly sea with freshwater flowing over the top.	0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADV DET NOUN VERB ADV NOUN ADP NOUN VERB ADP DET NOUN
As they belted over the top of the wheel, the wind plucked his laughter away into the night.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADP PRON VERB ADP DET NOUN ADP DET NOUN DET NOUN VERB ADJ NOUN ADV ADP DET NOUN
It's gone up the wall over the top	0 0 0 0 0 1 0 1	over the top	literal	identical	PRON VERB PART DET NOUN ADP DET NOUN
That's totally over the top isn't it really?	0 0 1 0 1 0 0 0	over the top	figurative	identical	DET ADV ADP DET NOUN VERB PRON ADV
Anna's eyes, visible over the top of her handkerchief, were enormous.	0 0 0 1 0 1 0 0 0 0 0	over the top	literal	identical	PROPN NOUN ADJ ADP DET NOUN ADP ADJ NOUN VERB ADJ
Her raincoat was not belted — her skirt was too long — her brown hair hung down her back with a pale blue kerchief tied over the top of it to keep it clean on the train.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADJ NOUN VERB ADV VERB PUNCT ADJ NOUN VERB ADV ADJ PUNCT ADJ ADJ NOUN VERB PART ADJ ADV ADP DET ADJ ADJ NOUN VERB ADP DET NOUN ADP PRON PART VERB PRON ADJ ADP DET NOUN
Sometimes they just go over the top.	0 0 0 0 1 0 1	over the top	figurative	identical	ADV PRON ADV VERB ADP DET NOUN
Other preamps have at least two coupled stages, but nine seems seriously over the top and promises something totally outrageous in the old fire and brimstone department.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	ADJ NOUN VERB ADV ADV NUM VERB NOUN CCONJ NUM VERB ADV ADP DET NOUN CCONJ VERB NOUN ADV ADJ ADP DET ADJ NOUN CCONJ NOUN NOUN
Melt the remaining butter and brush over the biscuit tops, then bake for about 12–15 minutes until golden brown and the sides spring back when squeezed.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	combined-inflection	PROPN DET VERB NOUN CCONJ NOUN ADP DET NOUN VERB ADV VERB ADP ADV NUM NOUN ADP ADJ ADJ CCONJ DET NOUN VERB ADV ADV VERB
THE FRENCH love to lay on the style and their over - the - top preliminaries -world's biggest scrum, Un Show Laser — to this week's Bicentenary match against the Lions in Paris gave the evening a sense of occasion which the rugby itself also justified.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	DET PROPN NOUN PART VERB ADP DET NOUN CCONJ ADJ ADP PUNCT DET PUNCT ADJ NOUN PART ADJ NOUN PROPN PROPN PROPN PUNCT ADP DET NOUN PROPN NOUN ADP DET PROPN ADP PROPN VERB DET NOUN DET NOUN ADP NOUN ADJ DET NOUN PRON ADV VERB
In fact I thought the whole fairy - palace effect was a long way over the top and painfully unoriginal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	figurative	identical	ADP NOUN PRON VERB DET ADJ NOUN PUNCT NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN CCONJ ADV ADJ
Bend the straws over the top of the cake and then trim their ends so that the points meet in the centre of the cake.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB DET NOUN ADP DET NOUN ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP ADP DET NOUN VERB ADP DET NOUN ADP DET NOUN
Did you see over the top?	0 0 0 1 0 1	over the top	literal	identical	VERB PRON VERB ADP DET NOUN
Keith thinks this is over the top.	0 0 0 0 1 0 1	over the top	figurative	identical	PROPN VERB DET VERB ADP DET NOUN
I 'm scared that sometimes I go over the top with too many solos in the one song, but I try and keep them as simple as I can.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	PRON VERB ADJ ADP ADV PRON VERB ADP DET NOUN ADP ADV ADJ NOUN ADP DET NUM NOUN CCONJ PRON VERB CCONJ VERB PRON ADV ADJ ADP PRON VERB
I simply urge you to be reasonable and not go over the top.’	0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	dashes	PRON ADV VERB PRON PART VERB ADJ CCONJ ADV VERB ADP DET NOUN
He come back to me he says, it's spilling over the top because the chutes are blocked up he says I 'll tell the track driver, the track driver says, Oh well get the to clean that up.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON VERB ADV ADP PRON PRON VERB PRON VERB ADP DET NOUN ADP DET NOUN VERB VERB PART PRON VERB PRON VERB VERB DET NOUN NOUN DET NOUN NOUN VERB INTJ INTJ VERB DET PART VERB DET PART
‘ What is there to get excited about?’ said Morris easily, the flesh beneath his chin folding over the top of his collar as he leaned back into the cushions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PUNCT NOUN VERB ADV PART VERB ADJ NOUN VERB PROPN ADV DET NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP PRON VERB ADV ADP DET NOUN
He looked, I thought, a touch over the top.	0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB PRON VERB DET NOUN ADP DET NOUN
Now, suddenly, he had an uneasy feeling that he had allowed himself to go a little‘over the top’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1	over the top	figurative	insertion-determiner	ADV ADV PRON VERB DET ADJ NOUN ADP PRON VERB VERB PRON PART VERB DET NOUN DET NOUN
okay, round the base of your thumb, basically what we want to do is we want to clamp these fingers in so they can't come un unstuck, we want to push them together because she can't keep them shut like that, but the next thing is that you come round to the back where the little finger is, the next time you come round here, you 're gon na come round to about the first thumb joint okay and then you 're gon na go over the top okay and if you come round again the little thumb, by, by the little finger, you come round again to the thumb joint okay, come over the top again, round, we 're just making really like the figure of eight, but all the time we 're keeping off of this wrist here and I 'm keeping her fingers in, are you alright still?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	INTJ VERB DET NOUN ADP ADJ NOUN ADV NOUN PRON VERB PART VERB VERB PRON VERB PART VERB DET NOUN ADP ADP PRON VERB VERB INTJ NOUN PRON VERB PART VERB PRON ADV ADP PRON VERB VERB PRON VERB ADP DET CCONJ DET ADJ NOUN VERB ADP PRON VERB ADV ADP DET NOUN ADV DET ADJ NOUN VERB DET ADJ NOUN PRON VERB ADV ADV PRON VERB VERB PART VERB ADV ADP ADP DET ADJ NOUN NOUN INTJ CCONJ ADV PRON VERB VERB PART VERB ADP DET ADJ INTJ CCONJ ADP PRON VERB ADV ADV DET ADJ NOUN ADV ADP DET ADJ NOUN PRON VERB ADV ADV ADP DET NOUN NOUN INTJ VERB ADP DET NOUN ADV ADV PRON VERB ADV VERB ADV ADP DET NOUN ADP NUM CCONJ ADJ DET NOUN PRON VERB VERB ADP ADP DET NOUN ADV CCONJ PRON VERB VERB ADJ NOUN ADP VERB PRON INTJ ADV
There are times when barbel are so preoccupied with whatever business they have at hand, whether it be feeding, spawning, or just browsing, you can stand on the river's edge right over the top of them and watch them without them taking fright and scurrying off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADV VERB NOUN ADV VERB VERB ADV ADJ ADP ADJ NOUN PRON VERB ADP NOUN ADP PRON VERB VERB VERB CCONJ ADV VERB PRON VERB VERB ADP DET NOUN NOUN ADV ADP DET NOUN ADP PRON CCONJ VERB PRON ADP PRON VERB NOUN CCONJ VERB PART
Go over the top?	0 1 0 1	over the top	figurative	identical	VERB ADP DET NOUN
He looked at Withel over the top of the paper.	0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	PRON VERB ADP PROPN ADP DET NOUN ADP DET NOUN
Now on that twenty feet long, now I 'm up about say, you can say anything like about fifteen feet up in the in the air, might be less than that and then you got twenty feet up like that, well then there used to be wire and used to have a big wheel in top, which you couldn't go over the top and with a wire, then I used to have a sling chain, my main hook and that was thirteen foot long and you take th that and on, on working on top of the lorry, see you got to be so careful and there's men working on that lorry as well, course I broke the wheel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADV ADP DET NUM NOUN ADJ ADV PRON VERB PART ADP VERB PRON VERB VERB NOUN ADP ADV NUM NOUN ADV ADP DET ADP DET NOUN VERB VERB ADJ ADP DET CCONJ ADV PRON VERB NUM NOUN PART ADP DET INTJ ADV ADV VERB PART VERB NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN ADJ PRON VERB VERB ADP DET NOUN CCONJ ADP DET NOUN ADV PRON VERB PART VERB DET NOUN NOUN ADJ ADJ NOUN CCONJ DET VERB NUM NOUN ADJ CCONJ PRON VERB X DET CCONJ ADV ADP VERB ADP NOUN ADP DET NOUN VERB PRON VERB PART VERB ADV ADJ CCONJ ADV NOUN VERB ADP DET NOUN ADV ADV NOUN PRON VERB DET NOUN
Mix together the breadcrumbs and cheese and sprinkle over the top.	0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	VERB ADV DET NOUN CCONJ NOUN CCONJ VERB ADP DET NOUN
I thought he was going well over the top, actually.	0 0 0 0 0 0 1 0 1 0	over the top	figurative	identical	PRON VERB PRON VERB VERB ADV ADP DET NOUN ADV
Cosmetically, the NY-5 is a bit over the top.	0 0 0 0 0 0 1 0 1	over the top	figurative	identical	ADV DET NOUN VERB DET NOUN ADP DET NOUN
It may then penetrate the side of a tank or fly over the top.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	PRON VERB ADV VERB DET NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN
Hm, trouble is it tends to come over the top of the bowl ..	0 0 0 0 0 0 0 1 0 1 0 0 0 0	over the top	literal	identical	INTJ NOUN VERB PRON VERB PART VERB ADP DET NOUN ADP DET NOUN PUNCT
Questor Column : Highland shares over the top	0 0 0 0 0 1 0 1	over the top	literal	identical	PROPN PROPN PUNCT PROPN VERB ADP DET NOUN
Now someone else told me, and it worked, and if you just lay a piece of kitchen paper over the top, that absorbs some of the moisture	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	ADV NOUN ADV VERB PRON CCONJ PRON VERB CCONJ ADP PRON ADV VERB DET NOUN ADP NOUN NOUN ADP DET NOUN ADJ VERB DET ADP DET NOUN
Jonna was still courting a girl from the neighbouring farm over the moor top at Skiplam.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	over the top	literal	insertion-other	PROPN VERB ADV VERB DET NOUN ADP DET VERB NOUN ADP DET NOUN NOUN ADP PROPN
This Aladdin goes right back to the 1,001 Nights, showing us Scheherezade ( Eartha Kitt ) being turned into the Genie of the Ring and the Caliph of Baghdad ( Sylvester McCoy ) into the Slave of the Lamp by the Grand Vizier Abanazer ( Peter Blake as a deliciously over - the - top wicked uncle ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	over the top	figurative	dashes	DET PROPN VERB ADV ADV ADP DET NUM PROPN VERB PRON PROPN PUNCT PROPN PROPN PUNCT VERB VERB ADP DET PROPN ADP DET PROPN CCONJ DET PROPN ADP PROPN PUNCT PROPN PROPN PUNCT ADP DET PROPN ADP DET PROPN ADP DET PROPN PROPN PROPN PUNCT PROPN PROPN ADP DET ADV ADP PUNCT DET PUNCT ADJ ADJ NOUN PUNCT
Em, much earlier you was on about this erm, erm, television licences, er, be it, an another extra twenty pound being added to any, another set over the top of what you 've got.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	over the top	literal	identical	INTJ ADV ADV PRON VERB ADP ADP DET NOUN NOUN NOUN NOUN INTJ VERB PRON DET DET ADJ NUM NOUN VERB VERB ADP DET DET NOUN ADP DET NOUN ADP NOUN PRON VERB VERB
Over the top, I hear you say, and so it is — splendidly over the top and a moment that will remind you, adrift in the endless hours of pseudo - realism, that the screen does after all have transformative powers.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	case	ADP DET NOUN PRON VERB PRON VERB CCONJ ADV PRON VERB PUNCT ADV ADP DET NOUN CCONJ DET NOUN ADJ VERB VERB PRON ADJ ADP DET ADJ NOUN ADP NOUN PUNCT NOUN ADP DET NOUN VERB ADV ADV VERB ADJ NOUN
And there, over the tops of the trees that grew on falling ground to their north, there on the other side of the valley was one of the liveliest country houses she had ever seen.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	inflection	CCONJ ADV ADP DET NOUN ADP DET NOUN ADJ VERB ADP VERB NOUN ADP ADJ NOUN ADV ADP DET ADJ NOUN ADP DET NOUN VERB NUM ADP DET ADJ NOUN NOUN PRON VERB ADV VERB
Over the top she had a jacket of the palest blue, and a brooch of seed pearls like a bunch of grapes.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	case	ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN NOUN ADP DET NOUN ADP NOUN
The first is an art board which comes with a design printed on it — all you have to do is place your garment over the top of the board and trace off the design before painting it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET ADJ VERB DET NOUN NOUN ADJ VERB ADP DET NOUN VERB ADP PRON PUNCT DET PRON VERB PART VERB VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN ADP VERB PRON
It did not help matters that about the time Rowell's rather reluctant jab at some New Zealand rugby habits was being published it occupied space beside reports that the All Blacks had been over - vigorous — and sometimes over - the - top — in their match against New South Wales at Sydney.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	PRON VERB ADV VERB NOUN ADP ADP DET NOUN PROPN ADV ADJ NOUN ADP DET PROPN PROPN NOUN NOUN VERB VERB VERB PRON VERB NOUN ADP NOUN ADP DET PROPN PROPN VERB VERB ADP PUNCT ADJ PUNCT CCONJ ADV ADP PUNCT DET PUNCT NOUN PUNCT ADP ADJ NOUN ADP PROPN PROPN PROPN ADP PROPN
yeah, she maybe does, but I think she's trying to, to try and promote the fact that aids patients are harmless, because a lot of aids patients are very isolated, people don't want to know them, they think you can catch it through shaking hands, drinking out the same cup and all that, and I think she's trying to prove that look I 'm alright, so should you be, but she does go a bit over the top	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	INTJ PRON ADV VERB CCONJ PRON VERB PRON VERB PART PART VERB CCONJ VERB DET NOUN ADP VERB NOUN VERB ADJ ADP DET NOUN ADP NOUN NOUN VERB ADV ADJ NOUN VERB VERB PART VERB PRON PRON VERB PRON VERB VERB PRON ADP VERB NOUN VERB PART DET ADJ NOUN CCONJ ADJ DET CCONJ PRON VERB PRON VERB PART VERB DET VERB PRON VERB ADJ ADV VERB PRON VERB CCONJ PRON VERB VERB DET NOUN ADP DET NOUN
Simpson raises his hands in the air, United have got Andy Melville and Steve Foster at the far post, Simpson still delays taking the kick, now it comes in, he knocks it in to the far post, looking for Paul, Paul heads it back over the top — and they 've scored.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	over the top	literal	identical	PROPN VERB ADJ NOUN ADP DET NOUN PROPN VERB VERB PROPN PROPN CCONJ PROPN PROPN ADP DET ADJ NOUN PROPN ADV VERB VERB DET NOUN ADV PRON VERB PART PRON VERB PRON PART ADP DET ADJ NOUN VERB ADP PROPN PROPN VERB PRON ADV ADP DET NOUN PUNCT CCONJ PRON VERB VERB
Ruthless penalising of malingerers and also of sides going over the top has brought about a quiet revolution.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	figurative	identical	ADJ NOUN ADP NOUN CCONJ ADV ADP NOUN VERB ADP DET NOUN VERB VERB PART DET ADJ NOUN
ethnic origins, yeah, I thought that was a bit over the top.	0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	ADJ NOUN INTJ PRON VERB DET VERB DET NOUN ADP DET NOUN
It happened after captain Floyd, hitting back following over - the - top introductions of European players, simply invited guests to meet the " twelve best players in the world ".	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	PRON VERB ADP NOUN PROPN VERB ADV VERB ADP PUNCT DET PUNCT ADJ NOUN ADP ADJ NOUN ADV VERB NOUN PART VERB DET PUNCT NUM ADJ NOUN ADP DET NOUN PUNCT
That's a clever ball over the top.	0 0 0 0 1 0 1	over the top	literal	identical	DET DET ADJ NOUN ADP DET NOUN
But at least Lewis is a fighting man who is eager to climb over the top of the trenches and go into battle to earn his rights.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	CCONJ ADP ADJ PROPN VERB DET NOUN NOUN NOUN VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN CCONJ VERB ADP NOUN PART VERB ADJ NOUN
The model does not make it over the top of the loop and starts to fall inverted.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN VERB ADV VERB PRON ADP DET NOUN ADP DET NOUN CCONJ VERB PART VERB VERB
It's only the one that's got like the bit over the top of it.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	PRON ADV DET NOUN ADJ VERB ADP DET NOUN ADP DET NOUN ADP PRON
She demurred a little when he said, picking up his teacup, and looking at her over the top of it, ‘ You never answered my question, Miss McAllister.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON VERB DET ADJ ADV PRON VERB VERB PART ADJ NOUN CCONJ VERB ADP PRON ADP DET NOUN ADP PRON PUNCT PRON ADV VERB ADJ NOUN PROPN PROPN
