More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN
With more initiatives in the pipeline, this growth in our sphere of influences in the industry will continue to develop and, in time, fuel growth in our membership.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP ADJ NOUN ADP DET NOUN DET NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN VERB VERB PART VERB CCONJ ADP NOUN NOUN NOUN ADP ADJ NOUN
Versions for Microsoft Corp's Windows NT and IBM Corp's OS/2 2.0 are also in the pipeline, as are new releases of native Pick and Pick for MD - DOS.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN NUM VERB ADV ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ PROPN CCONJ PROPN ADP PROPN PUNCT PROPN
PLANS to spruce up Middlesbrough's cemeteries are in the pipeline.	0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN PART VERB PART PROPN NOUN VERB ADP DET NOUN
Accordingly some have radical developments recently completed, on hand or in the pipeline, and others wish they had.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the pipeline	figurative	identical	ADV DET VERB ADJ NOUN ADV VERB ADP NOUN CCONJ ADP DET NOUN CCONJ NOUN VERB PRON VERB
But that's not all — Lynch plans to make his Twin Peaks movie series almost as long as the TV series with a third and possibly fourth in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ DET ADV DET PUNCT PROPN NOUN PART VERB ADJ PROPN PROPN NOUN NOUN ADV ADV ADV ADP DET NOUN NOUN ADP DET ADJ CCONJ ADV ADV ADP DET NOUN
P - Gel is a new semi - fluid adaptation of the same system, with a new intelligent Super - Gel rumoured to be in the technical pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	NOUN PUNCT PROPN VERB DET ADJ NOUN PUNCT NOUN NOUN ADP DET ADJ NOUN ADP DET ADJ ADJ PROPN PUNCT PROPN VERB PART VERB ADP DET ADJ NOUN
Well the thing if we did it with our as they keep saying there's some, there's so much in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	INTJ DET NOUN ADP PRON VERB PRON ADP ADJ ADP PRON VERB VERB ADV DET ADV ADV ADJ ADP DET NOUN
And we should just sort of say what is necessary to find out and everybody gets a few telephone numbers or telephone calls check out addresses find out about new ones, get in contact with the district council erm what is in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ PRON VERB ADV ADV ADV VERB NOUN VERB ADJ PART VERB PART CCONJ NOUN VERB DET ADJ NOUN NOUN CCONJ NOUN NOUN VERB PART NOUN VERB PART ADP ADJ NOUN VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN
In the turbulent world of the water industry there could be a few more shocks in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB VERB DET ADJ ADJ NOUN ADP DET NOUN
He will, however, have to start defending them and other decisions still in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB ADV VERB PART VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN
Oh she's, oh so it's just in the er pipeline at the moment is it?	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	in the pipeline	figurative	insertion-other	INTJ PRON INTJ ADV PRON ADV ADP DET INTJ NOUN ADP DET NOUN VERB PRON
The last grants to pass the great seal ( although others were in the pipeline ) were the appointments of the chief baron of the exchequer and two serjeants at law on 14 and 15 June — a last attempt by the establishment to pretend that it was business as normal.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET ADJ NOUN PART VERB DET ADJ NOUN PUNCT ADP NOUN VERB ADP DET NOUN PUNCT VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ NUM NOUN ADP NOUN ADP NUM CCONJ NUM PROPN PUNCT DET ADJ NOUN ADP DET NOUN PART VERB ADP PRON VERB NOUN ADV ADJ
Versions for Windows ~ Ç95 and Windows ~ NT are in the pipeline.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	NOUN ADP PROPN PUNCT ADJ CCONJ PROPN PUNCT PROPN VERB ADP DET NOUN
Also in the pipeline is an Australian children's TV series based on Gumnut Factory Folk Tales ( written, illustrated and published by Chris Trump, A$ 7.95 ).	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV ADP DET NOUN VERB DET ADJ NOUN NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN PUNCT VERB VERB CCONJ VERB ADP PROPN PROPN SYM NUM PUNCT
Bass have now disposed or freed more than 1,400 of their pubs and another 400 are in the pipeline, according to Bass Inns and Taverns boss Charles Darby.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PROPN VERB ADV VERB CCONJ VERB ADJ ADP NUM ADP ADJ NOUN CCONJ DET NUM VERB ADP DET NOUN VERB ADP PROPN PROPN CCONJ PROPN NOUN PROPN PROPN
Watersports centre is in the pipeline …	0 0 0 1 0 1 0	in the pipeline	figurative	identical	NOUN NOUN VERB ADP DET NOUN PUNCT
The clean, natural gas enters the National transmission System at a consistent rate and is transported around the UK to a number of strategically located compressor stations which increase the pressure in the pipeline systems up to 75 bar, equal to 1087 pounds per square inch [ psi ].	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	identical	DET ADJ ADJ NOUN VERB DET PROPN NOUN PROPN ADP DET ADJ NOUN CCONJ VERB VERB ADP DET PROPN ADP DET NOUN ADP ADV VERB NOUN NOUN ADJ VERB DET NOUN ADP DET NOUN VERB ADV PART NUM NOUN ADJ ADP NUM NOUN ADP ADJ NOUN PUNCT NOUN PUNCT
The things is there's a small possibility it may be out of print cos there's a new edition in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET NOUN VERB ADV DET ADJ NOUN PRON VERB VERB ADP ADP NOUN ADP ADV DET ADJ NOUN ADP DET NOUN
This is the team which, in co - operation with police officers, designed and implemented one of the largest service - wide command and control systems of its kind — and there are more major initiatives in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET VERB DET NOUN ADJ ADP NOUN PUNCT NOUN ADP NOUN NOUN VERB CCONJ VERB NUM ADP DET ADJ NOUN PUNCT ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN PUNCT CCONJ ADV VERB ADV ADJ NOUN ADP DET NOUN
As a result, millions of people die every year from diseases for which no new drugs are in the pipeline, while drug companies pour ~ billions into developing cures for erectile dysfunction and baldness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP DET NOUN NOUN ADP NOUN VERB DET NOUN ADP NOUN ADP ADJ DET ADJ NOUN VERB ADP DET NOUN ADP NOUN NOUN VERB PUNCT NOUN ADP VERB NOUN ADP ADJ NOUN CCONJ NOUN
The Teesside TransPennine link is part of a series of changes now under way or in the pipeline for local services:— Northallerton and Thirsk will get hourly trains to York, Leeds, Manchester and Liverpool instead of two hourly;— One train a day in each direction will take in Stockton, Hartlepool and Sunderland, terminating at Newcastle;— The Monday to Saturday Darlington to Hartlepool service, barely used and regularly cancelled, will be axed next month.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET PROPN PROPN NOUN VERB NOUN ADP DET NOUN ADP NOUN ADV ADP NOUN CCONJ ADP DET NOUN ADP ADJ PROPN PROPN CCONJ PROPN VERB VERB ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN ADV ADP NUM ADJ NUM NOUN DET NOUN ADP DET NOUN VERB VERB ADP PROPN PROPN CCONJ PROPN VERB ADP PROPN DET PROPN ADP PROPN PROPN ADP PROPN NOUN ADV VERB CCONJ ADV VERB VERB VERB VERB ADJ NOUN
The Teesside TransPennine link is part of a series of changes now under way or in the pipeline for local services:— Northallerton and Thirsk will get hourly trains to York, Leeds, Manchester and Liverpool instead of two hourly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET PROPN PROPN NOUN VERB NOUN ADP DET NOUN ADP NOUN ADV ADP NOUN CCONJ ADP DET NOUN ADP ADJ PROPN PROPN CCONJ PROPN VERB VERB ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN ADV ADP NUM ADJ
Major changes were, however, left to the new Legal Aid Board, to which responsibility for the management of the legal aid and advice schemes was transferred from the Law Society, and are still in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN VERB ADV VERB ADP DET ADJ PROPN PROPN PROPN PART ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN CCONJ NOUN NOUN VERB VERB ADP DET PROPN PROPN CCONJ VERB ADV ADP DET NOUN
Lennart Svantesson, vice - president of Volvo product planning, on the joint Renault - Volvo models in the pipeline	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PROPN PROPN NOUN PUNCT NOUN ADP PROPN NOUN NOUN ADP DET ADJ PROPN PUNCT PROPN NOUN ADP DET NOUN
He will be aware that losses by ECGD of £ 3 billion, which have already been disclosed, with the possibility of a similar sum in the pipeline, suggest that we can not afford to underestimate the possible losses to the nation if we get the ECGD judgments wrong.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PRON VERB VERB ADJ ADP NOUN ADP PROPN ADP SYM NUM NUM ADJ VERB ADV VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN VERB ADP PRON VERB ADV VERB PART VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB DET PROPN NOUN ADJ
He's got all sorts of schemes a lot of schemes in the pipeline.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB DET NOUN ADP NOUN DET NOUN ADP NOUN ADP DET NOUN
Is that going to be are there going to be any other promotional cassettes in the pipeline in the next	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the pipeline	figurative	identical	VERB DET VERB PART VERB VERB ADV VERB PART VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ
What other fiendish plans have they got in the pipeline?	0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ ADJ NOUN NOUN VERB PRON VERB ADP DET NOUN
I would make the point that it has taken thirty five years for us to reach this point where we have comprehensive strategy for York, we have battled with er various greenbelt boundaries in the past, I think there has never been erm a total review development plan requirements for the Greater York area, no more of its implications on possible greenbelt boundaries, we now have that and the greenbelt local plan, Southern Ryedale local plans are being progressed on the basis of that strategy, and there are other plans in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB VERB DET NOUN ADP PRON VERB VERB NUM NUM NOUN ADP PRON PART VERB DET NOUN ADV PRON VERB ADJ NOUN ADP PROPN PRON VERB VERB ADP DET ADJ NOUN NOUN ADP DET NOUN PRON VERB ADV VERB ADV VERB ADV DET ADJ NOUN NOUN NOUN NOUN ADP DET PROPN PROPN NOUN DET ADJ ADP ADJ NOUN ADP ADJ NOUN NOUN PRON ADV VERB DET CCONJ DET NOUN ADJ NOUN PROPN PROPN ADJ NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN
Now it appears that no improvements are in the pipeline but increased traffic is.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the pipeline	figurative	identical	ADV PRON VERB ADP DET NOUN VERB ADP DET NOUN CCONJ VERB NOUN VERB
It's been a long time in the pipeline …	0 0 0 0 0 1 0 1 0	in the pipeline	figurative	identical	PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT
Three point five million below Labour, but if you look savings in the pipeline of four point three million against the Liberal Democrats and four point eight million pounds against Labour.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NUM NOUN NUM NUM ADP PROPN CCONJ ADP PRON VERB NOUN ADP DET NOUN ADP NUM NOUN NUM NUM ADP DET PROPN PROPN CCONJ NUM NOUN NUM NUM NOUN ADP PROPN
Something in the pipeline	0 1 0 1	in the pipeline	figurative	identical	NOUN ADP DET NOUN
A number of TSMDesk enhancements are also in the pipeline.	0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET NOUN ADP NOUN NOUN VERB ADV ADP DET NOUN
However, it is true that government policies ( or lack of policies in some areas ) have contributed significantly to our problems and some of the changes that are now in the pipeline will almost certainly make matters worse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV PRON VERB ADJ ADP NOUN NOUN PUNCT CCONJ NOUN ADP NOUN ADP DET NOUN PUNCT VERB VERB ADV ADP ADJ NOUN CCONJ DET ADP DET NOUN ADJ VERB ADV ADP DET NOUN VERB ADV ADV VERB NOUN ADV
It was of public importance that the issue should be resolved because many other cases were ‘ in the pipeline’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	dashes	PRON VERB ADP ADJ NOUN ADP DET NOUN VERB VERB VERB ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN
Legislation is also in the pipeline to allow companies limited by guarantee, and hybrid companies, to be formed.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN VERB ADV ADP DET NOUN PART VERB NOUN VERB ADP NOUN CCONJ ADJ NOUN PART VERB VERB
But, if you can believe it, there's more in the pipeline.	0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ ADP PRON VERB VERB PRON ADV ADJ ADP DET NOUN
But the thrusting company does have lots of new products in the pipeline, he added, to help it on its way.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	CCONJ DET VERB NOUN VERB VERB NOUN ADP ADJ NOUN ADP DET NOUN PRON VERB PART VERB PRON ADP ADJ NOUN
It clearly will not take immediate effect, there is a lot of housing allocations and permissions in the pipeline as it were, so it will take some while for it to wash through the system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PRON ADV VERB ADV VERB ADJ NOUN ADV VERB DET NOUN ADP NOUN NOUN CCONJ NOUN ADP DET NOUN ADP PRON VERB ADP PRON VERB VERB DET NOUN ADP PRON PART VERB ADP DET NOUN
The Economy Minister revealed that ‘ further good news’ was in the pipeline, and hinted that a couple of projects were being negotiated.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET PROPN PROPN VERB ADP PUNCT ADJ ADJ NOUN VERB ADP DET NOUN CCONJ VERB ADP DET NOUN ADP NOUN VERB VERB VERB
b ) Delays in transmission of pressure change to the instruments, due to viscous and acoustic effect in the pipelines connecting instruments to the aircraft's static vents.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	literal	inflection	PUNCT PUNCT NOUN ADP NOUN ADP NOUN NOUN ADP DET NOUN ADP ADP ADJ CCONJ ADJ NOUN ADP DET NOUN VERB NOUN ADP DET NOUN ADJ NOUN
THE Ceredigion and Mid Wales NHS Trust is to hold its first public meeting on Thursday, June 24 at 7 pm in the Lecture Theatre, Postgraduate Centre, Bronglais General Hospital, Aberystwyth, giving the public an opportunity to be kept informed on the key issues which the Trust is currently facing and to hear of proposed new developments in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET PROPN CCONJ PROPN PROPN PROPN PROPN VERB PART VERB ADJ ADJ ADJ NOUN ADP PROPN PROPN NUM ADP NUM NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN DET NOUN PART VERB VERB VERB ADP DET ADJ NOUN ADJ DET PROPN VERB ADV VERB CCONJ PART VERB ADP VERB ADJ NOUN ADP DET NOUN
Over 200 SVQs have now been accredited, and more are in the pipeline.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP NUM NOUN VERB ADV VERB VERB CCONJ ADJ VERB ADP DET NOUN
Around January - February next year, there 'll be a series nattily titled Up Yours With Sean Hughes, while further Sean's Shows are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP PROPN PUNCT PROPN ADJ NOUN ADV VERB VERB DET NOUN ADV VERB PART PROPN ADP PROPN PROPN ADP ADV PROPN NOUN VERB ADP DET NOUN
Floyd, who has just finished filming in the Far East and has his autobiography and a cookery book in the pipeline, plus a new TV series, dreams of getting away from it all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PROPN NOUN VERB ADV VERB VERB ADP DET PROPN PROPN CCONJ VERB ADJ NOUN CCONJ DET NOUN NOUN ADP DET NOUN CCONJ DET ADJ NOUN NOUN NOUN ADP VERB ADV ADP PRON DET
This gas is held in regional storage facilities in both high pressure storage vessels, in high pressure pipelines and in the more familiar gas holders such as those seen in the majority of large towns throughout the South West.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	combined-inflection	DET NOUN VERB VERB ADP ADJ NOUN NOUN ADP DET ADJ NOUN NOUN NOUN ADP ADJ NOUN NOUN CCONJ ADP DET ADV ADJ NOUN NOUN ADJ ADP DET VERB ADP DET NOUN ADP ADJ NOUN ADP DET PROPN PROPN
‘ There are more Senior tournaments in the pipeline, but what I want to see are more National Open championships.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PUNCT ADV VERB ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN PRON VERB PART VERB VERB ADV PROPN PROPN NOUN
Native Americans are big business and a whole slew of revisionist Westerns are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ PROPN VERB ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN
There was to be further discussion within the organisation over Church Relations, and an assurance was given by management that there were no further redundancies in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV VERB PART VERB ADJ NOUN ADP DET NOUN ADP PROPN PROPN CCONJ DET NOUN VERB VERB ADP NOUN ADP ADV VERB DET ADJ NOUN ADP DET NOUN
Some of these developments were already in the pipeline before the publication of the government plans.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET ADP DET NOUN VERB ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN
It is good that this union has taken the trouble to prepare this report with so much E C legislation in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PRON VERB ADJ ADP DET NOUN VERB VERB DET NOUN PART VERB DET NOUN ADP ADV ADJ NOUN NOUN NOUN ADP DET NOUN
In this plant, which employs a high - pressure process developed by Ruhrchemie, the polyethylene is produced at pressures of up to 3,000 bar in high - pressure pipelines several kilometers long.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	in the pipeline	literal	combined-inflection	ADP DET NOUN ADJ VERB DET ADJ PUNCT NOUN NOUN VERB ADP PROPN DET NOUN VERB VERB ADP NOUN ADP ADP PART NUM NOUN ADP ADJ PUNCT NOUN NOUN ADJ NOUN ADV
As Alan Oliver points out : ‘ We always have new stuff in the pipeline and odious little poet Oswald works without rest to produce a steady flow of obnoxious material from which we select anything that's printable.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADP PROPN PROPN VERB PART PUNCT PUNCT PRON ADV VERB ADJ NOUN ADP DET NOUN CCONJ ADJ ADJ NOUN PROPN VERB ADP NOUN PART VERB DET ADJ NOUN ADP ADJ NOUN ADP ADJ PRON VERB NOUN ADJ NOUN
Building societies report that net new commitments in February — the amount of new mortgages in the pipeline — rose 75 per cent on the depressed level in January to £ 2.72 billion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN NOUN VERB ADP ADJ ADJ NOUN ADP PROPN PUNCT DET NOUN ADP ADJ NOUN ADP DET NOUN PUNCT VERB NUM NOUN NOUN ADP DET ADJ NOUN ADP PROPN ADP SYM NUM NUM
Other projects in the pipeline centre on auto - crime and women.	0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ NOUN ADP DET NOUN NOUN ADP NOUN PUNCT NOUN CCONJ NOUN
Do you like that?’ ) and maybe a sitcom in the pipeline, is beginning to get irked by associations with the horizontal community whose indulgences, dress code and dialogue he reflects.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	VERB PRON VERB NOUN PUNCT CCONJ ADV DET NOUN ADP DET NOUN VERB VERB PART VERB VERB ADP NOUN ADP DET ADJ NOUN ADJ NOUN VERB NOUN CCONJ NOUN PRON VERB
Stirling was naturally furious as he had no idea what was in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PROPN VERB ADV ADJ ADP PRON VERB DET NOUN NOUN VERB ADP DET NOUN
