Scraping rock bottom	0 1 1	rock bottom	figurative	identical	VERB NOUN NOUN
With this background, it is hardly surprising that consumer confidence remains close to rock bottom ( see graph below ) and the consensus forecast for consumer spending growth is at + 1 % for 1993, compared with -0.2 % for 1992 and -2.1 % for 1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP DET NOUN PRON VERB ADV ADJ ADP NOUN NOUN VERB ADJ ADP NOUN NOUN PUNCT VERB NOUN ADV PUNCT CCONJ DET NOUN NOUN ADP NOUN NOUN NOUN VERB ADP SYM NUM NOUN ADP NUM VERB ADP PUNCT NOUN ADP NUM CCONJ ADJ NOUN ADP NUM
The Daily Mirror and Butlin's — Britain's top holiday company — have teamed up to offer 125,000 breaks available from the rock bottom price of just £ 16.50 per person!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	rock bottom	figurative	identical	DET PROPN PROPN CCONJ PROPN PUNCT PROPN ADJ NOUN NOUN PUNCT VERB VERB PART PART VERB NUM NOUN ADJ ADP DET NOUN ADJ NOUN ADP ADV SYM NUM ADP NOUN
But PCs are increasingly sold through ‘ direct’ channels rather than distributors, with reliable suppliers offering rapid delivery at rock bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	rock bottom	figurative	identical	CCONJ NOUN VERB ADV VERB ADP ADJ NOUN NOUN ADV ADP NOUN ADP ADJ NOUN VERB ADJ NOUN ADP NOUN NOUN NOUN
Ogmore to Barry beach sport hit rock bottom.	0 0 0 0 0 0 1 1	rock bottom	figurative	identical	PROPN ADP PROPN NOUN NOUN VERB NOUN NOUN
It was a poor situation in which to have to assume control : Palace were rock bottom of the League with only nine points from 18 matches and had crashed 1–4 at home to Millwall in the 1st round of the FA Cup ; their seventh consecutive defeat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB DET ADJ NOUN ADP ADJ PART VERB PART VERB NOUN PUNCT PROPN VERB NOUN NOUN ADP DET PROPN ADP ADV NUM NOUN ADP NUM NOUN CCONJ VERB VERB NUM ADP NOUN ADP PROPN ADP DET ADJ NOUN ADP DET PROPN PROPN PUNCT ADJ ADJ ADJ NOUN
Erm I mean obviously you 've got people up in the flats who at times, hit absolute desperate rock - bottom situations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	NOUN PRON VERB ADV PRON VERB VERB NOUN PART ADP DET NOUN NOUN ADP NOUN VERB ADJ ADJ NOUN PUNCT NOUN NOUN
Today, the US ~ Treasury can still borrow unlimited amounts at rock - bottom interest rates.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock bottom	figurative	dashes	NOUN DET PROPN PUNCT PROPN VERB ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN NOUN
Most machines come minus a cartridge, but you don't have to spend a fortune — Audio - Technica produce a perfectly acceptable one for £ 19, although that is rock bottom : there are genuine improvements to be had by budgeting for four times that amount.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADJ NOUN VERB ADP DET NOUN CCONJ PRON VERB VERB PART VERB DET NOUN PUNCT PROPN PUNCT PROPN VERB DET ADV ADJ NUM ADP SYM NUM ADP DET VERB NOUN NOUN PUNCT ADV VERB ADJ NOUN PART VERB VERB ADP VERB ADP NUM NOUN DET NOUN
For those keeping score, that's rock bottom in 6 of 10 categories.	0 0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	ADP DET VERB NOUN DET NOUN NOUN ADP NUM ADP NUM NOUN
WordPerfect is also a subscriber to the competitive upgrade system — see the box — and will often be found offering what is normally high priced kit at a rock bottom price to persuade you to move to their products.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PROPN VERB ADV DET NOUN ADP DET ADJ NOUN NOUN PUNCT VERB DET NOUN PUNCT CCONJ VERB ADV VERB VERB VERB NOUN VERB ADV ADJ VERB NOUN ADP DET NOUN NOUN NOUN PART VERB PRON PART VERB ADP ADJ NOUN
Last night, dealers reflected the trauma by slashing the shares to 1 3/4p from 2p, valuing the group at a rock bottom £ 2.3 m.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	rock bottom	figurative	identical	ADJ NOUN NOUN VERB DET NOUN ADP VERB DET NOUN ADP NUM NUM ADP NUM VERB DET NOUN ADP DET NOUN NOUN SYM NUM NOUN
Jesus is absolutely hitting the floor this, rock bottom.	0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	PROPN VERB ADV VERB DET NOUN DET NOUN NOUN
The Federal ~ Reserve is of a similar mind, not only maintaining rock - bottom short - term interest rates, but also embarking on an adventurous policy targeting long - term rates.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	DET PROPN PUNCT PROPN VERB ADP DET ADJ NOUN ADV ADV VERB NOUN PUNCT NOUN ADJ PUNCT NOUN NOUN NOUN CCONJ ADV VERB ADP DET ADJ NOUN VERB ADJ PUNCT NOUN NOUN
They say that without the introduction of a full - scale growth incentive public confidence will remain at rock bottom with no increase in spending.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB ADP ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN NOUN ADJ NOUN VERB VERB ADP NOUN NOUN ADP DET NOUN ADP NOUN
The accusation, ' that person has no conscience ', carries a condemnation of character, but the real culprit is the society which has failed to raise to a position of the utmost importance in the public mind, the fact that the human conscience is the very rock - bottom foundation on which civilisation rests.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock bottom	figurative	dashes	DET NOUN PUNCT DET NOUN VERB DET NOUN PUNCT VERB DET NOUN ADP NOUN CCONJ DET ADJ NOUN VERB DET NOUN ADJ VERB VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN DET NOUN ADP DET ADJ NOUN VERB DET ADJ NOUN PUNCT NOUN NOUN ADP ADJ NOUN VERB
