She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN
So it was ironic that Lennie was not in the running for the new Barclays - sponsored prize.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	ADV PRON VERB ADJ ADP PROPN VERB ADV ADP DET NOUN ADP DET ADJ PROPN PUNCT VERB NOUN
Older people are expected to play little part in the running of the group, beyond perhaps a simple process of consultation.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADV DET ADJ NOUN ADP NOUN
Goal of the week ; it 'll be in the running for goal of the season.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	figurative	identical	NOUN ADP DET NOUN PUNCT PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN
The former was never seriously in the running, for it would have involved the demolition of the caretaker's house and garage, removed the First Forms ' playground and provided no new classrooms : indeed, if built, it would have rendered the 1937 extension itself too dark for further use.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	DET ADJ VERB ADV ADV ADP DET NOUN ADP PRON VERB VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ NOUN VERB DET PROPN PROPN PART NOUN CCONJ VERB DET ADJ NOUN PUNCT ADV ADP VERB PRON VERB VERB VERB DET NUM NOUN PRON ADV ADJ ADP ADJ NOUN
But even though he is still very much in the running for a place at The Belfry in September Clarke refuses to get carried away.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	CCONJ ADV ADP PRON VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN ADP DET PROPN ADP PROPN PROPN VERB PART VERB VERB ADV
The Pretoria Minute, summarizing the agreements reached in these talks, included a commitment to mechanisms for more direct involvement of the ANC and other organizations in the running of the country at all levels.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	DET PROPN PROPN VERB DET NOUN VERB ADP DET NOUN VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP DET PROPN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
Italian museum in the running	0 0 1 0 1	in the running	figurative	identical	ADJ NOUN ADP DET NOUN
Hopes of an imminent sale were quashed by the statement's first line, which said : ‘ There will be no change in the running of the club until further notice.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADJ NOUN ADJ VERB PUNCT PUNCT ADV VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP ADV PUNCT
Mrs Gandhi's eldest son Sanjay, later killed in an aeroplane crash in 1980, helped her in the running — and the destruction — of the party.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the running	literal	identical	PROPN PROPN ADJ NOUN PROPN ADV VERB ADP DET NOUN NOUN ADP NUM VERB PRON ADP DET NOUN PUNCT CCONJ DET NOUN PUNCT ADP DET NOUN
The pain barriers appear just as in marathon running and, as in other endurance sports, many people withdraw, suffering from either dehydration or cramp.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	determiner-broad	DET NOUN NOUN VERB ADV ADP ADP NOUN NOUN CCONJ ADP ADP ADJ NOUN NOUN ADJ NOUN VERB VERB ADP DET NOUN CCONJ NOUN
On Jan. 30 the human rights, minority and religious affairs committee of the National Assembly approved the distribution of the equivalent of US$ 200 million to the various minority groups to assist in the running of their organizations and unions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	literal	identical	ADP PROPN NUM DET ADJ NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET PROPN PROPN VERB DET NOUN ADP DET NOUN ADP SYM NUM NUM ADP DET ADJ NOUN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN CCONJ NOUN
TWO Cleveland offshore businesses are in the running to win a construction order worth around £ 50 m.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	NUM PROPN ADJ NOUN VERB ADP DET NOUN PART VERB DET NOUN NOUN ADJ ADP SYM NUM NOUN
MADRID – With three nominees now in the running to become the World ~ Bank ’s next president – Nigerian Finance ~ Minister Ngozi ~ Okonjo - Iweala, former Colombian Finance ~ Minister José ~ Antonio ~ Ocampo, and the United ~ States ’ nominee, Dartmouth ~ College ~ President Jim ~ Yong ~ Kim – this is the moment to step back and assess the Bank ’s trajectory.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PUNCT ADP NUM NOUN ADV ADP DET NOUN PART VERB DET PROPN PUNCT PROPN PART ADJ NOUN PUNCT ADJ PROPN PUNCT PROPN PROPN SYM PROPN PUNCT PROPN ADJ ADJ PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN CCONJ DET PROPN PUNCT PROPN PART NOUN PROPN PUNCT NOUN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT DET VERB DET NOUN PART VERB ADV CCONJ VERB DET PROPN PART NOUN
Nonetheless, it seems clear that Mr Wood — whose career has been in corporate treasury departments — decided quite early on that he was not in the running for the job of chief executive, given Barclays ' desire that someone with all - round banking experience fill the post.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADV PRON VERB ADJ ADP PROPN PROPN PUNCT ADJ NOUN VERB VERB ADP ADJ NOUN NOUN PUNCT VERB ADV ADV ADP ADP PRON VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB PROPN PART NOUN ADP NOUN ADP DET PUNCT ADJ NOUN NOUN VERB DET NOUN
One of the rising stars of motor racing has been to meet the men who 've put him and his car back in the running for success.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	figurative	identical	NUM ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PART VERB DET NOUN NOUN VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN ADP NOUN
Two decades after the World Bank report, another commission of inquiry was complaining that the state ‘ interferes excessively in the running of the [ railway]companies, without that resulting in the clarification of the objectives that they should pursue or in exercise of effective control over them’(CEFE 1984 : 33 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NUM NOUN ADP DET PROPN PROPN NOUN DET NOUN ADP NOUN VERB VERB ADP DET NOUN ADJ NOUN ADV ADP DET NOUN ADP DET PUNCT NOUN ADP DET VERB ADP DET NOUN ADP DET NOUN ADP PRON VERB VERB CCONJ ADP NOUN ADP ADJ NOUN ADP NOUN NUM PUNCT NUM PUNCT
Celtic turmoil FOOTBALL : Celtic's embattled board of directors are facing the prospect of an extraordinary general meeting before the end of the season after a meeting yesterday between Parkhead chairman Kevin Kelly and powerful Canadian businessman and Celtic shareholder Jim Doherty, who is the central figure in a group demanding sweeping changes in the running of the club.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADJ NOUN NOUN PUNCT PROPN ADJ NOUN ADP NOUN VERB VERB DET NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN NOUN PROPN PROPN CCONJ ADJ ADJ NOUN CCONJ ADJ NOUN PROPN PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN VERB ADJ NOUN ADP DET NOUN ADP DET NOUN
Either at New Year or before July you can anticipate a change in the everyday running of your life.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the running	literal	insertion-other	CCONJ ADP PROPN PROPN CCONJ ADP PROPN PRON VERB VERB DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN
Early on in the running of the clinic it had been found that treatment with house dust 200 alone was less effective and less long - lasting if the avoidance programme was not also undertaken, but it was not possible, from the nature of the study, to assess what proportion of the benefit was attributable to each measure.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB VERB ADP NOUN ADP NOUN NOUN NUM ADV VERB ADV ADJ CCONJ ADV ADV PUNCT VERB ADP DET NOUN NOUN VERB ADV ADV VERB CCONJ PRON VERB ADV ADJ ADP DET NOUN ADP DET NOUN PART VERB NOUN NOUN ADP DET NOUN VERB ADJ ADP DET NOUN
Executives may play a major part in the running of the paper.	0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
The sale of goods for use by the purchaser in the running of his business, e.g. a typewriter for use in a firm's office.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADV DET NOUN ADP NOUN ADP DET NOUN NOUN
Ms d'Harnoncourt, the only woman in the running, failed to make the short list because, according to Dr Murphy, ‘ She didn't quite have the administrative skills needed for our museum’.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN DET ADJ NOUN ADP DET NOUN VERB PART VERB DET ADJ NOUN ADP VERB ADP PROPN PROPN PUNCT PRON VERB ADV VERB DET ADJ NOUN VERB ADP ADJ NOUN
She had been thinking of the three men downstairs, though perhaps one could hardly count John as being in the running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB VERB VERB ADP DET NUM NOUN ADV ADP ADV PRON VERB ADV VERB PROPN ADP VERB ADP DET NOUN
Howard Clark is back in the running …	0 0 0 0 1 0 1 0	in the running	figurative	identical	PROPN PROPN VERB ADV ADP DET NOUN PUNCT
‘ I want the Association to have a powerful voice in the running of the game.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PUNCT PRON VERB DET PROPN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN
The government has paid for the restructuring of the Villahermosa Palace to house the collection ; it is guaranteeing any short - fall in the running costs after entrance fees are collected ; it is paying $ 6 million rent a year, index - linked, for the collection ; it has introduced an indemnity scheme to cover the works of art, and has given the Baron and Baroness the last word on how the collection is to be administered during the ten years of the loan, at the end of which the collection is handed back, with exemption from Spain's otherwise very restrictive art export laws.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	DET NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PART VERB DET NOUN PUNCT PRON VERB VERB DET ADJ PUNCT NOUN ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PUNCT PRON VERB VERB SYM NUM NUM NOUN DET NOUN NOUN PUNCT VERB ADP DET NOUN PUNCT PRON VERB VERB DET NOUN NOUN PART VERB DET NOUN ADP NOUN CCONJ VERB VERB DET PROPN CCONJ PROPN DET ADJ NOUN ADP ADV DET NOUN VERB PART VERB VERB ADP DET NUM NOUN ADP DET NOUN ADP DET NOUN ADP ADJ DET NOUN VERB VERB PART ADP NOUN ADP PROPN ADV ADV ADJ NOUN NOUN NOUN
Phyllis specialised in gymnastics, won medals in local and national competitions and, at the approach of the 1932 Los Angeles Olympics, was in the running for a place in the PT team.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	NOUN VERB ADP NOUN VERB NOUN ADP ADJ CCONJ ADJ NOUN CCONJ ADP DET NOUN ADP DET NUM PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN NOUN
That they had more say in the running of their industry of the railway.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	ADP PRON VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN
Mind you there's a lot of Northern Ireland lads in London anyway, erm we think that when our members voted to return the political levy they also voted to continue to have a say in the running of the Labour Party.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	VERB PRON ADV DET NOUN ADP PROPN PROPN NOUN ADP PROPN ADV INTJ PRON VERB ADP ADV ADJ NOUN VERB PART VERB DET ADJ NOUN PRON ADV VERB PART VERB PART VERB DET NOUN ADP DET NOUN ADP DET PROPN PROPN
He has an excellent background in support, not involved in in the running but continuous interest and support and for him to take on this challenge shows a particular kind of commitment to the work of the Save The Children Fund and we 're very grateful to him for taking it on and I sincerely hope that he will enjoy the experience, especially after meeting all of you today.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON VERB DET ADJ NOUN ADP NOUN ADV VERB ADP ADP DET NOUN CCONJ ADJ NOUN CCONJ NOUN CCONJ ADP PRON PART VERB PART DET NOUN VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP DET PROPN DET PROPN PROPN CCONJ PRON VERB ADV ADJ ADP PRON ADP VERB PRON PART CCONJ PRON ADV VERB ADP PRON VERB VERB DET NOUN ADV ADP VERB DET ADP PRON NOUN
When activists like the Cape Town Sixteen fight this system of oppression and exploitation, they are demanding a democratic say in the running of their lives and and the right to determine their own futures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV NOUN ADP DET PROPN PROPN PROPN VERB DET NOUN ADP NOUN CCONJ NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ CCONJ DET NOUN PART VERB ADJ ADJ NOUN
To install the drivers in the running system, execute the following commands :	0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	PART VERB DET NOUN ADP DET VERB NOUN VERB DET VERB NOUN PUNCT
Again one sees the enormous task of communication which bureaux managers have, to convey to their volunteer team how they can have a say in the running of their bureau.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV PRON VERB DET ADJ NOUN ADP NOUN ADJ VERB NOUN VERB PART VERB ADP ADJ NOUN NOUN ADV PRON VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN
