Although all that does is help the B B C cos they they 're getting interest on the money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	identical	ADP DET ADJ VERB VERB VERB DET PROPN PROPN PROPN ADP PRON PRON VERB VERB NOUN ADP DET NOUN
Er how did he expect the poor the people to live and pay mortgage and er, you know all this and that on dole money!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	INTJ ADV VERB PRON VERB DET ADJ DET NOUN PART VERB CCONJ VERB NOUN CCONJ INTJ PRON VERB ADJ DET CCONJ ADP ADP ADJ NOUN
Recent legislation has enabled tax relief to be obtained on money invested in new and, in many cases, new and modest - sized businesses.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	ADJ NOUN VERB VERB NOUN NOUN PART VERB VERB ADP NOUN VERB ADP ADJ CCONJ ADP ADJ NOUN ADJ CCONJ ADJ PUNCT ADJ NOUN
Again and again he was at pains to demonstrate to Theo that he didn't live idly on his brother's money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the money	literal	combined-other	ADV CCONJ ADV PRON VERB ADP NOUN PART VERB ADP PROPN ADP PRON VERB VERB ADV ADP ADJ NOUN NOUN
Cooper won the 1988 Madrid Open and finished in the top 20 on the money - list the following year.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the money	literal	identical	PROPN VERB DET NUM PROPN PROPN CCONJ VERB ADP DET ADJ NUM ADP DET NOUN PUNCT NOUN DET ADJ NOUN
It is difficult to characterize such relations as ' capitalist ', or to regard them as oppressive : most of the rich men of the Zuwaya managed their businesses in this way, getting a good return on money laid out, but creating wealth for poorer fellow tribesmen and a few others in the process.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	PRON VERB ADJ PART VERB ADJ NOUN ADP PUNCT NOUN PUNCT CCONJ PART VERB PRON ADV ADJ PUNCT ADJ ADP DET ADJ NOUN ADP DET PROPN VERB ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN ADP NOUN VERB PART CCONJ VERB NOUN ADP ADJ NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN
' You know, someone living happily on money he's committed grievous bodily harm to obtain. '	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	PUNCT PRON VERB NOUN VERB ADV ADP NOUN PRON VERB ADJ ADJ NOUN PART VERB PUNCT
' On my mother's money? '	0 1 0 0 1 0	on the money	literal	combined-other	PUNCT ADP ADJ NOUN NOUN PUNCT
You mean miss out on the money?	0 0 0 0 1 0 1	on the money	literal	identical	PRON VERB VERB PART ADP DET NOUN
' The second scandal will be the liquidators becoming rich on the victims ' money while the Government stand by and watch …	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	on the money	literal	combined-other	PUNCT DET ADJ NOUN VERB VERB DET NOUN VERB ADJ ADP DET NOUN PART NOUN ADP DET PROPN VERB PART CCONJ VERB PUNCT
it is, it is You 've just, you 've just got to ask, ask his opinion, is it important to you that you get a return on the money that you invest with us, yes?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the money	literal	identical	PRON VERB PRON VERB PRON VERB ADV PRON VERB ADV VERB PART VERB VERB ADJ NOUN VERB PRON ADJ ADP PRON ADP PRON VERB DET NOUN ADP DET NOUN ADJ PRON VERB ADP PRON INTJ
' If only we could devise a safe way of laying our hands on all that money, ' murmured Pugwash, whose greed was as proverbial as his cowardice.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	combined-other	PUNCT ADP ADV PRON VERB VERB DET ADJ NOUN ADP VERB ADJ NOUN ADP ADJ DET NOUN PUNCT VERB PROPN ADJ NOUN VERB ADV ADJ ADP ADJ NOUN
This will have no effect on the money supply.	0 0 0 0 0 1 0 1 0	on the money	literal	identical	DET VERB VERB DET NOUN ADP DET NOUN NOUN
Interest on the moneys held in escrow will follow the principal.	0 1 0 1 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	NOUN ADP DET NOUN VERB ADP NOUN VERB VERB DET NOUN
Our Cashline Deposit Account pays interest on the money you have in your account while providing you with access to over 5,500 cash dispensing machines throughout Great Britain, along with standing order and direct debit facilities.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	identical	ADJ PROPN PROPN PROPN VERB NOUN ADP DET NOUN PRON VERB ADP ADJ NOUN ADP VERB PRON ADP NOUN ADP ADP NUM NOUN VERB NOUN ADP PROPN PROPN ADP ADP VERB NOUN CCONJ ADJ NOUN NOUN
As Wales seeks growth, the dilemma for the Agency is how to get a commercial go - getting mentality on public money with public control.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the money	literal	determiner-broad	ADP PROPN VERB NOUN DET NOUN ADP DET PROPN VERB ADV PART VERB DET ADJ NOUN PUNCT VERB NOUN ADP ADJ NOUN ADP ADJ NOUN
It took several years to acknowledge that all this higher searching was based on my father's money.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the money	literal	combined-other	PRON VERB ADJ NOUN PART VERB ADP ADJ DET ADV NOUN VERB VERB ADP ADJ NOUN NOUN
Present value : If you delay paying a bill, you can earn interest on the money in the meantime.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the money	literal	identical	ADJ NOUN PUNCT ADP PRON VERB VERB DET NOUN PRON VERB VERB NOUN ADP DET NOUN ADP DET NOUN
But once Mona, daughter of the PLO's chief fund - raiser, had admitted that he had enjoyed a summer holiday on her money at the time of the Gulf crisis, the gap - toothed Lothario was on his bike.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	CCONJ ADV PROPN NOUN ADP DET PROPN ADJ NOUN PUNCT NOUN VERB VERB ADP PRON VERB VERB DET NOUN NOUN ADP ADJ NOUN ADP DET NOUN ADP DET PROPN NOUN DET NOUN PUNCT VERB PROPN VERB ADP ADJ NOUN
There has been no word of apology or interest paid on money retained.	0 0 0 0 0 0 0 0 0 0 1 1 0	on the money	literal	deletion-determiner	ADV VERB VERB DET NOUN ADP NOUN CCONJ NOUN VERB ADP NOUN VERB
I don't drink and don't go out much so I manage on the money.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	figurative	identical	PRON VERB VERB CCONJ VERB VERB ADV ADV ADP PRON VERB ADP DET NOUN
I can not believe that Access genuinely charge interest on repaid money, which means that his bill was a cock - up and the brass - faced hussy at Southend was a liar.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	determiner-broad	PRON VERB ADV VERB ADP PROPN ADV VERB NOUN ADP VERB NOUN ADJ VERB ADP ADJ NOUN VERB DET NOUN PUNCT NOUN CCONJ DET NOUN PUNCT VERB NOUN ADP PROPN VERB DET NOUN
Yet the revenue maintains that it was under no legal obligation to repay the wrongly extracted tax and in consequence is not liable to pay interest on the sum held by it between the date it received the money and the date of the order of Nolan J. If the revenue is right, it will be enriched by the interest on money to which it had no right during that period.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	ADV DET NOUN VERB ADP PRON VERB ADP DET ADJ NOUN PART VERB DET ADV VERB NOUN CCONJ ADP NOUN VERB ADV ADJ PART VERB NOUN ADP DET NOUN VERB ADP PRON ADP DET NOUN PRON VERB DET NOUN CCONJ DET NOUN ADP DET NOUN ADP PROPN PROPN ADP DET NOUN VERB ADJ PRON VERB VERB VERB ADP DET NOUN ADP NOUN PART ADJ PRON VERB DET NOUN ADP DET NOUN
When Eddie Clamp played for Wolves and England, stretcher - bearers were on appearance money.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	ADV PROPN PROPN VERB ADP PROPN CCONJ PROPN NOUN PUNCT NOUN VERB ADP NOUN NOUN
Well, the first part of the question was when, when will they start seeing a return back on that money and secondly, when shouldn't you equity account it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the money	literal	determiner-narrow	INTJ DET ADJ NOUN ADP DET NOUN VERB ADV ADV VERB PRON VERB VERB DET NOUN ADV ADP DET NOUN CCONJ ADV ADV VERB PRON NOUN VERB PRON
