My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN
If they didn't stare at him on TV he wouldn't be in a position to spend £ 425,000 on a new house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-other	ADP PRON VERB VERB ADP PRON ADP NOUN PRON VERB VERB ADP DET NOUN PART VERB SYM NUM ADP DET ADJ NOUN
The variation of style with tone ( see 8. s ) is supremely exemplified in Dickens ; and we may take, for illustration, four passages from the earlier part of Dombey and Son, in which style variation is intrinsic to the novel's satiric - epic picture of Victorian urban society, concentrating on the capitalist house of Dombey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	on the house	literal	insertion-other	DET NOUN ADP NOUN ADP NOUN PUNCT VERB NUM PUNCT PUNCT VERB ADV VERB ADP PROPN PUNCT CCONJ PRON VERB VERB ADP NOUN NUM NOUN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN ADJ PUNCT NOUN NOUN ADP ADJ ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN
My wife Suzie and I spent some of the cash having an extension put on our house in Willesden and it was also around that time that our children started at private school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADJ NOUN PROPN CCONJ PRON VERB DET ADP DET NOUN VERB DET NOUN VERB ADP ADJ NOUN ADP PROPN CCONJ PRON VERB ADV ADV DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN
Helen advised the women to leave the children asleep while they checked on their houses, and Jinny Bennet offered to stay with them and bring them home when they woke.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PROPN VERB DET NOUN PART VERB DET NOUN ADJ ADP PRON VERB ADP ADJ NOUN CCONJ PROPN PROPN VERB PART VERB ADP PRON CCONJ VERB PRON ADV ADV PRON VERB
Garden criminals range from gnome - snaffling pranksters to professionals who swoop on country houses at night armed with a crane and a lorry, ready to snatch everything from £ 20,000 orchids down to the last £ 700 Koi carp in the pond.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PROPN NOUN VERB ADP ADJ PUNCT VERB NOUN ADP NOUN NOUN VERB ADP NOUN NOUN ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN ADJ PART VERB NOUN ADP SYM NUM NOUN ADV ADP DET ADJ SYM NUM PROPN NOUN ADP DET NOUN
Work on private houses in the city is revealing a number of elaborate structures : a sixth - century house with peristyle has been located between the theatre and the Temple of Apollo whose decorations include opus sectile paving, wall painting and a second order of Ionic columns.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	VERB ADP ADJ NOUN ADP DET NOUN VERB VERB DET NOUN ADP ADJ NOUN PUNCT DET ADJ PUNCT NOUN NOUN ADP NOUN VERB VERB VERB ADP DET NOUN CCONJ DET PROPN ADP PROPN ADJ NOUN VERB ADJ ADV VERB NOUN NOUN CCONJ DET ADJ NOUN ADP PROPN NOUN
Since I installed solar panels on my house, my energy bill has been cut in half.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADP PRON VERB ADJ NOUN ADP ADJ NOUN ADJ NOUN NOUN VERB VERB VERB ADP NOUN
Ask a neighbour to keep an eye on your house.	0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN
They were not sparrows in such numbers but could be house martins, which settle on west - facing houses to bask in the setting sun.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	on the house	literal	combined-inflection	PRON VERB ADV NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN NOUN ADJ VERB ADP NOUN PUNCT VERB NOUN PART VERB ADP DET NOUN NOUN
still working on his new house and, what they 've got in, you know Wokham area	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	ADV VERB ADP ADJ ADJ NOUN CCONJ NOUN PRON VERB VERB PART PRON VERB PROPN NOUN
And woke to rain falling on houses, on gardens,	0 0 0 0 0 1 1 0 0	on the house	literal	deletion-determiner	CCONJ VERB PART VERB VERB ADP NOUN ADP NOUN
A local authority issued a compulsory purchase order on a house and a notice of entry which enabled them to take over the premises after 14 days.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	DET ADJ NOUN VERB DET ADJ NOUN NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN ADJ VERB PRON PART VERB PART DET NOUN ADP NUM NOUN
He tried, but failed, to kill several other ANC people living in exile across the Lesotho border, and in an armed attack, using submachine guns and hand grenades, he led the attack on Joyce Diphale's house in Gaberone, Botswana, which left its intended victim unscathed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	PRON VERB CCONJ VERB PART VERB ADJ ADJ PROPN NOUN VERB ADP NOUN ADP DET PROPN NOUN CCONJ ADP DET ADJ NOUN VERB NOUN NOUN CCONJ NOUN NOUN PRON VERB DET NOUN ADP PROPN PROPN NOUN ADP PROPN PROPN ADJ VERB ADJ VERB NOUN ADJ
Take an example : a builder sub - contracts the job of putting the roof on a house which he is building.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the house	literal	determiner-narrow	VERB DET NOUN PUNCT DET NOUN NOUN PUNCT VERB DET NOUN ADP VERB DET NOUN ADP DET NOUN ADJ PRON VERB VERB
Look at the tops and bottoms of the windows on Mr Smart's house.	0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-other	VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP PROPN PROPN NOUN
Emily felt hurt and betrayed by a close friend who had borrowed a considerable sum of money towards down - payment on a house and then, when Emily eventually enquired about repayment, angrily claimed that she thought the money had been a gift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	ADV VERB ADJ CCONJ VERB ADP DET ADJ NOUN NOUN VERB VERB DET ADJ NOUN ADP NOUN ADP ADP PUNCT NOUN ADP DET NOUN CCONJ ADV ADV PROPN ADV VERB ADP NOUN ADV VERB ADP PRON VERB DET NOUN VERB VERB DET NOUN
Part of the rule of law is security of property rights – if you owe money on your house, for example, the bank can't simply take it away without following the prescribed legal process.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	NOUN ADP DET NOUN ADP NOUN VERB NOUN ADP NOUN NOUN PUNCT ADP PRON VERB NOUN ADP ADJ NOUN ADP NOUN DET NOUN VERB ADV VERB PRON ADV ADP VERB DET ADJ ADJ NOUN
Erm but will you make, be able to make much profit on the on your old Chiswick house to be able to buy the Weybridge one, will that be an economic move?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	NOUN CCONJ VERB PRON VERB VERB ADJ PART VERB ADJ NOUN ADP DET ADP ADJ ADJ PROPN NOUN PART VERB ADJ PART VERB DET PROPN NUM VERB DET VERB DET ADJ NOUN
Having lavished so much time, money and effort on their house, you might expect it to be a work of art — which, as Peter modestly admits, ' It is. '	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	VERB VERB ADV ADJ NOUN NOUN CCONJ NOUN ADP ADJ NOUN PRON VERB VERB PRON PART VERB DET NOUN ADP NOUN PUNCT ADJ ADP PROPN ADV VERB PUNCT PRON VERB PUNCT
Estate agents make money by selling houses, normally about 1.5–2 % of what the seller gets for his house:(up to £ 600 pounds on a £ 30,000 house ) so they don't mind working for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	on the house	literal	combined-other	NOUN NOUN VERB NOUN ADP VERB NOUN ADV ADP NUM NOUN ADP NOUN DET NOUN VERB ADP ADJ NOUN ADP SYM NUM NOUN ADP DET SYM NUM NOUN PUNCT ADP PRON VERB VERB VERB ADP PRON
For Louisa Coutts Trotter, whose hypochondriacal father was constantly on the move seeking new cures, her grandmother's Edinburgh house was a fixed point in their peregrinations ; while Willoughby de Broke eccentrically opens his autobiography with a series of chapters on the family's houses, rather than on its people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	on the house	literal	combined-inflection	ADP PROPN PROPN PROPN ADJ ADJ NOUN VERB ADV ADP DET NOUN VERB ADJ NOUN ADJ NOUN PROPN NOUN VERB DET VERB NOUN ADP ADJ NOUN PUNCT ADP PROPN X PROPN ADV VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP DET NOUN NOUN ADV ADP ADP ADJ NOUN
Insurance payment on house ( payable at ' Exchange of Contracts ' stage )	0 0 1 1 0 0 0 0 0 0 0 0 0 0	on the house	literal	deletion-determiner	NOUN NOUN ADP NOUN PUNCT ADJ ADP PUNCT PROPN ADP PROPN PART NOUN PUNCT
From inside, he could keep an eye on his own house where nothing much seemed to be happening.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	on the house	literal	combined-other	ADP ADV PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN ADV NOUN ADJ VERB PART VERB VERB
