grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN
Taking into account the length for the length of the features and the cons the consultation that take place and the length of time they take, I do not expect to see er Bungay bypass construction for some time yet, but I do expect the County Council to progress on that in such a manner that Bungay will not grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	VERB ADP NOUN DET NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN DET NOUN ADJ VERB NOUN CCONJ DET NOUN ADP NOUN PRON VERB PRON VERB ADV VERB PART VERB INTJ PROPN NOUN NOUN ADP DET NOUN ADV CCONJ PRON VERB VERB DET PROPN PROPN PART VERB ADP DET ADP ADJ DET NOUN ADP PROPN VERB ADV VERB ADP DET NOUN
If a project grinds to a premature halt, the tutor must first evaluate if sufficient evidence has or can be generated for assessment purposes.	0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	combined-inflection	ADP DET NOUN VERB ADP DET ADJ NOUN DET NOUN VERB ADV VERB ADP ADJ NOUN VERB CCONJ VERB VERB VERB ADP NOUN NOUN
With a roar it emerged from the tunnel and ground to a halt along the platform.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN PRON VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP DET NOUN
The law - makers, roundly condemned by Brian Moore, England's hooker, on the nonsensical grounds that they have not played for 40 years, have decided that when a maul — ball in hand — grinds to a halt, or the ball becomes unplayable, the team not in possession at the start of the maul should put the ball into an ensuing scrum.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN PUNCT NOUN ADV VERB ADP PROPN PROPN PROPN NOUN ADP DET ADJ NOUN ADP PRON VERB ADV VERB ADP NUM NOUN VERB VERB ADP ADV DET NOUN PUNCT NOUN ADP NOUN PUNCT VERB ADP DET NOUN CCONJ DET NOUN VERB ADJ DET NOUN ADV ADP NOUN ADP DET NOUN ADP DET NOUN VERB VERB DET NOUN ADP DET VERB NOUN
Julius growled under his breath as the traffic almost ground to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN VERB ADP ADJ NOUN ADP DET NOUN ADV VERB ADP DET NOUN
Halfway between Victoria and Gatwick there was a power failure, the lights went out and the train ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN ADP PROPN CCONJ PROPN ADV VERB DET NOUN NOUN DET NOUN VERB PART CCONJ DET NOUN NOUN ADP DET NOUN
The command vehicle ground to a halt.	0 0 0 1 1 0 1	grind to a halt	figurative	inflection	DET NOUN NOUN NOUN ADP DET NOUN
THE LONDON Film Festival — the largest ever mounted — grinds to a halt on Sunday with a performance of Ettore Scola's What Time Is It?	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET PROPN PROPN PROPN PUNCT DET ADJ ADV VERB PUNCT VERB ADP DET NOUN ADP PROPN ADP DET NOUN ADP PROPN PROPN NOUN NOUN VERB PRON
It is fair to say that by the time of the establishment of OEEC progress in Benelux had more or less ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PRON VERB ADJ PART VERB ADP ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADP PROPN VERB ADJ CCONJ ADJ NOUN ADP DET NOUN
In developing countries, import substitution as a way to jump - start economic diversification can work for a while ; but, over time, as productivity growth lags and comparative advantage is over - ridden, growth grinds to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADP VERB NOUN NOUN NOUN ADP DET NOUN PART VERB PUNCT VERB ADJ NOUN VERB VERB ADP DET NOUN PUNCT CCONJ ADP NOUN ADP NOUN NOUN NOUN CCONJ ADJ NOUN VERB ADP PUNCT ADJ NOUN VERB ADP DET NOUN
‘ Marcus ground to a halt under his lack of tact.	0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	inflection	PUNCT PROPN NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN
If they behaved like that every day, the city would grind to a halt.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PRON VERB ADP DET DET NOUN DET NOUN VERB VERB ADP DET NOUN
The vehicle ground to a halt.	0 0 1 1 0 1	grind to a halt	figurative	inflection	DET NOUN NOUN ADP DET NOUN
During this period the Commission sought to win agreement for fundamental reform of the EC's common agricultural policy ( CAP ), in part to restrict the growth of intervention stocks ( or " food mountains " ) and in part as a result of pressure to reduce the EC's level of agricultural subsidy in the context of the " Uruguay round " of multilateral trade talks of the General Agreement on Tariffs and Trade ( GATT ), which ground to a halt in December 1990 [ see p. 37930 ].	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET NOUN DET PROPN VERB PART VERB NOUN ADP ADJ NOUN ADP DET PROPN ADJ ADJ NOUN PUNCT PROPN PUNCT ADP NOUN PART VERB DET NOUN ADP NOUN NOUN PUNCT CCONJ PUNCT NOUN NOUN PUNCT PUNCT CCONJ ADP NOUN ADP DET NOUN ADP NOUN PART VERB DET PROPN NOUN ADP ADJ NOUN ADP DET NOUN ADP DET PUNCT PROPN NOUN PUNCT ADP ADJ NOUN NOUN ADP DET PROPN PROPN ADP PROPN CCONJ PROPN PUNCT PROPN PUNCT ADJ VERB ADP DET NOUN ADP PROPN NUM PUNCT VERB NOUN NUM PUNCT
