DON'T JUMP TO CONCLUSIONS.	0 1 1 1	jump to conclusions	figurative	case	VERB VERB ADP NOUN
Did I look so obviously the sort to get into trouble that I couldn't go about with circles under my eyes, or telephone a doctor, or throw up once in a while, without everyone immediately jumping to a single conclusion?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	jump to conclusions	figurative	combined-inflection	VERB PRON VERB ADV ADV DET NOUN PART VERB ADP NOUN ADJ PRON VERB VERB ADP ADP NOUN ADP ADJ NOUN CCONJ VERB DET NOUN CCONJ VERB PART ADV ADP DET NOUN ADP NOUN ADV VERB ADP DET ADJ NOUN
I realized that she wasn't going to tell him about events on Vadinamia so that he wouldn't jump to any conclusions and complicate things.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	jump to conclusions	figurative	insertion-other	PRON VERB ADP PRON VERB VERB PART VERB PRON ADP NOUN ADP PROPN ADP ADP PRON VERB VERB ADP DET NOUN CCONJ VERB NOUN
Parents may jump to the conclusion that the fact of being adopted is the root of the trouble when that has nothing to do with the case.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP VERB VERB VERB DET NOUN ADP DET NOUN ADV DET VERB NOUN PART VERB ADP DET NOUN
Sometimes they sound feminine, as in ‘ Myrtifolia Aurea’, but don't jump to conclusions because this particular cultivar is male.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	jump to conclusions	figurative	identical	ADV PRON VERB ADV ADP ADP PUNCT PROPN PROPN CCONJ VERB VERB ADP NOUN ADP DET ADJ NOUN VERB ADJ
Anyway, Lesley - Jane jumped to the conclusion that everyone else has since jumped to — that you shot Micky — and screamed.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	INTJ PROPN PUNCT PROPN VERB ADP DET NOUN ADP NOUN ADV VERB ADP VERB ADP PUNCT ADP PRON VERB PROPN PUNCT CCONJ VERB
She was not going to jump to any more dubious conclusions.	0 0 0 0 0 1 1 0 0 0 1	jump to conclusions	figurative	insertion-other	PRON VERB ADV VERB PART VERB ADP DET ADV ADJ NOUN
Posterity will jump to conclusions : that is its nature.	0 0 1 1 1 0 0 0 0 0	jump to conclusions	figurative	identical	NOUN VERB VERB ADP NOUN PUNCT DET VERB ADJ NOUN
‘ I knew you 'd jump to conclusions,’ Kitty said.	0 0 0 0 0 1 1 1 0 0	jump to conclusions	figurative	dashes	PUNCT PRON VERB PRON VERB VERB ADP DET PROPN VERB
Certain newspapers which jumped to the conclusion that he had engaged in sex with the woman were sued for libel, but were unable to discharge the burden of proving a case which hinged upon the word of a prostitute against the word of the plaintiff and his " fragrant " wife.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	ADJ NOUN ADJ VERB ADP DET NOUN ADP PRON VERB VERB ADP NOUN ADP DET NOUN VERB VERB ADP NOUN CCONJ VERB ADJ PART VERB DET NOUN ADP VERB DET NOUN ADJ VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ ADJ PUNCT ADJ PUNCT NOUN
Are we to jump to the unlikely conclusion that John's heart has at last been melted by the love of a good woman?	0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	VERB PRON PART VERB ADP DET ADJ NOUN ADP PROPN NOUN VERB ADP ADJ VERB VERB ADP DET NOUN ADP DET ADJ NOUN
However, being a good inductivist, he did not jump to conclusions.	0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	ADV VERB DET ADJ NOUN PRON VERB ADV VERB ADP NOUN
The hon. Lady should not jump to conclusions.	0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	DET NOUN PROPN VERB ADV VERB ADP NOUN
are careful not to jump to conclusions too quickly	0 0 0 0 1 1 1 0 0	jump to conclusions	figurative	identical	VERB ADJ ADV PART VERB ADP NOUN ADV ADV
‘ We must avoid jumping to conclusions,’ replied Thiercelin cautiously.	0 0 0 0 1 1 1 0 0 0	jump to conclusions	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADP NUM VERB PROPN ADV
One can not, however, jump to the conclusion that, because many old people live alone, they have little support from their families.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	PRON VERB ADV ADV VERB ADP DET NOUN ADP ADP ADJ ADJ NOUN VERB ADV PRON VERB ADJ NOUN ADP ADJ NOUN
The temptation is to jump to conclusions without arriving at them via a review.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	jump to conclusions	figurative	identical	DET NOUN VERB PART VERB ADP NOUN ADP VERB ADP PRON ADP DET NOUN
Just carry on multiplying things by X instead of trying to jump to conclusions.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	ADV VERB PART VERB NOUN ADP NOUN ADV ADP VERB PART VERB ADP NOUN
‘ His bodyguard,’ Ace said coldly, not liking his jumping to conclusions one little bit.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	jump to conclusions	figurative	inflection	PUNCT ADJ NUM PROPN VERB ADV ADV VERB ADJ NOUN ADP NOUN NUM ADJ NOUN
One of the hazards of interviewing is succumbing to the temptation of jumping to a conclusion too quickly, based perhaps on a hastily formed first impression ( see First impressions on page 69 ).	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	jump to conclusions	figurative	combined-inflection	NUM ADP DET NOUN ADP VERB VERB VERB ADP DET NOUN ADP VERB ADP DET NOUN ADV ADV VERB ADV ADP DET ADV VERB ADJ NOUN PUNCT VERB ADJ NOUN ADP NOUN NUM PUNCT
The trouble with talking about yourself the way Stuart is doing is that it makes people jump to conclusions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	jump to conclusions	figurative	identical	DET NOUN ADP VERB ADP PRON DET NOUN PROPN VERB VERB VERB ADP PRON VERB NOUN VERB ADP NOUN
