Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN
Many years ago at Cadeby, the outpost of all that is Great Western, it was suggested that the locomotive naming group at Swindon works would have named the 4–4–0 locomotive ‘ Duchy of Cornwall’, but with tongue in cheek decided on TRE POL PEN instead, as something of a compliment to that delightful district of the West Country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADJ NOUN ADV ADP PROPN DET NOUN ADP DET ADJ VERB PROPN PROPN PRON VERB VERB ADP DET ADJ NOUN NOUN ADP PROPN NOUN VERB VERB VERB DET NUM VERB PUNCT PROPN ADP PROPN CCONJ ADP NOUN ADP NOUN VERB ADP PROPN PROPN PROPN ADV ADP NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN
The Rhapsody, too, is given a strong, swaggering but solid reading from that famous opening clarinet Glissando onwards ( it began its life, by the way, as a bit of tongue - in - cheek rehearsal mischief from Ross Gorman, the clarinettist of the Whiteman band ; the delighted Gershwin insisted on retaining it ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET PROPN ADV VERB VERB DET ADJ NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN NOUN PROPN ADV PUNCT PRON VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP PROPN PROPN DET NOUN ADP DET PROPN NOUN PUNCT DET ADJ PROPN VERB ADP VERB PRON PUNCT
A tongue in cheek reminder to someone whose cheeks were bulging with bad manners.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN ADP NOUN NOUN ADP NOUN ADJ NOUN VERB VERB ADP ADJ NOUN
PETER Kennedy's tongue - in - cheek shot at his latest creation, ' The Widow or Bust ', has come off with a bang at the Arts Theatre this week.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ ADJ NOUN PUNCT DET PROPN CCONJ PROPN PUNCT VERB VERB PART ADP DET NOUN ADP DET PROPN PROPN DET NOUN
Johnson reports this and other gory tales, tongue - in - cheek so firmly you can scarcely see his jaw bulge.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	tongue in cheek	literal	dashes	PROPN VERB DET CCONJ ADJ NOUN NOUN NOUN PUNCT ADP PUNCT NOUN ADV ADV PRON VERB ADV VERB ADJ NOUN NOUN
I mean I, I, I think that's a good tactical ploy even though it's tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PRON VERB PRON PRON PRON VERB DET DET ADJ ADJ NOUN ADV ADP PRON NOUN ADP NOUN
With tongue in cheek, the writer had suggested that a deal be struck with Britain over the Six Counties in the North.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP NOUN ADP NOUN DET NOUN VERB VERB ADP DET NOUN VERB VERB ADP PROPN ADP DET NUM PROPN ADP DET PROPN
The fourth in the series, Thunderball, was notable for its underwater effects, tongue - in - cheek humour, the unveiling of Bond's moon buggy and the spin - off merchandising the movie cultivated.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ ADP DET NOUN PROPN VERB ADJ ADP ADJ ADJ NOUN NOUN PUNCT ADP PUNCT NOUN NOUN DET NOUN ADP PROPN NOUN NOUN CCONJ DET NOUN PUNCT NOUN VERB DET NOUN VERB
She frolicked as a mermaid for the tongue - in - cheek promotional film for her new hit, No Ordinary Love.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN ADJ NOUN ADP ADJ ADJ NOUN DET PROPN PROPN
What was said tongue - in - cheek was received as confirmation of everything that had gone before : the Prince of Wales was seriously out of his tree.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN VERB VERB ADP NOUN ADP NOUN ADJ VERB VERB ADV PUNCT DET PROPN ADP PROPN VERB ADV ADP ADP ADJ NOUN
The Dohnányi comes off particularly with the Toronto Orchestra revelling in their tongue - in - cheek opening tutti, and Ozolins successfully keeping a straight face in the solo part : an enjoyable alternative to the classic recording by the composer and Sir Adrian Boult ( on EMI and mid - price ).	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET PROPN VERB PART ADV ADP DET PROPN PROPN VERB ADP ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN CCONJ PROPN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ PROPN PROPN PROPN PUNCT ADP PROPN CCONJ ADJ PUNCT NOUN PUNCT
But this was a great feeling of what we had been used to over the years in watching American movies and, with our tongue in cheek and a bit of a giggle, seeing the adventures of the cavalry arriving, And for the first time in our years of combat I had a glow, a rosy glow, inside me and I knew and was certain for the very first time now we could not be beaten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	CCONJ DET VERB DET ADJ NOUN ADP NOUN PRON VERB VERB VERB PART ADP DET NOUN ADP VERB ADJ NOUN CCONJ ADP ADJ NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN VERB CCONJ ADP DET ADJ NOUN ADP ADJ NOUN ADP NOUN PRON VERB DET NOUN DET ADJ NOUN ADP PRON CCONJ PRON VERB CCONJ VERB ADJ ADP DET ADV ADJ NOUN ADV PRON VERB ADV VERB VERB
Mr Lyons, leader of the MSF technical union, believes — albeit slightly tongue in cheek — that the more exotic menu is fully justified.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PROPN PROPN NOUN ADP DET PROPN ADJ NOUN VERB PUNCT ADP ADV NOUN ADP NOUN PUNCT ADP DET ADV ADJ NOUN VERB ADV VERB
His best writing credits were the sentimental Shopworn Angel ( 1938 ), the romantic comedy - drama Rachel and the Stranger ( 1948 ), and the tongue - in - the - cheek Burt Lancaster swashbuckler The Flame and the Arrow ( 1950 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	combined-other	ADJ ADJ NOUN NOUN VERB DET ADJ PROPN PROPN PUNCT NUM PUNCT DET ADJ NOUN PUNCT NOUN PROPN CCONJ DET PROPN PUNCT NUM PUNCT CCONJ DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN PROPN PROPN NOUN DET PROPN CCONJ DET PROPN PUNCT NUM PUNCT
His tongue - in - cheek comment came as he departed from the text of his speech launching a campaign to encourage hotels to adopt environmentally friendly practices to praise the restoration of Warsaw's new Bristol Hotel.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADJ NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADP PRON VERB ADP DET NOUN ADP ADJ NOUN VERB DET NOUN PART VERB NOUN PART VERB ADV ADJ NOUN PART VERB DET NOUN ADP PROPN ADJ PROPN PROPN
On a lighter note, Maureen Lipman's perceptive view of life and delightful tongue - in - cheek humour brings many a chuckle in When's It Coming Out?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADP DET ADJ NOUN PROPN PROPN ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADJ DET NOUN ADP ADV PRON VERB ADV
Mask, curated by Valerie Brown for Impressions Gallery in York is a computer - developed identikit, a somewhat tongue - in - cheek representation of the average European who, we are told, is androgynous, 31.5 years old, of mixed ethnic origin with no distinguishing marks!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN VERB ADP PROPN PROPN ADP PROPN PROPN ADP PROPN VERB DET NOUN PUNCT VERB NOUN DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET ADJ PROPN NOUN PRON VERB VERB VERB ADJ NUM NOUN ADJ ADP ADJ ADJ NOUN ADP DET VERB NOUN
The lasting image many have of the city is the concrete cows, a tongue - in - cheek parting gift from a local artist.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB NOUN ADJ VERB ADP DET NOUN VERB DET ADJ NOUN DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP DET ADJ NOUN
