Aussie ace in the clear	0 0 1 0 1	in the clear	figurative	identical	ADJ NOUN ADP DET ADJ	▁A us s ie ▁a ce ▁in ▁the ▁clear	0 0 0 0 0 0 1 0 1	ADJ ADJ ADJ ADJ NOUN NOUN ADP DET ADJ
My second brother and I, self - conscious teenagers of the Sixties, were sometimes embarrassed when she wound down the window of her car and addressed a shepherd or a forester in her clear, carrying, Edwardian accent.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the clear	literal	determiner-broad	ADJ ADJ NOUN CCONJ PRON NOUN PUNCT ADJ NOUN ADP DET PROPN VERB ADV ADJ ADV PRON VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN CCONJ DET NOUN ADP ADJ ADJ VERB ADJ NOUN	▁My ▁second ▁brother ▁and ▁I , ▁self ▁- ▁conscious ▁tee na gers ▁of ▁the ▁Six ties , ▁were ▁sometimes ▁embarrass ed ▁when ▁she ▁wound ▁down ▁the ▁window ▁of ▁her ▁car ▁and ▁addressed ▁a ▁she pher d ▁or ▁a ▁for ester ▁in ▁her ▁clear , ▁carrying , ▁Edward ian ▁accent .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADJ ADJ NOUN CCONJ PRON PRON NOUN PUNCT ADJ NOUN NOUN NOUN ADP DET PROPN PROPN PROPN VERB ADV ADJ ADJ ADV PRON VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN NOUN NOUN CCONJ DET NOUN NOUN ADP ADJ ADJ ADJ VERB VERB ADJ ADJ NOUN NOUN
Sandy bays invited the bather to plunge in the clear cool waters ; boating parties found no breeze to fill the sail, and rowed lazily around the coast.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	ADJ NOUN VERB DET NOUN PART VERB ADP DET ADJ ADJ NOUN PUNCT VERB NOUN VERB DET NOUN PART VERB DET NOUN CCONJ VERB ADV ADP DET NOUN	▁Sand y ▁bay s ▁invited ▁the ▁bath er ▁to ▁plunge ▁in ▁the ▁clear ▁cool ▁waters ▁ ; ▁boat ing ▁parties ▁found ▁no ▁br ee ze ▁to ▁fill ▁the ▁sail , ▁and ▁row ed ▁l azi ly ▁around ▁the ▁coast .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN VERB DET NOUN NOUN PART VERB ADP DET ADJ ADJ NOUN PUNCT PUNCT VERB VERB NOUN VERB DET NOUN NOUN NOUN PART VERB DET NOUN NOUN CCONJ VERB VERB ADV ADV ADV ADP DET NOUN NOUN
Leaving early in the morning, this safari takes you high above the drifting game on the reserve in the clear morning light.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the clear	literal	identical	VERB ADV ADP DET NOUN DET NOUN VERB PRON ADV ADP DET VERB NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN	▁Leav ing ▁early ▁in ▁the ▁morning , ▁this ▁sa far i ▁takes ▁you ▁high ▁above ▁the ▁drift ing ▁game ▁on ▁the ▁reserve ▁in ▁the ▁clear ▁morning ▁light .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	VERB VERB ADV ADP DET NOUN NOUN DET NOUN NOUN NOUN VERB PRON ADV ADP DET VERB VERB NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN NOUN
‘ As far as I can see only Mr Merrivale is in the clear’, went on Mary.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the clear	figurative	dashes	PUNCT ADV ADV ADP PRON VERB VERB ADV PROPN PROPN VERB ADP DET X VERB ADP PROPN	▁ ‘ ▁As ▁far ▁as ▁I ▁can ▁see ▁only ▁Mr ▁Mer riva le ▁is ▁in ▁the ▁clear ’ , ▁went ▁on ▁Mary .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0	PUNCT PUNCT ADV ADV ADP PRON VERB VERB ADV PROPN PROPN PROPN PROPN VERB ADP DET X X X VERB ADP PROPN PROPN
There is a widely held untruth that as long as you don't copy more than eight bars, you are in the clear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the clear	figurative	identical	ADV VERB DET ADV VERB NOUN ADP ADV ADV ADP PRON VERB VERB ADJ ADP NUM NOUN PRON VERB ADP DET ADJ	▁There ▁is ▁a ▁widely ▁held ▁un tru th ▁that ▁as ▁long ▁as ▁you ▁don ' t ▁copy ▁more ▁than ▁eight ▁bars , ▁you ▁are ▁in ▁the ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV VERB DET ADV VERB NOUN NOUN NOUN ADP ADV ADV ADP PRON VERB VERB VERB VERB ADJ ADP NUM NOUN NOUN PRON VERB ADP DET ADJ ADJ
After washing his wounded forearm and hand in the clear cold water, he tore the T - shirt into strips and bandaged the injuries, as he had done earlier with the knife wound in his leg.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	ADP VERB ADJ ADJ NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PRON VERB DET PROPN PUNCT NOUN ADP NOUN CCONJ VERB DET NOUN ADP PRON VERB VERB ADV ADP DET NOUN VERB ADP ADJ NOUN	▁After ▁washing ▁his ▁wound ed ▁for e arm ▁and ▁hand ▁in ▁the ▁clear ▁cold ▁water , ▁he ▁to re ▁the ▁T ▁- ▁sh ir t ▁into ▁strips ▁and ▁bandage d ▁the ▁injuries , ▁as ▁he ▁had ▁done ▁earlier ▁with ▁the ▁knife ▁wound ▁in ▁his ▁leg .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP VERB ADJ ADJ ADJ NOUN NOUN NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN NOUN PRON VERB VERB DET PROPN PUNCT NOUN NOUN NOUN ADP NOUN CCONJ VERB VERB DET NOUN NOUN ADP PRON VERB VERB ADV ADP DET NOUN VERB ADP ADJ NOUN NOUN
There were stars in the clear, dark sky, and a white frost over the moor.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	ADV VERB NOUN ADP DET ADJ ADJ NOUN CCONJ DET ADJ NOUN ADP DET NOUN	▁There ▁were ▁stars ▁in ▁the ▁clear , ▁dark ▁sky , ▁and ▁a ▁white ▁frost ▁over ▁the ▁mo or .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB NOUN ADP DET ADJ ADJ ADJ NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN NOUN NOUN
A tall gentleman, very handsome and dignified, in uniform and glittering with orders, stepped out on the balcony, leading by the hand the lovely young Lady fair, dressed in white like a lily in the night, or like the moon in the clear skies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the clear	literal	identical	DET ADJ NOUN ADV ADJ CCONJ ADJ ADP NOUN CCONJ VERB ADP NOUN VERB ADV ADP DET NOUN VERB ADP DET NOUN DET ADJ ADJ PROPN ADJ VERB ADP ADJ ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN	▁A ▁tall ▁gentleman , ▁very ▁hand some ▁and ▁d ignified , ▁in ▁uniform ▁and ▁gli ttering ▁with ▁orders , ▁stepped ▁out ▁on ▁the ▁bal con y , ▁leading ▁by ▁the ▁hand ▁the ▁love ly ▁young ▁Lady ▁fair , ▁dressed ▁in ▁white ▁like ▁a ▁li ly ▁in ▁the ▁night , ▁or ▁like ▁the ▁mo on ▁in ▁the ▁clear ▁ski es .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	DET ADJ NOUN NOUN ADV ADJ ADJ CCONJ ADJ ADJ ADJ ADP NOUN CCONJ VERB VERB ADP NOUN NOUN VERB ADV ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN DET ADJ ADJ ADJ PROPN ADJ ADJ VERB ADP ADJ ADP DET NOUN NOUN ADP DET NOUN NOUN CCONJ ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN NOUN
No hunting, shooting or fishing for them, but walking and gardening and breathing in the clear air.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the clear	literal	identical	DET NOUN NOUN CCONJ VERB ADP PRON CCONJ NOUN CCONJ NOUN CCONJ NOUN ADP DET ADJ NOUN	▁No ▁hunting , ▁shooting ▁or ▁fishing ▁for ▁them , ▁but ▁walking ▁and ▁garden ing ▁and ▁breathing ▁in ▁the ▁clear ▁air .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET NOUN NOUN NOUN CCONJ VERB ADP PRON PRON CCONJ NOUN CCONJ NOUN NOUN CCONJ NOUN ADP DET ADJ NOUN NOUN
Nutty felt very pleased with life, swinging her legs in the clear water as Jazz slipped past on his second length.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	PROPN VERB ADV ADJ ADP NOUN VERB ADJ NOUN ADP DET ADJ NOUN ADP PROPN VERB ADV ADP ADJ ADJ NOUN	▁N ut ty ▁felt ▁very ▁pleased ▁with ▁life , ▁sw ing ing ▁her ▁legs ▁in ▁the ▁clear ▁water ▁as ▁Ja zz ▁slip ped ▁past ▁on ▁his ▁second ▁length .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB ADV ADJ ADP NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP PROPN PROPN VERB VERB ADV ADP ADJ ADJ NOUN NOUN
Excuse me, we 're on another subject, but I will put you in the clear	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the clear	figurative	identical	VERB PRON PRON VERB ADP DET NOUN CCONJ PRON VERB VERB PRON ADP DET ADJ	▁Exc use ▁me , ▁we ▁' re ▁on ▁another ▁subject , ▁but ▁I ▁will ▁put ▁you ▁in ▁the ▁clear	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	VERB VERB PRON PRON PRON VERB VERB ADP DET NOUN NOUN CCONJ PRON VERB VERB PRON ADP DET ADJ
‘ Fougabatics in the clear upper air were an almost religious experience … low - speed handling is every bit as gentle and benign … ’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	PUNCT NOUN ADP DET ADJ ADJ NOUN VERB DET ADV ADJ NOUN PUNCT ADJ PUNCT NOUN NOUN VERB DET NOUN ADV ADJ CCONJ ADJ PUNCT PUNCT	▁ ‘ ▁F ou gaba tics ▁in ▁the ▁clear ▁upper ▁air ▁were ▁an ▁almost ▁religious ▁experience ▁... ▁low ▁- ▁speed ▁handling ▁is ▁every ▁bit ▁as ▁gentle ▁and ▁be nign ▁... ▁ ’	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT NOUN NOUN NOUN NOUN ADP DET ADJ ADJ NOUN VERB DET ADV ADJ NOUN PUNCT ADJ PUNCT NOUN NOUN VERB DET NOUN ADV ADJ CCONJ ADJ ADJ PUNCT PUNCT PUNCT
Looks like we 're in the clear for now.’	0 0 0 0 1 0 1 0 0	in the clear	figurative	identical	VERB ADP PRON VERB ADP DET ADJ ADP NOUN	▁Look s ▁like ▁we ▁' re ▁in ▁the ▁clear ▁for ▁now . ’	0 0 0 0 0 0 1 0 1 0 0 0 0	VERB VERB ADP PRON VERB VERB ADP DET ADJ ADP NOUN NOUN NOUN
A good run and cross from Michael O'Neill left Hughes in the clear with not even the goalkeeper to beat but somehow the little winger managed to put the ball wide of the target.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	DET ADJ NOUN CCONJ VERB ADP PROPN PROPN VERB PROPN ADP DET ADJ ADP ADV ADV DET NOUN PART VERB CCONJ ADV DET ADJ NOUN VERB PART VERB DET NOUN ADJ ADP DET NOUN	▁A ▁good ▁run ▁and ▁cross ▁from ▁Michael ▁O ' Neil l ▁left ▁Hugh es ▁in ▁the ▁clear ▁with ▁not ▁even ▁the ▁goal keeper ▁to ▁beat ▁but ▁somehow ▁the ▁little ▁wing er ▁managed ▁to ▁put ▁the ▁ball ▁wide ▁of ▁the ▁target .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN CCONJ VERB ADP PROPN PROPN PROPN PROPN PROPN VERB PROPN PROPN ADP DET ADJ ADP ADV ADV DET NOUN NOUN PART VERB CCONJ ADV DET ADJ NOUN NOUN VERB PART VERB DET NOUN ADJ ADP DET NOUN NOUN
Legally, though, we were in the clear.	0 0 0 0 1 0 1	in the clear	figurative	identical	ADV ADV PRON VERB ADP DET ADJ	▁Legal ly , ▁though , ▁we ▁were ▁in ▁the ▁clear .	0 0 0 0 0 0 0 1 0 1 1	ADV ADV ADV ADV ADV PRON VERB ADP DET ADJ ADJ
Once upon a time there was a white cloud which drifted all by itself in the clear blue sky.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the clear	literal	identical	ADP ADP DET NOUN ADV VERB DET ADJ NOUN ADJ VERB ADV ADP PRON ADP DET ADJ ADJ NOUN	▁Once ▁upon ▁a ▁time ▁there ▁was ▁a ▁white ▁cloud ▁which ▁drift ed ▁all ▁by ▁itself ▁in ▁the ▁clear ▁blue ▁sky .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP ADP DET NOUN ADV VERB DET ADJ NOUN ADJ VERB VERB ADV ADP PRON ADP DET ADJ ADJ NOUN NOUN
The name Mývatn means ‘ midge lake’ and the principal reason the lake supports a large population of birds and fish is the astronomical numbers of chironomid and simuliid larvae which hatch out in the clear water.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the clear	literal	identical	DET NOUN PROPN VERB NUM NOUN NOUN CCONJ DET ADJ NOUN DET NOUN VERB DET ADJ NOUN ADP NOUN CCONJ NOUN VERB DET ADJ NOUN ADP NOUN CCONJ NOUN ADJ ADJ VERB PART ADP DET ADJ NOUN	▁The ▁name ▁M ý vat n ▁means ▁ ‘ ▁mid ge ▁lake ’ ▁and ▁the ▁principal ▁reason ▁the ▁lake ▁supports ▁a ▁large ▁population ▁of ▁birds ▁and ▁fish ▁is ▁the ▁as tron omic al ▁numbers ▁of ▁ch iron omi d ▁and ▁sim uli id ▁larvae ▁which ▁hatch ▁out ▁in ▁the ▁clear ▁water .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET NOUN PROPN PROPN PROPN PROPN VERB NUM NUM NOUN NOUN NOUN NOUN CCONJ DET ADJ NOUN DET NOUN VERB DET ADJ NOUN ADP NOUN CCONJ NOUN VERB DET ADJ ADJ ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADJ ADJ VERB PART ADP DET ADJ NOUN NOUN
But poor tactical kicking, especially by Jimmy Stewart, and stout Heriot's defence, meant no more scores before half - time, though an out - of - sorts Kenny Logan dropped a scoring pass when in the clear and Brian Ireland had the ball knocked from his grasp as he dived over the line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	CCONJ ADJ ADJ NOUN ADV ADP PROPN PROPN CCONJ ADJ PROPN NOUN VERB DET ADJ NOUN ADP ADJ PUNCT NOUN ADP DET ADJ PUNCT ADP PUNCT NOUN PROPN PROPN VERB DET NOUN NOUN ADV ADP DET ADJ CCONJ PROPN PROPN VERB DET NOUN VERB ADP ADJ NOUN ADP PRON VERB ADP DET NOUN	▁But ▁poor ▁tactic al ▁kick ing , ▁especially ▁by ▁J im my ▁Ste wart , ▁and ▁st out ▁He rio t ' s ▁defence , ▁meant ▁no ▁more ▁scores ▁before ▁half ▁- ▁time , ▁though ▁an ▁out ▁- ▁of ▁- ▁sorts ▁K en ny ▁Log an ▁dropped ▁a ▁scoring ▁pass ▁when ▁in ▁the ▁clear ▁and ▁Brian ▁Ireland ▁had ▁the ▁ball ▁knock ed ▁from ▁his ▁grasp ▁as ▁he ▁di ved ▁over ▁the ▁line .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADJ ADJ ADJ NOUN NOUN NOUN ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN ADP DET ADJ PUNCT ADP PUNCT NOUN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADV ADP DET ADJ CCONJ PROPN PROPN VERB DET NOUN VERB VERB ADP ADJ NOUN ADP PRON VERB VERB ADP DET NOUN NOUN
( If the suspect, having been asked to do so, refuses to take part in a formal identification procedure the prosecutor is in the clear, as the refusal provides a justification for the dock identification : John [ 1973]Crim. L.R. 113. )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	PUNCT ADP DET NOUN VERB VERB VERB PART VERB ADV VERB PART VERB NOUN ADP DET ADJ NOUN VERB DET NOUN VERB ADP DET ADJ ADP DET NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT PROPN PUNCT NUM PROPN NUM PUNCT	▁( ▁If ▁the ▁suspect , ▁having ▁been ▁asked ▁to ▁do ▁so , ▁refuses ▁to ▁take ▁part ▁in ▁a ▁formal ▁identification ▁procedure ▁the ▁prosecutor ▁is ▁in ▁the ▁clear , ▁as ▁the ▁refusal ▁provides ▁a ▁justification ▁for ▁the ▁dock ▁identification ▁ : ▁John ▁[ ▁1973 ] C rim . ▁L . R . ▁113 . ▁ )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADP DET NOUN NOUN VERB VERB VERB PART VERB ADV ADV VERB PART VERB NOUN ADP DET ADJ NOUN VERB DET NOUN VERB ADP DET ADJ ADJ ADP DET NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT PUNCT PROPN PUNCT NUM NUM NUM NUM NUM PROPN PROPN PROPN PROPN NUM NUM PUNCT PUNCT
You 're, you 're in the clear.	0 0 0 0 1 0 1	in the clear	figurative	identical	PRON VERB PRON VERB ADP DET ADJ	▁You ▁' re , ▁you ▁' re ▁in ▁the ▁clear .	0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB PRON VERB VERB ADP DET ADJ ADJ
Marley's widow in the clear	0 0 1 0 1	in the clear	figurative	identical	PROPN NOUN ADP DET ADJ	▁Mar ley ' s ▁widow ▁in ▁the ▁clear	0 0 0 0 0 1 0 1	PROPN PROPN PROPN PROPN NOUN ADP DET ADJ
Domes of clay burst in the clear depths	0 0 0 0 1 0 1 0	in the clear	literal	identical	NOUN ADP NOUN VERB ADP DET ADJ NOUN	▁Do mes ▁of ▁clay ▁burst ▁in ▁the ▁clear ▁depth s	0 0 0 0 0 1 0 1 0 0	NOUN NOUN ADP NOUN VERB ADP DET ADJ NOUN NOUN
His breath formed green clouds in the clear air.	0 0 0 0 0 1 0 1 0	in the clear	literal	identical	ADJ NOUN VERB ADJ NOUN ADP DET ADJ NOUN	▁His ▁breath ▁formed ▁green ▁cloud s ▁in ▁the ▁clear ▁air .	0 0 0 0 0 0 1 0 1 0 0	ADJ NOUN VERB ADJ NOUN NOUN ADP DET ADJ NOUN NOUN
The pallbearers laid the coffin down in the clear space at the exact centre of the cemetery, and moved to the edges, standing amidst the grave markers like ragged vultures.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	DET NOUN VERB DET NOUN PART ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN VERB ADP DET ADJ NOUN ADP ADJ NOUN	▁The ▁p all b ear ers ▁laid ▁the ▁c off in ▁down ▁in ▁the ▁clear ▁space ▁at ▁the ▁exact ▁centre ▁of ▁the ▁ce meter y , ▁and ▁moved ▁to ▁the ▁edges , ▁standing ▁a mid st ▁the ▁grave ▁markers ▁like ▁r agged ▁v ult ures .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN NOUN VERB DET NOUN NOUN NOUN PART ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ VERB ADP DET NOUN NOUN VERB ADP ADP ADP DET ADJ NOUN ADP ADJ ADJ NOUN NOUN NOUN NOUN
And the Northern Ireland International surprisingly finding himself in the clear twice already in the first five minutes, although that was er obviously not a chance.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	CCONJ DET PROPN PROPN PROPN ADV VERB PRON ADP DET ADJ ADV ADV ADP DET ADJ NUM NOUN ADP DET VERB INTJ ADV ADV DET NOUN	▁And ▁the ▁Northern ▁Ireland ▁International ▁surprising ly ▁finding ▁himself ▁in ▁the ▁clear ▁twice ▁already ▁in ▁the ▁first ▁five ▁minutes , ▁although ▁that ▁was ▁er ▁obviously ▁not ▁a ▁chance .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET PROPN PROPN PROPN ADV ADV VERB PRON ADP DET ADJ ADV ADV ADP DET ADJ NUM NOUN NOUN ADP DET VERB INTJ ADV ADV DET NOUN NOUN
, once you 're in the clear you really it's the silliest in the world to have a little actually.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	figurative	identical	PUNCT ADP PRON VERB ADP DET ADJ PRON ADV PRON DET ADJ ADP DET NOUN PART VERB DET ADJ ADV	▁ , ▁once ▁you ▁' re ▁in ▁the ▁clear ▁you ▁really ▁it ' s ▁the ▁sil li est ▁in ▁the ▁world ▁to ▁have ▁a ▁little ▁actually .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB VERB ADP DET ADJ PRON ADV PRON PRON PRON DET ADJ ADJ ADJ ADP DET NOUN PART VERB DET ADJ ADV ADV
