‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN	▁ ‘ ▁Then ▁a ▁shot ▁of ▁glucose ▁should ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN NOUN
If you had not so stupidly bade me keep quiet, I should have done the trick long since, and you would not have had to leave the place at all.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	ADP PRON VERB ADV ADV ADV VERB PRON VERB ADJ PRON VERB VERB VERB DET NOUN ADV ADV CCONJ PRON VERB ADV VERB VERB PART VERB DET NOUN ADV ADV	▁If ▁you ▁had ▁not ▁so ▁stupid ly ▁bad e ▁me ▁keep ▁quiet , ▁I ▁should ▁have ▁done ▁the ▁trick ▁long ▁since , ▁and ▁you ▁would ▁not ▁have ▁had ▁to ▁leave ▁the ▁place ▁at ▁all .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADV ADV ADV ADV VERB VERB PRON VERB ADJ ADJ PRON VERB VERB VERB DET NOUN ADV ADV ADV CCONJ PRON VERB ADV VERB VERB PART VERB DET NOUN ADV ADV ADV
So, so your new leader did the trick.	0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV ADV ADJ ADJ NOUN VERB DET NOUN	▁So , ▁so ▁your ▁new ▁leader ▁did ▁the ▁trick .	0 0 0 0 0 0 1 0 1 1	ADV ADV ADV ADJ ADJ NOUN VERB DET NOUN NOUN
We took Ben to the vet and he was given a course of antibiotics, which seemed to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PRON VERB PROPN ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP NOUN ADJ VERB PART VERB DET NOUN	▁We ▁took ▁Ben ▁to ▁the ▁vet ▁and ▁he ▁was ▁given ▁a ▁course ▁of ▁antibiotics , ▁which ▁seemed ▁to ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB PROPN ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP NOUN NOUN ADJ VERB PART VERB DET NOUN NOUN
But solipsism is intuitively unacceptable ; and nobody seems to be able to come up with an argument from analogy that will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ NOUN VERB ADV ADJ PUNCT CCONJ NOUN VERB PART VERB ADJ PART VERB PART ADP DET NOUN ADP NOUN ADJ VERB VERB DET NOUN	▁But ▁so lip s ism ▁is ▁in t uit ively ▁unacceptable ▁ ; ▁and ▁nobody ▁seems ▁to ▁be ▁able ▁to ▁come ▁up ▁with ▁an ▁argument ▁from ▁analogy ▁that ▁will ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ NOUN NOUN NOUN NOUN VERB ADV ADV ADV ADV ADJ PUNCT PUNCT CCONJ NOUN VERB PART VERB ADJ PART VERB PART ADP DET NOUN ADP NOUN ADJ VERB VERB DET NOUN NOUN
A book perhaps ; that might do the trick — she could read a while.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN ADV PUNCT DET VERB VERB DET NOUN PUNCT PRON VERB VERB DET NOUN	▁A ▁book ▁perhaps ▁ ; ▁that ▁might ▁do ▁the ▁trick ▁ — ▁she ▁could ▁read ▁a ▁while .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	DET NOUN ADV PUNCT PUNCT DET VERB VERB DET NOUN PUNCT PUNCT PRON VERB VERB DET NOUN NOUN
Should do the trick, eh?’	0 1 0 1 0	do the trick	figurative	identical	VERB VERB DET NOUN ADV	▁Should ▁do ▁the ▁trick , ▁ eh ? ’	0 1 0 1 1 0 0 0 0	VERB VERB DET NOUN NOUN ADV ADV ADV ADV
It certainly seemed to do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	PRON ADV VERB PART VERB DET NOUN	▁It ▁certainly ▁seemed ▁to ▁do ▁the ▁trick .	0 0 0 0 1 0 1 1	PRON ADV VERB PART VERB DET NOUN NOUN
But that should do the trick Mary	0 0 0 1 0 1 0	do the trick	figurative	identical	CCONJ DET VERB VERB DET NOUN PROPN	▁But ▁that ▁should ▁do ▁the ▁trick ▁Mary	0 0 0 1 0 1 0	CCONJ DET VERB VERB DET NOUN PROPN
A heavily US - financed campaign did the trick and Blaize, with a 14 - 1 majority, took over and thanked God for sending the Americans to save Grenada.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET ADV PROPN PUNCT VERB NOUN VERB DET NOUN CCONJ PROPN ADP DET NUM SYM NUM NOUN VERB PART CCONJ VERB PROPN ADP VERB DET PROPN PART VERB PROPN	▁A ▁heavily ▁US ▁- ▁financed ▁campaign ▁did ▁the ▁trick ▁and ▁B la ize , ▁with ▁a ▁14 ▁- ▁1 ▁majority , ▁took ▁over ▁and ▁thank ed ▁God ▁for ▁sending ▁the ▁Americans ▁to ▁save ▁Grenada .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV PROPN PUNCT VERB NOUN VERB DET NOUN CCONJ PROPN PROPN PROPN PROPN ADP DET NUM SYM NUM NOUN NOUN VERB PART CCONJ VERB VERB PROPN ADP VERB DET PROPN PART VERB PROPN PROPN
‘ Becoming better at what we do and widening the gap between selling price and manufacturing cost is the only target that will do the trick for us,’ he declared.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	do the trick	figurative	identical	PUNCT VERB ADV ADP NOUN PRON VERB CCONJ VERB DET NOUN ADP VERB NOUN CCONJ NOUN NOUN VERB DET ADJ NOUN ADJ VERB VERB DET NOUN ADP NOUN PRON VERB	▁ ‘ ▁Be coming ▁better ▁at ▁what ▁we ▁do ▁and ▁widening ▁the ▁gap ▁between ▁selling ▁price ▁and ▁manufacturing ▁cost ▁is ▁the ▁only ▁target ▁that ▁will ▁do ▁the ▁trick ▁for ▁us , ’ ▁he ▁declared .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PUNCT PUNCT VERB VERB ADV ADP NOUN PRON VERB CCONJ VERB DET NOUN ADP VERB NOUN CCONJ NOUN NOUN VERB DET ADJ NOUN ADJ VERB VERB DET NOUN ADP NOUN NOUN NOUN PRON VERB VERB
He said : ‘ I 've had a miserable two years with injuries, but this latest op should do the trick.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	dashes	PRON VERB PUNCT PUNCT PRON VERB VERB DET ADJ NUM NOUN ADP NOUN CCONJ DET ADJ NOUN VERB VERB DET NOUN	▁He ▁said ▁ : ▁ ‘ ▁I ▁' ve ▁had ▁a ▁mis er able ▁two ▁years ▁with ▁injuries , ▁but ▁this ▁latest ▁op ▁should ▁do ▁the ▁trick . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB DET ADJ ADJ ADJ NUM NOUN ADP NOUN NOUN CCONJ DET ADJ NOUN VERB VERB DET NOUN NOUN NOUN
‘ That should do the trick!’	0 0 0 1 0 1	do the trick	figurative	dashes	PUNCT DET VERB VERB DET NOUN	▁ ‘ ▁That ▁should ▁do ▁the ▁trick ! ’	0 0 0 0 1 0 1 1 1	PUNCT PUNCT DET VERB VERB DET NOUN NOUN NOUN
Apparently, its rationale is that if expanding reserves by more than $ 2~trillion has not produced the desired results, adding $ 85~billion more monthly – another $ 1~trillion this year – might do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADV ADJ NOUN VERB ADP ADP VERB NOUN ADP ADJ ADP SYM NUM VERB ADV VERB DET VERB NOUN VERB SYM NUM ADJ ADV PUNCT DET SYM NUM DET NOUN PUNCT VERB VERB DET NOUN	▁Ap parent ly , ▁its ▁rationale ▁is ▁that ▁if ▁expanding ▁reserves ▁by ▁more ▁than ▁$ ▁2 ~ tr illion ▁has ▁not ▁produced ▁the ▁desired ▁results , ▁adding ▁$ ▁85 ~ b illion ▁more ▁monthly ▁ – ▁another ▁$ ▁1 ~ tr illion ▁this ▁year ▁ – ▁might ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV ADV ADV ADJ NOUN VERB ADP ADP VERB NOUN ADP ADJ ADP SYM NUM NUM NUM NUM VERB ADV VERB DET VERB NOUN NOUN VERB SYM NUM NUM NUM NUM ADJ ADV PUNCT PUNCT DET SYM NUM NUM NUM NUM DET NOUN PUNCT PUNCT VERB VERB DET NOUN NOUN
Secret To do this trick you need to choose a month with five Wednesdays in it.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	determiner-narrow	ADJ PART VERB DET VERB PRON VERB PART VERB DET NOUN ADP NUM NOUN ADP PRON	▁Secret ▁To ▁do ▁this ▁trick ▁you ▁need ▁to ▁choose ▁a ▁month ▁with ▁five ▁Wednesday s ▁in ▁it .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ PART VERB DET VERB PRON VERB PART VERB DET NOUN ADP NUM NOUN NOUN ADP PRON PRON
And apparently they believed it, as it did the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	CCONJ ADV PRON VERB PRON ADP PRON VERB DET NOUN	▁And ▁apparently ▁they ▁believed ▁it , ▁as ▁it ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	CCONJ ADV PRON VERB PRON PRON ADP PRON VERB DET NOUN NOUN
Keep hair smelling clean and fresh — subtly perfumed shampoos do the trick beautifully!	0 0 0 0 0 0 0 0 0 0 1 0 1 0	do the trick	figurative	identical	VERB NOUN VERB ADJ CCONJ ADJ PUNCT ADV VERB NOUN VERB DET NOUN ADV	▁Keep ▁hair ▁smell ing ▁clean ▁and ▁fresh ▁ — ▁sub t ly ▁perfume d ▁sham po os ▁do ▁the ▁trick ▁beautiful ly !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	VERB NOUN VERB VERB ADJ CCONJ ADJ PUNCT PUNCT ADV ADV ADV VERB VERB NOUN NOUN NOUN VERB DET NOUN ADV ADV ADV
It becomes oh well you you do some little tricks on numbers and you shuffle them about and that's the answer they want.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB INTJ INTJ PRON PRON VERB DET ADJ NOUN ADP NOUN CCONJ PRON VERB PRON ADV CCONJ DET DET NOUN PRON VERB	▁It ▁becomes ▁ oh ▁well ▁you ▁you ▁do ▁some ▁little ▁trick s ▁on ▁numbers ▁and ▁you ▁sh uff le ▁them ▁about ▁and ▁that ' s ▁the ▁answer ▁they ▁want .	0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB INTJ INTJ INTJ PRON PRON VERB DET ADJ NOUN NOUN ADP NOUN CCONJ PRON VERB VERB VERB PRON ADV CCONJ DET DET DET DET NOUN PRON VERB VERB
But you do the trick and get him out?	0 0 1 0 1 0 0 0 0	do the trick	figurative	identical	CCONJ PRON VERB DET NOUN CCONJ VERB PRON PART	▁But ▁you ▁do ▁the ▁trick ▁and ▁get ▁him ▁out ?	0 0 1 0 1 0 0 0 0 0	CCONJ PRON VERB DET NOUN CCONJ VERB PRON PART PART
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN	▁It ▁did ▁the ▁trick .	0 1 0 1 1	PRON VERB DET NOUN NOUN
The wonder drug was duly acquired and miraculously did the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET NOUN NOUN VERB ADV VERB CCONJ ADV VERB DET NOUN	▁The ▁wonder ▁drug ▁was ▁duly ▁acquired ▁and ▁m ira cul ously ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN NOUN VERB ADV VERB CCONJ ADV ADV ADV ADV VERB DET NOUN NOUN
Of course, in open economy models of temporary equilibrium, alterations in the nominal exchange rate might do the trick of reducing real wages through their impact on the terms of trade ; but, in the case of a devaluation, this would succeed only to the extent that the phenomenon of real wage resistance were not encountered.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADV ADV ADP ADJ NOUN NOUN ADP ADJ NOUN NOUN ADP DET ADJ NOUN NOUN VERB VERB DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP NOUN PUNCT CCONJ ADP DET NOUN ADP DET NOUN DET VERB VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB ADV VERB	▁Of ▁course , ▁in ▁open ▁economy ▁models ▁of ▁temporary ▁equilibrium , ▁alterations ▁in ▁the ▁nominal ▁exchange ▁rate ▁might ▁do ▁the ▁trick ▁of ▁reducing ▁real ▁wages ▁through ▁their ▁impact ▁on ▁the ▁terms ▁of ▁trade ▁ ; ▁but , ▁in ▁the ▁case ▁of ▁a ▁devaluation , ▁this ▁would ▁succeed ▁only ▁to ▁the ▁extent ▁that ▁the ▁phenomenon ▁of ▁real ▁wage ▁resistance ▁were ▁not ▁encountered .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADJ NOUN NOUN ADP ADJ NOUN NOUN NOUN ADP DET ADJ NOUN NOUN VERB VERB DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP NOUN PUNCT PUNCT CCONJ CCONJ ADP DET NOUN ADP DET NOUN NOUN DET VERB VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB ADV VERB VERB
Now the housing industry hopes that the reduced rates — which go as low as 6.25 per cent for first - time buyers — will do the trick and revive the deeply troubled market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	do the trick	figurative	identical	ADV DET NOUN NOUN VERB ADP DET VERB NOUN PUNCT ADJ VERB ADV ADJ ADP NUM ADP NOUN ADP ADJ PUNCT NOUN NOUN PUNCT VERB VERB DET NOUN CCONJ VERB DET ADV ADJ NOUN	▁Now ▁the ▁housing ▁industry ▁hopes ▁that ▁the ▁reduced ▁rates ▁ — ▁which ▁go ▁as ▁low ▁as ▁6. 25 ▁per ▁cent ▁for ▁first ▁- ▁time ▁buyers ▁ — ▁will ▁do ▁the ▁trick ▁and ▁revive ▁the ▁deeply ▁troubled ▁market .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	ADV DET NOUN NOUN VERB ADP DET VERB NOUN PUNCT PUNCT ADJ VERB ADV ADJ ADP NUM NUM ADP NOUN ADP ADJ PUNCT NOUN NOUN PUNCT PUNCT VERB VERB DET NOUN CCONJ VERB DET ADV ADJ NOUN NOUN
Had his violent loss of temper done the trick after all?	0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	VERB ADJ ADJ NOUN ADP NOUN VERB DET NOUN ADV ADV	▁Had ▁his ▁violent ▁loss ▁of ▁temper ▁done ▁the ▁trick ▁after ▁all ?	0 0 0 0 0 0 1 0 1 0 0 0	VERB ADJ ADJ NOUN ADP NOUN VERB DET NOUN ADV ADV ADV
Seles switch does the trick	0 0 1 0 1	do the trick	figurative	inflection	NOUN VERB VERB DET NOUN	▁Sel es ▁switch ▁does ▁the ▁trick	0 0 0 1 0 1	NOUN NOUN VERB VERB DET NOUN
Near the end, he does a magic trick for a lady, using a fake thumb.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP DET NOUN PRON VERB DET ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN	▁Near ▁the ▁end , ▁he ▁does ▁a ▁magic ▁trick ▁for ▁a ▁lady , ▁using ▁a ▁f ake ▁thumb .	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PRON VERB DET ADJ NOUN ADP DET NOUN NOUN VERB DET ADJ ADJ NOUN NOUN
I 've kept touching you because I still have the greatest difficulty keeping my hands off you, but I was also doing Simon's trick, attempting to nudge fate along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB PRON ADP PRON ADV VERB DET ADJ NOUN VERB ADJ NOUN ADP PRON CCONJ PRON VERB ADV VERB PROPN NOUN VERB PART VERB NOUN ADV	▁I ▁' ve ▁kept ▁touching ▁you ▁because ▁I ▁still ▁have ▁the ▁greatest ▁difficulty ▁keeping ▁my ▁hands ▁off ▁you , ▁but ▁I ▁was ▁also ▁doing ▁Simon ' s ▁trick , ▁attempting ▁to ▁n udge ▁fate ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB PRON ADP PRON ADV VERB DET ADJ NOUN VERB ADJ NOUN ADP PRON PRON CCONJ PRON VERB ADV VERB PROPN PROPN PROPN NOUN NOUN VERB PART VERB VERB NOUN ADV ADV
Cosmetic companies are always seeking new ways to solve our problems, and it seems we 're always willing to hand over our money in the hope that these products and their magic ingredients will do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADJ NOUN VERB ADV VERB ADJ NOUN PART VERB ADJ NOUN CCONJ PRON VERB PRON VERB ADV ADJ PART VERB PART ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADJ ADJ NOUN VERB VERB DET NOUN	▁Cosmetic ▁companies ▁are ▁always ▁seeking ▁new ▁ways ▁to ▁solve ▁our ▁problems , ▁and ▁it ▁seems ▁we ▁' re ▁always ▁willing ▁to ▁hand ▁over ▁our ▁money ▁in ▁the ▁hope ▁that ▁these ▁products ▁and ▁their ▁magic ▁ingredients ▁will ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADV VERB ADJ NOUN PART VERB ADJ NOUN NOUN CCONJ PRON VERB PRON VERB VERB ADV ADJ PART VERB PART ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADJ ADJ NOUN VERB VERB DET NOUN NOUN
One day soon, Dr Kepepwe would do the trick — with luck before the war - damaged moved in to supplant me in her attentions.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	NUM NOUN ADV PROPN PROPN VERB VERB DET VERB PUNCT ADP NOUN ADP DET NOUN PUNCT VERB VERB ADV PART VERB PRON ADP ADJ NOUN	▁One ▁day ▁soon , ▁Dr ▁Kep ep we ▁would ▁do ▁the ▁trick ▁ — ▁with ▁luck ▁before ▁the ▁war ▁- ▁damaged ▁moved ▁in ▁to ▁sup plant ▁me ▁in ▁her ▁attention s .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADV ADV PROPN PROPN PROPN PROPN VERB VERB DET VERB PUNCT PUNCT ADP NOUN ADP DET NOUN PUNCT VERB VERB ADV PART VERB VERB PRON ADP ADJ NOUN NOUN NOUN
But if your need is for anything other than that, that is to say something a little more complex, then the functionality built into Designer Labels is probably powerful enough to do the trick for you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	identical	CCONJ ADP ADJ NOUN VERB ADP NOUN ADJ ADP DET DET VERB PART VERB NOUN DET ADV ADV ADJ ADV DET NOUN VERB ADP PROPN PROPN VERB ADV ADJ ADV PART VERB DET NOUN ADP PRON	▁But ▁if ▁your ▁need ▁is ▁for ▁anything ▁other ▁than ▁that , ▁that ▁is ▁to ▁say ▁something ▁a ▁little ▁more ▁complex , ▁then ▁the ▁functionality ▁built ▁into ▁Design er ▁Label s ▁is ▁probably ▁powerful ▁enough ▁to ▁do ▁the ▁trick ▁for ▁you .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	CCONJ ADP ADJ NOUN VERB ADP NOUN ADJ ADP DET DET DET VERB PART VERB NOUN DET ADV ADV ADJ ADJ ADV DET NOUN VERB ADP PROPN PROPN PROPN PROPN VERB ADV ADJ ADV PART VERB DET NOUN ADP PRON PRON
And hopefully that 'll do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ ADV DET VERB VERB DET NOUN	▁And ▁hopeful ly ▁that ▁' ll ▁do ▁the ▁trick .	0 0 0 0 0 0 1 0 1 1	CCONJ ADV ADV DET VERB VERB VERB DET NOUN NOUN
That did the trick.	0 1 0 1	do the trick	figurative	inflection	DET VERB DET NOUN	▁That ▁did ▁the ▁trick .	0 1 0 1 1	DET VERB DET NOUN NOUN
And Prozac did the trick for me, erm it won't work for everybody, it's not a happiness pill, it just restores you to to some sort of normality.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	CCONJ PROPN VERB DET NOUN ADP PRON INTJ PRON VERB VERB ADP NOUN PRON ADV DET NOUN NOUN PRON ADV VERB PRON ADP ADP DET NOUN ADP NOUN	▁And ▁Pro za c ▁did ▁the ▁trick ▁for ▁me , ▁er m ▁it ▁won ' t ▁work ▁for ▁everybody , ▁it ' s ▁not ▁a ▁h app iness ▁pill , ▁it ▁just ▁restore s ▁you ▁to ▁to ▁some ▁sort ▁of ▁normal ity .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN VERB DET NOUN ADP PRON PRON INTJ INTJ PRON VERB VERB VERB VERB ADP NOUN NOUN PRON PRON PRON ADV DET NOUN NOUN NOUN NOUN NOUN PRON ADV VERB VERB PRON ADP ADP DET NOUN ADP NOUN NOUN NOUN
The tools have to be looked after which means, in particular, preventing them from rusting ( a thin smearing of oil does the trick ) ; tools with cutting edges should be kept sharp with their blades protected against damage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET NOUN VERB PART VERB VERB ADP ADJ VERB ADP ADJ VERB PRON ADP VERB PUNCT DET ADJ NOUN ADP NOUN VERB DET NOUN PUNCT PUNCT NOUN ADP VERB NOUN VERB VERB VERB ADJ ADP ADJ NOUN VERB ADP NOUN	▁The ▁tools ▁have ▁to ▁be ▁looked ▁after ▁which ▁means , ▁in ▁particular , ▁preventing ▁them ▁from ▁ rust ing ▁( ▁a ▁thin ▁sm ear ing ▁of ▁oil ▁does ▁the ▁trick ▁ ) ▁ ; ▁tools ▁with ▁cutting ▁edges ▁should ▁be ▁kept ▁sharp ▁with ▁their ▁blades ▁protected ▁against ▁damage .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PART VERB VERB ADP ADJ VERB VERB ADP ADJ ADJ VERB PRON ADP VERB VERB VERB PUNCT DET ADJ NOUN NOUN NOUN ADP NOUN VERB DET NOUN PUNCT PUNCT PUNCT PUNCT NOUN ADP VERB NOUN VERB VERB VERB ADJ ADP ADJ NOUN VERB ADP NOUN NOUN
Measures such as increasing the amount of natural light, and relying more on ‘ local’ fittings could do the trick, the establishment believes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	do the trick	figurative	identical	NOUN ADJ ADP VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADJ ADP PUNCT NOUN NOUN VERB VERB DET NOUN DET NOUN VERB	▁Measures ▁such ▁as ▁increasing ▁the ▁amount ▁of ▁natural ▁light , ▁and ▁relying ▁more ▁on ▁ ‘ ▁local ’ ▁fittings ▁could ▁do ▁the ▁trick , ▁the ▁establishment ▁believes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	NOUN ADJ ADP VERB DET NOUN ADP ADJ NOUN NOUN CCONJ VERB ADJ ADP PUNCT PUNCT NOUN NOUN NOUN VERB VERB DET NOUN NOUN DET NOUN VERB VERB
No well she had this special thing so it's done the trick so she hasn't worn it yet though, I think she's doing it for the wedding ain't she?	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	ADV INTJ PRON VERB DET ADJ NOUN ADP PRON VERB DET NOUN ADP PRON VERB VERB PRON ADV ADV PRON VERB PRON VERB PRON ADP DET NOUN VERB PRON	▁No ▁well ▁she ▁had ▁this ▁special ▁thing ▁so ▁it ' s ▁done ▁the ▁trick ▁so ▁she ▁has n ' t ▁worn ▁it ▁yet ▁though , ▁I ▁think ▁she ' s ▁doing ▁it ▁for ▁the ▁we dding ▁a in ' t ▁she ?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV INTJ PRON VERB DET ADJ NOUN ADP PRON PRON PRON VERB DET NOUN ADP PRON VERB VERB VERB VERB VERB PRON ADV ADV ADV PRON VERB PRON PRON PRON VERB PRON ADP DET NOUN NOUN VERB VERB VERB VERB PRON PRON
