grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN	▁grind ▁to ▁a ▁halt !	1 1 0 1 1	VERB ADP DET NOUN NOUN
To make matters worse, the Czech - Slovak clearing system has also all but ground to a halt and simple financial transactions between companies in the two the states are currently taking one to two months to complete, according to local businessmen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PART VERB NOUN ADJ DET PROPN PUNCT PROPN NOUN NOUN VERB ADV DET CCONJ VERB ADP DET NOUN CCONJ ADJ ADJ NOUN ADP NOUN ADP DET NUM DET NOUN VERB ADV VERB NUM PART NUM NOUN PART VERB VERB ADP ADJ NOUN	▁To ▁make ▁matters ▁worse , ▁the ▁Czech ▁- ▁Slovak ▁clearing ▁system ▁has ▁also ▁all ▁but ▁ground ▁to ▁a ▁halt ▁and ▁simple ▁financial ▁transactions ▁between ▁companies ▁in ▁the ▁two ▁the ▁states ▁are ▁currently ▁taking ▁one ▁to ▁two ▁months ▁to ▁complete , ▁according ▁to ▁local ▁business men .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB NOUN ADJ ADJ DET PROPN PUNCT PROPN NOUN NOUN VERB ADV DET CCONJ VERB ADP DET NOUN CCONJ ADJ ADJ NOUN ADP NOUN ADP DET NUM DET NOUN VERB ADV VERB NUM PART NUM NOUN PART VERB VERB VERB ADP ADJ NOUN NOUN NOUN
Without their support some of the giants of British business would quickly grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP ADJ NOUN DET ADP DET NOUN ADP ADJ NOUN VERB ADV VERB ADP DET NOUN	▁Without ▁their ▁support ▁some ▁of ▁the ▁giant s ▁of ▁British ▁business ▁would ▁quickly ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP ADJ NOUN DET ADP DET NOUN NOUN ADP ADJ NOUN VERB ADV VERB ADP DET NOUN NOUN
Football clashes between the age - old rivals have ground to a halt partly because outpourings of nationalism have sometimes got out of hand.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN NOUN ADP DET NOUN PUNCT ADJ NOUN VERB VERB ADP DET NOUN ADV ADP NOUN ADP NOUN VERB ADV VERB ADP ADP NOUN	▁F ootball ▁clash es ▁between ▁the ▁age ▁- ▁old ▁rival s ▁have ▁ground ▁to ▁a ▁halt ▁partly ▁because ▁out po uring s ▁of ▁national ism ▁have ▁sometimes ▁got ▁out ▁of ▁hand .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN ADP DET NOUN PUNCT ADJ NOUN NOUN VERB VERB ADP DET NOUN ADV ADP NOUN NOUN NOUN NOUN ADP NOUN NOUN VERB ADV VERB ADP ADP NOUN NOUN
Without them, many of the ecological processes upon which we and other organisms knowingly or unknowingly depend, would soon grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PRON ADJ ADP DET ADJ NOUN ADP ADJ PRON CCONJ ADJ NOUN ADV CCONJ ADV VERB VERB ADV VERB ADP DET NOUN	▁Without ▁them , ▁many ▁of ▁the ▁ecological ▁processes ▁upon ▁which ▁we ▁and ▁other ▁organisms ▁knowing ly ▁or ▁un know ing ly ▁depend , ▁would ▁soon ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PRON PRON ADJ ADP DET ADJ NOUN ADP ADJ PRON CCONJ ADJ NOUN ADV ADV CCONJ ADV ADV ADV ADV VERB VERB VERB ADV VERB ADP DET NOUN NOUN
So my answer to the question A is, I am not against a new settlement, of the right scale in the right location, but it is not a panacea, it is not an answer to all the questions, now it's being offered in terms of a balanced strategy, I say that balanced strategy as put forward does not work, certainly beyond two thousand and six, and may grind to a halt well before two thousand and six if rates of development proceed er as they have done in certain years in the past, so it's very important to look at that, can we just revisit the public acceptance of the new settlement, of course the public have accepted it and welcomed it, it has certain attractions, I support those attractions, however it's easy for the public to accept that when measured against certain sites specific proposals that were put to them when they did not know where the new settlement would be, and still do not know, when new settlement locations are put forward it will be quite a different scenario.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	ADV ADJ NOUN ADP DET NOUN NOUN VERB PRON VERB ADV ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADV DET NOUN PRON VERB ADV DET NOUN ADP ADJ DET NOUN ADV PRON VERB VERB ADP NOUN ADP DET ADJ NOUN PRON VERB ADP ADJ NOUN ADP VERB ADV VERB ADV VERB ADV ADP NUM NUM CCONJ NUM CCONJ VERB VERB ADP DET NOUN ADV ADP NUM NUM CCONJ NUM ADP NOUN ADP NOUN VERB INTJ ADP PRON VERB VERB ADP ADJ NOUN ADP DET NOUN CCONJ PRON ADV ADJ PART VERB ADP DET VERB PRON ADV VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN DET NOUN VERB VERB PRON CCONJ VERB PRON PRON VERB ADJ NOUN PRON VERB DET NOUN ADV PRON ADJ ADP DET NOUN PART VERB ADP ADV VERB ADP ADJ NOUN ADJ NOUN ADJ VERB VERB ADP PRON ADV PRON VERB ADV VERB ADV DET ADJ NOUN VERB VERB CCONJ ADV VERB ADV VERB ADV ADJ NOUN NOUN VERB VERB ADV PRON VERB VERB ADV DET ADJ NOUN	▁So ▁my ▁answer ▁to ▁the ▁question ▁A ▁is , ▁I ▁am ▁not ▁against ▁a ▁new ▁settlement , ▁of ▁the ▁right ▁scale ▁in ▁the ▁right ▁location , ▁but ▁it ▁is ▁not ▁a ▁pan acea , ▁it ▁is ▁not ▁an ▁answer ▁to ▁all ▁the ▁questions , ▁now ▁it ' s ▁being ▁offered ▁in ▁terms ▁of ▁a ▁balanced ▁strategy , ▁I ▁say ▁that ▁balanced ▁strategy ▁as ▁put ▁forward ▁does ▁not ▁work , ▁certainly ▁beyond ▁two ▁thousand ▁and ▁six , ▁and ▁may ▁grind ▁to ▁a ▁halt ▁well ▁before ▁two ▁thousand ▁and ▁six ▁if ▁rates ▁of ▁development ▁proceed ▁er ▁as ▁they ▁have ▁done ▁in ▁certain ▁years ▁in ▁the ▁past , ▁so ▁it ' s ▁very ▁important ▁to ▁look ▁at ▁that , ▁can ▁we ▁just ▁re vis it ▁the ▁public ▁acceptance ▁of ▁the ▁new ▁settlement , ▁of ▁course ▁the ▁public ▁have ▁accepted ▁it ▁and ▁welcomed ▁it , ▁it ▁has ▁certain ▁attraction s , ▁I ▁support ▁those ▁attraction s , ▁however ▁it ' s ▁easy ▁for ▁the ▁public ▁to ▁accept ▁that ▁when ▁measured ▁against ▁certain ▁sites ▁specific ▁proposals ▁that ▁were ▁put ▁to ▁them ▁when ▁they ▁did ▁not ▁know ▁where ▁the ▁new ▁settlement ▁would ▁be , ▁and ▁still ▁do ▁not ▁know , ▁when ▁new ▁settlement ▁locations ▁are ▁put ▁forward ▁it ▁will ▁be ▁quite ▁a ▁different ▁scenario .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ NOUN ADP DET NOUN NOUN VERB VERB PRON VERB ADV ADP DET ADJ NOUN NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN CCONJ PRON VERB ADV DET NOUN NOUN NOUN PRON VERB ADV DET NOUN ADP ADJ DET NOUN NOUN ADV PRON PRON PRON VERB VERB ADP NOUN ADP DET ADJ NOUN NOUN PRON VERB ADP ADJ NOUN ADP VERB ADV VERB ADV VERB VERB ADV ADP NUM NUM CCONJ NUM NUM CCONJ VERB VERB ADP DET NOUN ADV ADP NUM NUM CCONJ NUM ADP NOUN ADP NOUN VERB INTJ ADP PRON VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN CCONJ PRON PRON PRON ADV ADJ PART VERB ADP DET DET VERB PRON ADV VERB VERB VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN ADP NOUN DET NOUN VERB VERB PRON CCONJ VERB PRON PRON PRON VERB ADJ NOUN NOUN NOUN PRON VERB DET NOUN NOUN NOUN ADV PRON PRON PRON ADJ ADP DET NOUN PART VERB ADP ADV VERB ADP ADJ NOUN ADJ NOUN ADJ VERB VERB ADP PRON ADV PRON VERB ADV VERB ADV DET ADJ NOUN VERB VERB VERB CCONJ ADV VERB ADV VERB VERB ADV ADJ NOUN NOUN VERB VERB ADV PRON VERB VERB ADV DET ADJ NOUN NOUN
We are grinding to a halt on those aren't we?	0 0 1 1 0 1 0 0 0 0	grind to a halt	figurative	inflection	PRON VERB VERB ADP DET NOUN ADP DET VERB PRON	▁We ▁are ▁grinding ▁to ▁a ▁halt ▁on ▁those ▁are n ' t ▁we ?	0 0 1 1 0 1 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN ADP DET VERB VERB VERB VERB PRON PRON
The inter - city train from Liverpool ground to a halt near Berkhampstead, Herts, after hitting several obstacles at full speed.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET NOUN PUNCT NOUN NOUN ADP PROPN NOUN ADP DET NOUN ADP PROPN PROPN ADP VERB ADJ NOUN ADP ADJ NOUN	▁The ▁inter ▁- ▁city ▁train ▁from ▁Liverpool ▁ground ▁to ▁a ▁halt ▁near ▁Berk ham ps te ad , ▁Hert s , ▁after ▁hit ting ▁several ▁obstacles ▁at ▁full ▁speed .	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PUNCT NOUN NOUN ADP PROPN NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP VERB VERB ADJ NOUN ADP ADJ NOUN NOUN
The minister's entourage and assembled media swept into the narrow office building only to grind to a halt on the stairs while he and Mr Fallon shut themselves off for a brief chat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	DET NOUN NOUN CCONJ VERB NOUN VERB ADP DET ADJ NOUN NOUN ADV PART VERB ADP DET NOUN ADP DET NOUN ADP PRON CCONJ PROPN PROPN VERB PRON PART ADP DET ADJ NOUN	▁The ▁minister ' s ▁en tour age ▁and ▁assembled ▁media ▁swept ▁into ▁the ▁narrow ▁office ▁building ▁only ▁to ▁grind ▁to ▁a ▁halt ▁on ▁the ▁sta ir s ▁while ▁he ▁and ▁Mr ▁F all on ▁shut ▁themselves ▁off ▁for ▁a ▁brief ▁cha t .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN NOUN NOUN CCONJ VERB NOUN VERB ADP DET ADJ NOUN NOUN ADV PART VERB ADP DET NOUN ADP DET NOUN NOUN NOUN ADP PRON CCONJ PROPN PROPN PROPN PROPN VERB PRON PART ADP DET ADJ NOUN NOUN NOUN
Take out a single cog and the gears might grind to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	VERB PART DET ADJ NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN	▁Take ▁out ▁a ▁single ▁co g ▁and ▁the ▁gears ▁might ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	VERB PART DET ADJ NOUN NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN NOUN
After some initial success, however, the Young King's campaign ground to a halt and Henry decided that he would have to take a hand himself.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	ADP DET ADJ NOUN ADV DET PROPN PROPN NOUN NOUN ADP DET NOUN CCONJ PROPN VERB ADP PRON VERB VERB PART VERB DET NOUN PRON	▁After ▁some ▁initial ▁success , ▁however , ▁the ▁Young ▁King ' s ▁campaign ▁ground ▁to ▁a ▁halt ▁and ▁Henry ▁decided ▁that ▁he ▁would ▁have ▁to ▁take ▁a ▁hand ▁himself .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN NOUN ADV ADV DET PROPN PROPN PROPN PROPN NOUN NOUN ADP DET NOUN CCONJ PROPN VERB ADP PRON VERB VERB PART VERB DET NOUN PRON PRON
Er and therefore when it got round the workshop what had happened and why he had been er suspended you know, initially the ire of our members rose and subsequently er the place just ground to a halt and there was a meeting and therefore we put the point to the management that er if they didn't really in a reasonable manner, then we were going.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	INTJ CCONJ ADV ADV PRON VERB ADP DET NOUN NOUN VERB VERB CCONJ ADV PRON VERB VERB INTJ VERB PRON VERB ADV DET NOUN ADP ADJ NOUN VERB CCONJ ADV INTJ DET NOUN ADV VERB ADP DET NOUN CCONJ ADV VERB DET NOUN CCONJ ADV PRON VERB DET NOUN ADP DET NOUN ADJ INTJ ADP PRON VERB ADV ADP DET ADJ NOUN ADV PRON VERB VERB	▁Er ▁and ▁therefore ▁when ▁it ▁got ▁round ▁the ▁workshop ▁what ▁had ▁happened ▁and ▁why ▁he ▁had ▁been ▁er ▁suspended ▁you ▁know , ▁initially ▁the ▁ ire ▁of ▁our ▁members ▁rose ▁and ▁subsequently ▁er ▁the ▁place ▁just ▁ground ▁to ▁a ▁halt ▁and ▁there ▁was ▁a ▁meeting ▁and ▁therefore ▁we ▁put ▁the ▁point ▁to ▁the ▁management ▁that ▁er ▁if ▁they ▁did n ' t ▁really ▁in ▁a ▁reasonable ▁manner , ▁then ▁we ▁were ▁going .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ CCONJ ADV ADV PRON VERB ADP DET NOUN NOUN VERB VERB CCONJ ADV PRON VERB VERB INTJ VERB PRON VERB VERB ADV DET NOUN NOUN ADP ADJ NOUN VERB CCONJ ADV INTJ DET NOUN ADV VERB ADP DET NOUN CCONJ ADV VERB DET NOUN CCONJ ADV PRON VERB DET NOUN ADP DET NOUN ADJ INTJ ADP PRON VERB VERB VERB VERB ADV ADP DET ADJ NOUN NOUN ADV PRON VERB VERB VERB
At last the mechanism ground to a halt.	0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADP ADJ DET NOUN NOUN ADP DET NOUN	▁At ▁last ▁the ▁mechanism ▁ground ▁to ▁a ▁halt .	0 0 0 0 1 1 0 1 1	ADP ADJ DET NOUN NOUN ADP DET NOUN NOUN
He roared up beside her and ground to a halt, the silence after the noise of the engine actually quite frightening, and he was out of the Land Rover and towering above her before she could even open her mouth.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PRON VERB PART ADP PRON CCONJ NOUN ADP DET NOUN DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV ADJ CCONJ PRON VERB ADP ADP DET PROPN PROPN CCONJ VERB ADP PRON ADP PRON VERB ADV VERB ADJ NOUN	▁He ▁ro ar ed ▁up ▁be side ▁her ▁and ▁ground ▁to ▁a ▁halt , ▁the ▁silence ▁after ▁the ▁noise ▁of ▁the ▁engine ▁actually ▁quite ▁f right ening , ▁and ▁he ▁was ▁out ▁of ▁the ▁Land ▁R over ▁and ▁to wer ing ▁above ▁her ▁before ▁she ▁could ▁even ▁open ▁her ▁mouth .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART ADP ADP PRON CCONJ NOUN ADP DET NOUN NOUN DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV ADJ ADJ ADJ ADJ CCONJ PRON VERB ADP ADP DET PROPN PROPN PROPN CCONJ VERB VERB VERB ADP PRON ADP PRON VERB ADV VERB ADJ NOUN NOUN
Bill, could I come back to a quotation by another former Tory Prime Minister in the nineteen sixties, erm they were ragging old Douglas Hume unmercifully, the Labour Party did, when he was made Prime Minister, and, you know, erm all's fair in politics, and Harold Wilson, I think, made the comment that the democracy of this country had ground to a halt with the appointment of the fourteenth earl, and Douglas Hume, in his sort of very self - deprecating way and his very modest way, says ‘ well, you know, I suppose if one were to ask, he's probably the fourteenth Mr Wilson’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PROPN VERB PRON VERB ADV ADP DET NOUN ADP DET ADJ PROPN PROPN PROPN ADP DET NUM NOUN NOUN PRON VERB VERB ADJ PROPN PROPN ADV DET PROPN PROPN VERB ADV PRON VERB VERB PROPN PROPN CCONJ PRON VERB INTJ DET ADJ ADP NOUN CCONJ PROPN PROPN PRON VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ PROPN PROPN ADP ADJ NOUN ADP ADV NOUN PUNCT VERB NOUN CCONJ ADJ ADV ADJ NOUN VERB PRON ADV PRON VERB PRON VERB ADP NUM VERB PART VERB PRON ADV DET ADJ PROPN PROPN	▁Bill , ▁could ▁I ▁come ▁back ▁to ▁a ▁quotation ▁by ▁another ▁former ▁To ry ▁Prime ▁Minister ▁in ▁the ▁nine te en ▁six ties , ▁er m ▁they ▁were ▁r agging ▁old ▁Douglas ▁Hume ▁un mer ci fully , ▁the ▁Labour ▁Party ▁did , ▁when ▁he ▁was ▁made ▁Prime ▁Minister , ▁and , ▁you ▁know , ▁er m ▁all ' s ▁fair ▁in ▁politics , ▁and ▁Har old ▁Wilson , ▁I ▁think , ▁made ▁the ▁comment ▁that ▁the ▁democracy ▁of ▁this ▁country ▁had ▁ground ▁to ▁a ▁halt ▁with ▁the ▁appointment ▁of ▁the ▁fourteen th ▁ear l , ▁and ▁Douglas ▁Hume , ▁in ▁his ▁sort ▁of ▁very ▁self ▁- ▁de pre c ating ▁way ▁and ▁his ▁very ▁modest ▁way , ▁says ▁ ‘ ▁well , ▁you ▁know , ▁I ▁suppose ▁if ▁one ▁were ▁to ▁ask , ▁he ' s ▁probably ▁the ▁fourteen th ▁Mr ▁Wilson ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB PRON VERB ADV ADP DET NOUN ADP DET ADJ PROPN PROPN PROPN PROPN ADP DET NUM NUM NUM NOUN NOUN NOUN NOUN NOUN PRON VERB VERB VERB ADJ PROPN PROPN ADV ADV ADV ADV ADV DET PROPN PROPN VERB VERB ADV PRON VERB VERB PROPN PROPN PROPN CCONJ CCONJ PRON VERB VERB INTJ INTJ DET DET DET ADJ ADP NOUN NOUN CCONJ PROPN PROPN PROPN PROPN PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PROPN ADP ADJ NOUN ADP ADV NOUN PUNCT VERB VERB VERB VERB NOUN CCONJ ADJ ADV ADJ NOUN NOUN VERB PRON PRON ADV ADV PRON VERB VERB PRON VERB ADP NUM VERB PART VERB VERB PRON PRON PRON ADV DET ADJ ADJ PROPN PROPN PROPN PROPN
France ’s current - account deficit has risen to more than 2 % of GDP, even as its economic growth has ground to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PROPN PART ADJ PUNCT NOUN NOUN VERB VERB ADP ADJ ADP NUM NOUN ADP NOUN ADV ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN	▁France ▁ ’ s ▁current ▁- ▁account ▁deficit ▁has ▁risen ▁to ▁more ▁than ▁2 ▁% ▁of ▁GDP , ▁even ▁as ▁its ▁economic ▁growth ▁has ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PROPN PART PART PART ADJ PUNCT NOUN NOUN VERB VERB ADP ADJ ADP NUM NOUN ADP NOUN NOUN ADV ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN NOUN
Mr Shevardnadze chose the moment of his return well, arriving at Georgia's darkest hour : the whole country periodically blacked out by power cuts, hot water and central heating a dim memory, public transport ground to a halt, and even bread rarely to be seen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	PROPN PROPN VERB DET NOUN ADP ADJ NOUN ADV VERB ADP PROPN ADJ NOUN PUNCT DET ADJ NOUN ADV VERB PART ADP NOUN NOUN ADJ NOUN CCONJ ADJ NOUN DET ADJ NOUN ADJ NOUN NOUN ADP DET NOUN CCONJ ADV NOUN ADV PART VERB VERB	▁Mr ▁She var d na d ze ▁chose ▁the ▁moment ▁of ▁his ▁return ▁well , ▁arriving ▁at ▁Georgia ' s ▁dark est ▁hour ▁ : ▁the ▁whole ▁country ▁periodically ▁black ed ▁out ▁by ▁power ▁cuts , ▁hot ▁water ▁and ▁central ▁heating ▁a ▁di m ▁memory , ▁public ▁transport ▁ground ▁to ▁a ▁halt , ▁and ▁even ▁bread ▁rarely ▁to ▁be ▁seen .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN ADV ADV VERB ADP PROPN PROPN PROPN ADJ ADJ NOUN PUNCT PUNCT DET ADJ NOUN ADV VERB VERB PART ADP NOUN NOUN NOUN ADJ NOUN CCONJ ADJ NOUN DET ADJ ADJ NOUN NOUN ADJ NOUN NOUN ADP DET NOUN NOUN CCONJ ADV NOUN ADV PART VERB VERB VERB
