Money changes hands and everyone is delighted.’	0 1 1 0 0 0 0	change hands	figurative	inflection	NOUN VERB NOUN CCONJ NOUN VERB NOUN
The piece of paper changed hands softly.	0 0 0 0 1 1 0	change hands	figurative	inflection	DET NOUN ADP NOUN VERB NOUN ADV
Although these were originally marketed specifically as facsimiles, few collectors have ever seen an original ‘ Sun’, and they have since tended to change hands as if they were genuine ( 42 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADP DET VERB ADV VERB ADV ADP NOUN ADJ NOUN VERB ADV VERB DET ADJ NUM NOUN CCONJ PRON VERB ADP VERB PART VERB NOUN ADP ADP PRON VERB ADJ PUNCT NUM PUNCT
Restrop has since changed hands.	0 0 0 1 1	change hands	figurative	inflection	PROPN VERB ADP VERB NOUN
It may have changed hands as often as eight times in a period of twenty years.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON VERB VERB VERB NOUN ADV ADV ADP NUM NOUN ADP DET NOUN ADP NUM NOUN
During that decade only 1 in 7 farms had changed hands and only 1 in 4 cottages.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	ADP DET NOUN ADV NUM ADP NUM NOUN VERB VERB NOUN CCONJ ADV NUM ADP NUM NOUN
Much of the evening was taken up with reminiscences, talk of Edna's family — particularly her fisherman brother, Bert — and the fact that Four Winds had changed hands four times in as many years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	ADJ ADP DET NOUN VERB VERB PART ADP NOUN NOUN ADP PROPN NOUN PUNCT ADV ADJ NOUN NOUN PROPN PUNCT CCONJ DET NOUN ADP NUM PROPN VERB VERB NOUN NUM NOUN ADP ADV ADJ NOUN
Changing hands in Valbonne	1 1 0 0	change hands	figurative	combined-inflection	VERB NOUN ADP PROPN
Kossoff's work continues to decline in value : having previously changed hands in the London trade for around £ 20,000, the beautiful ‘ Pauline II’ coloured chalk and charcoal ( lot 22 ) was bought for a bargain £ 3,200 ( $ 4,800 ) by another London dealer.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PROPN NOUN VERB PART VERB ADP NOUN PUNCT VERB ADV VERB NOUN ADP DET PROPN NOUN ADP ADV SYM NUM DET ADJ PUNCT PROPN NOUN VERB NOUN CCONJ NOUN PUNCT NOUN NUM PUNCT VERB VERB ADP DET NOUN SYM NUM PUNCT SYM NUM PUNCT ADP DET PROPN NOUN
The stock market showed little response and the FT - SE 100-Share Index ended a relatively quiet session 1.7 points lower at 2,838.3, with just over 550 million shares changing hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	DET NOUN NOUN VERB ADJ NOUN CCONJ DET PROPN PUNCT PROPN NUM PROPN VERB DET ADV ADJ NOUN NUM NOUN ADJ ADP NUM ADP ADV ADP NUM NUM NOUN VERB NOUN
On the same day investors in the somewhat better known Gartmore heard that their fund management group was to be the latest to change hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	identical	ADP DET ADJ NOUN NOUN ADP DET ADV ADV VERB PROPN VERB ADP ADJ NOUN NOUN NOUN VERB PART VERB DET ADJ PART VERB NOUN
Quite often a slave would change hands for an amphora of wine, so keen was their taste for strong beverages.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADV ADV DET NOUN VERB VERB NOUN ADP DET NOUN ADP NOUN ADV ADJ VERB ADJ NOUN ADP ADJ NOUN
As an aged horse he changed hands a number of times.	0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	ADP DET ADJ NOUN PRON VERB NOUN DET NOUN ADP NOUN
On a quiet day, with few shares changing hands, the German central bank's anticipated change in interest rates was expected to make an impression on the FTSE.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADP DET ADJ NOUN ADP ADJ NOUN VERB NOUN DET ADJ ADJ NOUN VERB NOUN ADP NOUN NOUN VERB VERB PART VERB DET NOUN ADP DET PROPN
Magazine changes hands	0 1 1	change hands	figurative	inflection	NOUN VERB NOUN
It must be, cos it's changed hands.	0 0 0 0 0 1 1	change hands	figurative	inflection	PRON VERB VERB ADP PRON VERB NOUN
The land on the outskirts of Portadown changed hands this week at £ 125,000 an acre, compared with the £ 250 an acre given to local farmers who did not want to sell.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN ADP DET NOUN ADP PROPN VERB NOUN DET NOUN ADP SYM NUM DET NOUN VERB ADP DET SYM NUM DET NOUN VERB ADP ADJ NOUN NOUN VERB ADV VERB PART VERB
The result was a system in which the government never changed hands, but instead was carried out by those who could be trusted to look after the affairs of state.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB DET NOUN ADP ADJ DET NOUN ADV VERB NOUN CCONJ ADV VERB VERB PART ADP DET NOUN VERB VERB VERB PART VERB ADP DET NOUN ADP NOUN
© Geoffrey Beattie Richard Holmes, sales and marketing officer at the YMCA, watches the Sheffield Development Corporation change hands. PHOTOGRAPHS : GEOFFREY BEATTIE Jimmy Boyce : tie askew	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	PROPN PROPN PROPN PROPN PROPN NOUN CCONJ NOUN NOUN ADP DET PROPN VERB DET PROPN PROPN PROPN VERB NOUN NOUN PUNCT PROPN PROPN PROPN PROPN PUNCT VERB ADV
Like tacking a manoeuvre consists of a series of related movements, change hands, push, change sides and straighten up again but the difference is in the tiller movement where you move the tiller towards where you were sitting, so let's watch that again, change hands, push the tiller to where you were sitting, watch the boom, as it swings across, straighten up the tiller and settle on the new side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	literal	identical	ADP VERB DET NOUN VERB ADP DET NOUN ADP ADJ NOUN VERB NOUN VERB VERB NOUN CCONJ VERB PART ADV CCONJ DET NOUN VERB ADP DET NOUN NOUN ADV PRON VERB DET NOUN ADP ADV PRON VERB VERB ADV VERB VERB ADP ADV VERB NOUN VERB DET NOUN ADP ADV PRON VERB VERB VERB DET NOUN ADP PRON VERB ADP VERB PART DET NOUN CCONJ VERB ADP DET ADJ NOUN
Once more the Bois des Corbeaux changed hands, but German losses were so high ( one Silesian battalion was reduced to 300 men ) that they could advance no further.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV ADJ DET PROPN PROPN PROPN VERB NOUN CCONJ ADJ NOUN VERB ADV ADJ PUNCT NUM ADJ NOUN VERB VERB ADP NUM NOUN PUNCT ADP PRON VERB VERB DET ADV
In 1986, about 1.78million properties worth £ 73billion changed hands.	0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADP NUM ADP NUM NOUN ADJ SYM NUM VERB NOUN
Rumours that the Willis stake was about to change hands ahead of a bid have fuelled the progress.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	PROPN ADP DET PROPN NOUN VERB ADJ PART VERB NOUN ADV ADP DET NOUN VERB VERB DET NOUN
We dog - legged out to Pigeon Point Fort, which had defended the island rather unsuccessfully in years gone by : it changed hands 20 times, mainly between Britain and France.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON NOUN PUNCT ADJ PART ADP PROPN PROPN PROPN ADJ VERB VERB DET NOUN ADV ADV ADP NOUN VERB ADV PUNCT PRON VERB NOUN NUM NOUN ADV ADP PROPN CCONJ PROPN
No money changes hands here.	0 0 1 1 0	change hands	figurative	inflection	DET NOUN VERB NOUN ADV
HEAVY US buying sent telecommunications giant Cable & Wireless zooming ahead 20p to 667p after 2.4 m shares changed hands in late trading yesterday.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	ADJ PROPN VERB VERB NOUN NOUN PROPN CCONJ PROPN NOUN ADV NUM ADP NUM ADP NUM NOUN NOUN VERB NOUN ADP ADJ NOUN NOUN
It has changed hands again recently and has received a new facade.	0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON VERB VERB NOUN ADV ADV CCONJ VERB VERB DET ADJ NOUN
Ransom strips are so called because they change hands at high values, often up to one third of the total site value.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	NOUN NOUN VERB ADV VERB ADP PRON VERB NOUN ADP ADJ NOUN ADV ADP ADP NUM NOUN ADP DET ADJ NOUN NOUN
What happens is that possession is changing hands more often.	0 0 0 0 0 0 1 1 0 0	change hands	figurative	inflection	NOUN VERB VERB ADP NOUN VERB VERB NOUN ADV ADV
The mill changed hands several times.	0 0 1 1 0 0	change hands	figurative	inflection	DET NOUN VERB NOUN ADJ NOUN
There is no agreed tariff, but money most certainly changes hands.	0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADV VERB DET VERB NOUN CCONJ NOUN ADV ADV VERB NOUN
One clue is high trading volume : around 1 % of a firm's equity changed hands on an average inside - dealing day, compared with a more typical 0.2 %.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	NUM NOUN VERB ADJ NOUN NOUN PUNCT ADP NUM NOUN ADP DET NOUN NOUN VERB NOUN ADP DET ADJ ADP PUNCT VERB NOUN VERB ADP DET ADV ADJ NUM NOUN
The index closed 10.2 down on the day at 2,879.7, with 705 million shares changing hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	DET NOUN VERB NUM ADV ADP DET NOUN ADP NUM ADP NUM NUM NOUN VERB NOUN
Hectic return as 15 % of Ferranti changes hands	0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADJ NOUN ADP NUM NOUN ADP PROPN VERB NOUN
D. There will be tax consequences when shares change hands on introduction of new members, death and retirement.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	PROPN ADV VERB VERB NOUN NOUN ADV NOUN VERB NOUN ADP NOUN ADP ADJ NOUN NOUN CCONJ NOUN
Paintings and old prints of Madeira are always sought after and sometimes change hands for high prices.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	change hands	figurative	identical	NOUN CCONJ ADJ NOUN ADP PROPN VERB ADV VERB ADV CCONJ ADV VERB NOUN ADP ADJ NOUN
They established that 6 copyholds changed hands a total of 36 times and 21 freeholds changed ownership a total of 118 times.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON VERB ADP NUM NOUN VERB NOUN DET NOUN ADP NUM NOUN CCONJ NUM NOUN VERB NOUN DET NOUN ADP NUM NOUN
In Bombay alone, it is estimated that up to $ 10 million a year may change hands as agents like Selvam match up impoverished donors, willing to exchange a kidney for cash, with wealthy patients who can not obtain one by any other means.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADP PROPN ADV PRON VERB VERB ADP ADP PART SYM NUM NUM DET NOUN VERB VERB NOUN ADP NOUN ADP PROPN VERB PART ADJ NOUN ADJ PART VERB DET NOUN ADP NOUN ADP ADJ NOUN NOUN VERB ADV VERB NUM ADP DET ADJ NOUN
It was unclear if or when any money or gold would actually change hands following the formal resolution of this long - standing dispute [ see also pp. 37746 ; 38303 ].	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	literal	identical	PRON VERB ADJ ADP CCONJ ADV DET NOUN CCONJ NOUN VERB ADV VERB NOUN VERB DET ADJ NOUN ADP DET ADV PUNCT VERB NOUN PUNCT VERB ADV ADJ NUM PUNCT NUM PUNCT
Two - thirds of AMI Healthcare was put up for auction this week after the company's Los Angeles parent changed hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	NUM PUNCT NOUN ADP PROPN PROPN VERB VERB PART ADP NOUN DET NOUN ADP DET NOUN PROPN PROPN NOUN VERB NOUN
Both parties to the agreement know how much money will change hands at the agreed date in the future.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	identical	DET NOUN ADP DET NOUN VERB ADV ADJ NOUN VERB VERB NOUN ADP DET VERB NOUN ADP DET NOUN
Smaller, but equally welcome amounts of money have changed hands for pieces of driftwood and other finds worked on by artists and later sold to tourists.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADJ CCONJ ADV VERB NOUN ADP NOUN VERB VERB NOUN ADP NOUN ADP NOUN CCONJ ADJ NOUN VERB PART ADP NOUN CCONJ ADV VERB ADP NOUN
Athelstan saw money change hands and Cranston came back with a thick broomstick.	0 0 0 1 1 0 0 0 0 0 0 0 0	change hands	figurative	identical	PROPN VERB NOUN VERB NOUN CCONJ PROPN VERB ADV ADP DET ADJ NOUN
Several times the village actually changed hands.	0 0 0 0 0 1 1	change hands	figurative	inflection	ADJ NOUN DET NOUN ADV VERB NOUN
Whether his successor took over smoothly would depend on the issues discussed above in relation to the Leadership changing hands in a hypothetical House of Commons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	ADP ADJ NOUN VERB PART ADV VERB VERB ADP DET NOUN VERB ADV ADP NOUN ADP DET PROPN VERB NOUN ADP DET ADJ PROPN ADP PROPN
Money changed hands.	0 1 1	change hands	figurative	inflection	NOUN VERB NOUN
Pye's own estate lay in disputed territory which changed hands at least twice.	0 0 0 0 0 0 0 0 1 1 0 0 0	change hands	figurative	inflection	PROPN ADJ NOUN VERB ADP VERB NOUN ADJ VERB NOUN ADV ADV ADV
Trading in the company's shares was hectic and the 3.5 million Saatchi shares that changed hands by closing time is too high for a simple ramp.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	VERB ADP DET NOUN NOUN VERB ADJ CCONJ DET NUM NUM PROPN NOUN ADJ VERB NOUN ADP VERB NOUN VERB ADV ADJ ADP DET ADJ NOUN
When territory changed hands, therefore, existing privileges and immunities were very often explicitly confirmed by the ruler under whose sway they had now fallen.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV NOUN VERB NOUN ADV VERB NOUN CCONJ NOUN VERB ADV ADV ADV VERB ADP DET NOUN ADP ADJ NOUN PRON VERB ADV VERB
Money changed hands, flickering from one to another with almost invisible speed.	0 1 1 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	NOUN VERB NOUN VERB ADP NUM ADP DET ADP ADV ADJ NOUN
This led to a circuitous discussion with Paul Lexington about whether it was sound equipment or not, which was only settled after much wrangling ( and, almost definitely, money changing hands ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	change hands	figurative	inflection	DET VERB ADP DET ADJ NOUN ADP PROPN PROPN ADP ADP PRON VERB ADJ NOUN CCONJ ADV ADJ VERB ADV VERB ADP ADJ NOUN PUNCT CCONJ ADV ADV NOUN VERB NOUN PUNCT
Over the last few years the house has changed hands many times.	0 0 0 0 0 0 0 0 1 1 0 0	change hands	figurative	inflection	ADP DET ADJ ADJ NOUN DET NOUN VERB VERB NOUN ADJ NOUN
This strong territorial element meant that when a major estate changed hands, whether by inheritance or forfeiture, the affinity of the previous owner would tend to turn to his successor for lordship.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	DET ADJ ADJ NOUN VERB ADP ADV DET ADJ NOUN VERB NOUN ADP ADP NOUN CCONJ NOUN DET NOUN ADP DET ADJ NOUN VERB VERB PART VERB ADP ADJ NOUN ADP NOUN
Major works by Anselm Kiefer previously thought to be in Saatchi's possession were, it was said, changing hands for prices in excess of $ 1 m ; Saatchi was rumoured to be selling equally major pictures from his unrivalled holdings of works by Georg Baselitz, Francesco Clemente, Julian Schnabel and others.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADJ VERB ADP PROPN PROPN ADV VERB PART VERB ADP PROPN NOUN VERB PRON VERB VERB VERB NOUN ADP NOUN ADP NOUN ADP SYM NUM NOUN PUNCT PROPN VERB VERB PART VERB VERB ADV ADJ NOUN ADP ADJ ADJ NOUN ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ NOUN
Rouble weaker : The battered rouble inched back down to another record low on Moscow's tiny Interbank Currency Exchange today, changing hands at 399 to the dollar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	change hands	figurative	inflection	ADJ ADJ PUNCT DET VERB ADJ VERB ADV ADV ADP DET NOUN NOUN ADP PROPN ADJ PROPN PROPN PROPN NOUN VERB NOUN ADP NUM ADP DET NOUN
In the former case there were no restrictions and thus land changed hands at the full market price.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	change hands	figurative	inflection	ADP DET ADJ NOUN ADV VERB DET NOUN CCONJ ADV NOUN VERB NOUN ADP DET ADJ NOUN NOUN
I bu but no money changed hands.	0 0 0 0 0 1 1	change hands	figurative	inflection	PRON VERB CCONJ DET NOUN VERB NOUN
Instead of being made redundant when the ownership of your employer changes hands, you are nowadays automatically transferred to work for the purchaser.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV ADP VERB VERB ADJ ADV DET NOUN ADP ADJ NOUN VERB NOUN PRON VERB ADV ADV VERB PART VERB ADP DET NOUN
Each pound changes hands on average 3 times per year.	0 0 1 1 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB NOUN ADP ADJ NUM NOUN ADP NOUN
However, trading was strong with eight hundred and nineteen million shares changing hands today, and the profit taking was again the order of the day, with the close of the Footsie one hundred Index down sixty seven point five at two one three four point one.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	ADV NOUN VERB ADJ ADP NUM NUM CCONJ NUM NUM NOUN VERB NOUN NOUN CCONJ DET NOUN NOUN VERB ADV DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN NUM NUM PROPN ADP NUM NUM NOUN NUM ADP NUM NUM NUM NUM NOUN NUM
Currently the United States does not have a droit de suite, a law that mandates that artists receive a percentage of the price of a work each time it changes hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	ADV DET PROPN PROPN VERB ADV VERB DET NOUN X NOUN DET NOUN ADJ VERB ADJ NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN DET NOUN PRON VERB NOUN
‘ Money never changes hands.	0 0 0 1 1	change hands	figurative	inflection	PUNCT NOUN ADV VERB NOUN
The Cameron Toll centre, which attracts 200,000 shoppers per week, is expected to change hands for more than £ 30 million.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	change hands	figurative	identical	DET PROPN PROPN NOUN ADJ VERB NUM NOUN ADP NOUN VERB VERB PART VERB NOUN ADP ADJ ADP SYM NUM NUM
But at the last moment, the Bahamian government agreed ( there were rumours that a good deal of money changed hands ), and a new flight plan was drawn up for Hassan's 747.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	CCONJ ADP DET ADJ NOUN DET ADJ NOUN VERB PUNCT ADV VERB NOUN ADP DET ADJ NOUN ADP NOUN VERB NOUN PUNCT CCONJ DET ADJ NOUN NOUN VERB VERB PART ADP PROPN NUM
Accordingly, most of these companies will change hands by way of private contract between the shareholders and the buyer.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	change hands	figurative	identical	ADV ADJ ADP DET NOUN VERB VERB NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN CCONJ DET NOUN
Other classy convertibles come from Mercedes - Benz, Porsche and Aston Martin, whose Volante, listed at £ 120,000, is said to be changing hands at over £ 200,000.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	change hands	figurative	inflection	ADJ ADJ NOUN VERB ADP PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN ADJ PROPN VERB ADP SYM NUM VERB VERB PART VERB VERB NOUN ADP ADP SYM NUM
It gained 14 points in early trading but was down almost 25 points before rallying in the last hour to close 20.3 lower at 2,818.0, with just under 600 million shares changing hands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	change hands	figurative	inflection	PRON VERB NUM NOUN ADP ADJ NOUN CCONJ VERB ADV ADV NUM NOUN ADP VERB ADP DET ADJ NOUN PART VERB NUM ADJ ADP NUM ADP ADV ADP NUM NUM NOUN VERB NOUN
The house has changed hands many times over the last fifty years.	0 0 0 1 1 0 0 0 0 0 0 0	change hands	figurative	inflection	DET NOUN VERB VERB NOUN ADJ NOUN ADP DET ADJ NUM NOUN
It finally became apparent on 1 October when the day - to day control of Hampton Court and the other Historic Royal Palaces changed hands, from the civil servants to a group of commercial managers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	change hands	figurative	inflection	PRON ADV VERB ADJ ADP NUM PROPN ADV DET NOUN PUNCT ADP NOUN NOUN ADP PROPN PROPN CCONJ DET ADJ PROPN PROPN PROPN VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN
As long as the ticket is valid, no money or tickets change hands, motorists pay automatically.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	change hands	figurative	identical	ADV ADV ADP DET NOUN VERB ADJ DET NOUN CCONJ NOUN VERB NOUN NOUN VERB ADV
