' Best check at the next crossroads.	0 0 0 1 0 0 1	at the crossroads	literal	insertion-other	PUNCT ADJ NOUN ADP DET ADJ NOUN
OBVERSE : View of Victoria ( capital of Mahe ) with miniature Big Ben lookalike clock at crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	at the crossroads	literal	deletion-determiner	ADJ PUNCT PROPN ADP PROPN PUNCT NOUN ADP PROPN PUNCT ADP ADJ PROPN PROPN ADJ NOUN ADP NOUN
The most prolific refining and distribution areas is Ribat, which lies at the crossroads of three countries — Afghanistan, Pakistan and Iran.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	DET ADV ADJ NOUN CCONJ NOUN NOUN VERB PROPN ADJ VERB ADP DET NOUN ADP NUM NOUN PUNCT PROPN PROPN CCONJ PROPN
From the Prince's headquarters a road ran eastwards through Nivelles to meet the Charleroi highway at an unnamed crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	at the crossroads	literal	combined-other	ADP DET PROPN NOUN DET NOUN VERB NOUN ADP NOUN PART VERB DET PROPN NOUN ADP DET ADJ NOUN
This century alone, Berlin has had an extraordinary history — a natural, social, cultural and political centre, because of its location at the crossroads of east and west Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	at the crossroads	literal	identical	DET NOUN ADV PROPN VERB VERB DET ADJ NOUN PUNCT DET ADJ ADJ ADJ CCONJ ADJ NOUN ADP ADP ADJ NOUN ADP DET NOUN ADP NOUN CCONJ PROPN PROPN
At the crossroads to the south of Norwood we parted company.	1 0 1 0 0 0 0 0 0 0 0	at the crossroads	literal	case	ADP DET NOUN ADP DET NOUN ADP PROPN PRON VERB NOUN
The accident happened at the Peppermoor crossroads on the Alnwick to Longhoughton Road.	0 0 0 1 0 0 1 0 0 0 0 0 0	at the crossroads	literal	insertion-other	DET NOUN VERB ADP DET PROPN NOUN ADP DET PROPN ADP PROPN PROPN
Eisler says we are now at a crossroads.	0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	PROPN VERB PRON VERB ADV ADP DET NOUN
It is founded on the premise that"agriculture is at a crossroads.	0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	PRON VERB VERB ADP DET NOUN NOUN VERB ADP DET NOUN
Yes, I just saw you at the crossroads you see	0 0 0 0 0 1 0 1 0 0	at the crossroads	literal	identical	INTJ PRON ADV VERB PRON ADP DET NOUN PRON VERB
As the evening progressed she knew she was at a crossroads.	0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	ADP DET NOUN VERB PRON VERB PRON VERB ADP DET NOUN
Credit marketing at the crossroads	0 0 1 0 1	at the crossroads	figurative	identical	NOUN NOUN ADP DET NOUN
PARIS – France is at a crossroads.	0 0 0 0 1 0 1	at the crossroads	figurative	inflection	PROPN PUNCT PROPN VERB ADP DET NOUN
Even the scaffold and gibbets at the crossroads were empty ; indeed, I even saw two festooned with garlands.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	ADV DET ADJ CCONJ NOUN ADP DET NOUN VERB ADJ PUNCT ADV PRON ADV VERB NUM VERB ADP NOUN
He lunched with the Prince of Orange's staff in the remains of an orchard behind the farm at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	literal	identical	PRON VERB ADP DET PROPN ADP PROPN NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
At the crossroads they glimpsed a group of villagers huddled round the blackened scaffold.	1 0 1 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	case	ADP DET NOUN PRON VERB DET NOUN ADP NOUN VERB ADV DET VERB NOUN
But said the country was at a crossroads.	0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	CCONJ VERB DET NOUN VERB ADP DET NOUN
NEW ~ YORK – The global economy is at a crossroads as the major emerging markets ( and developing countries more broadly ) become systemically important, both for macroeconomic and financial stability and in their impact on other economies, including the advanced countries.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	ADJ PUNCT PROPN PUNCT DET ADJ NOUN VERB ADP DET NOUN ADP DET ADJ ADJ NOUN PUNCT CCONJ VERB NOUN ADV ADV PUNCT VERB ADV ADJ DET ADP ADJ CCONJ ADJ NOUN CCONJ ADP ADJ NOUN ADP ADJ NOUN VERB DET ADJ NOUN
' Perhaps it's better not to have any in the first place, ' Merrill remarked idly, braking at a crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	literal	inflection	PUNCT ADV PRON ADJ ADV PART VERB DET ADP DET ADJ NOUN PUNCT NOUN VERB ADV VERB ADP DET NOUN
But the agency is at a crossroads.	0 0 0 0 1 0 1	at the crossroads	figurative	inflection	CCONJ DET NOUN VERB ADP DET NOUN
The city's central positioning — midway between Edinburgh and London — placed Leeds in the heart of the country, and at the crossroads of the North / South M1 route and the East / West M621.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	DET NOUN ADJ NOUN PUNCT NOUN ADP PROPN CCONJ PROPN PUNCT VERB NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET PROPN SYM PROPN PROPN NOUN CCONJ DET PROPN SYM PROPN NOUN
I have always been particularly grateful to Fred for this generous and helpful boost when I was at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	identical	PRON VERB ADV VERB ADV ADJ ADP PROPN ADP DET ADJ CCONJ ADJ NOUN ADV PRON VERB ADP DET NOUN
At the crossroads outside the village a row of clay effigies had been placed by those who 'd been bitten.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	case	ADP DET NOUN ADP DET NOUN DET NOUN ADP NOUN NOUN VERB VERB VERB ADP DET NOUN VERB VERB VERB
Position on main rather than on secondary rail routes and especially at crossroads in the network ( nodal points ) was an important factor for growth.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	deletion-determiner	NOUN ADP ADJ ADV ADP ADP ADJ NOUN NOUN CCONJ ADV ADP NOUN ADP DET NOUN PUNCT ADJ NOUN PUNCT VERB DET ADJ NOUN ADP NOUN
NEW ~ YORK – The world is at a crossroads.	0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	ADJ PUNCT NOUN PUNCT DET NOUN VERB ADP DET NOUN
When I 'm at a crossroads, if I find myself going back to the same place I had a happy encounter, I deliberately go the other way, so I don't become a slave to habit.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	inflection	ADV PRON VERB ADP DET NOUN ADP PRON VERB PRON VERB ADV ADP DET ADJ NOUN PRON VERB DET ADJ NOUN PRON ADV VERB DET ADJ NOUN CCONJ PRON VERB VERB DET NOUN PART VERB
Go straight across at the first crossroads.	0 0 0 1 0 0 1	at the crossroads	literal	insertion-other	VERB ADV ADV ADP DET ADJ NOUN
The four ringleaders were sentenced to death on the gibbet and their bodies were hung in chains at various crossroads on the moor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	at the crossroads	literal	determiner-broad	DET NUM NOUN VERB VERB ADP NOUN ADP DET NOUN CCONJ ADJ NOUN VERB VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN
The UK economy at a crossroads	0 0 0 1 0 1	at the crossroads	figurative	inflection	DET PROPN NOUN ADP DET NOUN
But Thorfinn will be at a crossroads he can not leave without help. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	CCONJ PROPN VERB VERB ADP DET NOUN PRON VERB ADV VERB ADP NOUN PUNCT
Now it is at a crossroads.	0 0 0 1 0 1	at the crossroads	figurative	inflection	ADV PRON VERB ADP DET NOUN
SHANGHAI – China's economy is at a crossroads.	0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	PROPN PUNCT PROPN NOUN VERB ADP DET NOUN
