Can you see items on your shelves or in your cabinets which you have not used for at least a year?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB PRON VERB NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADJ PRON VERB ADV VERB ADP ADV ADV DET NOUN
On the shelves would be row upon row of glass bottles, full of gaily - coloured sweets : winter mixture, bull's - eyes, barley sugar sticks, lollipops and many kinds of toffees.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADP DET NOUN VERB VERB NOUN ADP NOUN ADP NOUN NOUN ADJ ADP ADV PUNCT VERB NOUN PUNCT NOUN NOUN NOUN PUNCT NOUN NOUN NOUN NOUN NOUN CCONJ ADJ NOUN ADP NOUN
to walk round the bread shelves twice and they were right on the bottom shelf when I eventually tracked them down and they had the hot cross buns on the shelves.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	insertion-other	PART VERB ADP DET NOUN NOUN ADV CCONJ PRON VERB ADJ ADP DET NOUN NOUN ADV PRON ADV VERB PRON PART CCONJ PRON VERB DET ADJ NOUN NOUN ADP DET NOUN
The whiskey glass from which King Brian drank is given pride of place as a hallowed relic on the top shelf of The Rathcullen Arms, destined to be the basis of many a tall tale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	insertion-other	DET NOUN NOUN ADP ADJ PROPN PROPN VERB VERB VERB NOUN ADP NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN VERB PART VERB DET NOUN ADP ADJ DET ADJ NOUN
Put your toys back into the box and then put the box on the shelf.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	identical	VERB ADJ NOUN ADV ADP DET NOUN CCONJ ADV VERB DET NOUN ADP DET NOUN
In the week or so since he 'd returned to his studio it had once again become a place of work : the air pungent with the smell of paint and turpentine, the burned - down butts of cigarettes left on every available shelf and plate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	on the shelf	literal	combined-other	ADP DET NOUN CCONJ ADV ADP PRON VERB VERB ADP ADJ NOUN PRON VERB ADV ADV VERB DET NOUN ADP NOUN PUNCT DET NOUN ADJ ADP DET NOUN ADP NOUN CCONJ NOUN DET VERB PUNCT PART NOUN ADP NOUN VERB ADP DET ADJ NOUN CCONJ NOUN
There was sure to be a copy of Hamlet on the shelves.	0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	ADV VERB ADJ PART VERB DET NOUN ADP PROPN ADP DET NOUN
On a shelf in his study are two of his latest finds.	1 0 1 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	ADP DET NOUN ADP ADJ NOUN VERB NUM ADP ADJ ADJ NOUN
You 'll find them in tree holes, tin cans or even on shelves in garages.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	on the shelf	literal	combined-inflection	PRON VERB VERB PRON ADP NOUN NOUN NOUN NOUN CCONJ ADV ADP NOUN ADP NOUN
If he stood on the shelf above the door, he could probably — possibly — prise the catch further open and maybe squeeze in.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	ADP PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB ADV PUNCT ADV PUNCT VERB DET NOUN ADV ADJ CCONJ ADV VERB ADV
For the kitchen china, marked with a ' K ' to distinguish it from the nursery china marked with an ' N ', as well as the storage jars with printed names on the kitchen shelves, Doulton china was used because of its reputation for being hard - wearing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADP DET NOUN NOUN VERB ADP DET PUNCT NOUN PUNCT PART VERB PRON ADP DET NOUN NOUN VERB ADP DET PUNCT PROPN PUNCT ADV ADV ADP DET NOUN NOUN ADP VERB NOUN ADP DET NOUN NOUN PROPN NOUN VERB VERB ADP ADP ADJ NOUN ADP VERB ADV PUNCT VERB
He put the book back on the shelf and returned to the fire.	0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	identical	PRON VERB DET NOUN ADV ADP DET NOUN CCONJ VERB ADP DET NOUN
In the ' fridge store raw meat on the lowest shelf	0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	insertion-other	ADP DET PUNCT NOUN NOUN ADJ NOUN ADP DET ADJ NOUN
will readily leaf through the glossy magazines, but he always puts them back on the shelf and leaves empty - handed.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	identical	VERB ADV VERB ADP DET ADJ NOUN CCONJ PRON ADV VERB PRON ADV ADP DET NOUN CCONJ VERB ADJ PUNCT ADJ
Materials and equipment less frequently used or too heavy for pupils to handle easily should be stored on upper shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	combined-inflection	NOUN CCONJ NOUN ADV ADV VERB CCONJ ADV ADJ ADP NOUN PART VERB ADV VERB VERB VERB ADP ADJ NOUN
A great church, lofty and beautiful, was built on the shelf of rock ; a monastery of size and standing was set about it.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	DET ADJ NOUN ADJ CCONJ ADJ VERB VERB ADP DET NOUN ADP NOUN PUNCT DET NOUN ADP NOUN CCONJ NOUN VERB VERB ADP PRON
Generally, smaller companies have been quickest at churning out new lines ; one paint maker had pots of ‘ desert pink’ paint on the shelves within a week of the first television pictures showing pink - coloured tanks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	ADV ADJ NOUN VERB VERB ADJ ADP VERB PART ADJ NOUN PUNCT NUM NOUN NOUN VERB NOUN ADP PUNCT NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN VERB ADJ PUNCT VERB NOUN
Fibreglass pools are obviously entirely rigid and free - standing, and present no such difficulties during construction, but one must be very careful over the choice of design, for most are made by fibreglass manufacturers with little understanding of plant life and it is often the case that reeds, rushes and irises are expected to become established on a marginal shelf no more than 8 cm ( 3 in ) wide, while the deeper areas of the pool will not have a sufficiently flat floor to place a single waterlily basket.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	NOUN NOUN VERB ADV ADV ADJ CCONJ ADV PUNCT NOUN CCONJ ADJ DET ADJ NOUN ADP NOUN CCONJ PRON VERB VERB ADV ADJ ADP DET NOUN ADP NOUN ADP ADJ VERB VERB ADP NOUN NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ PRON VERB ADV DET NOUN ADP VERB VERB CCONJ NOUN VERB VERB PART VERB VERB ADP DET ADJ NOUN ADV ADJ ADP NUM NOUN PUNCT NUM ADP PUNCT ADV ADP DET ADJ NOUN ADP DET NOUN VERB ADV VERB DET ADV ADJ NOUN PART VERB DET ADJ ADJ NOUN
An example of this type in lead, dated 1648, rests on the children's shelf in the De La Warr vault, but of greater interest are three wooden versions.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	DET NOUN ADP DET NOUN ADP NOUN VERB NUM VERB ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN NOUN CCONJ ADP ADJ NOUN VERB NUM ADJ NOUN
The small retailer, such as the ‘ corner shop’, tends to rely on doing a regular stock - check : this means looking at what goods are on the shelves in the shop and the stockroom, and making a note of any items that are ‘ getting low’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	DET ADJ NOUN ADJ ADP DET ADJ NOUN PROPN VERB PART VERB ADP VERB DET ADJ NOUN PUNCT NOUN PUNCT DET VERB VERB ADP ADJ NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADJ VERB PRON VERB NOUN
Whether your delicatessen is part of a hypermarket or superstore or a tiny shop packed with delights from around the world, this book will help you to explore the potential of the exciting variety of foods available on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	ADP ADJ NOUN VERB NOUN ADP DET NOUN CCONJ NOUN CCONJ DET ADJ NOUN VERB ADP NOUN ADP ADP DET NOUN DET NOUN VERB VERB PRON PART VERB DET NOUN ADP DET ADJ NOUN ADP NOUN ADJ ADP DET NOUN
So it was a quietly defiant Alistair who, the next morning, came plodding down the stairs, and glanced at the splayed mail on the shelf as he headed for the door.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the shelf	literal	identical	ADV PRON VERB DET ADV ADJ PROPN NOUN DET ADJ NOUN VERB VERB ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADP DET NOUN
On a shelf at the top of the cupboard were piled paintings of all shapes and sizes.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	ADP DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB NOUN ADP DET NOUN CCONJ NOUN
Here are scattered numerous slate boulders which have been carried by glacier action and dumped on a limestone shelf.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	combined-other	ADV VERB VERB ADJ NOUN NOUN ADJ VERB VERB VERB ADP ADJ NOUN CCONJ VERB ADP DET NOUN NOUN
She put the card on the dresser shelf, knowing that later she would attempt to decipher it.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on the shelf	literal	insertion-other	PRON VERB DET NOUN ADP DET NOUN NOUN VERB ADP ADV PRON VERB VERB PART VERB PRON
Mm different signs on different shelves.	0 0 0 1 0 1	on the shelf	literal	combined-inflection	VERB ADJ NOUN ADP ADJ NOUN
Most species of marine organism live on the continental shelf.	0 0 0 0 0 0 1 0 0 1	on the shelf	literal	insertion-other	ADJ NOUN ADP ADJ NOUN VERB ADP DET ADJ NOUN
It shows how many items of the product ought to be on the shelf ; how many are still in the stock room ; the minimum number that the store is supposed to be carrying ; whether fresh ones have been ordered if stocks are too low ; what the current price is ; and whether that price is the Kmart standard, or has been lowered to beat local competitors.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	PRON VERB ADV ADJ NOUN ADP DET NOUN VERB PART VERB ADP DET NOUN PUNCT ADV ADJ VERB ADV ADP DET NOUN NOUN PUNCT DET ADJ NOUN ADP DET NOUN VERB VERB PART VERB VERB PUNCT ADP ADJ NOUN VERB VERB VERB ADP NOUN VERB ADV ADJ PUNCT NOUN DET ADJ NOUN VERB PUNCT CCONJ ADP DET NOUN VERB DET PROPN NOUN CCONJ VERB VERB VERB PART VERB ADJ NOUN
He's looking for the remains of a rucksack which caught fire on a shelf in the shop.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the shelf	literal	determiner-narrow	PRON VERB ADP DET NOUN ADP DET NOUN ADJ VERB NOUN ADP DET NOUN ADP DET NOUN
Often picked by impoverished Third World workers, it appears on our supermarket shelves and our tables as a polished, insubstantial thing, available only in two or three varieties instead of in thousands, and grown at the expense of the environment.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADV VERB ADP ADJ PROPN PROPN NOUN PRON VERB ADP ADJ NOUN NOUN CCONJ ADJ NOUN ADP DET ADJ ADJ NOUN ADJ ADV ADP NUM CCONJ NUM NOUN ADV ADP ADP NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN
Or she could set it down on a shelf alongside an empty flower jug.	0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	determiner-narrow	CCONJ PRON VERB VERB PRON PART ADP DET NOUN ADP DET ADJ NOUN NOUN
After all you can't sell the countryside on the supermarket shelf.	0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	insertion-other	ADP DET PRON VERB VERB DET NOUN ADP DET NOUN NOUN
Apparently, watch batteries are just too small to be practical on our shelves.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	combined-inflection	ADV VERB NOUN VERB ADV ADV ADJ PART VERB ADJ ADP ADJ NOUN
Claire stood up and began walking around the room, idly picking up one of the many calculators lying around, her hand trailing over the volumes of books on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	PROPN VERB PART CCONJ VERB VERB ADP DET NOUN ADV VERB PART NUM ADP DET ADJ NOUN VERB ADV ADJ NOUN VERB ADP DET NOUN ADP NOUN ADP DET NOUN
On the top shelf was a silver tureen brimming with strawberries.	1 0 0 1 0 0 0 0 0 0 0	on the shelf	literal	combined-other	ADP DET ADJ NOUN VERB DET NOUN NOUN VERB ADP NOUN
But how can courgettes, which are sold by the grower at, say, 25–30p a lb at the most, end up on the shelves at Safeway for £ 1.16 per lb?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the shelf	literal	inflection	CCONJ ADV VERB NOUN ADJ VERB VERB ADP DET NOUN ADP VERB NUM DET NOUN ADP DET ADJ VERB PART ADP DET NOUN ADP PROPN ADP SYM NUM ADP NOUN
By cover presentation on the shelves, and by promotion and word of mouth, they must also increase circulation, thus improving the advertisers ' platform and, of course, profitability for both parties.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	ADP NOUN NOUN ADP DET NOUN CCONJ ADP NOUN CCONJ NOUN ADP NOUN PRON VERB ADV VERB NOUN ADV VERB DET NOUN PART NOUN CCONJ ADP NOUN NOUN ADP DET NOUN
‘ If it's on the shelf customers want to buy it,’ said one store manager besieged by bargain hunters.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	PUNCT ADP PRON ADP DET NOUN NOUN VERB PART VERB NOUN VERB NUM NOUN NOUN VERB ADP NOUN NOUN
It is often said that you can discover a great deal about a person's character by the books on their shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	combined-inflection	PRON VERB ADV VERB ADP PRON VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADP ADJ NOUN
getting the child to obey requests / instructions during the course of the day ( e.g. ‘ Stop teasing your sister’, ‘ Put that chocolate back on the shelf’, ‘ Don't go out on the road’ ) ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the shelf	literal	dashes	VERB DET NOUN PART VERB NOUN SYM NOUN ADP DET NOUN ADP DET NOUN PUNCT ADV PUNCT PROPN VERB ADJ NOUN PUNCT NOUN DET NOUN ADV ADP DET PROPN PUNCT VERB VERB PART ADP DET NOUN PUNCT PUNCT
Once all the books on the bottom shelf were used to make three gigantic pyramids that sent him into a fit of despair.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	insertion-other	ADV ADJ DET NOUN ADP DET NOUN NOUN VERB VERB PART VERB NUM ADJ NOUN ADJ VERB PRON ADP DET NOUN ADP NOUN
Dolls of all shapes and sizes were arranged on shelves, and an outsize doll's house stood in one corner of the room, a miniature swing in the other.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	NOUN ADP DET NOUN CCONJ NOUN VERB VERB ADP NOUN CCONJ DET NOUN NOUN NOUN VERB ADP NUM NOUN ADP DET NOUN DET ADJ NOUN ADP DET ADJ
The landing place is for a meadow lying on a shelf or terrace beneath the cliffs : the Rutli meadow where representatives of the three founding cantons met in 1307 to take a solemn oath confirming their Everlasting League to defend the liberties their valleys had inherited against tyrants.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	determiner-narrow	DET NOUN NOUN VERB ADP DET NOUN VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN PUNCT DET PROPN NOUN ADV NOUN ADP DET NUM NOUN NOUN VERB ADP NUM PART VERB DET ADJ NOUN VERB ADJ PROPN PROPN PART VERB DET NOUN ADJ NOUN VERB VERB ADP NOUN
Godwin describes a similar room, measuring only 7 feet by 6 feet, containing no food but a small crust on a shelf beside the teapot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the shelf	literal	determiner-narrow	PROPN VERB DET ADJ NOUN VERB ADV NUM NOUN ADP NUM NOUN VERB DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP DET NOUN
Abundant evidence suggests that the landlord is a rugby buff his son plays for Waterloo and he also keeps 60 or 70 malt whiskies, on a shelf with the sub - title ' Medicine for men. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	determiner-narrow	ADJ NOUN VERB ADP DET NOUN VERB DET NOUN NOUN ADJ NOUN VERB ADP PROPN CCONJ PRON ADV VERB NUM CCONJ NUM NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN PUNCT NOUN ADP NOUN PUNCT
She would walk to the kitchen ; the morning light had slid away, and the paler light shone on the old hutch, making the clean china pieces, old pitchers and cups, charming unmatched plates standing on end on the shelves, gleam and reflect.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the shelf	literal	inflection	PRON VERB VERB ADP DET NOUN PUNCT DET NOUN NOUN VERB VERB ADV CCONJ DET NOUN NOUN VERB ADP DET ADJ NOUN VERB DET ADJ NOUN NOUN ADJ NOUN CCONJ NOUN ADJ ADJ NOUN VERB ADP NOUN ADP DET NOUN NOUN CCONJ VERB
Piotr Skubiszewski's forthcoming contribution to the series ‘ Storia Universale dell'Arte’, the volumes on Western civilisation edited by Enrico Castelnuovo, will not be on the shelves until 1993.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	on the shelf	literal	inflection	PROPN PROPN ADJ NOUN ADP DET NOUN PUNCT PROPN PROPN PROPN DET NOUN ADP ADJ NOUN VERB ADP PROPN PROPN VERB ADV VERB ADP DET NOUN ADP NUM
After seeing Mr Stephens disappear around the corner, she examined the small room minutely, the books on the shelf — reading out all their titles aloud — the three prints on the wall, " The Education of the Young Raleigh ", " Derwentwater at Dawn " and " The Drunkard's Children " — drew her boots appreciatively over the mat, picked up the jug of pencils and finally came to the oven which was next to the sink.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	identical	ADP VERB PROPN PROPN VERB ADP DET NOUN PRON VERB DET ADJ NOUN ADV DET NOUN ADP DET NOUN PUNCT VERB PART DET ADJ NOUN ADV PUNCT DET NUM NOUN ADP DET NOUN PUNCT DET PROPN ADP DET PROPN PROPN PUNCT PUNCT PROPN ADP PROPN PUNCT CCONJ PUNCT DET PROPN PROPN PUNCT PUNCT VERB ADJ NOUN ADV ADP DET NOUN VERB PART DET NOUN ADP NOUN CCONJ ADV VERB ADP DET NOUN ADJ VERB ADJ ADP DET NOUN
We have also been encouraging our suppliers of other brands to stop using CFCs and all aerosols on Tesco shelves will be CFC - free by end of July 1989.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	PRON VERB ADV VERB VERB ADJ NOUN ADP ADJ NOUN PART VERB VERB NOUN CCONJ DET NOUN ADP PROPN NOUN VERB VERB PROPN PUNCT ADJ ADP NOUN ADP PROPN NUM
A wide range of deCecco pasta, among the best of the dried brands, jostles for space on the shelves next to pretty tin boxes of turron, Spanish almond nougat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ ADP DET VERB NOUN NOUN ADP NOUN ADP DET NOUN ADJ ADP ADV ADJ NOUN ADP NOUN ADJ NOUN NOUN
It was attractive with a fresh, clean image but was not sufficiently robust to withstand stacking on shelves and customer handling and was replaced three years later by the ' France Oeuf ' carton.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	PRON VERB ADJ ADP DET ADJ ADJ NOUN CCONJ VERB ADV ADV ADJ PART VERB VERB ADP NOUN CCONJ NOUN NOUN CCONJ VERB VERB NUM NOUN ADV ADP DET PUNCT PROPN PROPN PART NOUN
On the shelves, this may be so.	1 0 1 0 0 0 0	on the shelf	literal	combined-inflection	ADP DET NOUN DET VERB VERB ADV
The boy, however, took no notice of her but raised his eyes to the bottles on the shelves and said, ‘ Acid drops.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	inflection	DET NOUN ADV VERB DET NOUN ADP PRON CCONJ VERB ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB NUM PROPN NOUN
My candle had fallen on to a Bible on the shelf and was burning it.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the shelf	literal	identical	ADJ NOUN VERB VERB PART ADP DET PROPN ADP DET NOUN CCONJ VERB VERB PRON
Although, as shown in Figures 4–6, above, the proportion of ‘ initial failures’ was relatively small, with none recorded in the case of material issued from the Advocates ' Library, and with only 4 % and 3 % of all deliveries from the Main Building and the Annexe falling into this category, they nevertheless merit close attention, since delays in the provision of items which are in fact available on the shelves can be a considerable source of irritation for both readers and members of staff.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	ADP ADP VERB ADP NOUN NUM ADV DET NOUN ADP ADJ ADJ NOUN VERB ADV ADJ ADP NOUN VERB ADP DET NOUN ADP NOUN VERB ADP DET PROPN PART NOUN CCONJ ADP ADV NUM NOUN CCONJ NUM NOUN ADP DET NOUN ADP DET PROPN PROPN CCONJ DET PROPN VERB ADP DET NOUN PRON ADV VERB ADJ NOUN ADP NOUN ADP DET NOUN ADP NOUN ADJ VERB ADP NOUN ADJ ADP DET NOUN VERB VERB DET ADJ NOUN ADP NOUN ADP DET NOUN CCONJ NOUN ADP NOUN
I finally ran a copy to earth, with some difficulty, at Penguin's own bookshop in Covent Garden, and telephone enquiries to a selection of London's larger booksellers indicated that two out of three had at least one copy on their shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	combined-inflection	PRON ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADP PROPN ADJ NOUN ADP PROPN PROPN CCONJ NOUN NOUN ADP DET NOUN ADP PROPN ADJ NOUN VERB ADP NUM ADP ADP NUM VERB ADV ADV NUM NOUN ADP ADJ NOUN
