' Every sailor has his own way of tying a knot.	0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	combined-inflection	PUNCT DET NOUN VERB ADJ ADJ NOUN ADP VERB DET NOUN	▁' ▁Every ▁sail or ▁has ▁his ▁own ▁way ▁of ▁ty ing ▁a ▁k not .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT DET NOUN NOUN VERB ADJ ADJ NOUN ADP VERB VERB DET NOUN NOUN NOUN
Never mind, they can be matrons of honour when I decide to tie the knot.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	dashes	ADV VERB PRON VERB VERB NOUN ADP NOUN ADV PRON VERB PART VERB DET PROPN	▁Never ▁mind , ▁they ▁can ▁be ▁ma tron s ▁of ▁honour ▁when ▁I ▁decide ▁to ▁tie ▁the ▁k not . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	ADV VERB VERB PRON VERB VERB NOUN NOUN NOUN ADP NOUN ADV PRON VERB PART VERB DET PROPN PROPN PROPN PROPN
Continue in this way until you have made the required length of band then, by unravelling the cord to this point, you can pull the end of yarn through your last loop and so tie a knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	determiner-narrow	VERB ADP DET NOUN ADP PRON VERB VERB DET VERB NOUN ADP NOUN ADV ADP VERB DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ ADV VERB DET NOUN	▁Continue ▁in ▁this ▁way ▁until ▁you ▁have ▁made ▁the ▁required ▁length ▁of ▁band ▁then , ▁by ▁un rav elling ▁the ▁cord ▁to ▁this ▁point , ▁you ▁can ▁pull ▁the ▁end ▁of ▁yarn ▁through ▁your ▁last ▁loop ▁and ▁so ▁tie ▁a ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	VERB ADP DET NOUN ADP PRON VERB VERB DET VERB NOUN ADP NOUN ADV ADV ADP VERB VERB VERB DET NOUN ADP DET NOUN NOUN PRON VERB VERB DET NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ ADV VERB DET NOUN NOUN NOUN
Fiona & Paul had been together for six years before deciding to tie the knot.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	identical	PROPN CCONJ PROPN VERB VERB ADV ADP NUM NOUN ADP VERB PART VERB DET NOUN	▁Fi ona ▁& ▁Paul ▁had ▁been ▁together ▁for ▁six ▁years ▁before ▁deciding ▁to ▁tie ▁the ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PROPN PROPN CCONJ PROPN VERB VERB ADV ADP NUM NOUN ADP VERB PART VERB DET NOUN NOUN NOUN
Your Majesty wished to remind yourself of something when it pleased Your Majesty to tie this knot in your handkerchief.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	tie the knot	literal	determiner-narrow	ADJ PROPN VERB PART VERB PRON ADP NOUN ADV PRON VERB ADJ PROPN PART VERB DET NOUN ADP ADJ NOUN	▁Your ▁Majesty ▁wished ▁to ▁remind ▁yourself ▁of ▁something ▁when ▁it ▁pleased ▁Your ▁Majesty ▁to ▁tie ▁this ▁k not ▁in ▁your ▁hand ker chi ef .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	ADJ PROPN VERB PART VERB PRON ADP NOUN ADV PRON VERB ADJ PROPN PART VERB DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN
) Tie knots in the cords at one end, and if using pencil pleat tape trim the tape only to within 1.5 cm ( ½in ) of knot.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-inflection	PUNCT PROPN NOUN ADP DET NOUN ADP NUM NOUN CCONJ ADP VERB NOUN NOUN NOUN VERB DET NOUN ADV ADP ADP NUM NOUN PUNCT PROPN PUNCT ADP NOUN	▁ ) ▁T ie ▁knots ▁in ▁the ▁cord s ▁at ▁one ▁end , ▁and ▁if ▁using ▁pencil ▁plea t ▁tape ▁trim ▁the ▁tape ▁only ▁to ▁within ▁1.5 ▁cm ▁( ▁ 1⁄ 2 in ▁ ) ▁of ▁k not .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN NOUN ADP DET NOUN NOUN ADP NUM NOUN NOUN CCONJ ADP VERB NOUN NOUN NOUN NOUN VERB DET NOUN ADV ADP ADP NUM NOUN PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT ADP NOUN NOUN NOUN
I don't think so, th the point is I 'm not going to be called to tie a knot like this again for maybe three weeks and then by then I 'll make things up it was really more for convenience than sitting down trying to work it out myself so you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	PRON VERB VERB ADV X DET NOUN VERB PRON VERB ADV VERB PART VERB VERB PART VERB DET NOUN ADP DET ADV ADP ADV NUM NOUN CCONJ ADV ADP ADV PRON VERB VERB NOUN PART PRON VERB ADV ADJ ADP NOUN ADP VERB PART VERB PART VERB PRON PART PRON ADV PRON VERB	▁I ▁don ' t ▁think ▁so , ▁th ▁the ▁point ▁is ▁I ▁' m ▁not ▁going ▁to ▁be ▁called ▁to ▁tie ▁a ▁k not ▁like ▁this ▁again ▁for ▁maybe ▁three ▁weeks ▁and ▁then ▁by ▁then ▁I ▁' ll ▁make ▁things ▁up ▁it ▁was ▁really ▁more ▁for ▁convenience ▁than ▁sitting ▁down ▁trying ▁to ▁work ▁it ▁out ▁myself ▁so ▁you ▁know .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADV ADV X DET NOUN VERB PRON VERB VERB ADV VERB PART VERB VERB PART VERB DET NOUN NOUN ADP DET ADV ADP ADV NUM NOUN CCONJ ADV ADP ADV PRON VERB VERB VERB NOUN PART PRON VERB ADV ADJ ADP NOUN ADP VERB PART VERB PART VERB PRON PART PRON ADV PRON VERB VERB
She would tie a knot in two of the four corners of a handkerchief and fix one knot on each of her forefingers, to form puppets.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	PRON VERB VERB DET NOUN ADP NUM ADP DET NUM NOUN ADP DET NOUN CCONJ VERB NUM NOUN ADP DET ADP ADJ NOUN PART VERB NOUN	▁She ▁would ▁tie ▁a ▁k not ▁in ▁two ▁of ▁the ▁four ▁corner s ▁of ▁a ▁hand ker chi ef ▁and ▁fix ▁one ▁k not ▁on ▁each ▁of ▁her ▁for ef ing ers , ▁to ▁form ▁p up pet s .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN NOUN ADP NUM ADP DET NUM NOUN NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ VERB NUM NOUN NOUN ADP DET ADP ADJ NOUN NOUN NOUN NOUN NOUN PART VERB NOUN NOUN NOUN NOUN NOUN
When it pleased Your Majesty to tie this knot in your handkerchief, you wished to -	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	tie the knot	literal	determiner-narrow	ADV PRON VERB ADJ PROPN PART VERB DET NOUN ADP ADJ NOUN PRON VERB PART PUNCT	▁When ▁it ▁pleased ▁Your ▁Majesty ▁to ▁tie ▁this ▁k not ▁in ▁your ▁hand ker chi ef , ▁you ▁wished ▁to ▁-	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB ADJ PROPN PART VERB DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN PRON VERB PART PUNCT
Your author forgot all about the steam service and has tied a knot in his tie already for the September retreat.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	tie the knot	literal	combined-inflection	ADJ NOUN VERB ADV ADP DET NOUN NOUN CCONJ VERB VERB DET NOUN ADP ADJ NOUN ADV ADP DET PROPN NOUN	▁Your ▁author ▁for go t ▁all ▁about ▁the ▁steam ▁service ▁and ▁has ▁tied ▁a ▁k not ▁in ▁his ▁tie ▁already ▁for ▁the ▁September ▁retreat .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB VERB ADV ADP DET NOUN NOUN CCONJ VERB VERB DET NOUN NOUN ADP ADJ NOUN ADV ADP DET PROPN NOUN NOUN
They finally tied the knot yesterday at West Derby Register Office in Liverpool.	0 0 1 0 1 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	PRON ADV VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN	▁They ▁finally ▁tied ▁the ▁k not ▁yesterday ▁at ▁West ▁D er by ▁Register ▁Office ▁in ▁Liverpool .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN
Using a polyester line without sleeving allows easy adjustment by re - tying the knot after shortening a line or, in the case of minor differences, adding an overhand knot or two to take up a couple of centimetres.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	inflection	VERB DET NOUN NOUN ADP VERB VERB ADJ NOUN ADP NOUN PUNCT VERB DET NOUN ADP VERB DET NOUN CCONJ ADP DET NOUN ADP ADJ NOUN VERB DET ADJ NOUN CCONJ NUM PART VERB PART DET NOUN ADP NOUN	▁Us ing ▁a ▁polyester ▁line ▁without ▁sl ee ving ▁allows ▁easy ▁adjustment ▁by ▁re ▁- ▁ty ing ▁the ▁k not ▁after ▁shorten ing ▁a ▁line ▁or , ▁in ▁the ▁case ▁of ▁minor ▁differences , ▁adding ▁an ▁over hand ▁k not ▁or ▁two ▁to ▁take ▁up ▁a ▁couple ▁of ▁cent i metre s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN NOUN ADP VERB VERB VERB VERB ADJ NOUN ADP NOUN PUNCT VERB VERB DET NOUN NOUN ADP VERB VERB DET NOUN CCONJ CCONJ ADP DET NOUN ADP ADJ NOUN NOUN VERB DET ADJ ADJ NOUN NOUN CCONJ NUM PART VERB PART DET NOUN ADP NOUN NOUN NOUN NOUN NOUN
If Jitters didn't have a wife and kids back in the old country — which, come to think of it, he probably didn't these days — he might just have dragged Fat Old Stinky Juanita up before the padre and tied the old knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	tie the knot	figurative	combined-inflection	ADP PROPN VERB VERB DET NOUN CCONJ NOUN ADV ADP DET ADJ NOUN PUNCT ADJ VERB PART VERB ADP PRON PRON ADV VERB DET NOUN PUNCT PRON VERB ADV VERB VERB PROPN PROPN PROPN PROPN PART ADP DET NOUN CCONJ VERB DET ADJ NOUN	▁If ▁J itter s ▁did n ' t ▁have ▁a ▁wife ▁and ▁kid s ▁back ▁in ▁the ▁old ▁country ▁ — ▁which , ▁come ▁to ▁think ▁of ▁it , ▁he ▁probably ▁did n ' t ▁these ▁days ▁ — ▁he ▁might ▁just ▁have ▁dragg ed ▁Fat ▁Old ▁St in ky ▁Juan ita ▁up ▁before ▁the ▁pad re ▁and ▁tied ▁the ▁old ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	ADP PROPN PROPN PROPN VERB VERB VERB VERB VERB DET NOUN CCONJ NOUN NOUN ADV ADP DET ADJ NOUN PUNCT PUNCT ADJ ADJ VERB PART VERB ADP PRON PRON PRON ADV VERB VERB VERB VERB DET NOUN PUNCT PUNCT PRON VERB ADV VERB VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PART ADP DET NOUN NOUN CCONJ VERB DET ADJ NOUN NOUN NOUN
Pete Goss took a group up to the foredeck to demonstrate a spinnaker hoist, four were dispatched to the leeward rail to induce some heel and to those in the cockpit Nick commanded : ' Well, don't just sit there, get tying knots. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	tie the knot	literal	combined-inflection	PROPN PROPN VERB DET NOUN ADP ADP DET NOUN PART VERB DET NOUN NOUN NUM VERB VERB ADP DET NOUN NOUN PART VERB DET NOUN CCONJ ADP DET ADP DET NOUN PROPN VERB PUNCT PUNCT INTJ VERB ADV VERB ADV VERB VERB NOUN PUNCT	▁P ete ▁Go s s ▁took ▁a ▁group ▁up ▁to ▁the ▁for ed eck ▁to ▁demonstrate ▁a ▁spin na ker ▁ho ist , ▁four ▁were ▁dispatched ▁to ▁the ▁le e ward ▁rail ▁to ▁induce ▁some ▁heel ▁and ▁to ▁those ▁in ▁the ▁ cock pit ▁N ick ▁commanded ▁ : ▁' ▁Well , ▁don ' t ▁just ▁sit ▁there , ▁get ▁ty ing ▁knots . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP ADP DET NOUN NOUN NOUN PART VERB DET NOUN NOUN NOUN NOUN NOUN NOUN NUM VERB VERB ADP DET NOUN NOUN NOUN NOUN PART VERB DET NOUN CCONJ ADP DET ADP DET NOUN NOUN NOUN PROPN PROPN VERB PUNCT PUNCT PUNCT INTJ INTJ VERB VERB VERB ADV VERB ADV ADV VERB VERB VERB NOUN NOUN PUNCT
Then tie a reverse Overhand Knot on top.	0 1 0 0 0 1 0 0	tie the knot	literal	combined-other	ADV VERB DET ADJ PROPN PROPN ADP NOUN	▁Then ▁tie ▁a ▁reverse ▁Over hand ▁K not ▁on ▁top .	0 1 0 0 0 0 1 1 0 0 0	ADV VERB DET ADJ PROPN PROPN PROPN PROPN ADP NOUN NOUN
Okay, so there you are you see, you 're, you 're a first aider and you come up to the person and you hold it the way you did last time and you think ah, now that's the wrong way round of course, there's my elbow point, there's my injured elbow, so I have to be that way round, mm, so you turn it round the other way, right, your elbow shape goes to the injured elbow and your long line goes straight up and down the line of the body, you arrange it so that you only just covering the forearm there, with just enough above the hand to tie your reef knot that would be too little and that would be too much just enough above the hands to tie your reef knot, the first thing you do is to tuck nice, big bit of material right under the hand and anchor it into position, just keep that resting there and all the rest of this goes under the arm up between the shoulder blades there and you tie your first half of the reef knot just above the fingers in the hollow of the neck here, now that's important because round the back here if you press on that bit of muscle there, there's a big band of muscle, if you 've got a knot on that it gives a great deal of discomfort very quickly so you want to get the knots round in the hollow here that doesn't hurt your casualty, there, draw it up half the knot, is that tight enough?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	INTJ ADV ADV PRON VERB PRON VERB PRON VERB PRON VERB DET ADJ NOUN CCONJ PRON VERB PART ADP DET NOUN CCONJ PRON VERB PRON DET NOUN PRON VERB ADJ NOUN CCONJ PRON VERB INTJ ADV DET DET ADJ NOUN ADV ADP NOUN ADV ADJ NOUN NOUN ADV ADJ ADJ NOUN CCONJ PRON VERB PART VERB DET NOUN ADV NOUN CCONJ PRON VERB PRON ADP DET ADJ NOUN INTJ ADJ NOUN NOUN VERB ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN VERB ADV ADV CCONJ ADP DET NOUN ADP DET NOUN PRON VERB PRON ADP ADP PRON ADV ADV VERB DET NOUN ADV ADP ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN ADJ VERB VERB ADV ADJ CCONJ DET VERB VERB ADV ADJ ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN DET ADJ NOUN PRON VERB VERB PART VERB ADJ ADJ NOUN ADP NOUN ADV ADP DET NOUN CCONJ VERB PRON ADP NOUN ADV VERB ADP VERB ADV CCONJ ADJ DET NOUN ADP DET VERB ADP DET NOUN PART ADP DET NOUN NOUN ADV CCONJ PRON VERB ADJ ADJ NOUN ADP DET NOUN NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV DET ADJ ADP ADP DET NOUN ADV ADP PRON VERB ADP DET NOUN ADP NOUN ADV ADV DET ADJ NOUN ADP NOUN ADP PRON VERB VERB DET NOUN ADP ADP PRON VERB DET ADJ NOUN ADP NOUN ADV ADV ADP PRON VERB PART VERB DET NOUN ADV ADP DET NOUN ADV ADJ VERB VERB ADJ NOUN ADV VERB PRON PART ADJ DET NOUN VERB DET ADJ ADV	▁O ka y , ▁so ▁there ▁you ▁are ▁you ▁see , ▁you ▁' re , ▁you ▁' re ▁a ▁first ▁aid er ▁and ▁you ▁come ▁up ▁to ▁the ▁person ▁and ▁you ▁hold ▁it ▁the ▁way ▁you ▁did ▁last ▁time ▁and ▁you ▁think ▁a h , ▁now ▁that ' s ▁the ▁wrong ▁way ▁round ▁of ▁course , ▁there ' s ▁my ▁el bow ▁point , ▁there ' s ▁my ▁injured ▁el bow , ▁so ▁I ▁have ▁to ▁be ▁that ▁way ▁round , ▁mm , ▁so ▁you ▁turn ▁it ▁round ▁the ▁other ▁way , ▁right , ▁your ▁el bow ▁shape ▁goes ▁to ▁the ▁injured ▁el bow ▁and ▁your ▁long ▁line ▁goes ▁straight ▁up ▁and ▁down ▁the ▁line ▁of ▁the ▁body , ▁you ▁arrange ▁it ▁so ▁that ▁you ▁only ▁just ▁covering ▁the ▁for e arm ▁there , ▁with ▁just ▁enough ▁above ▁the ▁hand ▁to ▁tie ▁your ▁re ef ▁k not ▁that ▁would ▁be ▁too ▁little ▁and ▁that ▁would ▁be ▁too ▁much ▁just ▁enough ▁above ▁the ▁hands ▁to ▁tie ▁your ▁re ef ▁k not , ▁the ▁first ▁thing ▁you ▁do ▁is ▁to ▁t uck ▁nice , ▁big ▁bit ▁of ▁material ▁right ▁under ▁the ▁hand ▁and ▁anchor ▁it ▁into ▁position , ▁just ▁keep ▁that ▁rest ing ▁there ▁and ▁all ▁the ▁rest ▁of ▁this ▁goes ▁under ▁the ▁arm ▁up ▁between ▁the ▁shoulder ▁blades ▁there ▁and ▁you ▁tie ▁your ▁first ▁half ▁of ▁the ▁re ef ▁k not ▁just ▁above ▁the ▁fingers ▁in ▁the ▁hollow ▁of ▁the ▁neck ▁here , ▁now ▁that ' s ▁important ▁because ▁round ▁the ▁back ▁here ▁if ▁you ▁press ▁on ▁that ▁bit ▁of ▁muscle ▁there , ▁there ' s ▁a ▁big ▁band ▁of ▁muscle , ▁if ▁you ▁' ve ▁got ▁a ▁k not ▁on ▁that ▁it ▁gives ▁a ▁great ▁deal ▁of ▁discomfort ▁very ▁quickly ▁so ▁you ▁want ▁to ▁get ▁the ▁knots ▁round ▁in ▁the ▁hollow ▁here ▁that ▁does n ' t ▁hurt ▁your ▁casualty , ▁there , ▁draw ▁it ▁up ▁half ▁the ▁k not , ▁is ▁that ▁tight ▁enough ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ ADV ADV PRON VERB PRON VERB VERB PRON VERB VERB VERB PRON VERB VERB DET ADJ NOUN NOUN CCONJ PRON VERB PART ADP DET NOUN CCONJ PRON VERB PRON DET NOUN PRON VERB ADJ NOUN CCONJ PRON VERB INTJ INTJ INTJ ADV DET DET DET DET ADJ NOUN ADV ADP NOUN NOUN ADV ADV ADV ADJ NOUN NOUN NOUN NOUN ADV ADV ADV ADJ ADJ NOUN NOUN NOUN CCONJ PRON VERB PART VERB DET NOUN ADV ADV NOUN NOUN CCONJ PRON VERB PRON ADP DET ADJ NOUN NOUN INTJ INTJ ADJ NOUN NOUN NOUN VERB ADP DET ADJ NOUN NOUN CCONJ ADJ ADJ NOUN VERB ADV ADV CCONJ ADP DET NOUN ADP DET NOUN NOUN PRON VERB PRON ADP ADP PRON ADV ADV VERB DET NOUN NOUN NOUN ADV ADV ADP ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN NOUN NOUN ADJ VERB VERB ADV ADJ CCONJ DET VERB VERB ADV ADJ ADV ADV ADP DET NOUN PART VERB ADJ NOUN NOUN NOUN NOUN NOUN DET ADJ NOUN PRON VERB VERB PART VERB VERB ADJ ADJ ADJ NOUN ADP NOUN ADV ADP DET NOUN CCONJ VERB PRON ADP NOUN NOUN ADV VERB ADP VERB VERB ADV CCONJ ADJ DET NOUN ADP DET VERB ADP DET NOUN PART ADP DET NOUN NOUN ADV CCONJ PRON VERB ADJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV ADV ADV DET DET DET ADJ ADP ADP DET NOUN ADV ADP PRON VERB ADP DET NOUN ADP NOUN ADV ADV ADV ADV ADV DET ADJ NOUN ADP NOUN NOUN ADP PRON VERB VERB VERB DET NOUN NOUN ADP ADP PRON VERB DET ADJ NOUN ADP NOUN ADV ADV ADP PRON VERB PART VERB DET NOUN ADV ADP DET NOUN ADV ADJ VERB VERB VERB VERB VERB ADJ NOUN NOUN ADV ADV VERB PRON PART ADJ DET NOUN NOUN NOUN VERB DET ADJ ADV ADV
The knotting process always begins at the side of the rug ( after the selvedges have been secured ) by tying a knot on each pair of warp strands in a horizontal direction across the width of the rug.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	combined-inflection	DET NOUN NOUN ADV VERB ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN VERB VERB VERB PUNCT ADP VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN	▁The ▁k not ting ▁process ▁always ▁begins ▁at ▁the ▁side ▁of ▁the ▁ rug ▁( ▁after ▁the ▁sel ved ges ▁have ▁been ▁secured ▁ ) ▁by ▁ty ing ▁a ▁k not ▁on ▁each ▁pair ▁of ▁warp ▁strands ▁in ▁a ▁horizontal ▁direction ▁across ▁the ▁width ▁of ▁the ▁ rug .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADV VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT ADP DET NOUN NOUN NOUN VERB VERB VERB PUNCT PUNCT ADP VERB VERB DET NOUN NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
Bride Laura Browne, 34, arrived to tie the knot with 38-year - old Robbie Carter in Cinderella's glass coach, drawn by six white ponies.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	PROPN PROPN PROPN NUM VERB PART VERB DET NOUN ADP NUM PUNCT ADJ PROPN PROPN ADP PROPN NOUN NOUN VERB ADP NUM ADJ NOUN	▁Br ide ▁La ura ▁Brown e , ▁34, ▁arrived ▁to ▁tie ▁the ▁k not ▁with ▁38 - year ▁- ▁old ▁Ro bb ie ▁Car ter ▁in ▁C inder ella ' s ▁glass ▁coach , ▁drawn ▁by ▁six ▁white ▁p on ies .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM VERB PART VERB DET NOUN NOUN ADP NUM NUM NUM PUNCT ADJ PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN VERB ADP NUM ADJ NOUN NOUN NOUN NOUN
