Are women welcome there with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB NOUN VERB ADV ADP ADJ NOUN	▁Are ▁women ▁welcome ▁there ▁with ▁open ▁arms ?	0 0 0 0 1 1 1 1	VERB NOUN VERB ADV ADP ADJ NOUN NOUN
In the early ' 60s, all of the pop press welcomed with open arms the rather curious emergence of a ‘ trad jazz’ revival.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP DET ADJ PUNCT NOUN DET ADP DET NOUN NOUN VERB ADP ADJ NOUN DET ADV ADJ NOUN ADP DET ADJ NOUN NOUN NOUN	▁In ▁the ▁early ▁' ▁60 s , ▁all ▁of ▁the ▁p op ▁press ▁welcomed ▁with ▁open ▁arms ▁the ▁rather ▁curious ▁emergenc e ▁of ▁a ▁ ‘ ▁tra d ▁ja zz ’ ▁reviv al .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ PUNCT NOUN NOUN NOUN DET ADP DET NOUN NOUN NOUN VERB ADP ADJ NOUN DET ADV ADJ NOUN NOUN ADP DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN
Now as a traditional climber I find the emergence of these new activities such as sport abseiling and sport climbing somewhat sterilised and regulated, but I suppose there is plenty of room in Britain for all offshoots and variations of the parent activity, and we must accept these developments with open arms as we did bolts and competitions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	with open arms	figurative	identical	ADV ADP DET ADJ NOUN PRON VERB DET NOUN ADP DET ADJ NOUN ADJ ADP NOUN NOUN CCONJ NOUN NOUN ADV VERB CCONJ VERB CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP PROPN ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN ADP PRON VERB NOUN CCONJ NOUN	▁Now ▁as ▁a ▁traditional ▁climb er ▁I ▁find ▁the ▁emergenc e ▁of ▁these ▁new ▁activities ▁such ▁as ▁sport ▁abs eil ing ▁and ▁sport ▁climb ing ▁somewhat ▁sterilis ed ▁and ▁regulated , ▁but ▁I ▁suppose ▁there ▁is ▁plenty ▁of ▁room ▁in ▁Britain ▁for ▁all ▁off s ho ots ▁and ▁variations ▁of ▁the ▁parent ▁activity , ▁and ▁we ▁must ▁accept ▁these ▁developments ▁with ▁open ▁arms ▁as ▁we ▁did ▁bolts ▁and ▁competition s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADV ADP DET ADJ NOUN NOUN PRON VERB DET NOUN NOUN ADP DET ADJ NOUN ADJ ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN ADV VERB VERB CCONJ VERB VERB CCONJ PRON VERB ADV VERB NOUN ADP NOUN ADP PROPN ADP DET NOUN NOUN NOUN NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN ADP PRON VERB NOUN CCONJ NOUN NOUN NOUN
Secondly, the IBM Agent market does not welcome untried and untested ( new ) products with open arms, and Cognos has been attempting to prove itself in this market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV DET PROPN PROPN NOUN VERB ADV VERB ADJ CCONJ ADJ PUNCT ADJ PUNCT NOUN ADP ADJ NOUN CCONJ PROPN VERB VERB VERB PART VERB PRON ADP DET NOUN	▁Secondly , ▁the ▁IBM ▁Agen t ▁market ▁does ▁not ▁welcome ▁un tri ed ▁and ▁un tested ▁( ▁new ▁ ) ▁products ▁with ▁open ▁arms , ▁and ▁Co g nos ▁has ▁been ▁attempting ▁to ▁prove ▁itself ▁in ▁this ▁market .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET PROPN PROPN PROPN NOUN VERB ADV VERB ADJ ADJ ADJ CCONJ ADJ ADJ PUNCT ADJ PUNCT PUNCT NOUN ADP ADJ NOUN NOUN CCONJ PROPN PROPN PROPN VERB VERB VERB PART VERB PRON ADP DET NOUN NOUN
If Mr. Edwards ' client lived in this area, we would welcome his talents with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADP PROPN PROPN PART NOUN VERB ADP DET NOUN PRON VERB VERB ADJ NOUN ADP ADJ NOUN	▁If ▁Mr . ▁Edward s ▁' ▁client ▁lived ▁in ▁this ▁area , ▁we ▁would ▁welcome ▁his ▁talent s ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN PROPN PROPN PART NOUN VERB ADP DET NOUN NOUN PRON VERB VERB ADJ NOUN NOUN ADP ADJ NOUN NOUN
‘ It is for a constituency Labour Party to welcome Mr Scargill with open arms, or any arms.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	with open arms	figurative	identical	PUNCT PRON VERB ADP DET NOUN PROPN PROPN PART VERB PROPN PROPN ADP ADJ NOUN CCONJ DET NOUN	▁ ‘ ▁It ▁is ▁for ▁a ▁constituency ▁Labour ▁Party ▁to ▁welcome ▁Mr ▁Sca rgill ▁with ▁open ▁arms , ▁or ▁any ▁arms . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PUNCT PUNCT PRON VERB ADP DET NOUN PROPN PROPN PART VERB PROPN PROPN PROPN ADP ADJ NOUN NOUN CCONJ DET NOUN NOUN NOUN
However, Richard Amos, the youth worker, continues to put considerable effort into the work of the youth club and would welcome with open arms any volunteers to join those already helping.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV PROPN PROPN DET NOUN NOUN VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB VERB ADP ADJ NOUN DET NOUN PART VERB DET ADV VERB	▁However , ▁Richard ▁A mos , ▁the ▁youth ▁worker , ▁continues ▁to ▁put ▁considerable ▁effort ▁into ▁the ▁work ▁of ▁the ▁youth ▁club ▁and ▁would ▁welcome ▁with ▁open ▁arms ▁any ▁volunteers ▁to ▁join ▁those ▁already ▁help ing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	ADV ADV PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN VERB PART VERB ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB VERB ADP ADJ NOUN DET NOUN PART VERB DET ADV VERB VERB VERB
Indeed, after another bad summer for British tourism, they were welcomed with open arms.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	ADV ADP DET ADJ NOUN ADP ADJ NOUN PRON VERB VERB ADP ADJ NOUN	▁Indeed , ▁after ▁another ▁bad ▁summer ▁for ▁British ▁tourism , ▁they ▁were ▁welcomed ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADP DET ADJ NOUN ADP ADJ NOUN NOUN PRON VERB VERB ADP ADJ NOUN NOUN
The Greenpeace support was welcomed with open arms.	0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET PROPN NOUN VERB VERB ADP ADJ NOUN	▁The ▁Greenpeace ▁support ▁was ▁welcomed ▁with ▁open ▁arms .	0 0 0 0 0 1 1 1 1	DET PROPN NOUN VERB VERB ADP ADJ NOUN NOUN
Roger Protz welcomes with open arms the rebirth of stout and porter, and Michael Jackson chaperons drinkers who want ale, not lager, when abroad.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN PROPN VERB ADP ADJ NOUN DET NOUN ADP NOUN CCONJ NOUN CCONJ PROPN PROPN NOUN NOUN NOUN VERB NOUN ADV ADJ ADV ADV	▁Ro ger ▁Pro tz ▁welcome s ▁with ▁open ▁arms ▁the ▁re birth ▁of ▁st out ▁and ▁port er , ▁and ▁Michael ▁Jackson ▁chap er ons ▁drink ers ▁who ▁want ▁a le , ▁not ▁lag er , ▁when ▁abroad .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB VERB ADP ADJ NOUN DET NOUN NOUN ADP NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ PROPN PROPN NOUN NOUN NOUN NOUN NOUN NOUN VERB NOUN NOUN NOUN ADV ADJ ADJ ADJ ADV ADV ADV
The piano works of Igor Stravinsky are not well represented on CD, so the re - issue of Michel Béroff's recordings is to be welcomed with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET NOUN NOUN ADP PROPN PROPN VERB ADV ADV VERB ADP PROPN CCONJ DET NOUN PUNCT NOUN ADP PROPN PROPN NOUN VERB PART VERB VERB ADP ADJ NOUN	▁The ▁p iano ▁works ▁of ▁I g or ▁Stra vin sky ▁are ▁not ▁well ▁represented ▁on ▁CD , ▁so ▁the ▁re ▁- ▁issue ▁of ▁Michel ▁B ér off ' s ▁recording s ▁is ▁to ▁be ▁welcomed ▁with ▁open ▁arms .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV ADV VERB ADP PROPN PROPN CCONJ DET NOUN PUNCT NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB PART VERB VERB ADP ADJ NOUN NOUN
