Is your radio receiving equipment up to scratch?’	0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	VERB ADJ NOUN VERB NOUN ADP ADP NOUN
So, I mean these are the supporters that they, they 've got to sort of focus on erm even i he does say that some of the erm er leaders of the associations aren't actually up to scratch but he says eighty five percent of them are and it would be wrong to attack or to arrest, you know, the other fifteen percent and it's got to come from their own discipline of the association, you let the movement grow together, don't try and er become er, you know, resisting forces because er these are the people who we 've got to erm s stay with and to look after, to harness erm to work for and er so that's basically, is his conclusion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	CCONJ PRON VERB DET VERB DET NOUN ADP PRON PRON VERB VERB PART ADV ADV NOUN ADP NOUN ADV PRON PRON VERB VERB ADP DET ADP DET NOUN INTJ NOUN ADP DET NOUN VERB ADV ADP PART NOUN CCONJ PRON VERB NUM NUM NOUN ADP PRON VERB CCONJ PRON VERB VERB ADJ PART VERB CCONJ PART VERB PRON VERB DET ADJ NUM NOUN CCONJ PRON VERB PART VERB ADP ADJ ADJ NOUN ADP DET NOUN PRON VERB DET NOUN VERB ADV VERB VERB CCONJ INTJ VERB INTJ PRON VERB VERB NOUN ADP INTJ DET VERB DET NOUN NOUN PRON VERB VERB ADP NOUN PRON VERB ADP CCONJ PART VERB ADV PART VERB NOUN PART VERB ADP CCONJ INTJ ADV DET ADV VERB ADJ NOUN
Oh I see, I am laying down precise quotas so my staff can see at once if things aren't up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	INTJ PRON VERB PRON VERB VERB PART ADJ NOUN ADP ADJ NOUN VERB VERB ADP ADV ADP NOUN VERB ADP PART VERB
He says that he's advised the farm owner that conditions aren't up to scratch, he says he 'll return to check that things have been put right.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PRON VERB ADP PRON VERB DET NOUN NOUN ADP NOUN VERB ADP PART VERB PRON VERB PRON VERB VERB PART VERB ADP NOUN VERB VERB VERB ADV
This time she insisted on negotiating direct with the manufacturer, but agreed to pay Colin a finder's fee of 5 per cent if the order came up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	DET NOUN PRON VERB ADP VERB ADJ ADP DET NOUN CCONJ VERB PART VERB PROPN DET NOUN NOUN ADP NUM NOUN NOUN ADP DET NOUN VERB PART ADP NOUN
I want to get at my product knowledge up to scratch, I 'm going to get my sales skills up to scratch.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PRON VERB PART VERB ADP ADJ NOUN NOUN PART ADP NOUN PRON VERB VERB PART VERB ADJ NOUN NOUN ADV ADP NOUN
Once SSI and regional health authority monitoring has identified those authorities which were to slow to progress, the pressure was on to bring them up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV PROPN CCONJ ADJ NOUN NOUN NOUN VERB VERB DET NOUN ADJ VERB PART VERB PART VERB DET NOUN VERB ADP PART VERB PRON PART ADP NOUN
As well as having samples tested, manufacturers must also demonstrate that their quality - control system is up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV ADV ADP VERB NOUN VERB NOUN VERB ADV VERB ADP ADJ NOUN PUNCT NOUN NOUN VERB ADP PART NOUN
‘ He's angry and irritable and he's made it clear from the very beginning that he doesn't expect me to come up to scratch.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	PUNCT PRON ADJ CCONJ ADJ CCONJ PRON VERB PRON ADJ ADP DET ADV NOUN ADP PRON VERB VERB PRON PART VERB PART ADP NOUN
Budding gardeners wondering whether their patch is up to scratch should contact the NGS which will send a local adviser round.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	VERB NOUN VERB CCONJ ADJ NOUN VERB ADP PART NOUN VERB VERB DET PROPN ADJ VERB VERB DET ADJ NOUN ADV
Er with the new contracts that started in September erm basically it seems that some teachers are having to do bits of cleaning themselves to keep their their classroom up to up to scratch up to the standards they ought they ought to be.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	INTJ ADP DET ADJ NOUN ADJ VERB ADP PROPN NOUN ADV PRON VERB ADP DET NOUN VERB VERB PART VERB NOUN ADP VERB PRON PART VERB ADJ ADJ NOUN ADP ADP ADP PART VERB PART ADP DET NOUN PRON VERB PRON VERB PART VERB
COUNCILLORS have decided a city painting firm should be banned from working for the district for two years because their work has not come up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PROPN VERB VERB DET NOUN NOUN NOUN VERB VERB VERB ADP VERB ADP DET NOUN ADP NUM NOUN ADP ADJ NOUN VERB ADV VERB PART ADP NOUN
The Electricity Board will tell you what you need to bring the installation up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	DET PROPN PROPN VERB VERB PRON NOUN PRON VERB PART VERB DET NOUN ADP ADP NOUN
If quality control is up to scratch and this kind of general finish is maintained throughout the range, then I would not hesitate in recommending a Rockwood to anyone looking for a good, all - round, budget guitar.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	ADP NOUN NOUN VERB ADP PART NOUN CCONJ DET NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN ADV PRON VERB ADV VERB ADP VERB DET PROPN ADP NOUN VERB ADP DET ADJ DET PUNCT ADJ NOUN NOUN
