Well I can run three miles.	0 0 0 1 0 1	run a mile	literal	determiner-broad	INTJ PRON VERB VERB NUM NOUN	▁Well ▁I ▁can ▁run ▁three ▁miles .	0 0 0 1 0 1 1	INTJ PRON VERB VERB NUM NOUN NOUN
He's complaining because I, well it's as though we run a minute mile.	0 0 0 0 0 0 0 0 0 1 0 0 1	run a mile	literal	insertion-other	PRON VERB ADP PRON INTJ PRON ADP ADP PRON VERB DET ADJ NOUN	▁He ' s ▁complaining ▁because ▁I , ▁well ▁it ' s ▁as ▁though ▁we ▁run ▁a ▁minute ▁ mile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	PRON PRON PRON VERB ADP PRON PRON INTJ PRON PRON PRON ADP ADP PRON VERB DET ADJ NOUN NOUN NOUN
' The other boy ran about a mile to fetch help it's in the countryside.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PUNCT DET ADJ NOUN VERB ADP DET NOUN PART VERB NOUN PRON ADP DET NOUN	▁' ▁The ▁other ▁boy ▁ran ▁about ▁a ▁ mile ▁to ▁fet ch ▁help ▁it ' s ▁in ▁the ▁countryside .	0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT DET ADJ NOUN VERB ADP DET NOUN NOUN PART VERB VERB NOUN PRON PRON PRON ADP DET NOUN NOUN
He once ran a marathon for training, but only after running 15 miles to get to the start and ' warm up '.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PRON ADV VERB DET NOUN ADP NOUN CCONJ ADV ADP VERB NUM NOUN PART VERB ADP DET NOUN CCONJ PUNCT ADJ PART PUNCT	▁He ▁once ▁ran ▁a ▁mar ath on ▁for ▁training , ▁but ▁only ▁after ▁running ▁15 ▁miles ▁to ▁get ▁to ▁the ▁start ▁and ▁' ▁warm ▁up ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET NOUN NOUN NOUN ADP NOUN NOUN CCONJ ADV ADP VERB NUM NOUN PART VERB ADP DET NOUN CCONJ PUNCT ADJ PART PUNCT PUNCT
being shouted at running nine miles with three tonne of stuff you 'll never use on your back	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	VERB VERB ADP VERB NUM NOUN ADP NUM NOUN ADP NOUN PRON VERB ADV VERB ADP ADJ NOUN	▁being ▁shout ed ▁at ▁running ▁nine ▁miles ▁with ▁three ▁tonne ▁of ▁stuff ▁you ▁' ll ▁never ▁use ▁on ▁your ▁back	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB ADP VERB NUM NOUN ADP NUM NOUN ADP NOUN PRON VERB VERB ADV VERB ADP ADJ NOUN
If anyone had told her then that one day she would join the royal family she would have run a mile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	run a mile	figurative	identical	ADP NOUN VERB VERB PRON ADV DET NUM NOUN PRON VERB VERB DET ADJ NOUN PRON VERB VERB VERB DET NOUN	▁If ▁anyone ▁had ▁told ▁her ▁then ▁that ▁one ▁day ▁she ▁would ▁join ▁the ▁royal ▁family ▁she ▁would ▁have ▁run ▁a ▁ mile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP NOUN VERB VERB PRON ADV DET NUM NOUN PRON VERB VERB DET ADJ NOUN PRON VERB VERB VERB DET NOUN NOUN NOUN
Every morning that woman used to go to the beach and run three miles.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	run a mile	literal	determiner-broad	DET NOUN DET NOUN VERB PART VERB ADP DET NOUN CCONJ VERB NUM NOUN	▁Every ▁morning ▁that ▁woman ▁used ▁to ▁go ▁to ▁the ▁be ach ▁and ▁run ▁three ▁miles .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN DET NOUN VERB PART VERB ADP DET NOUN NOUN CCONJ VERB NUM NOUN NOUN
Owen Anderson kicks off by telling you the physical changes that occur when you run 26.2 miles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	run a mile	literal	combined-inflection	PROPN PROPN VERB PART ADP VERB PRON DET ADJ NOUN ADJ VERB ADV PRON VERB NUM NOUN	▁O wen ▁And erson ▁kick s ▁off ▁by ▁telling ▁you ▁the ▁physical ▁changes ▁that ▁occur ▁when ▁you ▁run ▁26 .2 ▁miles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PROPN PROPN PROPN PROPN VERB VERB PART ADP VERB PRON DET ADJ NOUN ADJ VERB ADV PRON VERB NUM NUM NOUN NOUN
‘ He hath unpacked his carriage and made it run a mile or two up and down in River's great room, making it carry the fire shovel, tongs and poker.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	identical	PUNCT PRON ADV VERB ADJ NOUN CCONJ VERB PRON VERB DET NOUN CCONJ NUM ADP CCONJ ADV ADP PROPN ADJ NOUN VERB PRON VERB DET NOUN NOUN NOUN CCONJ NOUN	▁ ‘ ▁He ▁hath ▁un pack ed ▁his ▁carriage ▁and ▁made ▁it ▁run ▁a ▁ mile ▁or ▁two ▁up ▁and ▁down ▁in ▁River ' s ▁great ▁room , ▁making ▁it ▁carry ▁the ▁fire ▁shovel , ▁to ng s ▁and ▁po ker .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON ADV VERB VERB VERB ADJ NOUN CCONJ VERB PRON VERB DET NOUN NOUN CCONJ NUM ADP CCONJ ADV ADP PROPN PROPN PROPN ADJ NOUN NOUN VERB PRON VERB DET NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN
' I 've been running three or four miles every day for a week, and using a trampoline at home to build up my fitness, and I 've been keeping a close eye on what I eat.	0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PUNCT PRON VERB VERB VERB NUM CCONJ NUM NOUN DET NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN PART VERB PART ADJ NOUN CCONJ PRON VERB VERB VERB DET ADJ NOUN ADP NOUN PRON VERB	▁' ▁I ▁' ve ▁been ▁running ▁three ▁or ▁four ▁miles ▁every ▁day ▁for ▁a ▁week , ▁and ▁using ▁a ▁tram po line ▁at ▁home ▁to ▁build ▁up ▁my ▁fitness , ▁and ▁I ▁' ve ▁been ▁keeping ▁a ▁close ▁eye ▁on ▁what ▁I ▁eat .	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB VERB VERB VERB NUM CCONJ NUM NOUN DET NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN NOUN NOUN ADP NOUN PART VERB PART ADJ NOUN NOUN CCONJ PRON VERB VERB VERB VERB DET ADJ NOUN ADP NOUN PRON VERB VERB
The runner with a good endurance base finds training easier, and will recover properly from it — that is why the top - class 10,000 m runners run 90 or 100 miles a week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0	run a mile	literal	combined-inflection	DET NOUN ADP DET ADJ NOUN NOUN VERB NOUN ADJ CCONJ VERB VERB ADV ADP PRON PUNCT DET VERB ADV DET ADJ PUNCT NOUN NUM NOUN NOUN VERB NUM CCONJ NUM NOUN DET NOUN	▁The ▁ runner ▁with ▁a ▁good ▁endurance ▁base ▁finds ▁training ▁easier , ▁and ▁will ▁recover ▁properly ▁from ▁it ▁ — ▁that ▁is ▁why ▁the ▁top ▁- ▁class ▁10,000 ▁m ▁run ners ▁run ▁90 ▁or ▁100 ▁miles ▁a ▁week .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	DET NOUN NOUN ADP DET ADJ NOUN NOUN VERB NOUN ADJ ADJ CCONJ VERB VERB ADV ADP PRON PUNCT PUNCT DET VERB ADV DET ADJ PUNCT NOUN NUM NOUN NOUN NOUN VERB NUM CCONJ NUM NOUN DET NOUN NOUN
