This in no way limited the cut - and - thrust of political disagreement.	0 0 0 0 0 0 1 0 1 0 1 0 0 0	cut and thrust	figurative	dashes	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN	▁This ▁in ▁no ▁way ▁limited ▁the ▁cut ▁- ▁and ▁- ▁thrust ▁of ▁political ▁disagreement .	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	DET ADP DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT NOUN ADP ADJ NOUN NOUN
The cut and thrust of debate and the pressures of executive responsibility, the essential features of open and responsible government, are not always conducive to a clear and unbiased explanation of the meaning of statutory language.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	DET NOUN CCONJ NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN DET ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB ADV ADV ADJ ADP DET ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN	▁The ▁cut ▁and ▁thrust ▁of ▁debate ▁and ▁the ▁pressures ▁of ▁executive ▁responsibility , ▁the ▁essential ▁features ▁of ▁open ▁and ▁responsible ▁government , ▁are ▁not ▁always ▁conduc ive ▁to ▁a ▁clear ▁and ▁un bia s ed ▁explanation ▁of ▁the ▁meaning ▁of ▁statutory ▁language .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN CCONJ NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN NOUN DET ADJ NOUN ADP ADJ CCONJ ADJ NOUN NOUN VERB ADV ADV ADJ ADJ ADP DET ADJ CCONJ ADJ ADJ ADJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN
Indeed, this sort of campaigning has given rise to a certain newspaper image — that Mr Kinnock is being protected from real people, shepherded into a succession of carefully - staged photo - opportunities designed to look good on television but a million miles away from the real cut and thrust of the hustings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADV DET NOUN ADP NOUN VERB VERB NOUN ADP DET ADJ NOUN NOUN PUNCT ADP PROPN PROPN VERB VERB VERB ADP ADJ NOUN VERB ADP DET NOUN ADP ADV PUNCT VERB NOUN PUNCT NOUN VERB PART VERB ADJ ADP NOUN CCONJ DET NUM NOUN ADV ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN	▁Indeed , ▁this ▁sort ▁of ▁campaign ing ▁has ▁given ▁rise ▁to ▁a ▁certain ▁newspaper ▁image ▁ — ▁that ▁Mr ▁Kin nock ▁is ▁being ▁protected ▁from ▁real ▁people , ▁she pher d ed ▁into ▁a ▁succession ▁of ▁carefully ▁- ▁stage d ▁photo ▁- ▁opportunities ▁designed ▁to ▁look ▁good ▁on ▁television ▁but ▁a ▁million ▁miles ▁away ▁from ▁the ▁real ▁cut ▁and ▁thrust ▁of ▁the ▁hu s ting s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADV ADV DET NOUN ADP NOUN NOUN VERB VERB NOUN ADP DET ADJ NOUN NOUN PUNCT PUNCT ADP PROPN PROPN PROPN VERB VERB VERB ADP ADJ NOUN NOUN VERB VERB VERB VERB ADP DET NOUN ADP ADV PUNCT VERB VERB NOUN PUNCT NOUN VERB PART VERB ADJ ADP NOUN CCONJ DET NUM NOUN ADV ADP DET ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
You could say this for the new position : it took us back a way from the medical cut and thrust.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	cut and thrust	figurative	identical	PRON VERB VERB DET ADP DET ADJ NOUN PUNCT PRON VERB PRON ADV DET NOUN ADP DET ADJ NOUN CCONJ NOUN	▁You ▁could ▁say ▁this ▁for ▁the ▁new ▁position ▁ : ▁it ▁took ▁us ▁back ▁a ▁way ▁from ▁the ▁medical ▁cut ▁and ▁thrust .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB DET ADP DET ADJ NOUN PUNCT PUNCT PRON VERB PRON ADV DET NOUN ADP DET ADJ NOUN CCONJ NOUN NOUN
The fight is less cut - and - thrust, much more a game of patient positioning.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	DET NOUN VERB ADV VERB PUNCT CCONJ PUNCT NOUN ADV ADJ DET NOUN ADP NOUN NOUN	▁The ▁fight ▁is ▁less ▁cut ▁- ▁and ▁- ▁thrust , ▁much ▁more ▁a ▁game ▁of ▁patient ▁positioning .	0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB PUNCT CCONJ PUNCT NOUN NOUN ADV ADJ DET NOUN ADP NOUN NOUN NOUN
Fair enough, I can take the honest cut and thrust of intellectual debate.	0 0 0 0 0 0 0 1 1 1 0 0 0	cut and thrust	figurative	identical	ADJ ADV PRON VERB VERB DET ADJ NOUN CCONJ NOUN ADP ADJ NOUN	▁Fair ▁enough , ▁I ▁can ▁take ▁the ▁honest ▁cut ▁and ▁thrust ▁of ▁intellectual ▁debate .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADJ ADV ADV PRON VERB VERB DET ADJ NOUN CCONJ NOUN ADP ADJ NOUN NOUN
More than an hour of cut - and - thrust football followed, and both goalkeepers, especially Simon Taylor of Clitheroe and Lancashire, were kept busy before David Mason sealed his team's first victory of the season.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	ADJ ADP DET NOUN ADP NOUN PUNCT CCONJ PUNCT NOUN NOUN VERB CCONJ DET NOUN ADV PROPN PROPN ADP PROPN CCONJ PROPN VERB VERB ADJ ADP PROPN PROPN VERB ADJ NOUN ADJ NOUN ADP DET NOUN	▁More ▁than ▁an ▁hour ▁of ▁cut ▁- ▁and ▁- ▁thrust ▁f ootball ▁followed , ▁and ▁both ▁goal keeper s , ▁especially ▁Simon ▁Taylor ▁of ▁C lit her oe ▁and ▁Lan ca shire , ▁were ▁kept ▁busy ▁before ▁David ▁Mas on ▁sealed ▁his ▁team ' s ▁first ▁victory ▁of ▁the ▁season .	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN ADP NOUN PUNCT CCONJ PUNCT NOUN NOUN NOUN VERB VERB CCONJ DET NOUN NOUN NOUN NOUN ADV PROPN PROPN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB VERB ADJ ADP PROPN PROPN PROPN VERB ADJ NOUN NOUN NOUN ADJ NOUN ADP DET NOUN NOUN
This is a cut - and - thrust spectacle where as many as 24 kites out of 25 have been cast off, their lines to float down in defeat within twenty minutes.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	dashes	DET VERB DET NOUN PUNCT CCONJ PUNCT ADJ NOUN ADV ADV ADJ ADP NUM NOUN ADP ADP NUM VERB VERB VERB PART ADJ NOUN PART VERB PART ADP NOUN ADP NUM NOUN	▁This ▁is ▁a ▁cut ▁- ▁and ▁- ▁thrust ▁spectacle ▁where ▁as ▁many ▁as ▁24 ▁kit es ▁out ▁of ▁25 ▁have ▁been ▁cast ▁off , ▁their ▁lines ▁to ▁float ▁down ▁in ▁defeat ▁within ▁twenty ▁minutes .	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN PUNCT CCONJ PUNCT ADJ NOUN ADV ADV ADJ ADP NUM NOUN NOUN ADP ADP NUM VERB VERB VERB PART PART ADJ NOUN PART VERB PART ADP NOUN ADP NUM NOUN NOUN
It has all the cut and thrust of an ideological conflict.	0 0 0 0 1 1 1 0 0 0 0	cut and thrust	figurative	identical	PRON VERB ADJ DET NOUN CCONJ NOUN ADP DET ADJ NOUN	▁It ▁has ▁all ▁the ▁cut ▁and ▁thrust ▁of ▁an ▁ideological ▁conflict .	0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB ADJ DET NOUN CCONJ NOUN ADP DET ADJ NOUN NOUN
She 'd known its cut and thrust on and off for years now.	0 0 0 0 1 1 1 0 0 0 0 0 0	cut and thrust	figurative	identical	PRON VERB VERB ADJ NOUN CCONJ VERB PART CCONJ ADV ADP NOUN ADV	▁She ▁' d ▁known ▁its ▁cut ▁and ▁thrust ▁on ▁and ▁off ▁for ▁years ▁now .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB VERB ADJ NOUN CCONJ VERB PART CCONJ ADV ADP NOUN ADV ADV
Yet it also signified, at another level, how pop music was responding to the undercurrents of the new mood of the country, and the pronouncements of an insistent, steely - haired woman in a blue twin - set about a sleeker, leaner Britain, built on the cut and thrust of the free market ; unfettered competition ; standing, as it was frequently said, on one's own two feet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut and thrust	figurative	identical	CCONJ PRON ADV VERB ADP DET NOUN ADV NOUN NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN ADP DET ADJ ADJ PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADJ PROPN VERB ADP DET NOUN CCONJ NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN PUNCT VERB ADP PRON VERB ADV VERB ADP PRON ADJ NUM NOUN	▁Yet ▁it ▁also ▁signifi ed , ▁at ▁another ▁level , ▁how ▁p op ▁music ▁was ▁responding ▁to ▁the ▁under current s ▁of ▁the ▁new ▁mood ▁of ▁the ▁country , ▁and ▁the ▁pronouncement s ▁of ▁an ▁in sistent , ▁steel y ▁- ▁hair ed ▁woman ▁in ▁a ▁blue ▁twin ▁- ▁set ▁about ▁a ▁sl e eker , ▁lean er ▁Britain , ▁built ▁on ▁the ▁cut ▁and ▁thrust ▁of ▁the ▁free ▁market ▁ ; ▁un f etter ed ▁competition ▁ ; ▁standing , ▁as ▁it ▁was ▁frequently ▁said , ▁on ▁one ' s ▁own ▁two ▁feet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON ADV VERB VERB VERB ADP DET NOUN NOUN ADV NOUN NOUN NOUN VERB VERB ADP DET NOUN NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN CCONJ DET NOUN NOUN ADP DET ADJ ADJ ADJ ADJ ADJ PUNCT ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN NOUN NOUN NOUN ADJ ADJ PROPN PROPN VERB ADP DET NOUN CCONJ NOUN ADP DET ADJ NOUN PUNCT PUNCT ADJ ADJ ADJ ADJ NOUN PUNCT PUNCT VERB VERB ADP PRON VERB ADV VERB VERB ADP PRON PRON PRON ADJ NUM NOUN NOUN
