Are there two types, left and right handed rockers and how can you tell the castings apart? c.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB ADV NUM NOUN VERB CCONJ NOUN ADJ NOUN CCONJ ADV VERB PRON VERB DET NOUN ADV ADJ
The guards are removed so great care has to be taken and hands kept well clear of the blade ( below left and right ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	DET NOUN VERB VERB ADV ADJ NOUN VERB PART VERB VERB CCONJ NOUN VERB ADV ADJ ADP DET NOUN PUNCT ADP ADJ CCONJ NOUN PUNCT
Levy ( 1974a ) suggests as a solution to the problem of bias that one should estimate dominance proportions from the relative frequency of left and right sided lesions among non - aphasic brain - damaged patients.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	NOUN PUNCT NUM PUNCT VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADJ PRON VERB VERB NOUN NOUN ADP DET ADJ NOUN ADP ADJ CCONJ ADJ ADJ NOUN ADP ADJ PUNCT NOUN NOUN PUNCT VERB NOUN
Of course, there are also basic left and right outs to power amps and the like, and the single input into the TriAxis is round here too.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV ADV ADV VERB ADV ADJ ADJ CCONJ ADJ NOUN ADP NOUN NOUN CCONJ DET ADJ CCONJ DET ADJ NOUN ADP DET PROPN VERB ADV ADV ADV
Left and right, prizewinners Rosemary Smith and John Clyde ; centre left and right, Ashley Meyer — Managing Director of Lillywhites — and Ally Tidbury — Ski Club of Great Britain.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB CCONJ INTJ VERB PROPN PROPN CCONJ PROPN PROPN PUNCT NOUN VERB CCONJ ADV PROPN PROPN PUNCT PROPN PROPN ADP PROPN PUNCT CCONJ PROPN PROPN PUNCT PROPN PROPN ADP PROPN PROPN
When the pressures of the market and of urban local democracy ( which had earlier restricted rural development ) were replaced by ministerial investment control and rural pressure group activity at the national level, the consequences for efficiency and equality were not always those which the rival contemporary slogans of left and right might lead one to expect from them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	left and right	figurative	identical	ADV DET NOUN ADP DET NOUN CCONJ ADP ADJ ADJ NOUN PUNCT ADJ VERB ADV VERB ADJ NOUN PUNCT VERB VERB ADP ADJ NOUN NOUN CCONJ ADJ NOUN NOUN NOUN ADP DET ADJ NOUN DET NOUN ADP NOUN CCONJ NOUN VERB ADV ADV DET ADJ DET ADJ ADJ NOUN ADP ADJ CCONJ NOUN VERB VERB PRON PART VERB ADP PRON
Kinsbourne ( 1972 ) and Kocel, Galin, Ornstein and Merrin ( 1972 ) attempted to differentially engage the left and right hemispheres by asking different types of questions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	left and right	literal	identical	PROPN PUNCT NUM PUNCT CCONJ PROPN PROPN PROPN CCONJ PROPN PUNCT NUM PUNCT VERB PART ADV VERB DET ADJ CCONJ ADJ NOUN ADP VERB ADJ NOUN ADP NOUN
The IMF has long been a whipping boy for both left and right – the former because of the Fund ’s emphasis on fiscal rectitude and economic orthodoxy, and the latter because of its role in bailing out indebted nations.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET PROPN VERB ADV VERB DET VERB NOUN ADP DET ADJ CCONJ ADV PUNCT DET ADJ ADP ADP DET PROPN PART NOUN ADP ADJ ADJ CCONJ ADJ NOUN CCONJ DET ADJ ADP ADP ADJ NOUN ADP VERB PART ADJ NOUN
The Pinewood Youth Club youth committee pictured at a meeting on Monday with youth workers Sue Hornsby and Kevin Howpett ( left and second right ) and Val Bethell ( third left ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	left and right	literal	insertion-other	DET PROPN PROPN PROPN NOUN NOUN VERB ADP DET NOUN ADP PROPN ADP NOUN NOUN PROPN PROPN CCONJ PROPN PROPN PUNCT VERB CCONJ ADJ NOUN PUNCT CCONJ PROPN PROPN PUNCT ADV NOUN PUNCT
Model lasts — from which 10 to 12 production lasts are made for left and right feet — have to be made in five widths for each of 10 sizes.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PROPN VERB PUNCT ADP ADJ NUM PART NUM NOUN NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN PUNCT VERB PART VERB VERB ADP NUM NOUN ADP DET ADP NUM NOUN
In investigations of cerebral asymmetry, therefore, electrode leads from various positions over left and right hemispheres are often linked to a common reference site at which underlying activity is unlikely to be affected by variables manipulated in the experiment.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP NOUN ADP ADJ NOUN ADV NOUN VERB ADP ADJ NOUN ADP ADJ CCONJ ADJ NOUN VERB ADV VERB ADP DET ADJ NOUN NOUN ADP ADJ ADJ NOUN VERB ADJ PART VERB VERB ADP NOUN VERB ADP DET NOUN
" Ronpari " is a word that designates those whose eyes don't look straight, but in different directions to the left and right, as if they were looking at Paris and London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PUNCT PROPN PUNCT VERB DET NOUN ADJ VERB DET ADJ NOUN VERB VERB ADV CCONJ ADP ADJ NOUN ADP DET NOUN CCONJ INTJ ADP ADP PRON VERB VERB ADP PROPN CCONJ PROPN
I don't intend to discuss the housing, whether seven hundred acres, sorry seven l land for seven hundred houses is owned by the City of York, that's not part of our case one way or the other, but we have offered you a distribution of the Greater York provision figure between the districts, because from Barton Willmore's very extensive experience of participation in local plan work up and down the country, I think we share the view that er City of York have, that Ryedale have, my colleagues to the left and right on this side of the table have, that there does need to be a distribution, otherwise there will be at best confusion as to whether local plans comply with the structure plan, and at worst a game of of pass the parcel and everybody will be conforming, but nobody will actually be possibly meeting the figures, and that is the situation that I don't think anybody would wish to see as a result of er the outcome of of alteration number three, I mean I don't know how the County Council would would really be able to to say whether they thought a local plan conformed to the structure plan, without knowing what that distribution was, perhaps in some bottom draw manner which is not now the approved way of going about these things, so that I think there does need to be a distribution for the proper planning of York, and before coming on to our to explain our figures a little bit, I should also say, perhaps in in response to remarks Mr Thomas made earlier on about the general character of the York area and the need to to protect that, that that course is precisely what the greenbelt is for, and what it does, it isn't necessary to extend that concept across the whole of the vale of York, and therefore to seek to er discount migration outside the greenbelt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PRON VERB VERB PART VERB DET NOUN ADP NUM NUM NOUN INTJ NUM NOUN NOUN ADP NUM NUM NOUN VERB VERB ADP DET PROPN ADP PROPN DET ADV NOUN ADP ADJ NOUN NUM NOUN CCONJ DET ADJ CCONJ PRON VERB VERB PRON DET NOUN ADP DET PROPN PROPN NOUN NOUN ADP DET NOUN ADP ADP PROPN PROPN ADV ADJ NOUN ADP NOUN ADP ADJ NOUN VERB PART CCONJ ADP DET NOUN PRON VERB PRON VERB DET NOUN ADP INTJ PROPN ADP PROPN VERB ADP PROPN VERB ADJ NOUN ADP DET NOUN CCONJ ADV ADP DET NOUN ADP DET NOUN VERB ADP ADV VERB VERB PART VERB DET NOUN ADV ADV VERB VERB ADP ADJ NOUN ADP ADP ADP ADJ NOUN VERB ADP DET NOUN NOUN CCONJ ADP ADV DET NOUN ADP ADP VERB DET NOUN CCONJ NOUN VERB VERB VERB CCONJ NOUN VERB ADV VERB ADV VERB DET NOUN CCONJ DET VERB DET NOUN ADJ PRON VERB VERB NOUN VERB VERB PART VERB ADP DET NOUN ADP INTJ DET NOUN ADP ADP NOUN NOUN NUM PRON VERB PRON VERB VERB ADV DET PROPN PROPN VERB VERB ADV VERB ADJ PART PART VERB ADP PRON VERB DET ADJ NOUN VERB ADP DET NOUN NOUN ADP VERB NOUN DET NOUN VERB ADV ADP DET ADJ NOUN NOUN ADJ VERB ADV ADV DET VERB NOUN ADP VERB ADP DET NOUN ADP ADP PRON VERB ADV VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP PROPN CCONJ ADP VERB PART ADP ADJ PART VERB ADJ NOUN DET ADJ NOUN PRON VERB ADV VERB ADV ADP ADP NOUN ADP NOUN PROPN PROPN VERB ADV ADP ADP DET ADJ NOUN ADP DET PROPN NOUN CCONJ DET NOUN PART PART VERB DET ADP DET NOUN VERB ADV NOUN DET NOUN VERB ADP CCONJ NOUN PRON VERB PRON VERB ADJ PART VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN CCONJ ADV PART VERB ADP INTJ NOUN NOUN ADP DET NOUN
Nonetheless any differences in some aspect of the responses made by subjects to stimuli presented in left and right visual fields may plausibly be attributed, in the absence of more compelling alternative explanations, to differences of one kind or another between left and right cerebral hemispheres, at least where a visual field effect clearly over - rides the effect of stimulus - response compatibility factors ( e.g. Anzola, Bertolini, Buchtel and Rizzolatti, 1977 ) and/or procedures to counterbalance the effect of the responding hand are incorporated into the experimental design.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV DET NOUN ADP DET NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN VERB ADP ADJ CCONJ ADJ ADJ NOUN VERB ADV VERB VERB ADP DET NOUN ADP ADV ADJ ADJ NOUN ADP NOUN ADP NUM NOUN CCONJ DET ADP ADJ CCONJ ADJ ADJ NOUN ADP ADJ ADV DET ADJ NOUN NOUN ADV ADP PUNCT NOUN DET NOUN ADP NOUN PUNCT NOUN NOUN NOUN PUNCT ADV PROPN PROPN PROPN CCONJ PROPN NUM PUNCT CCONJ NOUN PART VERB DET NOUN ADP DET VERB NOUN VERB VERB ADP DET ADJ NOUN
With my friends Wilma and the other Wanda ( left and right )	0 0 0 0 0 0 0 0 0 1 1 1 0	left and right	literal	identical	ADP ADJ NOUN PROPN CCONJ DET ADJ PROPN PUNCT VERB CCONJ NOUN PUNCT
Once you have explored the first match — which you can do using the left and right arrow keys, press the Down arrow to find the next record ( pressing the up arrow goes to the previous record ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP PRON VERB VERB DET ADJ NOUN PUNCT ADJ PRON VERB VERB VERB DET ADJ CCONJ ADJ NOUN NOUN VERB DET ADJ NOUN PART VERB DET ADJ NOUN PUNCT VERB DET PART NOUN VERB ADP DET ADJ NOUN PUNCT
Chief among these is that of ensuring that left and right hemisphere damaged groups are appropriately matched in extent and type of pathology as well as in locus of lesion.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PROPN ADP DET VERB DET ADP VERB ADP VERB CCONJ ADV VERB VERB NOUN VERB ADV VERB ADP NOUN CCONJ NOUN ADP NOUN ADV ADV ADP ADP NOUN ADP NOUN
To unhide the columns, select the columns to the left and right of the hidden columns.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	left and right	literal	identical	PART VERB DET NOUN VERB DET NOUN ADP DET NOUN CCONJ NOUN ADP DET VERB NOUN
She could hear Mrs Owen being castigated for not having turned right and left, instead of left and right, to Haematology, seeing as it was her first time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PRON VERB VERB PROPN PROPN VERB VERB ADP ADV VERB VERB ADV CCONJ VERB ADV ADP ADJ CCONJ INTJ ADP PROPN VERB ADP PRON VERB ADJ ADJ NOUN
Hence, in view of the dubious validity of interpreting dichotic and tachistoscopic asymmetry in terms of left and right hemisphere speech dominance, recourse must be made to estimates based on samples of brain damaged patients, but here, too, problems arise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV ADP NOUN ADP DET ADJ NOUN ADP VERB ADJ CCONJ ADJ NOUN ADP NOUN ADP ADJ CCONJ ADJ ADJ NOUN NOUN VERB VERB VERB VERB ADP NOUN VERB ADP NOUN ADP NOUN VERB NOUN CCONJ ADV ADV NOUN VERB
a heating and ventilation system that includes separate heating controls for left and right - hand sides of the cabin, with ducting for back - seat passengers	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET NOUN CCONJ NOUN NOUN ADJ VERB ADJ NOUN NOUN ADP ADJ CCONJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP VERB ADP NOUN PUNCT NOUN NOUN
Unlike normal handsaws, where teeth are set alternatively left and then right, only every third tooth of the XT saws is alternatively set.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	insertion-other	ADP ADJ NOUN ADV NOUN VERB VERB ADV VERB CCONJ ADV INTJ ADV DET ADJ NOUN ADP DET PROPN NOUN VERB ADV VERB
When digits are presented in pairs to left and right ears, there is an almost universal tendency ( Broadbent, 1954 ) for subjects to report all of the items presented to one ear before reporting those items presented to the other ear.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV NOUN VERB VERB ADP NOUN ADP VERB CCONJ ADJ NOUN ADV VERB DET ADV ADJ NOUN PUNCT PROPN NUM PUNCT ADP NOUN PART VERB DET ADP DET NOUN VERB ADP NUM NOUN ADP VERB DET NOUN VERB ADP DET ADJ NOUN
These scissors are suitable for left and right - handed people.	0 0 0 0 0 1 1 1 0 0 0	left and right	literal	identical	DET NOUN VERB ADJ ADP ADJ CCONJ ADJ PUNCT ADJ NOUN
Many full - length zip bags are available in left and right hand versions enabling two to be zipped together.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	left and right	literal	identical	ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADJ ADP ADJ CCONJ ADJ NOUN NOUN VERB NUM PART VERB VERB ADV
Subjects hear words in left and right ears and are required to make a manual response on detecting a specified target word in either ear.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	NOUN VERB NOUN ADP ADJ CCONJ ADJ NOUN CCONJ VERB VERB PART VERB DET ADJ NOUN ADP VERB DET VERB NOUN NOUN ADP DET NOUN
Artai was bowing to left and right now, the last time in his life he would ever be required to offer courtesy to others.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PROPN VERB VERB PART VERB CCONJ ADV ADV DET ADJ NOUN ADP ADJ NOUN PRON VERB ADV VERB VERB PART VERB NOUN ADP NOUN
Interest therefore centres on the notion that left and right cerebral hemispheres differ in the processes which they characteristically employ or in some other aspect of information processing.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	NOUN ADV VERB ADP DET NOUN ADP VERB CCONJ ADJ ADJ NOUN VERB ADP DET NOUN ADJ PRON ADV VERB CCONJ ADP DET ADJ NOUN ADP NOUN NOUN
Rather, future and past are just directions, like up and down, left and right, forward and back, in something called space - time.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV NOUN CCONJ NOUN VERB ADV NOUN ADP ADP CCONJ ADV VERB CCONJ INTJ ADV CCONJ ADV ADP NOUN VERB NOUN PUNCT NOUN
While the above findings suggest that highly concrete words are equally well recognised in left and right hemispheres, it is conceivable that the relevant factor is not concreteness or imageability, per se, but some other factor which co - varies with imageability.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP DET ADJ NOUN VERB ADP ADV ADJ NOUN VERB ADV ADV VERB ADP ADJ CCONJ ADJ NOUN PRON VERB ADJ ADP DET ADJ NOUN VERB ADV ADJ CCONJ NOUN X X CCONJ DET ADJ NOUN ADJ NOUN PUNCT VERB ADP NOUN
However, the split - brain findings may not apply to normal subjects, and attempts to compare the relative effects of damage to left and right sides of the brain are notoriously fraught with problems.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADV DET ADJ PUNCT NOUN NOUN VERB ADV VERB ADP ADJ NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN ADP VERB CCONJ ADJ NOUN ADP DET NOUN VERB ADV ADJ ADP NOUN
The relative frequency of left and right sided lesions among the total aphasic population is calculated.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET ADJ NOUN ADP ADJ CCONJ ADJ ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB
At the grand age of 74, Mr Schmidt has appointed himself Germany's agony - aunt and scold, dishing out advice to politicians left and right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	left and right	figurative	identical	ADP DET ADJ NOUN ADP NUM PROPN PROPN VERB VERB PRON PROPN NOUN PUNCT NOUN CCONJ ADJ VERB PART NOUN ADP NOUN VERB CCONJ INTJ
Two passengers were operating lap - top computers when a Boeing 747 - 400 started oscillating left and right during flight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	NUM NOUN VERB VERB NOUN PUNCT ADJ NOUN ADV DET PROPN PROPN SYM NUM VERB VERB ADJ CCONJ ADV ADP NOUN
New French findings hint that the tetrapods probably hopped like kangaroos, as their tracks show left and right hind footprints in parallel, rather than alternating, some reaching up to two - metre intervals.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADJ ADJ NOUN VERB ADP DET NOUN ADV VERB ADP NOUN ADP ADJ NOUN VERB VERB CCONJ ADJ NOUN NOUN ADP NOUN ADV ADP VERB DET VERB ADP PART NUM PUNCT NOUN NOUN
A gold medal was awarded to James Mortimer for his pair of ebony candlesticks with left and right - hand twists ( left ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	left and right	literal	identical	DET NOUN NOUN VERB VERB ADP PROPN PROPN ADP ADJ NOUN ADP NOUN NOUN ADP ADJ CCONJ ADJ PUNCT NOUN NOUN PUNCT VERB PUNCT
If this is so, and if there is a sighting or acuity difference between a subject's left and right eyes, then either the left or the right nasal pathway may be favoured accordingly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP DET VERB ADV CCONJ ADP ADV VERB DET NOUN CCONJ NOUN NOUN ADP DET NOUN ADJ CCONJ ADJ NOUN ADV CCONJ DET NOUN CCONJ DET ADJ ADJ NOUN VERB VERB VERB ADV
To be able to join these co - ordinates together in order to recreate the shape there must be some form of movement and so the pen is fixed to a travelling gantry that can move in the × axis ( left and right ) while the pen moves along the gantry in the y axis ( up and down ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	PART VERB ADJ PART VERB DET NOUN PUNCT NOUN ADV ADP NOUN PART VERB DET NOUN ADV VERB VERB DET NOUN ADP NOUN CCONJ ADV DET NOUN VERB VERB ADP DET VERB NOUN ADJ VERB VERB ADP DET NOUN NOUN PUNCT VERB CCONJ INTJ PUNCT ADP DET NOUN NOUN ADP DET NOUN ADP DET PRON NOUN PUNCT ADV CCONJ ADV PUNCT
Fly right to the platform under the last button you hit, go up and collect the arrow, go down and right, go left and right through the platforms to get to the bottom, at the bottom go up the other side of the wall, collect the star and fly left over the spikes, collect the arrow and recharge your flying abilities on the star, fly right and go down, go right to the star in the grass, collect it and fly up, push the crate down, fall down.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	VERB ADV ADP DET NOUN ADP DET ADJ NOUN PRON VERB VERB PART CCONJ VERB DET NOUN VERB ADV CCONJ INTJ VERB ADJ CCONJ ADV ADP DET NOUN PART VERB ADP DET NOUN ADP DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN VERB DET NOUN CCONJ VERB VERB ADP DET NOUN VERB DET NOUN CCONJ VERB ADJ VERB NOUN ADP DET NOUN VERB ADV CCONJ VERB ADV VERB ADV ADP DET NOUN ADP DET NOUN VERB PRON CCONJ VERB PART VERB DET NOUN PART VERB PART
Hawke's new Cabinet involved numerous changes in ministerial responsibility, and six new junior ministers were appointed, although the overall balance of representation between the ALP's left and right wings remained largely unchanged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	left and right	literal	identical	PROPN ADJ PROPN VERB ADJ NOUN ADP ADJ NOUN CCONJ NUM ADJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP NOUN ADP DET PROPN ADJ CCONJ ADJ NOUN VERB ADV ADJ
However, reversal from left to right visual field superiority was observed by Kaufer, Morais and Bertelson ( 1975 ) when they investigated the effect of presenting a Landolt's ring at fixation for subjects to report the position of a small gap in the ring prior to recalling the stimuli presented in the left and right visual fields.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	ADV NOUN ADP VERB ADP ADJ ADJ NOUN NOUN VERB VERB ADP PROPN PROPN CCONJ PROPN PUNCT NUM PUNCT ADV PRON VERB DET NOUN ADP VERB DET PROPN NOUN ADP NOUN ADP NOUN PART VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADV ADP VERB DET NOUN VERB ADP DET ADJ CCONJ ADJ ADJ NOUN
Underhill whipped out a jemmy from his pocket and began striking left and right.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	left and right	literal	identical	PROPN VERB PART DET NOUN ADP ADJ NOUN CCONJ VERB VERB VERB CCONJ ADJ
After sorting out our bases we cut a couple of small gaps in the reeds to our left and right and put in the rests for the cat rods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	left and right	literal	identical	ADP VERB PART ADJ NOUN PRON VERB DET NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ INTJ CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN
A passageway crossed left and right before her ; a little way along the right - hand corridor she could see a wide opening in the wall, and through it the first few steps of a wide staircase leading upwards.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	identical	DET NOUN VERB ADV CCONJ ADV ADP PRON PUNCT DET ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ ADP PRON DET ADJ ADJ NOUN ADP DET ADJ NOUN NOUN ADV
Aylwin, reflecting demands from the Catholic church and from left- and right - wing politicians for a full inquiry, stated on June 21 that, if the courts determined individual responsibilities for human rights abuses, one of the consequences would be " the retirement of those guilty of such responsibilities ".	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	left and right	literal	dashes	PROPN VERB NOUN ADP DET ADJ NOUN CCONJ ADP ADJ CCONJ ADJ PUNCT NOUN NOUN ADP DET ADJ NOUN VERB ADP PROPN NUM ADP ADP DET NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN NUM ADP DET NOUN VERB VERB PUNCT DET NOUN ADP DET ADJ ADP ADJ NOUN PUNCT
Yet if a naso - temporal difference exists for one eye but not for the other, the set - up is not balanced with respect to left and right visual fields.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	left and right	literal	identical	CCONJ ADP DET NOUN PUNCT ADJ NOUN VERB ADP NUM NOUN CCONJ ADV ADP DET ADJ DET NOUN PUNCT NOUN VERB ADV VERB ADP NOUN ADP VERB CCONJ ADJ ADJ NOUN
