She opened her eyes and said emphatically, ‘ No good.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADV PUNCT ADV ADJ
There were moments during the Mass when the litanies and prayers, the censers swinging to and fro and the smell of incense made her feel lightheaded, and she was able to believe that she was not really present, not really being married at all, and that at any moment she might open her eyes and awake, to find herself back in Corcaguiney, with the wind ruffling the water across Dingle Harbour and the cloud shadows sailing over the mountain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	possessive	ADV VERB NOUN ADP DET PROPN ADV DET NOUN CCONJ NOUN DET NOUN VERB ADP CCONJ NOUN CCONJ DET NOUN ADP NOUN VERB PRON VERB ADJ CCONJ PRON VERB ADJ PART VERB ADP PRON VERB ADV ADV ADJ ADV ADV VERB VERB ADV ADV CCONJ ADP ADP DET NOUN PRON VERB VERB ADJ NOUN CCONJ ADJ PART VERB PRON PART ADP PROPN ADP DET NOUN VERB DET NOUN ADP PROPN PROPN CCONJ DET NOUN NOUN VERB ADP DET NOUN
I opened my eyes and gulped, breathing deeply.	0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB VERB ADV
When she opened her eyes and saw Patrick standing in the room she started up with a cry.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN CCONJ VERB PROPN VERB ADP DET NOUN PRON VERB PART ADP DET NOUN
He opened his eyes and sat up in bed as Anna came in holding a mug of coffee.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB PART ADP NOUN ADP PROPN VERB ADP VERB DET NOUN ADP NOUN
Tug could tell that she was desperately in earnest by the way she opened her eyes wide and by the little sudden lift of her eyebrows.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	NOUN VERB VERB ADP PRON VERB ADV ADP NOUN ADP DET NOUN PRON VERB ADJ NOUN ADJ CCONJ ADP DET ADJ ADJ NOUN ADP ADJ NOUN
He opened his eyes, saw her and struggled to sit up.	0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN VERB PRON CCONJ VERB PART VERB PART
And, as industry opens its eyes to the benefits of computer services, the balance is now changing.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	CCONJ ADP NOUN VERB ADJ NOUN ADP DET NOUN ADP NOUN NOUN DET NOUN VERB ADV VERB
Now, she couldn't open her eyes.	0 0 0 1 1 1	open someone's eyes	literal	possessive	ADV PRON VERB VERB ADJ NOUN
And she hadn't even opened her eyes yet.	0 0 0 0 1 1 1 0	open someone's eyes	literal	combined-inflection	CCONJ PRON VERB ADV VERB ADJ NOUN ADV
He was the blond man she had first seen when she opened her eyes under the tree.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB DET ADJ NOUN PRON VERB ADV VERB ADV PRON VERB ADJ NOUN ADP DET NOUN
What the year in Montreal managed ( somehow ) was to take both these things, then open my eyes to what I could really do with them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	figurative	possessive	NOUN DET NOUN ADP PROPN VERB PUNCT ADV PUNCT VERB PART VERB CCONJ DET NOUN ADV VERB ADJ NOUN ADP NOUN PRON VERB ADV VERB ADP PRON
She opened her eyes again, not remembering closing them to shut out the blueness, but it was still there and her mind was spiked with pain.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV ADV VERB VERB PRON PART VERB PART DET NOUN CCONJ PRON VERB ADV ADV CCONJ ADJ NOUN VERB VERB ADP NOUN
He remembered opening his eyes, and seeing it was Sandra holding his hand, and feeling shocked.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ VERB PRON VERB PROPN VERB ADJ NOUN CCONJ VERB ADJ
In the Furness area his eyes had been opened to the beauties of nature and he wished to portray it all.	0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	misc	ADP DET PROPN NOUN ADJ NOUN VERB VERB VERB ADP DET NOUN ADP NOUN CCONJ PRON VERB PART VERB PRON DET
As the teacher looked, Belle opened her eyes and sat up with a radiant smile.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADP DET NOUN VERB PROPN VERB ADJ NOUN CCONJ VERB PART ADP DET ADJ NOUN
Luce opened her eyes to find that a burly stranger in workmen's overalls was at the wheel, and she was lying cradled against Michele's chest, her head on his shoulder.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN PART VERB ADP DET ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN CCONJ PRON VERB VERB VERB ADP PROPN NOUN ADJ NOUN ADP ADJ NOUN
I opened my eyes and turned around to face her.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB PART PART VERB PRON
In an astonishing blend of verse, superb pictures and prose, our eyes are opened to the elephant's grace, social sophistication, sensitivity and gentle power.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	misc	ADP DET ADJ NOUN ADP NOUN ADJ NOUN CCONJ VERB ADJ NOUN VERB VERB ADP DET NOUN NOUN ADJ NOUN NOUN CCONJ ADJ NOUN
He opened his eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
He had seen it happen, like a click of the fingers, the start of life, when the foal opened its eyes and looked at him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB VERB PRON VERB ADP DET NOUN ADP DET NOUN DET NOUN ADP NOUN ADV DET NOUN VERB ADJ NOUN CCONJ VERB ADP PRON
I stood a few yards away from him, my sandalled feet feeling the mossy lawn underneath,— and then he opened his eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB DET ADJ NOUN ADV ADP PRON ADJ VERB NOUN VERB DET NOUN NOUN ADJ CCONJ ADV PRON VERB ADJ NOUN
Claudia opens her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	NOUN VERB ADJ NOUN
Then suddenly the boy rolled over onto his back, opened his eyes — the palest milky blue — and looked at them.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV ADV DET NOUN VERB PART ADP ADJ NOUN VERB ADJ NOUN PUNCT DET ADJ ADJ ADJ PUNCT CCONJ VERB ADP PRON
When he opened his eyes, he could see her face quite clearly, it was so close to his.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PRON VERB VERB ADJ NOUN ADV ADV PRON VERB ADV ADJ ADP PRON
Susan opened her eyes, and surveyed her handiwork.	0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN
Impulsively she touched her lips to his shoulder and he stirred sleepily, smiling as he opened his eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB ADV VERB ADP PRON VERB ADJ NOUN
She opened her eyes and smiled at him.	0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADP PRON
I gave a little meow to get his attention and he opened his eyes.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB DET ADJ NOUN PART VERB ADJ NOUN CCONJ PRON VERB ADJ NOUN
It opened my eyes when I first went there.	0 1 1 1 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	PRON VERB ADJ NOUN ADV PRON ADV VERB ADV
And you 're to be a man! " said the child, opening her eyes, " and are never to come back here ; but first, we 're to be together all the Christmas long, and have the merriest time in all the world. "	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	CCONJ PRON VERB PART VERB DET NOUN PUNCT VERB DET NOUN VERB ADJ NOUN PUNCT CCONJ VERB ADV PART VERB ADV ADV PUNCT CCONJ ADV PRON VERB PART VERB ADV ADJ DET PROPN ADV CCONJ VERB DET ADJ NOUN ADP ADJ DET NOUN PUNCT
Mildred opened her eyes and breathed a huge sigh of relief.	0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB DET ADJ NOUN ADP NOUN
He opened his eyes very wide and leaned towards her.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV ADV CCONJ VERB ADP PRON
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
He could hear the dawn chorus in full concert, and when he opened his eyes unwillingly light was filtering faintly through the curtains.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB VERB DET NOUN NOUN ADP ADJ NOUN CCONJ ADV PRON VERB ADJ NOUN ADV NOUN VERB VERB ADV ADP DET NOUN
When he opened his eyes, the taste of blood sharp in his mouth, he expected to see the assassin disappearing into the shadows of the park, but the bizarre Mr Pie was standing at the kerb looking back at him.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN DET NOUN ADP NOUN ADJ ADP ADJ NOUN PRON VERB PART VERB DET NOUN VERB ADP DET NOUN ADP DET NOUN CCONJ DET ADJ PROPN PROPN VERB VERB ADP DET NOUN VERB ADV ADP PRON
Wearily, Gazzer opened his eyes.	0 0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN
When I opened my eyes again, all ~ of ~ a ~ sudden an unknown lady was standing right in front of me.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN ADV DET PUNCT ADP PUNCT DET PUNCT ADJ DET ADJ NOUN VERB VERB ADV ADP NOUN ADP PRON
Peggy opened her eyes and turned her head sharply and looked at her grandmother.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN ADV CCONJ VERB ADP ADJ NOUN
It was difficult to tell the passage of time, but when Blake opened his eyes they appeared to be within reach of the rising smoke.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ PART VERB DET NOUN ADP NOUN CCONJ ADV PROPN VERB ADJ NOUN PRON VERB PART VERB ADP NOUN ADP DET VERB NOUN
She opened her eyes briefly.	0 1 1 1 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN NOUN
She opened her eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN
This time when he opened his eyes her face was turned towards him.	0 0 0 0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	DET NOUN ADV PRON VERB ADJ NOUN ADJ NOUN VERB VERB ADP PRON
At this she opened her bleared eyes wide, and cast a sinister glance first at me and then at the old man.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADP DET PRON VERB ADJ ADJ NOUN ADJ CCONJ VERB DET ADJ NOUN ADV ADP PRON CCONJ ADV ADP DET ADJ NOUN
Mrs Stych opened her eyes slowly and looked at him as if he had gone mad.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN ADV CCONJ VERB ADP PRON ADP ADP PRON VERB VERB ADJ
" Only one thing could open the French people's eyes — fear, " he had told one of his former advisers shortly after resigning in 1946.	0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	PUNCT ADV NUM NOUN VERB VERB DET ADJ NOUN NOUN PUNCT NOUN PUNCT PRON VERB VERB NUM ADP ADJ ADJ NOUN ADV ADP VERB ADP NUM
The kisses moved to her face and she opened her eyes.	0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	combined-inflection	DET NOUN VERB ADP ADJ NOUN CCONJ PRON VERB ADJ NOUN
She opened her eyes again and saw, hazily at first, Oliver.	0 1 1 1 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV CCONJ VERB ADV ADP ADV PROPN
I open my eyes and push myself up.	0 1 1 1 0 0 0 0	open someone's eyes	literal	possessive	PRON VERB ADJ NOUN CCONJ VERB PRON PART
He opened his eyes again ; the old butler looked at him anxiously.	0 1 1 1 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN ADV PUNCT DET ADJ NOUN VERB ADP PRON ADV
‘ I opened my eyes as Peter walked in,’ says Avril.	0 0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PUNCT PRON VERB ADJ NOUN ADP PROPN VERB PROPN VERB PROPN
When I opened my eyes again, the carriage was standing beneath tall linden - trees, on the other side of which a broad flight of steps led between columns into a magnificent castle.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN ADV DET NOUN VERB VERB ADP ADJ NOUN PUNCT NOUN ADP DET ADJ NOUN ADP ADJ DET ADJ NOUN ADP NOUN VERB ADP NOUN ADP DET ADJ NOUN
John opens his eyes.	0 1 1 1	open someone's eyes	literal	combined-inflection	PROPN VERB ADJ NOUN
He opened his eyes to see Jenny there with a horse at her side, and he smiled.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN PART VERB PROPN ADV ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB
