Cut down to the bone to avoid excessive wastage.	0 0 1 0 1 0 0 0 0	to the bone	literal	identical	VERB PART ADP DET NOUN PART VERB ADJ NOUN
It was not an animal you 'd care to tangle with, not even for the sake of the high - k meat that clung to its bones, not while rats were smaller and had less impressive jaws and could, besides, be sold to the lower - Level kind for a bounty of six minims per head, not to mention what their meat and skin would fetch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	determiner-broad	PRON VERB ADV DET NOUN PRON VERB VERB PART VERB ADP ADV ADV ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN ADJ VERB ADP ADJ NOUN ADV ADP NOUN VERB ADJ CCONJ VERB ADV ADJ NOUN CCONJ VERB ADV VERB VERB ADP DET ADJ PUNCT NOUN NOUN ADP DET NOUN ADP NUM NOUN ADP NOUN ADV PART VERB NOUN ADJ NOUN CCONJ NOUN VERB VERB
A mouth that trembled and opened to expose pointed thorns for teeth seemed to work to speak ; over all, the shape of the woodland creature was that of a wolf, but a bare boned wolf, its fur gone, its flesh shrunken on to the jutting bones of its body.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	to the bone	literal	combined-inflection	DET NOUN ADJ VERB CCONJ VERB PART VERB ADJ NOUN ADP NOUN VERB PART VERB PART VERB PUNCT ADP DET DET NOUN ADP DET NOUN NOUN VERB DET ADP DET NOUN CCONJ DET NOUN VERB NOUN ADJ NOUN VERB ADJ NOUN NOUN ADP ADP DET VERB NOUN ADP ADJ NOUN
The cold wind closed around her like an icy fist, chilling her to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	DET ADJ NOUN VERB ADP PRON ADP DET NOUN NOUN VERB PRON ADP DET NOUN
Just as the adventurers are making ( or breaking ) camp, a thin mist drifts across their camp site, chilling everybody to the bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	ADV ADP DET NOUN VERB VERB PUNCT CCONJ VERB PUNCT NOUN DET ADJ NOUN VERB ADP ADJ NOUN NOUN VERB NOUN ADP DET NOUN
The stink of this bee makes ‘ pain to the bone’, and we used to say that bo ve bee sting could break a ploughshare.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	dashes	DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN CCONJ PRON VERB PART VERB ADP NOUN VERB NOUN VERB VERB VERB DET NOUN
Rose, whose own profits were already cut to the bone to get the order, knew that she was on trial.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	PROPN ADJ ADJ NOUN VERB ADV VERB ADP DET NOUN PART VERB DET NOUN VERB ADP PRON VERB ADP NOUN
Getting down to the bare bones : There was nothing but a skeleton staff to assist him when Brian Chappill, marketing manager, Midlands West & Wales, handed over a Wimpey Construction UK cheque for £ l, 000 to Linda Edwards of Bath - based charity the National Osteoporosis Society.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	combined-inflection	VERB PART ADP DET ADJ NOUN PUNCT ADV VERB NOUN ADP DET NOUN NOUN PART VERB PRON ADV PROPN PROPN NOUN NOUN PROPN PROPN CCONJ PROPN VERB PART DET PROPN PROPN PROPN NOUN ADP SYM NOUN NUM ADP PROPN PROPN ADP PROPN PUNCT VERB NOUN DET PROPN PROPN PROPN
Or they thought they were and the only people they 're going to get any more from is the parents, nowhere else, nobody else is going to give them anything I 've got no illusions about it, I don't expect you to get anything from anywhere else, and I know that you, you wouldn't get anything from anywhere else because they, they 've cut it, they 've cut it to the bone and the only people that can afford to go now and to live in anything like	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	CCONJ PRON VERB PRON VERB CCONJ DET ADJ NOUN PRON VERB VERB PART VERB DET ADV ADP VERB DET NOUN ADV ADV NOUN ADV VERB VERB PART VERB PRON NOUN PRON VERB VERB DET NOUN ADP PRON PRON VERB VERB PRON PART VERB NOUN ADP ADV ADV CCONJ PRON VERB ADP PRON PRON VERB VERB NOUN ADP ADV ADV ADP PRON PRON VERB VERB PRON PRON VERB VERB PRON ADP DET NOUN CCONJ DET ADJ NOUN ADJ VERB VERB PART VERB ADV CCONJ PART VERB ADP NOUN ADP
It sucked all warmth and courage from his body, leaving him chilled to the bone and fearful of even the smallest movement in the big house.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	PRON VERB DET NOUN CCONJ NOUN ADP ADJ NOUN VERB PRON VERB ADP DET NOUN CCONJ ADJ ADP ADV DET ADJ NOUN ADP DET ADJ NOUN
It was true, I couldn't keep my eyes from sprinting up her slim ankles, and fell - walking the contour lines of her sharp shoulders and her breasts, breasts that were improbably close to her scenic collar bone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	to the bone	literal	combined-other	PRON VERB ADJ PRON VERB VERB ADJ NOUN ADP VERB PART ADJ ADJ NOUN CCONJ VERB PUNCT VERB DET NOUN NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN NOUN ADJ VERB ADV ADJ ADP ADJ ADJ NOUN NOUN
‘ Too Much Junkie Business’, ‘ Chinese Rocks’ and ‘ Born To Lose’are pared close to the bone and chillingly too close too comfort.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the bone	figurative	identical	PUNCT ADV ADJ PROPN PROPN PUNCT PROPN PROPN CCONJ PUNCT VERB PART NOUN VERB ADV ADP DET NOUN CCONJ ADV ADV ADJ ADV NOUN
It's exposed, but it's English to the bone now, nothing can change it back.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	to the bone	figurative	identical	PRON VERB CCONJ PRON PROPN ADP DET NOUN ADV NOUN VERB VERB PRON PART
After she had walked for another half hour she was tired to the bone.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the bone	figurative	identical	ADP PRON VERB VERB ADP DET ADJ NOUN PRON VERB ADJ ADP DET NOUN
Industrial base cut so close to the bone the marrow's leaking out, the old vaguely socialist inefficiencies replaced with more rabid capitalist ones, power centralised, corruption institutionalised, and a generation created which'll never have any skills beyond opening a car with a coat hanger and knowing which solvents give you the best buzz with a plastic bag over your head before you throw up or pass out.’	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	figurative	identical	ADJ NOUN VERB ADV ADV ADP DET NOUN DET NOUN VERB PART DET ADJ ADV ADJ NOUN VERB ADP ADJ NOUN ADJ NOUN NOUN VERB NOUN VERB CCONJ DET NOUN VERB ADV ADV VERB DET NOUN ADP VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB ADJ NOUN VERB PRON DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB PART CCONJ VERB NOUN
But the anterior of many other dinosaurs was aligned alongside and parallel to the posterior bone ( the ischium ), instead of pointing forwards as with the saurischians.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	to the bone	literal	insertion-other	CCONJ DET NOUN ADP ADJ ADJ NOUN VERB VERB ADP CCONJ ADJ ADP DET NOUN NOUN PUNCT DET NOUN PUNCT ADV ADP VERB ADV ADP ADP DET NOUN
‘ Chilled to the bone.’	0 0 1 0 1	to the bone	figurative	dashes	PUNCT VERB ADP DET NOUN
