My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN	▁My ▁neighbours ▁were ▁anxious ▁to ▁have ▁some ▁work ▁done ▁on ▁their ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN NOUN
June Leaning, a babysitter from Humberside, has been jailed for life for an arson attack on a house in which two children in her care died.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PROPN PROPN DET NOUN ADP PROPN VERB VERB VERB ADP NOUN ADP DET NOUN NOUN ADP DET NOUN ADP ADJ NUM NOUN ADP ADJ NOUN VERB	▁June ▁L ean ing , ▁a ▁baby s itter ▁from ▁H umber side , ▁has ▁been ▁jail ed ▁for ▁life ▁for ▁an ▁a rs on ▁attack ▁on ▁a ▁house ▁in ▁which ▁two ▁children ▁in ▁her ▁care ▁died .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN VERB VERB VERB VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN ADP ADJ NUM NOUN ADP ADJ NOUN VERB VERB
In the same year as Queen Victoria succeeded her uncle, King William IV, Dr. Edward Tuke took a lease on the Manor Farm House, in what by then was called Chiswick Lane, and it became a home for mentally ill gentle - persons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	ADP DET ADJ NOUN ADP PROPN PROPN VERB ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN ADP NOUN ADP ADV VERB VERB PROPN PROPN CCONJ PRON VERB DET NOUN ADP ADV ADJ ADJ PUNCT NOUN	▁In ▁the ▁same ▁year ▁as ▁Queen ▁Victor ia ▁succeeded ▁her ▁uncle , ▁King ▁William ▁IV , ▁Dr . ▁Edward ▁T uke ▁took ▁a ▁lease ▁on ▁the ▁Man or ▁Farm ▁House , ▁in ▁what ▁by ▁then ▁was ▁called ▁Chi s wick ▁Lane , ▁and ▁it ▁became ▁a ▁home ▁for ▁ment ally ▁ill ▁gentle ▁- ▁persons .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADP PROPN PROPN PROPN VERB ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP NOUN ADP ADV VERB VERB PROPN PROPN PROPN PROPN PROPN CCONJ PRON VERB DET NOUN ADP ADV ADV ADJ ADJ PUNCT NOUN NOUN
THREE Tyneside men have appeared in court charged with £ 15,000 armed robbery on a house at Iveston near Consett, County Durham.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the house	literal	determiner-narrow	NUM PROPN NOUN VERB VERB ADP NOUN VERB ADP SYM NUM ADJ NOUN ADP DET NOUN ADP PROPN ADP PROPN PROPN PROPN	▁THREE ▁Ty ne side ▁men ▁have ▁appeared ▁in ▁court ▁charged ▁with ▁£ ▁1 5,000 ▁armed ▁robbery ▁on ▁a ▁house ▁at ▁I ves ton ▁near ▁Con s ett , ▁County ▁Dur ham .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM PROPN PROPN PROPN NOUN VERB VERB ADP NOUN VERB ADP SYM NUM NUM ADJ NOUN ADP DET NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
Some of the mud and rubbish washed down on the two houses Picture : PHIL MICHEU	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on the house	literal	combined-inflection	DET ADP DET NOUN CCONJ NOUN VERB PART ADP DET NUM NOUN NOUN PUNCT NOUN NOUN	▁Some ▁of ▁the ▁mud ▁and ▁rubbish ▁washed ▁down ▁on ▁the ▁two ▁houses ▁Picture ▁ : ▁P H IL ▁MI CH EU	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	DET ADP DET NOUN CCONJ NOUN VERB PART ADP DET NUM NOUN NOUN PUNCT PUNCT NOUN NOUN NOUN NOUN NOUN NOUN
Stone - throwing attacks were subsequently reported on the houses of the Indian - born magistrate and defence lawyer.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the house	literal	inflection	NOUN PUNCT VERB NOUN VERB ADV VERB ADP DET NOUN ADP DET PROPN PUNCT VERB NOUN CCONJ NOUN NOUN	▁Stone ▁- ▁throw ing ▁attacks ▁were ▁subsequently ▁reported ▁on ▁the ▁houses ▁of ▁the ▁Indian ▁- ▁born ▁magistrate ▁and ▁defence ▁lawyer .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT VERB VERB NOUN VERB ADV VERB ADP DET NOUN ADP DET PROPN PUNCT VERB NOUN CCONJ NOUN NOUN NOUN
But seeing the debt on your house reduce is a very satisfying feeling. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-broad	CCONJ VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADV ADJ NOUN PUNCT	▁But ▁seeing ▁the ▁debt ▁on ▁your ▁house ▁reduce ▁is ▁a ▁very ▁satisfying ▁feeling . ▁'	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	CCONJ VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADV ADJ NOUN NOUN PUNCT
' Because we were having work done on our house, Sophie and I were staying in a rented place and it didn't have a phone.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PUNCT ADP PRON VERB VERB NOUN VERB ADP ADJ NOUN PROPN CCONJ PRON VERB VERB ADP DET VERB NOUN CCONJ PRON VERB VERB DET NOUN	▁' ▁Because ▁we ▁were ▁having ▁work ▁done ▁on ▁our ▁house , ▁So phi e ▁and ▁I ▁were ▁staying ▁in ▁a ▁rented ▁place ▁and ▁it ▁did n ' t ▁have ▁a ▁phone .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADP PRON VERB VERB NOUN VERB ADP ADJ NOUN NOUN PROPN PROPN PROPN CCONJ PRON VERB VERB ADP DET VERB NOUN CCONJ PRON VERB VERB VERB VERB VERB DET NOUN NOUN
I looked on the whole house as my special possession, thought Sara dismally.	0 0 1 0 0 1 0 0 0 0 0 0 0	on the house	literal	insertion-other	PRON VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN VERB PROPN ADV	▁I ▁looked ▁on ▁the ▁whole ▁house ▁as ▁my ▁special ▁possession , ▁thought ▁Sara ▁dis m ally .	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN NOUN VERB PROPN ADV ADV ADV ADV
In Oxford, Labour has used up the housing reserves and still owes £ 22 million on its council houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the house	literal	combined-inflection	ADP PROPN PROPN VERB VERB PART DET NOUN NOUN CCONJ ADV VERB SYM NUM NUM ADP ADJ NOUN NOUN	▁In ▁Oxford , ▁Labour ▁has ▁used ▁up ▁the ▁housing ▁reserves ▁and ▁still ▁owe s ▁£ ▁22 ▁million ▁on ▁its ▁council ▁houses .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	ADP PROPN PROPN PROPN VERB VERB PART DET NOUN NOUN CCONJ ADV VERB VERB SYM NUM NUM ADP ADJ NOUN NOUN NOUN
Plus the insurance on the house would pay up so you 'd have, ha bloody hell, so you 'd have about sixty grand in the bank.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	CCONJ DET NOUN ADP DET NOUN VERB VERB PART ADV PRON VERB VERB INTJ ADJ NOUN ADV PRON VERB VERB ADV NUM NOUN ADP DET NOUN	▁ Plus ▁the ▁insurance ▁on ▁the ▁house ▁would ▁pay ▁up ▁so ▁you ▁' d ▁have , ▁ha ▁blood y ▁he ll , ▁so ▁you ▁' d ▁have ▁about ▁sixty ▁grand ▁in ▁the ▁bank .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ DET NOUN ADP DET NOUN VERB VERB PART ADV PRON VERB VERB VERB VERB INTJ ADJ ADJ NOUN NOUN NOUN ADV PRON VERB VERB VERB ADV NUM NOUN ADP DET NOUN NOUN
Obviously I enjoyed having the opportunity to watch any nesting birds so close at hand — I could reach out of my bedroom window, when Mum wasn't around, and feel right inside the nest — but many of the neighbours looked on the house martins as pests who infested their property and made a mess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	identical	ADV PRON VERB VERB DET NOUN PART VERB DET ADJ NOUN ADV ADV ADP NOUN PUNCT PRON VERB VERB ADP ADP ADJ NOUN NOUN ADV PROPN VERB ADV CCONJ VERB ADV ADP DET NOUN PUNCT CCONJ ADJ ADP DET NOUN VERB ADP DET NOUN NOUN ADP NOUN NOUN VERB ADJ NOUN CCONJ VERB DET NOUN	▁Obviously ▁I ▁enjoyed ▁having ▁the ▁opportunity ▁to ▁watch ▁any ▁n est ing ▁birds ▁so ▁close ▁at ▁hand ▁ — ▁I ▁could ▁reach ▁out ▁of ▁my ▁be d room ▁window , ▁when ▁M um ▁was n ' t ▁around , ▁and ▁feel ▁right ▁inside ▁the ▁n est ▁ — ▁but ▁many ▁of ▁the ▁neighbours ▁looked ▁on ▁the ▁house ▁mar tin s ▁as ▁pests ▁who ▁infested ▁their ▁property ▁and ▁made ▁a ▁me s s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB DET NOUN PART VERB DET ADJ ADJ ADJ NOUN ADV ADV ADP NOUN PUNCT PUNCT PRON VERB VERB ADP ADP ADJ NOUN NOUN NOUN NOUN NOUN ADV PROPN PROPN VERB VERB VERB VERB ADV ADV CCONJ VERB ADV ADP DET NOUN NOUN PUNCT PUNCT CCONJ ADJ ADP DET NOUN VERB ADP DET NOUN NOUN NOUN NOUN ADP NOUN NOUN VERB ADJ NOUN CCONJ VERB DET NOUN NOUN NOUN NOUN
' Police have told us that they do not think it was a deliberate attack on our house because I am deputy leader. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the house	literal	determiner-broad	PUNCT NOUN VERB VERB PRON ADP PRON VERB ADV VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADJ NOUN PUNCT	▁' ▁Police ▁have ▁told ▁us ▁that ▁they ▁do ▁not ▁think ▁it ▁was ▁a ▁deliberate ▁attack ▁on ▁our ▁house ▁because ▁I ▁am ▁deputy ▁leader . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PUNCT NOUN VERB VERB PRON ADP PRON VERB ADV VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADJ NOUN NOUN PUNCT
And they lost a fortune on their house, trying to sell it.	0 0 0 0 0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	CCONJ PRON VERB DET NOUN ADP ADJ NOUN VERB PART VERB PRON	▁And ▁they ▁lost ▁a ▁fortune ▁on ▁their ▁house , ▁trying ▁to ▁sell ▁it .	0 0 0 0 0 1 0 1 1 0 0 0 0 0	CCONJ PRON VERB DET NOUN ADP ADJ NOUN NOUN VERB PART VERB PRON PRON
spent on his house and had it all.	0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	VERB ADP ADJ NOUN CCONJ VERB PRON DET	▁spent ▁on ▁his ▁house ▁and ▁had ▁it ▁all .	0 1 0 1 0 0 0 0 0	VERB ADP ADJ NOUN CCONJ VERB PRON DET DET
He, say, needs a new roof on his house, so he checks how much he has in his account, gets a roofer to do the job, and writes him a cheque in pints.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PRON INTJ VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB ADV ADJ PRON VERB ADP ADJ NOUN VERB DET NOUN PART VERB DET NOUN CCONJ VERB PRON DET NOUN ADP NOUN	▁He , ▁say , ▁needs ▁a ▁new ▁roof ▁on ▁his ▁house , ▁so ▁he ▁checks ▁how ▁much ▁he ▁has ▁in ▁his ▁account , ▁get s ▁a ▁roof er ▁to ▁do ▁the ▁job , ▁and ▁write s ▁him ▁a ▁cheque ▁in ▁pin ts .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON INTJ INTJ VERB DET ADJ NOUN ADP ADJ NOUN NOUN ADV PRON VERB ADV ADJ PRON VERB ADP ADJ NOUN NOUN VERB VERB DET NOUN NOUN PART VERB DET NOUN NOUN CCONJ VERB VERB PRON DET NOUN ADP NOUN NOUN NOUN
Bargeboards and finials match those on house.	0 0 0 0 0 1 1	on the house	literal	deletion-determiner	NOUN CCONJ NOUN VERB DET ADP NOUN	▁Bar ge board s ▁and ▁fin ial s ▁match ▁those ▁on ▁house .	0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB DET ADP NOUN NOUN
That means that you have to find, for example, £ 2,000 to £ 4,000 in ready money as a deposit on a £ 40,000 house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on the house	literal	combined-other	DET VERB ADP PRON VERB PART VERB ADP NOUN SYM NUM PART SYM NUM ADP ADJ NOUN ADP DET NOUN ADP DET SYM NUM NOUN	▁That ▁means ▁that ▁you ▁have ▁to ▁find , ▁for ▁example , ▁£ ▁ 2,000 ▁to ▁£ ▁ 4,000 ▁in ▁ready ▁money ▁as ▁a ▁deposit ▁on ▁a ▁£ ▁4 0,000 ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1	DET VERB ADP PRON VERB PART VERB VERB ADP NOUN NOUN SYM NUM NUM PART SYM NUM NUM ADP ADJ NOUN ADP DET NOUN ADP DET SYM NUM NUM NOUN NOUN
He is remembered also for his work on the manor house at Clyst, where he endowed a chantry chapel.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	on the house	literal	insertion-other	PRON VERB VERB ADV ADP ADJ NOUN ADP DET NOUN NOUN ADP PROPN ADV PRON VERB DET NOUN NOUN	▁He ▁is ▁remembered ▁also ▁for ▁his ▁work ▁on ▁the ▁man or ▁house ▁at ▁C ly st , ▁where ▁he ▁endowed ▁a ▁ch ant ry ▁chap el .	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADP ADJ NOUN ADP DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN ADV PRON VERB DET NOUN NOUN NOUN NOUN NOUN NOUN
She's coming round, sh you know, she understands it's for her benefit as well because the doors on the council houses they 're like that, just rotten!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	on the house	literal	combined-inflection	PRON VERB ADV INTJ PRON VERB PRON VERB PRON ADP ADJ NOUN ADV ADV ADP DET NOUN ADP DET NOUN NOUN PRON VERB ADP DET ADV ADJ	▁She ' s ▁coming ▁round , ▁sh ▁you ▁know , ▁she ▁understand s ▁it ' s ▁for ▁her ▁benefit ▁as ▁well ▁because ▁the ▁doors ▁on ▁the ▁council ▁houses ▁they ▁' re ▁like ▁that , ▁just ▁rot ten !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON VERB ADV ADV INTJ PRON VERB VERB PRON VERB VERB PRON PRON PRON ADP ADJ NOUN ADV ADV ADP DET NOUN ADP DET NOUN NOUN PRON VERB VERB ADP DET DET ADV ADJ ADJ ADJ
I could hardly believe my eyes when I saw the amazing renovations Tom had done on his house.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PRON VERB ADV VERB ADJ NOUN ADV PRON VERB DET ADJ NOUN PROPN VERB VERB ADP ADJ NOUN	▁I ▁could ▁hardly ▁believe ▁my ▁eyes ▁when ▁I ▁saw ▁the ▁amazing ▁renovation s ▁Tom ▁had ▁done ▁on ▁his ▁house .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV VERB ADJ NOUN ADV PRON VERB DET ADJ NOUN NOUN PROPN VERB VERB ADP ADJ NOUN NOUN
They have imposed their will on the House.	0 0 0 0 0 1 0 1	on the house	literal	case	PRON VERB VERB ADJ NOUN ADP DET PROPN	▁They ▁have ▁imposed ▁their ▁will ▁on ▁the ▁House .	0 0 0 0 0 1 0 1 1	PRON VERB VERB ADJ NOUN ADP DET PROPN PROPN
' Could you not perhaps raise a mortgage on your house?	0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	PUNCT VERB PRON ADV ADV VERB DET NOUN ADP ADJ NOUN	▁' ▁Could ▁you ▁not ▁perhaps ▁raise ▁a ▁mortgage ▁on ▁your ▁house ?	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT VERB PRON ADV ADV VERB DET NOUN ADP ADJ NOUN NOUN
Oh it was yes, I mean y when you take now erm er a boatman, I mean, and he, he like today well they ring up, I mean today I know the Ipswich Port Authority they lay the phone on the houses and they pay for it for 'em	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	inflection	INTJ PRON VERB INTJ PRON VERB PRON ADV PRON VERB ADV ADV INTJ DET NOUN PRON VERB CCONJ PRON PRON INTJ NOUN INTJ PRON VERB PART PRON VERB NOUN PRON VERB DET PROPN PROPN PROPN PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB ADP PRON ADP PRON	▁O h ▁it ▁was ▁yes , ▁I ▁mean ▁y ▁when ▁you ▁take ▁now ▁er m ▁er ▁a ▁boat man , ▁I ▁mean , ▁and ▁he , ▁he ▁like ▁today ▁well ▁they ▁ring ▁up , ▁I ▁mean ▁today ▁I ▁know ▁the ▁I ps wich ▁Port ▁Authority ▁they ▁lay ▁the ▁phone ▁on ▁the ▁houses ▁and ▁they ▁pay ▁for ▁it ▁for ▁' em	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB INTJ INTJ PRON VERB PRON ADV PRON VERB ADV ADV ADV INTJ DET NOUN NOUN NOUN PRON VERB VERB CCONJ PRON PRON PRON INTJ NOUN INTJ PRON VERB PART PART PRON VERB NOUN PRON VERB DET PROPN PROPN PROPN PROPN PROPN PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB ADP PRON ADP PRON PRON
For days this hush lay on the house like dust.	0 0 0 0 0 1 0 1 0 0	on the house	literal	identical	ADP NOUN DET ADJ VERB ADP DET NOUN ADP NOUN	▁For ▁days ▁this ▁hu sh ▁lay ▁on ▁the ▁house ▁like ▁dust .	0 0 0 0 0 0 1 0 1 0 0 0	ADP NOUN DET ADJ ADJ VERB ADP DET NOUN ADP NOUN NOUN
For producer Roger ~ Hsu, Elaine ~ Lu has more on the house and the story that captivated the city.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	identical	ADP NOUN PROPN PUNCT PROPN PROPN PUNCT PROPN VERB ADJ ADP DET NOUN CCONJ DET NOUN ADJ VERB DET NOUN	▁For ▁producer ▁Ro ger ▁ ~ ▁H su , ▁El a ine ▁ ~ ▁Lu ▁has ▁more ▁on ▁the ▁house ▁and ▁the ▁story ▁that ▁cap tiva ted ▁the ▁city .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	ADP NOUN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN VERB ADJ ADP DET NOUN CCONJ DET NOUN ADJ VERB VERB VERB DET NOUN NOUN
1823 " Now direct the Collector to pay Twenty pounds Sterling as the sum formerly stented, and to be appropriated for the suppression of thieves — of which sum the Collector will be discharged on paying the same to Mr. McAlpine … for his outlay on his dwelling house. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	on the house	literal	combined-other	NUM PUNCT ADV VERB DET PROPN PART VERB NUM NOUN NOUN ADP DET NOUN ADV VERB CCONJ PART VERB VERB ADP DET NOUN ADP NOUN PUNCT ADP ADJ NOUN DET PROPN VERB VERB VERB ADP VERB DET ADJ ADP PROPN PROPN PUNCT ADP ADJ NOUN ADP ADJ VERB NOUN PUNCT	▁18 23 ▁" ▁Now ▁direct ▁the ▁Collect or ▁to ▁pay ▁Twenty ▁pounds ▁Ste rling ▁as ▁the ▁sum ▁formerly ▁s tent ed , ▁and ▁to ▁be ▁appropriate d ▁for ▁the ▁suppression ▁of ▁thi e ves ▁ — ▁of ▁which ▁sum ▁the ▁Collect or ▁will ▁be ▁discharged ▁on ▁paying ▁the ▁same ▁to ▁Mr . ▁Mc Al pine ▁... ▁for ▁his ▁out lay ▁on ▁his ▁dwelling ▁house . ▁"	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0	NUM NUM PUNCT ADV VERB DET PROPN PROPN PART VERB NUM NOUN NOUN NOUN ADP DET NOUN ADV VERB VERB VERB VERB CCONJ PART VERB VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN PUNCT PUNCT ADP ADJ NOUN DET PROPN PROPN VERB VERB VERB ADP VERB DET ADJ ADP PROPN PROPN PROPN PROPN PROPN PUNCT ADP ADJ NOUN NOUN ADP ADJ VERB NOUN NOUN PUNCT
If not, I wouldn't be bankrupt but I would be taking out a second mortgage on the house.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	dashes	ADP ADV PRON VERB VERB ADJ CCONJ PRON VERB VERB VERB PART DET ADJ NOUN ADP DET NOUN	▁If ▁not , ▁I ▁would n ' t ▁be ▁bankrupt ▁but ▁I ▁would ▁be ▁taking ▁out ▁a ▁second ▁mortgage ▁on ▁the ▁house . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP ADV ADV PRON VERB VERB VERB VERB VERB ADJ CCONJ PRON VERB VERB VERB PART DET ADJ NOUN ADP DET NOUN NOUN NOUN
Playing your part can be as simple as being a good neighbour — keeping an eye on a neighbour's house while they 're away ; or even just letting the Police know if you see someone acting suspiciously around cars or property.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	VERB ADJ NOUN VERB VERB ADV ADJ ADP VERB DET ADJ NOUN PUNCT VERB DET NOUN ADP DET NOUN NOUN ADP PRON VERB ADV PUNCT CCONJ ADV ADV VERB DET NOUN VERB ADP PRON VERB NOUN VERB ADV ADP NOUN CCONJ NOUN	▁P laying ▁your ▁part ▁can ▁be ▁as ▁simple ▁as ▁being ▁a ▁good ▁neighbour ▁ — ▁keeping ▁an ▁eye ▁on ▁a ▁neighbour ' s ▁house ▁while ▁they ▁' re ▁away ▁ ; ▁or ▁even ▁just ▁letting ▁the ▁Police ▁know ▁if ▁you ▁see ▁someone ▁acting ▁suspicious ly ▁around ▁cars ▁or ▁property .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADJ NOUN VERB VERB ADV ADJ ADP VERB DET ADJ NOUN PUNCT PUNCT VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB ADV PUNCT PUNCT CCONJ ADV ADV VERB DET NOUN VERB ADP PRON VERB NOUN VERB ADV ADV ADP NOUN CCONJ NOUN NOUN
FOUR people arrested during a raid by drugs squad officers on a house in Colchester were released over the weekend.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	NUM NOUN VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP DET NOUN ADP PROPN VERB VERB ADP DET NOUN	▁F OUR ▁people ▁arrested ▁during ▁a ▁r aid ▁by ▁drugs ▁squa d ▁officers ▁on ▁a ▁house ▁in ▁Col ches ter ▁were ▁released ▁over ▁the ▁weekend .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	NUM NUM NOUN VERB ADP DET NOUN NOUN ADP NOUN ADJ ADJ NOUN ADP DET NOUN ADP PROPN PROPN PROPN VERB VERB ADP DET NOUN NOUN
