Oh yes, and I suppose I 'd better come clean.	0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	INTJ INTJ CCONJ PRON VERB PRON VERB ADV VERB ADJ	▁O h ▁yes , ▁and ▁I ▁suppose ▁I ▁' d ▁better ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ INTJ CCONJ PRON VERB PRON VERB VERB ADV VERB ADJ ADJ
But what we want to know from the right honourable lady what we want to know from the right honourable lady is when they will come clean about the public spending policies that will put taxes in this country up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	CCONJ NOUN PRON VERB PART VERB ADP DET ADJ ADJ NOUN NOUN PRON VERB PART VERB ADP DET ADJ ADJ NOUN VERB ADV PRON VERB VERB ADJ ADP DET ADJ NOUN NOUN ADJ VERB VERB NOUN ADP DET NOUN PART	▁But ▁what ▁we ▁want ▁to ▁know ▁from ▁the ▁right ▁honourable ▁lady ▁what ▁we ▁want ▁to ▁know ▁from ▁the ▁right ▁honourable ▁lady ▁is ▁when ▁they ▁will ▁come ▁clean ▁about ▁the ▁public ▁spending ▁policies ▁that ▁will ▁put ▁taxes ▁in ▁this ▁country ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ NOUN PRON VERB PART VERB ADP DET ADJ ADJ NOUN NOUN PRON VERB PART VERB ADP DET ADJ ADJ NOUN VERB ADV PRON VERB VERB ADJ ADP DET ADJ NOUN NOUN ADJ VERB VERB NOUN ADP DET NOUN PART PART
He called on Ministers to come clean over secret proposals to cut the unemployment benefit period from a year to six months.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PRON VERB ADP PROPN PART VERB ADJ ADP ADJ NOUN PART VERB DET NOUN NOUN NOUN ADP DET NOUN ADP NUM NOUN	▁He ▁called ▁on ▁Ministers ▁to ▁come ▁clean ▁over ▁secret ▁proposals ▁to ▁cut ▁the ▁unemployment ▁benefit ▁period ▁from ▁a ▁year ▁to ▁six ▁months .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PROPN PART VERB ADJ ADP ADJ NOUN PART VERB DET NOUN NOUN NOUN ADP DET NOUN ADP NUM NOUN NOUN
With international competition and new entrants, national monopolies such as France's will at least have to come clean about costs and pricing if only to prove that they are not breaching the Rome treaty's clauses against unfair competition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP ADJ NOUN CCONJ ADJ NOUN ADJ NOUN ADJ ADP PROPN NOUN ADP ADJ VERB PART VERB ADJ ADP NOUN CCONJ VERB ADP ADV PART VERB ADP PRON VERB ADV VERB DET PROPN NOUN NOUN ADP ADJ NOUN	▁With ▁international ▁competition ▁and ▁new ▁entrants , ▁national ▁monopolies ▁such ▁as ▁France ' s ▁will ▁at ▁least ▁have ▁to ▁come ▁clean ▁about ▁costs ▁and ▁pricing ▁if ▁only ▁to ▁prove ▁that ▁they ▁are ▁not ▁breach ing ▁the ▁Rome ▁treaty ' s ▁clauses ▁against ▁unfair ▁competition .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN CCONJ ADJ NOUN NOUN ADJ NOUN ADJ ADP PROPN PROPN PROPN NOUN ADP ADJ VERB PART VERB ADJ ADP NOUN CCONJ VERB ADP ADV PART VERB ADP PRON VERB ADV VERB VERB DET PROPN NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN
The imagination trembles at some of these ideas — will a profession's ruling body really come clean about its members ' income?— but no suggestion, on this subject, should be dismissed out of hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	DET NOUN NOUN ADP DET ADP DET NOUN PUNCT VERB DET NOUN VERB NOUN ADV VERB ADJ ADP ADJ NOUN PART ADJ CCONJ DET NOUN ADP DET NOUN VERB VERB VERB ADP ADP NOUN	▁The ▁imagination ▁tre mble s ▁at ▁some ▁of ▁these ▁ideas ▁ — ▁will ▁a ▁profession ' s ▁ruling ▁body ▁really ▁come ▁clean ▁about ▁its ▁members ▁' ▁income ? — ▁but ▁no ▁suggestion , ▁on ▁this ▁subject , ▁should ▁be ▁dismissed ▁out ▁of ▁hand .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADP DET ADP DET NOUN PUNCT PUNCT VERB DET NOUN NOUN NOUN VERB NOUN ADV VERB ADJ ADP ADJ NOUN PART ADJ ADJ ADJ CCONJ DET NOUN NOUN ADP DET NOUN NOUN VERB VERB VERB ADP ADP NOUN NOUN
Now that Viola had let the cat out of the bag, she felt she had no option but to come clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	ADV ADP PROPN VERB VERB DET NOUN ADP ADP DET NOUN PRON VERB PRON VERB DET NOUN CCONJ PART VERB ADJ	▁Now ▁that ▁Viola ▁had ▁let ▁the ▁cat ▁out ▁of ▁the ▁bag , ▁she ▁felt ▁she ▁had ▁no ▁option ▁but ▁to ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV ADP PROPN VERB VERB DET NOUN ADP ADP DET NOUN NOUN PRON VERB PRON VERB DET NOUN CCONJ PART VERB ADJ ADJ
‘ It's absolute humbug for cricket's administrators not to come clean and tell the cricketing world everything that took place inside Lord's famous pavilion that Sunday.’	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PUNCT PRON ADJ NOUN ADP NOUN NOUN ADV PART VERB ADJ CCONJ VERB DET VERB NOUN NOUN ADJ VERB NOUN ADP PROPN ADJ NOUN ADP NOUN	▁ ‘ ▁It ' s ▁absolute ▁hum b ug ▁for ▁cri cke t ' s ▁administrators ▁not ▁to ▁come ▁clean ▁and ▁tell ▁the ▁cri cke ting ▁world ▁everything ▁that ▁took ▁place ▁inside ▁Lord ' s ▁famous ▁p a vil ion ▁that ▁Sunday . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADJ NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN ADV PART VERB ADJ CCONJ VERB DET VERB VERB VERB NOUN NOUN ADJ VERB NOUN ADP PROPN PROPN PROPN ADJ NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN
I came clean : the incidents of the survivors of two schooners sunk by his submarine near Crete in 1941.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	PRON VERB ADJ PUNCT DET NOUN ADP DET NOUN ADP NUM NOUN VERB ADP ADJ NOUN ADP PROPN ADP NUM	▁I ▁came ▁clean ▁ : ▁the ▁incidents ▁of ▁the ▁survivors ▁of ▁two ▁ sch oon ers ▁sun k ▁by ▁his ▁submarine ▁near ▁Crete ▁in ▁19 41 .	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PUNCT PUNCT DET NOUN ADP DET NOUN ADP NUM NOUN NOUN NOUN NOUN VERB VERB ADP ADJ NOUN ADP PROPN ADP NUM NUM NUM
At this point I will come clean and admit that the cyclists beat the support vehicle to Royston!	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP DET NOUN PRON VERB VERB ADJ CCONJ VERB ADP DET NOUN VERB DET NOUN NOUN ADP PROPN	▁At ▁this ▁point ▁I ▁will ▁come ▁clean ▁and ▁admit ▁that ▁the ▁ cycl ists ▁beat ▁the ▁support ▁vehicle ▁to ▁Roy s ton !	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PRON VERB VERB ADJ CCONJ VERB ADP DET NOUN NOUN NOUN VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN
Let me come quite clean on that and tell you that you, at the very moment I hope you are being recorded.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	insertion-other	VERB PRON VERB ADV ADJ ADP DET CCONJ VERB PRON ADP PRON ADP DET ADJ NOUN PRON VERB PRON VERB VERB VERB	▁Let ▁me ▁come ▁quite ▁clean ▁on ▁that ▁and ▁tell ▁you ▁that ▁you , ▁at ▁the ▁very ▁moment ▁I ▁hope ▁you ▁are ▁being ▁recorded .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON VERB ADV ADJ ADP DET CCONJ VERB PRON ADP PRON PRON ADP DET ADJ NOUN PRON VERB PRON VERB VERB VERB VERB
She wondered, as she washed the dishes and Memet lay on the sofa with his feet on the cushions, whether some ancient warlock had ever discovered a truth drug while digging around among his herbs in the dark of the moon or even whether there was not some artificial chemical compound which would produce the same result and cause her lover to come clean about his dealings with women.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	come clean	figurative	identical	PRON VERB ADP PRON VERB DET NOUN CCONJ PROPN VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADV VERB DET NOUN NOUN ADP VERB PART ADP ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADV ADP ADV VERB ADV DET ADJ NOUN NOUN ADJ VERB VERB DET ADJ NOUN CCONJ VERB ADJ NOUN PART VERB ADJ ADP ADJ NOUN ADP NOUN	▁She ▁wonder ed , ▁as ▁she ▁washed ▁the ▁dishes ▁and ▁Mem et ▁lay ▁on ▁the ▁so fa ▁with ▁his ▁feet ▁on ▁the ▁cushion s , ▁whether ▁some ▁ancient ▁war lock ▁had ▁ever ▁discovered ▁a ▁truth ▁drug ▁while ▁di gg ing ▁around ▁among ▁his ▁herbs ▁in ▁the ▁dark ▁of ▁the ▁mo on ▁or ▁even ▁whether ▁there ▁was ▁not ▁some ▁artificial ▁chemical ▁compound ▁which ▁would ▁produce ▁the ▁same ▁result ▁and ▁cause ▁her ▁l over ▁to ▁come ▁clean ▁about ▁his ▁dealings ▁with ▁women .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PRON VERB VERB VERB ADP PRON VERB DET NOUN CCONJ PROPN PROPN VERB ADP DET NOUN NOUN ADP ADJ NOUN ADP DET NOUN NOUN NOUN ADP DET ADJ NOUN NOUN VERB ADV VERB DET NOUN NOUN ADP VERB VERB VERB PART ADP ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV ADP ADV VERB ADV DET ADJ NOUN NOUN ADJ VERB VERB DET ADJ NOUN CCONJ VERB ADJ NOUN NOUN PART VERB ADJ ADP ADJ NOUN ADP NOUN NOUN
Here, talking exclusively to Steve Acteson, Hearn has come clean to laugh at his disasters and the worst decisions of his career.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV VERB ADV ADP PROPN PROPN PROPN VERB VERB ADJ PART VERB ADP ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN	▁Here , ▁talking ▁exclusively ▁to ▁Ste ve ▁Act es on , ▁He arn ▁has ▁come ▁clean ▁to ▁laugh ▁at ▁his ▁disasters ▁and ▁the ▁worst ▁decisions ▁of ▁his ▁career .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADJ PART VERB ADP ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN NOUN
It should come out clean and hot to the touch.	0 0 1 0 1 0 0 0 0 0	come clean	literal	insertion-other	PRON VERB VERB PART ADJ CCONJ ADJ ADP DET NOUN	▁It ▁should ▁come ▁out ▁clean ▁and ▁hot ▁to ▁the ▁touch .	0 0 1 0 1 0 0 0 0 0 0	PRON VERB VERB PART ADJ CCONJ ADJ ADP DET NOUN NOUN
Come clean on all coups	1 1 0 0 0	come clean	figurative	case	VERB ADJ ADP DET NOUN	▁Com e ▁clean ▁on ▁all ▁coup s	1 1 1 0 0 0 0	VERB VERB ADJ ADP DET NOUN NOUN
' Come clean, Lucenzo, ' she pleaded.	0 1 1 0 0 0 0	come clean	figurative	case	PUNCT VERB ADJ PROPN PUNCT PRON VERB	▁' ▁Com e ▁clean , ▁Luc en zo , ▁' ▁she ▁plead ed .	0 1 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB ADJ ADJ PROPN PROPN PROPN PROPN PUNCT PRON VERB VERB VERB
Don't duck and weave > Be straight and come clean	0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	VERB VERB CCONJ VERB X VERB ADJ CCONJ VERB ADJ	▁Don ' t ▁duck ▁and ▁we ave ▁> ▁Be ▁straight ▁and ▁come ▁clean	0 0 0 0 0 0 0 0 0 0 0 1 1	VERB VERB VERB VERB CCONJ VERB VERB X VERB ADJ CCONJ VERB ADJ
I 'll try to spare you that, but I guess it's about time I came clean and admitted it's by no means a one - man show.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	PRON VERB VERB PART VERB PRON ADP CCONJ PRON VERB PRON ADV NOUN PRON VERB ADJ CCONJ VERB PRON ADP DET NOUN DET NUM PUNCT NOUN NOUN	▁I ▁' ll ▁try ▁to ▁spare ▁you ▁that , ▁but ▁I ▁guess ▁it ' s ▁about ▁time ▁I ▁came ▁clean ▁and ▁admitted ▁it ' s ▁by ▁no ▁means ▁a ▁one ▁- ▁man ▁show .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB PRON ADP ADP CCONJ PRON VERB PRON PRON PRON ADV NOUN PRON VERB ADJ CCONJ VERB PRON PRON PRON ADP DET NOUN DET NUM PUNCT NOUN NOUN NOUN
I said I got ta come clean with you.	0 0 0 0 0 1 1 0 0	come clean	figurative	identical	PRON VERB PRON VERB PART VERB ADJ ADP PRON	▁I ▁said ▁I ▁got ▁ta ▁come ▁clean ▁with ▁you .	0 0 0 0 0 1 1 0 0 0	PRON VERB PRON VERB PART VERB ADJ ADP PRON PRON
Unfortunately, I 'll have to come clean ; that story is only a rumour.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	come clean	figurative	identical	ADV PRON VERB VERB PART VERB ADJ PUNCT DET NOUN VERB ADV DET NOUN	▁Unfortunately , ▁I ▁' ll ▁have ▁to ▁come ▁clean ▁ ; ▁that ▁story ▁is ▁only ▁a ▁r umour .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB VERB VERB PART VERB ADJ PUNCT PUNCT DET NOUN VERB ADV DET NOUN NOUN NOUN
Bake at 180 ° C ( 350 ° F / Gas Mark 4 ) for about 45 minutes or until a skewer inserted in the centre comes out clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	come clean	literal	combined-inflection	NOUN ADP NUM NOUN PROPN PUNCT NUM NOUN PROPN SYM PROPN PROPN NUM PUNCT ADP ADV NUM NOUN CCONJ ADP DET NOUN VERB ADP DET NOUN VERB PART ADJ	▁B ake ▁at ▁180 ▁° ▁C ▁( ▁350 ▁° ▁F ▁/ ▁Gas ▁Mark ▁4 ▁ ) ▁for ▁about ▁45 ▁minutes ▁or ▁until ▁a ▁s ke wer ▁inserted ▁in ▁the ▁centre ▁comes ▁out ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN ADP NUM NOUN PROPN PUNCT NUM NOUN PROPN SYM PROPN PROPN NUM PUNCT PUNCT ADP ADV NUM NOUN CCONJ ADP DET NOUN NOUN NOUN VERB ADP DET NOUN VERB PART ADJ ADJ
And he 'd be forced to come clean to Georgina, as well.’	0 0 0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	CCONJ PRON VERB VERB VERB PART VERB ADJ ADP PROPN ADP PROPN	▁And ▁he ▁' d ▁be ▁forced ▁to ▁come ▁clean ▁to ▁Ge or gina , ▁as ▁well . ’	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB VERB PART VERB ADJ ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN
He was challenged to come clean over personal assurances he gave in December 1990 that ministers were obeying a ban on selling defence equipment to Saddam Hussein.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	PRON VERB VERB PART VERB ADJ ADP ADJ NOUN PRON VERB ADP PROPN NUM ADP NOUN VERB VERB DET NOUN ADP VERB NOUN NOUN ADP PROPN PROPN	▁He ▁was ▁challenged ▁to ▁come ▁clean ▁over ▁personal ▁assurances ▁he ▁gave ▁in ▁December ▁1990 ▁that ▁ministers ▁were ▁obey ing ▁a ▁ban ▁on ▁selling ▁defence ▁equipment ▁to ▁Sadd am ▁Hussein .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB ADJ ADP ADJ NOUN PRON VERB ADP PROPN NUM ADP NOUN VERB VERB VERB DET NOUN ADP VERB NOUN NOUN ADP PROPN PROPN PROPN PROPN
Cookability comes clean	0 1 1	come clean	figurative	inflection	NOUN VERB ADJ	▁Cook ability ▁comes ▁clean	0 0 1 1	NOUN NOUN VERB ADJ
Charity, I should have come clean on that right away.	0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	PROPN PRON VERB VERB VERB ADJ ADP DET ADV ADV	▁Char ity , ▁I ▁should ▁have ▁come ▁clean ▁on ▁that ▁right ▁away .	0 0 0 0 0 0 1 1 0 0 0 0 0	PROPN PROPN PROPN PRON VERB VERB VERB ADJ ADP DET ADV ADV ADV
It was a dignified response if not departure with Spurs chief executive Terry Venables forced to come clean over the Shreeves situation after a media leak.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	come clean	figurative	identical	PRON VERB DET ADJ NOUN ADP ADV NOUN ADP PROPN ADJ NOUN PROPN PROPN VERB PART VERB ADJ ADP DET PROPN NOUN ADP DET NOUN NOUN	▁It ▁was ▁a ▁d ignified ▁response ▁if ▁not ▁departure ▁with ▁Sp urs ▁chief ▁executive ▁Terr y ▁Ven able s ▁forced ▁to ▁come ▁clean ▁over ▁the ▁S hr ee ves ▁situation ▁after ▁a ▁media ▁leak .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ ADJ NOUN ADP ADV NOUN ADP PROPN PROPN ADJ NOUN PROPN PROPN PROPN PROPN PROPN VERB PART VERB ADJ ADP DET PROPN PROPN PROPN PROPN NOUN ADP DET NOUN NOUN NOUN
AN ESSEX MP yesterday urged the Prime Minister to come clean about a ‘ sensational’ list of Government services which it is believed he would like to place in private hands.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	DET PROPN PROPN NOUN VERB DET PROPN PROPN PART VERB ADJ ADP DET ADJ ADJ NOUN ADP PROPN NOUN ADJ PRON VERB VERB PRON VERB VERB PART VERB ADP ADJ NOUN	▁AN ▁ESS EX ▁MP ▁yesterday ▁urged ▁the ▁Prime ▁Minister ▁to ▁come ▁clean ▁about ▁a ▁ ‘ ▁sensation al ’ ▁list ▁of ▁Government ▁services ▁which ▁it ▁is ▁believed ▁he ▁would ▁like ▁to ▁place ▁in ▁private ▁hands .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN NOUN VERB DET PROPN PROPN PART VERB ADJ ADP DET ADJ ADJ ADJ ADJ ADJ NOUN ADP PROPN NOUN ADJ PRON VERB VERB PRON VERB VERB PART VERB ADP ADJ NOUN NOUN
Come clean Steve.	1 1 0	come clean	figurative	case	VERB ADJ PROPN	▁Com e ▁clean ▁Ste ve .	1 1 1 0 0 0	VERB VERB ADJ PROPN PROPN PROPN
I want to hear from the right hon. and learned Member for Monklands, East, because the Opposition must now come clean.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	PRON VERB PART VERB ADP DET ADJ NOUN CCONJ VERB PROPN ADP PROPN PROPN ADP DET PROPN VERB ADV VERB ADJ	▁I ▁want ▁to ▁hear ▁from ▁the ▁right ▁ hon . ▁and ▁learned ▁Member ▁for ▁Mon k lands , ▁East , ▁because ▁the ▁Opposition ▁must ▁now ▁come ▁clean .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB PART VERB ADP DET ADJ NOUN NOUN NOUN CCONJ VERB PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADP DET PROPN VERB ADV VERB ADJ ADJ
Time to come clean.	0 0 1 1	come clean	figurative	identical	NOUN PART VERB ADJ	▁Time ▁to ▁come ▁clean .	0 0 1 1 1	NOUN PART VERB ADJ ADJ
‘ I 'd better come clean,’ I said.	0 0 0 0 1 1 0 0	come clean	figurative	dashes	PUNCT PRON VERB ADV VERB PRON PRON VERB	▁ ‘ ▁I ▁' d ▁better ▁come ▁clean , ’ ▁I ▁said .	0 0 0 0 0 0 1 1 1 1 0 0 0	PUNCT PUNCT PRON VERB VERB ADV VERB PRON PRON PRON PRON VERB VERB
If Labour Members want to encourage inward investment, they should come clean and clarify in their own minds what their plans for national insurance contributions are.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP PROPN PROPN VERB PART VERB ADJ NOUN PRON VERB VERB ADJ CCONJ VERB ADP ADJ ADJ NOUN NOUN ADJ NOUN ADP ADJ NOUN NOUN VERB	▁If ▁Labour ▁Members ▁want ▁to ▁encourage ▁inward ▁investment , ▁they ▁should ▁come ▁clean ▁and ▁clarify ▁in ▁their ▁own ▁minds ▁what ▁their ▁plans ▁for ▁national ▁insurance ▁contributions ▁are .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB PART VERB ADJ NOUN NOUN PRON VERB VERB ADJ CCONJ VERB ADP ADJ ADJ NOUN NOUN ADJ NOUN ADP ADJ NOUN NOUN VERB VERB
Why don't you come clean and tell the truth?’	0 0 0 1 1 0 0 0 0	come clean	figurative	identical	ADV VERB PRON VERB ADJ CCONJ VERB DET NOUN	▁Why ▁don ' t ▁you ▁come ▁clean ▁and ▁tell ▁the ▁truth ? ’	0 0 0 0 0 1 1 0 0 0 0 0 0	ADV VERB VERB VERB PRON VERB ADJ CCONJ VERB DET NOUN NOUN NOUN
‘ And when we arrived at Heathrow I came clean, telling them Natasha was seeking asylum.’	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	come clean	figurative	inflection	PUNCT CCONJ ADV PRON VERB ADP PROPN PRON VERB ADJ VERB PRON PROPN VERB VERB NOUN	▁ ‘ ▁And ▁when ▁we ▁arrived ▁at ▁He ath row ▁I ▁came ▁clean , ▁telling ▁them ▁Na tas ha ▁was ▁seeking ▁asylum . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT CCONJ ADV PRON VERB ADP PROPN PROPN PROPN PRON VERB ADJ ADJ VERB PRON PROPN PROPN PROPN VERB VERB NOUN NOUN NOUN
The Government should index it or come clean and abolish it.	0 0 0 0 0 0 1 1 0 0 0	come clean	figurative	identical	DET PROPN VERB VERB PRON CCONJ VERB ADJ CCONJ VERB PRON	▁The ▁Government ▁should ▁index ▁it ▁or ▁come ▁clean ▁and ▁abolish ▁it .	0 0 0 0 0 0 1 1 0 0 0 0	DET PROPN VERB VERB PRON CCONJ VERB ADJ CCONJ VERB PRON PRON
Perhaps manufacturers ought to come clean and just build pink guitars with purple headstocks?	0 0 0 0 1 1 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV NOUN VERB PART VERB ADJ CCONJ ADV VERB ADJ NOUN ADP ADJ NOUN	▁Perhaps ▁manufacturers ▁ought ▁to ▁come ▁clean ▁and ▁just ▁build ▁pink ▁g uit ars ▁with ▁pur ple ▁head stock s ?	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV NOUN VERB PART VERB ADJ CCONJ ADV VERB ADJ NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN NOUN
Now I 'm going to come clean right at the beginning.	0 0 0 0 0 1 1 0 0 0 0	come clean	figurative	identical	ADV PRON VERB VERB PART VERB ADJ ADV ADP DET NOUN	▁Now ▁I ▁' m ▁going ▁to ▁come ▁clean ▁right ▁at ▁the ▁beginning .	0 0 0 0 0 0 1 1 0 0 0 0 0	ADV PRON VERB VERB VERB PART VERB ADJ ADV ADP DET NOUN NOUN
Came clean. '	1 1 0	come clean	figurative	combined-inflection	VERB ADJ PUNCT	▁C ame ▁clean . ▁'	1 1 1 1 0	VERB VERB ADJ ADJ PUNCT
