And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN	▁And ▁she ▁still ▁did n ' t ▁know ▁what ▁was ▁on ▁L uke ▁Hun ter ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1	CCONJ PRON ADV VERB VERB VERB VERB VERB NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
He obviously had impregnation on his mind, but by now Lydia had lost her temper and she told him to get stuffed.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON ADV VERB NOUN ADP ADJ NOUN CCONJ ADP ADV PROPN VERB VERB ADJ NOUN CCONJ PRON VERB PRON PART VERB VERB	▁He ▁obviously ▁had ▁imp reg nation ▁on ▁his ▁mind , ▁but ▁by ▁now ▁L y dia ▁had ▁lost ▁her ▁temper ▁and ▁she ▁told ▁him ▁to ▁get ▁stuffed .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB NOUN NOUN NOUN ADP ADJ NOUN NOUN CCONJ ADP ADV PROPN PROPN PROPN VERB VERB ADJ NOUN CCONJ PRON VERB PRON PART VERB VERB VERB
What is on your mind?	0 0 1 1 1	on someone's mind	figurative	possessive	NOUN VERB ADP ADJ NOUN	▁What ▁is ▁on ▁your ▁mind ?	0 0 1 1 1 1	NOUN VERB ADP ADJ NOUN NOUN
‘ I 've something on my mind,’ the landlord said softly to a concrete wall.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT PRON VERB NOUN ADP ADJ NOUN DET NOUN VERB ADV ADP DET ADJ NOUN	▁ ‘ ▁I ▁' ve ▁something ▁on ▁my ▁mind , ’ ▁the ▁land lor d ▁said ▁soft ly ▁to ▁a ▁concrete ▁wall .	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB NOUN ADP ADJ NOUN NOUN NOUN DET NOUN NOUN NOUN VERB ADV ADV ADP DET ADJ NOUN NOUN
WASHINGTON, DC – Nearly five years after the worst financial crisis since the 1930s, and three years after the enactment of the Dodd - Frank financial reforms in the United ~ States, one question is on everyone's mind : Why have we made so little progress?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PROPN PROPN PUNCT ADV NUM NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN CCONJ NUM NOUN ADP DET NOUN ADP DET PROPN PUNCT PROPN ADJ NOUN ADP DET PROPN PUNCT PROPN NUM NOUN VERB ADP NOUN NOUN PUNCT ADV VERB PRON VERB ADV ADJ NOUN	▁WA SH ING TON , ▁DC ▁ – ▁ Nearly ▁five ▁years ▁after ▁the ▁worst ▁financial ▁crisis ▁since ▁the ▁19 30 s , ▁and ▁three ▁years ▁after ▁the ▁enactment ▁of ▁the ▁Do dd ▁- ▁Frank ▁financial ▁reforms ▁in ▁the ▁United ▁ ~ ▁States , ▁one ▁question ▁is ▁on ▁everyone ' s ▁mind ▁ : ▁Why ▁have ▁we ▁made ▁so ▁little ▁progress ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT ADV ADV NUM NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ NUM NOUN ADP DET NOUN ADP DET PROPN PROPN PUNCT PROPN ADJ NOUN ADP DET PROPN PUNCT PUNCT PROPN PROPN NUM NOUN VERB ADP NOUN NOUN NOUN NOUN PUNCT PUNCT ADV VERB PRON VERB ADV ADJ NOUN NOUN
There were other topics on people's minds this year, anything from preventing the destruction of cultural property during wartime, a legacy of the Gulf War and Yugoslav civil war, to speculations on what democracy might mean for culture in Eastern Europe.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-inflection	ADV VERB ADJ NOUN ADP NOUN NOUN DET NOUN NOUN ADP VERB DET NOUN ADP ADJ NOUN ADP NOUN DET NOUN ADP DET PROPN PROPN CCONJ ADJ ADJ NOUN ADP NOUN ADP NOUN NOUN VERB VERB ADP NOUN ADP PROPN PROPN	▁There ▁were ▁other ▁topics ▁on ▁people ' s ▁minds ▁this ▁year , ▁anything ▁from ▁preventing ▁the ▁destruction ▁of ▁cultural ▁property ▁during ▁war time , ▁a ▁legacy ▁of ▁the ▁Gulf ▁War ▁and ▁Yugoslav ▁civil ▁war , ▁to ▁speculation s ▁on ▁what ▁democracy ▁might ▁mean ▁for ▁culture ▁in ▁Eastern ▁Europe .	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ NOUN ADP NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN ADP VERB DET NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN DET NOUN ADP DET PROPN PROPN CCONJ ADJ ADJ NOUN NOUN ADP NOUN NOUN ADP NOUN NOUN VERB VERB ADP NOUN ADP PROPN PROPN PROPN
Has that been something that's been on the government's mind, the backhanded benefit of higher prices?	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	on someone's mind	figurative	combined-other	VERB DET VERB NOUN ADJ VERB ADP DET NOUN NOUN DET ADJ NOUN ADP ADJ NOUN	▁Has ▁that ▁been ▁something ▁that ' s ▁been ▁on ▁the ▁government ' s ▁mind , ▁the ▁back handed ▁benefit ▁of ▁higher ▁prices ?	0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0	VERB DET VERB NOUN ADJ ADJ ADJ VERB ADP DET NOUN NOUN NOUN NOUN NOUN DET ADJ ADJ NOUN ADP ADJ NOUN NOUN
‘ I think they had Wednesday's game too much on their minds.’	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	PUNCT PRON VERB PRON VERB PROPN NOUN ADV ADV ADP ADJ NOUN	▁ ‘ ▁I ▁think ▁they ▁had ▁Wednesday ' s ▁game ▁too ▁much ▁on ▁their ▁minds . ’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB PRON VERB PROPN PROPN PROPN NOUN ADV ADV ADP ADJ NOUN NOUN NOUN
I 've had it on my mind all week. "	0 0 0 0 1 1 1 0 0 0	on someone's mind	figurative	possessive	PRON VERB VERB PRON ADP ADJ NOUN DET NOUN PUNCT	▁I ▁' ve ▁had ▁it ▁on ▁my ▁mind ▁all ▁week . ▁"	0 0 0 0 0 1 1 1 0 0 0 0	PRON VERB VERB VERB PRON ADP ADJ NOUN DET NOUN NOUN PUNCT
Almost all of them probably had something else on their minds.	0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	ADV DET ADP PRON ADV VERB NOUN ADV ADP ADJ NOUN	▁Almost ▁all ▁of ▁them ▁probably ▁had ▁something ▁else ▁on ▁their ▁minds .	0 0 0 0 0 0 0 0 1 1 1 1	ADV DET ADP PRON ADV VERB NOUN ADV ADP ADJ NOUN NOUN
When Souness admits his players had Spartak on their minds at Spurs on Saturday, and when Ray Clemence says Liverpool are in a transitional period, you know they have problems.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-inflection	ADV PROPN VERB ADJ NOUN VERB PROPN ADP ADJ NOUN ADP PROPN ADP PROPN CCONJ ADV PROPN PROPN VERB PROPN VERB ADP DET ADJ NOUN PRON VERB PRON VERB NOUN	▁When ▁S ou ness ▁admit s ▁his ▁players ▁had ▁S part ak ▁on ▁their ▁minds ▁at ▁Sp urs ▁on ▁Saturday , ▁and ▁when ▁Ray ▁C lem ence ▁says ▁Liverpool ▁are ▁in ▁a ▁transitional ▁period , ▁you ▁know ▁they ▁have ▁problems .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PROPN PROPN PROPN VERB VERB ADJ NOUN VERB PROPN PROPN PROPN ADP ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN CCONJ ADV PROPN PROPN PROPN PROPN VERB PROPN VERB ADP DET ADJ NOUN NOUN PRON VERB PRON VERB NOUN NOUN
In fact it had always been the last thing on his mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	ADP NOUN PRON VERB ADV VERB DET ADJ NOUN ADP ADJ NOUN	▁In ▁fact ▁it ▁had ▁always ▁been ▁the ▁last ▁thing ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 1 1 1 1	ADP NOUN PRON VERB ADV VERB DET ADJ NOUN ADP ADJ NOUN NOUN
What will be on their mind is first of all the Prison Authorities are going to isolate them, they 're going to be in solitary confinement for a very long time — six months, maybe a year, that's been the pattern — they 're going to lose a lot of remission, but they also know they 're going to face criminal charges.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	NOUN VERB VERB ADP ADJ NOUN VERB ADV ADP ADJ DET PROPN PROPN VERB VERB PART VERB PRON PRON VERB VERB PART VERB ADP ADJ NOUN ADP DET ADV ADJ NOUN PUNCT NUM NOUN ADV DET NOUN ADJ VERB DET NOUN PUNCT PRON VERB VERB PART VERB DET NOUN ADP NOUN CCONJ PRON ADV VERB PRON VERB VERB PART VERB ADJ NOUN	▁What ▁will ▁be ▁on ▁their ▁mind ▁is ▁first ▁of ▁all ▁the ▁Prison ▁Authorities ▁are ▁going ▁to ▁isolate ▁them , ▁they ▁' re ▁going ▁to ▁be ▁in ▁so lit ary ▁confinement ▁for ▁a ▁very ▁long ▁time ▁ — ▁six ▁months , ▁maybe ▁a ▁year , ▁that ' s ▁been ▁the ▁pattern ▁ — ▁they ▁' re ▁going ▁to ▁lose ▁a ▁lot ▁of ▁remission , ▁but ▁they ▁also ▁know ▁they ▁' re ▁going ▁to ▁face ▁criminal ▁charges .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB ADP ADJ NOUN VERB ADV ADP ADJ DET PROPN PROPN VERB VERB PART VERB PRON PRON PRON VERB VERB VERB PART VERB ADP ADJ ADJ ADJ NOUN ADP DET ADV ADJ NOUN PUNCT PUNCT NUM NOUN NOUN ADV DET NOUN NOUN ADJ ADJ ADJ VERB DET NOUN PUNCT PUNCT PRON VERB VERB VERB PART VERB DET NOUN ADP NOUN NOUN CCONJ PRON ADV VERB PRON VERB VERB VERB PART VERB ADJ NOUN NOUN
It could have been Adam on your mind, I suppose, but I 'm beginning to think that there's a little more to it than that.’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB VERB VERB PROPN ADP ADJ NOUN PRON VERB CCONJ PRON VERB VERB PART VERB ADP ADV DET ADJ ADJ ADP PRON ADP PUNCT	▁It ▁could ▁have ▁been ▁Adam ▁on ▁your ▁mind , ▁I ▁suppose , ▁but ▁I ▁' m ▁beginning ▁to ▁think ▁that ▁there ' s ▁a ▁little ▁more ▁to ▁it ▁than ▁that . ’	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PROPN ADP ADJ NOUN NOUN PRON VERB VERB CCONJ PRON VERB VERB VERB PART VERB ADP ADV ADV ADV DET ADJ ADJ ADP PRON ADP PUNCT PUNCT PUNCT
In part out of deference to the sleepers, and in part from his own unease at saying aloud what was on his mind, Estabrook spoke in whispers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	ADP NOUN ADP ADP NOUN ADP DET NOUN CCONJ ADP NOUN ADP ADJ ADJ NOUN ADP VERB ADV NOUN VERB ADP ADJ NOUN PROPN VERB ADP NOUN	▁In ▁part ▁out ▁of ▁de ference ▁to ▁the ▁sleep ers , ▁and ▁in ▁part ▁from ▁his ▁own ▁un ease ▁at ▁saying ▁al oud ▁what ▁was ▁on ▁his ▁mind , ▁Est a bro ok ▁spoke ▁in ▁whi s pers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP ADP NOUN NOUN ADP DET NOUN NOUN NOUN CCONJ ADP NOUN ADP ADJ ADJ NOUN NOUN ADP VERB ADV ADV NOUN VERB ADP ADJ NOUN NOUN PROPN PROPN PROPN PROPN VERB ADP NOUN NOUN NOUN NOUN
‘ The last thing on Peter's mind — and on mine,’ she added for good measure, ‘ is going to bed together!’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT DET ADJ NOUN ADP PROPN NOUN PUNCT CCONJ ADP PROPN PRON VERB ADP ADJ NOUN PUNCT VERB VERB ADP NOUN VERB	▁ ‘ ▁The ▁last ▁thing ▁on ▁Peter ' s ▁mind ▁ — ▁and ▁on ▁mine , ’ ▁she ▁added ▁for ▁good ▁measure , ▁ ‘ ▁is ▁going ▁to ▁be d ▁together ! ’	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT DET ADJ NOUN ADP PROPN PROPN PROPN NOUN PUNCT PUNCT CCONJ ADP PROPN PROPN PROPN PRON VERB ADP ADJ NOUN NOUN PUNCT PUNCT VERB VERB ADP NOUN NOUN VERB VERB VERB
It was extraordinary how many details simultaneously impressed themselves on Dalgliesh's mind.	0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	PRON VERB ADJ ADV ADJ NOUN ADV VERB PRON ADP PROPN NOUN	▁It ▁was ▁extraordinary ▁how ▁many ▁details ▁simultaneously ▁impress ed ▁themselves ▁on ▁Dal gli esh ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	PRON VERB ADJ ADV ADJ NOUN ADV VERB VERB PRON ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN
A giant with three things on his mind, and all of them dangerous.	0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN ADP NUM NOUN ADP ADJ NOUN CCONJ DET ADP PRON ADJ	▁A ▁giant ▁with ▁three ▁things ▁on ▁his ▁mind , ▁and ▁all ▁of ▁them ▁dangerous .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	DET NOUN ADP NUM NOUN ADP ADJ NOUN NOUN CCONJ DET ADP PRON ADJ ADJ
Well, sex was the last thing on my mind when I got out.	0 0 0 0 0 0 1 1 1 0 0 0 0	on someone's mind	figurative	possessive	INTJ NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB PART	▁Well , ▁sex ▁was ▁the ▁last ▁thing ▁on ▁my ▁mind ▁when ▁I ▁got ▁out .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	INTJ INTJ NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADV PRON VERB PART PART
She felt edgy and unsettled, dreading tomorrow and the final show - down over Ryan — for the prospect of breaking her solemn promise to him still lay heavily on her mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ CCONJ ADJ VERB NOUN CCONJ DET ADJ NOUN PUNCT NOUN ADP PROPN PUNCT ADP DET NOUN ADP VERB ADJ ADJ NOUN ADP PRON ADV VERB ADV ADP ADJ NOUN	▁She ▁felt ▁ed gy ▁and ▁unsettl ed , ▁d read ing ▁tomorrow ▁and ▁the ▁final ▁show ▁- ▁down ▁over ▁R yan ▁ — ▁for ▁the ▁prospect ▁of ▁breaking ▁her ▁solemn ▁promise ▁to ▁him ▁still ▁lay ▁heavily ▁on ▁her ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADJ ADJ CCONJ ADJ ADJ ADJ VERB VERB VERB NOUN CCONJ DET ADJ NOUN PUNCT NOUN ADP PROPN PROPN PUNCT PUNCT ADP DET NOUN ADP VERB ADJ ADJ NOUN ADP PRON ADV VERB ADV ADP ADJ NOUN NOUN
Luke would tire of her, and the answer to her original question already lay like a shadow on her mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN VERB NOUN ADP PRON CCONJ DET NOUN ADP ADJ ADJ NOUN ADV VERB ADP DET NOUN ADP ADJ NOUN	▁L uke ▁would ▁tire ▁of ▁her , ▁and ▁the ▁answer ▁to ▁her ▁original ▁question ▁already ▁lay ▁like ▁a ▁shadow ▁on ▁her ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN VERB NOUN ADP PRON PRON CCONJ DET NOUN ADP ADJ ADJ NOUN ADV VERB ADP DET NOUN ADP ADJ NOUN NOUN
‘ So there is something, then,’ he returned, ‘ something that's on your mind?	0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PUNCT ADV ADV VERB NOUN NOUN PRON VERB PUNCT NOUN ADJ ADP ADJ NOUN	▁ ‘ ▁So ▁there ▁is ▁something , ▁then , ’ ▁he ▁returned , ▁ ‘ ▁something ▁that ' s ▁on ▁your ▁mind ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT ADV ADV VERB NOUN NOUN NOUN NOUN NOUN PRON VERB VERB PUNCT PUNCT NOUN ADJ ADJ ADJ ADP ADJ NOUN NOUN
Me and Andy looked all over for you both last night I had a few things on my mind	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON CCONJ PROPN VERB ADV ADV ADP PRON DET ADJ NOUN PRON VERB DET ADJ NOUN ADP ADJ NOUN	▁Me ▁and ▁And y ▁looked ▁all ▁over ▁for ▁you ▁both ▁last ▁night ▁I ▁had ▁a ▁few ▁things ▁on ▁my ▁mind	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON CCONJ PROPN PROPN VERB ADV ADV ADP PRON DET ADJ NOUN PRON VERB DET ADJ NOUN ADP ADJ NOUN
‘ It's just that one has so much of importance on one's mind just now.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on someone's mind	figurative	combined-other	PUNCT PRON ADV ADP PRON VERB ADV ADJ ADP NOUN ADP PRON NOUN ADV NOUN	▁ ‘ ▁It ' s ▁just ▁that ▁one ▁has ▁so ▁much ▁of ▁importance ▁on ▁one ' s ▁mind ▁just ▁now . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADV ADP PRON VERB ADV ADJ ADP NOUN ADP PRON PRON PRON NOUN ADV NOUN NOUN NOUN
‘ If you ask me, that story about Gebrec having something on his mind was just a cover - up.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	on someone's mind	figurative	possessive	PUNCT ADP PRON VERB PRON DET NOUN ADP PROPN VERB NOUN ADP ADJ NOUN VERB ADV DET NOUN PUNCT NOUN	▁ ‘ ▁If ▁you ▁ask ▁me , ▁that ▁story ▁about ▁Ge bre c ▁having ▁something ▁on ▁his ▁mind ▁was ▁just ▁a ▁cover ▁- ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB PRON PRON DET NOUN ADP PROPN PROPN PROPN VERB NOUN ADP ADJ NOUN VERB ADV DET NOUN PUNCT NOUN NOUN
He looked, little doubt of it, considerably relieved, but clearly there was something on his mind, for he stood hesitantly beside the table, his eyes scouting around for some object upon which to focus.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB ADJ NOUN ADP PRON ADV VERB CCONJ ADV ADV VERB NOUN ADP ADJ NOUN ADP PRON VERB ADV ADP DET NOUN ADJ NOUN VERB ADV ADP DET NOUN ADP ADJ PART VERB	▁He ▁looked , ▁little ▁doubt ▁of ▁it , ▁considerably ▁relieved , ▁but ▁clearly ▁there ▁was ▁something ▁on ▁his ▁mind , ▁for ▁he ▁stood ▁hesita nt ly ▁be side ▁the ▁table , ▁his ▁eyes ▁sc out ing ▁around ▁for ▁some ▁object ▁upon ▁which ▁to ▁focus .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ NOUN ADP PRON PRON ADV VERB VERB CCONJ ADV ADV VERB NOUN ADP ADJ NOUN NOUN ADP PRON VERB ADV ADV ADV ADP ADP DET NOUN NOUN ADJ NOUN VERB VERB VERB ADV ADP DET NOUN ADP ADJ PART VERB VERB
With this one issue so heavy on his mind, might he not have muttered some confused reference to it in his dreams?	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADP DET NUM NOUN ADV ADJ ADP ADJ NOUN VERB PRON ADV VERB VERB DET ADJ NOUN ADP PRON ADP ADJ NOUN	▁With ▁this ▁one ▁issue ▁so ▁heavy ▁on ▁his ▁mind , ▁might ▁he ▁not ▁have ▁mut tered ▁some ▁confused ▁reference ▁to ▁it ▁in ▁his ▁dreams ?	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NUM NOUN ADV ADJ ADP ADJ NOUN NOUN VERB PRON ADV VERB VERB VERB DET ADJ NOUN ADP PRON ADP ADJ NOUN NOUN
Probably because he 'd been so much on her mind, she instantly fell into dreaming of Adam, his dark fathomless eyes and granite features dominating her sleep.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV ADP PRON VERB VERB ADV ADJ ADP ADJ NOUN PRON ADV VERB ADP VERB ADP PROPN ADJ ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADJ NOUN	▁Pro b ably ▁because ▁he ▁' d ▁been ▁so ▁much ▁on ▁her ▁mind , ▁she ▁in stantly ▁fell ▁into ▁dream ing ▁of ▁Adam , ▁his ▁dark ▁fat hom less ▁eyes ▁and ▁granite ▁features ▁do minating ▁her ▁sleep .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP PRON VERB VERB VERB ADV ADJ ADP ADJ NOUN NOUN PRON ADV ADV VERB ADP VERB VERB ADP PROPN PROPN ADJ ADJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN VERB VERB ADJ NOUN NOUN
I had much on my mind, and I wanted to ponder over my problems, real or imaginary.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PRON VERB ADJ ADP ADJ NOUN CCONJ PRON VERB PART VERB ADP ADJ NOUN ADJ CCONJ ADJ	▁I ▁had ▁much ▁on ▁my ▁mind , ▁and ▁I ▁wanted ▁to ▁p onder ▁over ▁my ▁problems , ▁real ▁or ▁ imagin ary .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP ADJ NOUN NOUN CCONJ PRON VERB PART VERB VERB ADP ADJ NOUN NOUN ADJ CCONJ ADJ ADJ ADJ ADJ
I had other things on my mind.	0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ NOUN ADP ADJ NOUN	▁I ▁had ▁other ▁things ▁on ▁my ▁mind .	0 0 0 0 1 1 1 1	PRON VERB ADJ NOUN ADP ADJ NOUN NOUN
The problems of bringing up young children on your own will be one of the big questions on Brenda Gooch's mind, according to single mum Mary Lowe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	on someone's mind	figurative	combined-other	DET NOUN ADP VERB PART ADJ NOUN ADP ADJ ADJ VERB VERB NUM ADP DET ADJ NOUN ADP PROPN PROPN NOUN VERB ADP ADJ ADJ PROPN PROPN	▁The ▁problems ▁of ▁bringing ▁up ▁young ▁children ▁on ▁your ▁own ▁will ▁be ▁one ▁of ▁the ▁big ▁questions ▁on ▁Br enda ▁Go och ' s ▁mind , ▁according ▁to ▁single ▁m um ▁Mary ▁Low e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	DET NOUN ADP VERB PART ADJ NOUN ADP ADJ ADJ VERB VERB NUM ADP DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB ADP ADJ ADJ ADJ PROPN PROPN PROPN PROPN
' Monsieur Bonard knew that something very serious was on Alain's mind, but he said he had no idea what it was.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	combined-other	PUNCT PROPN PROPN VERB ADP NOUN ADV ADJ VERB ADP PROPN NOUN CCONJ PRON VERB PRON VERB DET NOUN NOUN PRON VERB	▁' ▁Monsieur ▁Bon ard ▁knew ▁that ▁something ▁very ▁serious ▁was ▁on ▁A lain ' s ▁mind , ▁but ▁he ▁said ▁he ▁had ▁no ▁idea ▁what ▁it ▁was .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PROPN PROPN PROPN VERB ADP NOUN ADV ADJ VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN CCONJ PRON VERB PRON VERB DET NOUN NOUN PRON VERB VERB
What's on your mind?’	0 1 1 1	on someone's mind	figurative	combined-other	NOUN ADP ADJ NOUN	▁What ' s ▁on ▁your ▁mind ? ’	0 0 0 1 1 1 1 1	NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN
