Er a complete dead loss about which way to go and turn basically.	0 0 0 0 0 0 0 1 1 1 0 0 0	way to go	literal	identical	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV	▁Er ▁a ▁complete ▁dead ▁loss ▁about ▁which ▁way ▁to ▁go ▁and ▁turn ▁basic ally .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV ADV ADV
Measuring the statistical improbability of a suggestion is the right way to go about assessing its believability.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	way to go	literal	identical	VERB DET ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN PART VERB ADP VERB ADJ NOUN	▁Measuring ▁the ▁statistical ▁im pro b ability ▁of ▁a ▁suggestion ▁is ▁the ▁right ▁way ▁to ▁go ▁about ▁assessing ▁its ▁be l iev ability .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	VERB DET ADJ NOUN NOUN NOUN NOUN ADP DET NOUN VERB DET ADJ NOUN PART VERB ADP VERB ADJ NOUN NOUN NOUN NOUN NOUN
Graduates from fixed wing models will find the first type the most natural way to go, but they can become dangerous if you get into trouble or become disorientated.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	NOUN ADP VERB NOUN NOUN VERB VERB DET ADJ NOUN DET ADV ADJ NOUN PART VERB CCONJ PRON VERB VERB ADJ ADP PRON VERB ADP NOUN CCONJ VERB VERB	▁Graduate s ▁from ▁fixed ▁wing ▁models ▁will ▁find ▁the ▁first ▁type ▁the ▁most ▁natural ▁way ▁to ▁go , ▁but ▁they ▁can ▁become ▁dangerous ▁if ▁you ▁get ▁into ▁trouble ▁or ▁become ▁dis orientated .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADP VERB NOUN NOUN VERB VERB DET ADJ NOUN DET ADV ADJ NOUN PART VERB VERB CCONJ PRON VERB VERB ADJ ADP PRON VERB ADP NOUN CCONJ VERB VERB VERB VERB
Each one shows us the right way to go and we must learn to use it aright.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	way to go	literal	identical	DET NOUN VERB PRON DET ADJ NOUN PART VERB CCONJ PRON VERB VERB PART VERB PRON ADV	▁E ach ▁one ▁shows ▁us ▁the ▁right ▁way ▁to ▁go ▁and ▁we ▁must ▁learn ▁to ▁use ▁it ▁a right .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	DET DET NOUN VERB PRON DET ADJ NOUN PART VERB CCONJ PRON VERB VERB PART VERB PRON ADV ADV ADV
That's a hell of a way to go, I say.	0 0 0 0 0 1 1 1 0 0	way to go	literal	identical	DET DET NOUN ADP DET NOUN PART VERB PRON VERB	▁That ' s ▁a ▁he ll ▁of ▁a ▁way ▁to ▁go , ▁I ▁say .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	DET DET DET DET NOUN NOUN ADP DET NOUN PART VERB VERB PRON VERB VERB
The radar beam which tracks the Patriot missile carries instructions updating it on which way to go to head off the enemy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	identical	DET NOUN NOUN ADJ VERB DET PROPN NOUN VERB NOUN VERB PRON ADP ADJ NOUN PART VERB PART VERB PART DET NOUN	▁The ▁radar ▁beam ▁which ▁tracks ▁the ▁Pat rio t ▁missile ▁carries ▁instructions ▁updating ▁it ▁on ▁which ▁way ▁to ▁go ▁to ▁head ▁off ▁the ▁enemy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	DET NOUN NOUN ADJ VERB DET PROPN PROPN PROPN NOUN VERB NOUN VERB PRON ADP ADJ NOUN PART VERB PART VERB PART DET NOUN NOUN
You 'd have mountains on each side of you and there 'd only be one way to go.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	dashes	PRON VERB VERB NOUN ADP DET NOUN ADP PRON CCONJ ADV VERB ADV VERB NUM NOUN ADP NOUN	▁You ▁' d ▁have ▁mountains ▁on ▁each ▁side ▁of ▁you ▁and ▁there ▁' d ▁only ▁be ▁one ▁way ▁to ▁go . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB NOUN ADP DET NOUN ADP PRON CCONJ ADV VERB VERB ADV VERB NUM NOUN ADP NOUN NOUN NOUN
Although our productivity compares well with coal industries in Europe, it has some way to go before it is at the level of some of the coal industries outside Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP ADJ NOUN VERB ADV ADP NOUN NOUN ADP PROPN PRON VERB DET NOUN PART VERB ADP PRON VERB ADP DET NOUN ADP DET ADP DET NOUN NOUN ADP PROPN	▁Although ▁our ▁productivity ▁compare s ▁well ▁with ▁coal ▁industries ▁in ▁Europe , ▁it ▁has ▁some ▁way ▁to ▁go ▁before ▁it ▁is ▁at ▁the ▁level ▁of ▁some ▁of ▁the ▁coal ▁industries ▁outside ▁Europe .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN VERB VERB ADV ADP NOUN NOUN ADP PROPN PROPN PRON VERB DET NOUN PART VERB ADP PRON VERB ADP DET NOUN ADP DET ADP DET NOUN NOUN ADP PROPN PROPN
In an ideal world we would be recycling and re - using everything, but this isn't possible and we have a long way to go before we can turn all our waste into a resource.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP DET ADJ NOUN PRON VERB VERB VERB CCONJ NOUN PUNCT VERB NOUN CCONJ DET VERB ADJ CCONJ PRON VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB ADJ ADJ NOUN ADP DET NOUN	▁In ▁an ▁ideal ▁world ▁we ▁would ▁be ▁recycling ▁and ▁re ▁- ▁using ▁everything , ▁but ▁this ▁is n ' t ▁possible ▁and ▁we ▁have ▁a ▁long ▁way ▁to ▁go ▁before ▁we ▁can ▁turn ▁all ▁our ▁waste ▁into ▁a ▁resource .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PRON VERB VERB VERB CCONJ NOUN PUNCT VERB NOUN NOUN CCONJ DET VERB VERB VERB VERB ADJ CCONJ PRON VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB ADJ ADJ NOUN ADP DET NOUN NOUN
There is still a long way to go, however, before the disease receives the attention and share of resources which it deserves, whereby an effective screening programme can be established to identify those most at risk.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV VERB ADV DET ADJ NOUN PART VERB ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN ADP NOUN ADJ PRON VERB ADV DET ADJ NOUN NOUN VERB VERB VERB PART VERB DET ADJ ADP NOUN	▁There ▁is ▁still ▁a ▁long ▁way ▁to ▁go , ▁however , ▁before ▁the ▁disease ▁receives ▁the ▁attention ▁and ▁share ▁of ▁resources ▁which ▁it ▁deserves , ▁whereby ▁an ▁effective ▁screening ▁programme ▁can ▁be ▁established ▁to ▁identify ▁those ▁most ▁at ▁risk .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADV DET ADJ NOUN PART VERB VERB ADV ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN ADP NOUN ADJ PRON VERB VERB ADV DET ADJ NOUN NOUN VERB VERB VERB PART VERB DET ADJ ADP NOUN NOUN
But this is the wrong way to go, for it might serve only to erode one of the few effective mechanisms in place to make multilateral agreements binding.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	CCONJ DET VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB ADV PART VERB NUM ADP DET ADJ ADJ NOUN ADP NOUN PART VERB ADJ NOUN VERB	▁But ▁this ▁is ▁the ▁wrong ▁way ▁to ▁go , ▁for ▁it ▁might ▁serve ▁only ▁to ▁er ode ▁one ▁of ▁the ▁few ▁effective ▁mechanisms ▁in ▁place ▁to ▁make ▁multilateral ▁agreements ▁binding .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET VERB DET ADJ NOUN PART VERB VERB ADP PRON VERB VERB ADV PART VERB VERB NUM ADP DET ADJ ADJ NOUN ADP NOUN PART VERB ADJ NOUN VERB VERB
Is there a way to go back?	0 0 0 1 1 1 0	way to go	literal	identical	VERB ADV DET NOUN PART VERB ADV	▁Is ▁there ▁a ▁way ▁to ▁go ▁back ?	0 0 0 1 1 1 0 0	VERB ADV DET NOUN PART VERB ADV ADV
committee, but I 'm, it's a long, long way for us to go on that particular path.	0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0	way to go	literal	insertion-other	NOUN CCONJ PRON NOUN PRON DET ADJ ADJ NOUN ADP PRON PART VERB ADP DET ADJ NOUN	▁committee , ▁but ▁I ▁' m , ▁it ' s ▁a ▁long , ▁long ▁way ▁for ▁us ▁to ▁go ▁on ▁that ▁particular ▁path .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0	NOUN NOUN CCONJ PRON NOUN NOUN NOUN PRON PRON PRON DET ADJ ADJ ADJ NOUN ADP PRON PART VERB ADP DET ADJ NOUN NOUN
The lesson is clear : export - led growth is the way to go.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	DET NOUN VERB ADJ PUNCT NOUN PUNCT VERB NOUN VERB DET NOUN PART VERB	▁The ▁lesson ▁is ▁clear ▁ : ▁export ▁- ▁led ▁growth ▁is ▁the ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN VERB ADJ PUNCT PUNCT NOUN PUNCT VERB NOUN VERB DET NOUN PART VERB VERB
It doesn't need me to say that we 've got a long way to go.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	PRON VERB VERB PRON PART VERB ADP PRON VERB VERB DET ADJ NOUN PART VERB	▁It ▁does n ' t ▁need ▁me ▁to ▁say ▁that ▁we ▁' ve ▁got ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB VERB VERB VERB PRON PART VERB ADP PRON VERB VERB VERB DET ADJ NOUN PART VERB VERB
The experts ’ view is that the only profitable way to go about it is to install hundreds of windmills with a capacity of at ~ least four to five megawatts each.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	DET NOUN PART NOUN VERB ADP DET ADJ ADJ NOUN PART VERB ADP PRON VERB PART VERB NOUN ADP NOUN ADP DET NOUN ADP ADP PUNCT ADJ NUM PART NUM NOUN DET	▁The ▁experts ▁ ’ ▁view ▁is ▁that ▁the ▁only ▁profitable ▁way ▁to ▁go ▁about ▁it ▁is ▁to ▁install ▁hundreds ▁of ▁wind mill s ▁with ▁a ▁capacity ▁of ▁at ▁ ~ ▁least ▁four ▁to ▁five ▁me g aw att s ▁each .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PART PART NOUN VERB ADP DET ADJ ADJ NOUN PART VERB ADP PRON VERB PART VERB NOUN ADP NOUN NOUN NOUN ADP DET NOUN ADP ADP PUNCT PUNCT ADJ NUM PART NUM NOUN NOUN NOUN NOUN NOUN DET DET
Low - alcohol wines, beers and lagers have some way to go before they are considered chic, but many an exclusive restaurant can now produce a mineral water list on cue.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADJ PUNCT NOUN NOUN NOUN CCONJ NOUN VERB DET NOUN PART VERB ADP PRON VERB VERB ADJ CCONJ ADJ DET ADJ NOUN VERB ADV VERB DET NOUN NOUN NOUN ADP NOUN	▁Low ▁- ▁alcohol ▁wines , ▁be ers ▁and ▁lag ers ▁have ▁some ▁way ▁to ▁go ▁before ▁they ▁are ▁considered ▁ch ic , ▁but ▁many ▁an ▁exclusive ▁restaurant ▁can ▁now ▁produce ▁a ▁mineral ▁water ▁list ▁on ▁cu e .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ PUNCT NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN VERB DET NOUN PART VERB ADP PRON VERB VERB ADJ ADJ ADJ CCONJ ADJ DET ADJ NOUN VERB ADV VERB DET NOUN NOUN NOUN ADP NOUN NOUN NOUN
He is a free spirit, with a long way to go, who should be closely followed	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	identical	PRON VERB DET ADJ NOUN ADP DET ADJ NOUN PART VERB NOUN VERB VERB ADV VERB	▁He ▁is ▁a ▁free ▁spirit , ▁with ▁a ▁long ▁way ▁to ▁go , ▁who ▁should ▁be ▁closely ▁followed	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PRON VERB DET ADJ NOUN NOUN ADP DET ADJ NOUN PART VERB VERB NOUN VERB VERB ADV VERB
But markets provide useful competition with local banks, which have a long way to go before they learn to allocate capital efficiently.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	way to go	literal	identical	CCONJ NOUN VERB ADJ NOUN ADP ADJ NOUN ADJ VERB DET ADJ NOUN PART VERB ADP PRON VERB PART VERB NOUN ADV	▁But ▁markets ▁provide ▁useful ▁competition ▁with ▁local ▁banks , ▁which ▁have ▁a ▁long ▁way ▁to ▁go ▁before ▁they ▁learn ▁to ▁allocate ▁capital ▁efficiently .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	CCONJ NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN ADJ VERB DET ADJ NOUN PART VERB ADP PRON VERB PART VERB NOUN ADV ADV
Overall, the process of becoming a budget - minded organisation has been a learning curve for some of us but has to be the right way to go.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	dashes	ADV DET NOUN ADP VERB DET NOUN PUNCT ADJ NOUN VERB VERB DET VERB NOUN ADP DET ADP PRON CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN	▁Overall , ▁the ▁process ▁of ▁becoming ▁a ▁budget ▁- ▁mind ed ▁organisation ▁has ▁been ▁a ▁learning ▁curve ▁for ▁some ▁of ▁us ▁but ▁has ▁to ▁be ▁the ▁right ▁way ▁to ▁go . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV ADV DET NOUN ADP VERB DET NOUN PUNCT ADJ ADJ NOUN VERB VERB DET VERB NOUN ADP DET ADP PRON CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN NOUN NOUN
and, and stuff like that so I mean in a sense you 're by now a fairly good judge of the way to go about this sort of thing, you 're a fairly good judge of what sort of things are important, perhaps the way in which people describe stuff and, and, you know, words, concepts, vocabularies erm all that kind of thing which obviously it helps if your questionnaire fits in with	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	CCONJ CCONJ NOUN ADP DET ADV PRON VERB ADP DET NOUN PRON VERB ADP ADV DET ADV ADJ NOUN ADP DET NOUN PART VERB ADP DET NOUN ADP NOUN PRON VERB DET ADV ADJ NOUN ADP NOUN NOUN ADP NOUN VERB ADJ ADV DET NOUN ADP ADJ NOUN VERB NOUN CCONJ CCONJ PRON VERB NOUN NOUN NOUN ADV ADJ DET NOUN ADP NOUN ADJ ADV PRON VERB ADP ADJ NOUN VERB PART ADP	▁and , ▁and ▁stuff ▁like ▁that ▁so ▁I ▁mean ▁in ▁a ▁sense ▁you ▁' re ▁by ▁now ▁a ▁fairly ▁good ▁judge ▁of ▁the ▁way ▁to ▁go ▁about ▁this ▁sort ▁of ▁thing , ▁you ▁' re ▁a ▁fairly ▁good ▁judge ▁of ▁what ▁sort ▁of ▁things ▁are ▁important , ▁perhaps ▁the ▁way ▁in ▁which ▁people ▁describe ▁stuff ▁and , ▁and , ▁you ▁know , ▁words , ▁concepts , ▁voca bul aries ▁er m ▁all ▁that ▁kind ▁of ▁thing ▁which ▁obviously ▁it ▁helps ▁if ▁your ▁questionnaire ▁fits ▁in ▁with	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ CCONJ NOUN ADP DET ADV PRON VERB ADP DET NOUN PRON VERB VERB ADP ADV DET ADV ADJ NOUN ADP DET NOUN PART VERB ADP DET NOUN ADP NOUN NOUN PRON VERB VERB DET ADV ADJ NOUN ADP NOUN NOUN ADP NOUN VERB ADJ ADJ ADV DET NOUN ADP ADJ NOUN VERB NOUN CCONJ CCONJ CCONJ CCONJ PRON VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADV ADV ADJ DET NOUN ADP NOUN ADJ ADV PRON VERB ADP ADJ NOUN VERB PART ADP
The woman was in black stilettoes, walking slowly and evidently in pain — as if she had walked into the country in inappropriate shoes and was blistered and had a long way to go, as if this hot summer wind from the chalk hills was almost too much for her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	DET NOUN VERB ADP ADJ NOUN VERB ADV CCONJ ADV ADP NOUN PUNCT ADP ADP PRON VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB VERB CCONJ VERB DET ADJ NOUN PART VERB ADP ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN VERB ADV ADV ADJ ADP PRON	▁The ▁woman ▁was ▁in ▁black ▁s til ett oes , ▁walking ▁slowly ▁and ▁evident ly ▁in ▁pain ▁ — ▁as ▁if ▁she ▁had ▁walked ▁into ▁the ▁country ▁in ▁inappropriate ▁shoes ▁and ▁was ▁blister ed ▁and ▁had ▁a ▁long ▁way ▁to ▁go , ▁as ▁if ▁this ▁hot ▁summer ▁wind ▁from ▁the ▁chalk ▁hill s ▁was ▁almost ▁too ▁much ▁for ▁her .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN VERB ADV CCONJ ADV ADV ADP NOUN PUNCT PUNCT ADP ADP PRON VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB VERB VERB CCONJ VERB DET ADJ NOUN PART VERB VERB ADP ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN VERB ADV ADV ADJ ADP PRON PRON
So I think we 've got to be very careful erm, and I want to know which way to go with this.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	way to go	literal	identical	ADV PRON VERB PRON VERB VERB PART VERB ADV ADJ NOUN CCONJ PRON VERB PART VERB ADJ NOUN PART VERB ADP DET	▁So ▁I ▁think ▁we ▁' ve ▁got ▁to ▁be ▁very ▁careful ▁er m , ▁and ▁I ▁want ▁to ▁know ▁which ▁way ▁to ▁go ▁with ▁this .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV PRON VERB PRON VERB VERB VERB PART VERB ADV ADJ NOUN NOUN NOUN CCONJ PRON VERB PART VERB ADJ NOUN PART VERB ADP DET DET
They believe having an international executive search business is the way to go, although they are late in starting and face formidable competition from the major international search firms.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PRON VERB VERB DET ADJ NOUN NOUN NOUN VERB DET NOUN PART VERB ADP PRON VERB ADJ ADP VERB CCONJ VERB ADJ NOUN ADP DET ADJ ADJ NOUN NOUN	▁They ▁believe ▁having ▁an ▁international ▁executive ▁search ▁business ▁is ▁the ▁way ▁to ▁go , ▁although ▁they ▁are ▁late ▁in ▁starting ▁and ▁face ▁formidable ▁competition ▁from ▁the ▁major ▁international ▁search ▁firms .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET ADJ NOUN NOUN NOUN VERB DET NOUN PART VERB VERB ADP PRON VERB ADJ ADP VERB CCONJ VERB ADJ NOUN ADP DET ADJ ADJ NOUN NOUN NOUN
He has a long way to go before equalling last year's prize money of £ 42,399, but the wonder horse proved that he is again in irresistible form when opening Whitaker's account with a first prize of £ 3,700.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	figurative	identical	PRON VERB DET ADJ NOUN PART VERB ADP VERB ADJ NOUN NOUN NOUN ADP SYM NUM CCONJ DET NOUN NOUN VERB ADP PRON VERB ADV ADP ADJ NOUN ADV VERB PROPN NOUN ADP DET ADJ NOUN ADP SYM NUM	▁He ▁has ▁a ▁long ▁way ▁to ▁go ▁before ▁equal ling ▁last ▁year ' s ▁prize ▁money ▁of ▁£ ▁42, 399 , ▁but ▁the ▁wonder ▁horse ▁proved ▁that ▁he ▁is ▁again ▁in ▁irre s ist ible ▁form ▁when ▁opening ▁Whit a ker ' s ▁account ▁with ▁a ▁first ▁prize ▁of ▁£ ▁3, 700 .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN PART VERB ADP VERB VERB ADJ NOUN NOUN NOUN NOUN NOUN ADP SYM NUM NUM NUM CCONJ DET NOUN NOUN VERB ADP PRON VERB ADV ADP ADJ ADJ ADJ ADJ NOUN ADV VERB PROPN PROPN PROPN PROPN PROPN NOUN ADP DET ADJ NOUN ADP SYM NUM NUM NUM
Looked at objectively, this has got to be the way to go.’	0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	dashes	VERB ADP ADV DET VERB VERB PART VERB DET NOUN ADP NOUN	▁Look ed ▁at ▁objectively , ▁this ▁has ▁got ▁to ▁be ▁the ▁way ▁to ▁go . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	VERB VERB ADP ADV ADV DET VERB VERB PART VERB DET NOUN ADP NOUN NOUN NOUN
And I 'm afraid that as all I 've seen is one miscalculated mishap after another you 've got an awful long way to go before I 'm convinced of anything.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	way to go	literal	identical	CCONJ PRON VERB ADJ ADP ADV DET PRON VERB VERB VERB NUM VERB NOUN ADP DET PRON VERB VERB DET ADJ ADJ NOUN PART VERB ADP PRON VERB ADJ ADP NOUN	▁And ▁I ▁' m ▁afraid ▁that ▁as ▁all ▁I ▁' ve ▁seen ▁is ▁one ▁mis calculated ▁m ish ap ▁after ▁another ▁you ▁' ve ▁got ▁an ▁awful ▁long ▁way ▁to ▁go ▁before ▁I ▁' m ▁convinced ▁of ▁anything .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB ADJ ADP ADV DET PRON VERB VERB VERB VERB NUM VERB VERB NOUN NOUN NOUN ADP DET PRON VERB VERB VERB DET ADJ ADJ NOUN PART VERB ADP PRON VERB VERB ADJ ADP NOUN NOUN
The birth was on July 1st and at 7 lb 7 oz he's got a long way to go to catch up to dad.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	identical	DET NOUN VERB ADP PROPN NOUN CCONJ ADP NUM PROPN NUM NOUN PRON VERB DET ADJ NOUN PART VERB PART VERB PART ADP NOUN	▁The ▁birth ▁was ▁on ▁July ▁1 st ▁and ▁at ▁7 ▁l b ▁7 ▁ oz ▁he ' s ▁got ▁a ▁long ▁way ▁to ▁go ▁to ▁catch ▁up ▁to ▁da d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	DET NOUN VERB ADP PROPN NOUN NOUN CCONJ ADP NUM PROPN PROPN NUM NOUN NOUN PRON PRON PRON VERB DET ADJ NOUN PART VERB PART VERB PART ADP NOUN NOUN NOUN
Leaving their nest - holes they have some way to go before the sea can provide them with a refuge.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	way to go	literal	identical	VERB ADJ NOUN PUNCT NOUN PRON VERB DET NOUN PART VERB ADP DET NOUN VERB VERB PRON ADP DET NOUN	▁Leav ing ▁their ▁n est ▁- ▁holes ▁they ▁have ▁some ▁way ▁to ▁go ▁before ▁the ▁sea ▁can ▁provide ▁them ▁with ▁a ▁refuge .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	VERB VERB ADJ NOUN NOUN PUNCT NOUN PRON VERB DET NOUN PART VERB ADP DET NOUN VERB VERB PRON ADP DET NOUN NOUN
Yet I perceive there is still some way to go before voluntary and statutory bodies can claim to have made a serious break - through in mobilising action.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	CCONJ PRON VERB ADV VERB ADV DET NOUN PART VERB ADP ADJ CCONJ ADJ NOUN VERB VERB PART VERB VERB DET ADJ NOUN PUNCT NOUN ADP VERB NOUN	▁Yet ▁I ▁perceive ▁there ▁is ▁still ▁some ▁way ▁to ▁go ▁before ▁voluntary ▁and ▁statutory ▁bodies ▁can ▁claim ▁to ▁have ▁made ▁a ▁serious ▁break ▁- ▁through ▁in ▁mobilis ing ▁action .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADV VERB ADV DET NOUN PART VERB ADP ADJ CCONJ ADJ NOUN VERB VERB PART VERB VERB DET ADJ NOUN PUNCT NOUN ADP VERB VERB NOUN NOUN
