As you know, I ' ve lost my job, so I ' m having trouble making ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	ADP PRON VERB PRON PUNCT VERB VERB ADJ NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB	▁As ▁you ▁know , ▁I ▁' ▁ve ▁lost ▁my ▁job , ▁so ▁I ▁' ▁m ▁having ▁trouble ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB PRON PUNCT VERB VERB ADJ NOUN NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB VERB
Since having to give - up a dolls - house as a small child to help her mother make ends meet, Rosemary Gardner has always yearned to walk into a little world of her own, now, 40 + years later, she has done just that!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADP VERB PART VERB PUNCT PART DET NOUN PUNCT NOUN ADP DET ADJ NOUN PART VERB ADJ NOUN VERB NOUN VERB PROPN PROPN VERB ADV VERB PART VERB ADP DET ADJ NOUN ADP ADJ ADJ ADV NUM SYM NOUN ADV PRON VERB VERB ADV DET	▁Since ▁having ▁to ▁give ▁- ▁up ▁a ▁do ll s ▁- ▁house ▁as ▁a ▁small ▁child ▁to ▁help ▁her ▁mother ▁make ▁ends ▁meet , ▁Rose m ary ▁Gard ner ▁has ▁always ▁year ned ▁to ▁walk ▁into ▁a ▁little ▁world ▁of ▁her ▁own , ▁now , ▁40 ▁+ ▁years ▁later , ▁she ▁has ▁done ▁just ▁that !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP VERB PART VERB PUNCT PART DET NOUN NOUN NOUN PUNCT NOUN ADP DET ADJ NOUN PART VERB ADJ NOUN VERB NOUN VERB VERB PROPN PROPN PROPN PROPN PROPN VERB ADV VERB VERB PART VERB ADP DET ADJ NOUN ADP ADJ ADJ ADJ ADV ADV NUM SYM NOUN ADV ADV PRON VERB VERB ADV DET DET
And we 're really having to struggle to sort of make ends meet.	0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	CCONJ PRON VERB ADV VERB PART VERB PART ADV ADV VERB NOUN VERB	▁And ▁we ▁' re ▁really ▁having ▁to ▁struggle ▁to ▁sort ▁of ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ PRON VERB VERB ADV VERB PART VERB PART ADV ADV VERB NOUN VERB VERB
This very year, Save The Children's reports making ends meet and our contribution to the world health survey have enabled radical alterations to be made to the world communities practice with regard first to nutrition and food aid, particularly in East Africa and secondly to primary health care practice.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	DET ADJ NOUN PROPN DET PROPN NOUN VERB NOUN VERB CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB ADJ NOUN PART VERB VERB ADP DET NOUN NOUN NOUN ADP NOUN ADV ADP NOUN CCONJ NOUN NOUN ADV ADP PROPN PROPN CCONJ ADV ADP ADJ NOUN NOUN NOUN	▁This ▁very ▁year , ▁Save ▁The ▁Children ' s ▁reports ▁making ▁ends ▁meet ▁and ▁our ▁contribution ▁to ▁the ▁world ▁health ▁survey ▁have ▁enabled ▁radical ▁alterations ▁to ▁be ▁made ▁to ▁the ▁world ▁communities ▁practice ▁with ▁regard ▁first ▁to ▁nutrition ▁and ▁food ▁aid , ▁particularly ▁in ▁East ▁Africa ▁and ▁secondly ▁to ▁primary ▁health ▁care ▁practice .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN PROPN DET PROPN PROPN PROPN NOUN VERB NOUN VERB CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB ADJ NOUN PART VERB VERB ADP DET NOUN NOUN NOUN ADP NOUN ADV ADP NOUN CCONJ NOUN NOUN NOUN ADV ADP PROPN PROPN CCONJ ADV ADP ADJ NOUN NOUN NOUN NOUN
Some of the smaller stations already find it difficult to make ends meet — and the arrival of a national commercial channel, which would take most of the country - wide advertising, could put them out of business.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	DET ADP DET ADJ NOUN ADV VERB PRON ADJ PART VERB NOUN VERB PUNCT CCONJ DET NOUN ADP DET ADJ ADJ NOUN ADJ VERB VERB ADJ ADP DET NOUN PUNCT ADJ NOUN VERB VERB PRON ADP ADP NOUN	▁Some ▁of ▁the ▁smaller ▁stations ▁already ▁find ▁it ▁difficult ▁to ▁make ▁ends ▁meet ▁ — ▁and ▁the ▁arrival ▁of ▁a ▁national ▁commercial ▁channel , ▁which ▁would ▁take ▁most ▁of ▁the ▁country ▁- ▁wide ▁advertising , ▁could ▁put ▁them ▁out ▁of ▁business .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP DET ADJ NOUN ADV VERB PRON ADJ PART VERB NOUN VERB PUNCT PUNCT CCONJ DET NOUN ADP DET ADJ ADJ NOUN NOUN ADJ VERB VERB ADJ ADP DET NOUN PUNCT ADJ NOUN NOUN VERB VERB PRON ADP ADP NOUN NOUN
I do not question the fact that in some parts of the country students are finding it difficult to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN ADP DET NOUN NOUN VERB VERB PRON ADJ PART VERB NOUN VERB	▁I ▁do ▁not ▁question ▁the ▁fact ▁that ▁in ▁some ▁parts ▁of ▁the ▁country ▁students ▁are ▁finding ▁it ▁difficult ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN ADP DET NOUN NOUN VERB VERB PRON ADJ PART VERB NOUN VERB VERB
And women are as likely as not to be left to fend for themselves, living crowded into one room with all the children and having to work all night sewing or cleaning to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	CCONJ NOUN VERB ADV ADJ ADP ADV PART VERB VERB PART VERB ADP PRON VERB VERB ADP NUM NOUN ADP ADJ DET NOUN CCONJ VERB PART VERB DET NOUN VERB CCONJ VERB PART VERB NOUN VERB	▁And ▁women ▁are ▁as ▁likely ▁as ▁not ▁to ▁be ▁left ▁to ▁fen d ▁for ▁themselves , ▁living ▁crowd ed ▁into ▁one ▁room ▁with ▁all ▁the ▁children ▁and ▁having ▁to ▁work ▁all ▁night ▁sewing ▁or ▁cleaning ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ NOUN VERB ADV ADJ ADP ADV PART VERB VERB PART VERB VERB ADP PRON PRON VERB VERB VERB ADP NUM NOUN ADP ADJ DET NOUN CCONJ VERB PART VERB DET NOUN VERB CCONJ VERB PART VERB NOUN VERB VERB
Anyway, the point is this that I am going to say as far as I 'm concerned I 'm gon na put all my maximum ability in making sure that this government stands by its obligation which it gave me when I wrote to the Prime Minister because I was very very concerned that I did not want to see the old people and pensioners who was having difficulty in making ends meet, suffer further and therefore I am with you when it comes to concerning yourself in relation to the O A P's or the pensioners or any one who is suffering because of the s seventeen and o half percent, the maximum is put on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	INTJ DET NOUN VERB DET ADP PRON VERB VERB PART VERB ADV ADV ADP PRON NOUN ADJ PRON VERB VERB PART VERB ADJ ADJ ADJ NOUN ADP VERB ADJ ADP DET NOUN VERB ADP ADJ NOUN ADJ PRON VERB PRON ADV PRON VERB ADP DET PROPN PROPN ADP PRON VERB ADV ADV ADJ ADP PRON VERB ADV VERB PART VERB DET ADJ NOUN CCONJ NOUN NOUN VERB VERB NOUN ADP VERB NOUN VERB VERB ADV CCONJ ADV PRON VERB ADP PRON ADV PRON VERB ADP VERB PRON ADP NOUN ADP DET NOUN PROPN NOUN CCONJ DET NOUN CCONJ DET NOUN NOUN VERB VERB ADP ADP DET NOUN NUM CCONJ NUM NOUN NOUN DET NOUN VERB VERB PART	▁Any way , ▁the ▁point ▁is ▁this ▁that ▁I ▁am ▁going ▁to ▁say ▁as ▁far ▁as ▁I ▁' m ▁concerned ▁I ▁' m ▁ gon ▁na ▁put ▁all ▁my ▁maximum ▁ability ▁in ▁making ▁sure ▁that ▁this ▁government ▁stands ▁by ▁its ▁obligation ▁which ▁it ▁gave ▁me ▁when ▁I ▁wrote ▁to ▁the ▁Prime ▁Minister ▁because ▁I ▁was ▁very ▁very ▁concerned ▁that ▁I ▁did ▁not ▁want ▁to ▁see ▁the ▁old ▁people ▁and ▁pensioners ▁who ▁was ▁having ▁difficulty ▁in ▁making ▁ends ▁meet , ▁suffer ▁further ▁and ▁therefore ▁I ▁am ▁with ▁you ▁when ▁it ▁comes ▁to ▁concerning ▁yourself ▁in ▁relation ▁to ▁the ▁O ▁A ▁P ' s ▁or ▁the ▁pensioners ▁or ▁any ▁one ▁who ▁is ▁suffering ▁because ▁of ▁the ▁s ▁seventeen ▁and ▁o ▁half ▁percent , ▁the ▁maximum ▁is ▁put ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ DET NOUN VERB DET ADP PRON VERB VERB PART VERB ADV ADV ADP PRON NOUN NOUN ADJ PRON VERB VERB VERB VERB PART VERB ADJ ADJ ADJ NOUN ADP VERB ADJ ADP DET NOUN VERB ADP ADJ NOUN ADJ PRON VERB PRON ADV PRON VERB ADP DET PROPN PROPN ADP PRON VERB ADV ADV ADJ ADP PRON VERB ADV VERB PART VERB DET ADJ NOUN CCONJ NOUN NOUN VERB VERB NOUN ADP VERB NOUN VERB VERB VERB ADV CCONJ ADV PRON VERB ADP PRON ADV PRON VERB ADP VERB PRON ADP NOUN ADP DET NOUN PROPN NOUN NOUN NOUN CCONJ DET NOUN CCONJ DET NOUN NOUN VERB VERB ADP ADP DET NOUN NUM CCONJ NUM NOUN NOUN NOUN DET NOUN VERB VERB PART PART
It is sad if mothers who would rather be with their children have to go out to work to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB ADJ ADP NOUN NOUN VERB ADV VERB ADP ADJ NOUN VERB PART VERB PART PART VERB PART VERB NOUN VERB	▁It ▁is ▁sad ▁if ▁mothers ▁who ▁would ▁rather ▁be ▁with ▁their ▁children ▁have ▁to ▁go ▁out ▁to ▁work ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADJ ADP NOUN NOUN VERB ADV VERB ADP ADJ NOUN VERB PART VERB PART PART VERB PART VERB NOUN VERB VERB
The reality is harsher ; raising sponsorship ; overall cost of travel ; making ends meet by living in a caravan instead of luxury hotels ; endless pressure ; missed putts ; loss of income.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	DET NOUN VERB ADJ PUNCT VERB NOUN PUNCT ADJ NOUN ADP NOUN PUNCT VERB NOUN VERB ADP VERB ADP DET NOUN ADV ADP NOUN NOUN PUNCT ADJ NOUN PUNCT VERB NOUN PUNCT NOUN ADP NOUN	▁The ▁reality ▁is ▁harsh er ▁ ; ▁raising ▁sponsorship ▁ ; ▁overall ▁cost ▁of ▁travel ▁ ; ▁making ▁ends ▁meet ▁by ▁living ▁in ▁a ▁caravan ▁instead ▁of ▁luxury ▁hotels ▁ ; ▁endless ▁pressure ▁ ; ▁missed ▁put ts ▁ ; ▁loss ▁of ▁income .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ ADJ PUNCT PUNCT VERB NOUN PUNCT PUNCT ADJ NOUN ADP NOUN PUNCT PUNCT VERB NOUN VERB ADP VERB ADP DET NOUN ADV ADP NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT PUNCT VERB NOUN NOUN PUNCT PUNCT NOUN ADP NOUN NOUN
His mother died early, worn out by making ends meet and by her husband's gambling.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make ends meet	figurative	inflection	ADJ NOUN VERB ADV VERB PART ADP VERB NOUN VERB CCONJ ADP ADJ NOUN NOUN	▁His ▁mother ▁died ▁early , ▁worn ▁out ▁by ▁making ▁ends ▁meet ▁and ▁by ▁her ▁husband ' s ▁gambling .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADV ADV VERB PART ADP VERB NOUN VERB CCONJ ADP ADJ NOUN NOUN NOUN NOUN NOUN
The trouble with pushing the PLA into the arms business to makes ends meet is that other ministries, to their occasional embarrassment, have little control over which weapons are sold where.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	inflection	DET NOUN ADP VERB DET PROPN ADP DET NOUN NOUN PART VERB NOUN VERB VERB ADP ADJ NOUN ADP ADJ ADJ NOUN VERB ADJ NOUN ADP ADJ NOUN VERB VERB ADV	▁The ▁trouble ▁with ▁pushing ▁the ▁PL A ▁into ▁the ▁arms ▁business ▁to ▁makes ▁ends ▁meet ▁is ▁that ▁other ▁ministries , ▁to ▁their ▁occasional ▁embarrass ment , ▁have ▁little ▁control ▁over ▁which ▁weapons ▁are ▁sold ▁where .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP VERB DET PROPN PROPN ADP DET NOUN NOUN PART VERB NOUN VERB VERB ADP ADJ NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN VERB ADJ NOUN ADP ADJ NOUN VERB VERB ADV ADV
Many families these days are finding it very hard to make ends meet.	0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADJ NOUN DET NOUN VERB VERB PRON ADV ADV PART VERB NOUN VERB	▁Many ▁families ▁these ▁days ▁are ▁finding ▁it ▁very ▁hard ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ NOUN DET NOUN VERB VERB PRON ADV ADV PART VERB NOUN VERB VERB
To make ends meet.	0 1 1 1	make ends meet	figurative	identical	PART VERB NOUN VERB	▁To ▁make ▁ends ▁meet .	0 1 1 1 1	PART VERB NOUN VERB VERB
She is unemployed and depends upon benefits to make ends meet.	0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB ADJ CCONJ VERB ADP NOUN PART VERB NOUN VERB	▁She ▁is ▁unemployed ▁and ▁depends ▁upon ▁benefits ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADJ CCONJ VERB ADP NOUN PART VERB NOUN VERB VERB
But the harsh reality is that if I hadn't been picked by England for the tour to India, I would have struggled to make ends meet this winter — I don't know what I would have done.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	CCONJ DET ADJ NOUN VERB ADP ADP PRON VERB VERB VERB ADP PROPN ADP DET NOUN ADP PROPN PRON VERB VERB VERB PART VERB NOUN VERB DET NOUN PUNCT PRON VERB VERB NOUN PRON VERB VERB VERB	▁But ▁the ▁harsh ▁reality ▁is ▁that ▁if ▁I ▁had n ' t ▁been ▁picked ▁by ▁England ▁for ▁the ▁to ur ▁to ▁India , ▁I ▁would ▁have ▁struggle d ▁to ▁make ▁ends ▁meet ▁this ▁winter ▁ — ▁I ▁don ' t ▁know ▁what ▁I ▁would ▁have ▁done .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET ADJ NOUN VERB ADP ADP PRON VERB VERB VERB VERB VERB VERB ADP PROPN ADP DET NOUN NOUN ADP PROPN PROPN PRON VERB VERB VERB VERB PART VERB NOUN VERB DET NOUN PUNCT PUNCT PRON VERB VERB VERB VERB NOUN PRON VERB VERB VERB VERB
‘ And I know of one Darlington school which is running a lottery to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PUNCT CCONJ PRON VERB ADP NUM PROPN NOUN ADJ VERB VERB DET NOUN PART VERB NOUN VERB	▁ ‘ ▁And ▁I ▁know ▁of ▁one ▁Dar ling ton ▁school ▁which ▁is ▁running ▁a ▁lot tery ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT CCONJ PRON VERB ADP NUM PROPN PROPN PROPN NOUN ADJ VERB VERB DET NOUN NOUN PART VERB NOUN VERB VERB
Many were forced to take part - time jobs or handouts from parents to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADJ VERB VERB PART VERB NOUN PUNCT NOUN NOUN CCONJ NOUN ADP NOUN PART VERB NOUN VERB	▁Many ▁were ▁forced ▁to ▁take ▁part ▁- ▁time ▁jobs ▁or ▁hand outs ▁from ▁parents ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ VERB VERB PART VERB NOUN PUNCT NOUN NOUN CCONJ NOUN NOUN ADP NOUN PART VERB NOUN VERB VERB
How he disciplined himself to make ends meet in that difficult time he explained in his book What To Do When Someone Has Debt Problems, A Practical Survival Guide ( 1985 ), in the Introduction to which he wrote :	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADV PRON VERB PRON PART VERB NOUN VERB ADP DET ADJ NOUN PRON VERB ADP ADJ NOUN NOUN PART VERB ADV NOUN VERB PROPN PROPN DET PROPN PROPN PROPN PUNCT NUM PUNCT ADP DET NOUN PART ADJ PRON VERB PUNCT	▁How ▁he ▁discipline d ▁himself ▁to ▁make ▁ends ▁meet ▁in ▁that ▁difficult ▁time ▁he ▁explained ▁in ▁his ▁book ▁What ▁To ▁Do ▁When ▁Some one ▁Has ▁Debt ▁Problems , ▁A ▁Practical ▁Survival ▁Guide ▁( ▁1985 ▁ ), ▁in ▁the ▁Introduction ▁to ▁which ▁he ▁wrote ▁ :	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB PRON PART VERB NOUN VERB ADP DET ADJ NOUN PRON VERB ADP ADJ NOUN NOUN PART VERB ADV NOUN NOUN VERB PROPN PROPN PROPN DET PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP DET NOUN PART ADJ PRON VERB PUNCT PUNCT
‘ I love driving but I was doing this 14 or 15 hours a day to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PUNCT PRON VERB VERB CCONJ PRON VERB VERB DET NUM CCONJ NUM NOUN DET NOUN PART VERB NOUN VERB	▁ ‘ ▁I ▁love ▁driving ▁but ▁I ▁was ▁doing ▁this ▁14 ▁or ▁15 ▁hours ▁a ▁day ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PRON VERB VERB CCONJ PRON VERB VERB DET NUM CCONJ NUM NOUN DET NOUN PART VERB NOUN VERB VERB
What were the kind of conditions of the people who w who went back in, did they go in bec because of they had, erm say large families or something like that and they had difficulty trying to make ends meet?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	NOUN VERB DET NOUN ADP NOUN ADP DET NOUN NOUN DET NOUN VERB ADV ADV VERB PRON VERB ADV NOUN ADP ADP PRON VERB INTJ VERB ADJ NOUN CCONJ NOUN ADP DET CCONJ PRON VERB NOUN VERB PART VERB NOUN VERB	▁What ▁were ▁the ▁kind ▁of ▁conditions ▁of ▁the ▁people ▁who ▁w ▁who ▁went ▁back ▁in , ▁did ▁they ▁go ▁in ▁be c ▁because ▁of ▁they ▁had , ▁er m ▁say ▁large ▁families ▁or ▁something ▁like ▁that ▁and ▁they ▁had ▁difficulty ▁trying ▁to ▁make ▁ends ▁meet ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN VERB DET NOUN ADP NOUN ADP DET NOUN NOUN DET NOUN VERB ADV ADV ADV VERB PRON VERB ADV NOUN NOUN ADP ADP PRON VERB VERB INTJ INTJ VERB ADJ NOUN CCONJ NOUN ADP DET CCONJ PRON VERB NOUN VERB PART VERB NOUN VERB VERB
Now what about your own family, how did you manage, how did you make ends meet with the er four children?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make ends meet	figurative	identical	ADV NOUN ADP ADJ ADJ NOUN ADV VERB PRON VERB ADV VERB PRON VERB NOUN VERB ADP DET INTJ NUM NOUN	▁Now ▁what ▁about ▁your ▁own ▁family , ▁how ▁did ▁you ▁manage , ▁how ▁did ▁you ▁make ▁ends ▁meet ▁with ▁the ▁er ▁four ▁children ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	ADV NOUN ADP ADJ ADJ NOUN NOUN ADV VERB PRON VERB VERB ADV VERB PRON VERB NOUN VERB ADP DET INTJ NUM NOUN NOUN
My mother had a tough time trying to make ends meet.	0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	ADJ NOUN VERB DET ADJ NOUN VERB PART VERB NOUN VERB	▁My ▁mother ▁had ▁a ▁tough ▁time ▁trying ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 1 1 1 1	ADJ NOUN VERB DET ADJ NOUN VERB PART VERB NOUN VERB VERB
In their different ways, both absolute and relative concepts suggest that the struggle to make ends meet is fought out in and against the routines which sustain health ; in the routines of buying bones from the butcher and not buying new shoes for the children.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADP ADJ ADJ NOUN DET ADJ CCONJ ADJ NOUN VERB ADP DET NOUN PART VERB NOUN VERB VERB VERB PART ADP CCONJ ADP DET NOUN ADJ VERB NOUN PUNCT ADP DET NOUN ADP VERB NOUN ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN	▁In ▁their ▁different ▁ways , ▁both ▁absolute ▁and ▁relative ▁concepts ▁suggest ▁that ▁the ▁struggle ▁to ▁make ▁ends ▁meet ▁is ▁fought ▁out ▁in ▁and ▁against ▁the ▁routine s ▁which ▁sustain ▁health ▁ ; ▁in ▁the ▁routine s ▁of ▁buying ▁bones ▁from ▁the ▁but cher ▁and ▁not ▁buying ▁new ▁shoes ▁for ▁the ▁children .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADJ NOUN NOUN DET ADJ CCONJ ADJ NOUN VERB ADP DET NOUN PART VERB NOUN VERB VERB VERB PART ADP CCONJ ADP DET NOUN NOUN ADJ VERB NOUN PUNCT PUNCT ADP DET NOUN NOUN ADP VERB NOUN ADP DET NOUN NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN
Credit and difficulty in making ends meet	0 0 0 0 1 1 1	make ends meet	figurative	inflection	NOUN CCONJ NOUN ADP VERB NOUN VERB	▁Credit ▁and ▁difficulty ▁in ▁making ▁ends ▁meet	0 0 0 0 1 1 1	NOUN CCONJ NOUN ADP VERB NOUN VERB
do any work to make end ends meet?	0 0 0 0 1 0 1 1	make ends meet	figurative	insertion-other	VERB DET NOUN PART VERB NOUN NOUN VERB	▁do ▁any ▁work ▁to ▁make ▁end ▁ends ▁meet ?	0 0 0 0 1 0 1 1 1	VERB DET NOUN PART VERB NOUN NOUN VERB VERB
It was the time of their lives when they found it hardest to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADV PRON VERB PRON ADV PART VERB NOUN VERB	▁It ▁was ▁the ▁time ▁of ▁their ▁lives ▁when ▁they ▁found ▁it ▁hard est ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB DET NOUN ADP ADJ NOUN ADV PRON VERB PRON ADV ADV PART VERB NOUN VERB VERB
