More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN	▁More ▁job ▁losses ▁are ▁in ▁the ▁pipeline .	0 0 0 0 1 0 1 1	ADJ NOUN NOUN VERB ADP DET NOUN NOUN
Erm, because it seems to, with the changing nature of organisation of authorities, it's used as a comparative purpose, must be er, very doubtful, and we 've always criticised it, er beginning the position snapshot on a particular the day, it doesn't say what's in the pipeline or what's going out of the pipeline at the other end.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	INTJ ADP PRON VERB PART ADP DET VERB NOUN ADP NOUN ADP NOUN PRON VERB ADP DET ADJ NOUN VERB VERB INTJ ADV ADJ CCONJ PRON VERB ADV VERB PRON INTJ VERB DET NOUN ADJ ADP DET ADJ DET NOUN PRON VERB VERB NOUN ADP DET NOUN CCONJ NOUN VERB ADP ADP DET NOUN ADP DET ADJ NOUN	▁E rm , ▁because ▁it ▁seems ▁to , ▁with ▁the ▁changing ▁nature ▁of ▁organisation ▁of ▁authorities , ▁it ' s ▁used ▁as ▁a ▁comparative ▁purpose , ▁must ▁be ▁er , ▁very ▁doubtful , ▁and ▁we ▁' ve ▁always ▁criticised ▁it , ▁er ▁beginning ▁the ▁position ▁snap s hot ▁on ▁a ▁particular ▁the ▁day , ▁it ▁does n ' t ▁say ▁what ' s ▁in ▁the ▁pipeline ▁or ▁what ' s ▁going ▁out ▁of ▁the ▁pipeline ▁at ▁the ▁other ▁end .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ ADP PRON VERB PART PART ADP DET VERB NOUN ADP NOUN ADP NOUN NOUN PRON PRON PRON VERB ADP DET ADJ NOUN NOUN VERB VERB INTJ INTJ ADV ADJ ADJ CCONJ PRON VERB VERB ADV VERB PRON PRON INTJ VERB DET NOUN ADJ ADJ ADJ ADP DET ADJ DET NOUN NOUN PRON VERB VERB VERB VERB VERB NOUN NOUN NOUN ADP DET NOUN CCONJ NOUN NOUN NOUN VERB ADP ADP DET NOUN ADP DET ADJ NOUN NOUN
In the pipeline for a while, it now hopes to embrace COSE's anticipated developers ' conference.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	case	ADP DET NOUN ADP DET NOUN PRON ADV VERB PART VERB PROPN ADJ NOUN PART NOUN	▁In ▁the ▁pipeline ▁for ▁a ▁while , ▁it ▁now ▁hopes ▁to ▁embrace ▁C OSE ' s ▁anticipated ▁develop ers ▁' ▁conference .	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP DET NOUN NOUN PRON ADV VERB PART VERB PROPN PROPN PROPN PROPN ADJ NOUN NOUN PART NOUN NOUN
All the big groups approached by the magazine Hospitality had big leisure plans in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ DET ADJ NOUN VERB ADP DET NOUN PROPN VERB ADJ NOUN NOUN ADP DET NOUN	▁All ▁the ▁big ▁groups ▁approached ▁by ▁the ▁magazine ▁Hospital ity ▁had ▁big ▁leisure ▁plans ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ DET ADJ NOUN VERB ADP DET NOUN PROPN PROPN VERB ADJ NOUN NOUN ADP DET NOUN NOUN
BEFORE SIGNING UP FOR ANY OF THE PRESENT CELLNET OR VODAFONE networks, would - be subscribers should consider what's in the cellphone pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	ADP VERB PART ADP DET ADP DET ADJ PROPN CCONJ PROPN NOUN VERB PUNCT VERB NOUN VERB VERB NOUN ADP DET NOUN NOUN	▁B EFORE ▁SIGN ING ▁UP ▁FOR ▁ANY ▁OF ▁THE ▁PRESENT ▁CE LL NET ▁OR ▁V OD AF ONE ▁networks , ▁would ▁- ▁be ▁subscribers ▁should ▁consider ▁what ' s ▁in ▁the ▁cell phone ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1	ADP ADP VERB VERB PART ADP DET ADP DET ADJ PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN NOUN NOUN VERB PUNCT VERB NOUN VERB VERB NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN
It is a worrying time for the Cupertino company, but it probably can come through more or less unscathed, simply because people buy Apple kit not for the underlying technology but for what's on top of it, so provided a happy marriage can be arranged between the PowerPC hardware and Apple's software, and the thing ends up looking to the user like a Macintosh that is simply faster, more powerful, more easy to use and in all ways better than the 68040-based models, Apple should be able to scrape through — and there is still a Motorola Inc 68060 in the pipeline that Apple can fall back on if everything in the IBM relationship goes awry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	literal	identical	PRON VERB DET ADJ NOUN ADP DET PROPN NOUN CCONJ PRON ADV VERB VERB PART ADJ CCONJ ADV ADJ ADV ADP NOUN VERB PROPN NOUN ADV ADP DET VERB NOUN CCONJ ADP NOUN ADP NOUN ADP PRON ADV VERB DET ADJ NOUN VERB VERB VERB ADP DET PROPN NOUN CCONJ PROPN NOUN CCONJ DET NOUN VERB PART VERB ADP DET NOUN ADP DET PROPN ADJ VERB ADV ADV ADV ADJ ADV ADJ PART VERB CCONJ ADP DET NOUN ADJ ADP DET VERB NOUN PROPN VERB VERB ADJ PART VERB ADP PUNCT CCONJ ADV VERB ADV DET PROPN PROPN NUM ADP DET NOUN ADP PROPN VERB VERB ADV ADV ADP NOUN ADP DET PROPN NOUN VERB ADJ	▁It ▁is ▁a ▁worrying ▁time ▁for ▁the ▁C up erti no ▁company , ▁but ▁it ▁probably ▁can ▁come ▁through ▁more ▁or ▁less ▁un s cat hed , ▁simply ▁because ▁people ▁buy ▁Apple ▁kit ▁not ▁for ▁the ▁underlying ▁technology ▁but ▁for ▁what ' s ▁on ▁top ▁of ▁it , ▁so ▁provided ▁a ▁happy ▁marriage ▁can ▁be ▁arranged ▁between ▁the ▁Power PC ▁hardware ▁and ▁Apple ' s ▁software , ▁and ▁the ▁thing ▁ends ▁up ▁looking ▁to ▁the ▁user ▁like ▁a ▁Mac intosh ▁that ▁is ▁simply ▁faster , ▁more ▁powerful , ▁more ▁easy ▁to ▁use ▁and ▁in ▁all ▁ways ▁better ▁than ▁the ▁68 040 - based ▁models , ▁Apple ▁should ▁be ▁able ▁to ▁scrap e ▁through ▁ — ▁and ▁there ▁is ▁still ▁a ▁Motor ola ▁Inc ▁68 060 ▁in ▁the ▁pipeline ▁that ▁Apple ▁can ▁fall ▁back ▁on ▁if ▁everything ▁in ▁the ▁IBM ▁relationship ▁goes ▁a w ry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN CCONJ PRON ADV VERB VERB PART ADJ CCONJ ADV ADJ ADJ ADJ ADJ ADJ ADV ADP NOUN VERB PROPN NOUN ADV ADP DET VERB NOUN CCONJ ADP NOUN NOUN NOUN ADP NOUN ADP PRON PRON ADV VERB DET ADJ NOUN VERB VERB VERB ADP DET PROPN PROPN NOUN CCONJ PROPN PROPN PROPN NOUN NOUN CCONJ DET NOUN VERB PART VERB ADP DET NOUN ADP DET PROPN PROPN ADJ VERB ADV ADV ADV ADV ADJ ADJ ADV ADJ PART VERB CCONJ ADP DET NOUN ADJ ADP DET VERB VERB VERB VERB NOUN NOUN PROPN VERB VERB ADJ PART VERB VERB ADP PUNCT PUNCT CCONJ ADV VERB ADV DET PROPN PROPN PROPN NUM NUM ADP DET NOUN ADP PROPN VERB VERB ADV ADV ADP NOUN ADP DET PROPN NOUN VERB ADJ ADJ ADJ ADJ
He said clients keen to move into Britain have had deals ‘ in the pipeline’ but were delaying them out of concern about a Labour government's competition policies or in the hope of further interest rate cuts.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	dashes	PRON VERB NOUN ADJ PART VERB ADP PROPN VERB VERB NOUN PUNCT ADP DET NOUN CCONJ VERB VERB PRON ADP ADP NOUN ADP DET PROPN NOUN NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN NOUN NOUN	▁He ▁said ▁clients ▁keen ▁to ▁move ▁into ▁Britain ▁have ▁had ▁deals ▁ ‘ ▁in ▁the ▁pipeline ’ ▁but ▁were ▁delaying ▁them ▁out ▁of ▁concern ▁about ▁a ▁Labour ▁government ' s ▁competition ▁policies ▁or ▁in ▁the ▁hope ▁of ▁further ▁interest ▁rate ▁cuts .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN ADJ PART VERB ADP PROPN VERB VERB NOUN PUNCT PUNCT ADP DET NOUN NOUN CCONJ VERB VERB PRON ADP ADP NOUN ADP DET PROPN NOUN NOUN NOUN NOUN NOUN CCONJ ADP DET NOUN ADP ADJ NOUN NOUN NOUN NOUN
Already, there are further orders in the pipeline as another machine has been bought by Shaw Industries of Dalton.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV ADV VERB ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN ADP PROPN	▁Already , ▁there ▁are ▁further ▁orders ▁in ▁the ▁pipeline ▁as ▁another ▁machine ▁has ▁been ▁bought ▁by ▁Sha w ▁Industries ▁of ▁Dal ton .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV VERB ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN
And there are plenty of those, there could be dozens more in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	CCONJ ADV VERB NOUN ADP DET ADV VERB VERB NOUN ADJ ADP DET NOUN	▁And ▁there ▁are ▁plenty ▁of ▁those , ▁there ▁could ▁be ▁dozen s ▁more ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ ADV VERB NOUN ADP DET DET ADV VERB VERB NOUN NOUN ADJ ADP DET NOUN NOUN
His cutaway heel is world - class stuff, and with a patent in the pipeline I can think of a number of major manufacturers who 'll be after him for a slice of the licensing action.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB NOUN PUNCT NOUN NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN VERB VERB ADP PRON ADP DET NOUN ADP DET NOUN NOUN	▁His ▁cut a way ▁heel ▁is ▁world ▁- ▁class ▁stuff , ▁and ▁with ▁a ▁patent ▁in ▁the ▁pipeline ▁I ▁can ▁think ▁of ▁a ▁number ▁of ▁major ▁manufacturers ▁who ▁' ll ▁be ▁after ▁him ▁for ▁a ▁slice ▁of ▁the ▁licensing ▁action .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN NOUN VERB NOUN PUNCT NOUN NOUN NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN VERB VERB VERB ADP PRON ADP DET NOUN ADP DET NOUN NOUN NOUN
A stream of new money flowing into the country's stock market from both individual investors — the tax perks are not available to foreign buyers — and reforms also in the pipeline to the French pension industry are prompting hopes of a surge in the Paris bourse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN NOUN ADP DET ADJ NOUN PUNCT DET NOUN NOUN VERB ADV ADJ ADP ADJ NOUN PUNCT CCONJ NOUN ADV ADP DET NOUN ADP DET ADJ NOUN NOUN VERB VERB NOUN ADP DET NOUN ADP DET PROPN NOUN	▁A ▁stream ▁of ▁new ▁money ▁flow ing ▁into ▁the ▁country ' s ▁stock ▁market ▁from ▁both ▁individual ▁investors ▁ — ▁the ▁tax ▁per ks ▁are ▁not ▁available ▁to ▁foreign ▁buyers ▁ — ▁and ▁reforms ▁also ▁in ▁the ▁pipeline ▁to ▁the ▁French ▁pension ▁industry ▁are ▁prompt ing ▁hopes ▁of ▁a ▁surge ▁in ▁the ▁Paris ▁bour se .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN ADP DET ADJ NOUN PUNCT PUNCT DET NOUN NOUN NOUN VERB ADV ADJ ADP ADJ NOUN PUNCT PUNCT CCONJ NOUN ADV ADP DET NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB NOUN ADP DET NOUN ADP DET PROPN NOUN NOUN NOUN
There are several interesting new developments in the pipeline which could lead to the introduction of more advanced grades of acrylic plastics, opening up new fields of use to them and increasing the rate of growth appreciably.’	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV VERB ADJ ADJ ADJ NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP ADV ADJ NOUN ADP ADJ NOUN VERB PART ADJ NOUN ADP NOUN ADP PRON CCONJ VERB DET NOUN ADP NOUN NOUN	▁There ▁are ▁several ▁interesting ▁new ▁developments ▁in ▁the ▁pipeline ▁which ▁could ▁lead ▁to ▁the ▁introduction ▁of ▁more ▁advanced ▁grades ▁of ▁acrylic ▁plastics , ▁opening ▁up ▁new ▁fields ▁of ▁use ▁to ▁them ▁and ▁increasing ▁the ▁rate ▁of ▁growth ▁appreciably . ’	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ ADJ ADJ NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP ADV ADJ NOUN ADP ADJ NOUN NOUN VERB PART ADJ NOUN ADP NOUN ADP PRON CCONJ VERB DET NOUN ADP NOUN NOUN NOUN NOUN
This is a developing area of the law, since there are other cases in the pipeline awaiting the EAT's decision on the effect of what is now s 146 of the 1992 Act.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET VERB DET VERB NOUN ADP DET NOUN ADP ADV VERB ADJ NOUN ADP DET NOUN VERB DET PROPN NOUN ADP DET NOUN ADP NOUN VERB ADV VERB NUM ADP DET NUM PROPN	▁This ▁is ▁a ▁developing ▁area ▁of ▁the ▁law , ▁since ▁there ▁are ▁other ▁cases ▁in ▁the ▁pipeline ▁a waiting ▁the ▁E AT ' s ▁decision ▁on ▁the ▁effect ▁of ▁what ▁is ▁now ▁s ▁146 ▁of ▁the ▁1992 ▁Act .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET VERB NOUN ADP DET NOUN NOUN ADP ADV VERB ADJ NOUN ADP DET NOUN VERB VERB DET PROPN PROPN PROPN PROPN NOUN ADP DET NOUN ADP NOUN VERB ADV VERB NUM ADP DET NUM PROPN PROPN
However, a draft report by a secret ministerial advisory group reviewing ‘ persistent unemployment’ suggests further measures to bring down the jobless tally could be in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADV DET NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB ADJ ADJ NOUN VERB ADJ NOUN PART VERB PART DET ADJ NOUN VERB VERB ADP DET NOUN	▁However , ▁a ▁draft ▁report ▁by ▁a ▁secret ▁ministerial ▁advisory ▁group ▁reviewing ▁ ‘ ▁persistent ▁unemployment ’ ▁suggests ▁further ▁measures ▁to ▁bring ▁down ▁the ▁job less ▁t ally ▁could ▁be ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV DET NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB ADJ ADJ ADJ NOUN NOUN VERB ADJ NOUN PART VERB PART DET ADJ ADJ NOUN NOUN VERB VERB ADP DET NOUN NOUN
It was in the pipeline weren't it?	0 0 1 0 1 0 0	in the pipeline	figurative	identical	PRON VERB ADP DET NOUN VERB PRON	▁It ▁was ▁in ▁the ▁pipeline ▁were n ' t ▁it ?	0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADP DET NOUN VERB VERB VERB VERB PRON PRON
Number one, I have seen the vehicles in the pipeline, and I really like what I see.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN NUM PRON VERB VERB DET NOUN ADP DET NOUN CCONJ PRON ADV VERB NOUN PRON VERB	▁Number ▁one , ▁I ▁have ▁seen ▁the ▁vehicles ▁in ▁the ▁pipeline , ▁and ▁I ▁really ▁like ▁what ▁I ▁see .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	NOUN NUM NUM PRON VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ PRON ADV VERB NOUN PRON VERB VERB
In the pipeline.	1 0 1	in the pipeline	figurative	case	ADP DET NOUN	▁In ▁the ▁pipeline .	1 0 1 1	ADP DET NOUN NOUN
Last night Bowe's manager, Rock Newman, revealed a new deal was in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN PROPN NOUN PROPN PROPN VERB DET ADJ NOUN VERB ADP DET NOUN	▁Last ▁night ▁Bowe ' s ▁manager , ▁Rock ▁New man , ▁revealed ▁a ▁new ▁deal ▁was ▁in ▁the ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN VERB DET ADJ NOUN VERB ADP DET NOUN NOUN
Re - lining scheme is in the pipeline	0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADP PUNCT NOUN NOUN VERB ADP DET NOUN	▁Re ▁- ▁lining ▁scheme ▁is ▁in ▁the ▁pipeline	0 0 0 0 0 1 0 1	ADP PUNCT NOUN NOUN VERB ADP DET NOUN
Public or private, Amstrad will have to cut back as there are no blockbuster products in the pipeline, Sugar warns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the pipeline	figurative	identical	ADJ CCONJ ADJ PROPN VERB VERB PART VERB ADV ADP ADV VERB DET ADJ NOUN ADP DET NOUN PROPN VERB	▁Public ▁or ▁private , ▁Am stra d ▁will ▁have ▁to ▁cut ▁back ▁as ▁there ▁are ▁no ▁block b uster ▁products ▁in ▁the ▁pipeline , ▁Sugar ▁warn s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	ADJ CCONJ ADJ ADJ PROPN PROPN PROPN VERB VERB PART VERB ADV ADP ADV VERB DET ADJ ADJ ADJ NOUN ADP DET NOUN NOUN PROPN VERB VERB VERB
Research in the pipeline would be mentioned.	0 1 0 1 0 0 0	in the pipeline	figurative	identical	NOUN ADP DET NOUN VERB VERB VERB	▁Research ▁in ▁the ▁pipeline ▁would ▁be ▁mentioned .	0 1 0 1 0 0 0 0	NOUN ADP DET NOUN VERB VERB VERB VERB
Also in the pipeline is a health and safety video which forms part of a training package to be sent to branches and departments on 21 June.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN NOUN ADJ VERB NOUN ADP DET NOUN NOUN PART VERB VERB ADP NOUN CCONJ NOUN ADP NUM PROPN	▁Also ▁in ▁the ▁pipeline ▁is ▁a ▁health ▁and ▁safety ▁video ▁which ▁forms ▁part ▁of ▁a ▁training ▁package ▁to ▁be ▁sent ▁to ▁branches ▁and ▁departments ▁on ▁21 ▁June .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP DET NOUN VERB DET NOUN CCONJ NOUN NOUN ADJ VERB NOUN ADP DET NOUN NOUN PART VERB VERB ADP NOUN CCONJ NOUN ADP NUM PROPN PROPN
Changes for the better may be in the pipeline but it's clearly going to take some work to convince the sceptics.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADP DET ADJ VERB VERB ADP DET NOUN CCONJ PRON ADV VERB PART VERB DET NOUN PART VERB DET NOUN	▁Changes ▁for ▁the ▁better ▁may ▁be ▁in ▁the ▁pipeline ▁but ▁it ' s ▁clearly ▁going ▁to ▁take ▁some ▁work ▁to ▁convince ▁the ▁sceptic s .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN ADP DET ADJ VERB VERB ADP DET NOUN CCONJ PRON PRON PRON ADV VERB PART VERB DET NOUN PART VERB DET NOUN NOUN NOUN
The creation of air - mobile strategic reserves could lead, they thought, to a reduction in static overseas garrisons ; and the replacement of troop - ships by trooping - aircraft should also save manpower locked up in the trooping pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the pipeline	figurative	insertion-other	DET NOUN ADP NOUN PUNCT ADJ ADJ NOUN VERB VERB PRON VERB ADP DET NOUN ADP ADJ ADJ NOUN PUNCT CCONJ DET NOUN ADP NOUN PUNCT NOUN ADP VERB PUNCT NOUN VERB ADV VERB NOUN VERB PART ADP DET VERB NOUN	▁The ▁creation ▁of ▁air ▁- ▁mobile ▁strategic ▁reserves ▁could ▁lead , ▁they ▁thought , ▁to ▁a ▁reduction ▁in ▁static ▁overseas ▁gar ris ons ▁ ; ▁and ▁the ▁replacement ▁of ▁tro op ▁- ▁ships ▁by ▁tro op ing ▁- ▁aircraft ▁should ▁also ▁save ▁manpower ▁locked ▁up ▁in ▁the ▁tro op ing ▁pipeline .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1	DET NOUN ADP NOUN PUNCT ADJ ADJ NOUN VERB VERB VERB PRON VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN NOUN NOUN PUNCT PUNCT CCONJ DET NOUN ADP NOUN NOUN PUNCT NOUN ADP VERB VERB VERB PUNCT NOUN VERB ADV VERB NOUN VERB PART ADP DET VERB VERB VERB NOUN NOUN
For example the head of Craft, Design and Technology had received money to replace inadequate stock and an increase in capitation, whilst the head of Home Economics was in the process of gaining badly - needed equipment — although much of this was still in the ' pipeline ' at the time of the interview.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	in the pipeline	figurative	combined-other	ADP NOUN DET NOUN ADP PROPN PROPN CCONJ PROPN VERB VERB NOUN PART VERB ADJ NOUN CCONJ DET NOUN ADP NOUN ADP DET NOUN ADP PROPN PROPN VERB ADP DET NOUN ADP VERB ADV PUNCT VERB NOUN PUNCT ADP ADJ ADP DET VERB ADV ADP DET PUNCT NOUN PUNCT ADP DET NOUN ADP DET NOUN	▁For ▁example ▁the ▁head ▁of ▁C raft , ▁Design ▁and ▁Technology ▁had ▁received ▁money ▁to ▁replace ▁inadequate ▁stock ▁and ▁an ▁increase ▁in ▁capita tion , ▁whilst ▁the ▁head ▁of ▁Home ▁Economic s ▁was ▁in ▁the ▁process ▁of ▁gaining ▁badly ▁- ▁needed ▁equipment ▁ — ▁although ▁much ▁of ▁this ▁was ▁still ▁in ▁the ▁' ▁pipeline ▁' ▁at ▁the ▁time ▁of ▁the ▁interview .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	ADP NOUN DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN VERB VERB NOUN PART VERB ADJ NOUN CCONJ DET NOUN ADP NOUN NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN VERB ADP DET NOUN ADP VERB ADV PUNCT VERB NOUN PUNCT PUNCT ADP ADJ ADP DET VERB ADV ADP DET PUNCT NOUN PUNCT ADP DET NOUN ADP DET NOUN NOUN
