On the face of it, the decision in three cases suggests that the reader's client has little hope.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP NUM NOUN VERB ADP DET NOUN NOUN VERB ADJ NOUN
On the face of it electric traction has many advantages.	1 0 1 1 1 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ NOUN VERB ADJ NOUN
On the face of it, the Friend 3 seems the model least likely to benefit from flexibility — the thick stem interferes little with the working of the cams, both designs have the same strength rating and there's only a few grams difference in weight between them.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN NUM VERB DET NOUN ADV ADJ PART VERB ADP NOUN PUNCT DET ADJ NOUN VERB ADJ ADP DET NOUN ADP DET NOUN DET NOUN VERB DET ADJ NOUN NOUN CCONJ ADV ADV DET ADJ NOUN NOUN ADP NOUN ADP PRON
On the face of it, then, John Nott's fears about the consequences of the end of wholesale censorship have not yet been borne out.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV PROPN PROPN NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB ADV ADV VERB VERB PART
On the face of it, those policing information from the Gulf war have less problems with the great bulk of the British press.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB NOUN ADP DET PROPN NOUN VERB ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN
On the face of it the film has a lot going for it — Pakula as director, and a cast including the frequently brilliant Kevin Kline, Mary Elizabeth Mastrantonio, Kevin Spacey, Rebecca Miller and Forest Whitaker.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB DET NOUN VERB ADP PRON PUNCT PROPN ADP NOUN CCONJ DET NOUN VERB DET ADV ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN
On 27 June 1983 this offer was purportedly accepted by C.M.C., the acceptance being signed by the third defendant and, on the face of it, by the plaintiffs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	on the face of it	figurative	identical	ADP NUM PROPN NUM DET NOUN VERB ADV VERB ADP PROPN DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ ADP DET NOUN ADP PRON ADP DET NOUN
On the face of it this is unlikely to be acceptable to the vendor since in effect it gives an option to purchase, though it may be more acceptable if the period allowed for preparing the report is short.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB ADJ PART VERB ADJ ADP DET NOUN ADP ADP NOUN PRON VERB DET NOUN PART VERB ADP PRON VERB VERB ADV ADJ ADP DET NOUN VERB ADP VERB DET NOUN VERB ADJ
On the face of it, the most useful of the three latest guides is The timetable of technology ( Michael Joseph, pp 240, £ 12.95 ).	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET ADV ADJ ADP DET NUM ADJ NOUN VERB DET NOUN ADP NOUN PUNCT PROPN PROPN PROPN NUM SYM NUM PUNCT
In In re A Debtor ( No. 1 of 1987)the Court of Appeal refused to follow that approach and held that a statutory demand, which on the face of it contained a number of puzzling and perplexing statements, was nonetheless valid because the debtor knew precisely what he owed and there was no injustice in holding that his failure to pay the debt gave rise to a presumption that he was unable to pay.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP ADP ADP DET PROPN PUNCT NOUN NUM ADP PROPN PROPN ADP PROPN VERB PART VERB DET NOUN CCONJ VERB ADP DET ADJ NOUN ADJ ADP DET NOUN ADP PRON VERB DET NOUN ADP VERB CCONJ ADJ NOUN VERB ADV ADJ ADP DET NOUN VERB ADV NOUN PRON VERB CCONJ ADV VERB DET NOUN ADP VERB ADP ADJ NOUN PART VERB DET NOUN VERB NOUN ADP DET NOUN ADP PRON VERB ADJ PART VERB
If, as might appear on the face of it to be the case, ss20 - 24 can only be breached by actual acts, no difficulty arises with MDPs.	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP ADP VERB VERB ADP DET NOUN ADP PRON PART VERB DET NOUN NOUN SYM NUM VERB ADV VERB VERB ADP ADJ NOUN DET NOUN VERB ADP NOUN
On the face of it, the statutory town - planning system of plan preparation and development control could meet the requirements of this new challenge.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET ADJ NOUN PUNCT NOUN NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB DET NOUN ADP DET ADJ NOUN
On the face of it, so much for slum clearance and planned redevelopment : community health might even be impaired rather than improved.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV ADJ ADP NOUN NOUN CCONJ VERB NOUN PUNCT NOUN NOUN VERB ADV VERB VERB ADV ADP VERB
Robin, this on the face of it looks very worrying, what's your reaction to these statistics?	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PROPN DET ADP DET NOUN ADP PRON VERB ADV ADJ NOUN ADJ NOUN ADP DET NOUN
On the face of it, that seems to be in breach of article 6(2 ) of the European convention on human rights, which states that a person is innocent until proven guilty.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB PART VERB ADP NOUN ADP NOUN NUM PUNCT ADP DET ADJ NOUN ADP ADJ NOUN ADJ VERB ADP DET NOUN VERB ADJ ADP VERB ADJ
On the face of it, the parties in the United States still perform the job of recruiting personnel for positions in the executive and the legislature, since presidents, senators and representatives are elected, almost without exception, on a Democratic or Republican ticket.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP DET PROPN PROPN ADV VERB DET NOUN ADP VERB NOUN ADP NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN NOUN CCONJ NOUN VERB VERB ADV ADP NOUN ADP DET ADJ CCONJ ADJ NOUN
A contractual obligation, such as an exchange rule gives rise on the face of it to strict liability.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	on the face of it	figurative	identical	DET ADJ NOUN ADJ ADP DET NOUN NOUN VERB NOUN ADP DET NOUN ADP PRON ADP ADJ NOUN
The other, on the face of it, gives less cause for revelling, since it takes us back a mere 70 years and is effectively an anniversary of an anniversary.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET ADJ ADP DET NOUN ADP PRON VERB ADJ NOUN ADP VERB ADP PRON VERB PRON ADV DET ADJ NUM NOUN CCONJ VERB ADV DET NOUN ADP DET NOUN
The effect of these personal remarks spoken in Creole is thus rather like that of the " jocular " refusals ; potentially insulting on the face of it, but in fact treated by all participants as not serious and non - threatening.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN ADP DET ADJ NOUN VERB ADP PROPN VERB ADV ADV ADP DET ADP DET PUNCT ADJ PUNCT NOUN PUNCT ADV VERB ADP DET NOUN ADP PRON CCONJ ADP NOUN VERB ADP DET NOUN ADP ADV ADJ CCONJ ADJ PUNCT VERB
Now, on the face of it, the problem of obtaining the finance is no different from that faced by local authorities every day.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV ADP DET NOUN ADP PRON DET NOUN ADP VERB DET NOUN VERB ADV ADJ ADP DET VERB ADP ADJ NOUN DET NOUN
On the face of it, the debilitated condition in which Ivan left the Crown, compounded as it was by the extinction of the Rurik line on the death of his son Fyodor in 1598, much enhanced the political stature of the Church.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB NOUN ADP ADJ PROPN VERB DET PROPN VERB ADP PRON VERB ADP DET NOUN ADP DET PROPN NOUN ADP DET NOUN ADP ADJ NOUN PROPN ADP NUM ADV VERB DET ADJ NOUN ADP DET PROPN
‘ Don't fill her head with a lot of nonsense,’ said my mother, rather oddly since, on the face of it, Lili had been recommending the path of virtue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PUNCT VERB VERB ADJ NOUN ADP DET NOUN ADP ADJ VERB ADJ NOUN ADV ADV ADP ADP DET NOUN ADP PRON PROPN VERB VERB VERB DET NOUN ADP NOUN
And it seems, on the face of it quite simple and quite straightforward doesn't it?	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ PRON VERB ADP DET NOUN ADP PRON ADV ADJ CCONJ ADV ADJ VERB PRON
On the face of it, this seems good, but it must be remembered that each tonne used for fuel instead of as a fertilizer means a yield loss of some of 50 kg in grain production, for example.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB ADJ CCONJ PRON VERB VERB VERB ADP DET NOUN VERB ADP NOUN ADV ADP ADP DET NOUN VERB DET NOUN NOUN ADP DET ADP NUM NOUN ADP NOUN NOUN ADP NOUN
On the face of it, this was an illogical statement, but by becoming anorexic I refuted logic.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB DET ADJ NOUN CCONJ ADP VERB ADJ PRON VERB NOUN
Steve mentioned, you know, to put fifteen, twenty pounds a month into it erm and you said well we 'll come back to that later which I think on the face of it is probably er a right way of going about it cos you didn't get interrupted at that stage talking about a specific product so I think that was er that was good.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PROPN VERB PRON VERB PART VERB NUM NUM NOUN DET NOUN ADP PRON ADV CCONJ PRON VERB INTJ PRON VERB VERB ADV ADP DET ADV ADJ PRON VERB ADP DET NOUN ADP PRON VERB ADV INTJ DET ADJ NOUN ADP VERB ADP PRON ADP PRON VERB VERB VERB ADP DET NOUN VERB ADP DET ADJ NOUN ADP PRON VERB DET VERB INTJ DET VERB ADJ
On the face of it the statement ' God is Truth ' seems to imply that Truth is an attribute or description of God, and in the first instance Gandhi was content to allow the phrase to be used in this way although it did not accurately reflect his position.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	literal	case	ADP DET NOUN ADP PRON DET NOUN PUNCT PROPN VERB PROPN PUNCT VERB PART VERB ADP PROPN VERB DET NOUN CCONJ NOUN ADP PROPN CCONJ ADP DET ADJ NOUN PROPN VERB ADJ PART VERB DET NOUN PART VERB VERB ADP DET NOUN ADP PRON VERB ADV ADV VERB ADJ NOUN
On the face of it, the Bundestag's decision at the end of last month to abolish refugees ' automatic right to asylum was reasonable.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET PROPN NOUN ADP DET NOUN ADP ADJ NOUN PART VERB NOUN PART ADJ NOUN PART NOUN VERB ADJ
Even Billy Budd, which seems on the face of it the most orthodox — that is the most like the 19th - century Grand Opera — is unusual in having no part for a female voice, and Albert herring has elements of Gilbert and Sullivan in it, not least in the cunningly - written farcical libretto.	0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV PROPN PROPN ADJ VERB ADP DET NOUN ADP PRON DET ADV ADJ PUNCT DET VERB DET ADJ ADP DET ADJ PUNCT NOUN PROPN PROPN PUNCT VERB ADJ ADP VERB DET NOUN ADP DET ADJ NOUN CCONJ PROPN NOUN VERB NOUN ADP PROPN CCONJ PROPN ADP PRON ADV ADJ ADP DET ADV PUNCT VERB ADJ NOUN
Other regions that on the face of it may seem rather benign — including open reaches of tropical ocean — may, for long periods, be almost devoid of life.	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADJ NOUN ADJ ADP DET NOUN ADP PRON VERB VERB ADV ADJ PUNCT VERB ADJ NOUN ADP ADJ NOUN PUNCT VERB ADP ADJ NOUN VERB ADV ADJ ADP NOUN
On the face of it, it would seem that the eels could breed in many alternative places, well within their reach.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB VERB ADP DET NOUN VERB VERB ADP ADJ ADJ NOUN ADV ADP ADJ NOUN
The court is, however, reluctant to find implied terms in commercial contracts especially where there is a formal document which, on the face of it, represents the apparently complete bargain between the parties ( Westminster ( Duke ) v Guild [ 1984]3 All ER 144 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET NOUN VERB ADV ADJ PART VERB VERB NOUN ADP ADJ NOUN ADV ADV ADV VERB DET ADJ NOUN ADJ ADP DET NOUN ADP PRON VERB DET ADV ADJ NOUN ADP DET NOUN PUNCT PROPN PUNCT PROPN PUNCT ADP PROPN PUNCT NUM DET PROPN NUM PUNCT
On the face of it, of course, nothing could have been more natural.	1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADP NOUN NOUN VERB VERB VERB ADV ADJ
Expanding its lending in this way is, on the face of it, clearly in the bank's interest.	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0	on the face of it	figurative	identical	VERB ADJ NOUN ADP DET NOUN VERB ADP DET NOUN ADP PRON ADV ADP DET NOUN NOUN
But there the analysis ends : there is no clear parallel to the apparent inability of some sufferers to get into substantial recovery, if at all, and there is nothing to correspond to the process of relapse even when, on the face of it, all recommendations are being followed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0	on the face of it	figurative	identical	CCONJ ADV DET NOUN VERB PUNCT ADV VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PART VERB ADP ADJ NOUN ADP ADV ADV CCONJ ADV VERB NOUN PART VERB ADP DET NOUN ADP NOUN ADV ADV ADP DET NOUN ADP PRON DET NOUN VERB VERB VERB
On the face of it, such activity would seem to be more expressive of right - wing rather than left - wing sentiments.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ NOUN VERB VERB PART VERB ADV ADJ ADP ADJ PUNCT NOUN ADV ADP ADJ PUNCT NOUN NOUN
On the face of it, she was what she seemed : a lonely, nervous girl, travelling Europe alone, and, he conceded reluctantly, of very doubtful chastity.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB NOUN PRON VERB PUNCT DET ADJ ADJ NOUN VERB PROPN ADV CCONJ PRON VERB ADV ADP ADV ADJ NOUN
On the face of it, this approach is consonant with the requirements of the Act.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADJ ADP DET NOUN ADP DET PROPN
Though, on the face of it, the effects that cause pleasure in the short term are those that cause addiction in the long term, there is a lot of variability in the system that might be exploited.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADV ADP DET NOUN ADP PRON DET NOUN ADJ VERB NOUN ADP DET ADJ NOUN VERB DET ADJ VERB NOUN ADP DET ADJ NOUN ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB VERB
But Michael Peckham does all three — which makes him seem, on the face of it, an unlikely character to move to Whitehall as the government's new Director of Research and Development at the Department of Health.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ PROPN PROPN VERB DET NUM PUNCT ADJ VERB PRON VERB ADP DET NOUN ADP PRON DET ADJ NOUN PART VERB ADP PROPN ADP DET NOUN ADJ PROPN ADP PROPN CCONJ PROPN ADP DET PROPN ADP PROPN
Such principles of professional practice, measured as they are in terms of the client's perspective on the relationship, are, on the face of it, clear and straightforward.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	on the face of it	figurative	identical	ADJ NOUN ADP ADJ NOUN VERB ADP PRON VERB ADP NOUN ADP DET NOUN NOUN ADP DET NOUN VERB ADP DET NOUN ADP PRON ADJ CCONJ ADJ
On the face of it, Harry seemed to have won, and people in the crowd were impatient to hear Treffry announce the result ; but the old man kept scratching his chin and shaking his head until the villagers started chanting for a decision.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN VERB PART VERB VERB CCONJ NOUN ADP DET NOUN VERB ADJ PART VERB PROPN VERB DET NOUN PUNCT CCONJ DET ADJ NOUN VERB VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP DET NOUN VERB VERB ADP DET NOUN
At least, on the face of it, it will be cheaper to buy your own camera than to use a bureau.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP ADJ ADP DET NOUN ADP PRON PRON VERB VERB ADJ PART VERB ADJ ADJ NOUN ADP PART VERB DET NOUN
While that argument would beg an important question, on the face of it the marriage laws do seem to promote the function of optimal outbreeding.	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADP DET NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP PRON DET NOUN NOUN VERB VERB PART VERB DET NOUN ADP ADJ NOUN
On the face of it, the 1990s look no better.	1 0 1 1 1 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADV ADJ
What, what you 're saying is that I mean broadly this is, is quite an incentive based system, at least on the face of it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	on the face of it	figurative	identical	NOUN NOUN PRON VERB VERB VERB ADP PRON VERB ADV DET VERB VERB ADJ DET NOUN VERB NOUN ADP ADJ ADP DET NOUN ADP PRON
On the face of it then, the direct evidence from sample surveys of businessmen's expectations seems to provide very little, if any, support for the rational expectations hypothesis.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV DET ADJ NOUN ADP NOUN NOUN ADP NOUN NOUN VERB PART VERB ADV ADJ ADP DET NOUN ADP DET ADJ NOUN NOUN
The Heseltine affair was, on the face of it, about Government involvement in the financial restructuring of Westland, Britain's sole manufacturer of helicopters.	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	DET PROPN NOUN VERB ADP DET NOUN ADP PRON ADP PROPN NOUN ADP DET ADJ NOUN ADP PROPN PROPN ADJ NOUN ADP NOUN
But then the property was not given to her ; it was given on the face of it to the trustee.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	on the face of it	figurative	identical	CCONJ ADV DET NOUN VERB ADV VERB ADP PRON PUNCT PRON VERB VERB ADP DET NOUN ADP PRON ADP DET NOUN
On the face of it, these fears are groundless.	1 0 1 1 1 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN VERB ADJ
Yet yesterday's appointment of Howard Kendall as manager seems, on the face of it, one of the most rational and sensible moves the Blues have made in recent years.	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ NOUN NOUN ADP PROPN PROPN ADP NOUN VERB ADP DET NOUN ADP PRON NUM ADP DET ADV ADJ CCONJ ADJ NOUN DET NOUN VERB VERB ADP ADJ NOUN
On the face of it there are more contrasts than resemblances between, for example, the brand of empirical and then linguistic philosophy which has predominated in England in recent decades, the existentialist thought which has led the way in western Europe, and the critical reflection on human history and society on a broadly Marxist basis which has naturally held sway in communist countries, but more recently come more to the fore in the west as well.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADV VERB ADJ NOUN ADP NOUN ADP ADP NOUN DET NOUN ADP ADJ CCONJ ADV ADJ NOUN ADJ VERB VERB ADP PROPN ADP ADJ NOUN DET NOUN NOUN ADJ VERB VERB DET NOUN ADP ADJ PROPN CCONJ DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN ADP DET ADV ADJ NOUN ADJ VERB ADV VERB NOUN ADP ADJ NOUN CCONJ ADV ADV VERB ADV ADP DET NOUN ADP DET NOUN ADV ADV
WASHINGTON, DC – America ’s recent bout of dysfunctional politics and the eurozone ’s on - again, off - again crisis should, on the face of it, present a golden opportunity to China.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	identical	PROPN PROPN PUNCT PROPN PART ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN PART ADV PUNCT ADV ADV PUNCT ADV NOUN VERB ADP DET NOUN ADP PRON VERB DET ADJ NOUN ADP PROPN
On the face of it she was right.	1 0 1 1 1 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PRON VERB ADJ
It may seem curious that physics, on the face of it the most challenging and exciting of disciplines, a discipline whose discoveries have transformed the world we live in, should be taught in a way which demands little creativity or imagination.	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	PRON VERB VERB ADJ ADP NOUN ADP DET NOUN ADP PRON DET ADV ADJ CCONJ ADJ ADP NOUN DET NOUN ADJ NOUN VERB VERB DET NOUN PRON VERB ADP VERB VERB VERB ADP DET NOUN ADJ VERB ADJ NOUN CCONJ NOUN
Standard - setters have long realised that there is a trade - off between objectivity and relevance in accounting information, and on the face of it, unfudgeability is simply a pejorative term for objectivity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	ADJ PUNCT NOUN VERB ADV VERB ADP ADV VERB DET NOUN PUNCT NOUN ADP NOUN CCONJ NOUN ADP VERB NOUN CCONJ ADP DET NOUN ADP PRON NOUN VERB ADV DET ADJ NOUN ADP NOUN
On the face of it his life centred around business of one sort or another, his own and the council's.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON ADJ NOUN VERB ADP NOUN ADP NUM NOUN CCONJ DET ADJ ADJ CCONJ DET NOUN
She had again unwittingly revealed her misgivings, for on the face of it we hadn't been speaking of marriage.	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0	on the face of it	figurative	identical	PRON VERB ADV ADV VERB ADJ NOUN ADP ADP DET NOUN ADP PRON PRON VERB VERB VERB ADP NOUN
On the face of it, a reflection of Mr Heseltine's own views.	1 0 1 1 1 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET NOUN ADP PROPN PROPN ADJ NOUN
On the face of it, Major is less likely than Thatcher to be goaded into over - reaction.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON PROPN VERB ADV ADJ ADP PROPN PART VERB VERB ADP ADP PUNCT NOUN
On the face of it, this offers a potential bidder the opportunity to acquire a complete portfolio of assets at a discount to their value by taking over the trust by buying up all its shares.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	case	ADP DET NOUN ADP PRON DET VERB DET ADJ NOUN DET NOUN PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN ADP VERB PART DET NOUN ADP VERB PART DET ADJ NOUN
And yet on the face of it, the inner route seemed to offer a better way of meeting the need than performing the functions that you seek for the relief road to perform in that part of Harrogate Knaresborough.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the face of it	figurative	identical	CCONJ ADV ADP DET NOUN ADP PRON DET ADJ NOUN VERB PART VERB DET ADJ NOUN ADP VERB DET NOUN ADP VERB DET NOUN ADP PRON VERB ADP DET NOUN NOUN PART VERB ADP DET NOUN ADP PROPN PROPN
