It 'll be out of order then though	0 0 0 1 1 1 0 0	out of order	figurative	identical	PRON VERB VERB ADP ADP NOUN ADV ADP
was a bit out of order we have nothing to do with it hmm	0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of order	figurative	identical	VERB DET NOUN ADP ADP NOUN PRON VERB NOUN PART VERB ADP PRON INTJ
You were asked to phone in, so, erm, so our phone was out of order, so I had a phone card and it had four units on it.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB VERB PART VERB PART ADV INTJ CCONJ ADJ NOUN VERB ADP ADP NOUN CCONJ PRON VERB DET NOUN NOUN CCONJ PRON VERB NUM NOUN ADP PRON
Dr Runcie's Pope would be, as it were, the speaker of the universal Church, perhaps with some power to rule members out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PROPN PROPN PROPN VERB VERB ADP PRON VERB DET NOUN ADP DET ADJ PROPN ADV ADP DET NOUN PART VERB NOUN ADP ADP NOUN
That question was not out of order.	0 0 0 0 1 1 1	out of order	figurative	identical	DET NOUN VERB ADV ADP ADP NOUN
They get to work, it started off one of these days didn't it so the lift's out of order and they work on the top floor, so they 've now got to run up all those stairs, the energy is being used up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADP NOUN PRON VERB PART NUM ADP DET NOUN VERB PRON ADP DET NOUN ADP ADP NOUN CCONJ PRON VERB ADP DET ADJ NOUN ADP PRON VERB ADV VERB PART VERB PART ADJ DET NOUN DET NOUN VERB VERB VERB PART
The notorious Atlantic trade in black Africans has received the extensive and controversial attention of historians, and that is as it should be, for it was a shameful traffic for which apologetics are quite out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET ADJ ADJ NOUN ADP ADJ PROPN VERB VERB DET ADJ CCONJ ADJ NOUN ADP NOUN CCONJ DET VERB ADP PRON VERB VERB ADP PRON VERB DET ADJ NOUN ADP ADJ NOUN VERB ADV ADP ADP NOUN
When he had gone, Patrick said, ' Is this all out of order? '	0 0 0 0 0 0 0 0 0 0 1 1 1 0	out of order	figurative	identical	ADV PRON VERB VERB PROPN VERB PUNCT VERB DET DET ADP ADP NOUN PUNCT
If my memory serves me well, a broader new clause which was tabled in Standing Committee was ruled out of order on the ground that it was outwith the scope of the Bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP ADJ NOUN VERB PRON ADV DET ADJ ADJ NOUN ADJ VERB VERB ADP PROPN PROPN VERB VERB ADP ADP NOUN ADP DET NOUN ADP PRON VERB ADP DET NOUN ADP DET PROPN
" To sing a verse out of order ", Flynn said sombrely,"was a crime.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of order	figurative	identical	PUNCT PART VERB DET NOUN ADP ADP NOUN PUNCT PROPN VERB ADJ DET NOUN
And she said that yous are really out of order not going she said because she wanted to sit in that close with	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	CCONJ PRON VERB ADP ADJ VERB ADV ADP ADP NOUN ADV VERB PRON VERB ADP PRON VERB PART VERB ADP DET ADV ADP
That's what I thought I think that's out of order	0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET NOUN PRON VERB PRON VERB DET ADP ADP NOUN
But if the consensus is one of conviction, then dissent, however surprising, will not be out of order in the same way, because everyone will recognize that an attack on the substantive case for the proposition is an attack on the proposition itself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	CCONJ ADP DET NOUN VERB NUM ADP NOUN ADV NOUN ADV ADJ VERB ADV VERB ADP ADP NOUN ADP DET ADJ NOUN ADP NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN PRON
I was out of order, but the Claudia Adams who enticed Garry away from his wife and the girl I am beginning to know could be two different people.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADP ADP NOUN CCONJ DET PROPN PROPN NOUN VERB PROPN ADV ADP ADJ NOUN CCONJ DET NOUN PRON VERB VERB PART VERB VERB VERB NUM ADJ NOUN
The elevator's out of order, so we 'll have to take the stairs.	0 0 1 1 1 0 0 0 0 0 0 0 0	out of order	figurative	identical	DET NOUN ADP ADP NOUN ADV PRON VERB VERB PART VERB DET NOUN
Yep, complete load of crap … out of order they even say it … its been the same ever since the premier card was first introduced.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ ADJ NOUN ADP NOUN PUNCT ADP ADP NOUN PRON ADV VERB PRON PUNCT ADJ VERB DET ADJ ADV ADP DET NOUN NOUN VERB ADV VERB
Mr Bellingham said : ‘ We don't want to condone anyone who breaks the law but I think the extreme sentences on these men are completely out of order.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	dashes	PROPN PROPN VERB PUNCT PUNCT PRON VERB VERB PART VERB NOUN NOUN VERB DET NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN VERB ADV ADP ADP NOUN
We have to use the stairs because the elevator is out of order.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PRON VERB PART VERB DET NOUN ADP DET NOUN VERB ADP ADP NOUN
If, in your judgment, Sir, a question is out of order, how can it be in order for the Prime Minister to have a response?	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP ADP ADJ NOUN PROPN DET NOUN VERB ADP ADP NOUN ADV VERB PRON VERB ADP NOUN ADP DET PROPN PROPN PART VERB DET NOUN
In the dressing room all the lads said the crowd were out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	ADP DET NOUN NOUN ADJ DET NOUN VERB DET NOUN VERB ADP ADP NOUN
I admit that all of this is completely out of order — that it looks as if I 'm putting men in a no - win situation.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADP DET ADP DET VERB ADV ADP ADP NOUN PUNCT ADP PRON VERB ADP ADP PRON VERB VERB NOUN ADP DET DET PUNCT NOUN NOUN
This was initiated, so legend has it, when the lavatories were out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET VERB VERB ADP NOUN VERB PRON ADV DET NOUN VERB ADP ADP NOUN
In addition, groups of questions were devoted to marriage and to child - care, so that there was no pressure on the women to feel that responses on these subjects would be out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	ADP NOUN NOUN ADP NOUN VERB VERB ADP NOUN CCONJ ADP NOUN PUNCT NOUN ADP ADP ADV VERB DET NOUN ADP DET NOUN PART VERB ADP NOUN ADP DET NOUN VERB VERB ADP ADP NOUN
As the visiting speaker told his tale, others chipped in with humorous stories about the nose - picking chairman : failed English ‘ O’ level seven times … sent his car for a Ministry of Transport Test with both headlights out of order and no brakes … a complete nut - case.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP DET VERB NOUN VERB ADJ NOUN NOUN VERB PART ADP ADJ NOUN ADP DET NOUN PUNCT VERB NOUN PUNCT VERB PROPN PUNCT PROPN NOUN NUM NOUN PUNCT VERB ADJ NOUN ADP DET PROPN ADP PROPN PROPN ADP DET NOUN ADP ADP NOUN CCONJ DET NOUN PUNCT DET ADJ NOUN PUNCT NOUN
No it's down there, and in it er I wrote it last night actually when I was feeling pretty fucked off so it's probably a bit out of order but I wrote to him and said erm tt Josh has been round this evening asking questions about what's happened with his money erm and I think you 're really out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	INTJ PRON ADV ADV CCONJ ADP PRON INTJ PRON VERB PRON ADJ NOUN ADV ADV PRON VERB VERB ADV VERB PART ADP PRON ADV DET NOUN ADP ADP NOUN CCONJ PRON VERB ADP PRON CCONJ VERB NOUN ADP PROPN VERB VERB ADP DET NOUN VERB NOUN ADP NOUN VERB ADP ADJ NOUN NOUN CCONJ PRON VERB PRON VERB ADV ADP ADP NOUN
They could think what I done was totally out of order. I mean it was only forgery, but they could think it was, you know …	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB VERB NOUN PRON VERB VERB ADV ADP ADP NOUN PRON VERB PRON VERB ADV NOUN CCONJ PRON VERB VERB PRON VERB PRON VERB PUNCT
I bet ya it was one of them that put that out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PRON VERB PRON PRON VERB NUM ADP PRON ADJ VERB DET ADP ADP NOUN
There was nothing out of order or especially remarkable in that quiet place.	0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	ADV VERB NOUN ADP ADP NOUN CCONJ ADV ADJ ADP DET ADJ NOUN
so I 've got out, I, I said to him you thinking what I 'm thinking, he said yeah shall we do it, most out of order it is a bit cold, middle of, middle of December like	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP PRON VERB VERB PART PRON PRON VERB ADP PRON PRON VERB NOUN PRON NOUN VERB PRON VERB INTJ VERB PRON VERB PRON ADV ADP ADP NOUN PRON VERB DET NOUN ADJ NOUN ADP NOUN ADP PROPN ADP
We were allowed to debate a motion on homelessness but a motion as a previous speaker has said, on toxic shock syndrome, was ruled out of order, as it fell within the remit of Congress.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB VERB PART VERB DET NOUN ADP NOUN CCONJ DET NOUN ADP DET ADJ NOUN VERB VERB ADP ADJ NOUN NOUN VERB VERB ADP ADP NOUN ADP PRON VERB ADP DET NOUN ADP PROPN
Chairman Michael Morris said a debate was out of order, but hinted it may be permitted later.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	PROPN PROPN PROPN VERB DET NOUN VERB ADP ADP NOUN CCONJ VERB PRON VERB VERB VERB ADV
He's an ungrateful bastard at the best of times but biting the hand that feeds you while it's feeding you is a bit out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PRON DET ADJ NOUN ADP DET ADJ ADP NOUN CCONJ VERB DET NOUN ADJ VERB PRON ADP PRON VERB PRON VERB DET NOUN ADP ADP NOUN
So any substantive attack on the proposition will be out of order within the context of adjudication, just as an attack on the wisdom of the rules of chess is out of order within a game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	ADV DET ADJ NOUN ADP DET NOUN VERB VERB ADP ADP NOUN ADP DET NOUN ADP NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP NOUN VERB ADP ADP NOUN ADP DET NOUN
‘ I have been very patient, but this whole business is out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PUNCT PRON VERB VERB ADV ADJ CCONJ DET ADJ NOUN VERB ADP ADP NOUN
Yeah, out of order.	0 1 1 1	out of order	figurative	identical	INTJ ADP ADP NOUN
Oh, Osmond, come on, give me the tape don't be out of order.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	INTJ PROPN VERB PART VERB PRON DET NOUN VERB VERB ADP ADP NOUN
I do not think I would be out of order in recalling a private conversation with the Secretary of State for Transport about a year ago on this subject.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADV VERB PRON VERB VERB ADP ADP NOUN ADP VERB DET ADJ NOUN ADP DET PROPN ADP PROPN ADP PROPN ADP DET NOUN ADV ADP DET NOUN
Would it be out of order to ask what they do get paid, or what they did get paid?	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	VERB PRON VERB ADP ADP NOUN PART VERB NOUN PRON VERB VERB VERB CCONJ NOUN PRON VERB VERB VERB
I mean, for a child to have to sit and look at a wall for twenty - four hours a day — it's totally out of order, you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out of order	figurative	identical	PRON VERB ADP DET NOUN PART VERB PART VERB CCONJ VERB ADP DET NOUN ADP NUM PUNCT NUM NOUN DET NOUN PUNCT PRON ADV ADP ADP NOUN PRON VERB
Since this heater seems to be out of order, I 'll have him repair it.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of order	figurative	identical	ADP DET NOUN VERB PART VERB ADP ADP NOUN PRON VERB VERB PRON VERB PRON
A unanimous vote by Highland Regional Council to surcharge holiday home owners was ruled out of order by the Scottish Office on 19 November last year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	DET ADJ NOUN ADP PROPN PROPN PROPN PART VERB NOUN NOUN NOUN VERB VERB ADP ADP NOUN ADP DET PROPN PROPN ADP NUM PROPN ADJ NOUN
The CPU is said to have some support for out - of - order execution of instructions, which requires very tricky circuitry to reassemble the stream in the right order and avoid dependency conflicts.	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	dashes	DET NOUN VERB VERB PART VERB DET NOUN ADP ADV PUNCT ADP PUNCT NOUN NOUN ADP NOUN ADJ VERB ADV ADJ NOUN PART VERB DET NOUN ADP DET ADJ NOUN CCONJ VERB NOUN NOUN
For some reason ( and I really can't remember what I was doing there ) one day I found myself rather out of order at the opening of a new leather shop in Hoxton.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP DET NOUN PUNCT CCONJ PRON ADV VERB VERB NOUN PRON VERB VERB ADV PUNCT NUM NOUN PRON VERB PRON ADV ADP ADP NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN ADP PROPN
fear of violence and I think that's that's definitely out of order.	0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	NOUN ADP NOUN CCONJ PRON VERB DET DET ADV ADP ADP NOUN
What, that's a bit out of order, innit, poor sods.	0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	NOUN DET DET NOUN ADP ADP NOUN NOUN ADJ NOUN
‘ You 're out of order, Irish.’	0 0 0 1 1 1 0	out of order	figurative	identical	PUNCT PRON VERB ADP ADP NOUN NOUN
‘ That was out of order, Paul,’ Mark says.	0 0 0 1 1 1 0 0 0	out of order	figurative	identical	PUNCT DET VERB ADP ADP NOUN PROPN PROPN VERB
BIG Dave Beasant hit back at the Chelsea fans who booed him off the pitch and blasted : ‘ You 're out of order.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	dashes	PROPN PROPN PROPN VERB PART ADP DET PROPN NOUN NOUN VERB PRON ADP DET NOUN CCONJ VERB PUNCT PUNCT PRON VERB ADP ADP NOUN
The image of an unfortunate resident having to climb 20 flights of stairs because the lift is out of order is now a common one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out of order	figurative	identical	DET NOUN ADP DET ADJ NOUN VERB PART VERB NUM NOUN ADP NOUN ADP DET NOUN VERB ADP ADP NOUN VERB ADV DET ADJ NUM
As those visits covered a period of six months, I may have got some of the dialogue a little out of the exact chronological order, but by and large that was the sequence of events.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	out of order	literal	insertion-other	ADP DET NOUN VERB DET NOUN ADP NUM NOUN PRON VERB VERB VERB DET ADP DET NOUN DET ADJ ADP ADP DET ADJ ADJ NOUN CCONJ ADP CCONJ ADJ ADJ VERB DET NOUN ADP NOUN
How right you are Mr Deputy Speaker, of course I couldn't go into this because it's out of order but on the other hand I would simply say to the honourable gentleman if he looks at the basic policies, the basic flaw of the E C is it can't solve problems and all these new M E Ps we 're thinking of sending over I think we should bear in mind the problem, they 're going over to something where problems can't be solved.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADV ADJ PRON VERB PROPN PROPN PROPN ADP NOUN PRON VERB VERB ADP DET ADP PRON ADP ADP NOUN CCONJ ADP DET ADJ NOUN PRON VERB ADV VERB ADP DET ADJ NOUN ADP PRON VERB ADP DET ADJ NOUN DET ADJ NOUN ADP DET NOUN NOUN VERB PRON VERB VERB NOUN CCONJ ADJ DET ADJ NOUN PROPN PROPN PRON VERB VERB ADP VERB ADP PRON VERB PRON VERB VERB ADP NOUN DET NOUN PRON VERB VERB PART ADP NOUN ADV NOUN VERB VERB VERB
Black — rooms 000 ( out of order ).	0 0 0 0 0 1 1 1 0	out of order	figurative	identical	ADJ PUNCT NOUN NUM PUNCT ADP ADP NOUN PUNCT
He has not done so and, therefore, it would be out of order for the Hon. Gentleman to pursue his present line of argument under this new clause	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	PRON VERB ADV VERB ADV CCONJ ADV PRON VERB VERB ADP ADP NOUN ADP DET PROPN PROPN PART VERB ADJ ADJ NOUN ADP NOUN ADP DET ADJ NOUN
Well, it's out of order, isn't it?	0 0 1 1 1 0 0	out of order	figurative	identical	INTJ PRON ADP ADP NOUN VERB PRON
Oh, that's a bit out of order, they often do that though, don't they?	0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ DET DET NOUN ADP ADP NOUN PRON ADV VERB DET ADV VERB PRON
As for reaching a telephone, given the meticulous organisation behind the coup, Trent was sure that the telephone exchange would be in Louis ' hands and out of order, particularly for foreign calls, which put calling Steve in Washington out of the question.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADP ADP VERB DET NOUN VERB DET ADJ NOUN ADP DET NOUN PROPN VERB ADJ ADP DET NOUN NOUN VERB VERB ADP PROPN PART NOUN CCONJ ADP ADP NOUN ADV ADP ADJ NOUN ADJ VERB VERB PROPN ADP PROPN ADP ADP DET NOUN
Your arms, you 're dark and you 're out of order erm Alright, Kel?	0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of order	figurative	identical	ADJ NOUN PRON VERB ADJ CCONJ PRON VERB ADP ADP NOUN NOUN PROPN PROPN
Mind you, I was pretty out of order at some of his famous parties, out - drinking George Brown and all those Labour ministers that he was courting at the time.’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	VERB PRON PRON VERB ADV ADP ADP NOUN ADP DET ADP ADJ ADJ NOUN ADV PUNCT VERB PROPN PROPN CCONJ ADJ DET PROPN NOUN ADP PRON VERB VERB ADP DET NOUN
is well out of order	0 0 1 1 1	out of order	figurative	identical	VERB ADV ADP ADP NOUN
And anything that was to be ruled out of order or they did it.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	out of order	figurative	identical	CCONJ NOUN ADJ VERB PART VERB VERB ADP ADP NOUN CCONJ PRON VERB PRON
