‘ All right, I 'll take you out to lunch one day.’	0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	PUNCT ADV ADV PRON VERB VERB PRON PART ADP NOUN NUM ADJ	▁ ‘ ▁All ▁right , ▁I ▁' ll ▁take ▁you ▁out ▁to ▁lunch ▁one ▁day . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PUNCT PUNCT ADV ADV ADV PRON VERB VERB VERB PRON PART ADP NOUN NUM ADJ ADJ ADJ
The producer, a blase+ young woman, toyed with a lettuce leaf and an olive, but on the rare occasions I am asked out to lunch I generally do without breakfast, so I made up for her and discussed the shooting schedule ( you soon pick up the jargon ) with the director.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	DET NOUN DET NOUN ADJ NOUN VERB ADP DET NOUN NOUN CCONJ DET NOUN CCONJ ADP DET ADJ NOUN PRON VERB VERB PART ADP NOUN PRON ADV VERB ADP NOUN CCONJ PRON VERB PART ADP PRON CCONJ VERB DET NOUN NOUN PUNCT PRON ADV VERB PART DET NOUN PUNCT ADP DET NOUN	▁The ▁producer , ▁a ▁bl ase + ▁young ▁woman , ▁to y ed ▁with ▁a ▁lettuce ▁leaf ▁and ▁an ▁olive , ▁but ▁on ▁the ▁rare ▁occasions ▁I ▁am ▁asked ▁out ▁to ▁lunch ▁I ▁generally ▁do ▁without ▁breakfast , ▁so ▁I ▁made ▁up ▁for ▁her ▁and ▁discussed ▁the ▁shooting ▁schedule ▁( ▁you ▁soon ▁pick ▁up ▁the ▁jar gon ▁ ) ▁with ▁the ▁director .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN DET NOUN NOUN NOUN ADJ NOUN NOUN VERB VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN NOUN CCONJ ADP DET ADJ NOUN PRON VERB VERB PART ADP NOUN PRON ADV VERB ADP NOUN NOUN CCONJ PRON VERB PART ADP PRON CCONJ VERB DET NOUN NOUN PUNCT PRON ADV VERB PART DET NOUN NOUN PUNCT PUNCT ADP DET NOUN NOUN
I treated me and mum out to lunch.	0 0 0 0 0 1 1 1	out to lunch	literal	identical	PRON VERB PRON CCONJ VERB PART ADP NOUN	▁I ▁treated ▁me ▁and ▁m um ▁out ▁to ▁lunch .	0 0 0 0 0 0 1 1 1 1	PRON VERB PRON CCONJ VERB VERB PART ADP NOUN NOUN
A couple more to show you then you can practise these when you have a bit more practice time so we can get you out to lunch on time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	DET NOUN ADJ PART VERB PRON ADV PRON VERB VERB DET ADV PRON VERB DET NOUN ADJ NOUN NOUN ADP PRON VERB VERB PRON PART ADP NOUN ADP NOUN	▁A ▁couple ▁more ▁to ▁show ▁you ▁then ▁you ▁can ▁practise ▁these ▁when ▁you ▁have ▁a ▁bit ▁more ▁practice ▁time ▁so ▁we ▁can ▁get ▁you ▁out ▁to ▁lunch ▁on ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	DET NOUN ADJ PART VERB PRON ADV PRON VERB VERB DET ADV PRON VERB DET NOUN ADJ NOUN NOUN ADP PRON VERB VERB PRON PART ADP NOUN ADP NOUN NOUN
Right, well we want to make sure that you can get out to lunch sort of by, that's running a bit fast that clock, we 'd like to get you out to lunch by about half past twelve otherwise you 'll end up being late don't you with all the other people	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	INTJ INTJ PRON VERB PART VERB ADJ ADP PRON VERB VERB PART ADP NOUN ADV ADV ADV DET VERB DET NOUN ADV ADP NOUN PRON VERB VERB PART VERB PRON PART ADP NOUN ADP ADP NOUN ADJ NUM ADV PRON VERB VERB PART VERB ADV VERB PRON ADP ADJ DET ADJ NOUN	▁Right , ▁well ▁we ▁want ▁to ▁make ▁sure ▁that ▁you ▁can ▁get ▁out ▁to ▁lunch ▁sort ▁of ▁by , ▁that ' s ▁running ▁a ▁bit ▁fast ▁that ▁clock , ▁we ▁' d ▁like ▁to ▁get ▁you ▁out ▁to ▁lunch ▁by ▁about ▁half ▁past ▁twelve ▁otherwise ▁you ▁' ll ▁end ▁up ▁being ▁late ▁don ' t ▁you ▁with ▁all ▁the ▁other ▁people	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ PRON VERB PART VERB ADJ ADP PRON VERB VERB PART ADP NOUN ADV ADV ADV ADV DET DET DET VERB DET NOUN ADV ADP NOUN NOUN PRON VERB VERB VERB PART VERB PRON PART ADP NOUN ADP ADP NOUN ADJ NUM ADV PRON VERB VERB VERB PART VERB ADV VERB VERB VERB PRON ADP ADJ DET ADJ NOUN
They had meant to go out to lunch, or Nick had.	0 0 0 0 0 1 1 1 0 0 0	out to lunch	literal	identical	PRON VERB VERB PART VERB ADV ADP NOUN CCONJ PROPN VERB	▁They ▁had ▁meant ▁to ▁go ▁out ▁to ▁lunch , ▁or ▁N ick ▁had .	0 0 0 0 0 1 1 1 1 0 0 0 0 0	PRON VERB VERB PART VERB ADV ADP NOUN NOUN CCONJ PROPN PROPN VERB VERB
Just because out - to - lunch Morrissey is dropping in references to ' Ride A White Swan ' and because Pulp's singer wears David Essex - type attire and lampoons a ' camp stance'and just because the current guitar rock scene is useless ( except Sugar ), do not fob this glitter - rock crap off on our gullible pop nation.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	figurative	dashes	ADV ADP ADV PUNCT ADP PUNCT NOUN PROPN VERB VERB ADP NOUN ADP PUNCT VERB DET PROPN PROPN PUNCT CCONJ ADP PROPN NOUN VERB PROPN PROPN PUNCT NOUN NOUN CCONJ VERB DET PUNCT NOUN NOUN ADV ADP DET ADJ NOUN NOUN NOUN VERB ADJ PUNCT ADP PROPN PUNCT VERB ADV VERB DET ADJ PUNCT NOUN NOUN PART ADP ADJ ADJ NOUN NOUN	▁Just ▁because ▁out ▁- ▁to ▁- ▁lunch ▁Morris s ey ▁is ▁dropping ▁in ▁references ▁to ▁' ▁R ide ▁A ▁White ▁S wan ▁' ▁and ▁because ▁Pu lp ' s ▁sin ger ▁wear s ▁David ▁E s s ex ▁- ▁type ▁at t ire ▁and ▁lamp oon s ▁a ▁' ▁camp ▁stance ' and ▁just ▁because ▁the ▁current ▁ gui tar ▁rock ▁scene ▁is ▁useless ▁( ▁except ▁Sugar ▁ ), ▁do ▁not ▁fo b ▁this ▁g l itter ▁- ▁rock ▁c rap ▁off ▁on ▁our ▁g ull ible ▁p op ▁nation .	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP ADV PUNCT ADP PUNCT NOUN PROPN PROPN PROPN VERB VERB ADP NOUN ADP PUNCT VERB VERB DET PROPN PROPN PROPN PUNCT CCONJ ADP PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB PROPN PROPN PROPN PROPN PROPN PUNCT NOUN NOUN NOUN NOUN CCONJ VERB VERB VERB DET PUNCT NOUN NOUN NOUN NOUN ADV ADP DET ADJ NOUN NOUN NOUN NOUN NOUN VERB ADJ PUNCT ADP PROPN PUNCT PUNCT VERB ADV VERB VERB DET ADJ ADJ ADJ PUNCT NOUN NOUN NOUN PART ADP ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN
We 're going out to lunch or what?	0 0 0 1 1 1 0 0	out to lunch	literal	identical	PRON VERB VERB PART ADP NOUN CCONJ NOUN	▁We ▁' re ▁going ▁out ▁to ▁lunch ▁or ▁what ?	0 0 0 0 1 1 1 0 0 0	PRON VERB VERB VERB PART ADP NOUN CCONJ NOUN NOUN
While her boss took the unsuspecting Carolyn out to lunch, workers hoisted her H - reg Volkswagen Polo 20 ft into the air with a borrowed crane and parked it neatly on the roof.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	ADP ADJ NOUN VERB DET ADJ PROPN PART ADP NOUN NOUN VERB ADJ NOUN PUNCT NOUN PROPN PROPN NUM NOUN ADP DET NOUN ADP DET VERB NOUN CCONJ VERB PRON ADV ADP DET NOUN	▁While ▁her ▁bo s s ▁took ▁the ▁un su spect ing ▁Caro ly n ▁out ▁to ▁lunch , ▁workers ▁ho ist ed ▁her ▁H ▁- ▁re g ▁Volksw agen ▁P olo ▁20 ▁ft ▁into ▁the ▁air ▁with ▁a ▁borrowed ▁crane ▁and ▁park ed ▁it ▁ne at ly ▁on ▁the ▁roof .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN NOUN NOUN VERB DET ADJ ADJ ADJ ADJ PROPN PROPN PROPN PART ADP NOUN NOUN NOUN VERB VERB VERB ADJ NOUN PUNCT NOUN NOUN PROPN PROPN PROPN PROPN NUM NOUN ADP DET NOUN ADP DET VERB NOUN CCONJ VERB VERB PRON ADV ADV ADV ADP DET NOUN NOUN
If you want to know, it completed the whole exercise for me, the first time, while I was out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	ADP PRON VERB PART VERB PRON VERB DET ADJ NOUN ADP PRON DET ADJ NOUN ADP PRON VERB ADV ADP NOUN	▁If ▁you ▁want ▁to ▁know , ▁it ▁completed ▁the ▁whole ▁exercise ▁for ▁me , ▁the ▁first ▁time , ▁while ▁I ▁was ▁out ▁to ▁lunch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB PART VERB VERB PRON VERB DET ADJ NOUN ADP PRON PRON DET ADJ NOUN NOUN ADP PRON VERB ADV ADP NOUN NOUN
She said : ‘ I went out to lunch with friends and we shared a bottle of champagne.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PUNCT PUNCT PRON VERB PART ADP NOUN ADP NOUN CCONJ PRON VERB DET NOUN ADP NOUN	▁She ▁said ▁ : ▁ ‘ ▁I ▁went ▁out ▁to ▁lunch ▁with ▁friends ▁and ▁we ▁shared ▁a ▁bottle ▁of ▁ch ampagne .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PUNCT PUNCT PUNCT PUNCT PRON VERB PART ADP NOUN ADP NOUN CCONJ PRON VERB DET NOUN ADP NOUN NOUN NOUN
Peter Morgan remembers being taken out to lunch at the Trocadero and visiting Cadby Hall, the headquarters of J. Lyons.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PROPN PROPN VERB VERB VERB PART ADP NOUN ADP DET PROPN CCONJ VERB PROPN PROPN DET NOUN ADP PROPN PROPN	▁Peter ▁M organ ▁remember s ▁being ▁taken ▁out ▁to ▁lunch ▁at ▁the ▁Tro cade ro ▁and ▁visiting ▁C ad by ▁Hall , ▁the ▁headquarters ▁of ▁J . ▁Lyon s .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB VERB VERB PART ADP NOUN ADP DET PROPN PROPN PROPN CCONJ VERB PROPN PROPN PROPN PROPN PROPN DET NOUN ADP PROPN PROPN PROPN PROPN PROPN
I had been taken out to lunch by Wakefield's grandparents one Sunday.	0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB VERB PART ADP NOUN ADP PROPN NOUN NUM PROPN	▁I ▁had ▁been ▁taken ▁out ▁to ▁lunch ▁by ▁W ake field ' s ▁grand parent s ▁one ▁Sunday .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NUM PROPN PROPN
We would go out to lunch or perhaps look around a stately home — life became extremely rich because we could control Ruth's pain with morphine.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB ADV ADP NOUN CCONJ ADV VERB ADP DET ADJ NOUN PUNCT NOUN VERB ADV ADJ ADP PRON VERB VERB PROPN NOUN ADP NOUN	▁We ▁would ▁go ▁out ▁to ▁lunch ▁or ▁perhaps ▁look ▁around ▁a ▁state ly ▁home ▁ — ▁life ▁became ▁extremely ▁rich ▁because ▁we ▁could ▁control ▁Ru th ' s ▁pain ▁with ▁morphine .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADP NOUN CCONJ ADV VERB ADP DET ADJ ADJ NOUN PUNCT PUNCT NOUN VERB ADV ADJ ADP PRON VERB VERB PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN
She would take herself out to lunch and do some shopping, look for those new lampshades that were needed for one of the spare rooms.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB PRON PART ADP NOUN CCONJ VERB DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB ADP NUM ADP DET ADJ NOUN	▁She ▁would ▁take ▁herself ▁out ▁to ▁lunch ▁and ▁do ▁some ▁shopping , ▁look ▁for ▁those ▁new ▁lamps had es ▁that ▁were ▁needed ▁for ▁one ▁of ▁the ▁spare ▁rooms .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON PART ADP NOUN CCONJ VERB DET NOUN NOUN VERB ADP DET ADJ NOUN NOUN NOUN ADJ VERB VERB ADP NUM ADP DET ADJ NOUN NOUN
Going out to lunch.	0 1 1 1	out to lunch	literal	identical	VERB ADV ADP NOUN	▁Go ing ▁out ▁to ▁lunch .	0 0 1 1 1 1	VERB VERB ADV ADP NOUN NOUN
Round the bend, out to lunch.	0 0 0 1 1 1	out to lunch	figurative	identical	ADP DET NOUN ADV ADP NOUN	▁Round ▁the ▁be nd , ▁out ▁to ▁lunch .	0 0 0 0 0 1 1 1 1	ADP DET NOUN NOUN NOUN ADV ADP NOUN NOUN
Fred was jumpy while they were working together the next morning, so Arthur opened a bottle of Bollinger in their businesslike new office and then took him out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	PROPN VERB ADJ ADP PRON VERB VERB ADV DET ADJ NOUN CCONJ PROPN VERB DET NOUN ADP PROPN ADP ADJ ADJ ADJ NOUN CCONJ ADV VERB PRON PART ADP NOUN	▁Fred ▁was ▁jump y ▁while ▁they ▁were ▁working ▁together ▁the ▁next ▁morning , ▁so ▁Art hur ▁opened ▁a ▁bottle ▁of ▁B ol ling er ▁in ▁their ▁business like ▁new ▁office ▁and ▁then ▁took ▁him ▁out ▁to ▁lunch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN VERB ADJ ADJ ADP PRON VERB VERB ADV DET ADJ NOUN NOUN CCONJ PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PROPN ADP ADJ ADJ ADJ ADJ NOUN CCONJ ADV VERB PRON PART ADP NOUN NOUN
He asked her out to lunch because he hoped that she had missed him.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PRON PART ADP NOUN ADP PRON VERB ADP PRON VERB VERB PRON	▁He ▁asked ▁her ▁out ▁to ▁lunch ▁because ▁he ▁hoped ▁that ▁she ▁had ▁missed ▁him .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB PRON PART ADP NOUN ADP PRON VERB ADP PRON VERB VERB PRON PRON
" I 'm going out to lunch, " Sara said,, " to the Fairfax barbecue for Sandra's birthday. "	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB PART ADP NOUN PUNCT PROPN VERB PUNCT ADP DET PROPN NOUN ADP PROPN NOUN PUNCT	▁" ▁I ▁' m ▁going ▁out ▁to ▁lunch , ▁" ▁Sara ▁said , , ▁" ▁to ▁the ▁Fair fax ▁barb ecu e ▁for ▁Sand ra ' s ▁birth day . ▁"	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB VERB VERB PART ADP NOUN NOUN PUNCT PROPN VERB VERB VERB PUNCT ADP DET PROPN PROPN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN PUNCT
His secretary had been out to lunch, and he had been going through the files stored on the disk she was currently using, looking for a copy of a contract that he urgently needed to check.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	ADJ NOUN VERB VERB ADP ADP NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN VERB ADP DET NOUN PRON VERB ADV VERB VERB ADP DET NOUN ADP DET NOUN ADJ PRON ADV VERB PART VERB	▁His ▁secretary ▁had ▁been ▁out ▁to ▁lunch , ▁and ▁he ▁had ▁been ▁going ▁through ▁the ▁files ▁stored ▁on ▁the ▁disk ▁she ▁was ▁currently ▁using , ▁looking ▁for ▁a ▁copy ▁of ▁a ▁contract ▁that ▁he ▁urgently ▁needed ▁to ▁check .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP ADP NOUN NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN VERB ADP DET NOUN PRON VERB ADV VERB VERB VERB ADP DET NOUN ADP DET NOUN ADJ PRON ADV VERB PART VERB VERB
‘ I 'd been kicked by a horse and lost two front teeth and he took me out to lunch and gave me asparagus.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB VERB ADP DET NOUN CCONJ VERB NUM ADJ NOUN CCONJ PRON VERB PRON PART ADP NOUN CCONJ VERB PRON ADJ	▁ ‘ ▁I ▁' d ▁been ▁kick ed ▁by ▁a ▁horse ▁and ▁lost ▁two ▁front ▁teeth ▁and ▁he ▁took ▁me ▁out ▁to ▁lunch ▁and ▁gave ▁me ▁as para gus .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB VERB ADP DET NOUN CCONJ VERB NUM ADJ NOUN CCONJ PRON VERB PRON PART ADP NOUN CCONJ VERB PRON ADJ ADJ ADJ ADJ
We could go out to lunch,’ he offered.	0 0 0 1 1 1 0 0	out to lunch	literal	dashes	PRON VERB VERB PART ADP NOUN PRON VERB	▁We ▁could ▁go ▁out ▁to ▁lunch , ’ ▁he ▁offered .	0 0 0 1 1 1 1 1 0 0 0	PRON VERB VERB PART ADP NOUN NOUN NOUN PRON VERB VERB
