Has a woman who knew herself to be well dressed ever caught a cold?	0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN	▁Has ▁a ▁woman ▁who ▁knew ▁herself ▁to ▁be ▁well ▁dressed ▁ever ▁caught ▁a ▁cold ?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN NOUN
WHEN publican John Cockerton, 40, caught a cold on a sunshine holiday island, he ended up with a medical bill for £ 2,200.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	ADV ADJ PROPN PROPN NUM VERB DET NOUN ADP DET NOUN NOUN NOUN PRON VERB PART ADP DET ADJ NOUN ADP SYM NUM	▁W H EN ▁public an ▁John ▁Cock er ton , ▁40 , ▁caught ▁a ▁cold ▁on ▁a ▁sun sh ine ▁holiday ▁island , ▁he ▁ended ▁up ▁with ▁a ▁medical ▁bill ▁for ▁£ ▁2, 200 .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADJ ADJ PROPN PROPN PROPN PROPN PROPN NUM NUM VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN PRON VERB PART ADP DET ADJ NOUN ADP SYM NUM NUM NUM
I 've caught his cold.	0 0 1 0 1	catch a cold	figurative	combined-inflection	PRON VERB VERB ADJ NOUN	▁I ▁' ve ▁caught ▁his ▁cold .	0 0 0 1 0 1 1	PRON VERB VERB VERB ADJ NOUN NOUN
Take care that you don't catch a cold.	0 0 0 0 0 1 0 1	catch a cold	figurative	identical	VERB NOUN ADP PRON VERB VERB DET NOUN	▁Take ▁care ▁that ▁you ▁don ' t ▁catch ▁a ▁cold .	0 0 0 0 0 0 0 1 0 1 1	VERB NOUN ADP PRON VERB VERB VERB VERB DET NOUN NOUN
' I catch three colds every year. '	0 0 1 0 1 0 0 0	catch a cold	figurative	determiner-broad	PUNCT PRON VERB NUM NOUN DET NOUN PUNCT	▁' ▁I ▁catch ▁three ▁cold s ▁every ▁year . ▁'	0 0 1 0 1 1 0 0 0 0	PUNCT PRON VERB NUM NOUN NOUN DET NOUN NOUN PUNCT
I 'll catch a cold.	0 0 1 0 1	catch a cold	figurative	identical	PRON VERB VERB DET NOUN	▁I ▁' ll ▁catch ▁a ▁cold .	0 0 0 1 0 1 1	PRON VERB VERB VERB DET NOUN NOUN
Just as he was about to travel to Paris in November, to open a book exhibition and make a speech at the Bibliothèque Nationale, he caught a heavy cold which turned to bronchitis with congestion of the lungs ; a nurse was called in and he took a course of penicillin, but he still managed to make the journey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	combined-inflection	ADV ADP PRON VERB ADJ PART VERB ADP PROPN ADP PROPN PART VERB DET NOUN NOUN CCONJ VERB DET NOUN ADP DET PROPN PROPN PRON VERB DET ADJ ADJ ADJ VERB ADP NOUN ADP NOUN ADP DET NOUN PUNCT DET NOUN VERB VERB PART CCONJ PRON VERB DET NOUN ADP NOUN CCONJ PRON ADV VERB PART VERB DET NOUN	▁Just ▁as ▁he ▁was ▁about ▁to ▁travel ▁to ▁Paris ▁in ▁November , ▁to ▁open ▁a ▁book ▁exhibition ▁and ▁make ▁a ▁speech ▁at ▁the ▁B ib lio thè que ▁National e , ▁he ▁caught ▁a ▁heavy ▁cold ▁which ▁turned ▁to ▁bronch itis ▁with ▁congestion ▁of ▁the ▁lungs ▁ ; ▁a ▁nurse ▁was ▁called ▁in ▁and ▁he ▁took ▁a ▁course ▁of ▁penicillin , ▁but ▁he ▁still ▁managed ▁to ▁make ▁the ▁journey .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PRON VERB ADJ PART VERB ADP PROPN ADP PROPN PROPN PART VERB DET NOUN NOUN CCONJ VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PRON VERB DET ADJ ADJ ADJ VERB ADP NOUN NOUN ADP NOUN ADP DET NOUN PUNCT PUNCT DET NOUN VERB VERB PART CCONJ PRON VERB DET NOUN ADP NOUN NOUN CCONJ PRON ADV VERB PART VERB DET NOUN NOUN
he's going to catch a cold!	0 0 0 1 0 1	catch a cold	figurative	identical	PRON VERB PART VERB DET NOUN	▁he ' s ▁going ▁to ▁catch ▁a ▁cold !	0 0 0 0 0 1 0 1 1	PRON PRON PRON VERB PART VERB DET NOUN NOUN
' Come along before you catch cold.	0 0 0 0 0 1 1	catch a cold	figurative	deletion-determiner	PUNCT VERB PART ADP PRON VERB ADJ	▁' ▁Com e ▁along ▁before ▁you ▁catch ▁cold .	0 0 0 0 0 0 1 1 1	PUNCT VERB VERB PART ADP PRON VERB ADJ ADJ
' You catch colds from a virus. '	0 0 1 1 0 0 0 0	catch a cold	figurative	deletion-determiner	PUNCT PRON VERB NOUN ADP DET NOUN PUNCT	▁' ▁You ▁catch ▁cold s ▁from ▁a ▁virus . ▁'	0 0 1 1 1 0 0 0 0 0	PUNCT PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Get into bed now, or you 'll catch cold.	0 0 0 0 0 0 0 1 1	catch a cold	figurative	deletion-determiner	VERB ADP NOUN ADV CCONJ PRON VERB VERB ADJ	▁G et ▁into ▁be d ▁now , ▁or ▁you ▁' ll ▁catch ▁cold .	0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB ADP NOUN NOUN ADV ADV CCONJ PRON VERB VERB VERB ADJ ADJ
Sneezy was Robin Cook ( ‘ he's going to catch a cold when he finds you can not solve all problems by throwing money at them’ ) and Dopey, You Know Who.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	identical	PROPN VERB PROPN PROPN PUNCT PUNCT PRON VERB PART VERB DET NOUN ADV PRON VERB PRON VERB ADV VERB DET NOUN ADP VERB NOUN ADP NOUN PUNCT CCONJ PROPN PRON VERB NOUN	▁S ne ez y ▁was ▁Ro bin ▁Cook ▁( ▁ ‘ ▁he ' s ▁going ▁to ▁catch ▁a ▁cold ▁when ▁he ▁finds ▁you ▁can ▁not ▁solve ▁all ▁problems ▁by ▁throw ing ▁money ▁at ▁them ’ ▁ ) ▁and ▁Do pe y , ▁You ▁Know ▁Who .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN PUNCT PUNCT PUNCT PRON PRON PRON VERB PART VERB DET NOUN ADV PRON VERB PRON VERB ADV VERB DET NOUN ADP VERB VERB NOUN ADP NOUN NOUN PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN PRON VERB NOUN NOUN
Indeed, the conventional wisdom – supported by many painful experiences – was that when the industrial countries sneezed, the emerging world caught a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	ADV DET ADJ NOUN PUNCT VERB ADP ADJ ADJ NOUN PUNCT VERB ADP ADV DET ADJ NOUN VERB DET VERB NOUN VERB DET NOUN	▁Indeed , ▁the ▁conventional ▁wisdom ▁ – ▁supported ▁by ▁many ▁painful ▁experiences ▁ – ▁was ▁that ▁when ▁the ▁industrial ▁countries ▁sn ee zed , ▁the ▁emerging ▁world ▁caught ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADV DET ADJ NOUN PUNCT PUNCT VERB ADP ADJ ADJ NOUN PUNCT PUNCT VERB ADP ADV DET ADJ NOUN VERB VERB VERB VERB DET VERB NOUN VERB DET NOUN NOUN
The weather had been appalling and as a result the whole family had caught colds.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	catch a cold	figurative	combined-inflection	DET NOUN VERB VERB ADJ CCONJ ADP DET NOUN DET ADJ NOUN VERB VERB NOUN	▁The ▁weather ▁had ▁been ▁appall ing ▁and ▁as ▁a ▁result ▁the ▁whole ▁family ▁had ▁caught ▁cold s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN VERB VERB ADJ ADJ CCONJ ADP DET NOUN DET ADJ NOUN VERB VERB NOUN NOUN NOUN
‘ When people cough, you can catch a cold,’ he said.	0 0 0 0 0 0 1 0 1 0 0	catch a cold	figurative	dashes	PUNCT ADV NOUN VERB PRON VERB VERB DET NOUN PRON VERB	▁ ‘ ▁When ▁people ▁cough , ▁you ▁can ▁catch ▁a ▁cold , ’ ▁he ▁said .	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	PUNCT PUNCT ADV NOUN VERB VERB PRON VERB VERB DET NOUN NOUN NOUN PRON VERB VERB
She quoted him : on one occasion when the Princess had waved him away, pleading a cold, he had breathed back at her, ‘ It would be a privilege to catch a cold of yours.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	catch a cold	figurative	identical	PRON VERB PRON PUNCT ADP NUM NOUN ADV DET PROPN VERB VERB PRON ADV VERB DET NOUN PRON VERB VERB ADV ADP PRON PUNCT PRON VERB VERB DET NOUN PART VERB DET NOUN ADP PRON	▁She ▁quoted ▁him ▁ : ▁on ▁one ▁occasion ▁when ▁the ▁Prince s s ▁had ▁wave d ▁him ▁away , ▁plead ing ▁a ▁cold , ▁he ▁had ▁breath ed ▁back ▁at ▁her , ▁ ‘ ▁It ▁would ▁be ▁a ▁privilege ▁to ▁catch ▁a ▁cold ▁of ▁your s . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB PRON PUNCT PUNCT ADP NUM NOUN ADV DET PROPN PROPN PROPN VERB VERB VERB PRON ADV ADV VERB VERB DET NOUN NOUN PRON VERB VERB VERB ADV ADP PRON PRON PUNCT PUNCT PRON VERB VERB DET NOUN PART VERB DET NOUN ADP PRON PRON PRON PRON
It looks like the temperature is going to drop tonight, so be careful not to catch a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	identical	PRON VERB ADP DET NOUN VERB VERB PART VERB NOUN ADV VERB ADJ ADV PART VERB DET NOUN	▁It ▁looks ▁like ▁the ▁temperature ▁is ▁going ▁to ▁drop ▁tonight , ▁so ▁be ▁careful ▁not ▁to ▁catch ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADP DET NOUN VERB VERB PART VERB NOUN NOUN ADV VERB ADJ ADV PART VERB DET NOUN NOUN
