Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN	▁C ig g ie ▁lands ▁ gran ▁in ▁dock	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP NOUN
The most famous of these, and the only one remaining today is the Cutty Sark, which is now moored in a dry dock at Greenwich in London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	in the dock	literal	combined-other	DET ADV ADJ ADP DET CCONJ DET ADJ NOUN VERB NOUN VERB DET PROPN PROPN ADJ VERB ADV VERB PART DET ADJ NOUN ADP PROPN ADP PROPN	▁The ▁most ▁famous ▁of ▁these , ▁and ▁the ▁only ▁one ▁remaining ▁today ▁is ▁the ▁Cut ty ▁S ark , ▁which ▁is ▁now ▁mo or ed ▁in ▁a ▁dry ▁dock ▁at ▁Green wich ▁in ▁London .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	DET ADV ADJ ADP DET DET CCONJ DET ADJ NOUN VERB NOUN VERB DET PROPN PROPN PROPN PROPN PROPN ADJ VERB ADV VERB VERB VERB PART DET ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN
Watson, who turned to crime after moving to London, slumped in the dock of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN NOUN VERB ADP NOUN ADP VERB ADP PROPN VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB PART DET NOUN ADP PROPN	▁Watson , ▁who ▁turned ▁to ▁crime ▁after ▁moving ▁to ▁London , ▁sl ump ed ▁in ▁the ▁dock ▁of ▁In ner ▁London ▁Crown ▁Court ▁as ▁Judge ▁Brian ▁P ry or ▁handed ▁out ▁the ▁sentence ▁on ▁Monday .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN NOUN VERB ADP NOUN ADP VERB ADP PROPN PROPN VERB VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB PART DET NOUN ADP PROPN PROPN
One's always in the dock and being questioned, isn't one?	0 0 1 0 1 0 0 0 0 0	in the dock	figurative	identical	PRON ADV ADP DET NOUN CCONJ VERB VERB VERB NUM	▁One ' s ▁always ▁in ▁the ▁dock ▁and ▁being ▁questioned , ▁is n ' t ▁one ?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON ADV ADP DET NOUN CCONJ VERB VERB VERB VERB VERB VERB VERB NUM NUM
And FA official David Bloomfield confirmed that Jones is back in the dock saying : ‘ Vinny Jones has been charged with misconduct, more specifically bringing the game into disrepute.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	CCONJ PROPN NOUN PROPN PROPN VERB ADP PROPN VERB ADV ADP DET NOUN VERB PUNCT PUNCT PROPN PROPN VERB VERB VERB ADP NOUN ADV ADV VERB DET NOUN ADP NOUN	▁And ▁FA ▁official ▁David ▁B loom field ▁confirmed ▁that ▁Jones ▁is ▁back ▁in ▁the ▁dock ▁saying ▁ : ▁ ‘ ▁V in ny ▁Jones ▁has ▁been ▁charged ▁with ▁misconduct , ▁more ▁specifically ▁bringing ▁the ▁game ▁into ▁dis rep ute .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN NOUN PROPN PROPN PROPN PROPN VERB ADP PROPN VERB ADV ADP DET NOUN VERB PUNCT PUNCT PUNCT PUNCT PROPN PROPN PROPN PROPN VERB VERB VERB ADP NOUN NOUN ADV ADV VERB DET NOUN ADP NOUN NOUN NOUN NOUN
First - time mugger Michael Watson slumped in the dock in disbelief as Judge Brian Pryor told him thugs were making Britain's streets ‘ places of fear’.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADJ PUNCT NOUN NOUN PROPN PROPN VERB ADP DET NOUN ADP NOUN ADP PROPN PROPN PROPN VERB PRON NOUN VERB VERB PROPN NOUN PART NOUN ADP NOUN	▁First ▁- ▁time ▁m ug ger ▁Michael ▁Watson ▁sl ump ed ▁in ▁the ▁dock ▁in ▁dis bel ief ▁as ▁Judge ▁Brian ▁P ry or ▁told ▁him ▁th ug s ▁were ▁making ▁Britain ' s ▁streets ▁ ‘ ▁places ▁of ▁fear ’ .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ PUNCT NOUN NOUN NOUN NOUN PROPN PROPN VERB VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB PRON NOUN NOUN NOUN VERB VERB PROPN PROPN PROPN NOUN PART PART NOUN ADP NOUN NOUN NOUN
One of the world's largest wooden sailing ships is in Gloucester docks this weekend to mark the two hundredth birthday of the world's first ship canal.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	NUM ADP DET NOUN ADJ ADJ NOUN NOUN VERB ADP PROPN NOUN DET NOUN PART VERB DET NUM ADJ NOUN ADP DET NOUN ADJ NOUN NOUN	▁One ▁of ▁the ▁world ' s ▁largest ▁wooden ▁sailing ▁ships ▁is ▁in ▁G lo uc ester ▁dock s ▁this ▁weekend ▁to ▁mark ▁the ▁two ▁hundred th ▁birth day ▁of ▁the ▁world ' s ▁first ▁ship ▁can al .	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADP DET NOUN NOUN NOUN ADJ ADJ NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN DET NOUN PART VERB DET NUM ADJ ADJ NOUN NOUN ADP DET NOUN NOUN NOUN ADJ NOUN NOUN NOUN NOUN
It would be quite unrealistic to attempt to draw a line in the dock company's operation to limit the amount of trade it can permit at the port.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB VERB ADV ADJ PART VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB DET NOUN ADP NOUN PRON VERB VERB ADP DET NOUN	▁It ▁would ▁be ▁quite ▁unrealistic ▁to ▁attempt ▁to ▁draw ▁a ▁line ▁in ▁the ▁dock ▁company ' s ▁operation ▁to ▁limit ▁the ▁amount ▁of ▁trade ▁it ▁can ▁permit ▁at ▁the ▁port .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADJ PART VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN PART VERB DET NOUN ADP NOUN PRON VERB VERB ADP DET NOUN NOUN
He had grown up in a quasi - syndicalist tradition in the Liverpool docks, and his influence in the sixties had been thrown behind the growth of the shop - stewards movement and local plant bargaining on a devolved basis very much on the lines of the 1968 Donovan Report.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	PRON VERB VERB PART ADP DET ADV PUNCT ADJ NOUN ADP DET PROPN NOUN CCONJ ADJ NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET ADJ NOUN ADV ADV ADP DET NOUN ADP DET NUM PROPN PROPN	▁He ▁had ▁grown ▁up ▁in ▁a ▁quasi ▁- ▁syn d ical ist ▁tradition ▁in ▁the ▁Liverpool ▁dock s , ▁and ▁his ▁influence ▁in ▁the ▁six ties ▁had ▁been ▁thrown ▁behind ▁the ▁growth ▁of ▁the ▁shop ▁- ▁steward s ▁movement ▁and ▁local ▁plant ▁bargaining ▁on ▁a ▁de volved ▁basis ▁very ▁much ▁on ▁the ▁lines ▁of ▁the ▁1968 ▁Do nova n ▁Report .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART ADP DET ADV PUNCT ADJ ADJ ADJ ADJ NOUN ADP DET PROPN NOUN NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN PUNCT NOUN NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET ADJ ADJ NOUN ADV ADV ADP DET NOUN ADP DET NUM PROPN PROPN PROPN PROPN PROPN
The committee appointed to enquire into the copper trade and mining ( 1799 ), said in their report that copper bolts had never been considered strong enough, and that the practice of copper bottoming was stopped by about 1750, as a result of the losses, and the fact that at one time a third of the navy was in dock under repair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	in the dock	literal	inflection	DET NOUN VERB PART VERB ADP DET NOUN NOUN CCONJ NOUN PUNCT NUM PUNCT VERB ADP ADJ NOUN ADP NOUN NOUN VERB ADV VERB VERB ADJ ADV CCONJ ADP DET NOUN ADP NOUN NOUN VERB VERB ADP ADV NUM ADP DET NOUN ADP DET NOUN CCONJ DET NOUN ADP ADP NUM NOUN DET NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN	▁The ▁committee ▁appointed ▁to ▁en quire ▁into ▁the ▁copper ▁trade ▁and ▁mining ▁( ▁17 99 ▁ ), ▁said ▁in ▁their ▁report ▁that ▁copper ▁bolts ▁had ▁never ▁been ▁considered ▁strong ▁enough , ▁and ▁that ▁the ▁practice ▁of ▁copper ▁bottom ing ▁was ▁stopped ▁by ▁about ▁175 0, ▁as ▁a ▁result ▁of ▁the ▁losses , ▁and ▁the ▁fact ▁that ▁at ▁one ▁time ▁a ▁third ▁of ▁the ▁navy ▁was ▁in ▁dock ▁under ▁repair .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	DET NOUN VERB PART VERB VERB ADP DET NOUN NOUN CCONJ NOUN PUNCT NUM NUM PUNCT PUNCT VERB ADP ADJ NOUN ADP NOUN NOUN VERB ADV VERB VERB ADJ ADV ADV CCONJ ADP DET NOUN ADP NOUN NOUN NOUN VERB VERB ADP ADV NUM NUM ADP DET NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP ADP NUM NOUN DET NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN NOUN
But don't forget this : Gustave has been in the dock before.	0 0 0 0 0 0 0 0 1 0 1 0	in the dock	figurative	identical	CCONJ VERB VERB DET PUNCT PROPN VERB VERB ADP DET NOUN ADV	▁But ▁don ' t ▁forget ▁this ▁ : ▁G ust ave ▁has ▁been ▁in ▁the ▁dock ▁before .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	CCONJ VERB VERB VERB VERB DET PUNCT PUNCT PROPN PROPN PROPN VERB VERB ADP DET NOUN ADV ADV
The wreckage of the gantry now lies in a dry dock.	0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	combined-other	DET NOUN ADP DET NOUN ADV VERB ADP DET ADJ NOUN	▁The ▁wreck age ▁of ▁the ▁gan try ▁now ▁lies ▁in ▁a ▁dry ▁dock .	0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET NOUN NOUN ADP DET NOUN NOUN ADV VERB ADP DET ADJ NOUN NOUN
SCREAMING relatives were dragged from court yesterday after a joyrider who killed two children was attacked in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	VERB NOUN VERB VERB ADP NOUN NOUN ADP DET NOUN NOUN VERB NUM NOUN VERB VERB ADP DET NOUN	▁SCR E AM ING ▁relatives ▁were ▁dragg ed ▁from ▁court ▁yesterday ▁after ▁a ▁joy rid er ▁who ▁killed ▁two ▁children ▁was ▁attacked ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB VERB VERB VERB NOUN VERB VERB VERB ADP NOUN NOUN ADP DET NOUN NOUN NOUN NOUN VERB NUM NOUN VERB VERB ADP DET NOUN NOUN
Oh yes they, that was further in t that was further in the dock	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	INTJ INTJ PRON DET VERB ADV ADP NOUN ADJ VERB ADV ADP DET NOUN	▁O h ▁yes ▁they , ▁that ▁was ▁further ▁in ▁t ▁that ▁was ▁further ▁in ▁the ▁dock	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	INTJ INTJ INTJ PRON PRON DET VERB ADV ADP NOUN ADJ VERB ADV ADP DET NOUN
You were allowed in the dock with children?	0 0 0 1 0 1 0 0	in the dock	literal	identical	PRON VERB VERB ADP DET NOUN ADP NOUN	▁You ▁were ▁allowed ▁in ▁the ▁dock ▁with ▁children ?	0 0 0 1 0 1 0 0 0	PRON VERB VERB ADP DET NOUN ADP NOUN NOUN
We have made sure that we get on with as much as we can get through in our help for Iraq through UNHCR, but there is one man — and one man only — who stands in the dock for the denial of resources to the northern Iraqi people, and that is Saddam Hussein.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PRON VERB VERB ADJ ADP PRON VERB PART ADP ADV ADJ ADP PRON VERB VERB PART ADP ADJ NOUN ADP PROPN ADP PROPN CCONJ ADV VERB NUM NOUN PUNCT CCONJ NUM NOUN ADV PUNCT NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADP DET ADJ ADJ NOUN CCONJ DET VERB PROPN PROPN	▁We ▁have ▁made ▁sure ▁that ▁we ▁get ▁on ▁with ▁as ▁much ▁as ▁we ▁can ▁get ▁through ▁in ▁our ▁help ▁for ▁Iraq ▁through ▁UNHCR , ▁but ▁there ▁is ▁one ▁man ▁ — ▁and ▁one ▁man ▁only ▁ — ▁who ▁stands ▁in ▁the ▁dock ▁for ▁the ▁denial ▁of ▁resources ▁to ▁the ▁northern ▁Iraqi ▁people , ▁and ▁that ▁is ▁Sadd am ▁Hussein .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ ADP PRON VERB PART ADP ADV ADJ ADP PRON VERB VERB PART ADP ADJ NOUN ADP PROPN ADP PROPN PROPN CCONJ ADV VERB NUM NOUN PUNCT PUNCT CCONJ NUM NOUN ADV PUNCT PUNCT NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADP DET ADJ ADJ NOUN NOUN CCONJ DET VERB PROPN PROPN PROPN PROPN
goodies that they 'd got because they all worked in the docks!	0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	inflection	NOUN ADP PRON VERB VERB ADP PRON DET VERB ADP DET NOUN	▁good ies ▁that ▁they ▁' d ▁got ▁because ▁they ▁all ▁worked ▁in ▁the ▁dock s !	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	NOUN NOUN ADP PRON VERB VERB VERB ADP PRON DET VERB ADP DET NOUN NOUN NOUN
The six - storey warehouses were designed by Telford to stand by the water's edge so that goods could be moved by crane straight from ship to warehouse without the double handling usual in docks of the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in the dock	literal	inflection	DET NUM PUNCT NOUN NOUN VERB VERB ADP PROPN PART VERB ADP DET NOUN NOUN ADP ADP NOUN VERB VERB VERB ADP NOUN ADV ADP NOUN PART VERB ADP DET ADJ VERB ADJ ADP NOUN ADP DET NOUN	▁The ▁six ▁- ▁store y ▁warehouses ▁were ▁designed ▁by ▁Tel ford ▁to ▁stand ▁by ▁the ▁water ' s ▁edge ▁so ▁that ▁goods ▁could ▁be ▁moved ▁by ▁crane ▁straight ▁from ▁ship ▁to ▁warehouse ▁without ▁the ▁double ▁handling ▁usual ▁in ▁dock s ▁of ▁the ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	DET NUM PUNCT NOUN NOUN NOUN VERB VERB ADP PROPN PROPN PART VERB ADP DET NOUN NOUN NOUN NOUN ADP ADP NOUN VERB VERB VERB ADP NOUN ADV ADP NOUN PART VERB ADP DET ADJ VERB ADJ ADP NOUN NOUN ADP DET NOUN NOUN
If, in the jury's opinion, the prosecution had proved beyond all doubt that the two men in the dock were responsible for this brave young constable's demise, then they had but one course, and that was to bring a verdict of guilty of manslaughter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADP DET NOUN NOUN DET NOUN VERB VERB ADP DET NOUN ADP DET NUM NOUN ADP DET NOUN VERB ADJ ADP DET ADJ ADJ NOUN NOUN ADV PRON VERB CCONJ NUM NOUN CCONJ DET VERB PART VERB DET NOUN ADP ADJ ADP NOUN	▁If , ▁in ▁the ▁jury ' s ▁opinion , ▁the ▁prosecution ▁had ▁proved ▁beyond ▁all ▁doubt ▁that ▁the ▁two ▁men ▁in ▁the ▁dock ▁were ▁responsible ▁for ▁this ▁brave ▁young ▁con s table ' s ▁dem ise , ▁then ▁they ▁had ▁but ▁one ▁course , ▁and ▁that ▁was ▁to ▁bring ▁a ▁verdict ▁of ▁guilty ▁of ▁man s l aughter .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP ADP DET NOUN NOUN NOUN NOUN NOUN DET NOUN VERB VERB ADP DET NOUN ADP DET NUM NOUN ADP DET NOUN VERB ADJ ADP DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADV PRON VERB CCONJ NUM NOUN NOUN CCONJ DET VERB PART VERB DET NOUN ADP ADJ ADP NOUN NOUN NOUN NOUN NOUN
Eden was instantly plunged into industrial disputes in the docks and on the railways.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the dock	literal	inflection	PROPN VERB ADV VERB ADP ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN	▁E den ▁was ▁in stantly ▁plunge d ▁into ▁industrial ▁disputes ▁in ▁the ▁dock s ▁and ▁on ▁the ▁railways .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	PROPN PROPN VERB ADV ADV VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN CCONJ ADP DET NOUN NOUN
Prosecutor Dorian Lovell - Pank told the court : ‘ A group of people, not all of whom are in the dock, were engaged in the wholesale theft or handling of a vast amount of property.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	NOUN PROPN PROPN PUNCT PROPN VERB DET NOUN PUNCT PUNCT DET NOUN ADP NOUN ADV DET ADP NOUN VERB ADP DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADP NOUN	▁Prosecutor ▁D or ian ▁L ovel l ▁- ▁Pan k ▁told ▁the ▁court ▁ : ▁ ‘ ▁A ▁group ▁of ▁people , ▁not ▁all ▁of ▁whom ▁are ▁in ▁the ▁dock , ▁were ▁engaged ▁in ▁the ▁wholesale ▁the ft ▁or ▁handling ▁of ▁a ▁vast ▁amount ▁of ▁property .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PROPN VERB DET NOUN PUNCT PUNCT PUNCT PUNCT DET NOUN ADP NOUN NOUN ADV DET ADP NOUN VERB ADP DET NOUN NOUN VERB VERB ADP DET ADJ NOUN NOUN CCONJ NOUN ADP DET ADJ NOUN ADP NOUN NOUN
So should not the law be changed immediately to prevent the likes of Dr Cox ending up in the dock?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	ADV VERB ADV DET NOUN VERB VERB ADV PART VERB DET NOUN ADP PROPN PROPN VERB PART ADP DET NOUN	▁So ▁should ▁not ▁the ▁law ▁be ▁changed ▁immediately ▁to ▁prevent ▁the ▁like s ▁of ▁Dr ▁Cox ▁ending ▁up ▁in ▁the ▁dock ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV VERB ADV DET NOUN VERB VERB ADV PART VERB DET NOUN NOUN ADP PROPN PROPN VERB PART ADP DET NOUN NOUN
( 4 ) A specific immunity, possessed by accused persons undergoing trial, from being compelled to give evidence, and from being compelled to answer questions put to them in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	PUNCT PUNCT PUNCT DET ADJ NOUN VERB ADP VERB NOUN VERB NOUN ADP VERB VERB PART VERB NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN	▁( ▁4 ▁ ) ▁A ▁specific ▁immunity , ▁possess ed ▁by ▁accused ▁persons ▁undergoing ▁trial , ▁from ▁being ▁compelled ▁to ▁give ▁evidence , ▁and ▁from ▁being ▁compelled ▁to ▁answer ▁questions ▁put ▁to ▁them ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT PUNCT PUNCT DET ADJ NOUN NOUN VERB VERB ADP VERB NOUN VERB NOUN NOUN ADP VERB VERB PART VERB NOUN NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN NOUN
The first forcibly draws the reader's attention to the changing costing scene that has placed traditional costing systems in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	DET ADJ ADV VERB DET NOUN NOUN ADP DET VERB NOUN NOUN ADJ VERB VERB ADJ NOUN NOUN ADP DET NOUN	▁The ▁first ▁for cibly ▁draws ▁the ▁reader ' s ▁attention ▁to ▁the ▁changing ▁costing ▁scene ▁that ▁has ▁placed ▁traditional ▁costing ▁systems ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ ADV ADV VERB DET NOUN NOUN NOUN NOUN ADP DET VERB NOUN NOUN ADJ VERB VERB ADJ NOUN NOUN ADP DET NOUN NOUN
Across the whole end of the building, stretching from the ceiling down into the river, was a curtain of linked metal like thick over - sized chicken wire, presumably originally installed to keep thieves away from any boat in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	ADP DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN PART ADP DET NOUN VERB DET NOUN ADP VERB NOUN ADP ADJ ADP PUNCT ADJ NOUN NOUN ADV ADV VERB PART VERB NOUN ADV ADP DET NOUN ADP DET NOUN	▁A cross ▁the ▁whole ▁end ▁of ▁the ▁building , ▁stretch ing ▁from ▁the ▁ceiling ▁down ▁into ▁the ▁river , ▁was ▁a ▁curtain ▁of ▁linked ▁metal ▁like ▁thick ▁over ▁- ▁sized ▁chicken ▁wire , ▁presum ably ▁originally ▁installed ▁to ▁keep ▁thi e ves ▁away ▁from ▁any ▁boat ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADP DET ADJ NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN PART ADP DET NOUN NOUN VERB DET NOUN ADP VERB NOUN ADP ADJ ADP PUNCT ADJ NOUN NOUN NOUN ADV ADV ADV VERB PART VERB NOUN NOUN NOUN ADV ADP DET NOUN ADP DET NOUN NOUN
The bones most recently found in the docks will be reburied.	0 0 0 0 0 1 0 1 0 0 0	in the dock	literal	inflection	DET NOUN ADV ADV VERB ADP DET NOUN VERB VERB VERB	▁The ▁bones ▁most ▁recently ▁found ▁in ▁the ▁dock s ▁will ▁be ▁re bu ried .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	DET NOUN ADV ADV VERB ADP DET NOUN NOUN VERB VERB VERB VERB VERB VERB
The embattled Premier will now find himself in the dock at Brighton.	0 0 0 0 0 0 0 1 0 1 0 0	in the dock	figurative	identical	DET ADJ PROPN VERB ADV VERB PRON ADP DET NOUN ADP PROPN	▁The ▁ emb att led ▁Pre m ier ▁will ▁now ▁find ▁himself ▁in ▁the ▁dock ▁at ▁B right on .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET ADJ ADJ ADJ ADJ PROPN PROPN PROPN VERB ADV VERB PRON ADP DET NOUN ADP PROPN PROPN PROPN PROPN
Although occasionally an older vessel may substitute for one in dry dock, many venerable craft have been pensioned off.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	ADP ADV DET ADJ NOUN VERB VERB ADP NUM ADP ADJ NOUN ADJ ADJ NOUN VERB VERB VERB PART	▁Although ▁occasionally ▁an ▁older ▁vessel ▁may ▁substitute ▁for ▁one ▁in ▁dry ▁dock , ▁many ▁ vener able ▁craft ▁have ▁been ▁pension ed ▁off .	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP ADV DET ADJ NOUN VERB VERB ADP NUM ADP ADJ NOUN NOUN ADJ ADJ ADJ ADJ NOUN VERB VERB VERB VERB PART PART
