Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN	▁Sc atter ▁the ▁cheese ▁over ▁the ▁top .	0 0 0 0 1 0 1 1	VERB VERB DET NOUN ADP DET NOUN NOUN
Peppered with infinitely quotable one - liners and featuring some seriously over - the - top set - pieces, Lehmann's film is a relentless attack on the vacuous youth of America, let down by some lame moralising in the last 30 seconds.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	dashes	VERB ADP ADV ADJ NUM PUNCT NOUN CCONJ VERB DET ADV ADP PUNCT DET PUNCT NOUN NOUN PUNCT NOUN PROPN NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN VERB PART ADP DET ADJ NOUN ADP DET ADJ NUM NOUN	▁Pepper ed ▁with ▁in finite ly ▁quota ble ▁one ▁- ▁liners ▁and ▁fe atur ing ▁some ▁seriously ▁over ▁- ▁the ▁- ▁top ▁set ▁- ▁pieces , ▁L eh mann ' s ▁film ▁is ▁a ▁re lent less ▁attack ▁on ▁the ▁ vac uous ▁youth ▁of ▁America , ▁let ▁down ▁by ▁some ▁lam e ▁moral ising ▁in ▁the ▁last ▁30 ▁seconds .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP ADV ADV ADV ADJ ADJ NUM PUNCT NOUN CCONJ VERB VERB VERB DET ADV ADP PUNCT DET PUNCT NOUN NOUN PUNCT NOUN NOUN PROPN PROPN PROPN PROPN PROPN NOUN VERB DET ADJ ADJ ADJ NOUN ADP DET ADJ ADJ ADJ NOUN ADP PROPN PROPN VERB PART ADP DET ADJ ADJ NOUN NOUN ADP DET ADJ NUM NOUN NOUN
The ball from Gascgoine to Ball the other night when he scored his great goal was a little dink just over the top, outside of his fort and it was a little one over the top of there wasn't it?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN ADP PROPN ADP VERB DET ADJ NOUN ADV PRON VERB ADJ ADJ NOUN VERB DET ADJ NOUN ADV ADP DET NOUN ADV ADP ADJ NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADP ADV VERB PRON	▁The ▁ball ▁from ▁Gas c go ine ▁to ▁Ball ▁the ▁other ▁night ▁when ▁he ▁score d ▁his ▁great ▁goal ▁was ▁a ▁little ▁d ink ▁just ▁over ▁the ▁top , ▁outside ▁of ▁his ▁for t ▁and ▁it ▁was ▁a ▁little ▁one ▁over ▁the ▁top ▁of ▁there ▁was n ' t ▁it ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PROPN PROPN PROPN PROPN ADP VERB DET ADJ NOUN ADV PRON VERB VERB ADJ ADJ NOUN VERB DET ADJ NOUN NOUN ADV ADP DET NOUN NOUN ADV ADP ADJ NOUN NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADP ADV VERB VERB VERB VERB PRON PRON
Scatter the mangetouts over the top and cook for a further 1½ — 2 minutes or until brilliant green.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB DET NOUN ADP DET NOUN CCONJ VERB ADP DET ADJ NUM PUNCT NUM NOUN CCONJ ADP ADJ NOUN	▁Sc atter ▁the ▁man get outs ▁over ▁the ▁top ▁and ▁co ok ▁for ▁a ▁further ▁1 1⁄ 2 ▁ — ▁2 ▁minutes ▁or ▁until ▁brilliant ▁green .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN NOUN NOUN ADP DET NOUN CCONJ VERB VERB ADP DET ADJ NUM NUM NUM PUNCT PUNCT NUM NOUN CCONJ ADP ADJ NOUN NOUN
To stop the motherboard from melting, the company put a small fan over the top of the chip.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	literal	identical	PART VERB DET NOUN ADP VERB DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN	▁To ▁stop ▁the ▁mother board ▁from ▁melting , ▁the ▁company ▁put ▁a ▁small ▁fan ▁over ▁the ▁top ▁of ▁the ▁ chip .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PART VERB DET NOUN NOUN ADP VERB VERB DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
At Chalton in Hampshire and Cowdery's Down near Basingstoke, the buildings were more regularly laid out but not extensive enough to be called villages, while at Catholme in Staffordshire and Thirlings in Northumberland, the earlier settlements had not only been abandoned, but probably forgotten when areas of ridge and furrow were laid out over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADP PROPN ADP PROPN CCONJ PROPN ADV ADP PROPN DET NOUN VERB ADV ADV VERB PART CCONJ ADV ADJ ADV PART VERB VERB NOUN ADP ADP PROPN ADP PROPN CCONJ PROPN ADP PROPN DET ADJ NOUN VERB ADV ADV VERB VERB CCONJ ADV VERB ADV NOUN ADP NOUN CCONJ NOUN VERB VERB PART ADP DET NOUN	▁At ▁C hal ton ▁in ▁H amp shire ▁and ▁C ow der y ' s ▁Down ▁near ▁Bas ing s to ke , ▁the ▁buildings ▁were ▁more ▁regularly ▁laid ▁out ▁but ▁not ▁extensive ▁enough ▁to ▁be ▁called ▁villages , ▁while ▁at ▁Cat hol me ▁in ▁Sta f fordshire ▁and ▁Thi rling s ▁in ▁North umber land , ▁the ▁earlier ▁settlements ▁had ▁not ▁only ▁been ▁abandoned , ▁but ▁probably ▁forgotten ▁when ▁areas ▁of ▁rid ge ▁and ▁fur row ▁were ▁laid ▁out ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB ADV ADV VERB PART CCONJ ADV ADJ ADV PART VERB VERB NOUN NOUN ADP ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN DET ADJ NOUN VERB ADV ADV VERB VERB VERB CCONJ ADV VERB ADV NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB PART ADP DET NOUN NOUN
But then the skull starts to grow in a strange, asymmetrical, twisted fashion, so that one eye, for instance the left, moves over the top of the head to finish up on the other side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	CCONJ ADV DET NOUN VERB PART VERB ADP DET ADJ ADJ ADJ NOUN ADP ADP NUM NOUN ADP NOUN DET NOUN NOUN ADP DET NOUN ADP DET NOUN PART VERB PART ADP DET ADJ NOUN	▁But ▁then ▁the ▁skull ▁starts ▁to ▁grow ▁in ▁a ▁strange , ▁a symmetric al , ▁twisted ▁fashion , ▁so ▁that ▁one ▁eye , ▁for ▁instance ▁the ▁left , ▁moves ▁over ▁the ▁top ▁of ▁the ▁head ▁to ▁finish ▁up ▁on ▁the ▁other ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV DET NOUN VERB PART VERB ADP DET ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADP ADP NUM NOUN NOUN ADP NOUN DET NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN PART VERB PART ADP DET ADJ NOUN NOUN
The thing is, if they always give you and you, your, nine times out of ten what they do is like, is either, they either put a can over there or a beer or something, they put it over the end of the, the weapon pull the trigger and that, even with a flash that can go like that, and then they show you one with the, the erm flashes right which have more powerful than the and they 've actually got same again same charge as a life grenade in, but it just plain cardboard so, obviously no trap, but if you lay on them ooh er, you get or something you don't throw what they do now is they put one they light one, put the helmet over the top of it and make it lit, it runs like buggery and it 'll go a hundred, a hundred and fifty foot up in the air and inside it looks like its been and where its been in the thing it 'll be like er, six seventy foot off the ground, I mean I laid on one once and I, landed about two foot too my left so I 've rolled over, rolled, rolled, and rolled, as I 've rolled I 've rolled over on my back and I 've had all loads of over, like the, I had a roll there its like the er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	DET NOUN VERB ADP PRON ADV VERB PRON CCONJ PRON ADJ NUM NOUN ADP ADP NUM NOUN PRON VERB VERB INTJ VERB DET PRON CCONJ VERB DET NOUN ADV ADV CCONJ DET NOUN CCONJ NOUN PRON VERB PRON ADP DET NOUN ADP DET DET NOUN VERB DET NOUN CCONJ ADP ADV ADP DET NOUN ADJ VERB VERB ADP DET CCONJ ADV PRON VERB PRON NUM ADP DET DET NOUN NOUN ADV ADJ VERB ADV ADJ ADP DET CCONJ PRON VERB ADV VERB ADJ ADV ADJ NOUN ADP DET NOUN NOUN ADV CCONJ PRON ADV ADJ NOUN ADV ADV DET NOUN CCONJ ADP PRON VERB ADP PRON INTJ INTJ PRON VERB CCONJ NOUN PRON VERB VERB NOUN PRON VERB ADV VERB PRON VERB NUM PRON VERB NUM VERB DET NOUN ADP DET NOUN ADP PRON CCONJ VERB PRON VERB PRON VERB ADP ADJ CCONJ PRON VERB VERB DET NUM DET NUM CCONJ NUM NOUN PART ADP DET NOUN CCONJ ADP PRON VERB ADP ADJ VERB CCONJ ADV ADJ VERB ADP DET NOUN PRON VERB VERB ADP INTJ NUM NUM NOUN ADP DET NOUN PRON VERB PRON VERB ADP NOUN ADV CCONJ PRON VERB ADV NUM NOUN ADV ADJ NOUN ADV PRON VERB VERB PART VERB VERB CCONJ VERB ADP PRON VERB VERB PRON VERB VERB PART ADP ADJ NOUN CCONJ PRON VERB VERB DET NOUN ADP ADV ADP DET PRON VERB DET NOUN ADV ADJ INTJ DET INTJ	▁The ▁thing ▁is , ▁if ▁they ▁always ▁give ▁you ▁and ▁you , ▁your , ▁nine ▁times ▁out ▁of ▁ten ▁what ▁they ▁do ▁is ▁like , ▁is ▁either , ▁they ▁either ▁put ▁a ▁can ▁over ▁there ▁or ▁a ▁beer ▁or ▁something , ▁they ▁put ▁it ▁over ▁the ▁end ▁of ▁the , ▁the ▁weapon ▁pull ▁the ▁trigger ▁and ▁that , ▁even ▁with ▁a ▁flash ▁that ▁can ▁go ▁like ▁that , ▁and ▁then ▁they ▁show ▁you ▁one ▁with ▁the , ▁the ▁er m ▁flash es ▁right ▁which ▁have ▁more ▁powerful ▁than ▁the ▁and ▁they ▁' ve ▁actually ▁got ▁same ▁again ▁same ▁charge ▁as ▁a ▁life ▁g ren ade ▁in , ▁but ▁it ▁just ▁plain ▁cardboard ▁so , ▁obviously ▁no ▁trap , ▁but ▁if ▁you ▁lay ▁on ▁them ▁o oh ▁er , ▁you ▁get ▁or ▁something ▁you ▁don ' t ▁throw ▁what ▁they ▁do ▁now ▁is ▁they ▁put ▁one ▁they ▁light ▁one , ▁put ▁the ▁h elmet ▁over ▁the ▁top ▁of ▁it ▁and ▁make ▁it ▁lit , ▁it ▁runs ▁like ▁bu gg ery ▁and ▁it ▁' ll ▁go ▁a ▁hundred , ▁a ▁hundred ▁and ▁fifty ▁foot ▁up ▁in ▁the ▁air ▁and ▁inside ▁it ▁looks ▁like ▁its ▁been ▁and ▁where ▁its ▁been ▁in ▁the ▁thing ▁it ▁' ll ▁be ▁like ▁er , ▁six ▁seventy ▁foot ▁off ▁the ▁ground , ▁I ▁mean ▁I ▁laid ▁on ▁one ▁once ▁and ▁I , ▁landed ▁about ▁two ▁foot ▁too ▁my ▁left ▁so ▁I ▁' ve ▁rolled ▁over , ▁rolled , ▁rolled , ▁and ▁rolled , ▁as ▁I ▁' ve ▁rolled ▁I ▁' ve ▁rolled ▁over ▁on ▁my ▁back ▁and ▁I ▁' ve ▁had ▁all ▁loads ▁of ▁over , ▁like ▁the , ▁I ▁had ▁a ▁roll ▁there ▁its ▁like ▁the ▁er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP PRON ADV VERB PRON CCONJ PRON PRON ADJ ADJ NUM NOUN ADP ADP NUM NOUN PRON VERB VERB INTJ INTJ VERB DET DET PRON CCONJ VERB DET NOUN ADV ADV CCONJ DET NOUN CCONJ NOUN NOUN PRON VERB PRON ADP DET NOUN ADP DET DET DET NOUN VERB DET NOUN CCONJ ADP ADP ADV ADP DET NOUN ADJ VERB VERB ADP DET DET CCONJ ADV PRON VERB PRON NUM ADP DET DET DET NOUN NOUN NOUN NOUN ADV ADJ VERB ADV ADJ ADP DET CCONJ PRON VERB VERB ADV VERB ADJ ADV ADJ NOUN ADP DET NOUN NOUN NOUN NOUN ADV ADV CCONJ PRON ADV ADJ NOUN ADV ADV ADV DET NOUN NOUN CCONJ ADP PRON VERB ADP PRON INTJ INTJ INTJ INTJ PRON VERB CCONJ NOUN PRON VERB VERB VERB VERB NOUN PRON VERB ADV VERB PRON VERB NUM PRON VERB NUM NUM VERB DET NOUN NOUN ADP DET NOUN ADP PRON CCONJ VERB PRON VERB VERB PRON VERB ADP ADJ ADJ ADJ CCONJ PRON VERB VERB VERB DET NUM NUM DET NUM CCONJ NUM NOUN PART ADP DET NOUN CCONJ ADP PRON VERB ADP ADJ VERB CCONJ ADV ADJ VERB ADP DET NOUN PRON VERB VERB VERB ADP INTJ INTJ NUM NUM NOUN ADP DET NOUN NOUN PRON VERB PRON VERB ADP NOUN ADV CCONJ PRON PRON VERB ADV NUM NOUN ADV ADJ NOUN ADV PRON VERB VERB VERB PART PART VERB VERB VERB VERB CCONJ VERB VERB ADP PRON VERB VERB VERB PRON VERB VERB VERB PART ADP ADJ NOUN CCONJ PRON VERB VERB VERB DET NOUN ADP ADV ADV ADP DET DET PRON VERB DET NOUN ADV ADJ INTJ DET INTJ
Broad transparent colour was then placed over the top to complete the effect, with minor details added as necessary.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADJ ADJ NOUN VERB ADV VERB ADP DET NOUN PART VERB DET NOUN ADP ADJ NOUN VERB ADP ADJ	▁Broad ▁transparent ▁colour ▁was ▁then ▁placed ▁over ▁the ▁top ▁to ▁complete ▁the ▁effect , ▁with ▁minor ▁details ▁added ▁as ▁necessary .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB ADV VERB ADP DET NOUN PART VERB DET NOUN NOUN ADP ADJ NOUN VERB ADP ADJ ADJ
and it come over the top!	0 0 0 1 0 1	over the top	literal	identical	CCONJ PRON VERB ADP DET NOUN	▁and ▁it ▁come ▁over ▁the ▁top !	0 0 0 1 0 1 1	CCONJ PRON VERB ADP DET NOUN NOUN
Oh yes, now if by any chanc chance you do have a question in the exam where you 're asked you know instead of the wound being on top of the scalp, some clever so and so decides that you 're good at improvising and you 've got a wound over the top of the eyebrow, the eyebrow's split, okay, so there wouldn't be much good of me going a minute, pull that there, trying like this round there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	INTJ INTJ ADV ADP ADP DET ADJ NOUN PRON VERB VERB DET NOUN ADP DET NOUN ADV PRON VERB VERB PRON VERB ADV ADP DET NOUN VERB ADP NOUN ADP DET NOUN DET ADJ ADV CCONJ ADV VERB ADP PRON VERB ADJ ADP VERB CCONJ PRON VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN DET NOUN NOUN INTJ ADV ADV VERB VERB ADV ADJ ADP PRON VERB DET NOUN VERB ADP ADV VERB ADP DET NOUN ADV	▁O h ▁yes , ▁now ▁if ▁by ▁any ▁cha nc ▁chance ▁you ▁do ▁have ▁a ▁question ▁in ▁the ▁exam ▁where ▁you ▁' re ▁asked ▁you ▁know ▁instead ▁of ▁the ▁wound ▁being ▁on ▁top ▁of ▁the ▁scal p , ▁some ▁clever ▁so ▁and ▁so ▁decides ▁that ▁you ▁' re ▁good ▁at ▁imp rov ising ▁and ▁you ▁' ve ▁got ▁a ▁wound ▁over ▁the ▁top ▁of ▁the ▁eye b row , ▁the ▁eye b row ' s ▁split , ▁o ka y , ▁so ▁there ▁would n ' t ▁be ▁much ▁good ▁of ▁me ▁going ▁a ▁minute , ▁pull ▁that ▁there , ▁trying ▁like ▁this ▁round ▁there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ ADV ADP ADP DET ADJ ADJ NOUN PRON VERB VERB DET NOUN ADP DET NOUN ADV PRON VERB VERB VERB PRON VERB ADV ADP DET NOUN VERB ADP NOUN ADP DET NOUN NOUN NOUN DET ADJ ADV CCONJ ADV VERB ADP PRON VERB VERB ADJ ADP VERB VERB VERB CCONJ PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN INTJ INTJ INTJ INTJ ADV ADV VERB VERB VERB VERB VERB ADV ADJ ADP PRON VERB DET NOUN NOUN VERB ADP ADV ADV VERB ADP DET NOUN ADV
Over the top of the picture, in a white shield, was a title, also in Gothic script : ' In Hell, all wrongs are righted '.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	case	ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADV ADP PROPN NOUN PUNCT PUNCT ADP PROPN DET NOUN VERB VERB PUNCT	▁Over ▁the ▁top ▁of ▁the ▁picture , ▁in ▁a ▁white ▁shield , ▁was ▁a ▁title , ▁also ▁in ▁Go th ic ▁ script ▁ : ▁' ▁In ▁He ll , ▁all ▁wrong s ▁are ▁right ed ▁' .	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN NOUN ADV ADP PROPN PROPN PROPN NOUN NOUN PUNCT PUNCT PUNCT ADP PROPN PROPN PROPN DET NOUN NOUN VERB VERB VERB PUNCT PUNCT
Her husband lowered his paper and regarded her over the top of it.	0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	ADJ NOUN VERB ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP PRON	▁Her ▁husband ▁lowered ▁his ▁paper ▁and ▁regarded ▁her ▁over ▁the ▁top ▁of ▁it .	0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADJ NOUN VERB ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP PRON PRON
Turn the top 2 cm ( ¾in ) of curtain and lining over the top edge of the buckram, then tack and machine it in place close to the folded edge ( fig. 32 ).	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	VERB DET ADJ NUM NOUN PUNCT VERB PUNCT ADP NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN ADV NOUN CCONJ VERB PRON ADP NOUN ADV ADP DET VERB NOUN PUNCT NOUN NUM PUNCT	▁Turn ▁the ▁top ▁2 ▁cm ▁( ▁3 ⁄ 4 in ▁ ) ▁of ▁curtain ▁and ▁lining ▁over ▁the ▁top ▁edge ▁of ▁the ▁buck ram , ▁then ▁t ack ▁and ▁machine ▁it ▁in ▁place ▁close ▁to ▁the ▁fold ed ▁edge ▁( ▁fig . ▁32 ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB DET ADJ NUM NOUN PUNCT VERB VERB VERB VERB PUNCT PUNCT ADP NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN ADV NOUN NOUN CCONJ VERB PRON ADP NOUN ADV ADP DET VERB VERB NOUN PUNCT NOUN NOUN NUM PUNCT PUNCT
At first he peered over the top of his spectacles, eyeing his visitors severely.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	literal	identical	ADP ADV PRON VERB ADP DET NOUN ADP ADJ NOUN VERB ADJ NOUN ADV	▁At ▁first ▁he ▁peer ed ▁over ▁the ▁top ▁of ▁his ▁spectacle s , ▁eye ing ▁his ▁visitors ▁severely .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP ADV PRON VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN NOUN VERB VERB ADJ NOUN ADV ADV
Les Phillips running the show in mid - field, Steve Foster defending stoutly at the back and the front runners always giving Spurs problems especially when the ball was played over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	PROPN PROPN VERB DET NOUN ADP ADJ PUNCT NOUN PROPN PROPN VERB ADV ADP DET NOUN CCONJ DET ADJ NOUN ADV VERB PROPN NOUN ADV ADV DET NOUN VERB VERB ADP DET NOUN	▁L es ▁P hill ip s ▁running ▁the ▁show ▁in ▁mid ▁- ▁field , ▁Ste ve ▁F oster ▁defend ing ▁st out ly ▁at ▁the ▁back ▁and ▁the ▁front ▁run ners ▁always ▁giving ▁Sp urs ▁problems ▁especially ▁when ▁the ▁ball ▁was ▁played ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP ADJ PUNCT NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADV ADV ADV ADP DET NOUN CCONJ DET ADJ NOUN NOUN ADV VERB PROPN PROPN NOUN ADV ADV DET NOUN VERB VERB ADP DET NOUN NOUN
Like the World ~ War ~ I generals who reacted to every slaughter of their men by sending even more over the top of their trenches in a vain attempt to overwhelm the enemy, “ free money ” types react with “ More! ” if their policy does not seem to be working.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADP DET PROPN PUNCT NOUN PUNCT PRON NOUN NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP VERB ADV ADV ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN PART VERB DET NOUN PUNCT ADJ NOUN PUNCT NOUN VERB ADP PUNCT ADJ PUNCT ADP ADJ NOUN VERB ADV VERB PART VERB VERB	▁Like ▁the ▁World ▁ ~ ▁War ▁ ~ ▁I ▁general s ▁who ▁reacted ▁to ▁every ▁slaughter ▁of ▁their ▁men ▁by ▁sending ▁even ▁more ▁over ▁the ▁top ▁of ▁their ▁t ren ches ▁in ▁a ▁vain ▁attempt ▁to ▁over wh el m ▁the ▁enemy , ▁ “ ▁free ▁money ▁ ” ▁types ▁react ▁with ▁ “ ▁More ! ▁ ” ▁if ▁their ▁policy ▁does ▁not ▁seem ▁to ▁be ▁working .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET PROPN PUNCT PUNCT NOUN PUNCT PUNCT PRON NOUN NOUN NOUN VERB ADP DET NOUN ADP ADJ NOUN ADP VERB ADV ADV ADP DET NOUN ADP ADJ NOUN NOUN NOUN ADP DET ADJ NOUN PART VERB VERB VERB VERB DET NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT PUNCT NOUN VERB ADP PUNCT PUNCT ADJ ADJ PUNCT PUNCT ADP ADJ NOUN VERB ADV VERB PART VERB VERB VERB
