Yeah but it does rather sort of fit the bill doesn't it.	0 0 0 0 0 0 0 1 0 1 0 0	fit the bill	figurative	identical	INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB PRON	▁Ye ah ▁but ▁it ▁does ▁rather ▁sort ▁of ▁fit ▁the ▁bill ▁does n ' t ▁it .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	INTJ INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB VERB VERB VERB PRON PRON
‘ I am likely to need another goalkeeper for next season if Marples joins another club and I want to see if Key fits the bill.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	combined-inflection	PUNCT PRON VERB ADJ PART VERB DET NOUN ADP ADJ NOUN ADP PROPN VERB DET NOUN CCONJ PRON VERB PART VERB ADP ADJ VERB DET NOUN	▁ ‘ ▁I ▁am ▁likely ▁to ▁need ▁another ▁goal keeper ▁for ▁next ▁season ▁if ▁Mar ple s ▁join s ▁another ▁club ▁and ▁I ▁want ▁to ▁see ▁if ▁Key ▁fits ▁the ▁bill . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT PRON VERB ADJ PART VERB DET NOUN NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN VERB VERB DET NOUN CCONJ PRON VERB PART VERB ADP ADJ VERB DET NOUN NOUN NOUN
Obviously, if we 're gon na be two big unions obviously Portsmouth is no longer going to fit the bill and I think that's a shame because several congresses I 've been to and this is the finest weather I 've ever enjoyed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	ADV ADP PRON VERB VERB PART VERB NUM ADJ NOUN ADV PROPN VERB ADV ADV VERB PART VERB DET NOUN CCONJ PRON VERB DET DET NOUN ADP ADJ NOUN PRON VERB VERB ADP CCONJ DET VERB DET ADJ NOUN PRON VERB ADV VERB	▁Obviously , ▁if ▁we ▁' re ▁ gon ▁na ▁be ▁two ▁big ▁unions ▁obviously ▁Port s mouth ▁is ▁no ▁longer ▁going ▁to ▁fit ▁the ▁bill ▁and ▁I ▁think ▁that ' s ▁a ▁shame ▁because ▁several ▁congress es ▁I ▁' ve ▁been ▁to ▁and ▁this ▁is ▁the ▁fines t ▁weather ▁I ▁' ve ▁ever ▁enjoyed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP PRON VERB VERB VERB VERB PART VERB NUM ADJ NOUN ADV PROPN PROPN PROPN VERB ADV ADV VERB PART VERB DET NOUN CCONJ PRON VERB DET DET DET DET NOUN ADP ADJ NOUN NOUN PRON VERB VERB VERB ADP CCONJ DET VERB DET ADJ ADJ NOUN PRON VERB VERB ADV VERB VERB
If anyone is looking for an experienced goal scorer he fits the bill.	0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	ADP NOUN VERB VERB ADP DET ADJ NOUN NOUN PRON VERB DET NOUN	▁If ▁anyone ▁is ▁looking ▁for ▁an ▁experienced ▁goal ▁score r ▁he ▁fits ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP NOUN VERB VERB ADP DET ADJ NOUN NOUN NOUN PRON VERB DET NOUN NOUN
Field fits bill	0 1 1	fit the bill	figurative	combined-inflection	NOUN VERB NOUN	▁Field ▁fits ▁bill	0 1 1	NOUN VERB NOUN
The general feeling is that no one company fits the bill, but the combined market capitalisation of Microsoft Corp and Intel Corp now exceeds that of IBM by 50 %, and one well - supported suggestion is a triumvirate of Microsoft, Intel and Apple Computer Inc — in other words IBM's former strategic partner.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	inflection	DET ADJ NOUN VERB ADP DET NUM NOUN VERB DET NOUN CCONJ DET ADJ NOUN NOUN ADP PROPN PROPN CCONJ PROPN PROPN ADV VERB DET ADP PROPN ADP NUM NOUN CCONJ NUM ADV PUNCT VERB NOUN VERB DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT ADP ADJ NOUN PROPN ADJ ADJ NOUN	▁The ▁general ▁feeling ▁is ▁that ▁no ▁one ▁company ▁fits ▁the ▁bill , ▁but ▁the ▁combined ▁market ▁capitalisation ▁of ▁Microsoft ▁Corp ▁and ▁In tel ▁Corp ▁now ▁exceeds ▁that ▁of ▁IBM ▁by ▁50 ▁% , ▁and ▁one ▁well ▁- ▁supported ▁suggestion ▁is ▁a ▁tri um vir ate ▁of ▁Microsoft , ▁In tel ▁and ▁Apple ▁Computer ▁Inc ▁ — ▁in ▁other ▁words ▁IBM ' s ▁former ▁strategic ▁partner .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP DET NUM NOUN VERB DET NOUN NOUN CCONJ DET ADJ NOUN NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN ADV VERB DET ADP PROPN ADP NUM NOUN NOUN CCONJ NUM ADV PUNCT VERB NOUN VERB DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PUNCT ADP ADJ NOUN PROPN PROPN PROPN ADJ ADJ NOUN NOUN
But his owner thinks Lucky will fit the bill.	0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	CCONJ ADJ NOUN VERB PROPN VERB VERB DET NOUN	▁But ▁his ▁owner ▁thinks ▁Luc ky ▁will ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 1 0 1 1	CCONJ ADJ NOUN VERB PROPN PROPN VERB VERB DET NOUN NOUN
They 've taken some very carefully set - up photographs with a big fucking camera and I suspect — from an aside or two they probably didn't expect me to understand — that these snaps will be the basis for some computer manipulation to see how well I fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PRON VERB VERB DET ADV ADV VERB PUNCT PART NOUN ADP DET ADJ ADJ NOUN CCONJ PRON VERB PUNCT ADP DET NOUN CCONJ NUM PRON ADV VERB VERB PRON PART VERB PUNCT ADP DET NOUN VERB VERB DET NOUN ADP DET NOUN NOUN PART VERB ADV ADV PRON VERB DET NOUN	▁They ▁' ve ▁taken ▁some ▁very ▁carefully ▁set ▁- ▁up ▁photographs ▁with ▁a ▁big ▁f uck ing ▁camera ▁and ▁I ▁suspect ▁ — ▁from ▁an ▁aside ▁or ▁two ▁they ▁probably ▁did n ' t ▁expect ▁me ▁to ▁understand ▁ — ▁that ▁these ▁snap s ▁will ▁be ▁the ▁basis ▁for ▁some ▁computer ▁manipulation ▁to ▁see ▁how ▁well ▁I ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB DET ADV ADV VERB PUNCT PART NOUN ADP DET ADJ ADJ ADJ ADJ NOUN CCONJ PRON VERB PUNCT PUNCT ADP DET NOUN CCONJ NUM PRON ADV VERB VERB VERB VERB VERB PRON PART VERB PUNCT PUNCT ADP DET NOUN NOUN VERB VERB DET NOUN ADP DET NOUN NOUN PART VERB ADV ADV PRON VERB DET NOUN NOUN
If the only working capital that is required can be provided by the personal capital of the participants, then partnership may well fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADP DET ADJ VERB NOUN ADJ VERB VERB VERB VERB VERB ADP DET ADJ NOUN ADP DET NOUN ADV NOUN VERB ADV VERB DET NOUN	▁If ▁the ▁only ▁working ▁capital ▁that ▁is ▁required ▁can ▁be ▁provided ▁by ▁the ▁personal ▁capital ▁of ▁the ▁participants , ▁then ▁partnership ▁may ▁well ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET ADJ VERB NOUN ADJ VERB VERB VERB VERB VERB ADP DET ADJ NOUN ADP DET NOUN NOUN ADV NOUN VERB ADV VERB DET NOUN NOUN
But these euphemisms never really fitted the bill.	0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	CCONJ DET NOUN ADV ADV VERB DET NOUN	▁But ▁these ▁eu phem ism s ▁never ▁really ▁fitted ▁the ▁bill .	0 0 0 0 0 0 0 0 1 0 1 1	CCONJ DET NOUN NOUN NOUN NOUN ADV ADV VERB DET NOUN NOUN
Portmouth's Andy Awford fits the bill.	0 0 0 1 0 1	fit the bill	figurative	inflection	PROPN PROPN PROPN VERB DET NOUN	▁Port mouth ' s ▁And y ▁A w ford ▁fits ▁the ▁bill .	0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN
Belfast Telegraph Plan 82 could fit the bill because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	PROPN PROPN PROPN NUM VERB VERB DET NOUN ADP PRON VERB NUM NOUN ADP DET ADJ NOUN ADP ADV ADJ NUM NUM SYM NUM VERB ADV ADP NUM ADP ADJ NUM NOUN VERB ADP NUM SYM NUM NOUN	▁Belfast ▁Tele graph ▁Plan ▁82 ▁could ▁fit ▁the ▁bill ▁because ▁it ▁covers ▁20 ▁selection s ▁with ▁a ▁fine ▁guarantee ▁of ▁at ▁least ▁seven ▁1 ▁- ▁1 ▁draws ▁together ▁if ▁eight ▁of ▁your ▁20 ▁selection s ▁end ▁as ▁1 ▁- ▁1 ▁draws .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NUM VERB VERB DET NOUN ADP PRON VERB NUM NOUN NOUN ADP DET ADJ NOUN ADP ADV ADJ NUM NUM SYM NUM VERB ADV ADP NUM ADP ADJ NUM NOUN NOUN VERB ADP NUM SYM NUM NOUN NOUN
Clothes shop that would fit the bill	0 0 0 0 1 0 1	fit the bill	figurative	identical	NOUN VERB ADJ VERB VERB DET NOUN	▁Clo the s ▁shop ▁that ▁would ▁fit ▁the ▁bill	0 0 0 0 0 0 1 0 1	NOUN NOUN NOUN VERB ADJ VERB VERB DET NOUN
Many other jobs get handed out simply because a minister happens to know someone who might fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADJ ADJ NOUN VERB VERB PART ADV ADP DET NOUN VERB PART VERB NOUN NOUN VERB VERB DET NOUN	▁Many ▁other ▁jobs ▁get ▁handed ▁out ▁simply ▁because ▁a ▁minister ▁happens ▁to ▁know ▁someone ▁who ▁might ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ ADJ NOUN VERB VERB PART ADV ADP DET NOUN VERB PART VERB NOUN NOUN VERB VERB DET NOUN NOUN
But that's three hundred pounds for them to fit the bill.	0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	CCONJ DET NUM NUM NOUN ADP PRON PART VERB DET NOUN	▁But ▁that ' s ▁three ▁hundred ▁pounds ▁for ▁them ▁to ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ DET DET DET NUM NUM NOUN ADP PRON PART VERB DET NOUN NOUN
The Rollright stone circle in the Cotswolds fitted the bill perfectly.	0 0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	inflection	DET PROPN NOUN NOUN ADP DET PROPN VERB DET NOUN ADV	▁The ▁Roll right ▁stone ▁circle ▁in ▁the ▁Cot s w old s ▁fitted ▁the ▁bill ▁perfectly .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET PROPN PROPN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADV ADV
If the effervescent ‘ Cope’— a splendid mixture of Crush melodic instinct ( jeez, listen to those harmonies go! ) and Buffalo Tom style sonic scrapping — suggests some kind of abnormally perfect lifestyle, then David's conversation fits the bill perfectly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	inflection	ADP DET NOUN PUNCT PROPN DET ADJ NOUN ADP ADJ ADJ ADJ PUNCT NOUN VERB ADP DET NOUN VERB PUNCT CCONJ PROPN PROPN NOUN NOUN NOUN PUNCT VERB DET NOUN ADV ADV ADJ NOUN ADV PROPN NOUN VERB DET NOUN ADV	▁If ▁the ▁effe r ves cent ▁ ‘ ▁Co pe ’— ▁a ▁splendid ▁mixture ▁of ▁Crush ▁me lodi c ▁in stin ct ▁( ▁je ez , ▁listen ▁to ▁those ▁harm on ies ▁go ! ▁ ) ▁and ▁B uff al o ▁Tom ▁style ▁so nic ▁scrapping ▁ — ▁suggests ▁some ▁kind ▁of ▁abnormally ▁perfect ▁lifestyle , ▁then ▁David ' s ▁conversation ▁fits ▁the ▁bill ▁perfectly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADP DET NOUN NOUN NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN DET ADJ NOUN ADP ADJ ADJ ADJ ADJ ADJ ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADP DET NOUN NOUN NOUN VERB VERB PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN PUNCT PUNCT VERB DET NOUN ADV ADV ADJ NOUN NOUN ADV PROPN PROPN PROPN NOUN VERB DET NOUN ADV ADV
These two fabrics from the Lelievre collection fit the bill perfectly, both available in seven colourways.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	fit the bill	figurative	identical	DET NUM NOUN ADP DET PROPN NOUN VERB DET NOUN ADV DET ADJ ADP NUM NOUN	▁These ▁two ▁fabrics ▁from ▁the ▁L el iev re ▁collection ▁fit ▁the ▁bill ▁perfectly , ▁both ▁available ▁in ▁seven ▁colour ways .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	DET NUM NOUN ADP DET PROPN PROPN PROPN PROPN NOUN VERB DET NOUN ADV ADV DET ADJ ADP NUM NOUN NOUN NOUN
If you fit the bill you could earn a lot of money.	0 0 1 0 1 0 0 0 0 0 0 0	fit the bill	figurative	identical	ADP PRON VERB DET NOUN PRON VERB VERB DET NOUN ADP NOUN	▁If ▁you ▁fit ▁the ▁bill ▁you ▁could ▁earn ▁a ▁lot ▁of ▁money .	0 0 1 0 1 0 0 0 0 0 0 0 0	ADP PRON VERB DET NOUN PRON VERB VERB DET NOUN ADP NOUN NOUN
I couldn't have gone to a better place because they 'd got most parts of the country and one thing and another and I fitted their bill to a tee.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	fit the bill	figurative	combined-inflection	PRON VERB VERB VERB ADP DET ADJ NOUN ADP PRON VERB VERB ADJ NOUN ADP DET NOUN CCONJ NUM NOUN CCONJ DET CCONJ PRON VERB ADJ NOUN ADP DET NOUN	▁I ▁could n ' t ▁have ▁gone ▁to ▁a ▁better ▁place ▁because ▁they ▁' d ▁got ▁most ▁parts ▁of ▁the ▁country ▁and ▁one ▁thing ▁and ▁another ▁and ▁I ▁fitted ▁their ▁bill ▁to ▁a ▁tee .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB VERB VERB VERB VERB VERB ADP DET ADJ NOUN ADP PRON VERB VERB VERB ADJ NOUN ADP DET NOUN CCONJ NUM NOUN CCONJ DET CCONJ PRON VERB ADJ NOUN ADP DET NOUN NOUN
The brewers say they support sensible drinking and brews such as the Summer Ale fit the bill …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	identical	DET NOUN VERB PRON VERB ADJ NOUN CCONJ NOUN ADJ ADP DET PROPN PROPN VERB DET NOUN PUNCT	▁The ▁b rew ers ▁say ▁they ▁support ▁sensible ▁drinking ▁and ▁b rew s ▁such ▁as ▁the ▁Sum mer ▁Al e ▁fit ▁the ▁bill ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	DET NOUN NOUN NOUN VERB PRON VERB ADJ NOUN CCONJ NOUN NOUN NOUN ADJ ADP DET PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT
MasterChef 1990 ( BBC Books, £ 7.99 ) contains all the recipes produced by contestants in the last MasterChef television series to fit that very bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	fit the bill	figurative	combined-other	PROPN NUM PUNCT PROPN PROPN SYM NUM PUNCT VERB ADJ DET NOUN VERB ADP NOUN ADP DET ADJ PROPN NOUN NOUN PART VERB DET ADJ NOUN	▁Master Ch ef ▁1990 ▁( ▁B BC ▁Book s , ▁£ ▁7. 99 ▁ ) ▁contains ▁all ▁the ▁recipe s ▁produced ▁by ▁contest ants ▁in ▁the ▁last ▁Master Ch ef ▁television ▁series ▁to ▁fit ▁that ▁very ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PROPN PROPN PROPN NUM PUNCT PROPN PROPN PROPN PROPN PROPN SYM NUM NUM PUNCT PUNCT VERB ADJ DET NOUN NOUN VERB ADP NOUN NOUN ADP DET ADJ PROPN PROPN PROPN NOUN NOUN PART VERB DET ADJ NOUN NOUN
If the theories for the circles were to have any weight, they would have to be tested on ‘ virgin’ territory and for that reason and the ease of access, Kent fitted the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	ADP DET NOUN ADP DET NOUN VERB PART VERB DET NOUN PRON VERB VERB PART VERB VERB ADP PUNCT X NOUN CCONJ ADP DET NOUN CCONJ DET NOUN ADP NOUN PROPN VERB DET NOUN	▁If ▁the ▁the or ies ▁for ▁the ▁circles ▁were ▁to ▁have ▁any ▁weight , ▁they ▁would ▁have ▁to ▁be ▁tested ▁on ▁ ‘ ▁virgin ’ ▁territory ▁and ▁for ▁that ▁reason ▁and ▁the ▁ease ▁of ▁access , ▁Kent ▁fitted ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN NOUN NOUN ADP DET NOUN VERB PART VERB DET NOUN NOUN PRON VERB VERB PART VERB VERB ADP PUNCT PUNCT X X NOUN CCONJ ADP DET NOUN CCONJ DET NOUN ADP NOUN NOUN PROPN VERB DET NOUN NOUN
I would imagine the natural food is small aquatic organisms, so pond foods, live or frozen, would fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PRON VERB VERB DET ADJ NOUN VERB ADJ ADJ NOUN ADP NOUN NOUN VERB CCONJ ADJ VERB VERB DET NOUN	▁I ▁would ▁imagine ▁the ▁natural ▁food ▁is ▁small ▁aquatic ▁organisms , ▁so ▁pond ▁foods , ▁live ▁or ▁frozen , ▁would ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB DET ADJ NOUN VERB ADJ ADJ NOUN NOUN ADP NOUN NOUN NOUN VERB CCONJ ADJ ADJ VERB VERB DET NOUN NOUN
there is a substantial landmass near one of the poles — in the case of the current ice age, Antarctica fits the bill	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	ADV VERB DET ADJ NOUN ADP NUM ADP DET NOUN PUNCT ADP DET NOUN ADP DET ADJ NOUN NOUN PROPN VERB DET NOUN	▁there ▁is ▁a ▁substantial ▁land mass ▁near ▁one ▁of ▁the ▁pole s ▁ — ▁in ▁the ▁case ▁of ▁the ▁current ▁ice ▁age , ▁Antarctic a ▁fits ▁the ▁bill	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	ADV VERB DET ADJ NOUN NOUN ADP NUM ADP DET NOUN NOUN PUNCT PUNCT ADP DET NOUN ADP DET ADJ NOUN NOUN NOUN PROPN PROPN VERB DET NOUN
Although a verbal apology would probably fit the bill, the offender may feel constrained to act the fool he expects to be accused of being.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	ADP DET ADJ NOUN VERB ADV VERB DET NOUN DET NOUN VERB VERB ADJ PART VERB DET NOUN PRON VERB PART VERB VERB ADP VERB	▁Although ▁a ▁verbal ▁apolog y ▁would ▁probably ▁fit ▁the ▁bill , ▁the ▁of fender ▁may ▁feel ▁constrain ed ▁to ▁act ▁the ▁fool ▁he ▁expects ▁to ▁be ▁accused ▁of ▁being .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN NOUN VERB ADV VERB DET NOUN NOUN DET NOUN NOUN VERB VERB ADJ ADJ PART VERB DET NOUN PRON VERB PART VERB VERB ADP VERB VERB
Most headhunters originally left their positions in industry at the behest of a headhunting firm who needed more consultants and saw them as fitting the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	ADJ NOUN ADV VERB ADJ NOUN ADP NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN VERB ADJ NOUN CCONJ VERB PRON ADP VERB DET NOUN	▁Most ▁head hun ters ▁originally ▁left ▁their ▁positions ▁in ▁industry ▁at ▁the ▁be h est ▁of ▁a ▁head hun ting ▁firm ▁who ▁needed ▁more ▁consultants ▁and ▁saw ▁them ▁as ▁fitting ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN NOUN NOUN ADV VERB ADJ NOUN ADP NOUN ADP DET NOUN NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN VERB ADJ NOUN CCONJ VERB PRON ADP VERB DET NOUN NOUN
When tax does not fit the bill	0 0 0 0 1 0 1	fit the bill	figurative	identical	ADV NOUN VERB ADV VERB DET NOUN	▁When ▁tax ▁does ▁not ▁fit ▁the ▁bill	0 0 0 0 1 0 1	ADV NOUN VERB ADV VERB DET NOUN
John Bowes perfectly fits that bill.	0 0 0 1 0 1	fit the bill	figurative	combined-inflection	PROPN PROPN ADV VERB DET NOUN	▁John ▁Bowe s ▁perfectly ▁fits ▁that ▁bill .	0 0 0 0 1 0 1 1	PROPN PROPN PROPN ADV VERB DET NOUN NOUN
John Wildsen's The Power of One fits the bill perfectly.	0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	inflection	PROPN PROPN DET PROPN ADP NUM VERB DET NOUN ADV	▁John ▁Wild sen ' s ▁The ▁Power ▁of ▁One ▁fits ▁the ▁bill ▁perfectly .	0 0 0 0 0 0 0 0 0 1 0 1 0 0	PROPN PROPN PROPN PROPN PROPN DET PROPN ADP NUM VERB DET NOUN ADV ADV
Like the constable in the story, use any cover to keep your attacker at bay : cars, pillars, and tables all fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADP DET NOUN ADP DET NOUN VERB DET NOUN PART VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN CCONJ NOUN DET VERB DET NOUN	▁Like ▁the ▁con s table ▁in ▁the ▁story , ▁use ▁any ▁cover ▁to ▁keep ▁your ▁attack er ▁at ▁bay ▁ : ▁cars , ▁pillars , ▁and ▁tables ▁all ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN VERB DET NOUN PART VERB ADJ NOUN NOUN ADP NOUN PUNCT PUNCT NOUN NOUN NOUN NOUN CCONJ NOUN DET VERB DET NOUN NOUN
A partner is an ally or a companion and you don't seem to fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	DET NOUN VERB DET NOUN CCONJ DET NOUN CCONJ PRON VERB VERB PART VERB DET NOUN	▁A ▁partner ▁is ▁an ▁ally ▁or ▁a ▁companion ▁and ▁you ▁don ' t ▁seem ▁to ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN VERB DET NOUN CCONJ DET NOUN CCONJ PRON VERB VERB VERB VERB PART VERB DET NOUN NOUN
Shiraz fitted the bill perfectly, but because it was widely planted it was poorly regarded.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	inflection	PROPN VERB DET NOUN ADV CCONJ ADP PRON VERB ADV VERB PRON VERB ADV VERB	▁Shir az ▁fitted ▁the ▁bill ▁perfectly , ▁but ▁because ▁it ▁was ▁widely ▁planted ▁it ▁was ▁poorly ▁regarded .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN ADV ADV CCONJ ADP PRON VERB ADV VERB PRON VERB ADV VERB VERB
Just over 160 mph should fit the bill.	0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADV ADP NUM NOUN VERB VERB DET NOUN	▁Just ▁over ▁160 ▁m ph ▁should ▁fit ▁the ▁bill .	0 0 0 0 0 0 1 0 1 1	ADV ADP NUM NOUN NOUN VERB VERB DET NOUN NOUN
People like a villain, people love rogues and Shaun fits the bill perfectly.’	0 0 0 0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	inflection	NOUN ADP DET NOUN NOUN VERB NOUN CCONJ PROPN VERB DET NOUN PUNCT	▁People ▁like ▁a ▁vil lain , ▁people ▁love ▁r ogue s ▁and ▁Sha un ▁fits ▁the ▁bill ▁perfectly . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	NOUN ADP DET NOUN NOUN NOUN NOUN VERB NOUN NOUN NOUN CCONJ PROPN PROPN VERB DET NOUN PUNCT PUNCT PUNCT
