So let's look on the bright side, Mr. Coles.	0 0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	ADV VERB VERB ADP DET ADJ NOUN PROPN PROPN	▁So ▁let ' s ▁look ▁on ▁the ▁bright ▁side , ▁Mr . ▁Col es .	0 0 0 0 1 1 0 1 1 1 0 0 0 0 0	ADV VERB VERB VERB VERB ADP DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN
see what I mean … always look on the bright side of life … we have 14 cracking goals for you … and daring … thrilling comebacks by both Oxford and Hereford … our action starts in the premiership at the county ground	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	VERB NOUN PRON VERB PUNCT ADV VERB ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB NUM VERB NOUN ADP PRON PUNCT CCONJ VERB PUNCT ADJ NOUN ADP DET PROPN CCONJ PROPN PUNCT ADJ NOUN VERB ADP DET NOUN ADP DET NOUN NOUN	▁see ▁what ▁I ▁mean ▁... ▁always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life ▁... ▁we ▁have ▁14 ▁cracking ▁goals ▁for ▁you ▁... ▁and ▁dar ing ▁... ▁th rill ing ▁come back s ▁by ▁both ▁Oxford ▁and ▁Here ford ▁... ▁our ▁action ▁starts ▁in ▁the ▁pre m ier ship ▁at ▁the ▁county ▁ground	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB NOUN PRON VERB PUNCT ADV VERB ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB NUM VERB NOUN ADP PRON PUNCT CCONJ VERB VERB PUNCT ADJ ADJ ADJ NOUN NOUN NOUN ADP DET PROPN CCONJ PROPN PROPN PUNCT ADJ NOUN VERB ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN
Experts believe it is all part of a wartime spirit of looking on the bright side.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	look on the bright side	figurative	inflection	NOUN VERB PRON VERB DET NOUN ADP DET ADJ NOUN ADP VERB ADP DET ADJ NOUN	▁Experts ▁believe ▁it ▁is ▁all ▁part ▁of ▁a ▁war time ▁spirit ▁of ▁looking ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	NOUN VERB PRON VERB DET NOUN ADP DET ADJ ADJ NOUN ADP VERB ADP DET ADJ NOUN NOUN
Looking on the bright side, Mayor Edgar Nunez said tourism had jumped by 60pc.	1 1 0 1 1 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	combined-inflection	VERB ADP DET ADJ NOUN PROPN PROPN PROPN VERB NOUN VERB VERB ADP NOUN	▁Look ing ▁on ▁the ▁bright ▁side , ▁Mayor ▁E d gar ▁N un ez ▁said ▁tourism ▁had ▁jump ed ▁by ▁60 p c .	1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB NOUN VERB VERB VERB ADP NOUN NOUN NOUN NOUN
Looking on the bright side, I think this corner of the magazine could turn into a piece of gladiatorial entertainment!	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	combined-inflection	VERB ADP DET ADJ NOUN PRON VERB DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN	▁Look ing ▁on ▁the ▁bright ▁side , ▁I ▁think ▁this ▁corner ▁of ▁the ▁magazine ▁could ▁turn ▁into ▁a ▁piece ▁of ▁glad ia t orial ▁entertainment !	1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET ADJ NOUN NOUN PRON VERB DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN
' Look on the bright side, ' Corbett sang out, walking briskly away.	0 1 1 0 1 1 0 0 0 0 0 0 0	look on the bright side	figurative	case	PUNCT VERB ADP DET ADJ NOUN PUNCT PROPN VERB PART VERB ADV ADV	▁' ▁Look ▁on ▁the ▁bright ▁side , ▁' ▁Cor b ett ▁s ang ▁out , ▁walking ▁b risk ly ▁away .	0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB ADP DET ADJ NOUN NOUN PUNCT PROPN PROPN PROPN VERB VERB PART PART VERB ADV ADV ADV ADV ADV
‘ Now to look on the bright side of ffeatherstonehaugh's, I 've a few more lines of Rochester for you :	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	PUNCT ADV PART VERB ADP DET ADJ NOUN ADP NOUN PRON VERB DET ADJ ADJ NOUN ADP PROPN ADP PRON PUNCT	▁ ‘ ▁Now ▁to ▁look ▁on ▁the ▁bright ▁side ▁of ▁ ffe ather stone ha ugh ' s , ▁I ▁' ve ▁a ▁few ▁more ▁lines ▁of ▁Roche ster ▁for ▁you ▁ :	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV PART VERB ADP DET ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PRON VERB VERB DET ADJ ADJ NOUN ADP PROPN PROPN ADP PRON PUNCT PUNCT
always look on the bright side of life bright side of life	0 1 1 0 1 1 0 0 0 0 0 0	look on the bright side	figurative	identical	ADV VERB ADP DET ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN	▁always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life ▁bright ▁side ▁of ▁life	0 1 1 0 1 1 0 0 0 0 0 0	ADV VERB ADP DET ADJ NOUN ADP NOUN ADJ NOUN ADP NOUN
The Arts : A look on the bright side of life	0 0 0 0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	DET NOUN PUNCT DET NOUN ADP DET ADJ NOUN ADP NOUN	▁The ▁Art s ▁ : ▁A ▁look ▁on ▁the ▁bright ▁side ▁of ▁life	0 0 0 0 0 0 1 1 0 1 1 0 0	DET NOUN NOUN PUNCT PUNCT DET NOUN ADP DET ADJ NOUN ADP NOUN
‘ Perchance Richard will be less of an angel by then — either way, I expect I shall manage,’ she said, determined to look on the bright side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	look on the bright side	figurative	identical	PUNCT PROPN PROPN VERB VERB ADJ ADP DET NOUN ADP ADV PUNCT DET NOUN PRON VERB PRON VERB VERB PRON VERB VERB PART VERB ADP DET ADJ NOUN	▁ ‘ ▁Per ch ance ▁Richard ▁will ▁be ▁less ▁of ▁an ▁angel ▁by ▁then ▁ — ▁either ▁way , ▁I ▁expect ▁I ▁shall ▁manage , ’ ▁she ▁said , ▁determined ▁to ▁look ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT PROPN PROPN PROPN PROPN VERB VERB ADJ ADP DET NOUN ADP ADV PUNCT PUNCT DET NOUN NOUN PRON VERB PRON VERB VERB VERB VERB PRON VERB VERB VERB PART VERB ADP DET ADJ NOUN NOUN
Mr Akashi insists on looking on the bright side : Khmer Rouge artillery was known to be inaccurate and their shells often failed to explode, he said.	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	PROPN PROPN VERB ADP VERB ADP DET ADJ NOUN PUNCT PROPN PROPN NOUN VERB VERB PART VERB ADJ CCONJ ADJ NOUN ADV VERB PART VERB PRON VERB	▁Mr ▁Ak ashi ▁insist s ▁on ▁looking ▁on ▁the ▁bright ▁side ▁ : ▁Kh mer ▁Rouge ▁art iller y ▁was ▁known ▁to ▁be ▁inaccurate ▁and ▁their ▁shells ▁often ▁failed ▁to ▁explo de , ▁he ▁said .	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB ADP VERB ADP DET ADJ NOUN PUNCT PUNCT PROPN PROPN PROPN NOUN NOUN NOUN VERB VERB PART VERB ADJ CCONJ ADJ NOUN ADV VERB PART VERB VERB VERB PRON VERB VERB
Looking on the bright side, mayor Edgar Nunez pointed out that tourism had jumped 60 %.	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	combined-inflection	VERB ADP DET ADJ NOUN NOUN PROPN PROPN VERB PART ADP NOUN VERB VERB NUM NOUN	▁Look ing ▁on ▁the ▁bright ▁side , ▁may or ▁E d gar ▁N un ez ▁pointed ▁out ▁that ▁tourism ▁had ▁jump ed ▁60 ▁% .	1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET ADJ NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB PART ADP NOUN VERB VERB VERB NUM NOUN NOUN
And Lesley will enjoy your company so much, ' he added, and the sudden faint note of hope and warmth sounded almost as though he was issuing comfort to himself, looking on the single bright side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1	look on the bright side	figurative	combined-inflection	CCONJ PROPN VERB VERB ADJ NOUN ADV ADV PUNCT PRON VERB CCONJ DET ADJ ADJ NOUN ADP NOUN CCONJ NOUN VERB ADV ADP ADP PRON VERB VERB NOUN ADP PRON VERB ADP DET ADJ ADJ NOUN	▁And ▁Le sley ▁will ▁enjoy ▁your ▁company ▁so ▁much , ▁' ▁he ▁added , ▁and ▁the ▁sudden ▁faint ▁note ▁of ▁hope ▁and ▁warm th ▁sound ed ▁almost ▁as ▁though ▁he ▁was ▁issuing ▁comfort ▁to ▁himself , ▁looking ▁on ▁the ▁single ▁bright ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1	CCONJ PROPN PROPN VERB VERB ADJ NOUN ADV ADV ADV PUNCT PRON VERB VERB CCONJ DET ADJ ADJ NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB ADV ADP ADP PRON VERB VERB NOUN ADP PRON PRON VERB ADP DET ADJ ADJ NOUN NOUN
you can ‘ Always look on the bright side of life’, or even on the runway for ice.	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	PRON VERB PRON ADV VERB ADP DET ADJ NOUN ADP ADJ CCONJ ADV ADP DET NOUN ADP NOUN	▁you ▁can ▁ ‘ ▁Always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life ’ , ▁or ▁even ▁on ▁the ▁runway ▁for ▁ice .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON PRON ADV VERB ADP DET ADJ NOUN ADP ADJ ADJ ADJ CCONJ ADV ADP DET NOUN ADP NOUN NOUN
What she should be doing was looking on the bright side.	0 0 0 0 0 0 1 1 0 1 1	look on the bright side	figurative	inflection	NOUN PRON VERB VERB VERB VERB VERB ADP DET ADJ NOUN	▁What ▁she ▁should ▁be ▁doing ▁was ▁looking ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 1 1 0 1 1 1	NOUN PRON VERB VERB VERB VERB VERB ADP DET ADJ NOUN NOUN
