‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV	▁ ‘ ▁You ▁mean , ▁you ▁knew ▁all ▁along , ▁but ▁you ▁let ▁me ▁make ▁a ▁fool ▁of ▁myself ? ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PRON VERB ADV ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV ADV ADV
Richard was still not allowed to speak — he was not recovering quite so fast as had been expected — and he could make little reply when Laura told him that this was exactly the kind of thing she had expected all along, and that she would see about disposing of Lord Jim immediately.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB ADV ADV VERB PART VERB PUNCT PRON VERB ADV VERB ADV ADV ADV ADP VERB VERB VERB PUNCT CCONJ PRON VERB VERB ADJ NOUN ADV PROPN VERB PRON ADP DET VERB ADV DET NOUN ADP NOUN PRON VERB VERB DET ADV CCONJ ADP PRON VERB VERB ADP VERB ADP PROPN PROPN ADV	▁Richard ▁was ▁still ▁not ▁allowed ▁to ▁speak ▁ — ▁he ▁was ▁not ▁recovering ▁quite ▁so ▁fast ▁as ▁had ▁been ▁expected ▁ — ▁and ▁he ▁could ▁make ▁little ▁reply ▁when ▁La ura ▁told ▁him ▁that ▁this ▁was ▁exactly ▁the ▁kind ▁of ▁thing ▁she ▁had ▁expected ▁all ▁along , ▁and ▁that ▁she ▁would ▁see ▁about ▁dispos ing ▁of ▁Lord ▁J im ▁immediately .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADV ADV VERB PART VERB PUNCT PUNCT PRON VERB ADV VERB ADV ADV ADV ADP VERB VERB VERB PUNCT PUNCT CCONJ PRON VERB VERB ADJ NOUN ADV PROPN PROPN VERB PRON ADP DET VERB ADV DET NOUN ADP NOUN PRON VERB VERB DET ADV ADV CCONJ ADP PRON VERB VERB ADP VERB VERB ADP PROPN PROPN PROPN ADV ADV
She 'd known all along she 'd be made to stay and watch.	0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET ADP PRON VERB VERB VERB PART VERB CCONJ VERB	▁She ▁' d ▁known ▁all ▁along ▁she ▁' d ▁be ▁made ▁to ▁stay ▁and ▁watch .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB DET ADP PRON VERB VERB VERB VERB PART VERB CCONJ VERB VERB
Among the Tories there are one or two rampant hindsighters who claim they knew what they were doing all along, and that the tax strategy was bound to pay off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET PROPN ADV VERB NUM CCONJ NUM ADJ NOUN NOUN VERB PRON VERB NOUN PRON VERB VERB ADV ADV CCONJ ADP DET NOUN NOUN VERB VERB PART VERB PART	▁Among ▁the ▁To ries ▁there ▁are ▁one ▁or ▁two ▁ramp ant ▁h ind s ight ers ▁who ▁claim ▁they ▁knew ▁what ▁they ▁were ▁doing ▁all ▁along , ▁and ▁that ▁the ▁tax ▁strategy ▁was ▁bound ▁to ▁pay ▁off .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP DET PROPN PROPN ADV VERB NUM CCONJ NUM ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN VERB PRON VERB NOUN PRON VERB VERB ADV ADV ADV CCONJ ADP DET NOUN NOUN VERB VERB PART VERB PART PART
Weak all along in terms of commitment, doubt now shows its colours and acts true to form by refusing to shoulder any responsibility for the unreality it has caused.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADJ ADV ADV ADP NOUN ADP NOUN NOUN ADV VERB ADJ NOUN CCONJ VERB ADJ PART VERB ADP VERB PART VERB DET NOUN ADP DET NOUN PRON VERB VERB	▁We ak ▁all ▁along ▁in ▁terms ▁of ▁commitment , ▁doubt ▁now ▁shows ▁its ▁colours ▁and ▁acts ▁true ▁to ▁form ▁by ▁refus ing ▁to ▁shoulder ▁any ▁responsibility ▁for ▁the ▁un real ity ▁it ▁has ▁caused .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADV ADV ADP NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN CCONJ VERB ADJ PART VERB ADP VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN PRON VERB VERB VERB
We 've said all along that staffing the community centre should be reduced er and that we should be encouraging the community to take more interest in running their community centres.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB ADV ADP DET VERB DET NOUN NOUN VERB VERB VERB INTJ CCONJ ADP PRON VERB VERB VERB DET NOUN PART VERB ADJ NOUN ADP VERB ADJ NOUN NOUN	▁We ▁' ve ▁said ▁all ▁along ▁that ▁staff ing ▁the ▁community ▁centre ▁should ▁be ▁reduced ▁er ▁and ▁that ▁we ▁should ▁be ▁encouraging ▁the ▁community ▁to ▁take ▁more ▁interest ▁in ▁running ▁their ▁community ▁centres .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADV ADP DET VERB VERB DET NOUN NOUN VERB VERB VERB INTJ CCONJ ADP PRON VERB VERB VERB DET NOUN PART VERB ADJ NOUN ADP VERB ADJ NOUN NOUN NOUN
And then, at 4 am one pitch - dark morning, I found myself where all along I had planned to be : standing on a steep hillside on a clifftop, waiting for the sun to rise on the world's first dawn of the day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADV ADP NUM VERB NUM NOUN PUNCT ADJ NOUN PRON VERB PRON ADV DET ADP PRON VERB VERB PART VERB PUNCT VERB ADP DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN PART VERB ADP DET NOUN ADJ NOUN ADP DET NOUN	▁And ▁then , ▁at ▁4 ▁am ▁one ▁pitch ▁- ▁dark ▁morning , ▁I ▁found ▁myself ▁where ▁all ▁along ▁I ▁had ▁planned ▁to ▁be ▁ : ▁standing ▁on ▁a ▁steep ▁hill side ▁on ▁a ▁cl iff top , ▁waiting ▁for ▁the ▁sun ▁to ▁rise ▁on ▁the ▁world ' s ▁first ▁dawn ▁of ▁the ▁day .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADV ADP NUM VERB NUM NOUN PUNCT ADJ NOUN NOUN PRON VERB PRON ADV DET ADP PRON VERB VERB PART VERB PUNCT PUNCT VERB ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN PART VERB ADP DET NOUN NOUN NOUN ADJ NOUN ADP DET NOUN NOUN
Its headlights came on full beam, and it accelerated away with a rising roar which brought heads to windows all along the street.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	ADJ NOUN VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADP DET VERB NOUN ADJ VERB NOUN ADP NOUN ADV ADP DET NOUN	▁It s ▁head light s ▁came ▁on ▁full ▁beam , ▁and ▁it ▁accelerated ▁away ▁with ▁a ▁rising ▁ro ar ▁which ▁brought ▁heads ▁to ▁windows ▁all ▁along ▁the ▁street .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	ADJ ADJ NOUN NOUN NOUN VERB ADP ADJ NOUN NOUN CCONJ PRON VERB ADV ADP DET VERB NOUN NOUN ADJ VERB NOUN ADP NOUN ADV ADP DET NOUN NOUN
She had spoken to her about it, not sharply, of course— she could never do that — but with disappointment to which Gemma had calmly replied,"Mother, I told you all along that I didn't want to live in the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB ADP PRON ADP PRON ADV ADV ADP NOUN PRON VERB ADV VERB DET PUNCT CCONJ ADP NOUN ADP ADJ PROPN VERB ADV ADJ PRON VERB PRON DET ADP DET PRON VERB VERB PART VERB ADP DET NOUN	▁She ▁had ▁spoken ▁to ▁her ▁about ▁it , ▁not ▁sharply , ▁of ▁course — ▁she ▁could ▁never ▁do ▁that ▁ — ▁but ▁with ▁disappointment ▁to ▁which ▁Gem ma ▁had ▁calm ly ▁replied ," M other , ▁I ▁told ▁you ▁all ▁along ▁that ▁I ▁did n ' t ▁want ▁to ▁live ▁in ▁the ▁country .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PRON ADP PRON PRON ADV ADV ADV ADP NOUN NOUN PRON VERB ADV VERB DET PUNCT PUNCT CCONJ ADP NOUN ADP ADJ PROPN PROPN VERB ADV ADV ADJ ADJ ADJ ADJ ADJ PRON VERB PRON DET ADP DET PRON VERB VERB VERB VERB VERB PART VERB ADP DET NOUN NOUN
It is only when you stop scanning the horizon for monumental shapes that you realise they have been looming unnoticed in the foreground all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADJ PRON VERB PRON VERB VERB VERB ADJ ADP DET NOUN ADV ADV	▁It ▁is ▁only ▁when ▁you ▁stop ▁scanning ▁the ▁horizon ▁for ▁monumental ▁shapes ▁that ▁you ▁realise ▁they ▁have ▁been ▁ loom ing ▁un notice d ▁in ▁the ▁foreground ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADJ PRON VERB PRON VERB VERB VERB VERB VERB ADJ ADJ ADJ ADP DET NOUN ADV ADV ADV
Kavner says he assumes Noorda and company had been evaluating their options all along and finally decided to spend their resources on USL.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB PRON VERB PROPN CCONJ NOUN VERB VERB VERB ADJ NOUN ADV ADV CCONJ ADV VERB PART VERB ADJ NOUN ADP PROPN	▁K av ner ▁says ▁he ▁assumes ▁No or da ▁and ▁company ▁had ▁been ▁evaluating ▁their ▁options ▁all ▁along ▁and ▁finally ▁decided ▁to ▁spend ▁their ▁resources ▁on ▁US L .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB PRON VERB PROPN PROPN PROPN CCONJ NOUN VERB VERB VERB ADJ NOUN ADV ADV CCONJ ADV VERB PART VERB ADJ NOUN ADP PROPN PROPN PROPN
Yeah I was annoyed, up at Christine's school the other day, I was waiting for Anita, and there's driveways all along that road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	INTJ PRON VERB VERB ADV ADP PROPN NOUN DET ADJ NOUN PRON VERB VERB ADP PROPN CCONJ ADV NOUN ADV ADP DET NOUN	▁Ye ah ▁I ▁was ▁an no y ed , ▁up ▁at ▁Christ ine ' s ▁school ▁the ▁other ▁day , ▁I ▁was ▁waiting ▁for ▁An ita , ▁and ▁there ' s ▁drive ways ▁all ▁along ▁that ▁road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	INTJ INTJ PRON VERB VERB VERB VERB VERB VERB ADV ADP PROPN PROPN PROPN PROPN NOUN DET ADJ NOUN NOUN PRON VERB VERB ADP PROPN PROPN PROPN CCONJ ADV ADV ADV NOUN NOUN ADV ADP DET NOUN
And for thirty years I and my fellow teachers, as we went back to our classrooms, have said to ourselves, ‘ Well, back to reality ’’, and had gone on doing just what we had been doing all along, which was to try to bribe, scare or shame children into learning what someone else had decided they ought to know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADP NUM NOUN PRON CCONJ ADJ ADJ NOUN ADP PRON VERB ADV ADP ADJ NOUN VERB VERB ADP PRON PUNCT INTJ ADV ADP NOUN PUNCT CCONJ VERB VERB PART VERB ADV NOUN PRON VERB VERB VERB ADV ADV ADJ VERB PART VERB PART VERB NOUN CCONJ NOUN NOUN ADP VERB NOUN NOUN ADV VERB VERB PRON VERB PART VERB	▁And ▁for ▁thirty ▁years ▁I ▁and ▁my ▁fellow ▁teachers , ▁as ▁we ▁went ▁back ▁to ▁our ▁class room s , ▁have ▁said ▁to ▁ourselves , ▁ ‘ ▁Well , ▁back ▁to ▁reality ▁ ’’ , ▁and ▁had ▁gone ▁on ▁doing ▁just ▁what ▁we ▁had ▁been ▁doing ▁all ▁along , ▁which ▁was ▁to ▁try ▁to ▁br i be , ▁scar e ▁or ▁shame ▁children ▁into ▁learning ▁what ▁someone ▁else ▁had ▁decided ▁they ▁ought ▁to ▁know .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP NUM NOUN PRON CCONJ ADJ ADJ NOUN NOUN ADP PRON VERB ADV ADP ADJ NOUN NOUN NOUN NOUN VERB VERB ADP PRON PRON PUNCT PUNCT INTJ INTJ ADV ADP NOUN PUNCT PUNCT PUNCT CCONJ VERB VERB PART VERB ADV NOUN PRON VERB VERB VERB ADV ADV ADV ADJ VERB PART VERB PART VERB VERB VERB VERB NOUN NOUN CCONJ NOUN NOUN ADP VERB NOUN NOUN ADV VERB VERB PRON VERB PART VERB VERB
The quare fella here is Master of the Tipperary and they hunt all along the valley of the Suir — the way the line is to go.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	DET NOUN NOUN ADV VERB PROPN ADP DET PROPN CCONJ PRON VERB DET ADP DET NOUN ADP DET PROPN PUNCT DET NOUN DET NOUN VERB PART VERB	▁The ▁qua re ▁fell a ▁here ▁is ▁Master ▁of ▁the ▁T ip per ary ▁and ▁they ▁hunt ▁all ▁along ▁the ▁valley ▁of ▁the ▁Su ir ▁ — ▁the ▁way ▁the ▁line ▁is ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADV VERB PROPN ADP DET PROPN PROPN PROPN PROPN CCONJ PRON VERB DET ADP DET NOUN ADP DET PROPN PROPN PUNCT PUNCT DET NOUN DET NOUN VERB PART VERB VERB
You had no right to be ashamed of me, and I knew that all along, remember, even if you 've only just discovered it, so I didn't see why I should pander to your wish to keep our affair a secret,’ she confessed defiantly.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN PART VERB ADJ ADP PRON CCONJ PRON VERB ADP ADV ADV VERB ADV ADP PRON VERB ADV ADV VERB PRON ADV PRON VERB VERB ADV PRON VERB VERB ADP ADJ NOUN PART VERB ADJ NOUN DET NOUN PRON VERB ADV	▁You ▁had ▁no ▁right ▁to ▁be ▁ashamed ▁of ▁me , ▁and ▁I ▁knew ▁that ▁all ▁along , ▁remember , ▁even ▁if ▁you ▁' ve ▁only ▁just ▁discovered ▁it , ▁so ▁I ▁did n ' t ▁see ▁why ▁I ▁should ▁pan der ▁to ▁your ▁wish ▁to ▁keep ▁our ▁affair ▁a ▁secret , ’ ▁she ▁confess ed ▁de fi ant ly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN PART VERB ADJ ADP PRON PRON CCONJ PRON VERB ADP ADV ADV ADV VERB VERB ADV ADP PRON VERB VERB ADV ADV VERB PRON PRON ADV PRON VERB VERB VERB VERB VERB ADV PRON VERB VERB VERB ADP ADJ NOUN PART VERB ADJ NOUN DET NOUN NOUN NOUN PRON VERB VERB ADV ADV ADV ADV ADV
All along the quays, for a distance of 200 metres, piles of lumber are burning.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET NOUN ADP DET NOUN ADP NUM NOUN NOUN ADP NOUN VERB VERB	▁All ▁along ▁the ▁qua ys , ▁for ▁a ▁distance ▁of ▁200 ▁metres , ▁pile s ▁of ▁l umber ▁are ▁burning .	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP DET NOUN NOUN NOUN ADP DET NOUN ADP NUM NOUN NOUN NOUN NOUN ADP NOUN NOUN VERB VERB VERB
In the end I suppose you 'll get everything, which is what you wanted all along really but haven't dared to say it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET NOUN PRON VERB PRON VERB VERB NOUN ADJ VERB NOUN PRON VERB ADV ADV ADV CCONJ VERB VERB PART VERB PRON	▁In ▁the ▁end ▁I ▁suppose ▁you ▁' ll ▁get ▁everything , ▁which ▁is ▁what ▁you ▁wanted ▁all ▁along ▁really ▁but ▁have n ' t ▁dare d ▁to ▁say ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PRON VERB PRON VERB VERB VERB NOUN NOUN ADJ VERB NOUN PRON VERB ADV ADV ADV CCONJ VERB VERB VERB VERB VERB VERB PART VERB PRON PRON
Just look at the leaf colour all along the bank there … ’	0 0 0 0 0 0 1 1 0 0 0 0 0	all along	literal	identical	ADV VERB ADP DET NOUN NOUN DET ADP DET NOUN ADV PUNCT PUNCT	▁Just ▁look ▁at ▁the ▁leaf ▁colour ▁all ▁along ▁the ▁bank ▁there ▁... ▁ ’	0 0 0 0 0 0 1 1 0 0 0 0 0 0	ADV VERB ADP DET NOUN NOUN DET ADP DET NOUN ADV PUNCT PUNCT PUNCT
We had telephoned and faxed King Hussein all along, informing him of our progress.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB CCONJ VERB PROPN PROPN ADV ADV VERB PRON ADP ADJ NOUN	▁We ▁had ▁telephone d ▁and ▁fax ed ▁King ▁Hussein ▁all ▁along , ▁informing ▁him ▁of ▁our ▁progress .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON VERB VERB VERB CCONJ VERB VERB PROPN PROPN ADV ADV ADV VERB PRON ADP ADJ NOUN NOUN
Yet, all along, China continued to insist that Gwadar ’s only role was commercial.	0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV ADV ADV PROPN VERB PART VERB ADP PROPN PART ADJ NOUN VERB ADJ	▁Yet , ▁all ▁along , ▁China ▁continued ▁to ▁insist ▁that ▁G wa dar ▁ ’ s ▁only ▁role ▁was ▁commercial .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV ADV PROPN VERB PART VERB ADP PROPN PROPN PROPN PART PART PART ADJ NOUN VERB ADJ ADJ
There were little spots of cement all along the top, where the railings had been torn out in the war.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADV VERB ADJ NOUN ADP NOUN DET ADP DET NOUN ADV DET NOUN VERB VERB VERB PART ADP DET NOUN	▁There ▁were ▁little ▁spots ▁of ▁cement ▁all ▁along ▁the ▁top , ▁where ▁the ▁rail ing s ▁had ▁been ▁to rn ▁out ▁in ▁the ▁war .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ NOUN ADP NOUN DET ADP DET NOUN NOUN ADV DET NOUN NOUN NOUN VERB VERB VERB VERB PART ADP DET NOUN NOUN
Cars were parked all along the grass verge outside the church.	0 0 0 1 1 0 0 0 0 0 0	all along	literal	identical	NOUN VERB VERB ADV ADP DET NOUN VERB ADP DET NOUN	▁Car s ▁were ▁park ed ▁all ▁along ▁the ▁grass ▁ver ge ▁outside ▁the ▁church .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB VERB ADV ADP DET NOUN VERB VERB ADP DET NOUN NOUN
In most of Scotland, most of Wales and Cornwall there was a preference for black or black finchbacks, while solid red cattle dominated Devon, Sussex and Kent, and part - reds were preferred all along the east coast of England down to East Anglia, where there was a mixing of red - and - whites and duns.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADP ADJ ADP PROPN ADJ ADP PROPN CCONJ PROPN ADV VERB DET NOUN ADP ADJ CCONJ ADJ NOUN ADP ADJ ADJ NOUN VERB PROPN PROPN CCONJ PROPN CCONJ NOUN PUNCT NOUN VERB VERB ADV ADP DET ADJ NOUN ADP PROPN ADP ADP PROPN PROPN ADV ADV VERB DET NOUN ADP ADJ PUNCT CCONJ PUNCT NOUN CCONJ NOUN	▁In ▁most ▁of ▁Scotland , ▁most ▁of ▁Wales ▁and ▁Corn wall ▁there ▁was ▁a ▁preference ▁for ▁black ▁or ▁black ▁fin ch back s , ▁while ▁solid ▁red ▁cattle ▁dominated ▁D ev on , ▁Sussex ▁and ▁Kent , ▁and ▁part ▁- ▁red s ▁were ▁preferred ▁all ▁along ▁the ▁east ▁coast ▁of ▁England ▁down ▁to ▁East ▁An g lia , ▁where ▁there ▁was ▁a ▁mixing ▁of ▁red ▁- ▁and ▁- ▁white s ▁and ▁du ns .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADP PROPN PROPN ADJ ADP PROPN CCONJ PROPN PROPN ADV VERB DET NOUN ADP ADJ CCONJ ADJ NOUN NOUN NOUN NOUN NOUN ADP ADJ ADJ NOUN VERB PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN CCONJ NOUN PUNCT NOUN NOUN VERB VERB ADV ADP DET ADJ NOUN ADP PROPN ADP ADP PROPN PROPN PROPN PROPN PROPN ADV ADV VERB DET NOUN ADP ADJ PUNCT CCONJ PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN
It was as if, the actor now thinks, he hadn't wanted to complain all along, but his professionalism wouldn't allow him not to say it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADP ADP DET NOUN ADV VERB PRON VERB VERB PART VERB DET ADV CCONJ ADJ NOUN VERB VERB PRON ADV PART VERB PRON	▁It ▁was ▁as ▁if , ▁the ▁act or ▁now ▁thinks , ▁he ▁had n ' t ▁wanted ▁to ▁complain ▁all ▁along , ▁but ▁his ▁professional ism ▁would n ' t ▁allow ▁him ▁not ▁to ▁say ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADP ADP DET NOUN NOUN ADV VERB VERB PRON VERB VERB VERB VERB VERB PART VERB DET ADV ADV CCONJ ADJ NOUN NOUN VERB VERB VERB VERB VERB PRON ADV PART VERB PRON PRON
It wouldn't surprise me to hear you 'd planned this all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB VERB PRON PART VERB PRON VERB VERB DET DET ADP	▁It ▁would n ' t ▁surprise ▁me ▁to ▁hear ▁you ▁' d ▁planned ▁this ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB VERB VERB VERB PRON PART VERB PRON VERB VERB VERB DET DET ADP ADP
It suddenly dawned on Tom that he 'd been doing it wrong all along.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB ADP PROPN ADP PRON VERB VERB VERB PRON ADV ADV ADV	▁It ▁suddenly ▁dawn ed ▁on ▁Tom ▁that ▁he ▁' d ▁been ▁doing ▁it ▁wrong ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON ADV VERB VERB ADP PROPN ADP PRON VERB VERB VERB VERB PRON ADV ADV ADV ADV
Look, I was looking for my pen and it was there all along.	0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	VERB PRON VERB VERB ADP ADJ NOUN CCONJ PRON VERB ADV DET ADV	▁Look , ▁I ▁was ▁looking ▁for ▁my ▁pen ▁and ▁it ▁was ▁there ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB PRON VERB VERB ADP ADJ NOUN CCONJ PRON VERB ADV DET ADV ADV
all along the shore,	1 1 0 0	all along	literal	identical	DET ADP DET NOUN	▁all ▁along ▁the ▁shore ,	1 1 0 0 0	DET ADP DET NOUN NOUN
