Well it was long and it was straggly and it got on my nerves!	0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB ADJ CCONJ PRON VERB ADV CCONJ PRON VERB ADP ADJ NOUN	▁Well ▁it ▁was ▁long ▁and ▁it ▁was ▁ stra gg ly ▁and ▁it ▁got ▁on ▁my ▁nerve s !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	INTJ PRON VERB ADJ CCONJ PRON VERB ADV ADV ADV ADV CCONJ PRON VERB ADP ADJ NOUN NOUN NOUN
Jim Bob very nearly loses the plot during the encores, extending every song by at least a minute with a series of unaccompanied vocal chants ( including the now familiar climax to their version of ' Another Brick In The Wall ' : ' There is a song that 'll get on your nerves, get on your nerves, GET ON YOUR NERVES! ' ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-other	PROPN PROPN ADV ADV VERB DET NOUN ADP DET NOUN VERB DET NOUN ADP ADV ADJ DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN PUNCT VERB DET ADV ADJ NOUN ADP ADJ NOUN ADP PUNCT DET PROPN ADP DET PROPN PUNCT PUNCT PUNCT ADV VERB DET NOUN ADJ VERB VERB ADP ADJ NOUN VERB ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT PUNCT	▁J im ▁Bo b ▁very ▁nearly ▁lose s ▁the ▁plot ▁during ▁the ▁en core s , ▁extending ▁every ▁so ng ▁by ▁at ▁least ▁a ▁minute ▁with ▁a ▁series ▁of ▁unaccompanied ▁voca l ▁ch ants ▁( ▁including ▁the ▁now ▁familiar ▁cli max ▁to ▁their ▁version ▁of ▁' ▁Another ▁B rick ▁In ▁The ▁Wall ▁' ▁ : ▁' ▁There ▁is ▁a ▁so ng ▁that ▁' ll ▁get ▁on ▁your ▁nerve s , ▁get ▁on ▁your ▁nerve s , ▁G ET ▁ON ▁YOU R ▁N ERV ES ! ▁' ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0	PROPN PROPN PROPN PROPN ADV ADV VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB DET NOUN NOUN ADP ADV ADJ DET NOUN ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN PUNCT VERB DET ADV ADJ NOUN NOUN ADP ADJ NOUN ADP PUNCT DET PROPN PROPN ADP DET PROPN PUNCT PUNCT PUNCT PUNCT ADV VERB DET NOUN NOUN ADJ VERB VERB VERB ADP ADJ NOUN NOUN NOUN VERB ADP ADJ NOUN NOUN NOUN VERB VERB ADP ADJ ADJ NOUN NOUN NOUN NOUN PUNCT PUNCT PUNCT
Is it getting on your nerves?	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	VERB PRON VERB ADP ADJ NOUN	▁Is ▁it ▁gett ing ▁on ▁your ▁nerve s ?	0 0 1 1 1 1 1 1 1	VERB PRON VERB VERB ADP ADJ NOUN NOUN NOUN
The last few days he had been getting on her nerves.	0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	DET ADJ ADJ NOUN PRON VERB VERB VERB ADP ADJ NOUN	▁The ▁last ▁few ▁days ▁he ▁had ▁been ▁gett ing ▁on ▁her ▁nerve s .	0 0 0 0 0 0 0 1 1 1 1 1 1 1	DET ADJ ADJ NOUN PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN NOUN
She gets on my nerves quite often, but I feel sorry for her too.	0 1 1 1 1 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN ADV ADV CCONJ PRON VERB ADJ ADP PRON ADV	▁She ▁get s ▁on ▁my ▁nerve s ▁quite ▁often , ▁but ▁I ▁feel ▁sorry ▁for ▁her ▁too .	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP ADJ NOUN NOUN ADV ADV ADV CCONJ PRON VERB ADJ ADP PRON ADV ADV
Miss Maynard's lessons on infant care, however well intentioned, were beginning to get on her nerves.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	possessive	PROPN PROPN NOUN ADP NOUN NOUN ADV ADV VERB VERB VERB PART VERB ADP ADJ NOUN	▁Miss ▁May n ard ' s ▁lessons ▁on ▁infant ▁care , ▁however ▁well ▁intention ed , ▁were ▁beginning ▁to ▁get ▁on ▁her ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN NOUN ADV ADV VERB VERB VERB VERB VERB PART VERB ADP ADJ NOUN NOUN NOUN
Rain gave her a distant smile, worried she would get on Durance's nerves.	0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-other	NOUN VERB PRON DET ADJ NOUN VERB PRON VERB VERB ADP PROPN NOUN	▁Rain ▁gave ▁her ▁a ▁distant ▁smile , ▁worried ▁she ▁would ▁get ▁on ▁Dur ance ' s ▁nerve s .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1	NOUN VERB PRON DET ADJ NOUN NOUN VERB PRON VERB VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN
Peggy smiled and, looking towards her stepfather, she said, ‘ Yes, I can imagine how he gets on your nerves,’ at the same time questioning why her mother should be so happy, and she a settled woman forty years old, whereas she was twenty - one and so miserable inside that there were days where she wanted to take to her heels and run.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PROPN VERB CCONJ VERB ADP ADJ NOUN PRON VERB PUNCT INTJ PRON VERB VERB ADV PRON VERB ADP ADJ NOUN ADP DET ADJ NOUN VERB ADV ADJ NOUN VERB VERB ADV ADJ CCONJ PRON DET VERB NOUN NUM NOUN ADJ ADP PRON VERB NUM PUNCT NUM CCONJ ADV ADJ ADP ADP ADV VERB NOUN ADV PRON VERB PART VERB ADP ADJ NOUN CCONJ VERB	▁Peg gy ▁smile d ▁and , ▁looking ▁towards ▁her ▁step f ather , ▁she ▁said , ▁ ‘ ▁Yes , ▁I ▁can ▁imagine ▁how ▁he ▁get s ▁on ▁your ▁nerve s , ’ ▁at ▁the ▁same ▁time ▁question ing ▁why ▁her ▁mother ▁should ▁be ▁so ▁happy , ▁and ▁she ▁a ▁settled ▁woman ▁forty ▁years ▁old , ▁whereas ▁she ▁was ▁twenty ▁- ▁one ▁and ▁so ▁mis er able ▁inside ▁that ▁there ▁were ▁days ▁where ▁she ▁wanted ▁to ▁take ▁to ▁her ▁heel s ▁and ▁run .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB CCONJ CCONJ VERB ADP ADJ NOUN NOUN NOUN NOUN PRON VERB VERB PUNCT PUNCT INTJ INTJ PRON VERB VERB ADV PRON VERB VERB ADP ADJ NOUN NOUN NOUN NOUN ADP DET ADJ NOUN VERB VERB ADV ADJ NOUN VERB VERB ADV ADJ ADJ CCONJ PRON DET VERB NOUN NUM NOUN ADJ ADJ ADP PRON VERB NUM PUNCT NUM CCONJ ADV ADJ ADJ ADJ ADP ADP ADV VERB NOUN ADV PRON VERB PART VERB ADP ADJ NOUN NOUN CCONJ VERB VERB
That blinking election is getting on your nerves	0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	ADP VERB NOUN VERB VERB ADP ADJ NOUN	▁That ▁b link ing ▁election ▁is ▁gett ing ▁on ▁your ▁nerve s	0 0 0 0 0 0 1 1 1 1 1 1	ADP VERB VERB VERB NOUN VERB VERB VERB ADP ADJ NOUN NOUN
used to get on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	possessive	VERB PART VERB ADP ADJ NOUN	▁used ▁to ▁get ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1	VERB PART VERB ADP ADJ NOUN NOUN NOUN
She got on your nerves then, didn't she?	0 1 1 1 1 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN ADV VERB PRON	▁She ▁got ▁on ▁your ▁nerve s ▁then , ▁did n ' t ▁she ?	0 1 1 1 1 1 0 0 0 0 0 0 0 0	PRON VERB ADP ADJ NOUN NOUN ADV ADV VERB VERB VERB VERB PRON PRON
Fucking getting on my nerves!	0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	ADP VERB ADP ADJ NOUN	▁F uck ing ▁gett ing ▁on ▁my ▁nerve s !	0 0 0 1 1 1 1 1 1 1	ADP ADP ADP VERB VERB ADP ADJ NOUN NOUN NOUN
Yeah, but it don't get on her nerves that's the whole point!	0 0 0 0 1 1 1 1 0 0 0 0	get on someone's nerves	figurative	possessive	INTJ CCONJ PRON VERB VERB ADP ADJ NOUN ADJ DET ADJ NOUN	▁Ye ah , ▁but ▁it ▁don ' t ▁get ▁on ▁her ▁nerve s ▁that ' s ▁the ▁whole ▁point !	0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0	INTJ INTJ INTJ CCONJ PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN ADJ ADJ ADJ DET ADJ NOUN NOUN
It gets on my nerves anyway!	0 1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN ADV	▁It ▁get s ▁on ▁my ▁nerve s ▁anyway !	0 1 1 1 1 1 1 0 0	PRON VERB VERB ADP ADJ NOUN NOUN ADV ADV
She's getting on my nerves.	0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN	▁She ' s ▁gett ing ▁on ▁my ▁nerve s .	0 0 0 1 1 1 1 1 1 1	PRON PRON PRON VERB VERB ADP ADJ NOUN NOUN NOUN
I think she well and the house was certainly getting on her nerves but whether it was because she was ill it was getting on her nerves I don't know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON VERB PRON ADV CCONJ DET NOUN VERB ADV VERB ADP ADJ NOUN CCONJ ADP PRON VERB ADP PRON VERB ADJ PRON VERB VERB ADP ADJ NOUN PRON VERB VERB	▁I ▁think ▁she ▁well ▁and ▁the ▁house ▁was ▁certainly ▁gett ing ▁on ▁her ▁nerve s ▁but ▁whether ▁it ▁was ▁because ▁she ▁was ▁ill ▁it ▁was ▁gett ing ▁on ▁her ▁nerve s ▁I ▁don ' t ▁know .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0	PRON VERB PRON ADV CCONJ DET NOUN VERB ADV VERB VERB ADP ADJ NOUN NOUN CCONJ ADP PRON VERB ADP PRON VERB ADJ PRON VERB VERB VERB ADP ADJ NOUN NOUN PRON VERB VERB VERB VERB VERB
She just gets on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON ADV VERB ADP ADJ NOUN	▁She ▁just ▁get s ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1 1	PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN
The constant bickering between Maura and his mother was beginning to get on everyone's nerves.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-other	DET ADJ NOUN ADP PROPN CCONJ ADJ NOUN VERB VERB PART VERB ADP NOUN NOUN	▁The ▁constant ▁bi cker ing ▁between ▁Ma ura ▁and ▁his ▁mother ▁was ▁beginning ▁to ▁get ▁on ▁everyone ' s ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	DET ADJ NOUN NOUN NOUN ADP PROPN PROPN CCONJ ADJ NOUN VERB VERB PART VERB ADP NOUN NOUN NOUN NOUN NOUN NOUN
Well that don't stop it from getting on her nerves does it?	0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	INTJ DET VERB VERB PRON ADP VERB ADP ADJ NOUN VERB PRON	▁Well ▁that ▁don ' t ▁stop ▁it ▁from ▁gett ing ▁on ▁her ▁nerve s ▁does ▁it ?	0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0	INTJ DET VERB VERB VERB VERB PRON ADP VERB VERB ADP ADJ NOUN NOUN VERB PRON PRON
They get on your nerves.	0 1 1 1 1	get on someone's nerves	figurative	possessive	PRON VERB ADP ADJ NOUN	▁They ▁get ▁on ▁your ▁nerve s .	0 1 1 1 1 1 1	PRON VERB ADP ADJ NOUN NOUN NOUN
‘ I 've been pestered by reporters for days, and it really is getting on my nerves.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADP NOUN ADP NOUN CCONJ PRON ADV VERB VERB ADP ADJ NOUN	▁ ‘ ▁I ▁' ve ▁been ▁pest ered ▁by ▁report ers ▁for ▁days , ▁and ▁it ▁really ▁is ▁gett ing ▁on ▁my ▁nerve s . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	PUNCT PUNCT PRON VERB VERB VERB VERB VERB ADP NOUN NOUN ADP NOUN NOUN CCONJ PRON ADV VERB VERB VERB ADP ADJ NOUN NOUN NOUN NOUN
‘ He wasn't too bad, but he kept copying the way I said ‘ country’ in a very meaningful fashion and it got on my nerves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PUNCT PRON VERB ADV ADJ CCONJ PRON VERB VERB DET NOUN PRON VERB PUNCT PROPN ADP DET ADV ADJ NOUN CCONJ PRON VERB ADP ADJ NOUN	▁ ‘ ▁He ▁was n ' t ▁too ▁bad , ▁but ▁he ▁kept ▁copying ▁the ▁way ▁I ▁said ▁ ‘ ▁country ’ ▁in ▁a ▁very ▁meaningful ▁fashion ▁and ▁it ▁got ▁on ▁my ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT PRON VERB VERB VERB VERB ADV ADJ ADJ CCONJ PRON VERB VERB DET NOUN PRON VERB PUNCT PUNCT PROPN PROPN ADP DET ADV ADJ NOUN CCONJ PRON VERB ADP ADJ NOUN NOUN NOUN
" You know he gets on your nerves.	0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PUNCT PRON VERB PRON VERB ADP ADJ NOUN	▁" ▁You ▁know ▁he ▁get s ▁on ▁your ▁nerve s .	0 0 0 0 1 1 1 1 1 1 1	PUNCT PRON VERB PRON VERB VERB ADP ADJ NOUN NOUN NOUN
When they got there, Clelia said to Martin,"You really do get on her nerves, you know.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	possessive	ADV PRON VERB ADV PROPN VERB ADP PRON ADV VERB VERB ADP ADJ NOUN PRON VERB	▁When ▁they ▁got ▁there , ▁C le lia ▁said ▁to ▁Martin ," You ▁really ▁do ▁get ▁on ▁her ▁nerve s , ▁you ▁know .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0	ADV PRON VERB ADV ADV PROPN PROPN PROPN VERB ADP PRON PRON PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN PRON VERB VERB
‘ All those foreign voices, it got on my nerves.’	0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PUNCT ADJ DET ADJ NOUN PRON VERB ADP ADJ NOUN	▁ ‘ ▁All ▁those ▁foreign ▁voice s , ▁it ▁got ▁on ▁my ▁nerve s . ’	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PUNCT PUNCT ADJ DET ADJ NOUN NOUN NOUN PRON VERB ADP ADJ NOUN NOUN NOUN NOUN
But I tell you one person who's getting on my nerves is that good looking son at McDonalds.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	CCONJ PRON VERB PRON NUM NOUN NOUN VERB ADP ADJ NOUN VERB ADV ADJ VERB NOUN ADP PROPN	▁But ▁I ▁tell ▁you ▁one ▁person ▁who ' s ▁gett ing ▁on ▁my ▁nerve s ▁is ▁that ▁good ▁looking ▁son ▁at ▁Mc D on ald s .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB PRON NUM NOUN NOUN NOUN NOUN VERB VERB ADP ADJ NOUN NOUN VERB ADV ADJ VERB NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
He was getting on her nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON VERB VERB ADP ADJ NOUN	▁He ▁was ▁gett ing ▁on ▁her ▁nerve s .	0 0 1 1 1 1 1 1 1	PRON VERB VERB VERB ADP ADJ NOUN NOUN NOUN
and its getting on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	CCONJ ADJ NOUN ADP ADJ NOUN	▁and ▁its ▁gett ing ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1 1	CCONJ ADJ NOUN NOUN ADP ADJ NOUN NOUN NOUN
The P word was getting on my nerves an awful lot this afternoon!.	0 0 0 0 1 1 1 1 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	DET NOUN NOUN VERB VERB ADP ADJ NOUN DET ADJ NOUN DET NOUN	▁The ▁P ▁word ▁was ▁gett ing ▁on ▁my ▁nerve s ▁an ▁awful ▁lot ▁this ▁afternoon ! .	0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	DET NOUN NOUN VERB VERB VERB ADP ADJ NOUN NOUN DET ADJ NOUN DET NOUN NOUN NOUN
It just gets on my nerves having to buy a pint like	0 0 1 1 1 1 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON ADV VERB ADP ADJ NOUN VERB PART VERB DET NOUN ADP	▁It ▁just ▁get s ▁on ▁my ▁nerve s ▁having ▁to ▁buy ▁a ▁p int ▁like	0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP ADJ NOUN NOUN VERB PART VERB DET NOUN NOUN ADP
Elaine's houseproud ways got on his nerves but he would rather them than this dirty cat's way of living.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PROPN ADJ NOUN VERB ADP ADJ NOUN CCONJ PRON VERB ADV PRON ADP DET ADJ NOUN NOUN ADP NOUN	▁El a ine ' s ▁house pro ud ▁ways ▁got ▁on ▁his ▁nerve s ▁but ▁he ▁would ▁rather ▁them ▁than ▁this ▁dirty ▁cat ' s ▁way ▁of ▁living .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN VERB ADP ADJ NOUN NOUN CCONJ PRON VERB ADV PRON ADP DET ADJ NOUN NOUN NOUN NOUN ADP NOUN NOUN
waiting it's just getting on your nerves now, I was quite calm and relaxed	0 0 0 1 1 1 1 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	VERB PRON ADV VERB ADP ADJ NOUN ADV PRON VERB ADV ADJ CCONJ ADJ	▁waiting ▁it ' s ▁just ▁gett ing ▁on ▁your ▁nerve s ▁now , ▁I ▁was ▁quite ▁calm ▁and ▁relaxed	0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0	VERB PRON PRON PRON ADV VERB VERB ADP ADJ NOUN NOUN ADV ADV PRON VERB ADV ADJ CCONJ ADJ
they got on my nerves them	0 1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN PRON	▁they ▁got ▁on ▁my ▁nerve s ▁them	0 1 1 1 1 1 0	PRON VERB ADP ADJ NOUN NOUN PRON
just go now, getting on my, right on my nerves.	0 0 0 1 1 0 0 0 1 1	get on someone's nerves	figurative	combined-inflection	ADV VERB ADV VERB ADP ADJ ADV ADP ADJ NOUN	▁just ▁go ▁now , ▁gett ing ▁on ▁my , ▁right ▁on ▁my ▁nerve s .	0 0 0 0 1 1 1 0 0 0 0 1 1 1 1	ADV VERB ADV ADV VERB VERB ADP ADJ ADJ ADV ADP ADJ NOUN NOUN NOUN
What d'ya think of them like do they get on your nerves at all?	0 0 0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	possessive	ADJ NOUN VERB ADP PRON INTJ VERB PRON VERB ADP ADJ NOUN ADV ADV	▁What ▁d ' ya ▁think ▁of ▁them ▁like ▁do ▁they ▁get ▁on ▁your ▁nerve s ▁at ▁all ?	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0	ADJ NOUN NOUN NOUN VERB ADP PRON INTJ VERB PRON VERB ADP ADJ NOUN NOUN ADV ADV ADV
That really got on my nerves that did.	0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	DET ADV VERB ADP ADJ NOUN ADJ VERB	▁That ▁really ▁got ▁on ▁my ▁nerve s ▁that ▁did .	0 0 1 1 1 1 1 0 0 0	DET ADV VERB ADP ADJ NOUN NOUN ADJ VERB VERB
Gets on my nerves that's all.	1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	VERB ADP ADJ NOUN ADJ DET	▁G ets ▁on ▁my ▁nerve s ▁that ' s ▁all .	1 1 1 1 1 1 0 0 0 0 0	VERB VERB ADP ADJ NOUN NOUN ADJ ADJ ADJ DET DET
get on her nerves.	1 1 1 1	get on someone's nerves	figurative	possessive	VERB ADP ADJ NOUN	▁get ▁on ▁her ▁nerve s .	1 1 1 1 1 1	VERB ADP ADJ NOUN NOUN NOUN
Captain FitzRoy was also getting on Darwin's nerves by this time.	0 0 0 0 1 1 1 1 0 0 0	get on someone's nerves	figurative	combined-inflection	PROPN PROPN VERB ADV VERB ADP PROPN NOUN ADP DET NOUN	▁Captain ▁Fitz Ro y ▁was ▁also ▁gett ing ▁on ▁Dar win ' s ▁nerve s ▁by ▁this ▁time .	0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0	PROPN PROPN PROPN PROPN VERB ADV VERB VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN ADP DET NOUN NOUN
Ah, he gets on my nerves sometimes.	0 0 1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB ADP ADJ NOUN ADV	▁A h , ▁he ▁get s ▁on ▁my ▁nerve s ▁sometimes .	0 0 0 0 1 1 1 1 1 1 0 0	INTJ INTJ INTJ PRON VERB VERB ADP ADJ NOUN NOUN ADV ADV
