' In the flesh, ' he supplied.	0 1 0 1 0 0 0	in the flesh	figurative	case	PUNCT ADP DET NOUN PUNCT PRON VERB
He raised his arm to see its motion in the flesh of his thumb, and clamped his other hand around the base of the digit in the hope of stopping its further advance, gasping as though doused with ice - water. the pain was out of all proportion to the mite's size, but he held both thumb and sobs hard, determined not to lose all dignity in front of his executioners.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	identical	PRON VERB ADJ NOUN PART VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP VERB ADJ ADJ NOUN VERB ADP ADP VERB ADP NOUN PUNCT NOUN DET NOUN VERB ADP ADP DET NOUN ADP DET NOUN NOUN CCONJ PRON VERB DET NOUN CCONJ NOUN ADV VERB ADV PART VERB DET NOUN ADP NOUN ADP ADJ NOUN
One specimen was found to have 5,000 times the expected concentration of plutonium in its flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	literal	determiner-broad	NUM NOUN VERB VERB PART VERB NUM NOUN DET VERB NOUN ADP NOUN ADP ADJ NOUN
Two weeks after the first ever pictures were snatched from Bugatti's promotional video by Autocar & Motor's Italian editor Luca Ciferri ( 3 October ), the first photographs of the car in the flesh have appeared.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the flesh	figurative	identical	NUM NOUN ADP DET ADJ ADV NOUN VERB VERB ADP PROPN ADJ NOUN ADP PROPN CCONJ PROPN ADJ NOUN PROPN PROPN PUNCT NUM PROPN PUNCT DET ADJ NOUN ADP DET NOUN ADP DET NOUN VERB VERB
Bacteria and fish enzymes act on natural chemicals in flesh	0 0 0 0 0 0 0 0 1 1	in the flesh	literal	deletion-determiner	NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN ADP NOUN
She's even more beautiful in the flesh than on screen.’	0 0 0 0 1 0 1 0 0 0	in the flesh	figurative	identical	PRON ADV ADV ADJ ADP DET NOUN ADP ADP PROPN
It was strange to see in the flesh a man whose name and face had since 1939 been almost as familiar to me as those of Churchill or Hitler.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB ADJ PART VERB ADP DET NOUN DET NOUN ADJ NOUN CCONJ NOUN VERB ADP NUM VERB ADV ADV ADJ ADP PRON ADP DET ADP PROPN CCONJ PROPN
Actually in the flesh, the way she went up to heaven.	0 1 0 1 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADV ADP DET NOUN DET NOUN PRON VERB PART ADP PROPN
She was holding it so tight the hook was embedded in her flesh.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	literal	determiner-broad	PRON VERB VERB PRON ADV ADV DET NOUN VERB VERB ADP ADJ NOUN
I shall have travelled away in the flesh from that wretched court — light years away by then, light decades.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB VERB VERB ADV ADP DET NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN ADV ADP ADV ADJ NOUN
A photograph is no substitute for the original rug, and items that look superb in reproduction can be extremely disappointing when viewed in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	DET NOUN VERB DET NOUN ADP DET ADJ NOUN CCONJ NOUN ADJ VERB ADJ ADP NOUN VERB VERB ADV ADJ ADV VERB ADP DET NOUN
These spines are covered in small backward - directed barbs, so that once in the flesh they are almost impossible to dislodge.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the flesh	literal	identical	DET NOUN VERB VERB ADP ADJ ADV PUNCT VERB NOUN ADP ADP ADV ADP DET NOUN PRON VERB ADV ADJ PART VERB
And thousands of Ulster fans of Bono, the Edge, Larry and Adam flocked in droves to Dublin and Cork to see their heros in the flesh once more and pay homage to their idols.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	CCONJ NOUN ADP ADJ NOUN ADP PROPN DET PROPN PROPN CCONJ PROPN VERB ADP NOUN ADP PROPN CCONJ PROPN PART VERB ADJ NOUN ADP DET NOUN ADV ADV CCONJ VERB NOUN ADP ADJ NOUN
‘ I 'd have loved to have seen her in the flesh.	0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PUNCT PRON VERB VERB VERB PART VERB VERB PRON ADP DET NOUN
Unlike the anthropologist he can never have the excitement of actually directly confronting his subjects in the flesh ; and he is dealing with people who, temporally distant though they may be, are ultimately his own kith and kin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADP DET NOUN PRON VERB ADV VERB DET NOUN ADP ADV ADV VERB ADJ NOUN ADP DET NOUN PUNCT CCONJ PRON VERB VERB ADP NOUN NOUN ADV ADJ ADP PRON VERB VERB VERB ADV ADJ ADJ NOUN CCONJ NOUN
And — unbelievably — as I watched, the cuts and stabs in her flesh healed.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the flesh	literal	determiner-broad	CCONJ PUNCT ADV PUNCT ADP PRON VERB DET NOUN CCONJ NOUN ADP ADJ NOUN VERB
In a fast sweep her eyes ran from the top of his dark head down to the tips of his elegant feet, and she bit back a groan as she realised that that tempting glimpse of his body had done nothing to prepare her for Luke Calder in the magnificent flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the flesh	literal	insertion-other	ADP DET ADJ NOUN ADJ NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN ADV ADP DET NOUN ADP ADJ ADJ NOUN CCONJ PRON VERB ADV DET NOUN ADP PRON VERB ADP DET ADJ NOUN ADP ADJ NOUN VERB VERB NOUN PART VERB PRON ADP PROPN PROPN ADP DET ADJ NOUN
