flying the flag of Lorraine	1 0 1 0 0	fly the flag	figurative	inflection	VERB DET NOUN ADP PROPN	▁flying ▁the ▁flag ▁of ▁Lorraine	1 0 1 0 0	VERB DET NOUN ADP PROPN
' ( 1 ) Does Community law affect the conditions under which a member state lays down rules for determining which vessels are entitled to register in that state, to fly its flag and carry its nationality?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	figurative	determiner-broad	PUNCT PUNCT PUNCT PUNCT VERB PROPN NOUN VERB DET NOUN ADP ADJ DET NOUN NOUN VERB PART NOUN ADP VERB ADJ NOUN VERB VERB PART VERB ADP DET NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN	▁' ▁( ▁1 ▁ ) ▁Does ▁Community ▁law ▁affect ▁the ▁conditions ▁under ▁which ▁a ▁member ▁state ▁lay s ▁down ▁rules ▁for ▁determining ▁which ▁vessels ▁are ▁entitled ▁to ▁register ▁in ▁that ▁state , ▁to ▁fly ▁its ▁flag ▁and ▁carry ▁its ▁nationality ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PUNCT PUNCT PUNCT PUNCT PUNCT VERB PROPN NOUN VERB DET NOUN ADP ADJ DET NOUN NOUN VERB VERB PART NOUN ADP VERB ADJ NOUN VERB VERB PART VERB ADP DET NOUN NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN NOUN
‘ ( 4 ) Are the answers to questions ( 2 ) and ( 3 ) affected by the fact that the measure in question has been introduced with the object and effect of rendering a number of fishing vessels which immediately prior to the date of such measure coming into effect have been duly registered in and licensed to fish by the member state in question and which are to a substantial extent beneficially owned by nationals of another member state, resident and domiciled in that other member state, ineligible to fly the flag of the first member state with the result that they cease to be eligible to fish against the catch quotas allocated to the first member state under the Common Fisheries Policy unless ownership and management of the vessels are transferred to citizens of the first member state resident and domiciled therein in accordance with the provisions of the said measure?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	identical	PUNCT PUNCT NUM PUNCT VERB DET NOUN ADP NOUN PUNCT NUM PUNCT CCONJ PUNCT PUNCT PUNCT VERB ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB VERB ADP DET NOUN CCONJ NOUN ADP VERB DET NOUN ADP NOUN NOUN ADJ ADV ADV ADP DET NOUN ADP ADJ NOUN VERB ADP NOUN VERB VERB ADV VERB ADP CCONJ VERB ADP VERB ADP DET NOUN NOUN ADP NOUN CCONJ ADJ VERB ADP DET ADJ NOUN ADV VERB ADP NOUN ADP DET NOUN NOUN NOUN CCONJ VERB ADP DET ADJ NOUN NOUN ADJ PART VERB DET NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN ADP PRON VERB PART VERB ADJ PART VERB ADP DET NOUN NOUN VERB ADP DET ADJ NOUN NOUN ADP DET PROPN PROPN PROPN ADP NOUN CCONJ NOUN ADP DET NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN NOUN NOUN CCONJ VERB ADV ADP NOUN ADP DET NOUN ADP DET VERB NOUN	▁ ‘ ▁( ▁4 ▁ ) ▁Are ▁the ▁answers ▁to ▁questions ▁( ▁2 ▁ ) ▁and ▁( ▁3 ▁ ) ▁affected ▁by ▁the ▁fact ▁that ▁the ▁measure ▁in ▁question ▁has ▁been ▁introduced ▁with ▁the ▁object ▁and ▁effect ▁of ▁rendering ▁a ▁number ▁of ▁fishing ▁vessels ▁which ▁immediately ▁prior ▁to ▁the ▁date ▁of ▁such ▁measure ▁coming ▁into ▁effect ▁have ▁been ▁duly ▁registered ▁in ▁and ▁licensed ▁to ▁fish ▁by ▁the ▁member ▁state ▁in ▁question ▁and ▁which ▁are ▁to ▁a ▁substantial ▁extent ▁beneficial ly ▁owned ▁by ▁nationals ▁of ▁another ▁member ▁state , ▁resident ▁and ▁domiciled ▁in ▁that ▁other ▁member ▁state , ▁ineligible ▁to ▁fly ▁the ▁flag ▁of ▁the ▁first ▁member ▁state ▁with ▁the ▁result ▁that ▁they ▁cease ▁to ▁be ▁eligible ▁to ▁fish ▁against ▁the ▁catch ▁quotas ▁allocated ▁to ▁the ▁first ▁member ▁state ▁under ▁the ▁Common ▁Fisheries ▁Policy ▁unless ▁ownership ▁and ▁management ▁of ▁the ▁vessels ▁are ▁transferred ▁to ▁citizens ▁of ▁the ▁first ▁member ▁state ▁resident ▁and ▁domiciled ▁therein ▁in ▁accordance ▁with ▁the ▁provisions ▁of ▁the ▁said ▁measure ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PUNCT NUM PUNCT PUNCT VERB DET NOUN ADP NOUN PUNCT NUM PUNCT PUNCT CCONJ PUNCT PUNCT PUNCT PUNCT VERB ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB VERB ADP DET NOUN CCONJ NOUN ADP VERB DET NOUN ADP NOUN NOUN ADJ ADV ADV ADP DET NOUN ADP ADJ NOUN VERB ADP NOUN VERB VERB ADV VERB ADP CCONJ VERB ADP VERB ADP DET NOUN NOUN ADP NOUN CCONJ ADJ VERB ADP DET ADJ NOUN ADV ADV VERB ADP NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ VERB ADP DET ADJ NOUN NOUN NOUN ADJ PART VERB DET NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN ADP PRON VERB PART VERB ADJ PART VERB ADP DET NOUN NOUN VERB ADP DET ADJ NOUN NOUN ADP DET PROPN PROPN PROPN ADP NOUN CCONJ NOUN ADP DET NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN NOUN NOUN CCONJ VERB ADV ADP NOUN ADP DET NOUN ADP DET VERB NOUN NOUN
To guarantee complete seclusion guests are encouraged to fly a red flag outside their cottage!	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	fly the flag	literal	combined-other	PART VERB ADJ NOUN NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN	▁To ▁guarantee ▁complete ▁se clusion ▁guest s ▁are ▁encouraged ▁to ▁fly ▁a ▁red ▁flag ▁outside ▁their ▁ cott age !	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	PART VERB ADJ NOUN NOUN NOUN NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN
The ship was flying a quarantine flag, which was normal.	0 0 0 1 0 0 1 0 0 0	fly the flag	literal	combined-inflection	DET NOUN VERB VERB DET NOUN NOUN ADJ VERB ADJ	▁The ▁ship ▁was ▁flying ▁a ▁quarantine ▁flag , ▁which ▁was ▁normal .	0 0 0 1 0 0 1 1 0 0 0 0	DET NOUN VERB VERB DET NOUN NOUN NOUN ADJ VERB ADJ ADJ
The only thing wrong with them was that they flew the Northumbrian flag, and not his.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	fly the flag	literal	combined-inflection	DET ADJ NOUN ADJ ADP PRON VERB ADP PRON VERB DET ADJ NOUN CCONJ ADV ADJ	▁The ▁only ▁thing ▁wrong ▁with ▁them ▁was ▁that ▁they ▁f lew ▁the ▁North um br ian ▁flag , ▁and ▁not ▁his .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0	DET ADJ NOUN ADJ ADP PRON VERB ADP PRON VERB VERB DET ADJ ADJ ADJ ADJ NOUN NOUN CCONJ ADV ADJ ADJ
They applied to the Japanese for permission to fly the national flag and sing the national song, Indonesia Raya.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	fly the flag	literal	insertion-other	PRON VERB ADP DET PROPN ADP NOUN PART VERB DET ADJ NOUN CCONJ VERB DET ADJ NOUN PROPN PROPN	▁They ▁applied ▁to ▁the ▁Japanese ▁for ▁permission ▁to ▁fly ▁the ▁national ▁flag ▁and ▁s ing ▁the ▁national ▁so ng , ▁Indonesia ▁Ray a .	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP DET PROPN ADP NOUN PART VERB DET ADJ NOUN CCONJ VERB VERB DET ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN
And take it down : Hotel is told it can't fly the flag.	0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	identical	CCONJ VERB PRON PART PUNCT PROPN VERB VERB PRON VERB VERB DET NOUN	▁And ▁take ▁it ▁down ▁ : ▁Hotel ▁is ▁told ▁it ▁can ' t ▁fly ▁the ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ VERB PRON PART PUNCT PUNCT PROPN VERB VERB PRON VERB VERB VERB VERB DET NOUN NOUN
When placed in the field our army looked like a lovely city adorned with beautiful tents flying innumerable flags of all colours …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	literal	combined-inflection	ADV VERB ADP DET NOUN ADJ NOUN VERB ADP DET ADJ NOUN VERB ADP ADJ NOUN VERB ADJ NOUN ADP DET NOUN PUNCT	▁When ▁placed ▁in ▁the ▁field ▁our ▁army ▁looked ▁like ▁a ▁love ly ▁city ▁ad or ned ▁with ▁beautiful ▁tent s ▁flying ▁in n umer able ▁flags ▁of ▁all ▁colours ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0	ADV VERB ADP DET NOUN ADJ NOUN VERB ADP DET ADJ ADJ NOUN VERB VERB VERB ADP ADJ NOUN NOUN VERB ADJ ADJ ADJ ADJ NOUN ADP DET NOUN PUNCT
Trio fly the flag in style with impressive marathon times	0 1 0 1 0 0 0 0 0 0	fly the flag	figurative	identical	PROPN VERB DET NOUN ADP NOUN ADP ADJ NOUN NOUN	▁Tri o ▁fly ▁the ▁flag ▁in ▁style ▁with ▁impressive ▁mar ath on ▁times	0 0 1 0 1 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN ADP NOUN ADP ADJ NOUN NOUN NOUN NOUN
L 24, p. 1 ), whereby only fishing vessels flying the flag of or registered in a member state may fish against the quotas allocated to that member state, which in other words are reserved to ‘ national’ vessels to the exclusion of vessels from other members states.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	inflection	NOUN NUM NOUN NUM PUNCT ADV ADJ NOUN NOUN VERB DET NOUN ADP CCONJ VERB ADP DET NOUN NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN NOUN ADJ ADP ADJ NOUN VERB VERB ADP PRON ADJ NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN NOUN	▁L ▁24 , ▁p . ▁1 ▁ ), ▁whereby ▁only ▁fishing ▁vessels ▁flying ▁the ▁flag ▁of ▁or ▁registered ▁in ▁a ▁member ▁state ▁may ▁fish ▁against ▁the ▁quotas ▁allocated ▁to ▁that ▁member ▁state , ▁which ▁in ▁other ▁words ▁are ▁reserved ▁to ▁ ‘ ▁national ’ ▁vessels ▁to ▁the ▁exclusion ▁of ▁vessels ▁from ▁other ▁members ▁states .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NUM NUM NOUN NOUN NUM PUNCT PUNCT ADV ADJ NOUN NOUN VERB DET NOUN ADP CCONJ VERB ADP DET NOUN NOUN VERB VERB ADP DET NOUN VERB ADP DET NOUN NOUN NOUN ADJ ADP ADJ NOUN VERB VERB ADP PRON PRON ADJ ADJ NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN NOUN NOUN
At the car plant in Kragujevac, 3,000 workers raised a loaf of bread halfmast on the pole where the national flag is usually flown.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	fly the flag	literal	misc	ADP DET NOUN NOUN ADP PROPN NUM NOUN VERB DET NOUN ADP NOUN NOUN ADP DET NOUN ADV DET ADJ NOUN VERB ADV VERB	▁At ▁the ▁car ▁plant ▁in ▁Kra gu je vac , ▁3, 000 ▁workers ▁raised ▁a ▁lo af ▁of ▁bread ▁half mas t ▁on ▁the ▁pole ▁where ▁the ▁national ▁flag ▁is ▁usually ▁flow n .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN NUM NUM NOUN VERB DET NOUN NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN ADV DET ADJ NOUN VERB ADV VERB VERB VERB
But erm we have to fly the flag!	0 0 0 0 0 1 0 1	fly the flag	figurative	identical	CCONJ NOUN PRON VERB PART VERB DET NOUN	▁But ▁er m ▁we ▁have ▁to ▁fly ▁the ▁flag !	0 0 0 0 0 0 1 0 1 1	CCONJ NOUN NOUN PRON VERB PART VERB DET NOUN NOUN
Both parties seemed to feel little obligation to fly the flag in their most barren areas, with the Democrats in particular gaining some reward from the careful husbandry of their more slender resources.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	identical	DET NOUN VERB PART VERB ADJ NOUN PART VERB DET NOUN ADP ADJ ADJ ADJ NOUN ADP DET PROPN ADP ADJ VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADJ ADJ NOUN	▁Both ▁parties ▁seemed ▁to ▁feel ▁little ▁obligation ▁to ▁fly ▁the ▁flag ▁in ▁their ▁most ▁bar ren ▁areas , ▁with ▁the ▁Democra ts ▁in ▁particular ▁gaining ▁some ▁reward ▁from ▁the ▁careful ▁husbandry ▁of ▁their ▁more ▁sl ender ▁resources .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PART VERB ADJ NOUN PART VERB DET NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN ADP DET PROPN PROPN ADP ADJ VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN
BRITISH Bulldog, alias Davey Boy Smith, flew the flag with passion when he bulldozed his way to win the golden belt of champions at the world SummerSlam wrestling spectacular.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	inflection	ADJ PROPN NOUN PROPN PROPN PROPN VERB DET NOUN ADP NOUN ADV PRON VERB ADJ NOUN PART VERB DET ADJ NOUN ADP NOUN ADP DET NOUN PROPN NOUN ADJ	▁BRIT ISH ▁Bull do g , ▁alia s ▁D ave y ▁Boy ▁Smith , ▁f lew ▁the ▁flag ▁with ▁passion ▁when ▁he ▁bull do zed ▁his ▁way ▁to ▁win ▁the ▁golden ▁belt ▁of ▁champion s ▁at ▁the ▁world ▁Sum mer S lam ▁wr est ling ▁spectacular .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ PROPN PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADP NOUN ADV PRON VERB VERB VERB ADJ NOUN PART VERB DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADJ ADJ
So we will be flying the flag there.	0 0 0 0 1 0 1 0	fly the flag	figurative	inflection	ADV PRON VERB VERB VERB DET NOUN ADV	▁So ▁we ▁will ▁be ▁flying ▁the ▁flag ▁there .	0 0 0 0 1 0 1 0 0	ADV PRON VERB VERB VERB DET NOUN ADV ADV
' Consequently, the measures which the member states may adopt when exercising the power conferred on them by article 5(2 ) of Regulation ( E.E.C. ) No. 170/82 with a view to excluding certain of the vessels flying their flag from sharing in the utilisation of their national quota are justified only if they are suitable and necessary for attaining the aim of the quotas …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	PUNCT ADV DET NOUN ADJ DET NOUN NOUN VERB VERB ADV VERB DET NOUN VERB ADP PRON ADP NOUN NUM PUNCT ADP PROPN PUNCT PROPN PUNCT INTJ NUM ADP DET NOUN ADP VERB ADJ ADP DET NOUN VERB ADJ NOUN ADP VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB VERB ADV ADP PRON VERB ADJ CCONJ ADJ ADP VERB DET NOUN ADP DET NOUN PUNCT	▁' ▁Consequently , ▁the ▁measures ▁which ▁the ▁member ▁states ▁may ▁adopt ▁when ▁exercising ▁the ▁power ▁conferred ▁on ▁them ▁by ▁article ▁5 ( 2 ▁ ) ▁of ▁Regulation ▁( ▁E . E . C . ▁ ) ▁No . ▁17 0/82 ▁with ▁a ▁view ▁to ▁excluding ▁certain ▁of ▁the ▁vessels ▁flying ▁their ▁flag ▁from ▁sharing ▁in ▁the ▁utilisation ▁of ▁their ▁national ▁quota ▁are ▁justified ▁only ▁if ▁they ▁are ▁suitable ▁and ▁necessary ▁for ▁attain ing ▁the ▁aim ▁of ▁the ▁quotas ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADV ADV DET NOUN ADJ DET NOUN NOUN VERB VERB ADV VERB DET NOUN VERB ADP PRON ADP NOUN NUM NUM NUM PUNCT PUNCT ADP PROPN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT INTJ INTJ NUM NUM ADP DET NOUN ADP VERB ADJ ADP DET NOUN VERB ADJ NOUN ADP VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB VERB ADV ADP PRON VERB ADJ CCONJ ADJ ADP VERB VERB DET NOUN ADP DET NOUN PUNCT
BRITISH workers have been laid off as a fly - the - flag mission to Seville's Expo ' 92 flopped.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	fly the flag	figurative	dashes	ADJ NOUN VERB VERB VERB PART ADP DET VERB PUNCT DET PUNCT NOUN NOUN ADP PROPN PROPN PUNCT NUM VERB	▁BRIT ISH ▁workers ▁have ▁been ▁laid ▁off ▁as ▁a ▁fly ▁- ▁the ▁- ▁flag ▁mission ▁to ▁Seville ' s ▁Exp o ▁' ▁92 ▁fl o pped .	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB VERB VERB PART ADP DET VERB PUNCT DET PUNCT NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PUNCT NUM VERB VERB VERB VERB
MUSIC : The Scouse pop scene produced a lot of bright new bands and artists, and this year readers nominated three names who have been flying the flag not only locally but nationally.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	fly the flag	figurative	inflection	NOUN PUNCT DET PROPN NOUN NOUN VERB DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN CCONJ DET NOUN NOUN VERB NUM NOUN NOUN VERB VERB VERB DET NOUN ADV ADV ADV CCONJ ADV	▁M US IC ▁ : ▁The ▁S co use ▁p op ▁scene ▁produced ▁a ▁lot ▁of ▁bright ▁new ▁bands ▁and ▁artists , ▁and ▁this ▁year ▁readers ▁nominated ▁three ▁names ▁who ▁have ▁been ▁flying ▁the ▁flag ▁not ▁only ▁locally ▁but ▁nationally .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN NOUN NOUN PUNCT PUNCT DET PROPN PROPN PROPN NOUN NOUN NOUN VERB DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN NOUN CCONJ DET NOUN NOUN VERB NUM NOUN NOUN VERB VERB VERB DET NOUN ADV ADV ADV CCONJ ADV ADV
The American flag is flown here.	0 0 1 0 1 0	fly the flag	literal	misc	DET ADJ NOUN VERB VERB ADV	▁The ▁American ▁flag ▁is ▁flow n ▁here .	0 0 1 0 1 1 0 0	DET ADJ NOUN VERB VERB VERB ADV ADV
Held, ( 1 ) that under Community law member states could determine in accordance with the general rules of public international law the conditions under which vessels could be entered in national registers and granted the right to fly their flags, but that in laying down those conditions the member states had to comply with Community law ( post, pp. 338F – G, 343A ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	determiner-broad	VERB PUNCT PUNCT PUNCT ADP ADP PROPN NOUN NOUN NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN DET NOUN ADP ADJ NOUN VERB VERB VERB ADP ADJ NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN CCONJ ADP ADP VERB PART DET NOUN DET NOUN NOUN VERB PART VERB ADP PROPN NOUN PUNCT NOUN PROPN NUM PUNCT PROPN PROPN PUNCT	▁Held , ▁( ▁1 ▁ ) ▁that ▁under ▁Community ▁law ▁member ▁states ▁could ▁determine ▁in ▁accordance ▁with ▁the ▁general ▁rules ▁of ▁public ▁international ▁law ▁the ▁conditions ▁under ▁which ▁vessels ▁could ▁be ▁entered ▁in ▁national ▁registers ▁and ▁granted ▁the ▁right ▁to ▁fly ▁their ▁flags , ▁but ▁that ▁in ▁laying ▁down ▁those ▁conditions ▁the ▁member ▁states ▁had ▁to ▁comply ▁with ▁Community ▁law ▁( ▁post , ▁pp . ▁338 F ▁ – ▁G , ▁343 A ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PUNCT PUNCT PUNCT PUNCT ADP ADP PROPN NOUN NOUN NOUN VERB VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN DET NOUN ADP ADJ NOUN VERB VERB VERB ADP ADJ NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN NOUN CCONJ ADP ADP VERB PART DET NOUN DET NOUN NOUN VERB PART VERB ADP PROPN NOUN PUNCT NOUN NOUN PROPN PROPN NUM NUM PUNCT PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT
Erm we 'll be flying the flag on on those I tell you yeah.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	fly the flag	figurative	inflection	NOUN PRON VERB VERB VERB DET NOUN ADP ADP DET PRON VERB PRON INTJ	▁E rm ▁we ▁' ll ▁be ▁flying ▁the ▁flag ▁on ▁on ▁those ▁I ▁tell ▁you ▁ye ah .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	NOUN NOUN PRON VERB VERB VERB VERB DET NOUN ADP ADP DET PRON VERB PRON INTJ INTJ INTJ
May fly its flag again	0 1 0 1 0	fly the flag	figurative	determiner-broad	VERB VERB ADJ NOUN ADV	▁May ▁fly ▁its ▁flag ▁again	0 1 0 1 0	VERB VERB ADJ NOUN ADV
' appropriate provisions for participation by that state or its nationals as owners of ships flying its flag or in the ownership of such ships and for the level of that participation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	PUNCT ADJ NOUN ADP NOUN ADP DET NOUN CCONJ ADJ NOUN ADP NOUN ADP NOUN VERB ADJ NOUN CCONJ ADP DET NOUN ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN	▁' ▁appropriate ▁provisions ▁for ▁participation ▁by ▁that ▁state ▁or ▁its ▁nationals ▁as ▁owners ▁of ▁ships ▁flying ▁its ▁flag ▁or ▁in ▁the ▁ownership ▁of ▁such ▁ships ▁and ▁for ▁the ▁level ▁of ▁that ▁participation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADJ NOUN ADP NOUN ADP DET NOUN CCONJ ADJ NOUN ADP NOUN ADP NOUN VERB ADJ NOUN CCONJ ADP DET NOUN ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN NOUN
' ( 1 ) Does Community law affect the conditions under which a member state lays down rules for determining which vessels are entitled to register in that state, to fly its flag and carry its nationality?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	literal	determiner-broad	PUNCT PUNCT PUNCT PUNCT VERB PROPN NOUN VERB DET NOUN ADP ADJ DET NOUN NOUN VERB PART NOUN ADP VERB ADJ NOUN VERB VERB PART VERB ADP DET NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN	▁' ▁( ▁1 ▁ ) ▁Does ▁Community ▁law ▁affect ▁the ▁conditions ▁under ▁which ▁a ▁member ▁state ▁lay s ▁down ▁rules ▁for ▁determining ▁which ▁vessels ▁are ▁entitled ▁to ▁register ▁in ▁that ▁state , ▁to ▁fly ▁its ▁flag ▁and ▁carry ▁its ▁nationality ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PUNCT PUNCT PUNCT PUNCT PUNCT VERB PROPN NOUN VERB DET NOUN ADP ADJ DET NOUN NOUN VERB VERB PART NOUN ADP VERB ADJ NOUN VERB VERB PART VERB ADP DET NOUN NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN NOUN
