That should get the sweet - talkin ' nicely up and running.	0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET VERB VERB DET ADJ PUNCT NOUN PUNCT ADV ADV CCONJ VERB
Both the Society and Heather Last are concerned that the report compares traditional methods with a Peto school in Birmingham barely up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET DET PROPN CCONJ PROPN PROPN VERB VERB ADP DET NOUN VERB ADJ NOUN ADP DET PROPN NOUN ADP PROPN ADV ADV CCONJ VERB
The LANtastic network is DOS based with additional Windows support software and so the DOS side of things must be up and running first.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	DET ADJ NOUN VERB PROPN VERB ADP ADJ PROPN VERB NOUN CCONJ ADP DET NOUN NOUN ADP NOUN VERB VERB ADV CCONJ VERB ADV
I was up and running with the package within ten minutes, applying the automatic mode of analysis — and making sense out of it — without reference to the manual.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB ADV CCONJ VERB ADP DET NOUN ADP NUM NOUN VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ VERB NOUN ADP ADP PRON PUNCT ADP NOUN ADP DET NOUN
A NEW Sunday Folk Club is up and running in the Hatfield Bar on the Ormeau Road.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET ADJ PROPN PROPN PROPN VERB ADV CCONJ VERB ADP DET PROPN PROPN ADP DET PROPN PROPN
But erm the idea is have this up and running and look at the problems.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	CCONJ ADV DET NOUN VERB VERB DET PART CCONJ VERB CCONJ VERB ADP DET NOUN
A series of studies, due to be completed in June will decide which operations will be spun off as Independent Business Centres — to be up and running by January 1 1994.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up and running	figurative	identical	DET NOUN ADP NOUN ADJ PART VERB VERB ADP PROPN VERB VERB ADJ NOUN VERB VERB VERB PART ADP PROPN PROPN PROPN PUNCT PART VERB ADV CCONJ VERB ADP PROPN NUM NUM
THEIR pitch is up and running, survival is assured … now the party can begin in earnest for Newry Olympic Hockey Club.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADJ NOUN VERB ADV CCONJ NOUN NOUN VERB VERB PUNCT ADV DET NOUN VERB VERB ADP NOUN ADP PROPN PROPN PROPN PROPN
The station could be up and running by about 1994.	0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	DET NOUN VERB VERB ADV CCONJ VERB ADP ADV NUM
Village Inn The new season is up and running at this venue with packed houses every Thursday night.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN PROPN DET ADJ NOUN VERB ADV CCONJ VERB ADP DET NOUN ADP ADJ NOUN DET PROPN NOUN
However, there were no guarantees that the service would be up and running next season and that would be a turn - off for would - be sponsors.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADV ADV VERB DET NOUN ADP DET NOUN VERB VERB ADV CCONJ VERB ADJ NOUN CCONJ DET VERB VERB DET NOUN PUNCT NOUN ADP VERB PUNCT VERB NOUN
According to IBM, DFS — which enables an assortment of files on a network to look and act as if they were local — is up and running in the labs and is scheduled for beta test by the end of the first quarter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	VERB ADP PROPN PROPN PUNCT ADJ VERB DET NOUN ADP NOUN ADP DET NOUN PART VERB CCONJ VERB ADP ADP PRON VERB ADJ PUNCT VERB ADV CCONJ VERB ADP DET NOUN CCONJ VERB VERB ADP NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN
At least two ‘ campaigns’ are now up - and - running offering to fill the place held by the demised Vulcan Association ( VA ).	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	dashes	ADV ADV NUM PUNCT NOUN VERB ADV ADV PUNCT CCONJ PUNCT VERB NOUN PART VERB DET NOUN VERB ADP DET ADJ PROPN PROPN PUNCT PROPN PUNCT
my keyboard I would like to get my system up and running erm	0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	ADJ NOUN PRON VERB VERB PART VERB ADJ NOUN PART CCONJ VERB NOUN
‘ It's been laid up for a while with a problem in the starting mechanism, but a friend is now completing a repair job for me, and we hope to be up and running again soon,’ explained Gordon, pictured with the vehicle's log - book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PUNCT PRON VERB VERB PART ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ DET NOUN VERB ADV VERB DET NOUN NOUN ADP PRON CCONJ PRON VERB PART VERB ADV CCONJ VERB ADV PRON VERB PROPN VERB ADP DET NOUN NOUN PUNCT NOUN
The slow business environment there was cited as a reason for closing while director Lawrence Salander felt that too much time and input was required of him and his partner in order to get the project up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET ADJ NOUN NOUN ADV VERB VERB ADP DET NOUN ADP NOUN ADP NOUN PROPN PROPN VERB ADP ADV ADJ NOUN CCONJ NOUN VERB VERB ADP PRON CCONJ ADJ NOUN ADP NOUN PART VERB DET NOUN ADV CCONJ VERB
Russian sources have recently been making it clear that once current investment projects are up and running Cuba will get little more direct financial assistance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADJ NOUN VERB ADV VERB VERB PRON ADJ ADP ADV ADJ NOUN NOUN VERB ADV CCONJ VERB PROPN VERB VERB ADV ADV ADJ ADJ NOUN
But critics are concerned that it isn't up and running anywhere yet, though a pilot scheme is planned in Portugal.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	CCONJ NOUN VERB ADJ ADP PRON VERB ADV CCONJ VERB ADV ADV ADP DET NOUN NOUN VERB VERB ADP PROPN
The competition wasn ‘ t up and running in October but November's winners were Paul Adams ( Wigan ), Chris Burgess ( Manchester St Ann Street ), Joe Murphy ( London Nottinghill Gate ), Ian Williams ( Sutton ), Jim Russell ( Kirkcaldy ), Jane Davies ( Stranraer ) and Louise Bye ( Dronfield ).	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN ADV PUNCT NOUN ADV CCONJ VERB ADP PROPN CCONJ PROPN NOUN VERB PROPN PROPN PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN NOUN PUNCT PROPN PUNCT CCONJ PROPN PROPN PUNCT PROPN PUNCT
The computer system at the Budapest Stock Exchange has now been up and running for about two weeks, and according to chief system analyst Andrei Bagi, there has been only one minor teething problem.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN NOUN ADP DET PROPN PROPN PROPN VERB ADV VERB ADV CCONJ VERB ADP ADV NUM NOUN CCONJ VERB ADP ADJ NOUN NOUN PROPN PROPN ADV VERB VERB ADV NUM ADJ NOUN NOUN
Then you was up and running.	0 0 0 1 1 1	up and running	figurative	identical	ADV PRON VERB ADV CCONJ VERB
The standard will reportedly provide a standard set of techniques for independent software vendors to write to and should allow users to get Unix applications up and running from an install icon within a variety of graphical environments without the need to go back down to the shell, be they native or guest implementations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN VERB ADV VERB DET ADJ NOUN ADP NOUN ADP ADJ NOUN NOUN PART VERB ADP CCONJ VERB VERB NOUN PART VERB PROPN NOUN PART CCONJ VERB ADP DET NOUN NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN PART VERB ADV ADV ADP DET NOUN VERB PRON ADJ CCONJ NOUN NOUN
By then Sun Valley hopes to have made arrangements to have new production lines up and running in Herefordshire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	up and running	figurative	identical	ADP ADV PROPN PROPN VERB PART VERB VERB NOUN PART VERB ADJ NOUN NOUN PART CCONJ VERB ADP PROPN
But while the show is now safely up and running in the theatre, there's still plenty to do to keep it that way.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	CCONJ ADP DET NOUN VERB ADV ADV ADV CCONJ VERB ADP DET NOUN ADV ADV ADJ PART VERB PART VERB PRON DET NOUN
Such an amendment might well be needed, but it is more important that we get the European eco - labelling scheme up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	ADJ DET NOUN VERB ADV VERB VERB CCONJ PRON VERB ADV ADJ ADP PRON VERB DET ADJ NOUN PUNCT VERB NOUN ADV CCONJ VERB
Well, we have er W W F, the World Wide Fund for Nature has two hundred and seventy five projects already up and running er in rainforest areas of the world, and there are constant demands for more projects to be undertaken, and of course, all this costs money ; for men, machinery, equipment er and persuading governments, talking to people to make sure that we, if we can't halt this devastating destruction of rainforests, at least we can slow it down.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	INTJ PRON VERB INTJ PROPN PROPN PROPN DET PROPN PROPN PROPN ADP PROPN VERB NUM NUM CCONJ NUM NUM NOUN ADV ADV CCONJ VERB INTJ ADP NOUN NOUN ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP ADJ NOUN PART VERB VERB CCONJ ADP NOUN ADJ DET VERB NOUN PUNCT ADP NOUN NOUN NOUN INTJ CCONJ VERB NOUN VERB ADP NOUN PART VERB ADJ ADP PRON ADP PRON VERB VERB DET ADJ NOUN ADP NOUN ADP ADJ PRON VERB VERB PRON PART
The company, which claims to have the product up and running smoothly in Norway at the Ministry of Defence and in Sweden in the educational administration, is dreaming of becoming the industry's new standard of connectivity.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN ADJ VERB PART VERB DET NOUN PART CCONJ VERB ADV ADP PROPN ADP DET PROPN ADP PROPN CCONJ ADP PROPN ADP DET ADJ NOUN VERB VERB ADP VERB DET NOUN ADJ NOUN ADP NOUN
Napier have said that once they get this course up and running there's absolutely no reason why experienced people like us can't dip in and out for a one off	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN VERB VERB ADP ADP PRON VERB DET NOUN ADV CCONJ VERB ADV ADV DET NOUN ADV VERB NOUN ADP PRON VERB VERB ADP CCONJ ADP ADP DET NOUN PART
The HP SupportPack is a three - year support package available through authorised resellers worldwide and designed to keep customers ' business operations up and running with assurance of next - day product replacement directly from Hewlett - Packard.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET PROPN PROPN VERB DET NUM PUNCT NOUN NOUN NOUN ADJ ADP ADJ NOUN ADV CCONJ VERB PART VERB NOUN PART NOUN NOUN ADV CCONJ VERB ADP NOUN ADP ADJ PUNCT NOUN NOUN NOUN ADV ADP PROPN PUNCT PROPN
Telecanvassing is now up and running very efficiently in Salisbury and will continue to flourish and we will soon reap the rewards.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	NOUN VERB ADV ADV CCONJ VERB ADV ADV ADP PROPN CCONJ VERB VERB PART VERB CCONJ PRON VERB ADV VERB DET NOUN
But of course it is important that the box is er in operational use before such a photograph is taken, so I will endeavour tomorrow to er to resolve the situation of actually putting the phones in the box so that er by the time Wednesday comes, and our photograph, then it is up and running as they say.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	CCONJ ADP NOUN PRON VERB ADJ ADP DET NOUN VERB INTJ ADP ADJ NOUN ADP ADJ DET NOUN VERB VERB CCONJ PRON VERB VERB NOUN ADP INTJ PART VERB DET NOUN ADP ADV VERB DET NOUN ADP DET NOUN ADP ADP INTJ ADP DET NOUN PROPN VERB CCONJ ADJ NOUN ADV PRON VERB ADV CCONJ VERB ADP PRON VERB
Although it will be my first mortgage, my girlfriend already has one of £ 50,000 for which she has an endowment up and running to cover that amount.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up and running	figurative	identical	ADP PRON VERB VERB ADJ ADJ NOUN ADJ NOUN ADV VERB NUM ADP SYM NUM ADP ADJ PRON VERB DET NOUN ADV CCONJ VERB PART VERB DET NOUN
Next moment, up and running.	0 0 1 1 1	up and running	figurative	identical	ADJ NOUN ADV CCONJ VERB
Unilinx services should be up and running by the first quarter of next year.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN NOUN VERB VERB ADV CCONJ VERB ADP DET ADJ NOUN ADP ADJ NOUN
And they were fitting in their own until they got up and running.	0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	CCONJ PRON VERB VERB ADP ADJ ADJ ADP PRON VERB PART CCONJ VERB
As you can see, getting a pair of SD Ribbons up and running is no picnic, and will not be accomplished without series damage to your wallet.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADP PRON VERB VERB VERB DET NOUN ADP PROPN PROPN ADV CCONJ NOUN VERB DET NOUN CCONJ VERB ADV VERB VERB ADP NOUN NOUN ADP ADJ NOUN
But once it's up and running, they may want to develop their own skills and expertise’.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	CCONJ ADP PRON ADV CCONJ VERB PRON VERB VERB PART VERB ADJ ADJ NOUN CCONJ NOUN
A crematorium official said : ‘ We will be up and running tomorrow.’	0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	DET ADJ NOUN VERB PUNCT PUNCT PRON VERB VERB ADV CCONJ VERB PUNCT
Yesterday Sun Microsystems Inc's software unit made good the promise and announced it would be working with Motorola Inc's Semiconductor Products Sector to get Solaris 2.1 up and running on the IBM Corp - Motorola developed RISC.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up and running	figurative	identical	NOUN PROPN PROPN PROPN NOUN NOUN VERB ADJ DET NOUN CCONJ VERB PRON VERB VERB VERB ADP PROPN PROPN PROPN PROPN PROPN PART VERB PROPN NUM ADV CCONJ VERB ADP DET PROPN PROPN PUNCT PROPN VERB PROPN
about four days left to get this tested then up and running.	0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	ADP NUM NOUN VERB PART VERB DET VERB ADV ADV CCONJ VERB
‘ We have had enquiries in the past about using our facilities,’ said the spokesman, ‘ but that was not possible until these new machines were up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	PUNCT PRON VERB VERB NOUN ADP DET NOUN ADP VERB ADJ NOUN VERB DET NOUN PUNCT CCONJ DET VERB ADV ADJ ADP DET ADJ NOUN VERB ADV CCONJ VERB
Once the tank is up and running water quality should be maintained by regular partial water changes of 20–30 % each week.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADP DET NOUN VERB ADV CCONJ VERB NOUN NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN ADP NUM NOUN DET NOUN
Take it from me ; the average network station will not be up and running five minutes after you 've taken it out of the box.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	VERB PRON ADP PRON PUNCT DET ADJ NOUN NOUN VERB ADV VERB ADV CCONJ VERB NUM NOUN ADP PRON VERB VERB PRON ADP ADP DET NOUN
If we don't get life support up and running soon, we 'll all suffocate.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	ADP PRON VERB VERB NOUN NOUN PART CCONJ VERB ADV PRON VERB DET VERB
Local authorities had their fingers burnt before when they tried to get the software up and running and then found that the Government were changing the rules.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADJ NOUN VERB ADJ NOUN VERB ADP ADV PRON VERB PART VERB DET NOUN PART CCONJ NOUN CCONJ ADV VERB ADP DET PROPN VERB VERB DET NOUN
When the plan is up and running and all the identified needs for care are being met, the managing team backs away and performs only intermittent reviews.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADV DET NOUN VERB ADV CCONJ VERB CCONJ ADJ DET VERB NOUN ADP NOUN VERB VERB VERB DET VERB NOUN VERB ADV CCONJ VERB ADJ ADJ NOUN
How many more years shall we have to wait before we have as up and running and as efficient a marketing system for British products as they have in France, Holland and Denmark?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADV ADJ ADJ NOUN VERB PRON VERB PART VERB ADP PRON VERB ADV ADV CCONJ VERB CCONJ ADV ADJ DET NOUN NOUN ADP ADJ NOUN ADP PRON VERB ADP PROPN PROPN CCONJ PROPN
If all goes according to plan the bakery should be up and running by May.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	up and running	figurative	identical	ADP DET VERB VERB PART VERB DET NOUN VERB VERB ADV CCONJ VERB ADP PROPN
and got it set up and running	0 0 0 0 1 1 1	up and running	figurative	identical	CCONJ VERB PRON VERB PART CCONJ NOUN
‘ This has been a big exercise,’ said Crawford, ‘ but it is all nearing completion now and the new systems should be up and running during the next six months.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	PUNCT DET VERB VERB DET ADJ NOUN VERB PROPN PUNCT CCONJ PRON VERB DET VERB NOUN ADV CCONJ DET ADJ NOUN VERB VERB ADV CCONJ VERB ADP DET ADJ NUM NOUN
They 're pleased with the training and education programmes already up and running, and say that given time to develop them further, things will settle down.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB ADJ ADP DET NOUN CCONJ NOUN NOUN ADV ADV CCONJ VERB CCONJ VERB ADP VERB NOUN PART VERB PRON ADV NOUN VERB VERB PART
A pilot plant at Staley's Decatur headquarters already produces Ruby and a small ‘ semi - works’ plant capable of delivering one million lb of it a year will be up and running soon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	DET ADJ NOUN ADP PROPN PROPN NOUN ADV VERB PROPN CCONJ DET ADJ ADJ NOUN PUNCT PROPN NOUN ADJ ADP VERB NUM NUM NOUN ADP PRON DET NOUN VERB VERB ADV CCONJ VERB ADV
Well unfortunately we were scheduled to have a meeting erm something like ten days ago and then two or three of the key people had to drop out so I cancelled the meeting because obviously we want the people there who were going to actually get the thing up and running so that we can formulate a first public meeting and I would like erm, you know, now, to establish a working party but again a number of the people who one would expect to be on it are not here and it's slightly awkward.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	INTJ ADV PRON VERB VERB PART VERB DET NOUN NOUN NOUN ADP NUM NOUN ADV CCONJ ADV NUM CCONJ NUM ADP DET ADJ NOUN VERB PART VERB PART ADV PRON VERB DET NOUN ADP ADV PRON VERB DET NOUN ADV NOUN VERB VERB PART ADV VERB DET NOUN ADV CCONJ VERB ADP ADP PRON VERB VERB DET ADJ ADJ NOUN CCONJ PRON VERB VERB NOUN PRON VERB ADV PART VERB DET VERB NOUN CCONJ ADV DET NOUN ADP DET NOUN NOUN PRON VERB VERB PART VERB ADP PRON VERB ADV ADV CCONJ PRON ADV ADJ
Hewlett - Packard is contracted to have the system up and running in six months.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	PROPN PUNCT PROPN VERB VERB PART VERB DET NOUN PART CCONJ VERB ADP NUM NOUN
‘ I got the whole thing up and running.	0 0 0 0 0 0 1 1 1	up and running	figurative	identical	PUNCT PRON VERB DET ADJ NOUN ADV CCONJ VERB
If we had this up and running, the sort of thing that we would do is put together a package	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADP PRON VERB DET PART CCONJ NOUN DET NOUN ADP NOUN ADJ PRON VERB VERB VERB VERB ADV DET NOUN
Pabulum Consultants ' Jennifer Rust comments : ‘ Many companies will only invest in the minimum training required to get the system up and running ; it is not surprising in these cases that the systems are not being used to their full potential.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN PROPN PART PROPN PROPN VERB PUNCT PUNCT ADJ NOUN VERB ADV VERB ADP DET ADJ NOUN VERB PART VERB DET NOUN PART CCONJ VERB PUNCT PRON VERB ADV ADJ ADP DET NOUN ADJ DET NOUN VERB ADV VERB VERB ADP ADJ ADJ NOUN
With OSF's help, Protek will have a training and integration centre up and running by May with a range of hardware platforms running DCE.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADP PROPN NOUN PROPN VERB VERB DET NOUN CCONJ NOUN NOUN ADV CCONJ VERB ADP PROPN ADP DET NOUN ADP NOUN NOUN VERB PROPN
Philip White's day starts on a dark station platform before most of us are up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	PROPN PROPN NOUN VERB ADP DET ADJ NOUN NOUN ADP ADJ ADP PRON VERB ADV CCONJ VERB
He with his mates had managed to run it down, and he was quite prepared to get things up and running again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	PRON ADP ADJ NOUN VERB VERB PART VERB PRON PART CCONJ PRON VERB ADV ADJ PART VERB NOUN PART CCONJ VERB ADV
After we 've got We said we 'd get the appraisal system up and running didn't we.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	up and running	figurative	identical	ADP PRON VERB VERB PRON VERB PRON VERB VERB DET NOUN NOUN PART CCONJ NOUN VERB PRON
Some are already up and running.	0 0 0 1 1 1	up and running	figurative	identical	DET VERB ADV ADV CCONJ VERB
So that's why we haven't, he wanted twenty, the home secretary wanted twenty up and running before Christmas, he didn't say which Christmas, but we presumed he meant last Christmas, and we said no, we 'll do it properly and get it started up right	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADV DET ADV PRON VERB PRON VERB NUM DET NOUN NOUN VERB NUM ADV CCONJ VERB ADP PROPN PRON VERB VERB ADJ PROPN CCONJ PRON VERB PRON VERB ADJ PROPN CCONJ PRON VERB INTJ PRON VERB VERB PRON ADV CCONJ VERB PRON VERB PART ADV
Intel needs to do some stroking among this class of customer even though Intel defenders claim the P5 schematics designers are using in the absence of silicon are so exact they should have little trouble getting up and running and out the door once the chips are delivered.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN VERB PART VERB DET NOUN ADP DET NOUN ADP NOUN ADV ADP PROPN NOUN VERB DET NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN VERB ADV ADJ PRON VERB VERB ADJ NOUN VERB PART CCONJ VERB CCONJ ADP DET NOUN ADP DET NOUN VERB VERB
up and running	1 1 1	up and running	figurative	identical	ADV CCONJ NOUN
The first race was off at two fifteen but on race day Cheltenham is up and running at first light.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	DET ADJ NOUN VERB ADV ADP NUM NUM CCONJ ADP NOUN NOUN PROPN VERB ADV CCONJ VERB ADP ADJ NOUN
Neighbourhood Watch The Neighbourhood Watch has been up and running in the Baberton Mains Estate for some time but up in Juniper Green things have been much slower.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN PROPN DET PROPN PROPN VERB VERB ADV CCONJ VERB ADP DET PROPN PROPN PROPN ADP DET NOUN CCONJ ADP ADP PROPN PROPN NOUN VERB VERB ADV ADJ
It is impossible for anyone on the same network to have the same IP address and both systems be up and running at the same time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up and running	figurative	identical	PRON VERB ADJ ADP NOUN ADP DET ADJ NOUN PART VERB DET ADJ PROPN NOUN CCONJ DET NOUN VERB ADV CCONJ VERB ADP DET ADJ NOUN
State legislators vote $ 6.3 million to keep the Society up and running	0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	NOUN NOUN VERB SYM NUM NUM PART VERB DET PROPN PART CCONJ NOUN
‘ We plan to be up and running by June 1995,’ he said.	0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	PUNCT PRON VERB PART VERB ADV CCONJ VERB ADP PROPN NUM PRON VERB
