Bok with a vengeance	0 1 0 1	with a vengeance	figurative	identical	NOUN ADP DET NOUN
If we ask the acoustic front end to leave some of the labelling to lexical access it will do so with a vengeance since it has no way of knowing what dilemmas need resolving at the lexical level.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADP PRON VERB DET ADJ ADJ NOUN PART VERB DET ADP DET NOUN ADP NOUN NOUN PRON VERB VERB ADV ADP DET NOUN ADP PRON VERB DET NOUN ADP VERB NOUN NOUN VERB VERB ADP DET ADJ NOUN
As a commentary on such sentiments Eliot's poem reads with a vengeance.	0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADP DET NOUN ADP ADJ NOUN PROPN NOUN VERB ADP DET NOUN
B : ‘ I thought she was far too cocky but then I changed my mind and I pursued her with a vengeance.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	dashes	NOUN PUNCT PUNCT PRON VERB PRON VERB ADV ADV ADJ CCONJ ADV PRON VERB ADJ NOUN CCONJ PRON VERB PRON ADP DET NOUN
Law and Order : Just Deserts with a Vengeance	0 0 0 0 0 0 1 0 1	with a vengeance	figurative	case	NOUN CCONJ NOUN PUNCT ADV PROPN ADP DET NOUN
Ireland, an issue that resurfaced with a vengeance the day after the election, is a case in point.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN DET NOUN ADJ VERB ADP DET NOUN DET NOUN ADP DET NOUN VERB DET NOUN ADP NOUN
Accordingly, they set about the task of reforming the religious and cultural life of the English localities with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV PRON VERB PART DET NOUN ADP VERB DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN
Then they signed to Virgin and the Mighty Lemon Drops syndrome struck with a vengeance, ensuring that, up until‘Every Beat Of The Heart’ meandered chartwards, policemen wouldn't even speak to The Railway Children let alone arrest them.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADV PRON VERB ADP PROPN CCONJ DET PROPN PROPN PROPN NOUN VERB ADP DET NOUN VERB ADP ADV PROPN NOUN ADP DET PROPN VERB NOUN NOUN VERB ADV VERB ADP DET PROPN PROPN VERB ADV VERB PRON
Against that, though, there is a ‘ vast contemporary repertoire — the guitar has come into its own in popularity in this period, and people are now writing for it with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADP DET ADV ADV VERB DET PUNCT ADJ ADJ NOUN PUNCT DET NOUN VERB VERB ADP ADJ ADJ ADP NOUN ADP DET NOUN CCONJ NOUN VERB ADV VERB ADP PRON ADP DET NOUN
This jerked the real Isabel back to the Queen's solar with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET VERB DET ADJ PROPN ADV ADP DET PROPN ADJ ADP DET NOUN
She recalled the docks, and the way the sea screamed and wailed like a soul in torment, throwing itself against the piers with a wild vengeance that struck terror into her young heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	with a vengeance	figurative	insertion-other	PRON VERB DET NOUN CCONJ DET NOUN DET NOUN VERB CCONJ VERB ADP DET NOUN ADP NOUN VERB PRON ADP DET NOUN ADP DET ADJ NOUN ADJ VERB NOUN ADP ADJ ADJ NOUN
Yet a depression there was, with a vengeance, as the labour market was flooded with returning soldiers and sailors and prices fell dramatically.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADV DET NOUN ADV VERB ADP DET NOUN ADP DET NOUN NOUN VERB VERB ADP VERB NOUN CCONJ NOUN CCONJ NOUN VERB ADV
Raisins were first included in American cookies only six years ago, but the idea has caught on with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	NOUN VERB ADV VERB ADP ADJ NOUN ADV NUM NOUN ADV CCONJ DET NOUN VERB VERB PART ADP DET NOUN
More often than not, those who have seemed moderate since the previous year's Cheltenham Festival come into their own with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV ADV ADP ADV DET NOUN VERB VERB ADJ ADP DET ADJ NOUN PROPN PROPN VERB ADP ADJ ADJ ADP DET NOUN
Propaganda campaigns, class struggle, the cult of the model worker and even the almost evangelical rhetoric of the cold war are all back with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	NOUN NOUN NOUN NOUN DET NOUN ADP DET NOUN NOUN CCONJ ADV DET ADV ADJ NOUN ADP DET ADJ NOUN VERB ADV ADV ADP DET NOUN
Labour will punish them with a vengeance.’	0 0 0 0 1 0 1	with a vengeance	figurative	dashes	NOUN VERB VERB PRON ADP DET NOUN
If, if, if you can't, if you prefer to put a one there cross it out with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADP ADP ADP PRON VERB ADP PRON VERB PART VERB DET NOUN ADV VERB PRON PART ADP DET NOUN
It was the end of Ramadan and the Old City, funereal for the last month, had sprung back to life with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PRON VERB DET NOUN ADP PROPN CCONJ DET PROPN PROPN VERB ADP DET ADJ NOUN VERB VERB ADV ADP NOUN ADP DET NOUN
The glitter of mockery was back with a vengeance, with a darker glint of what could have been anger in his eyes carefully screened by a rakish smile.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN ADP NOUN VERB ADV ADP DET NOUN ADP DET ADJ NOUN ADP NOUN VERB VERB VERB NOUN ADP ADJ NOUN ADV VERB ADP DET ADJ NOUN
Suddenly everything was linked together in an effortless stream and the arrogant passing game returned to Anfield with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV NOUN VERB VERB ADV ADP DET ADJ NOUN CCONJ DET ADJ VERB NOUN VERB ADP PROPN ADP DET NOUN
Withdrawal from nicotine brings back with a vengeance the symptoms that the cigarettes were probably introduced to tackle : bad temper, poor concentration, and craving for sweet foods.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN ADP NOUN VERB PART ADP DET NOUN DET NOUN ADP DET NOUN VERB ADV VERB PART VERB PUNCT ADJ NOUN ADJ NOUN CCONJ VERB ADP ADJ NOUN
After almost three decades of wash ' n ' wear hair, the good old shampoo and set is back with a vengeance but this time it's easier to achieve and much kinder to your hair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADP ADV NUM NOUN ADP NOUN PUNCT CCONJ PUNCT NOUN NOUN DET ADJ ADJ NOUN CCONJ NOUN VERB ADV ADP DET NOUN CCONJ DET NOUN PRON ADJ PART VERB CCONJ ADJ ADJ ADP ADJ NOUN
He struck form with a vengeance towards the backend with easy wins at Ascot and Newbury and can outspeed Newton Point, an impressive winner here last month.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADP PROPN CCONJ PROPN CCONJ VERB VERB PROPN PROPN DET ADJ NOUN ADV ADJ NOUN
BALTIMORE -- Tuberculosis, one of the most deadly infectious diseases, is back with a vengeance, especially in Africa.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	with a vengeance	figurative	identical	PROPN PUNCT NOUN NUM ADP DET ADV ADJ ADJ NOUN VERB ADV ADP DET NOUN ADV ADP PROPN
Instead, the siege mentality towards the accompanying press party, that has wrecked morale on previous tours, notably the 1986 trip to the West Indies, has set in again with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV DET NOUN NOUN ADP DET ADJ NOUN NOUN ADJ VERB VERB NOUN ADP ADJ NOUN ADV DET NUM NOUN ADP DET PROPN PROPN VERB VERB PART ADV ADP DET NOUN
It was pitch dark and felt like the small hours ; there was no sound of traffic from the road at all, and he was on his own with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PRON VERB NOUN ADJ CCONJ VERB ADP DET ADJ NOUN PUNCT ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADV ADV CCONJ PRON VERB ADP ADJ ADJ ADP DET NOUN
— hit the bottle with a vengeance when the group made the big time.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PUNCT VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB DET ADJ NOUN
Faust plug back in and put the boot in with a vengeance.	0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN VERB PART ADV CCONJ VERB DET NOUN PART ADP DET NOUN
The Twilight War, as Chamberlain had dubbed it, was over with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET PROPN PROPN ADP PROPN VERB VERB PRON VERB ADV ADP DET NOUN
In his wish for a healthy city he was becoming more and more aware of rural virtues and leaning towards the sort of suspect organicism which would be developed with a vengeance by Leavis.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	with a vengeance	figurative	identical	ADP ADJ NOUN ADP DET ADJ NOUN PRON VERB VERB ADJ CCONJ ADV ADJ ADP ADJ NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN ADJ VERB VERB VERB ADP DET NOUN ADP PROPN
The back condition which troubled him sorely during the club's invaluable spring tour of Zimbabwe, returned with a vengeance and he was obliged to miss some cricket while under constant treatment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET ADJ NOUN ADJ VERB PRON ADV ADP DET NOUN ADJ NOUN NOUN ADP PROPN VERB ADP DET NOUN CCONJ PRON VERB VERB PART VERB DET NOUN ADP ADP ADJ NOUN
The daily national press took up the cause of sport with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET ADJ ADJ NOUN VERB PART DET NOUN ADP NOUN ADP DET NOUN
Is he aware that such cuts in academic research will prove to be economic short termism with vengeance?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	with a vengeance	figurative	deletion-determiner	VERB PRON ADJ ADP ADJ NOUN ADP ADJ NOUN VERB VERB PART VERB ADJ ADJ NOUN ADP NOUN
This is relativity with a vengeance, and many of us have felt than in a case like this the scales that Eliot measures by are not so much sliding as slithering.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET VERB NOUN ADP DET NOUN CCONJ ADJ ADP PRON VERB VERB ADP ADP DET NOUN ADP DET DET NOUN ADJ ADJ NOUN ADP VERB ADV ADV ADV VERB ADP VERB
Everard stood up, embarrassed by her lack of control ; the family trait had skipped him by, but it had surfaced in Kit with a vengeance, and of course, as he might have expected, been compounded in Kit's daughter by Astrid's capriciousness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN VERB PART VERB ADP ADJ NOUN ADP NOUN PUNCT DET NOUN NOUN VERB VERB PRON ADV CCONJ PRON VERB VERB ADP PROPN ADP DET NOUN CCONJ ADP NOUN ADP PRON VERB VERB VERB VERB VERB ADP PROPN NOUN ADP PROPN NOUN
PARIS – The German and French governments have been scrambling to save their automobile and truck industries though big fiscal injections, making it clear that, within much of the European ~ Union, industrial policy has returned with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN PUNCT DET ADJ CCONJ ADJ NOUN VERB VERB VERB PART VERB ADJ NOUN CCONJ NOUN NOUN ADP ADJ ADJ NOUN VERB PRON ADJ ADP ADP ADJ ADP DET PROPN PUNCT PROPN ADJ NOUN VERB VERB ADP DET NOUN
