Hemmings has, in fact, played a first - class game in the West Indies.	0 0 0 0 1 0 0 0 0 1 0 0 0 0	play games	literal	combined-inflection	PROPN VERB ADP NOUN VERB DET ADJ PUNCT NOUN NOUN ADP DET PROPN PROPN
Both games will be played under Australian floodlit rules with the teams wearing coloured clothing and using a white ball.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	misc	DET NOUN VERB VERB VERB ADP ADJ NOUN NOUN ADP DET NOUN VERB VERB NOUN CCONJ VERB DET ADJ NOUN
' I started this year as number three and now I 've played the biggest game of the season so far, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PUNCT PRON VERB DET NOUN ADP NOUN NUM CCONJ ADV PRON VERB VERB DET ADJ NOUN ADP DET NOUN ADV ADV PUNCT PRON VERB
' Silverstone is my home track so I will be playing my own game, on my own terms, on my own patch, ' said McNish.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PUNCT NOUN VERB ADJ NOUN NOUN ADP PRON VERB VERB VERB ADJ ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ ADJ NOUN PUNCT VERB ADJ
But as I 've never played this game before I didn't know the rules. '	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	play games	literal	combined-inflection	CCONJ ADP PRON VERB ADV VERB DET NOUN ADP PRON VERB VERB DET NOUN PUNCT
A child, who is young, is wearing a white coat and playing a game	0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	DET NOUN NOUN VERB ADJ VERB VERB DET ADJ NOUN CCONJ VERB DET NOUN
‘ You have to turn possession into goals and it's a worry because we 've played games this season — and this was another one — where we 've dominated and come away with nothing.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	PUNCT PRON VERB PART VERB NOUN ADP NOUN CCONJ PRON DET NOUN ADP PRON VERB VERB NOUN DET NOUN PUNCT CCONJ DET VERB DET NUM PUNCT ADV PRON VERB VERB CCONJ VERB ADV ADP ADJ
ULSTER 'S newest rugby club will play its first league game on September 18.	0 0 0 0 0 0 1 0 0 0 1 0 0 0	play games	literal	combined-inflection	PROPN PART ADJ NOUN NOUN VERB VERB ADJ ADJ NOUN NOUN ADP PROPN NUM
When you book you will be asked how many games you wish to play and how many people are to be playing.	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	play games	literal	misc	ADV PRON VERB PRON VERB VERB VERB ADV ADJ NOUN PRON VERB PART VERB CCONJ ADV ADJ NOUN VERB PART VERB VERB
I want to play a game where a noble, female, knight with the nickname of light - speed freely manipulates gravity.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PRON VERB PART VERB DET NOUN ADV DET ADJ ADJ NOUN ADP DET NOUN ADP ADJ PUNCT NOUN ADV VERB NOUN
She is playing a game with us, and playing it delightfully well.	0 0 1 0 1 0 0 0 0 0 0 0	play games	figurative	combined-inflection	PRON VERB VERB DET NOUN ADP PRON CCONJ VERB PRON ADV ADV
Do you want to play computer game?	0 0 0 0 1 0 1	play games	literal	combined-inflection	VERB PRON VERB PART VERB NOUN NOUN
Once both sides had revealed their hands there was no point carrying on playing the game.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	inflection	ADP DET NOUN VERB VERB ADJ NOUN ADV VERB DET NOUN VERB ADP VERB DET NOUN
Either they joined in with their adult workmates or they played children's games in the streets.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	play games	literal	combined-inflection	CCONJ PRON VERB PART ADP ADJ NOUN NOUN CCONJ PRON VERB NOUN NOUN ADP DET NOUN
Murray Howell, the Edinburgh Civil Service goalkeeper, will play his last games for the club this weekend in the European Cup Winners ' Cup B Division tournament at Swansea.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	insertion-other	PROPN PROPN DET PROPN PROPN PROPN NOUN VERB VERB ADJ ADJ NOUN ADP DET NOUN DET NOUN ADP DET PROPN PROPN PROPN PART PROPN PROPN PROPN NOUN ADP PROPN
All of this is necessary to decide on what game to play and who plays against whom.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	play games	literal	misc	DET ADP DET VERB ADJ PART VERB ADP ADJ NOUN PART VERB CCONJ NOUN VERB ADP NOUN
Oh yes, yes, I think we all need, even, even if, plain, life is full of playing games and the game can help you get through the day sometimes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	INTJ INTJ INTJ PRON VERB PRON DET VERB ADV ADV ADP ADJ NOUN VERB ADJ ADP VERB NOUN CCONJ DET NOUN VERB VERB PRON VERB ADP DET NOUN ADV
She stayed behind at the launch at London's City Livery Company to chat to organisers and watched youngsters play a word game using the dictionary.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	play games	literal	combined-inflection	PRON VERB ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PART VERB ADP NOUN CCONJ VERB NOUN VERB DET NOUN NOUN VERB DET NOUN
Though I spent my outdoor time playing any game I could, from cricket, tennis, football or boxing at the local gym, all my indoor time was spent buried in books.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	ADP PRON VERB ADJ ADJ NOUN VERB DET NOUN PRON VERB ADP NOUN NOUN NOUN CCONJ NOUN ADP DET ADJ NOUN DET ADJ ADJ NOUN VERB VERB VERB ADP NOUN
Monitor the RAM usage when you play the games.	0 0 0 0 0 0 1 0 1	play games	literal	inflection	VERB DET NOUN NOUN ADV PRON VERB DET NOUN
‘ I think you 're playing games with me,’ she said rather angrily.	0 0 0 0 0 1 1 0 0 0 0 0 0	play games	figurative	inflection	PUNCT PRON VERB PRON VERB VERB NOUN ADP NUM PRON VERB ADV ADV
If he plays games to while away the tedious time, thought Cadfael, he plays them by noble rules, even those he makes up as he goes.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	ADP PRON VERB NOUN PART ADP ADV DET ADJ NOUN VERB PROPN PRON VERB PRON ADP ADJ NOUN ADV DET PRON VERB PART ADP PRON VERB
Any processor will get hot when it's working hard, like playing a game.	0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	DET NOUN VERB VERB ADJ ADV PRON VERB ADV ADP VERB DET NOUN
The reader is both astonished and utterly convinced, as he is later on in the interview when Porfiry plays the dangerous game of saying he has got no real proof, he's going on hunch and ' psychology ' — so Raskolnikov had better confess.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	DET NOUN VERB DET VERB CCONJ ADV ADJ ADP PRON VERB ADV ADV ADP DET NOUN ADV PROPN VERB DET ADJ NOUN ADP VERB PRON VERB VERB DET ADJ NOUN PRON VERB ADP NOUN CCONJ PUNCT NOUN PUNCT PUNCT ADV PROPN VERB ADJ NOUN
However, to the system and its construction, with more about playing the game later on.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	play games	literal	inflection	ADV ADP DET NOUN CCONJ ADJ NOUN ADP ADJ ADP VERB DET NOUN ADV ADV
At the same time as they play this game, US policymakers ( both Democrats and Republicans ) demand that Vojislav ~ Kostunica, President of Yugoslavia, cooperate with the Hague Tribunal unconditionally.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	ADP DET ADJ NOUN ADP PRON VERB DET NOUN PROPN NOUN PUNCT CCONJ PROPN CCONJ PROPN PUNCT VERB ADP PROPN SYM PROPN PROPN ADP PROPN VERB ADP DET PROPN PROPN ADV
I 'm not going to play games or have secrets.	0 0 0 0 0 1 1 0 0 0	play games	figurative	identical	PRON VERB ADV VERB PART VERB NOUN CCONJ VERB NOUN
' Stop playing silly games and just accept my offer.	0 0 1 0 1 0 0 0 0 0	play games	figurative	combined-inflection	PUNCT VERB VERB ADJ NOUN CCONJ ADV VERB ADJ NOUN
This game is played by Brownies in Sweden.	0 1 0 1 0 0 0 0	play games	literal	misc	DET NOUN VERB VERB ADP PROPN ADP PROPN
The pack will pull the carcass apart, competing for the best of the kill, and Fido plays tug - of - war games, hoping to win the toy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0	play games	literal	combined-inflection	DET NOUN VERB VERB DET NOUN ADV VERB ADP DET ADJ ADP DET NOUN CCONJ PROPN VERB NOUN PUNCT ADP PUNCT NOUN NOUN VERB PART VERB DET NOUN
Can I play downloaded windows game on Mac?	0 0 1 0 0 1 0 0	play games	literal	combined-inflection	VERB PRON VERB VERB NOUN NOUN ADP PROPN
Leeds were forced to play that third game against German champions Stuttgart, when the Bundesliga outfit should have been kicked out of the competition for fielding an ineligible player.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN PROPN ADV DET PROPN NOUN VERB VERB VERB VERB ADP ADP DET NOUN ADP VERB DET ADJ NOUN
Ericson Atkins plays his first game for three weeks today when Yorkshire step into the seething cauldron of Redruth.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PROPN PROPN VERB ADJ ADJ NOUN ADP NUM NOUN NOUN ADV PROPN VERB ADP DET VERB ADV ADP PROPN
Behind the newly formed Lyles Golf Club, is Eddie Docherty, founder and Captain who has gathered together seven enthusiastic members of the company to play the game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	inflection	ADP DET ADV VERB PROPN PROPN PROPN VERB PROPN PROPN NOUN CCONJ PROPN NOUN VERB VERB ADV NUM ADJ NOUN ADP DET NOUN PART VERB DET NOUN
No matter when you come, I 'll play a game of Japanese chess with you.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	play games	literal	combined-inflection	ADV ADV ADV PRON VERB PRON VERB VERB DET NOUN ADP ADJ NOUN ADP PRON
A simple answer to the question is not possible since, in principle, you can always play most any game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	play games	literal	combined-inflection	DET ADJ NOUN ADP DET NOUN VERB ADV ADJ ADP ADP NOUN PRON VERB ADV VERB ADV DET NOUN
Tom hurt his left knee during practice, so John had to play the game in his place.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	play games	literal	inflection	PROPN VERB ADJ ADJ NOUN ADP NOUN ADV PROPN VERB PART VERB DET NOUN ADP ADJ NOUN
Why not boot from a lean ' n ' mean floppy system disk whenever you want to play a game on your PC?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	play games	literal	combined-inflection	ADV ADV VERB ADP DET ADJ PUNCT CCONJ PUNCT ADJ ADJ NOUN NOUN ADV PRON VERB PART VERB DET NOUN ADP ADJ NOUN
Jeffrey Archer likes playing games with journalists.	0 0 0 1 1 0 0	play games	figurative	inflection	PROPN PROPN VERB NOUN NOUN ADP NOUN
The second one - day game in Guyana was played against a background of uncertainty over whether Robin Jackman was about to be asked to vacate the premises.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	misc	DET ADJ NUM PUNCT NOUN NOUN ADP PROPN VERB VERB ADP DET NOUN ADP NOUN ADP ADP PROPN PROPN VERB ADJ PART VERB VERB PART VERB DET NOUN
Now it's gon na cost you a pound to play this game.	0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	ADV PRON VERB PART VERB PRON DET NOUN PART VERB DET NOUN
At least there was no travelling as all the games were played in Perth.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	play games	literal	misc	ADP ADJ ADV VERB DET NOUN ADP ADJ DET NOUN VERB VERB ADP PROPN
Please bring me a new central defender or two, preferably youngs ones who know how to play this footy type game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	play games	literal	combined-inflection	INTJ VERB PRON DET ADJ ADJ NOUN CCONJ NUM ADV NOUN NOUN NOUN VERB ADV PART VERB DET ADJ NOUN NOUN
Do you know, I once played a game of human chess against the Ottoman Emperor, Suleiman the Magnificent?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	VERB PRON VERB PRON ADV VERB DET NOUN ADP ADJ NOUN ADP DET PROPN PROPN PROPN DET PROPN
And I didn't think that you were into playing games.’	0 0 0 0 0 0 0 0 1 1	play games	figurative	combined-inflection	CCONJ PRON VERB VERB ADP PRON VERB ADP VERB PUNCT
I have an nvidia geforce gtx 670 and it black screens or crashes when I play games.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	play games	literal	identical	PRON VERB DET NOUN NOUN NOUN NUM CCONJ PRON ADJ NOUN CCONJ NOUN ADV PRON VERB NOUN
I mean, obviously we 've been playing this game for hours.	0 0 0 0 0 0 1 0 1 0 0	play games	literal	combined-inflection	PRON VERB ADV PRON VERB VERB VERB DET NOUN ADP NOUN
At night we would meet all the entertainment people and they would play games and music would be played.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	play games	literal	identical	ADP NOUN PRON VERB VERB ADJ DET NOUN NOUN CCONJ PRON VERB VERB NOUN CCONJ NOUN VERB VERB VERB
But his memory and creativity scores increased after playing the game, even though he was tired.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	play games	literal	inflection	CCONJ ADJ NOUN CCONJ NOUN NOUN VERB ADP VERB DET NOUN ADV ADP PRON VERB ADJ
I keep reading about South Africa's problems and it's getting daft ; here we face an international squad who have already played four Tests since returning to the world game and who have played 12 games together on tour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	play games	literal	combined-inflection	PRON VERB VERB ADP PROPN PROPN NOUN CCONJ PRON VERB NOUN PUNCT ADV PRON VERB DET ADJ NOUN NOUN VERB ADV VERB NUM NOUN ADP VERB ADP DET NOUN NOUN CCONJ NOUN VERB VERB NUM NOUN ADV ADP NOUN
He was at an age when he could be both inside himself and outside himself at the same time : he knew he was only playing a game, but the game still remained real to him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PRON VERB ADP DET NOUN ADV PRON VERB VERB DET ADP PRON CCONJ ADP PRON ADP DET ADJ NOUN PUNCT PRON VERB PRON VERB ADV VERB DET NOUN CCONJ DET NOUN ADV VERB ADJ ADP PRON
It was not like Jackson to refuse to play a game.	0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	PRON VERB ADV ADP PROPN PART VERB PART VERB DET NOUN
Even the bureaucrats involved took to playing games and devising ruses, for all the world like secret agents themselves.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	inflection	ADV DET NOUN VERB VERB ADP VERB NOUN CCONJ NOUN NOUN ADP ADJ DET NOUN ADP ADJ NOUN PRON
