The swimming is safe and very tempting in the lake's crystal clear waters.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET NOUN VERB ADJ CCONJ ADV ADJ ADP DET NOUN NOUN ADJ NOUN	▁The ▁swimming ▁is ▁safe ▁and ▁very ▁tempt ing ▁in ▁the ▁lake ' s ▁crystal ▁clear ▁waters .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET NOUN VERB ADJ CCONJ ADV ADJ ADJ ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN
The squall moved rapidly away, fading into the distance like a memory, leaving behind it crystal - clear air and a freshly washed sky the colour of forget - me - nots.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	DET NOUN VERB ADV ADV VERB ADP DET NOUN ADP DET NOUN VERB ADP PRON NOUN PUNCT ADJ NOUN CCONJ DET ADV VERB NOUN DET NOUN ADP VERB PUNCT PRON PUNCT NOUN	▁The ▁squa ll ▁moved ▁rapidly ▁away , ▁f ading ▁into ▁the ▁distance ▁like ▁a ▁memory , ▁leaving ▁behind ▁it ▁crystal ▁- ▁clear ▁air ▁and ▁a ▁fresh ly ▁washed ▁sky ▁the ▁colour ▁of ▁forget ▁- ▁me ▁- ▁not s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADV ADV ADV VERB VERB ADP DET NOUN ADP DET NOUN NOUN VERB ADP PRON NOUN PUNCT ADJ NOUN CCONJ DET ADV ADV VERB NOUN DET NOUN ADP VERB PUNCT PRON PUNCT NOUN NOUN NOUN
At the beginning of his next performance his voice was crystal clear, being completely free from the previous defects.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADP DET NOUN ADP ADJ ADJ NOUN ADJ NOUN VERB NOUN ADJ VERB ADV ADJ ADP DET ADJ NOUN	▁At ▁the ▁beginning ▁of ▁his ▁next ▁performance ▁his ▁voice ▁was ▁crystal ▁clear , ▁being ▁completely ▁free ▁from ▁the ▁previous ▁defects .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADP DET NOUN ADP ADJ ADJ NOUN ADJ NOUN VERB NOUN ADJ ADJ VERB ADV ADJ ADP DET ADJ NOUN NOUN
If it is crystal clear and I am convicted of being in my dotage or of going on at half - cock then I shall ask British Telecom to accept my apologies wince at the thought of my next bill, and keep my nose clean.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADP PRON VERB NOUN ADJ CCONJ PRON VERB VERB ADP VERB ADP ADJ NOUN CCONJ ADP VERB PART ADP ADJ PUNCT NOUN ADV PRON VERB VERB PROPN PROPN PART VERB ADJ NOUN NOUN ADP DET NOUN ADP ADJ ADJ NOUN CCONJ VERB ADJ NOUN ADJ	▁If ▁it ▁is ▁crystal ▁clear ▁and ▁I ▁am ▁convicted ▁of ▁being ▁in ▁my ▁do t age ▁or ▁of ▁going ▁on ▁at ▁half ▁- ▁ cock ▁then ▁I ▁shall ▁ask ▁British ▁Telecom ▁to ▁accept ▁my ▁apologies ▁win ce ▁at ▁the ▁thought ▁of ▁my ▁next ▁bill , ▁and ▁keep ▁my ▁nose ▁clean .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB NOUN ADJ CCONJ PRON VERB VERB ADP VERB ADP ADJ NOUN NOUN NOUN CCONJ ADP VERB PART ADP ADJ PUNCT NOUN NOUN ADV PRON VERB VERB PROPN PROPN PART VERB ADJ NOUN NOUN NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN CCONJ VERB ADJ NOUN ADJ ADJ
The path through the still narrowing gorge by now had frequent ladders and sometimes chains so we could steady ourselves as we climbed crystal clear waterfalls — some stopped in motion, still under the all - encompassing spell of the powerful winter ice.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN ADP DET ADV VERB NOUN ADP ADV VERB ADJ NOUN CCONJ ADV NOUN ADP PRON VERB VERB PRON ADP PRON VERB NOUN ADJ NOUN PUNCT DET VERB ADP NOUN ADV ADP DET ADV PUNCT VERB NOUN ADP DET ADJ NOUN NOUN	▁The ▁path ▁through ▁the ▁still ▁narrow ing ▁go rge ▁by ▁now ▁had ▁frequent ▁ladder s ▁and ▁sometimes ▁chains ▁so ▁we ▁could ▁steady ▁ourselves ▁as ▁we ▁climb ed ▁crystal ▁clear ▁water fall s ▁ — ▁some ▁stopped ▁in ▁motion , ▁still ▁under ▁the ▁all ▁- ▁encompass ing ▁spell ▁of ▁the ▁powerful ▁winter ▁ice .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET ADV VERB VERB NOUN NOUN ADP ADV VERB ADJ NOUN NOUN CCONJ ADV NOUN ADP PRON VERB VERB PRON ADP PRON VERB VERB NOUN ADJ NOUN NOUN NOUN PUNCT PUNCT DET VERB ADP NOUN NOUN ADV ADP DET ADV PUNCT VERB VERB NOUN ADP DET ADJ NOUN NOUN NOUN
The sun was shining, the water a deep indigo - blue and the air so crystal clear that it seemed as though I could stretch out my hand and touch the gleaming white of Sarmiento far to the south - east in Tierra del Fuego.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN VERB VERB DET NOUN DET ADJ NOUN PUNCT ADJ CCONJ DET NOUN ADV NOUN ADJ ADP PRON VERB ADP ADP PRON VERB VERB PART ADJ NOUN CCONJ VERB DET VERB NOUN ADP PROPN ADV ADP DET ADJ PUNCT NOUN ADP PROPN PROPN PROPN	▁The ▁sun ▁was ▁sh in ing , ▁the ▁water ▁a ▁deep ▁indi go ▁- ▁blue ▁and ▁the ▁air ▁so ▁crystal ▁clear ▁that ▁it ▁seemed ▁as ▁though ▁I ▁could ▁stretch ▁out ▁my ▁hand ▁and ▁touch ▁the ▁g lea ming ▁white ▁of ▁S arm ient o ▁far ▁to ▁the ▁south ▁- ▁east ▁in ▁Tier ra ▁del ▁Fu ego .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB VERB VERB VERB DET NOUN DET ADJ NOUN NOUN PUNCT ADJ CCONJ DET NOUN ADV NOUN ADJ ADP PRON VERB ADP ADP PRON VERB VERB PART ADJ NOUN CCONJ VERB DET VERB VERB VERB NOUN ADP PROPN PROPN PROPN PROPN ADV ADP DET ADJ PUNCT NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
Some incidents from my childhood are crystal clear, others are just a dim memory.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN ADP ADJ NOUN VERB NOUN ADJ NOUN VERB ADV DET ADJ NOUN	▁Some ▁incidents ▁from ▁my ▁childhood ▁are ▁crystal ▁clear , ▁others ▁are ▁just ▁a ▁di m ▁memory .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADP ADJ NOUN VERB NOUN ADJ ADJ NOUN VERB ADV DET ADJ ADJ NOUN NOUN
The message to the Kremlin here would be crystal clear.	0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	DET NOUN ADP DET PROPN ADV VERB VERB NOUN ADJ	▁The ▁message ▁to ▁the ▁K rem lin ▁here ▁would ▁be ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 1 1 1	DET NOUN ADP DET PROPN PROPN PROPN ADV VERB VERB NOUN ADJ ADJ
The service began, human voices mingling in pure bright harmony, like looking into a crystal - clear mountain stream.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	crystal clear	figurative	dashes	DET NOUN VERB ADJ NOUN VERB ADP ADJ ADJ NOUN ADP VERB ADP DET NOUN PUNCT ADJ NOUN NOUN	▁The ▁service ▁began , ▁human ▁voice s ▁m ing ling ▁in ▁pure ▁bright ▁harmony , ▁like ▁looking ▁into ▁a ▁crystal ▁- ▁clear ▁mountain ▁stream .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	DET NOUN VERB VERB ADJ NOUN NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN ADP VERB ADP DET NOUN PUNCT ADJ NOUN NOUN NOUN
It all rests upon a possible impressionableness in me, and relies a good deal on mystery or mist., The allegory in ‘ Shadows of the Hills’ is crystal - clear, in spite of the involved style : ‘ For Nature took him and held him fast like a jealous lover …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	PRON DET VERB ADP DET ADJ NOUN ADP PRON CCONJ VERB DET ADJ NOUN ADP NOUN CCONJ NOUN DET NOUN ADP PUNCT NOUN ADP DET PROPN VERB NOUN PUNCT ADJ ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT ADP NOUN VERB PRON CCONJ VERB PRON ADV ADP DET ADJ NOUN PUNCT	▁It ▁all ▁rests ▁upon ▁a ▁possible ▁impression able ness ▁in ▁me , ▁and ▁relies ▁a ▁good ▁deal ▁on ▁my s tery ▁or ▁m ist . , ▁The ▁all eg ory ▁in ▁ ‘ ▁Sha dow s ▁of ▁the ▁Hill s ’ ▁is ▁crystal ▁- ▁clear , ▁in ▁spite ▁of ▁the ▁involved ▁style ▁ : ▁ ‘ ▁For ▁Nature ▁took ▁him ▁and ▁held ▁him ▁fast ▁like ▁a ▁jealous ▁l over ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON DET VERB ADP DET ADJ NOUN NOUN NOUN ADP PRON PRON CCONJ VERB DET ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN ADP PUNCT PUNCT NOUN NOUN NOUN ADP DET PROPN PROPN PROPN VERB NOUN PUNCT ADJ ADJ ADP NOUN ADP DET ADJ NOUN PUNCT PUNCT PUNCT PUNCT ADP NOUN VERB PRON CCONJ VERB PRON ADV ADP DET ADJ NOUN NOUN PUNCT
Secretary of State John ~ Kerry said : “ I think we ’ve made it crystal clear ~ we would prefer that Russia was not supplying assistance. ”	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PROPN ADP PROPN PROPN PUNCT PROPN VERB PUNCT PUNCT PRON VERB PRON VERB VERB PRON NOUN ADJ PUNCT PRON VERB VERB ADP PROPN VERB ADV VERB NOUN PUNCT	▁Secretary ▁of ▁State ▁John ▁ ~ ▁Kerr y ▁said ▁ : ▁ “ ▁I ▁think ▁we ▁ ’ ve ▁made ▁it ▁crystal ▁clear ▁ ~ ▁we ▁would ▁prefer ▁that ▁Russia ▁was ▁not ▁supplying ▁assistance . ▁ ”	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN ADP PROPN PROPN PUNCT PUNCT PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB PRON VERB VERB VERB VERB PRON NOUN ADJ PUNCT PUNCT PRON VERB VERB ADP PROPN VERB ADV VERB NOUN NOUN PUNCT PUNCT
The fabliau through which Pearcy approaches this point, Connebert, is crystal clear in its poetic justice, with a lecherous priest being forced to castrate himself.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN ADP ADJ PROPN VERB DET NOUN PROPN VERB NOUN ADJ ADP ADJ ADJ NOUN ADP DET ADJ NOUN VERB VERB PART VERB PRON	▁The ▁fa b lia u ▁through ▁which ▁Pear cy ▁approaches ▁this ▁point , ▁C onne bert , ▁is ▁crystal ▁clear ▁in ▁its ▁poet ic ▁justice , ▁with ▁a ▁le cher ous ▁priest ▁being ▁forced ▁to ▁cast rate ▁himself .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADP ADJ PROPN PROPN VERB DET NOUN NOUN PROPN PROPN PROPN PROPN VERB NOUN ADJ ADP ADJ ADJ ADJ NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB VERB PART VERB VERB PRON PRON
I began to hum and before I knew it, a tidal wave of crystal - clear sound swept my voice to hitherto undiscovered heights and depths, racing through tunnels of octaves until the sound wasn't my own and my ears heard a stranger singing.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	PRON VERB PART VERB CCONJ ADP PRON VERB PRON DET ADJ NOUN ADP NOUN PUNCT ADJ NOUN VERB ADJ NOUN PART ADV ADJ NOUN CCONJ NOUN VERB ADP NOUN ADP NOUN ADP DET NOUN VERB ADJ ADJ CCONJ ADJ NOUN VERB DET NOUN NOUN	▁I ▁began ▁to ▁hum ▁and ▁before ▁I ▁knew ▁it , ▁a ▁t idal ▁wave ▁of ▁crystal ▁- ▁clear ▁sound ▁swept ▁my ▁voice ▁to ▁hitherto ▁un discover ed ▁height s ▁and ▁depth s , ▁racing ▁through ▁tunnels ▁of ▁octa ves ▁until ▁the ▁sound ▁was n ' t ▁my ▁own ▁and ▁my ▁ears ▁heard ▁a ▁stranger ▁s ing ing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB CCONJ ADP PRON VERB PRON PRON DET ADJ ADJ NOUN ADP NOUN PUNCT ADJ NOUN VERB ADJ NOUN PART ADV ADJ ADJ ADJ NOUN NOUN CCONJ NOUN NOUN NOUN VERB ADP NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB VERB VERB ADJ ADJ CCONJ ADJ NOUN VERB DET NOUN NOUN NOUN NOUN NOUN
He gave a stimulating programme ranging from the crystal clear Partita No 1 of Bach, through Schubert and Schumann to the 20th century Berg and Prokofiev.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB DET NOUN NOUN VERB ADP DET NOUN ADJ PROPN NOUN NUM ADP PROPN ADP PROPN CCONJ PROPN ADP DET ADJ NOUN PROPN CCONJ PROPN	▁He ▁gave ▁a ▁stimulating ▁programme ▁ranging ▁from ▁the ▁crystal ▁clear ▁Part ita ▁No ▁1 ▁of ▁B ach , ▁through ▁Sch uber t ▁and ▁Schuman n ▁to ▁the ▁20 th ▁century ▁Berg ▁and ▁Pro k of iev .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN NOUN VERB ADP DET NOUN ADJ PROPN PROPN NOUN NUM ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADP DET ADJ ADJ NOUN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
As prescriptions they are crystal clear.	0 0 0 0 1 1	crystal clear	figurative	identical	ADP NOUN PRON VERB NOUN ADJ	▁As ▁prescriptions ▁they ▁are ▁crystal ▁clear .	0 0 0 0 1 1 1	ADP NOUN PRON VERB NOUN ADJ ADJ
You can cruise down the Rhine, you can take a train up a mountain, drive through the Black Forest, visit a vineyard and wine cellar, dine on the many different regional delicacies, go dancing in discos or inns, swim in a crystal - clear lake or stroll around some of Europe's most majestic cities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	PRON VERB VERB PART DET PROPN PRON VERB VERB DET NOUN PART DET NOUN VERB ADP DET PROPN PROPN VERB DET NOUN CCONJ NOUN NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB VERB ADP NOUN CCONJ NOUN VERB ADP DET NOUN PUNCT ADJ NOUN CCONJ VERB ADP DET ADP PROPN ADV ADJ NOUN	▁You ▁can ▁cruise ▁down ▁the ▁Rhine , ▁you ▁can ▁take ▁a ▁train ▁up ▁a ▁mountain , ▁drive ▁through ▁the ▁Black ▁Forest , ▁visit ▁a ▁vineyard ▁and ▁wine ▁cell ar , ▁ dine ▁on ▁the ▁many ▁different ▁regional ▁del ica cies , ▁go ▁d ancing ▁in ▁disc os ▁or ▁in ns , ▁sw im ▁in ▁a ▁crystal ▁- ▁clear ▁lake ▁or ▁st roll ▁around ▁some ▁of ▁Europe ' s ▁most ▁ma je s tic ▁cities .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART DET PROPN PROPN PRON VERB VERB DET NOUN PART DET NOUN NOUN VERB ADP DET PROPN PROPN PROPN VERB DET NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN NOUN VERB VERB VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN VERB VERB ADP DET NOUN PUNCT ADJ NOUN CCONJ VERB VERB ADP DET ADP PROPN PROPN PROPN ADV ADJ ADJ ADJ ADJ NOUN NOUN
This short passage makes crystal - clear the role of the aristocracy in Carolingian politics, and explains why Charles now and later worked so hard to carry his followers with him.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	DET ADJ NOUN VERB NOUN PUNCT ADJ DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB ADV PROPN ADV CCONJ ADV VERB ADV ADV PART VERB ADJ NOUN ADP PRON	▁This ▁short ▁passage ▁makes ▁crystal ▁- ▁clear ▁the ▁role ▁of ▁the ▁ arist oc racy ▁in ▁Carolin g ian ▁politics , ▁and ▁explains ▁why ▁Charles ▁now ▁and ▁later ▁worked ▁so ▁hard ▁to ▁carry ▁his ▁follow ers ▁with ▁him .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB NOUN PUNCT ADJ DET NOUN ADP DET NOUN NOUN NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN CCONJ VERB ADV PROPN ADV CCONJ ADV VERB ADV ADV PART VERB ADJ NOUN NOUN ADP PRON PRON
now you 're crystal clear?	0 0 0 1 1	crystal clear	figurative	identical	ADV PRON VERB NOUN ADJ	▁now ▁you ▁' re ▁crystal ▁clear ?	0 0 0 0 1 1 1	ADV PRON VERB VERB NOUN ADJ ADJ
Island - hopping by coconut timber dhotis is the way the natives travel ; for guests to the Maldives this opens up a world of coves gently lapped by crystal - clear waters, underwater coral mazes and watersporting opportunities — alternatives to basking on the shores of an isolated stretch of sand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	NOUN PUNCT VERB ADP NOUN NOUN NOUN VERB DET NOUN DET NOUN VERB PUNCT ADP NOUN ADP DET NOUN DET VERB PART DET NOUN ADP NOUN ADV VERB ADP NOUN PUNCT ADJ NOUN ADJ NOUN NOUN CCONJ VERB NOUN PUNCT NOUN ADP VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN	▁Island ▁- ▁ hopping ▁by ▁coconut ▁timber ▁d hot is ▁is ▁the ▁way ▁the ▁native s ▁travel ▁ ; ▁for ▁guest s ▁to ▁the ▁Mal di ves ▁this ▁opens ▁up ▁a ▁world ▁of ▁co ves ▁gently ▁la pped ▁by ▁crystal ▁- ▁clear ▁waters , ▁underwater ▁coral ▁m aze s ▁and ▁waters port ing ▁opportunities ▁ — ▁alternatives ▁to ▁bas king ▁on ▁the ▁shore s ▁of ▁an ▁isolated ▁stretch ▁of ▁sand .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT VERB VERB ADP NOUN NOUN NOUN NOUN NOUN VERB DET NOUN DET NOUN NOUN VERB PUNCT PUNCT ADP NOUN NOUN ADP DET NOUN NOUN NOUN DET VERB PART DET NOUN ADP NOUN NOUN ADV VERB VERB ADP NOUN PUNCT ADJ NOUN NOUN ADJ NOUN NOUN NOUN NOUN CCONJ VERB VERB VERB NOUN PUNCT PUNCT NOUN ADP VERB VERB ADP DET NOUN NOUN ADP DET ADJ NOUN ADP NOUN NOUN
Aye, I 'm crystal clear.	0 0 0 1 1	crystal clear	figurative	identical	INTJ PRON VERB NOUN ADJ	▁Aye , ▁I ▁' m ▁crystal ▁clear .	0 0 0 0 0 1 1 1	INTJ INTJ PRON VERB VERB NOUN ADJ ADJ
Whichever, but one thing was crystal - clear and shining brightly through all the confusion : she wasn't going to let herself fall in love with Luke Calder.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	ADJ CCONJ NUM NOUN VERB NOUN PUNCT ADJ CCONJ VERB ADV ADP ADJ DET NOUN PUNCT PRON VERB VERB PART VERB PRON VERB ADP NOUN ADP PROPN PROPN	▁Which ever , ▁but ▁one ▁thing ▁was ▁crystal ▁- ▁clear ▁and ▁sh in ing ▁bright ly ▁through ▁all ▁the ▁confusion ▁ : ▁she ▁was n ' t ▁going ▁to ▁let ▁herself ▁fall ▁in ▁love ▁with ▁L uke ▁Cal der .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ CCONJ NUM NOUN VERB NOUN PUNCT ADJ CCONJ VERB VERB VERB ADV ADV ADP ADJ DET NOUN PUNCT PUNCT PRON VERB VERB VERB VERB VERB PART VERB PRON VERB ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN
I am confident that those results will pass a crystal clear judgment that people are afraid of the Labour party in London.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB ADJ ADP DET NOUN VERB VERB DET NOUN ADJ NOUN ADP NOUN VERB ADJ ADP DET PROPN NOUN ADP PROPN	▁I ▁am ▁confident ▁that ▁those ▁results ▁will ▁pass ▁a ▁crystal ▁clear ▁judgment ▁that ▁people ▁are ▁afraid ▁of ▁the ▁Labour ▁party ▁in ▁London .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP DET NOUN VERB VERB DET NOUN ADJ NOUN ADP NOUN VERB ADJ ADP DET PROPN NOUN ADP PROPN PROPN
By writing a precis you boil a passage down to its essentials, and the meaning should then be crystal clear!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	ADP VERB DET NOUN PRON VERB DET NOUN ADV ADP ADJ NOUN CCONJ DET NOUN VERB ADV VERB NOUN ADJ	▁By ▁writing ▁a ▁pre cis ▁you ▁b oil ▁a ▁passage ▁down ▁to ▁its ▁essential s , ▁and ▁the ▁meaning ▁should ▁then ▁be ▁crystal ▁clear !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP VERB DET NOUN NOUN PRON VERB VERB DET NOUN ADV ADP ADJ NOUN NOUN NOUN CCONJ DET NOUN VERB ADV VERB NOUN ADJ ADJ
Careful restoration work had turned the once polluted waters of the river crystal clear, and created a thriving breeding ground for fish.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADJ NOUN NOUN VERB VERB DET ADV VERB NOUN ADP DET NOUN NOUN ADJ CCONJ VERB DET ADJ NOUN NOUN ADP NOUN	▁Careful ▁restoration ▁work ▁had ▁turned ▁the ▁once ▁polluted ▁waters ▁of ▁the ▁river ▁crystal ▁clear , ▁and ▁created ▁a ▁thr iv ing ▁breeding ▁ground ▁for ▁fish .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN VERB VERB DET ADV VERB NOUN ADP DET NOUN NOUN ADJ ADJ CCONJ VERB DET ADJ ADJ ADJ NOUN NOUN ADP NOUN NOUN
carps at, my, my cousin, they 're really weird, you go to feed them, they come to the top, oh the water stays crystal clear	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	NOUN ADP INTJ ADJ NOUN PRON VERB ADV ADJ PRON VERB PART VERB PRON PRON VERB ADP DET NOUN INTJ DET NOUN VERB NOUN ADJ	▁carp s ▁at , ▁my , ▁my ▁co us in , ▁they ▁' re ▁really ▁we ir d , ▁you ▁go ▁to ▁feed ▁them , ▁they ▁come ▁to ▁the ▁top , ▁ oh ▁the ▁water ▁stay s ▁crystal ▁clear	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	NOUN NOUN ADP ADP INTJ INTJ ADJ NOUN NOUN NOUN NOUN PRON VERB VERB ADV ADJ ADJ ADJ ADJ PRON VERB PART VERB PRON PRON PRON VERB ADP DET NOUN NOUN INTJ INTJ DET NOUN VERB VERB NOUN ADJ
