‘ I couldn't have broken her heart.	0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADJ NOUN
‘ Kenton Ward is like our second home and it would break our hearts if it closed.’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT PROPN PROPN VERB ADP ADJ ADJ NOUN CCONJ PRON VERB VERB ADJ NOUN ADP PRON PUNCT
‘ But to be honest it has broken my heart to leave Bangor.	0 0 0 0 0 0 0 1 1 1 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT CCONJ PART VERB ADJ PRON VERB VERB ADJ NOUN PART VERB PROPN
It often breaks her great big heart when she to me doth say,	0 0 1 1 0 0 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV VERB ADJ ADJ ADJ NOUN ADV PRON ADP PRON NOUN VERB
It would break her heart.	0 0 1 1 1	break someone's heart	figurative	possessive	PRON VERB VERB ADJ NOUN
Yeah, and I said erm, and I said that weren't, if that wasn't enough I said bearing in mind he 'd just come out of intensive care off a life support machine, I said and which I think that, that tells us that he needs a bit of extra care compared to some of them on the ward, I said I know they 're all important and I know you 're busy but I said I think you should 've had a bit of priority, he was dying, and you know he's dying, you 'd been told, she said yes that's right, I said but what really broke my bloody heart was from one o'clock that dinner time he sat in that chair, we left that hospital at half past eight and you assured us he 'd go to bed and when we came in the next morning at half past ten Joy he sat there exactly the bloody same, in the same filthy blanket and the same catheter on him, oh I went fucking mad and I said how dare you, I said because somebody's told they 're dying does that mean they 've got to be forgot?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	INTJ CCONJ PRON VERB INTJ CCONJ PRON VERB DET VERB ADP DET VERB ADJ PRON VERB VERB ADP NOUN PRON VERB ADV VERB ADP ADP ADJ NOUN ADP DET NOUN NOUN NOUN PRON VERB CCONJ ADJ PRON VERB ADP DET VERB PRON ADP PRON VERB DET NOUN ADP ADJ NOUN VERB ADP DET ADP PRON ADP DET NOUN PRON VERB PRON VERB PRON VERB ADV ADJ CCONJ PRON VERB PRON VERB ADJ CCONJ PRON VERB PRON VERB PRON VERB VERB VERB DET NOUN ADP NOUN PRON VERB VERB CCONJ PRON VERB PRON VERB PRON VERB VERB VERB PRON VERB INTJ DET ADJ PRON VERB CCONJ NOUN ADV VERB ADJ ADJ NOUN VERB ADP NUM NOUN ADP NOUN NOUN PRON VERB ADP DET NOUN PRON VERB DET NOUN ADP NOUN ADJ NUM CCONJ PRON VERB PRON PRON VERB VERB ADP NOUN CCONJ ADV PRON VERB ADP DET ADJ NOUN ADP NOUN ADJ NUM PROPN PRON VERB ADV ADV DET ADJ ADJ ADP DET ADJ ADJ NOUN CCONJ DET ADJ NOUN ADP PRON INTJ PRON VERB INTJ ADJ CCONJ PRON VERB ADV VERB PRON PRON VERB ADP NOUN VERB PRON VERB VERB VERB DET VERB PRON VERB VERB PART VERB VERB
Frankly, it won't break my heart if we don't see them at all.’	0 0 0 1 1 1 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	ADV PRON VERB VERB ADJ NOUN ADP PRON VERB VERB PRON ADP NOUN
I know he's doing God's work, but it will break my heart to see him leave!’ and she broke down in tears.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	PRON VERB PRON VERB PROPN NOUN CCONJ PRON VERB VERB ADJ NOUN PART VERB PRON ADV CCONJ PRON VERB PART ADP NOUN
‘ But the thing that breaks my heart’, the curator continued, ‘ is that there were books on board and, of course, the sea's only left indecipherable leather spines. …	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT CCONJ DET NOUN ADJ VERB ADJ NOUN DET NOUN VERB PUNCT VERB ADP ADV VERB NOUN ADP NOUN CCONJ ADP NOUN DET NOUN ADV ADJ ADJ NOUN NOUN PUNCT
Well, if I can't have Heathcliff as my friend, if Edgar is going to be mean and jealous, I 'll try to break both their hearts by breaking my own.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	break someone's heart	literal	combined-inflection	INTJ ADP PRON VERB VERB PROPN ADP ADJ NOUN ADP PROPN VERB VERB PART VERB ADJ CCONJ ADJ PRON VERB VERB PART VERB CCONJ ADJ NOUN ADP VERB ADJ ADJ
It broke my heart, I just couldn't leave them.	0 1 1 1 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN PRON ADV VERB VERB PRON
But you broke my heart once, crushed me into the dirt.	0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	CCONJ PRON VERB ADJ NOUN ADV VERB PRON ADP DET NOUN
I haven't broken your heart, you 've broken it!	0 0 1 1 1 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB ADJ NOUN PRON VERB VERB PRON
It broke her heart.	0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN
It is Miss Havisham's way of getting her revenge on the male sex as it was a man who broke her heart, all those years ago, when she was abandoned on the day of her wedding.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB PROPN PROPN NOUN ADP VERB ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB DET NOUN NOUN VERB ADJ NOUN ADJ DET NOUN ADV ADV PRON VERB VERB ADP DET NOUN ADP ADJ NOUN
She would never let him know that he had broken her heart.	0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADV VERB PRON VERB ADP PRON VERB VERB ADJ NOUN
Her voice, muffled by the cushion in which she had hidden her face, was so despairing that it almost broke his heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	ADJ NOUN VERB ADP DET NOUN ADP ADJ PRON VERB VERB ADJ NOUN VERB ADV ADJ ADP PRON ADV VERB ADJ NOUN
It broke her heart.’	0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN
These empty women make me sick and their neglected kids break my heart.’	0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET ADJ NOUN VERB PRON ADJ CCONJ ADJ VERB NOUN VERB ADJ NOUN
It would break her heart to have to go away, even to be wife to a king.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	PRON VERB VERB ADJ NOUN PART VERB PART VERB ADV ADV PART VERB NOUN ADP DET NOUN
' Go on, my love, ' she used to whisper in Estella's ear, ' break men's hearts and have no mercy!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT VERB PART ADJ NOUN PUNCT PRON VERB PART VERB ADP PROPN NOUN PUNCT VERB NOUN NOUN CCONJ VERB DET NOUN
‘ The thought that he had come to that state of despair would break my heart.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP NOUN VERB VERB ADJ NOUN
He's very naughty and breaks everyone's heart — don't you darling — but we all love him. '	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV ADJ CCONJ VERB NOUN NOUN PUNCT VERB PRON NOUN PUNCT CCONJ PRON DET VERB PRON PUNCT
But her acknowledgement of her feelings for him was still new, and even while wanting to be with him she felt nervous, terrified that by some small look or too - ready smile she might give away her feelings — that she didn't want to say that goodbye — and that to do so would break her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	CCONJ ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADV ADJ CCONJ ADV ADP VERB PART VERB ADP PRON PRON VERB ADJ ADJ ADP ADP DET ADJ NOUN CCONJ ADV PUNCT ADJ NOUN PRON VERB VERB PART ADJ NOUN PUNCT ADP PRON VERB VERB PART VERB ADP NOUN PUNCT CCONJ DET PART VERB ADV VERB VERB ADJ NOUN
A day of celebration and a day of tragedy, one superimposed upon the other, so that Amabel, who did not even wish to be rational, found it easy to believe that Ben Braithwaite had broken not only Linnet's heart, but Gemma's.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0	break someone's heart	figurative	combined-inflection	DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PRON VERB ADP DET ADJ ADP ADP PROPN NOUN VERB ADV ADV VERB PART VERB ADJ VERB PRON ADJ PART VERB ADP PROPN PROPN VERB VERB ADV ADV PROPN NOUN CCONJ PROPN
But if you marry that woman, you will break my heart.	0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	CCONJ ADP PRON VERB DET NOUN PRON VERB VERB ADJ NOUN
There was no point in being sweet and understanding and breaking her heart all over again about it.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADV VERB DET NOUN ADP VERB ADJ CCONJ VERB CCONJ VERB ADJ NOUN ADV ADV ADV ADP PRON
For this surely would have broken his heart — he loved us so much.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADP DET ADV VERB VERB VERB ADJ NOUN PUNCT PRON VERB PRON ADV ADV
She had always resented Luke, and feared the way he made her feel — because she must have sensed from the beginning the power he could and did have over her ; because he had deprived her of himself when he had had her dismissed from that very first job back in South Africa ; because something had led him to misjudge and despise her, and he was unable to see the truth ; because she had always known that he could break her heart …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	break someone's heart	figurative	possessive	PRON VERB ADV VERB PROPN CCONJ VERB DET NOUN PRON VERB ADJ VERB PUNCT ADP PRON VERB VERB VERB ADP DET VERB DET NOUN PRON VERB CCONJ VERB VERB ADP PRON PUNCT ADP PRON VERB VERB PRON ADP PRON ADV PRON VERB VERB PRON VERB ADP DET ADV ADJ NOUN ADV ADP PROPN PROPN PUNCT ADP NOUN VERB VERB PRON PART VERB CCONJ VERB PRON CCONJ PRON VERB ADJ PART VERB DET NOUN PUNCT ADP PRON VERB ADV VERB ADP PRON VERB VERB ADJ NOUN PUNCT
Senator Norris said : ' There is no doubt she broke Joyce's heart. '	0 0 0 0 0 0 0 0 0 0 1 1 1 0	break someone's heart	figurative	combined-inflection	PROPN PROPN VERB PUNCT PUNCT ADV VERB DET NOUN PRON VERB PROPN NOUN PUNCT
‘ This breaks my heart and makes me very, very angry.’	0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT DET VERB ADJ NOUN CCONJ VERB PRON ADV ADV ADP
Breaks my heart to part with them but I am going to live abroad and can not take them with me.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	VERB ADJ NOUN PART NOUN ADP PRON CCONJ PRON VERB VERB PART VERB ADV CCONJ VERB ADV VERB PRON ADP PRON
You 'll break all the girl's hearts — if you haven't done so already. '	0 0 1 0 0 1 1 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB ADJ DET NOUN NOUN PUNCT ADP PRON VERB VERB ADV ADV PUNCT
Please please please my darling girl come home you are breaking your mother's heart.	0 0 0 0 0 0 0 0 0 0 1 0 1 1	break someone's heart	figurative	combined-inflection	INTJ INTJ INTJ ADJ NOUN NOUN VERB ADV PRON VERB VERB ADJ NOUN NOUN
A terrible, impersonal courtesy had crept into Luke's manner, and it was breaking Maria's heart all over again.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	break someone's heart	figurative	combined-inflection	DET ADJ ADJ NOUN VERB VERB ADP PROPN NOUN CCONJ PRON VERB VERB PROPN NOUN ADV ADV ADV
‘ It will break my heart if I had to give my little girl up.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	PUNCT PRON VERB VERB ADJ NOUN ADP PRON VERB PART VERB ADJ ADJ NOUN PART
And when the frantic, plunging ride was over, ecstasy a fading quiver of memory and her swollen lips no longer muttering his name over and over in a delirium of rapture, he broke her heart all over again by moving right away from her, the distance between them, now that passion was spent once more, saying everything about their relationship.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	CCONJ ADV DET ADJ VERB NOUN VERB ADV VERB DET VERB NOUN ADP NOUN CCONJ ADJ ADJ NOUN ADV ADV VERB ADJ NOUN ADV CCONJ ADV ADP DET NOUN ADP NOUN PRON VERB ADJ NOUN ADV ADV ADV ADP VERB ADV ADV ADP PRON DET NOUN ADP PRON ADV DET NOUN VERB VERB ADV ADJ VERB NOUN ADP ADJ NOUN
‘ I broke my heart over him when he went to the shop,’ said Cis.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB ADJ NOUN ADP PRON ADV PRON VERB ADP DET PROPN VERB PROPN
How fond he had been of darling Mou - Mou … it broke Mummy's heart to have her put down, but it was the kindest thing to do ….	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADV ADJ PRON VERB VERB ADP VERB PROPN PUNCT PROPN PUNCT PRON VERB PROPN NOUN PART VERB ADJ VERB PART CCONJ PRON VERB DET ADJ NOUN PART VERB PUNCT
Sometimes I think that girl will break his heart.’	0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	ADV PRON VERB ADP NOUN VERB VERB ADJ NOUN
I gave up women because they were breaking my heart.’	0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB PART NOUN ADP PRON VERB VERB ADJ NOUN
