She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN	▁She ▁smile d ▁again , ▁which ▁Mark ▁again ▁returned , ▁even ▁though ▁he ▁was ▁not ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV ADJ PROPN ADV VERB VERB ADV ADP PRON VERB ADV ADP DET NOUN NOUN
But there was more to it than that : as the only daughter and elder sister to Nathan and Matthew, she had become far more involved in the running of the household, and had been witness to her mother's frequent pregnancies, miscarriages and confinements.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	CCONJ ADV VERB ADJ ADP PRON ADP DET PUNCT ADP DET ADJ NOUN CCONJ ADJ NOUN ADP PROPN CCONJ PROPN PRON VERB VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN CCONJ VERB VERB NOUN ADP ADJ NOUN ADJ NOUN NOUN CCONJ NOUN	▁But ▁there ▁was ▁more ▁to ▁it ▁than ▁that ▁ : ▁as ▁the ▁only ▁daughter ▁and ▁e lder ▁sister ▁to ▁Na than ▁and ▁Mat the w , ▁she ▁had ▁become ▁far ▁more ▁involved ▁in ▁the ▁running ▁of ▁the ▁household , ▁and ▁had ▁been ▁witness ▁to ▁her ▁mother ' s ▁frequent ▁pregnancies , ▁mis car ri ages ▁and ▁confinement s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV VERB ADJ ADP PRON ADP DET PUNCT PUNCT ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PRON VERB VERB ADV ADV ADJ ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB VERB NOUN ADP ADJ NOUN NOUN NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN
By authorising force, the UN did not get itself a say in the running of the war.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADP VERB NOUN DET PROPN VERB ADV VERB PRON DET NOUN ADP DET NOUN ADP DET NOUN	▁By ▁authorising ▁force , ▁the ▁UN ▁did ▁not ▁get ▁itself ▁a ▁say ▁in ▁the ▁running ▁of ▁the ▁war .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADP VERB NOUN NOUN DET PROPN VERB ADV VERB PRON DET NOUN ADP DET NOUN ADP DET NOUN NOUN
from north of the border Joe Jordan could be in the running … he's at Celtic at the moment but was looking for a chance to return to English football …	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP NOUN ADP DET NOUN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON ADP ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN PUNCT	▁from ▁north ▁of ▁the ▁border ▁Jo e ▁Jordan ▁could ▁be ▁in ▁the ▁running ▁... ▁he ' s ▁at ▁Cel tic ▁at ▁the ▁moment ▁but ▁was ▁looking ▁for ▁a ▁chance ▁to ▁return ▁to ▁English ▁f ootball ▁...	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP DET NOUN PROPN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON PRON PRON ADP ADJ ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN NOUN PUNCT
Students ' Book develops situations in the running of a small company ; workbook introduces additional practice.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NOUN PART NOUN VERB NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN ADJ NOUN	▁Students ▁' ▁Book ▁develops ▁situations ▁in ▁the ▁running ▁of ▁a ▁small ▁company ▁ ; ▁work book ▁introduces ▁additional ▁practice .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PART NOUN VERB NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT PUNCT ADJ ADJ NOUN ADJ NOUN NOUN
Racing : Shellac still in the running	0 0 0 0 1 0 1	in the running	figurative	identical	VERB PUNCT PROPN ADV ADP DET NOUN	▁R ac ing ▁ : ▁Shell ac ▁still ▁in ▁the ▁running	0 0 0 0 0 0 0 0 1 0 1	VERB VERB VERB PUNCT PUNCT PROPN PROPN ADV ADP DET NOUN
An attempt by Daily Mail journalists to broaden the paper's political coverage of the 1983 election was rejected on the grounds that only the editor was responsible for content and that outside pressure, if only from an organization's own journalists, amounted to interference in the running of that organization.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	DET NOUN ADP PROPN PROPN NOUN PART VERB DET NOUN ADJ NOUN ADP DET NUM NOUN VERB VERB ADP DET NOUN ADP ADV DET NOUN VERB ADJ ADP NOUN CCONJ ADP ADJ NOUN ADP ADV ADP DET NOUN ADJ NOUN VERB ADP NOUN ADP DET NOUN ADP DET NOUN	▁An ▁attempt ▁by ▁Daily ▁Mail ▁journalists ▁to ▁broaden ▁the ▁paper ' s ▁political ▁coverage ▁of ▁the ▁1983 ▁election ▁was ▁rejected ▁on ▁the ▁grounds ▁that ▁only ▁the ▁editor ▁was ▁responsible ▁for ▁content ▁and ▁that ▁outside ▁pressure , ▁if ▁only ▁from ▁an ▁organization ' s ▁own ▁journalists , ▁amounted ▁to ▁interference ▁in ▁the ▁running ▁of ▁that ▁organization .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	DET NOUN ADP PROPN PROPN NOUN PART VERB DET NOUN NOUN NOUN ADJ NOUN ADP DET NUM NOUN VERB VERB ADP DET NOUN ADP ADV DET NOUN VERB ADJ ADP NOUN CCONJ ADP ADJ NOUN NOUN ADP ADV ADP DET NOUN NOUN NOUN ADJ NOUN NOUN VERB ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
One can do that if one can identify excessive profits, wage levels which depend on restricting access to labour markets and gross inefficiency in the running of government enterprises.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PRON VERB VERB DET ADP PRON VERB VERB ADJ NOUN NOUN NOUN ADJ VERB ADP VERB NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP NOUN NOUN	▁One ▁can ▁do ▁that ▁if ▁one ▁can ▁identify ▁excessive ▁profits , ▁wage ▁levels ▁which ▁depend ▁on ▁restrict ing ▁access ▁to ▁labour ▁markets ▁and ▁gross ▁in efficiency ▁in ▁the ▁running ▁of ▁government ▁enterprises .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB VERB DET ADP PRON VERB VERB ADJ NOUN NOUN NOUN NOUN ADJ VERB ADP VERB VERB NOUN ADP ADJ NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN ADP NOUN NOUN NOUN
Howard thinks Marler is in the running for his job.’	0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	PROPN VERB PROPN VERB ADP DET NOUN ADP ADJ NOUN	▁How ard ▁thinks ▁Mar ler ▁is ▁in ▁the ▁running ▁for ▁his ▁job . ’	0 0 0 0 0 0 1 0 1 0 0 0 0 0	PROPN PROPN VERB PROPN PROPN VERB ADP DET NOUN ADP ADJ NOUN NOUN NOUN
The central presupposition in this model is not the atomic individual, but a non - human abstracted ruling interest or public policy, for example that of efficiency in the running of a transport system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	DET ADJ NOUN ADP DET NOUN VERB ADV DET ADJ NOUN CCONJ DET ADJ PUNCT NOUN VERB VERB NOUN CCONJ ADJ NOUN ADP NOUN DET ADP NOUN ADP DET NOUN ADP DET NOUN NOUN	▁The ▁central ▁pre s up position ▁in ▁this ▁model ▁is ▁not ▁the ▁at omic ▁individual , ▁but ▁a ▁non ▁- ▁human ▁abstract ed ▁ruling ▁interest ▁or ▁public ▁policy , ▁for ▁example ▁that ▁of ▁efficiency ▁in ▁the ▁running ▁of ▁a ▁transport ▁system .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET ADJ NOUN NOUN NOUN NOUN ADP DET NOUN VERB ADV DET ADJ ADJ NOUN NOUN CCONJ DET ADJ PUNCT NOUN VERB VERB VERB NOUN CCONJ ADJ NOUN NOUN ADP NOUN DET ADP NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
But it also guaranteed Fields equal say in the running of the company, by the expedient of comprising the board of four directors.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	CCONJ PRON ADV VERB NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP VERB DET NOUN ADP NUM NOUN	▁But ▁it ▁also ▁guaranteed ▁Field s ▁equal ▁say ▁in ▁the ▁running ▁of ▁the ▁company , ▁by ▁the ▁expedient ▁of ▁comprising ▁the ▁board ▁of ▁four ▁directors .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON ADV VERB NOUN NOUN ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP VERB DET NOUN ADP NUM NOUN NOUN
Nevertheless the Foreign Office in London and British diplomats in Washington, unlike those directly involved in the running of the empire, were increasingly persuaded that the Americans might prove less impatient and dogmatic than their rhetoric suggested.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV DET PROPN PROPN ADP PROPN CCONJ ADJ NOUN ADP PROPN ADP DET ADV VERB ADP DET NOUN ADP DET NOUN VERB ADV VERB ADP DET PROPN VERB VERB ADV ADJ CCONJ ADJ ADP ADJ NOUN VERB	▁Nevertheless ▁the ▁Foreign ▁Office ▁in ▁London ▁and ▁British ▁diplomats ▁in ▁Washington , ▁unlike ▁those ▁directly ▁involved ▁in ▁the ▁running ▁of ▁the ▁empire , ▁were ▁increasingly ▁persuaded ▁that ▁the ▁Americans ▁might ▁prove ▁less ▁im patient ▁and ▁dog matic ▁than ▁their ▁rhe toric ▁suggested .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET PROPN PROPN ADP PROPN CCONJ ADJ NOUN ADP PROPN PROPN ADP DET ADV VERB ADP DET NOUN ADP DET NOUN NOUN VERB ADV VERB ADP DET PROPN VERB VERB ADV ADJ ADJ CCONJ ADJ ADJ ADP ADJ NOUN NOUN VERB VERB
Wolfenden was commissioned not by the state but by the Central Council of Physical Recreation ( CCPR ), which had been set up in 1935 as a co - ordinating body for the many voluntary associations involved in the running of sport.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	figurative	identical	PROPN VERB VERB ADV ADP DET NOUN CCONJ ADP DET PROPN PROPN ADP PROPN PROPN PUNCT PROPN PUNCT ADJ VERB VERB VERB PART ADP NUM ADP DET NOUN PUNCT VERB NOUN ADP DET ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN	▁Wolf end en ▁was ▁commissioned ▁not ▁by ▁the ▁state ▁but ▁by ▁the ▁Central ▁Council ▁of ▁Physical ▁Re creation ▁( ▁CCP R ▁ ), ▁which ▁had ▁been ▁set ▁up ▁in ▁19 35 ▁as ▁a ▁co ▁- ▁ ordinating ▁body ▁for ▁the ▁many ▁voluntary ▁associations ▁involved ▁in ▁the ▁running ▁of ▁sport .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PROPN PROPN PROPN VERB VERB ADV ADP DET NOUN CCONJ ADP DET PROPN PROPN ADP PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PUNCT ADJ VERB VERB VERB PART ADP NUM NUM ADP DET NOUN PUNCT VERB VERB NOUN ADP DET ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN NOUN
Among the aims of school boards, introduced into the Scottish educational system in 1989, was giving parents and other members of the community closer involvement in the running of schools.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	literal	identical	ADP DET NOUN ADP NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP NUM VERB VERB NOUN CCONJ ADJ NOUN ADP DET NOUN ADJ NOUN ADP DET NOUN ADP NOUN	▁Among ▁the ▁aims ▁of ▁school ▁boards , ▁introduced ▁into ▁the ▁Scottish ▁educational ▁system ▁in ▁1989, ▁was ▁giving ▁parents ▁and ▁other ▁members ▁of ▁the ▁community ▁closer ▁involvement ▁in ▁the ▁running ▁of ▁schools .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP DET NOUN ADP NOUN NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP NUM VERB VERB NOUN CCONJ ADJ NOUN ADP DET NOUN ADJ NOUN ADP DET NOUN ADP NOUN NOUN
They are also going strong in the running for a League and Irish Cup double.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	PRON VERB ADV VERB ADJ ADP DET NOUN ADP DET PROPN CCONJ PROPN PROPN ADJ	▁They ▁are ▁also ▁going ▁strong ▁in ▁the ▁running ▁for ▁a ▁League ▁and ▁Irish ▁C up ▁double .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB ADJ ADP DET NOUN ADP DET PROPN CCONJ PROPN PROPN PROPN ADJ ADJ
from north of the border Joe Jordan could be in the running … he's at Celtic at the moment but was looking for a chance to return to English football …	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP NOUN ADP DET NOUN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON ADP ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN PUNCT	▁from ▁north ▁of ▁the ▁border ▁Jo e ▁Jordan ▁could ▁be ▁in ▁the ▁running ▁... ▁he ' s ▁at ▁Cel tic ▁at ▁the ▁moment ▁but ▁was ▁looking ▁for ▁a ▁chance ▁to ▁return ▁to ▁English ▁f ootball ▁...	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADP DET NOUN PROPN PROPN PROPN VERB VERB ADP DET NOUN PUNCT PRON PRON PRON ADP ADJ ADJ ADP DET NOUN CCONJ VERB VERB ADP DET NOUN PART VERB ADP ADJ NOUN NOUN PUNCT
There are plans to establish a Duck Raising Association so that local farmers can participate in the running of the plants.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV VERB NOUN PART VERB DET PROPN PROPN PROPN ADP ADP ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN	▁There ▁are ▁plans ▁to ▁establish ▁a ▁D uck ▁Rais ing ▁Association ▁so ▁that ▁local ▁farmers ▁can ▁participate ▁in ▁the ▁running ▁of ▁the ▁plants .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV VERB NOUN PART VERB DET PROPN PROPN PROPN PROPN PROPN ADP ADP ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN
Statistically, half of them are women, and that third of the world's population is only now beginning to feel that they have a say in the running of their lives.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV NOUN ADP PRON VERB NOUN CCONJ ADP ADJ ADP DET NOUN NOUN VERB ADV ADV VERB PART VERB ADP PRON VERB DET NOUN ADP DET NOUN ADP ADJ NOUN	▁Statistical ly , ▁half ▁of ▁them ▁are ▁women , ▁and ▁that ▁third ▁of ▁the ▁world ' s ▁population ▁is ▁only ▁now ▁beginning ▁to ▁feel ▁that ▁they ▁have ▁a ▁say ▁in ▁the ▁running ▁of ▁their ▁lives .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV ADV ADV NOUN ADP PRON VERB NOUN NOUN CCONJ ADP ADJ ADP DET NOUN NOUN NOUN NOUN VERB ADV ADV VERB PART VERB ADP PRON VERB DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN
Beccaria's ideas had been fated to win great praise but achieve less by way of practical influence in the running of penal systems.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PROPN NOUN VERB VERB VERB PART VERB ADJ NOUN CCONJ VERB ADJ ADP NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN	▁Be cc aria ' s ▁ideas ▁had ▁been ▁fat ed ▁to ▁win ▁great ▁praise ▁but ▁achieve ▁less ▁by ▁way ▁of ▁practical ▁influence ▁in ▁the ▁running ▁of ▁penal ▁systems .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB PART VERB ADJ NOUN CCONJ VERB ADJ ADP NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN
They said they were warned yesterday that the Washington area centre would also be privatised if there were any problems in its running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	literal	determiner-broad	PRON VERB PRON VERB VERB NOUN ADP DET PROPN NOUN NOUN VERB ADV VERB VERB ADP ADV VERB DET NOUN ADP ADJ NOUN	▁They ▁said ▁they ▁were ▁warned ▁yesterday ▁that ▁the ▁Washington ▁area ▁centre ▁would ▁also ▁be ▁privatised ▁if ▁there ▁were ▁any ▁problems ▁in ▁its ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB PRON VERB VERB NOUN ADP DET PROPN NOUN NOUN VERB ADV VERB VERB ADP ADV VERB DET NOUN ADP ADJ NOUN NOUN
Comedians Vic Reeves, Russ Abbot and John Cleese are also in the running for nominations, to be chosen on Monday.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADV ADP DET NOUN ADP NOUN PART VERB VERB ADP PROPN	▁Com ed ians ▁V ic ▁Re e ves , ▁Ru s s ▁Ab bot ▁and ▁John ▁C le ese ▁are ▁also ▁in ▁the ▁running ▁for ▁nomination s , ▁to ▁be ▁chosen ▁on ▁Monday .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP NOUN NOUN NOUN PART VERB VERB ADP PROPN PROPN
Although Xcelerated Systems Inc may have beaten it to Hewlett - Packard Co's door ( UX No 396 ), now that it has settled its difference with Apple Computer Inc ( UX No 393 ), Quorum Software Systems Inc is back in the running with its Latitude Mac - on - Unix solution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP PROPN PROPN PROPN VERB VERB VERB PRON ADP PROPN PUNCT PROPN PROPN NOUN PUNCT PROPN DET NUM PUNCT ADV ADP PRON VERB VERB ADJ NOUN ADP PROPN PROPN PROPN PUNCT PROPN INTJ NUM PUNCT PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP ADJ PROPN PROPN PUNCT ADP PUNCT PROPN NOUN	▁Although ▁X cel er ated ▁Systems ▁Inc ▁may ▁have ▁beat en ▁it ▁to ▁He wl ett ▁- ▁Pack ard ▁Co ' s ▁door ▁( ▁ UX ▁No ▁3 96 ▁ ), ▁now ▁that ▁it ▁has ▁settled ▁its ▁difference ▁with ▁Apple ▁Computer ▁Inc ▁( ▁ UX ▁No ▁393 ▁ ), ▁Qu or um ▁ Software ▁Systems ▁Inc ▁is ▁back ▁in ▁the ▁running ▁with ▁its ▁La titude ▁Mac ▁- ▁on ▁- ▁Un ix ▁solution .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB VERB PRON ADP PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PROPN NOUN PUNCT PROPN PROPN DET NUM NUM PUNCT PUNCT ADV ADP PRON VERB VERB ADJ NOUN ADP PROPN PROPN PROPN PUNCT PROPN PROPN INTJ NUM PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP ADJ PROPN PROPN PROPN PUNCT ADP PUNCT PROPN PROPN NOUN NOUN
Dan was not even in the running any more.	0 0 0 0 1 0 1 0 0	in the running	figurative	identical	PROPN VERB ADV ADV ADP DET VERB DET ADV	▁Dan ▁was ▁not ▁even ▁in ▁the ▁running ▁any ▁more .	0 0 0 0 1 0 1 0 0 0	PROPN VERB ADV ADV ADP DET VERB DET ADV ADV
At the level of the political organization of the state by fostering workers ' democracy and direct participation by the masses in the running of the state.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP VERB NOUN PART NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN	▁At ▁the ▁level ▁of ▁the ▁political ▁organization ▁of ▁the ▁state ▁by ▁fostering ▁workers ▁' ▁democracy ▁and ▁direct ▁participation ▁by ▁the ▁masses ▁in ▁the ▁running ▁of ▁the ▁state .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP VERB NOUN PART NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN
There is a tendency for group leaders to interfere too much in the running of the group, often anxious about the group not going well, with too many silences, or not being sufficiently helpful.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV VERB DET NOUN ADP NOUN NOUN PART VERB ADV ADJ ADP DET NOUN ADP DET NOUN ADV ADJ ADP DET NOUN ADV VERB ADV ADP ADV ADJ NOUN CCONJ ADV VERB ADV ADJ	▁There ▁is ▁a ▁tendency ▁for ▁group ▁leaders ▁to ▁interfere ▁too ▁much ▁in ▁the ▁running ▁of ▁the ▁group , ▁often ▁anxious ▁about ▁the ▁group ▁not ▁going ▁well , ▁with ▁too ▁many ▁silence s , ▁or ▁not ▁being ▁sufficiently ▁helpful .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN ADP NOUN NOUN PART VERB ADV ADJ ADP DET NOUN ADP DET NOUN NOUN ADV ADJ ADP DET NOUN ADV VERB ADV ADV ADP ADV ADJ NOUN NOUN NOUN CCONJ ADV VERB ADV ADJ ADJ
