Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN	▁Most ly ▁she ▁deals ▁with ▁moral ▁issues , ▁though ▁some ▁are ▁topical ▁or ▁ ‘ ▁tongue ▁in ▁che ek ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADV PRON VERB ADP ADJ NOUN NOUN ADP DET VERB ADJ CCONJ PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN
‘ I suppose you 'll be off to Colonel Murchison's this afternoon with this weather and all?’ he said, with tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PUNCT PRON VERB PRON VERB VERB ADP ADP PROPN PROPN DET NOUN ADP DET NOUN CCONJ PROPN PRON VERB ADP NOUN ADP NOUN	▁ ‘ ▁I ▁suppose ▁you ▁' ll ▁be ▁off ▁to ▁Colonel ▁Mur ch ison ' s ▁this ▁afternoon ▁with ▁this ▁weather ▁and ▁all ? ’ ▁he ▁said , ▁with ▁tongue ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB PRON VERB VERB VERB ADP ADP PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN ADP DET NOUN CCONJ PROPN PROPN PROPN PRON VERB VERB ADP NOUN ADP NOUN NOUN NOUN
The winning nomination, sent in be the school's assistant headteacher, Mrs. Brenda Hart, was a tongue - in - cheek statement that everyone worked together as a friendly and cheerful team to uphold school standards in spite of Government directives and the pressures of society!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB NOUN VERB PART VERB DET NOUN ADJ NOUN PROPN PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN NOUN ADP NOUN VERB ADV ADP DET ADJ CCONJ ADJ NOUN PART VERB NOUN NOUN ADP NOUN ADP PROPN NOUN CCONJ DET NOUN ADP NOUN	▁The ▁winning ▁nomination , ▁sent ▁in ▁be ▁the ▁school ' s ▁assistant ▁head teacher , ▁Mrs . ▁Br enda ▁Har t , ▁was ▁a ▁tongue ▁- ▁in ▁- ▁che ek ▁statement ▁that ▁everyone ▁worked ▁together ▁as ▁a ▁friendly ▁and ▁che er ful ▁team ▁to ▁uphold ▁school ▁standards ▁in ▁spite ▁of ▁Government ▁directives ▁and ▁the ▁pressures ▁of ▁society !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB NOUN NOUN VERB PART VERB DET NOUN NOUN NOUN ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP NOUN VERB ADV ADP DET ADJ CCONJ ADJ ADJ ADJ NOUN PART VERB NOUN NOUN ADP NOUN ADP PROPN NOUN CCONJ DET NOUN ADP NOUN NOUN
' No, you should be all right, ' he agreed, his smile still in place, ' but you 'd best leave after lunch tomorrow to give yourself plenty of time — just in case you get side - tracked,'he added, tongue - in - cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	tongue in cheek	figurative	dashes	PUNCT INTJ PRON VERB VERB ADV ADJ PUNCT PRON VERB ADJ NOUN ADV ADP NOUN PUNCT CCONJ PRON VERB ADV VERB ADP NOUN NOUN PART VERB PRON NOUN ADP NOUN PUNCT ADV ADP NOUN PRON VERB NOUN PUNCT PROPN VERB NOUN PUNCT ADP PUNCT NOUN	▁' ▁No , ▁you ▁should ▁be ▁all ▁right , ▁' ▁he ▁agreed , ▁his ▁smile ▁still ▁in ▁place , ▁' ▁but ▁you ▁' d ▁best ▁leave ▁after ▁lunch ▁tomorrow ▁to ▁give ▁yourself ▁plenty ▁of ▁time ▁ — ▁just ▁in ▁case ▁you ▁get ▁side ▁- ▁track ed , ' he ▁added , ▁tongue ▁- ▁in ▁- ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1	PUNCT INTJ INTJ PRON VERB VERB ADV ADJ ADJ PUNCT PRON VERB VERB ADJ NOUN ADV ADP NOUN NOUN PUNCT CCONJ PRON VERB VERB ADV VERB ADP NOUN NOUN PART VERB PRON NOUN ADP NOUN PUNCT PUNCT ADV ADP NOUN PRON VERB NOUN PUNCT PROPN PROPN PROPN PROPN PROPN VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN NOUN
The late Ian Fleming did not have a monopoly in tongue - in - cheek, humorous adventures about secret agents, but a novelist might commit the tort of passing - off if he changes his name to Ian Fleming or uses the name James Bond or the 007 code in his novel.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ PROPN PROPN VERB ADV VERB DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN VERB VERB DET NOUN ADP VERB PUNCT NOUN ADP PRON VERB ADJ NOUN ADP PROPN PROPN CCONJ VERB DET NOUN PROPN PROPN CCONJ DET NUM NOUN ADP ADJ NOUN	▁The ▁late ▁I an ▁Fle ming ▁did ▁not ▁have ▁a ▁monopoly ▁in ▁tongue ▁- ▁in ▁- ▁che ek , ▁hum or ous ▁adventure s ▁about ▁secret ▁agents , ▁but ▁a ▁novel ist ▁might ▁commit ▁the ▁to rt ▁of ▁passing ▁- ▁off ▁if ▁he ▁changes ▁his ▁name ▁to ▁I an ▁Fle ming ▁or ▁uses ▁the ▁name ▁James ▁Bond ▁or ▁the ▁007 ▁code ▁in ▁his ▁novel .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ PROPN PROPN PROPN PROPN VERB ADV VERB DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADJ ADJ ADJ NOUN NOUN ADP ADJ NOUN NOUN CCONJ DET NOUN NOUN VERB VERB DET NOUN NOUN ADP VERB PUNCT NOUN ADP PRON VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN CCONJ VERB DET NOUN PROPN PROPN CCONJ DET NUM NOUN ADP ADJ NOUN NOUN
Mark Morris's Canonic 3/4 Studies however, a lively ensemble work, was full of tongue - in - cheek wit with plenty of jokes that depended on clever timing or neat contrasts between popular romantic music and unexpectedly awkward steps.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN PROPN NUM PROPN ADV DET ADJ ADJ NOUN VERB ADJ ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADP NOUN ADP NOUN ADJ VERB ADP ADJ NOUN CCONJ ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADV ADJ NOUN	▁Mark ▁Morris ' s ▁Can onic ▁3 /4 ▁Studies ▁however , ▁a ▁live ly ▁ ense mble ▁work , ▁was ▁full ▁of ▁tongue ▁- ▁in ▁- ▁che ek ▁wit ▁with ▁plenty ▁of ▁joke s ▁that ▁depend ed ▁on ▁clever ▁timing ▁or ▁ne at ▁contrast s ▁between ▁popular ▁ro man tic ▁music ▁and ▁unexpected ly ▁awkward ▁steps .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN NUM NUM PROPN ADV ADV DET ADJ ADJ ADJ ADJ ADJ NOUN NOUN VERB ADJ ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP NOUN ADP NOUN NOUN ADJ VERB VERB ADP ADJ NOUN CCONJ ADJ ADJ NOUN NOUN ADP ADJ ADJ ADJ ADJ NOUN CCONJ ADV ADV ADJ NOUN NOUN
Elijah Moshinsky directs with a light touch ( though not always quite as light as it should be ), and Saul Radomsky's tongue - in - cheek sets are a constant source of pleasure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN PROPN VERB ADP DET ADJ NOUN PUNCT ADP ADV ADV ADV ADV NOUN ADP PRON VERB VERB PUNCT CCONJ PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN VERB DET ADJ NOUN ADP NOUN	▁Eli jah ▁Mos hin sky ▁direct s ▁with ▁a ▁light ▁touch ▁( ▁though ▁not ▁always ▁quite ▁as ▁light ▁as ▁it ▁should ▁be ▁ ), ▁and ▁Saul ▁Ra dom sky ' s ▁tongue ▁- ▁in ▁- ▁che ek ▁sets ▁are ▁a ▁constant ▁source ▁of ▁pleasure .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB VERB ADP DET ADJ NOUN PUNCT ADP ADV ADV ADV ADV NOUN ADP PRON VERB VERB PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN NOUN VERB DET ADJ NOUN ADP NOUN NOUN
However, the fact that men did sing soprano seriously at this time, in combination with the text of this récit which on the surface is not ridiculous, although it certainly could be performed tongue - in - cheek opens the door to doubts about the style of performance the role demands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET NOUN ADP NOUN VERB NOUN NOUN ADV ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADJ ADP DET NOUN VERB ADV ADJ ADP PRON ADV VERB VERB VERB NOUN PUNCT ADP PUNCT NOUN VERB DET NOUN PART NOUN ADP DET NOUN ADP NOUN DET NOUN NOUN	▁However , ▁the ▁fact ▁that ▁men ▁did ▁s ing ▁so pra no ▁seriously ▁at ▁this ▁time , ▁in ▁combination ▁with ▁the ▁text ▁of ▁this ▁ré cit ▁which ▁on ▁the ▁surface ▁is ▁not ▁ridiculous , ▁although ▁it ▁certainly ▁could ▁be ▁performed ▁tongue ▁- ▁in ▁- ▁che ek ▁opens ▁the ▁door ▁to ▁doubts ▁about ▁the ▁style ▁of ▁performance ▁the ▁role ▁demands .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN ADP NOUN VERB NOUN NOUN NOUN NOUN NOUN ADV ADP DET NOUN NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN ADJ ADP DET NOUN VERB ADV ADJ ADJ ADP PRON ADV VERB VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN VERB DET NOUN PART NOUN ADP DET NOUN ADP NOUN DET NOUN NOUN NOUN
Then she will ask if they have a label for their music and Richard Fm — the bald one who sings — will say ‘ St Michael’ before his brother chips in with the episode's one almost serious observation, saying, of their success : ‘ I think it's because we play with our tongues in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	inflection	ADV PRON VERB VERB ADP PRON VERB DET NOUN ADP ADJ NOUN CCONJ PROPN PROPN PUNCT DET ADJ NUM NOUN VERB PUNCT VERB VERB PUNCT PROPN PROPN ADP ADJ NOUN VERB ADP ADP DET NOUN NUM ADV ADJ NOUN VERB ADP ADJ NOUN PUNCT PUNCT PRON VERB PRON ADP PRON VERB ADP ADJ NOUN ADP NOUN	▁Then ▁she ▁will ▁ask ▁if ▁they ▁have ▁a ▁label ▁for ▁their ▁music ▁and ▁Richard ▁F m ▁ — ▁the ▁bal d ▁one ▁who ▁s ing s ▁ — ▁will ▁say ▁ ‘ ▁St ▁Michael ’ ▁before ▁his ▁brother ▁chips ▁in ▁with ▁the ▁episode ' s ▁one ▁almost ▁serious ▁observation , ▁saying , ▁of ▁their ▁success ▁ : ▁ ‘ ▁I ▁think ▁it ' s ▁because ▁we ▁play ▁with ▁our ▁tongue s ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV PRON VERB VERB ADP PRON VERB DET NOUN ADP ADJ NOUN CCONJ PROPN PROPN PROPN PUNCT PUNCT DET ADJ ADJ NUM NOUN VERB VERB VERB PUNCT PUNCT VERB VERB PUNCT PUNCT PROPN PROPN PROPN ADP ADJ NOUN VERB ADP ADP DET NOUN NOUN NOUN NUM ADV ADJ NOUN NOUN VERB VERB ADP ADJ NOUN PUNCT PUNCT PUNCT PUNCT PRON VERB PRON PRON PRON ADP PRON VERB ADP ADJ NOUN NOUN ADP NOUN NOUN NOUN
Customers will understand that his comments were made ‘ tongue in cheek’, he now says.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ NOUN ADP NOUN PRON ADV VERB	▁Customer s ▁will ▁understand ▁that ▁his ▁comments ▁were ▁made ▁ ‘ ▁tongue ▁in ▁che ek ’ , ▁he ▁now ▁says .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0	NOUN NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN PRON ADV VERB VERB
Tongue - in - cheek, the captain of tiny Tabard revealed : ' I 'm ready for Wayne — I 've seen him on television.	1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	combined-other	NOUN PUNCT ADP PUNCT NOUN DET NOUN ADP ADJ PROPN VERB PUNCT PUNCT PRON NOUN ADJ ADP PROPN PUNCT PRON VERB VERB PRON ADP NOUN	▁Tongue ▁- ▁in ▁- ▁che ek , ▁the ▁captain ▁of ▁tiny ▁Tab ard ▁revealed ▁ : ▁' ▁I ▁' m ▁ready ▁for ▁Way ne ▁ — ▁I ▁' ve ▁seen ▁him ▁on ▁television .	1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT ADP PUNCT NOUN NOUN NOUN DET NOUN ADP ADJ PROPN PROPN VERB PUNCT PUNCT PUNCT PRON NOUN NOUN ADJ ADP PROPN PROPN PUNCT PUNCT PRON VERB VERB VERB PRON ADP NOUN NOUN
We are called upon to make such statements in all sorts of circumstances in our constituencies and sometimes we do it slightly with tongue in cheek, but I can genuinely make such a statement about many homes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB VERB ADP PART VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADV PRON VERB PRON ADV ADP NOUN ADP NOUN CCONJ PRON VERB ADV VERB ADJ DET NOUN ADP ADJ NOUN	▁We ▁are ▁called ▁upon ▁to ▁make ▁such ▁statements ▁in ▁all ▁sorts ▁of ▁circumstances ▁in ▁our ▁constituencies ▁and ▁sometimes ▁we ▁do ▁it ▁slightly ▁with ▁tongue ▁in ▁che ek , ▁but ▁I ▁can ▁genuine ly ▁make ▁such ▁a ▁statement ▁about ▁many ▁homes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PART VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADV PRON VERB PRON ADV ADP NOUN ADP NOUN NOUN NOUN CCONJ PRON VERB ADV ADV VERB ADJ DET NOUN ADP ADJ NOUN NOUN
The range of subject matter is, as always, extensive ; the Melbourne Cricket Ground, a history of Durham CC, the evolution of fast bowling, Gooch's milestone of 7,000 Test runs, the participation in cricket of women in Victorian England and a tongue - in - cheek press report from the year 2045 mentioning the 54 Tests played in the calendar year, striped uniforms for each of the four umpires, and stiletto marks on the floor in the Long Room at Lords's.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN ADP ADJ NOUN VERB ADP ADV ADJ PUNCT DET PROPN PROPN PROPN DET NOUN ADP PROPN PROPN DET NOUN ADP ADJ NOUN PROPN NOUN ADP NUM PROPN NOUN DET NOUN ADP NOUN ADP NOUN ADP PROPN PROPN CCONJ DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP DET NOUN NUM VERB DET NUM NOUN VERB ADP DET NOUN NOUN VERB NOUN ADP DET ADP DET NUM NOUN CCONJ NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN	▁The ▁range ▁of ▁subject ▁matter ▁is , ▁as ▁always , ▁extensive ▁ ; ▁the ▁Mel b our ne ▁C rick et ▁Ground , ▁a ▁history ▁of ▁Dur ham ▁C C , ▁the ▁evolution ▁of ▁fast ▁bowl ing , ▁Go och ' s ▁milestone ▁of ▁7 , 000 ▁Test ▁runs , ▁the ▁participation ▁in ▁cri cke t ▁of ▁women ▁in ▁Victor ian ▁England ▁and ▁a ▁tongue ▁- ▁in ▁- ▁che ek ▁press ▁report ▁from ▁the ▁year ▁20 45 ▁mentioning ▁the ▁54 ▁Tests ▁played ▁in ▁the ▁calendar ▁year , ▁strip ed ▁uniform s ▁for ▁each ▁of ▁the ▁four ▁ ump ire s , ▁and ▁ sti let to ▁marks ▁on ▁the ▁floor ▁in ▁the ▁Long ▁Ro om ▁at ▁Lord s ' s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP ADJ NOUN VERB VERB ADP ADV ADV ADJ PUNCT PUNCT DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN ADP PROPN PROPN PROPN PROPN PROPN DET NOUN ADP ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN NOUN ADP NUM NUM NUM PROPN NOUN NOUN DET NOUN ADP NOUN NOUN NOUN ADP NOUN ADP PROPN PROPN PROPN CCONJ DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN ADP DET NOUN NUM NUM VERB DET NUM NOUN VERB ADP DET NOUN NOUN NOUN VERB VERB NOUN NOUN ADP DET ADP DET NUM NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN
There's a by - product, in that the images can also be incorporated into documents, including, strangely enough ( he said tongue - in - cheek ), BoP, not least because the two programs are from the same stable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET ADP PUNCT NOUN ADP ADP DET NOUN VERB ADV VERB VERB ADP NOUN VERB ADV ADV PUNCT PRON VERB NOUN PUNCT ADP PUNCT NOUN PUNCT PROPN ADV ADJ ADP DET NUM NOUN VERB ADP DET ADJ NOUN	▁There ' s ▁a ▁by ▁- ▁product , ▁in ▁that ▁the ▁images ▁can ▁also ▁be ▁incorporated ▁into ▁documents , ▁including , ▁strange ly ▁enough ▁( ▁he ▁said ▁tongue ▁- ▁in ▁- ▁che ek ▁ ), ▁Bo P , ▁not ▁least ▁because ▁the ▁two ▁programs ▁are ▁from ▁the ▁same ▁stable .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET ADP PUNCT NOUN NOUN ADP ADP DET NOUN VERB ADV VERB VERB ADP NOUN NOUN VERB VERB ADV ADV ADV PUNCT PRON VERB NOUN PUNCT ADP PUNCT NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN ADV ADJ ADP DET NUM NOUN VERB ADP DET ADJ NOUN NOUN
There is nothing tongue - in - cheek about these statements.	0 0 0 1 0 1 0 1 0 0 0	tongue in cheek	figurative	dashes	ADV VERB NOUN NOUN PUNCT ADP PUNCT NOUN ADP DET NOUN	▁There ▁is ▁nothing ▁tongue ▁- ▁in ▁- ▁che ek ▁about ▁these ▁statements .	0 0 0 1 0 1 0 1 1 0 0 0 0	ADV VERB NOUN NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN NOUN
Dr Hendron also hit out at some unionist politicians who, he claimed, condemned loyalist violence ' with a tongue in their cheek '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	tongue in cheek	figurative	insertion-other	PROPN PROPN ADV VERB PART ADP DET ADJ NOUN NOUN PRON VERB VERB NOUN NOUN PUNCT ADP DET NOUN ADP ADJ NOUN PUNCT	▁Dr ▁H end ron ▁also ▁hit ▁out ▁at ▁some ▁union ist ▁politician s ▁who , ▁he ▁claimed , ▁condemned ▁loyal ist ▁violence ▁' ▁with ▁a ▁tongue ▁in ▁their ▁che ek ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	PROPN PROPN PROPN PROPN ADV VERB PART ADP DET ADJ ADJ NOUN NOUN NOUN NOUN PRON VERB VERB VERB NOUN NOUN NOUN PUNCT ADP DET NOUN ADP ADJ NOUN NOUN PUNCT PUNCT
However, the Independent Television Commission ruled that the adverts were more tongue - in - cheek rather than sinister or sexist and that, in any, case the Naomi Campbell one had been moved to a post-9pm slot.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV DET PROPN PROPN PROPN VERB ADP DET NOUN VERB ADJ NOUN PUNCT ADP PUNCT NOUN ADV ADP ADJ CCONJ NOUN CCONJ ADP ADP DET NOUN DET PROPN PROPN NUM VERB VERB VERB ADP DET NOUN NOUN	▁However , ▁the ▁Independent ▁Television ▁Commission ▁ruled ▁that ▁the ▁ad vert s ▁were ▁more ▁tongue ▁- ▁in ▁- ▁che ek ▁rather ▁than ▁sin ister ▁or ▁sex ist ▁and ▁that , ▁in ▁any , ▁case ▁the ▁Na omi ▁Camp b ell ▁one ▁had ▁been ▁moved ▁to ▁a ▁post -9 p m ▁slot .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET PROPN PROPN PROPN VERB ADP DET NOUN NOUN NOUN VERB ADJ NOUN PUNCT ADP PUNCT NOUN NOUN ADV ADP ADJ ADJ CCONJ NOUN NOUN CCONJ ADP ADP ADP DET DET NOUN DET PROPN PROPN PROPN PROPN PROPN NUM VERB VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN NOUN
Also worth listening to : the tongue - in - cheek Jigsaw, with its ' variations on a Scottish theme ', sounding like a bagpipe chanter played by flute and marimba, with accompanying drone from Phillips's double bass.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADV ADJ VERB ADP PUNCT DET NOUN PUNCT ADP PUNCT NOUN PROPN ADP ADJ PUNCT NOUN ADP DET ADJ NOUN PUNCT VERB ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN ADP VERB NOUN ADP PROPN ADJ NOUN	▁Also ▁worth ▁listening ▁to ▁ : ▁the ▁tongue ▁- ▁in ▁- ▁che ek ▁J ig s aw , ▁with ▁its ▁' ▁variations ▁on ▁a ▁Scottish ▁theme ▁' , ▁sounding ▁like ▁a ▁bag pipe ▁ chan ter ▁played ▁by ▁flu te ▁and ▁mar imba , ▁with ▁accompanying ▁dr one ▁from ▁P hill ip s ' s ▁double ▁bas s .	0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ VERB ADP PUNCT PUNCT DET NOUN PUNCT ADP PUNCT NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP ADJ PUNCT NOUN ADP DET ADJ NOUN PUNCT PUNCT VERB ADP DET NOUN NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN ADP VERB NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN NOUN
Deputy Head ( Staff ) : ' Tongue in cheek!	0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	case	PROPN PROPN PUNCT NOUN PUNCT PUNCT PUNCT NOUN ADP NOUN	▁Deputy ▁Head ▁( ▁Staff ▁ ) ▁ : ▁' ▁Tongue ▁in ▁che ek !	0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT PUNCT NOUN ADP NOUN NOUN NOUN
