Nature conservation runs against the grain of current political doctrine.	0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	NOUN NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN
Containing the first studio cut of ‘ No Woman No Cry’, versions of early Jamaicans singles ‘ Belly Full’, ‘ Bend Down Low’, ‘ Natty Dread’ and ‘ Lively Up Yourself’, this is, superficially, a simple set of songs that went against the grain of the mesmeric dub that was then dominating reggae.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	VERB DET ADJ NOUN NOUN ADP PUNCT PROPN PROPN DET NOUN NOUN ADP ADJ PROPN NOUN PART PROPN NUM PUNCT VERB PROPN PROPN PUNCT PROPN PROPN CCONJ PUNCT PROPN PROPN PROPN DET VERB ADV DET ADJ NOUN ADP NOUN ADJ VERB ADP DET NOUN ADP DET NOUN NOUN ADJ VERB ADV VERB NOUN
Aristotle believed that matter was continuous, that is, one could divide a piece of matter into smaller and smaller bits without any limit : one never came up against a grain of matter that could not be divided further.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	against the grain	literal	determiner-narrow	PROPN VERB DET NOUN VERB ADJ ADV ADV PRON VERB VERB DET NOUN ADP NOUN ADP ADJ CCONJ ADJ NOUN ADP DET NOUN PUNCT NOUN ADV VERB PART ADP DET NOUN ADP NOUN ADJ VERB ADV VERB VERB ADV
Mrs Thatcher sees nothing in the single market which cuts against the grain of her policies over the past decade, since it should promote the free enterprise culture within the EC.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PROPN PROPN VERB NOUN ADP DET ADJ NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB VERB DET ADJ NOUN NOUN ADP DET PROPN
Even so, this kind of exercise probably goes against the grain for a large number of readers, who will ask " What is the point? "	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV ADV DET NOUN ADP NOUN ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN NOUN VERB VERB PUNCT NOUN VERB DET NOUN PUNCT
It is this which makes the next section of Simmel's work so difficult to accept, in that it appears to work so deeply against the grain of modern consciousness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	against the grain	figurative	identical	PRON VERB DET ADJ VERB DET ADJ NOUN ADP PROPN NOUN ADV ADJ PART VERB ADP ADP PRON VERB PART VERB ADV ADV ADP DET NOUN ADP ADJ NOUN
She 'd found her way to Charlie through another of the contact magazines, back in the days when his wife had been handling that end of the business ; she 'd had to send along a photograph and that had gone a little against the grain — in all of her moonlighting so far, she 'd never let slip so much as her name — but everything had worked out well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB VERB ADJ NOUN ADP PROPN ADP DET ADP DET NOUN NOUN ADV ADP DET NOUN ADV ADJ NOUN VERB VERB VERB DET NOUN ADP DET NOUN PUNCT PRON VERB VERB PART VERB PART DET NOUN CCONJ ADJ VERB VERB DET ADJ ADP DET NOUN PUNCT ADP DET ADP ADJ VERB ADV ADV PRON VERB ADV VERB VERB ADV ADV ADP ADJ NOUN PUNCT CCONJ NOUN VERB VERB PART ADV
Basil built up a strong healthy tradition in Primary Art in West Riding schools, slowly and firmly, and in so doing never worked against the natural grain of childhood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0	against the grain	figurative	insertion-other	PROPN VERB PART DET ADJ ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN NOUN ADV CCONJ ADV CCONJ ADP ADV VERB ADV VERB ADP DET ADJ NOUN ADP NOUN
Going against the grain of long split skirts and leather jeans, some of the most striking pieces of womenswear for winter come from Issey Miyake.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	VERB ADP DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN NOUN DET ADP DET ADV ADJ NOUN ADP ADJ ADP NOUN VERB ADP PROPN PROPN
Well, the first book in which Freud explicitly takes up this question in the opening pages, is his book of nineteen twenty seven, er The Future of an Illusion, and his begins, by posing the Hobbesian question, although it doesn't mention Hobbes, but, it's the fundamental point he makes, that civilization goes against the grain of human nature, and the question he asks himself is, how does er, order, morality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	INTJ DET ADJ NOUN ADP ADJ PROPN ADV VERB PART DET NOUN ADP DET NOUN NOUN VERB ADJ NOUN ADP NUM NUM NUM INTJ DET PROPN ADP DET NOUN CCONJ ADJ NOUN ADP VERB DET ADJ NOUN ADP PRON VERB VERB PROPN CCONJ PRON DET ADJ NOUN PRON VERB ADP NOUN VERB ADP DET NOUN ADP ADJ NOUN CCONJ DET NOUN PRON VERB PRON VERB ADV VERB INTJ NOUN NOUN
But I am also attracted by Graff's suggestion that those who favoured a ' literary ', aesthetic, affective way of reading would then experience the satisfaction of working against the prevailing grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	against the grain	figurative	insertion-other	CCONJ PRON VERB ADV VERB ADP PROPN NOUN ADP DET NOUN VERB DET PUNCT ADJ PUNCT ADJ ADJ NOUN ADP NOUN VERB ADV VERB DET NOUN ADP VERB ADP DET VERB NOUN
And they 're intervening of course here on the side of a revolt which is going against the grain of erm of certainly for Russia of course of er of of the attitudes of the eighteen erm er eighteen teens early eighteen twenties.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	CCONJ PRON VERB VERB ADP NOUN ADV ADP DET NOUN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP NOUN ADP ADV ADP PROPN ADP NOUN ADP INTJ ADP ADP DET NOUN ADP DET NUM NOUN INTJ NUM NOUN ADV NUM NOUN
