So might the decision to let the republics go it alone on economic reform.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN	▁So ▁might ▁the ▁decision ▁to ▁let ▁the ▁republics ▁go ▁it ▁alone ▁on ▁economic ▁reform .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN NOUN
The argument that those who teach — and one would add those who manage teaching — can not be expected to go it alone was pursued by Clive Beck ( 1990 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	go it alone	figurative	identical	DET NOUN ADP DET NOUN VERB PUNCT CCONJ PRON VERB VERB DET NOUN VERB NOUN PUNCT VERB ADV VERB VERB PART VERB PRON ADV VERB VERB ADP PROPN PROPN PUNCT NUM PUNCT	▁The ▁argument ▁that ▁those ▁who ▁teach ▁ — ▁and ▁one ▁would ▁add ▁those ▁who ▁manage ▁teaching ▁ — ▁can ▁not ▁be ▁expected ▁to ▁go ▁it ▁alone ▁was ▁pursued ▁by ▁C live ▁B eck ▁( ▁1990 ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN VERB PUNCT PUNCT CCONJ PRON VERB VERB DET NOUN VERB NOUN PUNCT PUNCT VERB ADV VERB VERB PART VERB PRON ADV VERB VERB ADP PROPN PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT
Even Jennifer Aniston, whom Brad ~ Pitt left because she did not want kids, now sighs in interviews, as she nears 42, that she has stopped waiting for Prince Charming, and that she, too, could be ready to adopt and go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADV PROPN PROPN NOUN PROPN PUNCT PROPN VERB ADP PRON VERB ADV VERB NOUN ADV VERB ADP NOUN ADP PRON VERB NUM ADP PRON VERB VERB VERB ADP PROPN PROPN CCONJ ADP PRON ADV VERB VERB ADJ PART VERB CCONJ VERB PRON ADV	▁Even ▁J en ni fer ▁An ist on , ▁whom ▁B rad ▁ ~ ▁P itt ▁left ▁because ▁she ▁did ▁not ▁want ▁kid s , ▁now ▁s igh s ▁in ▁interview s , ▁as ▁she ▁near s ▁42, ▁that ▁she ▁has ▁stopped ▁waiting ▁for ▁Prince ▁Char ming , ▁and ▁that ▁she , ▁too , ▁could ▁be ▁ready ▁to ▁adopt ▁and ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN PUNCT PUNCT PROPN PROPN VERB ADP PRON VERB ADV VERB NOUN NOUN NOUN ADV VERB VERB VERB ADP NOUN NOUN NOUN ADP PRON VERB VERB NUM ADP PRON VERB VERB VERB ADP PROPN PROPN PROPN PROPN CCONJ ADP PRON PRON ADV ADV VERB VERB ADJ PART VERB CCONJ VERB PRON ADV ADV
The slowdown in military spending and escalating costs of armament programmes will make it increasingly difficult for any company, even one the size of BAe, to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	DET NOUN ADP ADJ NOUN CCONJ VERB NOUN ADP NOUN NOUN VERB VERB PRON ADV ADJ ADP DET NOUN ADV NUM DET NOUN ADP NOUN PART VERB PRON ADV	▁The ▁slowdown ▁in ▁military ▁spending ▁and ▁escalat ing ▁costs ▁of ▁arm ament ▁programmes ▁will ▁make ▁it ▁increasingly ▁difficult ▁for ▁any ▁company , ▁even ▁one ▁the ▁size ▁of ▁BA e , ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN ADP NOUN NOUN NOUN VERB VERB PRON ADV ADJ ADP DET NOUN NOUN ADV NUM DET NOUN ADP NOUN NOUN NOUN PART VERB PRON ADV ADV
So Lord Campbell of Alloway is trying to go it alone with a private member's bill in the House of Lords.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	ADV PROPN PROPN ADP PROPN VERB VERB PART VERB PRON ADJ ADP DET ADJ NOUN NOUN ADP DET PROPN ADP PROPN	▁So ▁Lord ▁Camp b ell ▁of ▁Allow ay ▁is ▁trying ▁to ▁go ▁it ▁alone ▁with ▁a ▁private ▁member ' s ▁bill ▁in ▁the ▁House ▁of ▁Lord s .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PROPN PROPN PROPN PROPN ADP PROPN PROPN VERB VERB PART VERB PRON ADJ ADP DET ADJ NOUN NOUN NOUN NOUN ADP DET PROPN ADP PROPN PROPN PROPN
Hunter has been training with his team - mates but on match nights has had to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	PROPN VERB VERB VERB ADP ADJ NOUN PUNCT NOUN CCONJ ADP NOUN NOUN VERB VERB PART VERB PRON ADV	▁Hun ter ▁has ▁been ▁training ▁with ▁his ▁team ▁- ▁mate s ▁but ▁on ▁match ▁night s ▁has ▁had ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN VERB VERB VERB ADP ADJ NOUN PUNCT NOUN NOUN CCONJ ADP NOUN NOUN NOUN VERB VERB PART VERB PRON ADV ADV
IBM HAVANT TO GO IT ALONE?	0 0 0 1 1 1	go it alone	figurative	case	PROPN PROPN PART VERB PRON ADV	▁IBM ▁H AV ANT ▁TO ▁ GO ▁IT ▁AL ONE ?	0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN PROPN PROPN PART VERB VERB PRON ADV ADV ADV
But County Auctions, a big operation with centres at Wooler and Newcastle, was always likely to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	CCONJ PROPN PROPN DET ADJ NOUN ADP NOUN ADP PROPN CCONJ PROPN VERB ADV ADJ PART VERB PRON ADV	▁But ▁County ▁A uction s , ▁a ▁big ▁operation ▁with ▁centres ▁at ▁Wool er ▁and ▁Newcastle , ▁was ▁always ▁likely ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ PROPN PROPN PROPN PROPN PROPN DET ADJ NOUN ADP NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB ADV ADJ PART VERB PRON ADV ADV
It impressively illustrates how national economies which seek to go it alone in monetary matters end up suffering the most from such a course.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON ADV VERB ADV ADJ NOUN ADJ VERB PART VERB PRON ADV ADP ADJ NOUN VERB PART VERB DET ADJ ADP ADJ DET NOUN	▁It ▁impressive ly ▁illustrates ▁how ▁national ▁economies ▁which ▁seek ▁to ▁go ▁it ▁alone ▁in ▁monetary ▁matters ▁end ▁up ▁suffering ▁the ▁most ▁from ▁such ▁a ▁course .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV ADV VERB ADV ADJ NOUN ADJ VERB PART VERB PRON ADV ADP ADJ NOUN VERB PART VERB DET ADJ ADP ADJ DET NOUN NOUN
Going it alone … former Dr Hook singer is back on the road.	1 1 1 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	combined-inflection	VERB PRON ADJ PUNCT ADJ PROPN PROPN NOUN VERB ADV ADP DET NOUN	▁Go ing ▁it ▁alone ▁... ▁former ▁Dr ▁H ook ▁sin ger ▁is ▁back ▁on ▁the ▁road .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PRON ADJ PUNCT ADJ PROPN PROPN PROPN NOUN NOUN VERB ADV ADP DET NOUN NOUN
Pressure is growing from several camps to adopt a more strident tone towards other republics, to give up attempts to bolster the Commonwealth of Independent States and allow Russia to go it alone, especially on military matters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	go it alone	figurative	identical	NOUN VERB VERB ADP ADJ NOUN PART VERB DET ADV ADJ NOUN ADP ADJ NOUN PART VERB PART NOUN PART VERB DET PROPN ADP PROPN PROPN CCONJ VERB PROPN PART VERB PRON ADV ADV ADP ADJ NOUN	▁Pressure ▁is ▁growing ▁from ▁several ▁camps ▁to ▁adopt ▁a ▁more ▁str ident ▁to ne ▁towards ▁other ▁republics , ▁to ▁give ▁up ▁attempts ▁to ▁bolster ▁the ▁Common wealth ▁of ▁Independent ▁States ▁and ▁allow ▁Russia ▁to ▁go ▁it ▁alone , ▁especially ▁on ▁military ▁matters .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	NOUN VERB VERB ADP ADJ NOUN PART VERB DET ADV ADJ ADJ NOUN NOUN ADP ADJ NOUN NOUN PART VERB PART NOUN PART VERB DET PROPN PROPN ADP PROPN PROPN CCONJ VERB PROPN PART VERB PRON ADV ADV ADV ADP ADJ NOUN NOUN
However, many already regret their choice, especially in Poland where PR has tempted factions of Solidarity to break off and go it alone as independent parties.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV ADJ ADV VERB ADJ NOUN ADV ADP PROPN ADV PROPN VERB VERB NOUN ADP PROPN PART VERB PART CCONJ VERB PRON ADV ADP ADJ NOUN	▁However , ▁many ▁already ▁regret ▁their ▁choice , ▁especially ▁in ▁Poland ▁where ▁PR ▁has ▁tempted ▁fact ions ▁of ▁Solidarity ▁to ▁break ▁off ▁and ▁go ▁it ▁alone ▁as ▁independent ▁parties .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV ADV ADJ ADV VERB ADJ NOUN NOUN ADV ADP PROPN ADV PROPN VERB VERB NOUN NOUN ADP PROPN PART VERB PART CCONJ VERB PRON ADV ADP ADJ NOUN NOUN
Inside Ferrari, Niki's decision was again made to seem that of a man intent on going it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	inflection	ADP PROPN PROPN NOUN VERB ADV VERB PART VERB DET ADP DET NOUN ADJ ADP VERB PRON ADJ	▁In side ▁Ferr ari , ▁N iki ' s ▁decision ▁was ▁again ▁made ▁to ▁seem ▁that ▁of ▁a ▁man ▁intent ▁on ▁going ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB ADV VERB PART VERB DET ADP DET NOUN ADJ ADP VERB PRON ADJ ADJ
WHERE TO FIND THE BACKING TO GO IT ALONE	0 0 0 0 0 0 1 1 1	go it alone	figurative	case	ADV PART VERB DET NOUN PART VERB NOUN ADV	▁WHERE ▁TO ▁FIN D ▁THE ▁B ACK ING ▁TO ▁ GO ▁IT ▁AL ONE	0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PART VERB VERB DET NOUN NOUN NOUN PART VERB VERB NOUN ADV ADV
' I 'm going to go it alone.	0 0 0 0 0 1 1 1	go it alone	figurative	identical	PUNCT PRON VERB VERB PART VERB PRON ADV	▁' ▁I ▁' m ▁going ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 1 1 1 1	PUNCT PRON VERB VERB VERB PART VERB PRON ADV ADV
That was when Brian decided to go it alone, sourcing the units and adapting them himself.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	go it alone	figurative	identical	DET VERB ADV PROPN VERB PART VERB PRON ADV VERB DET NOUN CCONJ VERB PRON PRON	▁That ▁was ▁when ▁Brian ▁decided ▁to ▁go ▁it ▁alone , ▁sour c ing ▁the ▁units ▁and ▁adapting ▁them ▁himself .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET VERB ADV PROPN VERB PART VERB PRON ADV ADV VERB VERB VERB DET NOUN CCONJ VERB PRON PRON PRON
Going it alone in difficult times is not to be recommended, but if you wish to try it for a few weeks then there is no harm done, simply time lost if you are unsuccessful.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	combined-inflection	VERB PRON ADV ADP ADJ NOUN VERB ADV PART VERB VERB CCONJ ADP PRON VERB PART VERB PRON ADP DET ADJ NOUN ADV ADV VERB DET NOUN VERB ADV NOUN VERB ADP PRON VERB ADJ	▁Go ing ▁it ▁alone ▁in ▁difficult ▁times ▁is ▁not ▁to ▁be ▁recommended , ▁but ▁if ▁you ▁wish ▁to ▁try ▁it ▁for ▁a ▁few ▁weeks ▁then ▁there ▁is ▁no ▁harm ▁done , ▁simply ▁time ▁lost ▁if ▁you ▁are ▁unsuccessful .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PRON ADV ADP ADJ NOUN VERB ADV PART VERB VERB VERB CCONJ ADP PRON VERB PART VERB PRON ADP DET ADJ NOUN ADV ADV VERB DET NOUN VERB VERB ADV NOUN VERB ADP PRON VERB ADJ ADJ
With the Socialists in most constituencies opting to go it alone in pursuit of an overall majority, the left was now divided.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	ADP DET PROPN ADP ADJ NOUN VERB PART VERB PRON ADV ADP NOUN ADP DET ADJ NOUN DET NOUN VERB ADV VERB	▁With ▁the ▁Social ists ▁in ▁most ▁constituencies ▁opt ing ▁to ▁go ▁it ▁alone ▁in ▁pursuit ▁of ▁an ▁overall ▁majority , ▁the ▁left ▁was ▁now ▁divided .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET PROPN PROPN ADP ADJ NOUN VERB VERB PART VERB PRON ADV ADP NOUN ADP DET ADJ NOUN NOUN DET NOUN VERB ADV VERB VERB
Allergic to injustice as we are, we had no choice but to go it alone and manage ourselves.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADJ ADP NOUN ADP PRON VERB PRON VERB DET NOUN ADP PART VERB PRON ADV CCONJ VERB PRON	▁All ergic ▁to ▁injustice ▁as ▁we ▁are , ▁we ▁had ▁no ▁choice ▁but ▁to ▁go ▁it ▁alone ▁and ▁manage ▁ourselves .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADJ ADJ ADP NOUN ADP PRON VERB VERB PRON VERB DET NOUN ADP PART VERB PRON ADV CCONJ VERB PRON PRON
I 've gone it alone more times than a hermit with attitude.	0 0 1 1 1 0 0 0 0 0 0 0	go it alone	figurative	inflection	PRON VERB VERB PRON ADV ADJ NOUN ADP DET NOUN ADP NOUN	▁I ▁' ve ▁gone ▁it ▁alone ▁more ▁times ▁than ▁a ▁her mit ▁with ▁attitude .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PRON ADV ADJ NOUN ADP DET NOUN NOUN ADP NOUN NOUN
Do not try to go it alone today — everything you do will be enhanced by the company of another.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	VERB ADV VERB PART VERB PRON ADV NOUN PUNCT NOUN PRON VERB VERB VERB VERB ADP DET NOUN ADP DET	▁Do ▁not ▁try ▁to ▁go ▁it ▁alone ▁today ▁ — ▁everything ▁you ▁do ▁will ▁be ▁enhanced ▁by ▁the ▁company ▁of ▁another .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADV VERB PART VERB PRON ADV NOUN PUNCT PUNCT NOUN PRON VERB VERB VERB VERB ADP DET NOUN ADP DET DET
Novell might also try a two - pronged attack or, if the FTC suit fizzles, Novell might go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	PROPN VERB ADV VERB DET NUM PUNCT ADJ NOUN CCONJ ADP DET PROPN NOUN NOUN PROPN VERB VERB PRON ADV	▁Nov ell ▁might ▁also ▁try ▁a ▁two ▁- ▁pro ng ed ▁attack ▁or , ▁if ▁the ▁ FTC ▁suit ▁f izz les , ▁Nov ell ▁might ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN VERB ADV VERB DET NUM PUNCT ADJ ADJ ADJ NOUN CCONJ CCONJ ADP DET PROPN PROPN NOUN NOUN NOUN NOUN NOUN PROPN PROPN VERB VERB PRON ADV ADV
Furthermore, at a time of heart - searching following the commercial difficulties of the Anglo - French Concorde project, and with de Gaulle no longer in power, the French space science community had difficulty in persuading the politicians of the need for France to go it alone in space.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	go it alone	figurative	identical	ADV ADP DET NOUN ADP NOUN PUNCT VERB VERB DET ADJ NOUN ADP DET ADJ PUNCT ADJ PROPN NOUN CCONJ ADP X PROPN ADV ADV ADP NOUN DET ADJ NOUN NOUN NOUN VERB NOUN ADP VERB DET NOUN ADP DET NOUN ADP PROPN PART VERB PRON ADV ADP NOUN	▁Furthermore , ▁at ▁a ▁time ▁of ▁heart ▁- ▁searching ▁following ▁the ▁commercial ▁difficulties ▁of ▁the ▁Anglo ▁- ▁French ▁Con cord e ▁project , ▁and ▁with ▁de ▁Gaulle ▁no ▁longer ▁in ▁power , ▁the ▁French ▁space ▁science ▁community ▁had ▁difficulty ▁in ▁persuad ing ▁the ▁politician s ▁of ▁the ▁need ▁for ▁France ▁to ▁go ▁it ▁alone ▁in ▁space .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV ADV ADP DET NOUN ADP NOUN PUNCT VERB VERB DET ADJ NOUN ADP DET ADJ PUNCT ADJ PROPN PROPN PROPN NOUN NOUN CCONJ ADP X PROPN ADV ADV ADP NOUN NOUN DET ADJ NOUN NOUN NOUN VERB NOUN ADP VERB VERB DET NOUN NOUN ADP DET NOUN ADP PROPN PART VERB PRON ADV ADP NOUN NOUN
Meanwhile, AT&T is going it alone, installing network - management systems in nine European countries at a cost of $ 150 m.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	ADV PROPN VERB VERB PRON ADV VERB NOUN PUNCT NOUN NOUN ADP NUM ADJ NOUN ADP DET NOUN ADP SYM NUM NOUN	▁Meanwhile , ▁AT & T ▁is ▁going ▁it ▁alone , ▁installing ▁network ▁- ▁management ▁systems ▁in ▁nine ▁European ▁countries ▁at ▁a ▁cost ▁of ▁$ ▁150 ▁m .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PROPN PROPN PROPN VERB VERB PRON ADV ADV VERB NOUN PUNCT NOUN NOUN ADP NUM ADJ NOUN ADP DET NOUN ADP SYM NUM NOUN NOUN
He insisted on trying to go it alone and lurched against the bannister where he hung on for dear life.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB ADP VERB PART VERB PRON ADJ CCONJ VERB ADP DET NOUN ADV PRON VERB PART ADP ADJ NOUN	▁He ▁insisted ▁on ▁trying ▁to ▁go ▁it ▁alone ▁and ▁lu rch ed ▁against ▁the ▁bann ister ▁where ▁he ▁h ung ▁on ▁for ▁dear ▁life .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP VERB PART VERB PRON ADJ CCONJ VERB VERB VERB ADP DET NOUN NOUN ADV PRON VERB VERB PART ADP ADJ NOUN NOUN
Back in civvy street he landed a job at the Strand Cornerhouse in London ; from there a number of jobs with skilled confectioners allowed him to accumulate the experience needed to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADV ADP ADJ NOUN PRON VERB DET NOUN ADP DET PROPN PROPN ADP PROPN PUNCT ADP ADV DET NOUN ADP NOUN ADP ADJ NOUN VERB PRON PART VERB DET NOUN VERB PART VERB PRON ADV	▁Back ▁in ▁c iv vy ▁street ▁he ▁landed ▁a ▁job ▁at ▁the ▁Strand ▁Corn er house ▁in ▁London ▁ ; ▁from ▁there ▁a ▁number ▁of ▁jobs ▁with ▁skilled ▁con fect ion ers ▁allowed ▁him ▁to ▁accumulate ▁the ▁experience ▁needed ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADP ADJ ADJ ADJ NOUN PRON VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN PUNCT PUNCT ADP ADV DET NOUN ADP NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB PRON PART VERB DET NOUN VERB PART VERB PRON ADV ADV
Dario goes it alone	0 1 1 1	go it alone	figurative	inflection	NOUN VERB PRON ADJ	▁D ario ▁goes ▁it ▁alone	0 0 1 1 1	NOUN NOUN VERB PRON ADJ
The go - it - alone America of the years of the war on terror had alienated its closest allies, and had proven insufficient both to resolving the wars in Iraq and Afghanistan, and to creating a structure of peace for an Asia struggling to cope with China's new power and assertiveness.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	dashes	DET VERB PUNCT PRON PUNCT ADV PROPN ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB ADJ ADJ NOUN CCONJ VERB VERB ADJ DET ADP VERB DET NOUN ADP PROPN CCONJ PROPN CCONJ ADP VERB DET NOUN ADP NOUN ADP DET PROPN VERB PART VERB ADP PROPN ADJ NOUN CCONJ NOUN	▁The ▁go ▁- ▁it ▁- ▁alone ▁America ▁of ▁the ▁years ▁of ▁the ▁war ▁on ▁terror ▁had ▁alien ated ▁its ▁closest ▁all ies , ▁and ▁had ▁proven ▁insufficient ▁both ▁to ▁resolv ing ▁the ▁wars ▁in ▁Iraq ▁and ▁Afghanistan , ▁and ▁to ▁creating ▁a ▁structure ▁of ▁peace ▁for ▁an ▁Asia ▁struggling ▁to ▁cope ▁with ▁China ' s ▁new ▁power ▁and ▁as ser tiveness .	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB PUNCT PRON PUNCT ADV PROPN ADP DET NOUN ADP DET NOUN ADP NOUN VERB VERB VERB ADJ ADJ NOUN NOUN NOUN CCONJ VERB VERB ADJ DET ADP VERB VERB DET NOUN ADP PROPN CCONJ PROPN PROPN CCONJ ADP VERB DET NOUN ADP NOUN ADP DET PROPN VERB PART VERB ADP PROPN PROPN PROPN ADJ NOUN CCONJ NOUN NOUN NOUN NOUN
I 'd made up my mind to go it alone before I came here.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	go it alone	figurative	identical	PRON VERB VERB PART ADJ NOUN PART VERB PRON ADV ADP PRON VERB ADV	▁I ▁' d ▁made ▁up ▁my ▁mind ▁to ▁go ▁it ▁alone ▁before ▁I ▁came ▁here .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB VERB VERB PART ADJ NOUN PART VERB PRON ADV ADP PRON VERB ADV ADV
HE left NME to create the equally successful Smash Hits and then decided to go it alone with £ 4,000 from his building society account — all of which went into the first edition of The Face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB PROPN PART VERB DET ADV ADJ PROPN PROPN CCONJ ADV VERB PART VERB PRON ADJ ADP SYM NUM ADP ADJ VERB NOUN NOUN PUNCT DET ADP ADJ VERB ADP DET ADJ NOUN ADP DET PROPN	▁HE ▁left ▁N ME ▁to ▁create ▁the ▁equally ▁successful ▁S m ash ▁H its ▁and ▁then ▁decided ▁to ▁go ▁it ▁alone ▁with ▁£ ▁ 4,000 ▁from ▁his ▁building ▁society ▁account ▁ — ▁all ▁of ▁which ▁went ▁into ▁the ▁first ▁edition ▁of ▁The ▁Fac e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PROPN PROPN PART VERB DET ADV ADJ PROPN PROPN PROPN PROPN PROPN CCONJ ADV VERB PART VERB PRON ADJ ADP SYM NUM NUM ADP ADJ VERB NOUN NOUN PUNCT PUNCT DET ADP ADJ VERB ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN
However, some companies employ large numbers of legal staff, so there is opportunity both for those who like to go it alone and for those who thrive on team spirit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	go it alone	figurative	identical	ADV DET NOUN VERB ADJ NOUN ADP ADJ NOUN CCONJ ADV VERB NOUN DET ADP DET NOUN VERB PART VERB PRON ADV CCONJ ADP DET NOUN VERB ADP NOUN NOUN	▁However , ▁some ▁companies ▁employ ▁large ▁numbers ▁of ▁legal ▁staff , ▁so ▁there ▁is ▁opportunity ▁both ▁for ▁those ▁who ▁like ▁to ▁go ▁it ▁alone ▁and ▁for ▁those ▁who ▁thr ive ▁on ▁team ▁spirit .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN CCONJ ADV VERB NOUN DET ADP DET NOUN VERB PART VERB PRON ADV CCONJ ADP DET NOUN VERB VERB ADP NOUN NOUN NOUN
