Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN	▁O ught ▁to ▁have ▁seen ▁them ▁walking ▁down ▁North ▁Road .	0 0 0 0 0 0 0 1 0 1 1	VERB VERB PART VERB VERB PRON VERB PART PROPN PROPN PROPN
The young boy was running down the road towards Martin with a posse of four helpers close behind.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN ADP DET NOUN ADP NUM NOUN ADV ADV	▁The ▁young ▁boy ▁was ▁running ▁down ▁the ▁road ▁towards ▁Martin ▁with ▁a ▁pos se ▁of ▁four ▁help ers ▁close ▁behind .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN ADP DET NOUN NOUN ADP NUM NOUN NOUN ADV ADV ADV
Cars speed up and down the twisty road at all hours and residents and visitors frequently park vehicles on the road restricting access.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	NOUN VERB PART CCONJ ADP DET NOUN NOUN ADP DET NOUN CCONJ NOUN CCONJ NOUN ADV VERB NOUN ADP DET NOUN NOUN NOUN	▁Car s ▁speed ▁up ▁and ▁down ▁the ▁twist y ▁road ▁at ▁all ▁hours ▁and ▁residents ▁and ▁visitors ▁frequently ▁park ▁vehicles ▁on ▁the ▁road ▁restrict ing ▁access .	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB PART CCONJ ADP DET NOUN NOUN NOUN ADP DET NOUN CCONJ NOUN CCONJ NOUN ADV VERB NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
Like there was this girl, she worked in the paper shop down the road, and there was this black kid who kept pestering her all the time, so we had to go down and sort him out.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADP ADV VERB DET NOUN PRON VERB ADP DET NOUN NOUN ADP DET NOUN CCONJ ADV VERB DET ADJ NOUN NOUN VERB VERB PRON ADJ DET NOUN CCONJ PRON VERB PART VERB PART CCONJ VERB PRON PART	▁Like ▁there ▁was ▁this ▁girl , ▁she ▁worked ▁in ▁the ▁paper ▁shop ▁down ▁the ▁road , ▁and ▁there ▁was ▁this ▁black ▁kid ▁who ▁kept ▁p ester ing ▁her ▁all ▁the ▁time , ▁so ▁we ▁had ▁to ▁go ▁down ▁and ▁sort ▁him ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV VERB DET NOUN NOUN PRON VERB ADP DET NOUN NOUN ADP DET NOUN NOUN CCONJ ADV VERB DET ADJ NOUN NOUN VERB VERB VERB VERB PRON ADJ DET NOUN NOUN CCONJ PRON VERB PART VERB PART CCONJ VERB PRON PART PART
A man with a helmet painted red is riding a blue motorcycle down the road	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	DET NOUN ADP DET NOUN VERB NOUN VERB VERB DET ADJ NOUN ADP DET NOUN	▁A ▁man ▁with ▁a ▁h elmet ▁painted ▁red ▁is ▁rid ing ▁a ▁blue ▁motorcycle ▁down ▁the ▁road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	DET NOUN ADP DET NOUN NOUN VERB NOUN VERB VERB VERB DET ADJ NOUN ADP DET NOUN
But for some of those employees heading off down the road, their day's work is barely half over.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	CCONJ ADP DET ADP DET NOUN VERB PART ADP DET NOUN ADJ NOUN NOUN VERB ADV ADV ADV	▁But ▁for ▁some ▁of ▁those ▁employees ▁heading ▁off ▁down ▁the ▁road , ▁their ▁day ' s ▁work ▁is ▁barely ▁half ▁over .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET ADP DET NOUN VERB PART ADP DET NOUN NOUN ADJ NOUN NOUN NOUN NOUN VERB ADV ADV ADV ADV
He frowned as he gazed down the road to where a black limo was parked.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB ADP PRON VERB PART DET NOUN ADP ADV DET ADJ NOUN VERB VERB	▁He ▁fr owned ▁as ▁he ▁g az ed ▁down ▁the ▁road ▁to ▁where ▁a ▁black ▁lim o ▁was ▁park ed .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PRON VERB VERB VERB PART DET NOUN ADP ADV DET ADJ NOUN NOUN VERB VERB VERB VERB
I can take you down the road and show you my breeding stock in every farmer's field.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB PRON ADP DET NOUN CCONJ VERB PRON ADJ VERB NOUN ADP DET NOUN NOUN	▁I ▁can ▁take ▁you ▁down ▁the ▁road ▁and ▁show ▁you ▁my ▁breeding ▁stock ▁in ▁every ▁farmer ' s ▁field . ’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADP DET NOUN CCONJ VERB PRON ADJ VERB NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN
Monetary growth may increase inflationary pressures and the risk of an asset bubble down the road, but it helped ensure that China ’s economy did not fall into a vicious downturn when the financial crisis hit.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	ADJ NOUN VERB VERB ADJ NOUN CCONJ DET NOUN ADP DET NOUN NOUN ADP DET NOUN CCONJ PRON VERB VERB ADP PROPN PART NOUN VERB ADV VERB ADP DET ADJ NOUN ADV DET ADJ NOUN VERB	▁Monetary ▁growth ▁may ▁increase ▁in flationary ▁pressures ▁and ▁the ▁risk ▁of ▁an ▁asset ▁bubble ▁down ▁the ▁road , ▁but ▁it ▁helped ▁ensure ▁that ▁China ▁ ’ s ▁economy ▁did ▁not ▁fall ▁into ▁a ▁vicious ▁downturn ▁when ▁the ▁financial ▁crisis ▁hit .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADJ ADJ NOUN CCONJ DET NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB ADP PROPN PART PART PART NOUN VERB ADV VERB ADP DET ADJ NOUN ADV DET ADJ NOUN VERB VERB
A middle aged man and woman are riding bikes down a road near the water	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	determiner-narrow	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB NOUN PART DET NOUN ADP DET NOUN	▁A ▁middle ▁aged ▁man ▁and ▁woman ▁are ▁rid ing ▁bi kes ▁down ▁a ▁road ▁near ▁the ▁water	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	DET ADJ ADJ NOUN CCONJ NOUN VERB VERB VERB NOUN NOUN PART DET NOUN ADP DET NOUN
Subsequently the council's own officers told the inquiry that a pedestrian had been killed on Hollyhurst Road because he couldn't find a safe place to cross, that ambulances struggle to get down Hollyhurst Road in emergencies, that residents cars are blocked in their drives and that buses have to drop off in the middle of the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADV DET NOUN ADJ NOUN VERB DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN ADP PRON VERB VERB DET ADJ NOUN PART VERB ADP NOUN VERB PART VERB PART PROPN PROPN ADP NOUN ADP NOUN NOUN VERB VERB ADP ADJ NOUN CCONJ ADP NOUN VERB PART VERB PART ADP DET NOUN ADP DET NOUN	▁Subsequently ▁the ▁council ' s ▁own ▁officers ▁told ▁the ▁inquiry ▁that ▁a ▁pedestrian ▁had ▁been ▁killed ▁on ▁Hol ly hurst ▁Road ▁because ▁he ▁could n ' t ▁find ▁a ▁safe ▁place ▁to ▁cross , ▁that ▁ambulance s ▁struggle ▁to ▁get ▁down ▁Hol ly hurst ▁Road ▁in ▁emergencies , ▁that ▁residents ▁cars ▁are ▁blocked ▁in ▁their ▁drive s ▁and ▁that ▁buses ▁have ▁to ▁drop ▁off ▁in ▁the ▁middle ▁of ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET NOUN NOUN NOUN ADJ NOUN VERB DET NOUN ADP DET NOUN VERB VERB VERB ADP PROPN PROPN PROPN PROPN ADP PRON VERB VERB VERB VERB VERB DET ADJ NOUN PART VERB VERB ADP NOUN NOUN VERB PART VERB PART PROPN PROPN PROPN PROPN ADP NOUN NOUN ADP NOUN NOUN VERB VERB ADP ADJ NOUN NOUN CCONJ ADP NOUN VERB PART VERB PART ADP DET NOUN ADP DET NOUN NOUN
Thus:(1 ) the said Solicitors ' Publicity Code ( which is summarised in Chapter 12 ) was introduced in 1988, revised in 1990, and covers the whole field ; from the general ( solicitors may hold themselves out to be good, but not to be better than the other firm down the road ; publicity must be accurate and not mislead ; a solicitor's advertisement must identify the solicitor by name ) to the particular ( the correct designation of a solicitor's practice, entries in legal directories, addresses to the Court and the use of the legal aid logo);(2 ) the Law Society's code incorporates by reference the provisions of the British Code of Advertising Practice which in its own way requires publicity material to be honest, truthful and decent, unambiguous and responsible, and contains a separate section relating to the advertising of financial services and products;(3 ) the Financial Services ( Conduct of Business ) Rules 1987 also cover the advertising of financial services and products and will need to be studied by any firm carrying on investment business;(4 ) solicitors will also need to be familiar with the Consumer Credit ( Advertisements ) Regulations 1989 and other secondary legislation in that connection, the whole corpus replete with the jargon unique to that area of law;(5 ) the Business Names Act 1985, which has already been referred to in Chapter 1, requires revision of a firm's letterheading every time there is a change in the identity of the partners, which will include any occasion when a salaried partner whose name has previously been shown " below the line " is promoted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	NOUN PUNCT DET VERB PROPN PART PROPN PROPN PUNCT ADJ VERB VERB ADP NOUN NUM PUNCT VERB VERB ADP NUM VERB ADP NUM CCONJ VERB DET ADJ NOUN PUNCT ADP DET ADJ PUNCT NOUN VERB VERB PRON PART PART VERB ADJ CCONJ ADV PART VERB ADJ ADP DET ADJ NOUN ADP DET NOUN PUNCT NOUN VERB VERB ADJ CCONJ ADV VERB PUNCT DET NOUN NOUN VERB VERB DET NOUN ADP NOUN PUNCT ADP DET ADJ PUNCT DET ADJ NOUN ADP DET NOUN NOUN NOUN ADP ADJ NOUN VERB ADP DET PROPN CCONJ DET NOUN ADP DET ADJ NOUN NOUN PUNCT DET PROPN PROPN NOUN VERB ADP NOUN DET NOUN ADP DET PROPN PROPN ADP PROPN PROPN ADJ ADP ADJ ADJ NOUN VERB NOUN NOUN PART VERB ADJ ADJ CCONJ ADJ ADJ CCONJ ADJ CCONJ VERB DET ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN CCONJ PROPN PUNCT DET PROPN PROPN PUNCT PROPN ADP PROPN PUNCT NOUN NUM ADV VERB DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ VERB VERB PART VERB VERB ADP DET ADJ VERB ADP NOUN PROPN PUNCT NOUN VERB ADV VERB PART VERB ADJ ADP DET PROPN PROPN PUNCT PROPN PUNCT NOUN NUM CCONJ ADJ ADJ NOUN ADP DET NOUN DET ADJ NOUN ADJ ADP DET NOUN ADJ ADP DET NOUN ADP PROPN PUNCT DET PROPN PROPN PROPN NUM ADJ VERB ADV VERB VERB ADP ADP NOUN NUM VERB NOUN ADP DET NOUN NOUN DET NOUN ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN ADJ VERB VERB DET NOUN ADV DET ADJ NOUN ADJ NOUN VERB ADV VERB VERB PUNCT ADP DET NOUN PUNCT VERB VERB	▁Thus : ( 1 ▁ ) ▁the ▁said ▁So licit ors ▁' ▁Public ity ▁Code ▁( ▁which ▁is ▁summarised ▁in ▁Chapter ▁12 ▁ ) ▁was ▁introduced ▁in ▁1988 , ▁revised ▁in ▁1990, ▁and ▁covers ▁the ▁whole ▁field ▁ ; ▁from ▁the ▁general ▁( ▁so licit ors ▁may ▁hold ▁themselves ▁out ▁to ▁be ▁good , ▁but ▁not ▁to ▁be ▁better ▁than ▁the ▁other ▁firm ▁down ▁the ▁road ▁ ; ▁publicity ▁must ▁be ▁accurate ▁and ▁not ▁mislead ▁ ; ▁a ▁so licit or ' s ▁advertisement ▁must ▁identify ▁the ▁so licit or ▁by ▁name ▁ ) ▁to ▁the ▁particular ▁( ▁the ▁correct ▁designation ▁of ▁a ▁so licit or ' s ▁practice , ▁entries ▁in ▁legal ▁director ies , ▁addresses ▁to ▁the ▁Court ▁and ▁the ▁use ▁of ▁the ▁legal ▁aid ▁logo ); ( 2 ▁ ) ▁the ▁Law ▁Society ' s ▁code ▁incorporates ▁by ▁reference ▁the ▁provisions ▁of ▁the ▁British ▁Code ▁of ▁Advertising ▁Practice ▁which ▁in ▁its ▁own ▁way ▁requires ▁publicity ▁material ▁to ▁be ▁honest , ▁truth ful ▁and ▁decent , ▁unambiguous ▁and ▁responsible , ▁and ▁contains ▁a ▁separate ▁section ▁relating ▁to ▁the ▁advertising ▁of ▁financial ▁services ▁and ▁products ; ( 3 ▁ ) ▁the ▁Financial ▁Services ▁( ▁Conduct ▁of ▁Business ▁ ) ▁Rules ▁1987 ▁also ▁cover ▁the ▁advertising ▁of ▁financial ▁services ▁and ▁products ▁and ▁will ▁need ▁to ▁be ▁studied ▁by ▁any ▁firm ▁carrying ▁on ▁investment ▁business ; ( 4 ▁ ) ▁so licit ors ▁will ▁also ▁need ▁to ▁be ▁familiar ▁with ▁the ▁Consumer ▁Credit ▁( ▁Adv erti s ements ▁ ) ▁Regulations ▁1989 ▁and ▁other ▁secondary ▁legislation ▁in ▁that ▁connection , ▁the ▁whole ▁corpus ▁re plete ▁with ▁the ▁jar gon ▁unique ▁to ▁that ▁area ▁of ▁law ; ( 5 ▁ ) ▁the ▁Business ▁Name s ▁Act ▁1985, ▁which ▁has ▁already ▁been ▁referred ▁to ▁in ▁Chapter ▁1 , ▁requires ▁revision ▁of ▁a ▁firm ' s ▁letter heading ▁every ▁time ▁there ▁is ▁a ▁change ▁in ▁the ▁identity ▁of ▁the ▁partners , ▁which ▁will ▁include ▁any ▁occasion ▁when ▁a ▁salari ed ▁partner ▁whose ▁name ▁has ▁previously ▁been ▁shown ▁" ▁below ▁the ▁line ▁" ▁is ▁promoted .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN PUNCT PUNCT DET VERB PROPN PROPN PROPN PART PROPN PROPN PROPN PUNCT ADJ VERB VERB ADP NOUN NUM PUNCT PUNCT VERB VERB ADP NUM NUM VERB ADP NUM CCONJ VERB DET ADJ NOUN PUNCT PUNCT ADP DET ADJ PUNCT NOUN NOUN NOUN VERB VERB PRON PART PART VERB ADJ ADJ CCONJ ADV PART VERB ADJ ADP DET ADJ NOUN ADP DET NOUN PUNCT PUNCT NOUN VERB VERB ADJ CCONJ ADV VERB PUNCT PUNCT DET NOUN NOUN NOUN NOUN NOUN NOUN VERB VERB DET NOUN NOUN NOUN ADP NOUN PUNCT PUNCT ADP DET ADJ PUNCT DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN VERB ADP DET PROPN CCONJ DET NOUN ADP DET ADJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT DET PROPN PROPN PROPN PROPN NOUN VERB ADP NOUN DET NOUN ADP DET PROPN PROPN ADP PROPN PROPN ADJ ADP ADJ ADJ NOUN VERB NOUN NOUN PART VERB ADJ ADJ ADJ ADJ CCONJ ADJ ADJ ADJ CCONJ ADJ ADJ CCONJ VERB DET ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN CCONJ PROPN PROPN PROPN PROPN PUNCT PUNCT DET PROPN PROPN PUNCT PROPN ADP PROPN PUNCT PUNCT NOUN NUM ADV VERB DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ VERB VERB PART VERB VERB ADP DET ADJ VERB ADP NOUN PROPN PROPN PROPN PROPN PUNCT PUNCT NOUN NOUN NOUN VERB ADV VERB PART VERB ADJ ADP DET PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT NOUN NUM CCONJ ADJ ADJ NOUN ADP DET NOUN NOUN DET ADJ NOUN ADJ ADJ ADP DET NOUN NOUN ADJ ADP DET NOUN ADP PROPN PROPN PROPN PROPN PUNCT PUNCT DET PROPN PROPN PROPN PROPN NUM ADJ VERB ADV VERB VERB ADP ADP NOUN NUM NUM VERB NOUN ADP DET NOUN NOUN NOUN NOUN NOUN DET NOUN ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADJ VERB VERB DET NOUN ADV DET ADJ ADJ NOUN ADJ NOUN VERB ADV VERB VERB PUNCT ADP DET NOUN PUNCT VERB VERB VERB
when you go down Gainsborough Road innit?	0 0 0 1 0 1 0	down the road	literal	combined-other	ADV PRON VERB ADP PROPN PROPN NOUN	▁when ▁you ▁go ▁down ▁Gain s borough ▁Road ▁in nit ?	0 0 0 1 0 0 0 1 0 0 0	ADV PRON VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN
The rain was falling harder than ever as I cycled home down the Banbury Road, through the science ghetto on Parks Road and into a time - warp.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	DET NOUN VERB VERB ADV ADP ADV ADP PRON VERB ADV ADP DET PROPN PROPN ADP DET NOUN NOUN ADP PROPN PROPN CCONJ ADP DET NOUN PUNCT ADJ	▁The ▁rain ▁was ▁falling ▁harder ▁than ▁ever ▁as ▁I ▁cycle d ▁home ▁down ▁the ▁Ban bur y ▁Road , ▁through ▁the ▁science ▁g het to ▁on ▁Park s ▁Road ▁and ▁into ▁a ▁time ▁- ▁warp .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADV ADP ADV ADP PRON VERB VERB ADV ADP DET PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN CCONJ ADP DET NOUN PUNCT ADJ ADJ
Beyond this pandemic, there almost certainly lurks another down the road – potentially far more serious.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	figurative	identical	ADP DET NOUN ADV ADV ADV VERB DET ADP DET NOUN PUNCT ADV ADV ADV ADJ	▁Beyond ▁this ▁p and emic , ▁there ▁almost ▁certainly ▁lu rk s ▁another ▁down ▁the ▁road ▁ – ▁potentially ▁far ▁more ▁serious .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	ADP DET NOUN NOUN NOUN NOUN ADV ADV ADV VERB VERB VERB DET ADP DET NOUN PUNCT PUNCT ADV ADV ADV ADJ ADJ
And I started on the Monday morning, Dad did the sandwiches, since he was head chef in the morning for the family, and off he sent me down the road, wasn't too bad it was all down hill, early in the morning it was good for you, down hill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	CCONJ PRON VERB ADP DET PROPN NOUN PROPN VERB DET NOUN ADP PRON VERB NOUN NOUN ADP DET NOUN ADP DET NOUN CCONJ ADV PRON VERB PRON ADP DET NOUN VERB ADV ADJ PRON VERB DET ADP NOUN ADV ADP DET NOUN PRON VERB ADJ ADP PRON ADP NOUN	▁And ▁I ▁started ▁on ▁the ▁Monday ▁morning , ▁Da d ▁did ▁the ▁sandwich es , ▁since ▁he ▁was ▁head ▁che f ▁in ▁the ▁morning ▁for ▁the ▁family , ▁and ▁off ▁he ▁sent ▁me ▁down ▁the ▁road , ▁was n ' t ▁too ▁bad ▁it ▁was ▁all ▁down ▁hill , ▁early ▁in ▁the ▁morning ▁it ▁was ▁good ▁for ▁you , ▁down ▁hill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADP DET PROPN NOUN NOUN PROPN PROPN VERB DET NOUN NOUN NOUN ADP PRON VERB NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV PRON VERB PRON ADP DET NOUN NOUN VERB VERB VERB VERB ADV ADJ PRON VERB DET ADP NOUN NOUN ADV ADP DET NOUN PRON VERB ADJ ADP PRON PRON ADP NOUN NOUN
heavy horse, a land horse such as a Suffolk, as most of them were, erm but times were so tight that there was a farmer who used to send his horse with his horseman right past here and go another mile down the road to, to the next village to Kettleborough where there was ano, there were two farriers there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADJ NOUN DET NOUN NOUN ADJ ADP DET PROPN ADP ADJ ADP PRON VERB NOUN CCONJ NOUN VERB ADV ADJ ADP ADV VERB DET NOUN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN ADV CCONJ VERB DET NOUN ADP DET NOUN ADP ADP DET ADJ NOUN ADP PROPN ADV ADV VERB NOUN ADV VERB NUM NOUN ADV	▁heavy ▁horse , ▁a ▁land ▁horse ▁such ▁as ▁a ▁S uff ol k , ▁as ▁most ▁of ▁them ▁were , ▁er m ▁but ▁times ▁were ▁so ▁tight ▁that ▁there ▁was ▁a ▁farmer ▁who ▁used ▁to ▁send ▁his ▁horse ▁with ▁his ▁horse man ▁right ▁past ▁here ▁and ▁go ▁another ▁ mile ▁down ▁the ▁road ▁to , ▁to ▁the ▁next ▁village ▁to ▁Ke ttle borough ▁where ▁there ▁was ▁an o , ▁there ▁were ▁two ▁far riers ▁there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN DET NOUN NOUN ADJ ADP DET PROPN PROPN PROPN PROPN PROPN ADP ADJ ADP PRON VERB VERB NOUN NOUN CCONJ NOUN VERB ADV ADJ ADP ADV VERB DET NOUN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN ADV CCONJ VERB DET NOUN NOUN ADP DET NOUN ADP ADP ADP DET ADJ NOUN ADP PROPN PROPN PROPN ADV ADV VERB NOUN NOUN NOUN ADV VERB NUM NOUN NOUN ADV
He made his way down the narrow road, huddled like a crab within his familiar brown overcoat.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PRON VERB ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP ADJ ADJ ADJ NOUN	▁He ▁made ▁his ▁way ▁down ▁the ▁narrow ▁road , ▁hu dd led ▁like ▁a ▁crab ▁within ▁his ▁familiar ▁brown ▁over co at .	0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN NOUN NOUN
