A wealth of inviting attractions await all visitors who take the plunge …	0 0 0 0 0 0 0 0 0 1 0 1 0	take the plunge	figurative	identical	DET NOUN ADP VERB NOUN VERB DET NOUN NOUN VERB DET NOUN PUNCT
That attracted Pompey, and Whittingham explained : ‘ I decided to buy myself out for £ 450 and take the plunge — I 'm glad to say Portsmouth did pay me back the money — and I 've never really looked back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	DET VERB PROPN CCONJ PROPN VERB PUNCT PUNCT PRON VERB PART VERB PRON PART ADP SYM NUM CCONJ VERB DET NOUN PUNCT PRON VERB ADJ PART VERB PROPN VERB VERB PRON PART DET NOUN PUNCT CCONJ PRON VERB ADV ADV VERB ADV
The District Chief hesitated, then took the plunge.	0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	DET PROPN PROPN VERB ADV VERB DET NOUN
If you are claiming this, when you remortgage, you will only receive tax relief on the first £ 30,000 — a loss worth considering before you take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP PRON VERB VERB DET ADV PRON VERB PRON VERB ADV VERB NOUN NOUN ADP DET ADJ SYM NUM PUNCT DET NOUN ADJ VERB ADP PRON VERB DET NOUN
Take the plunge	1 0 1	take the plunge	figurative	case	VERB DET NOUN
For those who have yet to take the plunge I hope the following will act as a series of checkpoints that you can apply to your own, unique situation.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADP DET NOUN VERB ADV PART VERB DET NOUN PRON VERB DET VERB VERB VERB ADP DET NOUN ADP NOUN ADJ PRON VERB VERB ADP ADJ ADJ ADJ NOUN
He had decided to show himself to the crowd, and take the plunge into the humiliation that was awaiting him.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the plunge	figurative	identical	PRON VERB VERB PART VERB PRON ADP DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADJ VERB VERB PRON
In Yohei's case, this collapses into a craven botch — hilariously acted by Ryo Amamiya — in which he more or less accidentally dispatches his wife but can't bring himself to take the plunge and throw himself into the river as promised.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADP PROPN NOUN DET VERB ADP DET ADJ NOUN PUNCT ADV VERB ADP PROPN PROPN PUNCT ADP ADJ PRON ADV CCONJ ADV ADV VERB ADJ NOUN CCONJ VERB VERB PRON PART VERB DET NOUN CCONJ VERB PRON ADP DET NOUN ADP VERB
I was the only sane one, so although I hated to ask, I took the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	PRON VERB DET ADV ADJ NOUN CCONJ ADP PRON VERB PART VERB PRON VERB DET NOUN
Television presenter Lyn Spencer took the plunge off the edge of a building yesterday as part of International Women's Week.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	literal	inflection	NOUN NOUN PROPN PROPN VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP PROPN PROPN PROPN
Although this activity has traditionally been based in the UK, Spain and Germany are now taking the plunge as, Bonelli said, an increasing number of companies and government departments are outsourcing as part of rationalisation or downsizing projects.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	ADP DET NOUN VERB ADV VERB VERB ADP DET PROPN PROPN CCONJ PROPN VERB ADV VERB DET NOUN ADP PROPN VERB DET VERB NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB ADP NOUN ADP NOUN CCONJ VERB NOUN
Changing career is something that most people think about at one time or another, but comparatively few actually take the plunge — let alone sign up as full - time mature students.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	VERB NOUN VERB NOUN ADJ ADJ NOUN VERB ADP ADP NUM NOUN CCONJ DET CCONJ ADV ADJ ADV VERB DET NOUN PUNCT VERB ADV VERB PART ADP ADJ PUNCT NOUN ADJ NOUN
I still feel Ferguson took the plunge partly to appease a following that felt estranged when United entered the world of big money institutions.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	PRON ADV VERB PROPN VERB DET NOUN ADV PART VERB DET NOUN ADJ VERB ADJ ADV PROPN VERB DET NOUN ADP ADJ NOUN NOUN
In the West country waterside living offers a similar breadth of choice, and with the market approaching its low water mark, now might be the time to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP DET ADJ NOUN ADP NOUN VERB DET ADJ NOUN ADP NOUN CCONJ ADP DET NOUN VERB ADJ ADJ NOUN NOUN ADV VERB VERB DET NOUN PART VERB DET NOUN
I would take one more gentle little plunge into this strange world where neither the Laws of Newton nor of Thermodynamics seemed to apply.	0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	combined-other	PRON VERB VERB PRON ADV ADJ ADJ NOUN ADP DET ADJ NOUN ADV CCONJ DET PROPN ADP PROPN CCONJ ADP PROPN VERB PART VERB
Aside from abolition of exchange controls by the other major economies, the Government insists that Britain's inflation rate be brought more in line with that of her trading partners, before Britain takes the ERM plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	take the plunge	literal	combined-inflection	ADV ADP NOUN ADP NOUN NOUN ADP DET ADJ ADJ NOUN DET PROPN VERB ADP PROPN NOUN NOUN VERB VERB ADV ADP NOUN ADP DET ADP ADJ NOUN NOUN ADP PROPN VERB DET PROPN NOUN
