Keegan keeps low profile	0 1 1 1	keep a low profile	figurative	combined-inflection	PROPN VERB ADJ NOUN	▁Ke e gan ▁keeps ▁low ▁profile	0 0 0 1 1 1	PROPN PROPN PROPN VERB ADJ NOUN
Having kept an unusually low profile throughout the Dewan election campaign, it was now felt that the military might press hard for the election of their choice of Vice - President, while Gen. ( retd ) Suharto, 71, was expected to seek a fifth consecutive term of office as President.	0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	combined-inflection	VERB VERB DET ADV ADJ NOUN ADP DET PROPN NOUN NOUN PRON VERB ADV VERB ADP DET NOUN VERB VERB ADV ADP DET NOUN ADP ADJ NOUN ADP PROPN PUNCT PROPN ADP PROPN PUNCT PROPN PUNCT PROPN NUM VERB VERB PART VERB DET ADJ ADJ NOUN ADP NOUN ADP PROPN	▁Having ▁kept ▁an ▁unusually ▁low ▁profile ▁throughout ▁the ▁De wan ▁election ▁campaign , ▁it ▁was ▁now ▁felt ▁that ▁the ▁military ▁might ▁press ▁hard ▁for ▁the ▁election ▁of ▁their ▁choice ▁of ▁Vice ▁- ▁President , ▁while ▁Gen . ▁( ▁re t d ▁ ) ▁Su har to , ▁71 , ▁was ▁expected ▁to ▁seek ▁a ▁fifth ▁consecutive ▁term ▁of ▁office ▁as ▁President .	0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET ADV ADJ NOUN ADP DET PROPN PROPN NOUN NOUN NOUN PRON VERB ADV VERB ADP DET NOUN VERB VERB ADV ADP DET NOUN ADP ADJ NOUN ADP PROPN PUNCT PROPN PROPN ADP PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN NUM NUM VERB VERB PART VERB DET ADJ ADJ NOUN ADP NOUN ADP PROPN PROPN
We would have to keep a low profile.	0 0 0 0 1 0 1 1	keep a low profile	figurative	identical	PRON VERB VERB PART VERB DET ADJ NOUN	▁We ▁would ▁have ▁to ▁keep ▁a ▁low ▁profile .	0 0 0 0 1 0 1 1 1	PRON VERB VERB PART VERB DET ADJ NOUN NOUN
SHABBA AND ' The Specialist ' may not be the only ones to respond with a terse ' Who he?'when confronted by Scritti Politti, Green having kept such a low profile over the last three years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0	keep a low profile	figurative	combined-inflection	PROPN CCONJ PUNCT DET PROPN PUNCT VERB ADV VERB DET ADJ NOUN PART VERB ADP DET NOUN PUNCT NOUN NOUN VERB ADP PROPN PROPN PROPN VERB VERB ADJ DET ADJ NOUN ADP DET ADJ NUM NOUN	▁S HA BB A ▁AND ▁' ▁The ▁Special ist ▁' ▁may ▁not ▁be ▁the ▁only ▁ones ▁to ▁respond ▁with ▁a ▁ter se ▁' ▁Who ▁he ? ' when ▁confronted ▁by ▁Scri tti ▁Poli tti , ▁Green ▁having ▁kept ▁such ▁a ▁low ▁profile ▁over ▁the ▁last ▁three ▁years .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN CCONJ PUNCT DET PROPN PROPN PUNCT VERB ADV VERB DET ADJ NOUN PART VERB ADP DET NOUN NOUN PUNCT NOUN NOUN NOUN NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADJ DET ADJ NOUN ADP DET ADJ NUM NOUN NOUN
But Knox, who was the most brilliant orator of his generation at Oxford — star of the Union, wit, punster in tongues ancient and modern — had left Oxford before the end of the First World War to become a Roman Catholic, and after his return there as chaplain to the Catholics, it was perhaps understandable that he should have kept a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	inflection	CCONJ PROPN NOUN VERB DET ADV ADJ NOUN ADP ADJ NOUN ADP PROPN PUNCT NOUN ADP DET PROPN NOUN NOUN ADP NOUN ADJ CCONJ ADJ PUNCT VERB VERB PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PART VERB DET PROPN PROPN CCONJ ADP ADJ NOUN ADV ADP NOUN ADP DET PROPN PRON VERB ADV ADJ ADP PRON VERB VERB VERB DET ADJ NOUN	▁But ▁K n ox , ▁who ▁was ▁the ▁most ▁brilliant ▁or ator ▁of ▁his ▁generation ▁at ▁Oxford ▁ — ▁star ▁of ▁the ▁Union , ▁wit , ▁p un ster ▁in ▁tongue s ▁ancient ▁and ▁modern ▁ — ▁had ▁left ▁Oxford ▁before ▁the ▁end ▁of ▁the ▁First ▁World ▁War ▁to ▁become ▁a ▁Roman ▁Catholic , ▁and ▁after ▁his ▁return ▁there ▁as ▁chap lain ▁to ▁the ▁Catholic s , ▁it ▁was ▁perhaps ▁understandable ▁that ▁he ▁should ▁have ▁kept ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	CCONJ PROPN PROPN PROPN PROPN NOUN VERB DET ADV ADJ NOUN NOUN ADP ADJ NOUN ADP PROPN PUNCT PUNCT NOUN ADP DET PROPN PROPN NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN ADJ CCONJ ADJ PUNCT PUNCT VERB VERB PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PART VERB DET PROPN PROPN PROPN CCONJ ADP ADJ NOUN ADV ADP NOUN NOUN ADP DET PROPN PROPN PROPN PRON VERB ADV ADJ ADP PRON VERB VERB VERB DET ADJ NOUN NOUN
However, equally I believe that it should be spearheaded by teachers and others should keep a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	identical	ADV ADV PRON VERB ADP PRON VERB VERB VERB ADP NOUN CCONJ NOUN VERB VERB DET ADJ NOUN	▁However , ▁equally ▁I ▁believe ▁that ▁it ▁should ▁be ▁spear headed ▁by ▁teachers ▁and ▁others ▁should ▁keep ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADV ADV PRON VERB ADP PRON VERB VERB VERB VERB ADP NOUN CCONJ NOUN VERB VERB DET ADJ NOUN NOUN
‘ Just keep a low profile,’ Bodo said, as he started the engine and roared away.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	dashes	PUNCT ADV VERB DET ADJ ADJ PROPN VERB ADP PRON VERB DET NOUN CCONJ VERB ADV	▁ ‘ ▁Just ▁keep ▁a ▁low ▁profile , ’ ▁Bo do ▁said , ▁as ▁he ▁started ▁the ▁engine ▁and ▁ro ar ed ▁away .	0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV VERB DET ADJ ADJ ADJ ADJ PROPN PROPN VERB VERB ADP PRON VERB DET NOUN CCONJ VERB VERB VERB ADV ADV
From what you said on the phone, she's kept a low profile too, which is lucky.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	keep a low profile	figurative	inflection	ADP NOUN PRON VERB ADP DET NOUN PRON VERB DET ADJ NOUN ADV ADJ VERB ADJ	▁From ▁what ▁you ▁said ▁on ▁the ▁phone , ▁she ' s ▁kept ▁a ▁low ▁profile ▁too , ▁which ▁is ▁luck y .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	ADP NOUN PRON VERB ADP DET NOUN NOUN PRON PRON PRON VERB DET ADJ NOUN ADV ADV ADJ VERB ADJ ADJ ADJ
The Immigration and Customs people at Ramsgate had been instructed to watch out for the Renault 18 but to keep a low profile and let it through.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	keep a low profile	figurative	identical	DET PROPN CCONJ PROPN NOUN ADP PROPN VERB VERB VERB PART VERB PART ADP DET PROPN NUM CCONJ PART VERB DET ADJ NOUN CCONJ VERB PRON PART	▁The ▁Immigration ▁and ▁Customs ▁people ▁at ▁Ram s gate ▁had ▁been ▁instructed ▁to ▁watch ▁out ▁for ▁the ▁Renault ▁18 ▁but ▁to ▁keep ▁a ▁low ▁profile ▁and ▁let ▁it ▁through .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	DET PROPN CCONJ PROPN NOUN ADP PROPN PROPN PROPN VERB VERB VERB PART VERB PART ADP DET PROPN NUM CCONJ PART VERB DET ADJ NOUN CCONJ VERB PRON PART PART
Apart from his appearance at the funeral Mr Yeltsin kept a low profile yesterday.	0 0 0 0 0 0 0 0 0 1 0 1 1 0	keep a low profile	figurative	inflection	ADV ADP ADJ NOUN ADP DET NOUN PROPN PROPN VERB DET ADJ NOUN NOUN	▁Apart ▁from ▁his ▁appearance ▁at ▁the ▁funeral ▁Mr ▁Y elts in ▁kept ▁a ▁low ▁profile ▁yesterday .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	ADV ADP ADJ NOUN ADP DET NOUN PROPN PROPN PROPN PROPN VERB DET ADJ NOUN NOUN NOUN
The Communists, he pledged, would keep a low profile in the interests of overthrowing Chamberlain.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	keep a low profile	figurative	identical	DET PROPN PRON VERB VERB VERB DET ADJ NOUN ADP DET NOUN ADP VERB PROPN	▁The ▁Commun ists , ▁he ▁pledged , ▁would ▁keep ▁a ▁low ▁profile ▁in ▁the ▁interests ▁of ▁overthrow ing ▁Chamber lain .	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PRON VERB VERB VERB VERB DET ADJ NOUN ADP DET NOUN ADP VERB VERB PROPN PROPN PROPN
Sun is believed to be keeping a low profile on the suit lest it catch flak for restricting the clone trade.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	PROPN VERB VERB PART VERB VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB NOUN ADP VERB DET ADJ NOUN	▁Sun ▁is ▁believed ▁to ▁be ▁keeping ▁a ▁low ▁profile ▁on ▁the ▁suit ▁lest ▁it ▁catch ▁fl ak ▁for ▁restrict ing ▁the ▁clon e ▁trade .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB PART VERB VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB NOUN NOUN ADP VERB VERB DET ADJ ADJ NOUN NOUN
Sun will keep a low profile on the suit lest it catch flak from other Sparcsystem builders.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	identical	PROPN VERB VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB NOUN ADP ADJ PROPN NOUN	▁Sun ▁will ▁keep ▁a ▁low ▁profile ▁on ▁the ▁suit ▁lest ▁it ▁catch ▁fl ak ▁from ▁other ▁Spa rc system ▁build ers .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB NOUN NOUN ADP ADJ PROPN PROPN PROPN NOUN NOUN NOUN
During the Christmas dinner Andrew had kept a low profile, as it were, but in the evening he had played host under the admiring gaze of Mrs Emma Funnell.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADP DET PROPN NOUN PROPN VERB VERB DET ADJ NOUN ADP PRON VERB CCONJ ADP DET NOUN PRON VERB VERB NOUN ADP DET VERB NOUN ADP PROPN PROPN PROPN	▁Dur ing ▁the ▁Christmas ▁dinner ▁Andrew ▁had ▁kept ▁a ▁low ▁profile , ▁as ▁it ▁were , ▁but ▁in ▁the ▁evening ▁he ▁had ▁played ▁host ▁under ▁the ▁ad mir ing ▁g aze ▁of ▁Mrs ▁Em ma ▁Fu nn ell .	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET PROPN NOUN PROPN VERB VERB DET ADJ NOUN NOUN ADP PRON VERB VERB CCONJ ADP DET NOUN PRON VERB VERB NOUN ADP DET VERB VERB VERB NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN
Other locals were yesterday keeping a low profile, preserving the privacy requested by the couple.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADJ NOUN VERB NOUN VERB DET ADJ NOUN VERB DET NOUN VERB ADP DET NOUN	▁Other ▁local s ▁were ▁yesterday ▁keeping ▁a ▁low ▁profile , ▁preserving ▁the ▁privacy ▁requested ▁by ▁the ▁couple .	0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	ADJ NOUN NOUN VERB NOUN VERB DET ADJ NOUN NOUN VERB DET NOUN VERB ADP DET NOUN NOUN
Despite regular clashes between the leading figures in AT and VPE, Lalonde and Fernex, Lalonde is keeping a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	inflection	ADP ADJ NOUN ADP DET VERB NOUN ADP PROPN CCONJ PROPN PROPN CCONJ PROPN PROPN VERB VERB DET ADJ NOUN	▁D espite ▁regular ▁clash es ▁between ▁the ▁leading ▁figures ▁in ▁AT ▁and ▁V PE , ▁La lon de ▁and ▁Fer n ex , ▁La lon de ▁is ▁keeping ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP ADP ADJ NOUN NOUN ADP DET VERB NOUN ADP PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET ADJ NOUN NOUN
Venables who has attempted to keep a low profile, hoping not to give the book credence, will point out that he invested £ 3½ million, and many hours of his day to seize control of the club, when his successful takeover bid helped solve Tottenham's financial problems, and oust Scholar as a consequence.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	identical	NOUN NOUN VERB VERB PART VERB DET ADJ NOUN VERB ADV PART VERB DET NOUN NOUN VERB VERB PART ADP PRON VERB SYM NUM NUM CCONJ ADJ NOUN ADP ADJ NOUN PART VERB NOUN ADP DET NOUN ADV ADJ ADJ NOUN NOUN VERB VERB PROPN ADJ NOUN CCONJ VERB PROPN ADP DET NOUN	▁Ven able s ▁who ▁has ▁attempted ▁to ▁keep ▁a ▁low ▁profile , ▁hoping ▁not ▁to ▁give ▁the ▁book ▁cre dence , ▁will ▁point ▁out ▁that ▁he ▁invested ▁£ ▁3 1⁄ 2 ▁million , ▁and ▁many ▁hours ▁of ▁his ▁day ▁to ▁seize ▁control ▁of ▁the ▁club , ▁when ▁his ▁successful ▁takeover ▁bid ▁helped ▁solve ▁To tten ham ' s ▁financial ▁problems , ▁and ▁o ust ▁Sch olar ▁as ▁a ▁consequence .	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB VERB PART VERB DET ADJ NOUN NOUN VERB ADV PART VERB DET NOUN NOUN NOUN NOUN VERB VERB PART ADP PRON VERB SYM NUM NUM NUM NUM NUM CCONJ ADJ NOUN ADP ADJ NOUN PART VERB NOUN ADP DET NOUN NOUN ADV ADJ ADJ NOUN NOUN VERB VERB PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN CCONJ VERB VERB PROPN PROPN ADP DET NOUN NOUN
Large conspicuous wooden figures, Dotty and Dolly, and beneath their knees skulked little Alix Doddridge, creeping quietly, smiling obsequiously, keeping a low profile, longing to be ordinary, longing with such passion to be unnoticed, to be accepted, to be one of the crowd, not Dotty's Daughter, with all that that implied.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADJ ADJ ADJ NOUN PROPN CCONJ PROPN CCONJ ADP ADJ NOUN VERB ADJ PROPN PROPN VERB ADV VERB ADV VERB DET ADJ NOUN NOUN PART VERB ADJ VERB ADP ADJ NOUN PART VERB ADJ PART VERB VERB PART VERB NUM ADP DET NOUN ADV PROPN PROPN ADP DET ADJ DET VERB	▁Large ▁conspicuous ▁wooden ▁figures , ▁Do t ty ▁and ▁D ol ly , ▁and ▁beneath ▁their ▁knee s ▁ sk ul ked ▁little ▁A lix ▁Do dd rid ge , ▁creep ing ▁quiet ly , ▁s mil ing ▁ob se qui ously , ▁keeping ▁a ▁low ▁profile , ▁long ing ▁to ▁be ▁ordinary , ▁long ing ▁with ▁such ▁passion ▁to ▁be ▁un notice d , ▁to ▁be ▁accepted , ▁to ▁be ▁one ▁of ▁the ▁crowd , ▁not ▁Do t ty ' s ▁Daughter , ▁with ▁all ▁that ▁that ▁implied .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN NOUN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN CCONJ ADP ADJ NOUN NOUN VERB VERB VERB VERB ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADV ADV ADV VERB VERB VERB ADV ADV ADV ADV ADV VERB DET ADJ NOUN NOUN NOUN NOUN PART VERB ADJ ADJ VERB VERB ADP ADJ NOUN PART VERB ADJ ADJ ADJ ADJ PART VERB VERB VERB PART VERB NUM ADP DET NOUN NOUN ADV PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP DET ADJ DET VERB VERB
This week in Georgia he has been keeping a low profile, wrapped up in his own game plan, which is how he best enjoys life, it seems.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	DET NOUN ADP PROPN PRON VERB VERB VERB DET ADJ NOUN VERB PART ADP ADJ ADJ NOUN NOUN ADJ VERB ADV PRON ADJ VERB NOUN PRON VERB	▁This ▁week ▁in ▁Georgia ▁he ▁has ▁been ▁keeping ▁a ▁low ▁profile , ▁wrapped ▁up ▁in ▁his ▁own ▁game ▁plan , ▁which ▁is ▁how ▁he ▁best ▁enjoys ▁life , ▁it ▁seems .	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PROPN PRON VERB VERB VERB DET ADJ NOUN NOUN VERB PART ADP ADJ ADJ NOUN NOUN NOUN ADJ VERB ADV PRON ADJ VERB NOUN NOUN PRON VERB VERB
Do not deliberately keep a low profile	0 0 0 1 0 1 1	keep a low profile	figurative	identical	VERB ADV ADV VERB DET ADJ NOUN	▁Do ▁not ▁deliberately ▁keep ▁a ▁low ▁profile	0 0 0 1 0 1 1	VERB ADV ADV VERB DET ADJ NOUN
Claims by Mr Major and others that a Labour administration would be heavily influenced if not controlled by the unions appeared to fall on deaf ears as union leaders kept a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	inflection	NOUN ADP PROPN PROPN CCONJ NOUN ADP DET PROPN NOUN VERB VERB ADV VERB ADP ADV VERB ADP DET NOUN VERB PART VERB ADP ADJ NOUN ADP NOUN NOUN VERB DET ADJ NOUN	▁Claims ▁by ▁Mr ▁Major ▁and ▁others ▁that ▁a ▁Labour ▁administration ▁would ▁be ▁heavily ▁influenced ▁if ▁not ▁controlled ▁by ▁the ▁unions ▁appeared ▁to ▁fall ▁on ▁deaf ▁ears ▁as ▁union ▁leaders ▁kept ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	NOUN ADP PROPN PROPN CCONJ NOUN ADP DET PROPN NOUN VERB VERB ADV VERB ADP ADV VERB ADP DET NOUN VERB PART VERB ADP ADJ NOUN ADP NOUN NOUN VERB DET ADJ NOUN NOUN
