Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB	▁Time ▁will ▁tell .	1 1 1 1	PROPN VERB VERB VERB
Time will tell whether Swansea's grim win at an echoing Twickenham was an omen that the international in February will be fought out in the Cardiff fashion of last year or whether it was just these 80 minutes which had the mark of the beast upon them.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP PROPN ADJ NOUN ADP DET VERB PROPN VERB DET NOUN ADP DET ADJ ADP PROPN VERB VERB VERB PART ADP DET PROPN NOUN ADP ADJ NOUN CCONJ ADP PRON VERB ADV DET NUM NOUN ADJ VERB DET NOUN ADP DET NOUN ADP PRON	▁Time ▁will ▁tell ▁whether ▁S wan sea ' s ▁g rim ▁win ▁at ▁an ▁echo ing ▁T wick en ham ▁was ▁an ▁ omen ▁that ▁the ▁international ▁in ▁February ▁will ▁be ▁fought ▁out ▁in ▁the ▁Cardiff ▁fashion ▁of ▁last ▁year ▁or ▁whether ▁it ▁was ▁just ▁these ▁80 ▁minutes ▁which ▁had ▁the ▁mark ▁of ▁the ▁be ast ▁upon ▁them .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADP PROPN PROPN PROPN PROPN PROPN ADJ ADJ NOUN ADP DET VERB VERB PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADP DET ADJ ADP PROPN VERB VERB VERB PART ADP DET PROPN NOUN ADP ADJ NOUN CCONJ ADP PRON VERB ADV DET NUM NOUN ADJ VERB DET NOUN ADP DET NOUN NOUN ADP PRON PRON
Only time will tell what Hillary Clinton, now American's First Lady will do next.	0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB NOUN PROPN PROPN ADV PROPN PROPN PROPN VERB VERB ADV	▁Only ▁time ▁will ▁tell ▁what ▁Hill ary ▁Clinton , ▁now ▁American ' s ▁First ▁Lady ▁will ▁do ▁next .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB NOUN PROPN PROPN PROPN PROPN ADV PROPN PROPN PROPN PROPN PROPN VERB VERB ADV ADV
Time alone will tell whether these initiatives will significantly add to the drive towards improved VFM in central government, or, as so often in the past, will in the end have little effect.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	combined-other	NOUN ADV VERB VERB ADP DET NOUN VERB ADV VERB ADP DET NOUN ADP VERB PROPN ADP ADJ NOUN CCONJ ADP ADV ADV ADP DET NOUN VERB ADP DET NOUN VERB ADJ NOUN	▁Time ▁alone ▁will ▁tell ▁whether ▁these ▁initiatives ▁will ▁significantly ▁add ▁to ▁the ▁drive ▁towards ▁improved ▁V F M ▁in ▁central ▁government , ▁or , ▁as ▁so ▁often ▁in ▁the ▁past , ▁will ▁in ▁the ▁end ▁have ▁little ▁effect .	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN ADV VERB VERB ADP DET NOUN VERB ADV VERB ADP DET NOUN ADP VERB PROPN PROPN PROPN ADP ADJ NOUN NOUN CCONJ CCONJ ADP ADV ADV ADP DET NOUN NOUN VERB ADP DET NOUN VERB ADJ NOUN NOUN
But time will tell.	0 1 1 1	time will tell	figurative	identical	CCONJ NOUN VERB VERB	▁But ▁time ▁will ▁tell .	0 1 1 1 1	CCONJ NOUN VERB VERB VERB
Time will tell how well these twin goals work together.	1 1 1 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADV ADV DET ADJ NOUN VERB ADV	▁Time ▁will ▁tell ▁how ▁well ▁these ▁twin ▁goals ▁work ▁together .	1 1 1 0 0 0 0 0 0 0 0	PROPN VERB VERB ADV ADV DET ADJ NOUN VERB ADV ADV
Time will tell how this course can best be adapted to serve Christ at the end of the twentieth century.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADV DET NOUN VERB ADV VERB VERB PART VERB PROPN ADP DET NOUN ADP DET ADJ NOUN	▁Time ▁will ▁tell ▁how ▁this ▁course ▁can ▁best ▁be ▁adapted ▁to ▁serve ▁Christ ▁at ▁the ▁end ▁of ▁the ▁twentieth ▁century .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADV DET NOUN VERB ADV VERB VERB PART VERB PROPN ADP DET NOUN ADP DET ADJ NOUN NOUN
Time will tell. '	1 1 1 0	time will tell	figurative	case	PROPN VERB VERB PUNCT	▁Time ▁will ▁tell . ▁'	1 1 1 1 0	PROPN VERB VERB VERB PUNCT
Only time will tell though.	0 1 1 1 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADV	▁Only ▁time ▁will ▁tell ▁though .	0 1 1 1 0 0	ADJ NOUN VERB VERB ADV ADV
Only time will tell whether his work will have had as long - lasting an impact as that of Andre Malraux, de Gaulle's Minister of Culture between 1959 and 1969.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB VERB ADV ADV PUNCT VERB DET NOUN ADP DET ADP PROPN PROPN ADP PROPN PROPN ADP PROPN ADP NUM CCONJ NUM	▁Only ▁time ▁will ▁tell ▁whether ▁his ▁work ▁will ▁have ▁had ▁as ▁long ▁- ▁lasting ▁an ▁impact ▁as ▁that ▁of ▁Andre ▁Mal ra ux , ▁de ▁Gaulle ' s ▁Minister ▁of ▁Culture ▁between ▁1959 ▁and ▁1969 .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB VERB ADV ADV PUNCT VERB DET NOUN ADP DET ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN ADP PROPN ADP NUM CCONJ NUM NUM
To my mind there will be some restriction but only time will tell.	0 0 0 0 0 0 0 0 0 0 1 1 1	time will tell	figurative	identical	ADP ADJ NOUN ADV VERB VERB DET NOUN CCONJ ADJ NOUN VERB VERB	▁To ▁my ▁mind ▁there ▁will ▁be ▁some ▁restriction ▁but ▁only ▁time ▁will ▁tell .	0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP ADJ NOUN ADV VERB VERB DET NOUN CCONJ ADJ NOUN VERB VERB VERB
The short answer is that there are too many imponderables for a neatly overall prediction, and only time will tell how far into the future a given photograph or negative is likely to survive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	DET ADJ NOUN VERB ADP ADV VERB ADV ADJ NOUN ADP DET ADV ADJ NOUN CCONJ ADJ NOUN VERB VERB ADV ADV ADP DET NOUN DET VERB NOUN CCONJ ADJ VERB ADJ PART VERB	▁The ▁short ▁answer ▁is ▁that ▁there ▁are ▁too ▁many ▁imp onder able s ▁for ▁a ▁ne at ly ▁overall ▁prediction , ▁and ▁only ▁time ▁will ▁tell ▁how ▁far ▁into ▁the ▁future ▁a ▁given ▁photograph ▁or ▁negative ▁is ▁likely ▁to ▁survive .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP ADV VERB ADV ADJ NOUN NOUN NOUN NOUN ADP DET ADV ADV ADV ADJ NOUN NOUN CCONJ ADJ NOUN VERB VERB ADV ADV ADP DET NOUN DET VERB NOUN CCONJ ADJ VERB ADJ PART VERB VERB
Only time will tell.	0 1 1 1	time will tell	figurative	identical	ADJ NOUN VERB VERB	▁Only ▁time ▁will ▁tell .	0 1 1 1 1	ADJ NOUN VERB VERB VERB
The materials may well have improved, but only time will tell if the same can be said of workmanship and design.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	DET NOUN VERB ADV VERB VERB CCONJ ADJ NOUN VERB VERB ADP DET ADJ VERB VERB VERB ADP NOUN CCONJ NOUN	▁The ▁materials ▁may ▁well ▁have ▁improved , ▁but ▁only ▁time ▁will ▁tell ▁if ▁the ▁same ▁can ▁be ▁said ▁of ▁work man ship ▁and ▁design .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB VERB VERB CCONJ ADJ NOUN VERB VERB ADP DET ADJ VERB VERB VERB ADP NOUN NOUN NOUN CCONJ NOUN NOUN
Time will tell whether there is widespread demand for the Discman and the other formats.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP ADV VERB ADJ NOUN ADP DET PROPN CCONJ DET ADJ NOUN	▁Time ▁will ▁tell ▁whether ▁there ▁is ▁widespread ▁demand ▁for ▁the ▁Dis c man ▁and ▁the ▁other ▁formats .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADP ADV VERB ADJ NOUN ADP DET PROPN PROPN PROPN CCONJ DET ADJ NOUN NOUN
But only time will tell.	0 0 1 1 1	time will tell	figurative	identical	CCONJ ADJ NOUN VERB VERB	▁But ▁only ▁time ▁will ▁tell .	0 0 1 1 1 1	CCONJ ADJ NOUN VERB VERB VERB
Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB	▁Time ▁will ▁tell .	1 1 1 1	PROPN VERB VERB VERB
In those cases with indeterminate colitis, only time will tell whether these patients behave as those with ulcerative colitis or true Crohn's disease.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP DET NOUN ADP ADJ NOUN ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET ADP ADJ NOUN CCONJ ADJ PROPN NOUN	▁In ▁those ▁cases ▁with ▁in de term inate ▁col itis , ▁only ▁time ▁will ▁tell ▁whether ▁these ▁patients ▁behave ▁as ▁those ▁with ▁ulcer ative ▁col itis ▁or ▁true ▁Cro hn ' s ▁disease .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET ADP ADJ ADJ NOUN NOUN CCONJ ADJ PROPN PROPN PROPN PROPN NOUN NOUN
In fact, from the simplicity aspect alone it could well mark the beginning of the end for reel - to - reels around the small studio, but of course only time will tell …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	time will tell	figurative	identical	ADP NOUN ADP DET NOUN NOUN ADJ PRON VERB ADV VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN ADP DET ADJ NOUN CCONJ ADP NOUN ADV NOUN VERB VERB PUNCT	▁In ▁fact , ▁from ▁the ▁simplicity ▁aspect ▁alone ▁it ▁could ▁well ▁mark ▁the ▁beginning ▁of ▁the ▁end ▁for ▁re el ▁- ▁to ▁- ▁re els ▁around ▁the ▁small ▁studio , ▁but ▁of ▁course ▁only ▁time ▁will ▁tell ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	ADP NOUN NOUN ADP DET NOUN NOUN ADJ PRON VERB ADV VERB DET NOUN ADP DET NOUN ADP NOUN NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET ADJ NOUN NOUN CCONJ ADP NOUN ADV NOUN VERB VERB PUNCT
Time will tell which ended better.	1 1 1 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADJ VERB ADV	▁Time ▁will ▁tell ▁which ▁ended ▁better .	1 1 1 0 0 0 0	PROPN VERB VERB ADJ VERB ADV ADV
However time will tell how easy and/or pleasant they are to use.	0 1 1 1 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADV NOUN VERB VERB ADV ADJ CCONJ ADJ PRON VERB PART VERB	▁However ▁time ▁will ▁tell ▁how ▁easy ▁and / or ▁pleasant ▁they ▁are ▁to ▁use .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV NOUN VERB VERB ADV ADJ CCONJ CCONJ CCONJ ADJ PRON VERB PART VERB VERB
Only time will tell if John Gummer has the political clout — or inclination — to throw real weight behind the construction industry as it struggles out of recession.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PROPN PROPN VERB DET ADJ NOUN PUNCT CCONJ NOUN PUNCT PART VERB ADJ NOUN ADP DET NOUN NOUN ADP PRON VERB ADP ADP NOUN	▁Only ▁time ▁will ▁tell ▁if ▁John ▁G um mer ▁has ▁the ▁political ▁clo ut ▁ — ▁or ▁inclination ▁ — ▁to ▁throw ▁real ▁weight ▁behind ▁the ▁construction ▁industry ▁as ▁it ▁struggle s ▁out ▁of ▁recession .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN NOUN PUNCT PUNCT CCONJ NOUN PUNCT PUNCT PART VERB ADJ NOUN ADP DET NOUN NOUN ADP PRON VERB VERB ADP ADP NOUN NOUN
Only time will tell whether the Lawn Tennis Association will receive an additional benefit to those already being reaped at its National Training Centre at Bisham, following its acquisition of former Wimbledon finalist Olga Morozova to its staff.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET PROPN PROPN PROPN VERB VERB DET ADJ NOUN ADP DET ADV VERB VERB ADP ADJ PROPN PROPN PROPN ADP PROPN VERB ADJ NOUN ADP ADJ PROPN NOUN PROPN PROPN ADP ADJ NOUN	▁Only ▁time ▁will ▁tell ▁whether ▁the ▁Law n ▁Ten nis ▁Association ▁will ▁receive ▁an ▁additional ▁benefit ▁to ▁those ▁already ▁being ▁reap ed ▁at ▁its ▁National ▁Training ▁Centre ▁at ▁Bis ham , ▁following ▁its ▁acquisition ▁of ▁former ▁Wi mble don ▁final ist ▁Ol ga ▁M orozo va ▁to ▁its ▁staff .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN VERB VERB DET ADJ NOUN ADP DET ADV VERB VERB VERB ADP ADJ PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB ADJ NOUN ADP ADJ PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP ADJ NOUN NOUN
Only time will tell, but it will require a number of dedicated members to get it off the ground.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN PART VERB PRON ADP DET NOUN	▁Only ▁time ▁will ▁tell , ▁but ▁it ▁will ▁require ▁a ▁number ▁of ▁dedicated ▁members ▁to ▁get ▁it ▁off ▁the ▁ground .	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB VERB CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN PART VERB PRON ADP DET NOUN NOUN
' Time will tell, ' he said.	0 1 1 1 0 0 0	time will tell	figurative	case	PUNCT NOUN VERB VERB PUNCT PRON VERB	▁' ▁Time ▁will ▁tell , ▁' ▁he ▁said .	0 1 1 1 1 0 0 0 0	PUNCT NOUN VERB VERB VERB PUNCT PRON VERB VERB
Time will tell whether, in trying to tailor the magic formula to their own requirements, Britain's new - look high - street off - licences will sink or swim into the Nineties.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP ADP VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN PROPN ADJ PUNCT VERB ADJ PUNCT NOUN ADP PUNCT NOUN VERB VERB CCONJ VERB ADP DET PROPN	▁Time ▁will ▁tell ▁whether , ▁in ▁trying ▁to ▁tailor ▁the ▁magic ▁formula ▁to ▁their ▁own ▁requirements , ▁Britain ' s ▁new ▁- ▁look ▁high ▁- ▁street ▁off ▁- ▁licences ▁will ▁sink ▁or ▁sw im ▁into ▁the ▁Nine ties .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADP ADP ADP VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN PROPN PROPN PROPN ADJ PUNCT VERB ADJ PUNCT NOUN ADP PUNCT NOUN VERB VERB CCONJ VERB VERB ADP DET PROPN PROPN PROPN
Nothing conclusive has been found and it seems only time will tell if the trouble re - emerges.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	time will tell	figurative	identical	NOUN ADJ VERB VERB VERB CCONJ PRON VERB ADJ NOUN VERB VERB ADP DET NOUN NOUN PUNCT NOUN	▁Nothing ▁conclusive ▁has ▁been ▁found ▁and ▁it ▁seems ▁only ▁time ▁will ▁tell ▁if ▁the ▁trouble ▁re ▁- ▁emerges .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	NOUN ADJ VERB VERB VERB CCONJ PRON VERB ADJ NOUN VERB VERB ADP DET NOUN NOUN PUNCT NOUN NOUN
On these issues only time and further research will tell.	0 0 0 0 1 0 0 0 1 1	time will tell	figurative	insertion-other	ADP DET NOUN ADV NOUN CCONJ ADJ NOUN VERB VERB	▁On ▁these ▁issues ▁only ▁time ▁and ▁further ▁research ▁will ▁tell .	0 0 0 0 1 0 0 0 1 1 1	ADP DET NOUN ADV NOUN CCONJ ADJ NOUN VERB VERB VERB
Time ( and his bank balance ) will tell, but at least now the whole thing's up and running he can retreat out of the public eye.	1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	combined-other	PROPN PUNCT CCONJ ADJ NOUN NOUN PUNCT VERB VERB CCONJ ADP ADJ ADV DET ADJ NOUN ADV CCONJ VERB PRON VERB VERB ADP ADP DET ADJ NOUN	▁Time ▁( ▁and ▁his ▁bank ▁balance ▁ ) ▁will ▁tell , ▁but ▁at ▁least ▁now ▁the ▁whole ▁thing ' s ▁up ▁and ▁running ▁he ▁can ▁retreat ▁out ▁of ▁the ▁public ▁eye .	1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PUNCT CCONJ ADJ NOUN NOUN PUNCT PUNCT VERB VERB VERB CCONJ ADP ADJ ADV DET ADJ NOUN NOUN NOUN ADV CCONJ VERB PRON VERB VERB ADP ADP DET ADJ NOUN NOUN
