She picked up a piece of pottery and turned it over.	0 1 1 0 1 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET NOUN ADP NOUN CCONJ VERB PRON PART
Sigarup picked up a piece of unlit jharo and held it in the fire until it was blazing and drips of flaming resin fell from it, spluttering to the ground.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PROPN VERB PART DET NOUN ADP ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP PRON VERB VERB CCONJ NOUN ADP VERB NOUN VERB ADP PRON VERB ADP DET NOUN
You get mad, sometimes you cry, then you pick up the pieces and get on, because there's always someone else who needs you.’	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	PRON VERB ADJ ADV PRON VERB ADV PRON VERB PART DET NOUN CCONJ VERB PART ADP ADV ADV NOUN ADV NOUN VERB NOUN
You picked up the pieces and went on.	0 1 1 0 1 0 0 0	pick up the pieces	figurative	inflection	PRON VERB PART DET NOUN CCONJ VERB PART
She picked up a piece of paper and began drawing little cameo pictures of the bowl of fruit on the sideboard, of the flowers in the garden, bending under the wind.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET NOUN ADP NOUN CCONJ VERB VERB ADJ ADJ NOUN ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN
He picked up a piece of the flesh, sniffed it and tossed it down.	0 1 1 0 1 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET NOUN ADP DET NOUN VERB PRON CCONJ VERB PRON PART
It has already made behind - the - scenes preparations to share the job of picking up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	inflection	PRON VERB ADV VERB ADP PUNCT DET PUNCT NOUN NOUN PART VERB DET NOUN ADP VERB PART DET NOUN
Athelstan picked up the piece of parchment and the candle, scrutinising what he had written.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	inflection	PROPN VERB PART DET NOUN ADP NOUN CCONJ DET NOUN VERB NOUN PRON VERB VERB
Pick all the pieces up, then come and ' ave yer baths.	1 0 0 1 1 0 0 0 0 0 0 0	pick up the pieces	literal	misc	VERB ADJ DET NOUN PART ADV VERB CCONJ PUNCT VERB ADJ NOUN
ROBBIE Sometimes when I was washing the car, he had a great big Ford estate, I 'd pick up a piece of gravel and just scratch the paint a wee bit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PROPN ADV ADV PRON VERB VERB DET NOUN PRON VERB DET ADJ ADJ PROPN NOUN PRON VERB VERB PART DET NOUN ADP NOUN CCONJ ADV VERB DET NOUN DET ADJ NOUN
I picked up the pieces myself.	0 1 1 0 1 0	pick up the pieces	literal	inflection	PRON VERB PART DET NOUN PRON
