‘ Nothing was said behind your back!’	0 0 0 0 1 1 1	behind someone's back	figurative	combined-other	PUNCT NOUN VERB VERB ADP ADJ NOUN
Now he pretended to be waving his cape at the bull and executed a neat veronica, then she kicked her leg up backwards and touched her heel with her fingers while he looked scornfully on with one hand behind his back palm facing outwards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	behind someone's back	literal	possessive	ADV PRON VERB PART VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB DET ADJ NOUN ADV PRON VERB ADJ NOUN PART ADV CCONJ VERB ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADV ADV ADP NUM NOUN ADP ADJ ADJ NOUN VERB NOUN
I prop two pillows behind her back and she relaxes into them.	0 0 0 0 1 1 1 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB NUM NOUN ADP ADJ ADV CCONJ PRON VERB ADP PRON
I knew perfectly well that he respected the Manager and even liked him though it was against his nature to admit it ; the thing that maddened him was that this had happened behind his back, and for a reason which he obviously found as inadequate as I did.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PRON VERB ADV ADV ADP PRON VERB DET PROPN CCONJ ADV VERB PRON ADP PRON VERB ADP ADJ NOUN PART VERB PRON PUNCT DET NOUN ADJ VERB PRON VERB ADP DET VERB VERB ADP ADJ NOUN CCONJ ADP DET NOUN ADJ PRON ADV VERB ADV ADJ ADP PRON VERB
By bringing in those whores behind my back … ’	0 0 0 0 0 1 1 1 0 0	behind someone's back	figurative	possessive	ADP VERB PART DET NOUN ADP ADJ NOUN PUNCT PUNCT
Tavalouze's light voice came from behind Lucien's back.	0 0 0 0 0 1 1 1	behind someone's back	literal	combined-other	PROPN ADJ NOUN VERB ADP ADP PROPN NOUN
Their hands were tied behind their backs.	0 0 0 0 1 1 1	behind someone's back	literal	combined-inflection	ADJ NOUN VERB VERB ADP ADJ NOUN
what he says behind my back, I mean I tell you someone else who's two faced, Marcus is two faced.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	NOUN PRON VERB ADP ADJ NOUN PRON VERB PRON VERB PRON NOUN ADV NOUN NUM VERB PROPN VERB NUM VERB
All the children stand in a circle facing inward, with their hands behind their backs.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	combined-inflection	ADJ DET NOUN VERB ADP DET NOUN NOUN ADV ADP ADJ NOUN ADP ADJ NOUN
Mike and Dermot dragged her off, still crying and screaming, while Fergal held Patsy by both his elbows, which he had pulled behind Patsy's back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	combined-other	PROPN CCONJ PROPN VERB PRON PART ADV VERB CCONJ VERB ADP PROPN VERB PROPN ADP DET ADJ NOUN ADJ PRON VERB VERB ADP PROPN NOUN
‘ How dare you go behind my back,’ he said.	0 0 0 0 0 1 1 1 0 0	behind someone's back	figurative	combined-other	PUNCT ADV VERB PRON VERB ADP ADJ NOUN PRON VERB
Other girls and boys can be very unkind, as Doreen had found : " All the kids kept pointing fingers, talking behind my back, starting rumours and were generally very bitchy. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	ADJ NOUN CCONJ NOUN VERB VERB ADV ADJ ADP PROPN VERB VERB PUNCT PUNCT ADJ DET NOUN VERB VERB NOUN VERB ADP ADJ NOUN VERB NOUN CCONJ VERB ADV ADV ADJ PUNCT
Li Yuan turned away, hearing the giggling that went on behind his back as Fei Yen went across to help her cousin.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PROPN PROPN VERB ADV VERB DET NOUN ADJ VERB PART ADP ADJ NOUN ADP PROPN PROPN VERB PART PART VERB ADJ NOUN
Carla made fun of Ellwood behind his back.	0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PROPN VERB NOUN ADP PROPN ADP ADJ NOUN
You 're going behind my back again.	0 0 0 1 1 1 0	behind someone's back	figurative	possessive	PRON VERB VERB ADP ADJ NOUN ADV
Because when, after seven or eight long seconds of genuine respect, he saw Howard looking at him out of the corner of his eye, he hastily hid the bottle of sherry behind his back and bowed his head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	literal	possessive	ADP ADV ADP NUM CCONJ NUM ADJ NOUN ADP ADJ NOUN PRON VERB PROPN VERB ADP PRON ADP ADP DET NOUN ADP ADJ NOUN PRON ADV VERB DET NOUN ADP NOUN ADP ADJ NOUN CCONJ VERB ADJ NOUN
Gingerly, sweating, I curled my left hand behind my back and felt for the third arrow, and found it sticking out of my jersey though fairly loose in my hand.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	ADV VERB PRON VERB ADJ ADJ NOUN ADP ADJ NOUN CCONJ VERB ADP DET ADJ NOUN CCONJ VERB PRON VERB ADP ADP ADJ NOUN ADP ADV ADJ ADP ADJ NOUN
Place your right hand behind your back so that it is resting on your left hip.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	VERB ADJ ADJ NOUN ADP ADJ NOUN ADP ADP PRON VERB VERB ADP ADJ ADJ NOUN
behind your back!	1 1 1	behind someone's back	figurative	possessive	ADP ADJ NOUN
I then vomited, lay still for some seconds to recover from my disorientation and looked up at the officer, standing nonchalantly with hands clasped behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON ADV VERB VERB ADV ADP DET NOUN PART VERB ADP ADJ NOUN CCONJ VERB PART ADP DET NOUN VERB ADV ADP NOUN VERB ADP ADJ NOUN
They tied his arms behind his back.	0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON VERB ADJ NOUN ADP ADJ NOUN
male world of the the guilds, the working men's clubs, the freemasons, the rotarians, and even the pubs which have a predominately male culture and we don't know what they 're saying about us behind our back and I think that is why there's so much naivety about.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	ADJ NOUN ADP DET DET NOUN DET VERB NOUN NOUN DET NOUN DET NOUN CCONJ ADV DET NOUN ADJ VERB DET ADV ADJ NOUN CCONJ PRON VERB VERB NOUN PRON VERB VERB ADP PRON ADP ADJ NOUN CCONJ PRON VERB DET VERB ADV ADV ADV ADJ NOUN ADP
Tiptoe, tie her hands behind her back.’	0 0 0 0 1 1 1	behind someone's back	figurative	combined-other	ADJ VERB ADJ NOUN ADP ADJ NOUN
She lies there on her side, facing me, watching me, still panting, hands still trapped behind her back, a strange, charged expression on her face, and after a bit she says, ‘ Is that it?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB ADV ADP ADJ NOUN VERB PRON VERB PRON ADV VERB NOUN ADV VERB ADP PRON ADV DET ADJ VERB NOUN ADP ADJ NOUN CCONJ ADP DET NOUN PRON VERB PUNCT VERB DET NOUN
There were times when his grandma or his aunties made trouble for him behind his back, or when someone would comment on his lack of height and Sweetheart would punish him for the embarrassment he caused her.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	ADV VERB NOUN ADV ADJ NOUN CCONJ ADJ NOUN VERB NOUN ADP PRON ADP ADJ NOUN CCONJ ADV NOUN VERB VERB ADP ADJ NOUN ADP NOUN CCONJ PROPN VERB VERB PRON ADP DET NOUN PRON VERB PRON
It was nearly seven in the evening and the sun was setting behind their backs before the two weary, footsore brothers were able to limp back to their barracks in Number Three Village with their joint quota fulfilled.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	combined-inflection	PRON VERB ADV NUM ADP DET NOUN CCONJ DET NOUN VERB VERB ADP ADJ NOUN ADP DET NUM ADJ NOUN NOUN VERB ADJ PART VERB ADV ADP ADJ NOUN ADP PROPN NUM PROPN ADP ADJ ADJ NOUN VERB
Malik clasped his hands behind his back.	0 0 0 0 1 1 1	behind someone's back	literal	possessive	PROPN VERB ADJ NOUN ADP ADJ NOUN
Although, she reasoned realistically, if he had been fooling around behind her back it indicated that what he felt for her fell very far short of love, in which case he would probably have cancelled the wedding if she hadn't.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	ADP PRON VERB ADV ADP PRON VERB VERB VERB PART ADP PRON NOUN PRON VERB ADP NOUN PRON VERB ADP PRON VERB ADV ADV ADJ ADP NOUN ADP ADJ NOUN PRON VERB ADV VERB VERB DET NOUN ADP PRON VERB
Well, well he came out when Kelly, when I, I 'm behind her back, Ashley was screaming and shouting and screaming and shouting!	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	INTJ INTJ PRON VERB PART ADV PROPN ADV PRON PRON VERB ADP PRON ADV PROPN VERB VERB CCONJ VERB CCONJ VERB CCONJ VERB
He took one from an armchair and put it behind her back.	0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON VERB NUM ADP DET NOUN CCONJ VERB PRON ADP PRON ADV
