Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET	▁Cut s ▁and ▁c apping ▁have ▁sadly ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 1 1 1 0 0	NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB VERB ADP DET DET
It has been known for Goblins to get so ambitious that the entire catapult springs from its mounts and hits the Goblin splat in the face, putting paid to the whole device.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	inflection	PRON VERB VERB VERB ADP NOUN PART VERB ADV ADJ ADP DET ADJ NOUN NOUN ADP ADJ NOUN CCONJ VERB DET PROPN NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN	▁It ▁has ▁been ▁known ▁for ▁Go b lin s ▁to ▁get ▁so ▁ambitious ▁that ▁the ▁entire ▁cata pul t ▁springs ▁from ▁its ▁mount s ▁and ▁hit s ▁the ▁Go b lin ▁s plat ▁in ▁the ▁face , ▁putting ▁paid ▁to ▁the ▁whole ▁device .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PRON VERB VERB VERB ADP NOUN NOUN NOUN NOUN PART VERB ADV ADJ ADP DET ADJ NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN CCONJ VERB VERB DET PROPN PROPN PROPN NOUN NOUN ADP DET NOUN NOUN VERB VERB ADP DET ADJ NOUN NOUN
But the October 1987 crash put paid to many ambitions.	0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET PROPN NUM NOUN VERB VERB ADP ADJ NOUN	▁But ▁the ▁October ▁1987 ▁crash ▁put ▁paid ▁to ▁many ▁ambitions .	0 0 0 0 0 1 1 1 0 0 0	CCONJ DET PROPN NUM NOUN VERB VERB ADP ADJ NOUN NOUN
This was the cause of his deafness, which put paid to a planned career in the army and in politics.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB DET NOUN ADP ADJ NOUN ADJ VERB VERB ADP DET VERB NOUN ADP DET NOUN CCONJ ADP NOUN	▁This ▁was ▁the ▁cause ▁of ▁his ▁deaf ness , ▁which ▁put ▁paid ▁to ▁a ▁planned ▁career ▁in ▁the ▁army ▁and ▁in ▁politics .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN ADP ADJ NOUN NOUN NOUN ADJ VERB VERB ADP DET VERB NOUN ADP DET NOUN CCONJ ADP NOUN NOUN
There was a dreadful swirling wind last night complete with lashing rain that probably put paid to what would have been a very good match ( even so it was adequate ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADV VERB DET ADJ NOUN NOUN ADJ NOUN ADJ ADP VERB NOUN ADJ ADV VERB VERB ADP NOUN VERB VERB VERB DET ADV ADJ NOUN PUNCT ADV ADP PRON VERB ADJ PUNCT	▁There ▁was ▁a ▁dreadful ▁sw ir ling ▁wind ▁last ▁night ▁complete ▁with ▁la shing ▁rain ▁that ▁probably ▁put ▁paid ▁to ▁what ▁would ▁have ▁been ▁a ▁very ▁good ▁match ▁( ▁even ▁so ▁it ▁was ▁adequate ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET ADJ NOUN NOUN NOUN NOUN ADJ NOUN ADJ ADP VERB VERB NOUN ADJ ADV VERB VERB ADP NOUN VERB VERB VERB DET ADV ADJ NOUN PUNCT ADV ADP PRON VERB ADJ PUNCT PUNCT
The weather's put pay to other events.	0 0 1 1 1 0 0	put paid to	figurative	inflection	DET NOUN VERB NOUN ADP ADJ NOUN	▁The ▁weather ' s ▁put ▁pay ▁to ▁other ▁events .	0 0 0 0 1 1 1 0 0 0	DET NOUN NOUN NOUN VERB NOUN ADP ADJ NOUN NOUN
If we find that we have no right of access over that road, that puts paid to Shilton.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	inflection	ADP PRON VERB ADP PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB ADP PROPN	▁If ▁we ▁find ▁that ▁we ▁have ▁no ▁right ▁of ▁access ▁over ▁that ▁road , ▁that ▁puts ▁paid ▁to ▁S hil ton .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADP PRON VERB ADP PRON VERB DET NOUN ADP NOUN ADP DET NOUN NOUN ADJ VERB VERB ADP PROPN PROPN PROPN PROPN
The miners ' strike put paid to that stage of the project and Peter returned to the Operations Support Group in London to prepare operating procedures and training manuals for the Ula platform.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN PART NOUN VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PROPN VERB ADP DET PROPN PROPN PROPN ADP PROPN PART VERB VERB NOUN CCONJ NOUN NOUN ADP DET PROPN NOUN	▁The ▁miners ▁' ▁strike ▁put ▁paid ▁to ▁that ▁stage ▁of ▁the ▁project ▁and ▁Peter ▁returned ▁to ▁the ▁Operations ▁Support ▁Group ▁in ▁London ▁to ▁prepare ▁operating ▁procedures ▁and ▁training ▁manual s ▁for ▁the ▁Ul a ▁platform .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PART NOUN VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PROPN VERB ADP DET PROPN PROPN PROPN ADP PROPN PART VERB VERB NOUN CCONJ NOUN NOUN NOUN ADP DET PROPN PROPN NOUN NOUN
Half an hour with a drum of selective weed killer and a spray and you 'd put paid to that lot for good and all.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	ADJ DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN CCONJ DET NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN ADP ADJ CCONJ NOUN	▁Half ▁an ▁hour ▁with ▁a ▁drum ▁of ▁selective ▁we ed ▁kill er ▁and ▁a ▁spray ▁and ▁you ▁' d ▁put ▁paid ▁to ▁that ▁lot ▁for ▁good ▁and ▁all . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADJ DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN NOUN CCONJ DET NOUN CCONJ PRON VERB VERB VERB VERB ADP DET NOUN ADP ADJ CCONJ NOUN NOUN NOUN
But a German aeroplane put paid to that and crippled my mother into the bargain.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ DET ADJ NOUN VERB VERB ADP DET CCONJ VERB ADJ NOUN ADP DET NOUN	▁But ▁a ▁German ▁aeroplane ▁put ▁paid ▁to ▁that ▁and ▁cri ppl ed ▁my ▁mother ▁into ▁the ▁bargain .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET ADJ NOUN VERB VERB ADP DET CCONJ VERB VERB VERB ADJ NOUN ADP DET NOUN NOUN
Goals from Jimmy Quinn and Philip Gray — his first for the international team — were enough to see of the Baltic challenge although Denmark's victory over Albania earlier in the day put paid to our last fading hopes of qualifying for the World Cup finals in America.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN ADP PROPN PROPN CCONJ PROPN PROPN PUNCT ADJ ADJ ADP DET ADJ NOUN PUNCT VERB ADJ PART VERB ADP DET ADJ NOUN ADP PROPN NOUN ADP PROPN ADV ADP DET NOUN VERB VERB ADP ADJ ADJ ADJ NOUN ADP VERB ADP DET PROPN PROPN NOUN ADP PROPN	▁Go al s ▁from ▁J im my ▁Quin n ▁and ▁Philip ▁G ray ▁ — ▁his ▁first ▁for ▁the ▁international ▁team ▁ — ▁were ▁enough ▁to ▁see ▁of ▁the ▁Baltic ▁challenge ▁although ▁Denmark ' s ▁victory ▁over ▁Albania ▁earlier ▁in ▁the ▁day ▁put ▁paid ▁to ▁our ▁last ▁f ading ▁hopes ▁of ▁qualify ing ▁for ▁the ▁World ▁C up ▁final s ▁in ▁America .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PUNCT ADJ ADJ ADP DET ADJ NOUN PUNCT PUNCT VERB ADJ PART VERB ADP DET ADJ NOUN ADP PROPN PROPN PROPN NOUN ADP PROPN ADV ADP DET NOUN VERB VERB ADP ADJ ADJ ADJ ADJ NOUN ADP VERB VERB ADP DET PROPN PROPN PROPN NOUN NOUN ADP PROPN PROPN
This dire short - term market squeeze has at least temporarily put paid to the idea that the building society industry is making a graceful adaptation to the 1980s ' deregulation of the financial services market.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADP ADV ADV VERB VERB ADP DET NOUN ADP DET VERB NOUN NOUN VERB VERB DET ADJ NOUN ADP DET NOUN PART NOUN ADP DET ADJ NOUN NOUN	▁This ▁dire ▁short ▁- ▁term ▁market ▁squeeze ▁has ▁at ▁least ▁temporarily ▁put ▁paid ▁to ▁the ▁idea ▁that ▁the ▁building ▁society ▁industry ▁is ▁making ▁a ▁grace ful ▁adaptation ▁to ▁the ▁1980 s ▁' ▁deregulation ▁of ▁the ▁financial ▁services ▁market .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADP ADV ADV VERB VERB ADP DET NOUN ADP DET VERB NOUN NOUN VERB VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN PART NOUN ADP DET ADJ NOUN NOUN NOUN
Then, putting paid to any ideas he might have, she added, ‘ On condition that that is how it remains : a friendly environment purely for working purposes.’	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	ADV VERB VERB ADP DET NOUN PRON VERB VERB PRON VERB PUNCT ADP NOUN ADP DET VERB ADV PRON VERB PUNCT DET ADJ NOUN ADV ADP VERB NOUN	▁Then , ▁putting ▁paid ▁to ▁any ▁ideas ▁he ▁might ▁have , ▁she ▁added , ▁ ‘ ▁On ▁condition ▁that ▁that ▁is ▁how ▁it ▁remains ▁ : ▁a ▁friendly ▁environment ▁pure ly ▁for ▁working ▁purposes . ’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB VERB ADP DET NOUN PRON VERB VERB VERB PRON VERB VERB PUNCT PUNCT ADP NOUN ADP DET VERB ADV PRON VERB PUNCT PUNCT DET ADJ NOUN ADV ADV ADP VERB NOUN NOUN NOUN
But thieves almost put paid to his invalid car, by stealing the battery and then trying to smash the car when they couldn't get it started.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	CCONJ NOUN ADV VERB VERB ADP ADJ ADJ NOUN ADP VERB DET NOUN CCONJ ADV VERB PART VERB DET NOUN ADV PRON VERB VERB PRON VERB	▁But ▁thi e ves ▁almost ▁put ▁paid ▁to ▁his ▁invalid ▁car , ▁by ▁ste al ing ▁the ▁battery ▁and ▁then ▁trying ▁to ▁sm ash ▁the ▁car ▁when ▁they ▁could n ' t ▁get ▁it ▁started .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ NOUN NOUN NOUN ADV VERB VERB ADP ADJ ADJ NOUN NOUN ADP VERB VERB VERB DET NOUN CCONJ ADV VERB PART VERB VERB DET NOUN ADV PRON VERB VERB VERB VERB VERB PRON VERB VERB
Skiing in November is not unheard of in Scotland : last year it snowed heavily in the west Highlands in October but the warmer weather in December and January put paid to any hopes of building up a decent depth of snow pack.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	VERB ADP PROPN VERB ADV ADJ ADV ADP PROPN PUNCT ADJ NOUN PRON VERB ADV ADP DET NOUN PROPN ADP PROPN CCONJ DET ADJ NOUN ADP PROPN CCONJ PROPN VERB VERB ADP DET NOUN ADP VERB PART DET ADJ NOUN ADP NOUN NOUN	▁Ski ing ▁in ▁November ▁is ▁not ▁un he ard ▁of ▁in ▁Scotland ▁ : ▁last ▁year ▁it ▁snow ed ▁heavily ▁in ▁the ▁west ▁High lands ▁in ▁October ▁but ▁the ▁warm er ▁weather ▁in ▁December ▁and ▁January ▁put ▁paid ▁to ▁any ▁hopes ▁of ▁building ▁up ▁a ▁decent ▁depth ▁of ▁snow ▁pack .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP PROPN VERB ADV ADJ ADJ ADJ ADV ADP PROPN PUNCT PUNCT ADJ NOUN PRON VERB VERB ADV ADP DET NOUN PROPN PROPN ADP PROPN CCONJ DET ADJ ADJ NOUN ADP PROPN CCONJ PROPN VERB VERB ADP DET NOUN ADP VERB PART DET ADJ NOUN ADP NOUN NOUN NOUN
‘ It's OUR H - Bomb!’ screamed the Daily Express headline after the British test at Christmas Island, which put paid to the still lively hope that the nuclear club would not extend beyond the two super - powers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PUNCT PRON ADJ NOUN PUNCT NOUN VERB DET PROPN PROPN NOUN ADP DET ADJ NOUN ADP PROPN PROPN ADJ VERB VERB ADP DET ADV ADJ NOUN ADP DET ADJ NOUN VERB ADV VERB ADP DET NUM ADJ PUNCT NOUN	▁ ‘ ▁It ' s ▁ OUR ▁H ▁- ▁Bo mb ! ’ ▁scr eamed ▁the ▁Daily ▁Express ▁headline ▁after ▁the ▁British ▁test ▁at ▁Christmas ▁Island , ▁which ▁put ▁paid ▁to ▁the ▁still ▁live ly ▁hope ▁that ▁the ▁nuclear ▁club ▁would ▁not ▁extend ▁beyond ▁the ▁two ▁super ▁- ▁powers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADJ ADJ NOUN PUNCT NOUN NOUN NOUN NOUN VERB VERB DET PROPN PROPN NOUN ADP DET ADJ NOUN ADP PROPN PROPN PROPN ADJ VERB VERB ADP DET ADV ADJ ADJ NOUN ADP DET ADJ NOUN VERB ADV VERB ADP DET NUM ADJ PUNCT NOUN NOUN
He said the combination of bars in the Beaumont Street area of Darlington would put paid to the profits of similar areas in the town.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB DET NOUN ADP NOUN ADP DET PROPN PROPN NOUN ADP PROPN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN	▁He ▁said ▁the ▁combination ▁of ▁bars ▁in ▁the ▁Beau mont ▁Street ▁area ▁of ▁Dar ling ton ▁would ▁put ▁paid ▁to ▁the ▁profits ▁of ▁similar ▁areas ▁in ▁the ▁town .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN
The recession has put paid to PRCS achieving that value, although, until last year, it had a 13-year unbroken record of increasing profits.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN VERB VERB VERB ADP PROPN VERB DET NOUN ADP ADP ADJ NOUN PRON VERB DET NUM ADJ NOUN ADP VERB NOUN	▁The ▁recession ▁has ▁put ▁paid ▁to ▁PRC S ▁achiev ing ▁that ▁value , ▁although , ▁until ▁last ▁year , ▁it ▁had ▁a ▁13 - year ▁un bro ken ▁record ▁of ▁increasing ▁profits .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB VERB ADP PROPN PROPN VERB VERB DET NOUN NOUN ADP ADP ADP ADJ NOUN NOUN PRON VERB DET NUM NUM NUM ADJ ADJ ADJ NOUN ADP VERB NOUN NOUN
Sadly, the low cloud base put paid to any jumping today, but weather permitting, they 'll be packing their chutes again tomorrow.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADV DET ADJ NOUN NOUN VERB VERB ADP DET VERB NOUN CCONJ NOUN VERB PRON VERB VERB VERB ADJ NOUN ADV NOUN	▁Sad ly , ▁the ▁low ▁cloud ▁base ▁put ▁paid ▁to ▁any ▁jump ing ▁today , ▁but ▁weather ▁permitting , ▁they ▁' ll ▁be ▁packing ▁their ▁ch utes ▁again ▁tomorrow .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET ADJ NOUN NOUN VERB VERB ADP DET VERB VERB NOUN NOUN CCONJ NOUN VERB VERB PRON VERB VERB VERB VERB ADJ NOUN NOUN ADV NOUN NOUN
There was a plan once to supply our place and the Fawcetts ' at West Birk Hatt from a source within the boundaries of High Birk Hatt, but the Fawcetts had to leave when their farm disappeared under the waters of Balderhead Reservoir which, ironically, put paid to that enterprise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV VERB DET NOUN ADV PART VERB ADJ NOUN CCONJ DET PROPN PUNCT ADP PROPN PROPN PROPN ADP DET NOUN ADP DET NOUN ADP ADJ PROPN PROPN CCONJ DET PROPN VERB PART VERB ADV ADJ NOUN VERB ADP DET NOUN ADP PROPN PROPN ADJ ADV VERB VERB ADP DET NOUN	▁There ▁was ▁a ▁plan ▁once ▁to ▁supply ▁our ▁place ▁and ▁the ▁F aw c ett s ▁' ▁at ▁West ▁Bi rk ▁Hat t ▁from ▁a ▁source ▁within ▁the ▁boundaries ▁of ▁High ▁Bi rk ▁Hat t , ▁but ▁the ▁F aw c ett s ▁had ▁to ▁leave ▁when ▁their ▁farm ▁disappeared ▁under ▁the ▁waters ▁of ▁Bald er head ▁Re serv o ir ▁which , ▁iron ically , ▁put ▁paid ▁to ▁that ▁enterprise .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV VERB DET NOUN ADV PART VERB ADJ NOUN CCONJ DET PROPN PROPN PROPN PROPN PROPN PUNCT ADP PROPN PROPN PROPN PROPN PROPN ADP DET NOUN ADP DET NOUN ADP ADJ PROPN PROPN PROPN PROPN PROPN CCONJ DET PROPN PROPN PROPN PROPN PROPN VERB PART VERB ADV ADJ NOUN VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADV ADV ADV VERB VERB ADP DET NOUN NOUN
It rather put paid to any idea she 'd had of motoring around and discovering more of the area though.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON ADV VERB VERB ADP DET NOUN PRON VERB VERB ADP VERB ADV CCONJ VERB ADJ ADP DET NOUN ADV	▁It ▁rather ▁put ▁paid ▁to ▁any ▁idea ▁she ▁' d ▁had ▁of ▁motor ing ▁around ▁and ▁discover ing ▁more ▁of ▁the ▁area ▁though .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP DET NOUN PRON VERB VERB VERB ADP VERB VERB ADV CCONJ VERB VERB ADJ ADP DET NOUN ADV ADV
The collapse of appeasement put paid to Baldwin's isolationist patriotism, and.opened the way for the Left.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP PROPN ADJ NOUN VERB DET NOUN ADP DET NOUN	▁The ▁collapse ▁of ▁app ease ment ▁put ▁paid ▁to ▁Bald win ' s ▁isolation ist ▁ patri ot ism , ▁and . opened ▁the ▁way ▁for ▁the ▁Left .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN NOUN NOUN VERB VERB ADP PROPN PROPN PROPN PROPN ADJ ADJ NOUN NOUN NOUN NOUN NOUN VERB VERB VERB DET NOUN ADP DET NOUN NOUN
This put paid to British hopes that Burma would stay in the Commonwealth as a Dominion owing allegiance to the Crown.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET VERB VERB ADP ADJ NOUN ADP PROPN VERB VERB ADP DET PROPN ADP DET PROPN VERB NOUN ADP DET PROPN	▁This ▁put ▁paid ▁to ▁British ▁hopes ▁that ▁Burma ▁would ▁stay ▁in ▁the ▁Common wealth ▁as ▁a ▁Domin ion ▁owing ▁all e gi ance ▁to ▁the ▁Crown .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB ADP ADJ NOUN ADP PROPN VERB VERB ADP DET PROPN PROPN ADP DET PROPN PROPN VERB NOUN NOUN NOUN NOUN ADP DET PROPN PROPN
A well aimed flower bomb soon put paid to the battling vegies, but only for a few seconds to give you time to pass, save the children and leave quickly.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB DET NOUN CCONJ VERB ADV	▁A ▁well ▁aimed ▁flower ▁bomb ▁soon ▁put ▁paid ▁to ▁the ▁bat t ling ▁ve g ies , ▁but ▁only ▁for ▁a ▁few ▁seconds ▁to ▁give ▁you ▁time ▁to ▁pass , ▁save ▁the ▁children ▁and ▁leave ▁quickly .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB VERB VERB NOUN NOUN NOUN NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB VERB DET NOUN CCONJ VERB ADV ADV
They reckoned then that anything in the river would have been sent half way across to Norway so that put paid to that search.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	PRON VERB ADV ADP NOUN ADP DET NOUN VERB VERB VERB VERB DET NOUN ADP ADP PROPN ADP DET VERB VERB ADP DET NOUN	▁They ▁reckon ed ▁then ▁that ▁anything ▁in ▁the ▁river ▁would ▁have ▁been ▁sent ▁half ▁way ▁across ▁to ▁Norway ▁so ▁that ▁put ▁paid ▁to ▁that ▁search .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	PRON VERB VERB ADV ADP NOUN ADP DET NOUN VERB VERB VERB VERB DET NOUN ADP ADP PROPN ADP DET VERB VERB ADP DET NOUN NOUN
In Spain, the concern with the public sector deficit put paid to the extremely ambitious ‘ general railways plan’ of 1980.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP PROPN DET NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP DET ADV ADJ ADJ ADJ NOUN NOUN ADP NUM	▁In ▁Spain , ▁the ▁concern ▁with ▁the ▁public ▁sector ▁deficit ▁put ▁paid ▁to ▁the ▁extremely ▁ambitious ▁ ‘ ▁general ▁railways ▁plan ’ ▁of ▁1980.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN DET NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP DET ADV ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP NUM
I have taken and passed the IAM test, and have finally put paid to any more irritating jokes about female from my husband and my four sons.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB VERB CCONJ VERB DET PROPN NOUN CCONJ VERB ADV VERB VERB ADP DET ADJ NOUN NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NUM NOUN	▁I ▁have ▁taken ▁and ▁passed ▁the ▁I AM ▁test , ▁and ▁have ▁finally ▁put ▁paid ▁to ▁any ▁more ▁irrita ting ▁joke s ▁about ▁female ▁from ▁my ▁husband ▁and ▁my ▁four ▁sons .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB CCONJ VERB DET PROPN PROPN NOUN NOUN CCONJ VERB ADV VERB VERB ADP DET ADJ NOUN NOUN NOUN NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ NUM NOUN NOUN
I thanked him in my head for so thoroughly putting paid to the past, at least for the moment.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	put paid to	figurative	inflection	PRON VERB PRON ADP ADJ NOUN ADP ADV ADV VERB VERB ADP DET NOUN ADP ADJ ADP DET NOUN	▁I ▁thank ed ▁him ▁in ▁my ▁head ▁for ▁so ▁thoroughly ▁putting ▁paid ▁to ▁the ▁past , ▁at ▁least ▁for ▁the ▁moment .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON ADP ADJ NOUN ADP ADV ADV VERB VERB ADP DET NOUN NOUN ADP ADJ ADP DET NOUN NOUN
