After this the paths taken by the books change.	0 0 0 0 0 1 0 1 0	by the book	literal	inflection	ADP DET DET NOUN VERB ADP DET NOUN VERB
The spider feeling itself dislodged by the book ran out in a fright.	0 0 0 0 0 1 0 1 0 0 0 0 0	by the book	literal	identical	DET NOUN VERB PRON VERB ADP DET NOUN VERB PART ADP DET NOUN
Now many are appaled by the book's publication	0 0 0 0 1 0 1 0	by the book	literal	identical	ADV ADJ VERB VERB ADP DET NOUN NOUN
Playing these passages by the book proves to be a perfectly satisfying approach to their architecture, and one wonders why so many other conductors feel compelled to modify Shostakovich's tempos.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	VERB DET NOUN ADP DET NOUN VERB PART VERB DET ADV ADJ NOUN ADP ADJ NOUN CCONJ NOUN NOUN ADV ADV ADJ ADJ NOUN VERB VERB PART VERB PROPN NOUN
Whatever their character, there is one curious feature shared by most private press books, which is that they are very rarely read — a fact testified to by the fact that an extraordinary number are found unopened, as though their charm and beauty may not be defiled even by the gentlest slitting of the sacred sections at the top and fore - edges.	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	ADJ ADJ NOUN ADV VERB NUM ADJ NOUN VERB ADP ADJ ADJ NOUN NOUN ADJ VERB ADP PRON VERB ADV ADV VERB PUNCT DET NOUN VERB ADP ADP DET NOUN ADP DET ADJ NOUN VERB VERB ADJ ADP ADP ADJ NOUN CCONJ NOUN VERB ADV VERB VERB ADV ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ CCONJ NOUN PUNCT NOUN
But having said that, over the whole of the tropics, there's something like a thousand million hectares of forest, of which one million is actually managed as sustained yield as defined by this book, which is erm managing the forest, and actually carrying out sort of operations to improve the regeneration afterwards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	CCONJ VERB VERB ADP ADP DET NOUN ADP DET NOUN ADV NOUN ADP DET NUM NUM NOUN ADP NOUN ADP ADJ NUM NUM VERB ADV VERB ADP ADJ NOUN ADP VERB ADP DET NOUN ADJ VERB ADV VERB DET NOUN CCONJ ADV VERB PART ADV ADP NOUN PART VERB DET NOUN ADV
Knowledge of the law relating to control of water pollution, beyond a broad conception of the pollution offences, however, is regarded as unimportant and is claimed by only a small minority of field men, because the job is done ‘ by experience’ and the application of rules - of - thumb — not ‘ by the book’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	dashes	NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB VERB ADP ADJ CCONJ VERB VERB ADP ADV DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB PART ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT ADP PUNCT NOUN PUNCT ADV NUM ADP DET NOUN
Every other time I 've been in somebody's flat like this I 've known where I am by the books.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	deletion-determiner	DET ADJ NOUN PRON VERB VERB ADP NOUN ADJ ADP DET PRON VERB VERB ADV PRON VERB ADP DET PROPN
Acceptance by the left of the basic parameters of the mixed economy was exemplified by Antony Crosland's book The Future of Socialism, published in 1956.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	by the book	literal	combined-other	NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB VERB ADP PROPN PROPN NOUN DET PROPN ADP PROPN VERB ADP NUM
Also covered by the book are game cheats and advice on hardware configurations to get the best out of your Amiga for game playing.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	identical	ADV VERB ADP DET NOUN VERB NOUN NOUN CCONJ NOUN ADP NOUN NOUN PART VERB DET ADJ ADP ADP ADJ PROPN ADP NOUN NOUN
This exhibition, organised by David Yeomans and accompanied by a short book of the same title, explored the relationship between architectural design and carpentry from the mediaeval period to the present day.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-other	DET NOUN VERB ADP PROPN PROPN CCONJ VERB ADP DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN
Yeah you can't set it by the book	0 0 0 0 0 1 0 1	by the book	figurative	identical	INTJ PRON VERB VERB PRON ADP DET NOUN
Over the period covered by this book new rivals have appeared on the Whitehall scene.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	ADP DET NOUN VERB ADP DET NOUN ADJ NOUN VERB VERB ADP DET ADJ NOUN
Judging from early games in this country, and especially by the dreadful Leicester v England match, our referees are going by the book and will blow rucks and mauls dead far more quickly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	VERB ADP ADJ NOUN ADP DET NOUN CCONJ ADV ADP DET ADJ PROPN ADP PROPN NOUN ADJ NOUN VERB VERB ADP DET NOUN CCONJ VERB VERB NOUN CCONJ NOUN ADJ ADV ADV ADV
Sue Crewe travels by the book, banishes cigarette smoke and uncovers a cache of delicious lingerie	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	PROPN PROPN VERB ADP DET NOUN VERB NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN
This irony prompts the questions which guided the research and which form the central problem addressed by this book : since those who are subject to regulation have good economic reason not to comply, how is compliance secured, given the frailty of the criminal sanction and its virtual disuse?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	DET NOUN VERB DET NOUN ADJ VERB DET NOUN CCONJ ADJ VERB DET ADJ NOUN VERB ADP DET NOUN PUNCT ADP DET NOUN VERB ADJ ADP NOUN VERB ADJ ADJ NOUN ADV PART VERB ADV VERB NOUN VERB VERB DET NOUN ADP DET ADJ NOUN CCONJ ADJ ADJ NOUN
Arguments about absenteeism ( not borne out incidentally by the surviving wage - books ) are hardly relevant when one is talking about piece - work in large firms.	0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	NOUN ADP NOUN PUNCT ADV VERB PART ADV ADP DET VERB NOUN PUNCT NOUN PUNCT VERB ADV ADJ ADV PRON VERB VERB ADP NOUN PUNCT NOUN ADP ADJ NOUN
They will be assisted by the book's division into chapters each dealing with a particular class of compound —eg amino acids, sugars, steroids etc.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	identical	PRON VERB VERB VERB ADP DET NOUN NOUN ADP NOUN DET VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN NOUN NOUN NOUN X
But she does everything strictly by the book.	0 0 0 0 0 1 0 1	by the book	figurative	identical	CCONJ PRON VERB NOUN ADV ADP DET NOUN
I do it by the book.	0 0 0 1 0 1	by the book	figurative	identical	PRON VERB PRON ADP DET NOUN
