‘ It was touch and go financially,’ says Rudd.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB PROPN VERB PROPN	▁ ‘ ▁It ▁was ▁touch ▁and ▁go ▁financially , ’ ▁says ▁Ru dd .	0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB NOUN CCONJ VERB PROPN PROPN PROPN VERB PROPN PROPN PROPN
it was touch and go for a time and when Leicester hit back with an equaliser from Whitlow a draw seemed the best they could hope for …	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP DET NOUN CCONJ ADV PROPN VERB PART ADP DET NOUN ADP PROPN DET NOUN VERB DET ADJ PRON VERB VERB ADP PUNCT	▁it ▁was ▁touch ▁and ▁go ▁for ▁a ▁time ▁and ▁when ▁Le ic ester ▁hit ▁back ▁with ▁an ▁equal iser ▁from ▁Whit low ▁a ▁draw ▁seemed ▁the ▁best ▁they ▁could ▁hope ▁for ▁...	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN CCONJ VERB ADP DET NOUN CCONJ ADV PROPN PROPN PROPN VERB PART ADP DET NOUN NOUN ADP PROPN PROPN DET NOUN VERB DET ADJ PRON VERB VERB ADP PUNCT
Things are touch - and - go.	0 0 1 0 1 0 1	touch and go	figurative	dashes	NOUN VERB NOUN PUNCT CCONJ PUNCT VERB	▁Things ▁are ▁touch ▁- ▁and ▁- ▁go .	0 0 1 0 1 0 1 1	NOUN VERB NOUN PUNCT CCONJ PUNCT VERB VERB
And we 've got a circuit breaker touch and go.	0 0 0 0 0 0 0 1 1 1	touch and go	figurative	identical	CCONJ PRON VERB VERB DET NOUN NOUN NOUN CCONJ VERB	▁And ▁we ▁' ve ▁got ▁a ▁circuit ▁break er ▁touch ▁and ▁go .	0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN CCONJ VERB VERB
It was always touch and go whether he would be fit to take his place, and he only got the nod after coming through a trial game without any problems.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN CCONJ PRON ADV VERB DET NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN	▁It ▁was ▁always ▁touch ▁and ▁go ▁whether ▁he ▁would ▁be ▁fit ▁to ▁take ▁his ▁place , ▁and ▁he ▁only ▁got ▁the ▁no d ▁after ▁coming ▁through ▁a ▁trial ▁game ▁without ▁any ▁problems .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN NOUN CCONJ PRON ADV VERB DET NOUN NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN NOUN
It was touch - and - go whether she could reach the pram before it either overturned or leapt from the rocky wall at the foot of the bank on to the road, along which traffic was speeding in both directions.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP PRON VERB VERB DET NOUN ADP PRON CCONJ VERB CCONJ ADJ ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADP DET NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN	▁It ▁was ▁touch ▁- ▁and ▁- ▁go ▁whether ▁she ▁could ▁reach ▁the ▁p ram ▁before ▁it ▁either ▁overturn ed ▁or ▁leap t ▁from ▁the ▁rock y ▁wall ▁at ▁the ▁foot ▁of ▁the ▁bank ▁on ▁to ▁the ▁road , ▁along ▁which ▁traffic ▁was ▁speeding ▁in ▁both ▁directions .	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP PRON VERB VERB DET NOUN NOUN ADP PRON CCONJ VERB VERB CCONJ ADJ ADJ ADP DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADP DET NOUN NOUN ADP ADJ NOUN VERB VERB ADP DET NOUN NOUN
It was quite coincidental that June, by her search for a new life in California, drew him towards what would be the hub of the rest of his life and it was touch and go whether he stayed or went back to Neptune.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV ADJ ADP PROPN ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN VERB PRON ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP PRON VERB CCONJ VERB ADV ADP PROPN	▁It ▁was ▁quite ▁coincide ntal ▁that ▁June , ▁by ▁her ▁search ▁for ▁a ▁new ▁life ▁in ▁California , ▁drew ▁him ▁towards ▁what ▁would ▁be ▁the ▁hub ▁of ▁the ▁rest ▁of ▁his ▁life ▁and ▁it ▁was ▁touch ▁and ▁go ▁whether ▁he ▁stayed ▁or ▁went ▁back ▁to ▁N ept une .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADJ ADJ ADP PROPN PROPN ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN PROPN VERB PRON ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP PRON VERB CCONJ VERB ADV ADP PROPN PROPN PROPN PROPN
But it was touch and go at Munich.	0 0 0 1 1 1 0 0	touch and go	figurative	identical	CCONJ PRON VERB NOUN CCONJ VERB ADP PROPN	▁But ▁it ▁was ▁touch ▁and ▁go ▁at ▁Munich .	0 0 0 1 1 1 0 0 0	CCONJ PRON VERB NOUN CCONJ VERB ADP PROPN PROPN
By the time we reached Llanberis it was touch and go whether we would make it back to base at all that night.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	ADP DET NOUN PRON VERB PROPN PRON VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADP NOUN ADV ADV DET NOUN	▁By ▁the ▁time ▁we ▁reached ▁L lan ber is ▁it ▁was ▁touch ▁and ▁go ▁whether ▁we ▁would ▁make ▁it ▁back ▁to ▁base ▁at ▁all ▁that ▁night .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PRON VERB PROPN PROPN PROPN PROPN PRON VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADP NOUN ADV ADV DET NOUN NOUN
It is touch and go whether Mr Major can grow these qualities in time.	0 0 1 1 1 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP PROPN PROPN VERB VERB DET NOUN ADP NOUN	▁It ▁is ▁touch ▁and ▁go ▁whether ▁Mr ▁Major ▁can ▁grow ▁these ▁qualities ▁in ▁time .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN CCONJ VERB ADP PROPN PROPN VERB VERB DET NOUN ADP NOUN NOUN
' Unfortunately, Simon's going to be touch - and - go again because he has hamstring trouble, but if Jonesy can work his magic again we can't rule him out.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	PUNCT ADV PROPN VERB PART VERB NOUN PUNCT CCONJ PUNCT VERB ADV ADP PRON VERB VERB NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN ADV PRON VERB VERB PRON PART	▁' ▁Unfortunately , ▁Simon ' s ▁going ▁to ▁be ▁touch ▁- ▁and ▁- ▁go ▁again ▁because ▁he ▁has ▁ham str ing ▁trouble , ▁but ▁if ▁Jones y ▁can ▁work ▁his ▁magic ▁again ▁we ▁can ' t ▁rule ▁him ▁out .	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADV ADV PROPN PROPN PROPN VERB PART VERB NOUN PUNCT CCONJ PUNCT VERB ADV ADP PRON VERB VERB VERB VERB NOUN NOUN CCONJ ADP PROPN PROPN VERB VERB ADJ NOUN ADV PRON VERB VERB VERB VERB PRON PART PART
It was touch and go, because gardenias in particular are very moody.	0 0 1 1 1 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADP NOUN ADP ADJ VERB ADV ADJ	▁It ▁was ▁touch ▁and ▁go , ▁because ▁garden ias ▁in ▁particular ▁are ▁very ▁mood y .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN CCONJ VERB VERB ADP NOUN NOUN ADP ADJ VERB ADV ADJ ADJ ADJ
It was touch and go — wasn't it, heh?— whether the White Sheep would beat the Turks into Trebizond.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB PUNCT VERB PRON NOUN ADP DET PROPN PROPN VERB VERB DET PROPN ADP PROPN	▁It ▁was ▁touch ▁and ▁go ▁ — ▁was n ' t ▁it , ▁he h ? — ▁whether ▁the ▁White ▁Sheep ▁would ▁beat ▁the ▁Turks ▁into ▁Tre bi zon d .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN CCONJ VERB PUNCT PUNCT VERB VERB VERB VERB PRON PRON NOUN NOUN NOUN NOUN ADP DET PROPN PROPN VERB VERB DET PROPN ADP PROPN PROPN PROPN PROPN PROPN
